sequence,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhF/lBUhBRiBmnBlp?ByvB,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhFUiBaoBxlBlpB3q?BmqB,v115@GhA8IeA8EeC8AeB8DeE8JeOEJvhFlgBUiBaoBzkBXm?BRvB,v115@GhA8IeA8EeC8AeB8DeE8Jex/IvhFXhBVnBaoBmkB0p?BzqB,v115@GhA8IeA8EeC8AeB8DeE8Jel/IvhFUhBRiB/pBTlBmn?ByvB
TLOIJZS,O,O,X,X,X
TLOISJZ,O,O,X,O,X
TLOISZJ,O,O,X,O,X
TLOIZJS,X,O,X,O,X
TLOIZSJ,X,O,X,O,X
TLOJISZ,O,X,X,X,O
TLOJIZS,O,O,X,X,O
TLOJSIZ,O,O,X,O,O
TLOJSZI,O,O,X,O,O
TLOJZIS,O,O,X,O,O
TLOJZSI,O,O,X,O,O
TLOSIJZ,O,O,X,O,O
TLOSIZJ,O,O,X,O,O
TLOSJIZ,O,O,X,O,O
TLOSJZI,O,O,X,O,O
TLOSZIJ,O,O,X,O,O
TLOSZJI,O,O,X,O,O
TLOZIJS,X,O,X,O,X
TLOZISJ,X,O,X,O,O
TLOZJIS,O,O,X,O,O
TLOZJSI,O,O,X,O,O
TLOZSIJ,O,O,X,O,O
TLOZSJI,O,O,X,O,O
TJILSZO,O,X,O,X,O
TJILSOZ,O,X,O,X,O
TJILZSO,O,X,O,X,O
TJILZOS,O,O,O,X,O
TJILOSZ,O,X,O,X,O
TJILOZS,O,O,O,X,O
TJISLZO,O,X,O,X,O
TJISLOZ,O,X,O,X,O
TJISZLO,O,X,O,X,O
TJISZOL,O,X,O,X,O
TJISOLZ,O,X,O,X,O
TJISOZL,O,X,O,X,O
TJIZLSO,O,X,O,X,O
TJIZLOS,O,O,O,X,O
TJIZSLO,O,X,O,X,O
TJIZSOL,O,X,O,X,O
TJIZOLS,O,O,O,X,X
TJIZOSL,O,X,O,X,X
TJIOLSZ,O,X,O,X,X
TJIOLZS,O,O,O,X,X
TJIOSLZ,O,X,O,X,X
TJIOSZL,O,X,O,X,X
TJIOZLS,O,O,O,X,X
TJIOZSL,O,X,O,X,X
TJLISZO,O,X,O,X,O
TJLISOZ,O,X,O,X,O
TJLIZSO,O,X,O,X,O
TJLIZOS,O,O,O,X,O
TJLIOSZ,O,X,O,X,O
TJLIOZS,O,O,O,X,O
TJLSIZO,O,O,O,O,O
TJLSIOZ,O,O,X,O,O
TJLSZIO,O,O,O,O,O
TJLSZOI,O,O,O,O,O
TJLSOIZ,O,O,X,O,O
TJLSOZI,O,O,O,O,O
TJLZISO,O,X,O,O,O
TJLZIOS,O,O,O,O,O
TJLZSIO,O,O,O,O,O
TJLZSOI,O,O,O,O,O
TJLZOIS,O,O,X,O,O
TJLZOSI,O,O,X,O,O
TJLOISZ,O,X,X,X,O
TJLOIZS,O,O,X,X,O
TJLOSIZ,O,O,X,O,O
TJLOSZI,O,O,X,O,O
TJLOZIS,O,O,X,O,O
TJLOZSI,O,O,X,O,O
TJSILZO,O,O,O,O,O
TJSILOZ,O,O,X,O,O
TJSIZLO,O,O,O,X,O
TJSIZOL,O,O,X,X,O
TJSIOLZ,O,O,X,X,O
TJSIOZL,O,O,X,X,O
TJSLIZO,O,O,O,O,O
