sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TLOISJZ,O,O,O,O,X,X
TLOISZJ,O,O,O,O,X,X
TLOIZJS,X,X,X,X,O,O
TLOIZSJ,X,X,X,X,O,O
TLOJISZ,O,O,O,O,X,X
TLOJIZS,O,X,X,X,O,O
TLOJSIZ,O,O,O,O,X,X
TLOJSZI,O,O,O,O,X,X
TLOJZIS,O,X,X,X,O,O
TLOJZSI,O,X,X,X,O,O
TLOSIJZ,O,O,O,O,X,X
TLOSIZJ,O,O,O,O,X,X
TLOSJIZ,O,O,O,O,X,X
TLOSJZI,O,O,O,O,X,X
TLOSZIJ,O,O,O,O,X,X
TLOSZJI,X,O,O,O,X,X
TLOZIJS,X,X,X,X,O,O
TLOZISJ,X,X,X,X,O,O
TLOZJIS,X,X,X,X,O,O
TLOZJSI,X,X,X,X,O,O
TLOZSIJ,X,X,X,X,O,O
TLOZSJI,X,X,X,X,O,O
TJILSZO,O,O,O,O,O,X
TJILSOZ,O,O,O,O,X,X
TJILZSO,O,O,O,O,O,O
TJILZOS,O,O,O,O,O,O
TJILOSZ,O,O,O,O,X,X
TJILOZS,O,X,X,X,O,X
TJISLZO,O,O,O,O,O,X
TJISLOZ,O,O,O,O,X,X
TJISZLO,O,O,O,O,O,X
TJISZOL,O,O,O,O,O,X
TJISOLZ,O,O,O,O,X,X
TJISOZL,O,X,X,O,X,X
TJIZLSO,O,O,O,O,O,O
TJIZLOS,O,O,O,O,O,O
TJIZSLO,O,O,O,O,O,X
TJIZSOL,O,O,O,O,O,X
TJIZOLS,O,O,O,O,O,O
TJIZOSL,O,O,O,O,O,X
TJIOLSZ,O,O,O,O,X,X
TJIOLZS,O,X,X,X,O,X
TJIOSLZ,O,O,O,O,X,X
TJIOSZL,O,X,X,O,X,X
TJIOZLS,O,X,X,O,O,X
TJIOZSL,O,X,X,O,O,X
TJLISZO,O,O,O,O,O,X
TJLISOZ,O,O,O,O,X,X
TJLIZSO,O,O,O,O,O,O
TJLIZOS,O,O,O,O,O,O
TJLIOSZ,O,O,O,O,X,X
TJLIOZS,O,X,X,X,O,X
TJLSIZO,O,O,O,O,O,X
TJLSIOZ,O,O,O,O,X,X
TJLSZIO,O,O,O,O,O,X
TJLSZOI,O,O,O,O,O,X
TJLSOIZ,O,O,O,O,X,X
TJLSOZI,O,O,O,O,X,X
TJLZISO,O,O,O,O,O,O
TJLZIOS,O,O,O,O,O,O
TJLZSIO,O,O,O,O,O,X
TJLZSOI,O,O,O,O,O,X
TJLZOIS,O,O,O,O,O,O
TJLZOSI,O,O,O,O,O,X
TJLOISZ,O,O,O,O,X,X
TJLOIZS,O,X,X,X,O,X
TJLOSIZ,O,O,O,O,X,X
TJLOSZI,O,O,O,O,X,X
TJLOZIS,O,X,X,X,O,X
TJLOZSI,O,X,X,X,O,X
TJSILZO,O,O,O,O,O,X
TJSILOZ,O,O,O,O,X,X
TJSIZLO,O,O,O,O,O,X
TJSIZOL,O,O,O,O,O,X
TJSIOLZ,O,O,O,O,X,X
TJSIOZL,O,X,X,O,X,X
TJSLIZO,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,X,X
TJSLZIO,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,X
TJSLOIZ,O,O,O,O,X,X
TJSLOZI,X,O,O,O,X,X
TJSZILO,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,X
TJSZLIO,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,X
TJSZOLI,O,O,O,O,O,X
TJSOILZ,O,O,O,O,X,X
TJSOIZL,O,X,X,O,X,X
TJSOLIZ,O,O,O,O,X,X
TJSOLZI,X,O,O,O,X,X
TJSOZIL,O,X,X,O,X,X
TJSOZLI,O,X,X,O,X,X
TJZILSO,O,O,O,O,O,O
TJZILOS,O,O,O,O,O,O
TJZISLO,O,O,O,O,O,X
TJZISOL,O,O,O,O,O,X
TJZIOLS,O,O,O,O,O,O
TJZIOSL,O,O,O,O,O,X
TJZLISO,O,O,O,O,O,O
TJZLIOS,O,O,O,O,O,O
TJZLSIO,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,X
TJZLOIS,O,O,O,O,O,O
TJZLOSI,O,O,O,O,O,X
TJZSILO,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,X
TJZSLIO,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,X
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,O,O,O,O,O
TJZOISL,O,O,O,O,O,X
TJZOLIS,O,O,O,O,O,O
TJZOLSI,O,O,O,O,O,X
TJZOSIL,O,O,O,O,O,X
TJZOSLI,O,O,O,O,O,X
TJOILSZ,O,O,O,O,X,X
TJOILZS,O,X,X,X,O,X
TJOISLZ,O,O,O,O,X,X
TJOISZL,O,X,X,O,X,X
TJOIZLS,O,X,X,O,O,X
TJOIZSL,O,X,X,O,O,X
TJOLISZ,O,O,O,O,X,X
TJOLIZS,O,X,X,X,O,X
TJOLSIZ,O,O,O,O,X,X
TJOLSZI,O,O,O,O,X,X
TJOLZIS,O,X,X,X,O,X
TJOLZSI,O,X,X,X,O,X
TJOSILZ,O,O,O,O,X,X
TJOSIZL,O,X,X,O,X,X
TJOSLIZ,O,O,O,O,X,X
TJOSLZI,X,O,O,O,X,X
TJOSZIL,O,X,X,O,X,X
TJOSZLI,O,X,X,O,X,X
TJOZILS,O,X,X,O,O,X
TJOZISL,O,X,X,O,O,X
TJOZLIS,O,X,X,O,O,X
TJOZLSI,O,X,X,O,O,X
TJOZSIL,O,X,X,O,O,X
TJOZSLI,O,X,X,O,O,X
TSILJZO,O,O,O,O,O,X
TSILJOZ,O,O,O,O,X,X
TSILZJO,O,O,O,O,O,X
TSILZOJ,O,O,O,O,O,X
TSILOJZ,O,O,O,O,X,X
TSILOZJ,O,O,O,O,X,X
TSIJLZO,O,O,O,O,O,X
TSIJLOZ,O,O,O,O,X,X
TSIJZLO,O,O,O,O,O,X
TSIJZOL,O,O,O,O,O,X
TSIJOLZ,O,O,O,O,X,X
TSIJOZL,O,X,X,O,X,X
TSIZLJO,O,O,O,O,O,X
TSIZLOJ,O,O,O,O,O,X
TSIZJLO,O,O,O,O,O,X
TSIZJOL,O,O,O,O,O,X
TSIZOLJ,O,O,O,O,O,X
TSIZOJL,O,O,O,O,O,X
TSIOLJZ,O,O,O,O,X,X
TSIOLZJ,O,O,O,O,X,X
TSIOJLZ,O,O,O,O,X,X
TSIOJZL,O,X,X,O,X,X
TSIOZLJ,O,O,X,O,X,X
TSIOZJL,O,O,X,O,X,X
TSLIJZO,O,O,O,O,O,X
TSLIJOZ,O,O,O,O,X,X
TSLIZJO,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,X
TSLIOJZ,O,O,O,O,X,X
TSLIOZJ,O,O,O,O,X,X
TSLJIZO,O,O,O,O,O,X
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,O,O,O,O,X
TSLJZOI,O,O,O,O,O,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,X
TSLOIJZ,O,O,O,O,X,X
TSLOIZJ,O,O,O,O,X,X
TSLOJIZ,O,O,O,O,X,X
TSLOJZI,O,O,O,O,X,X
TSLOZIJ,O,O,O,O,X,X
TSLOZJI,O,O,O,O,X,X
TSJILZO,O,O,O,O,O,X
TSJILOZ,O,O,O,O,X,X
TSJIZLO,O,O,O,O,O,X
TSJIZOL,O,O,O,O,O,X
TSJIOLZ,O,O,O,O,X,X
TSJIOZL,O,X,X,O,X,X
TSJLIZO,O,O,O,O,O,X
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,O,O,O,O,X
TSJLZOI,O,O,O,O,O,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,X,O,O,O,X,X
TSJZILO,O,O,O,O,O,X
TSJZIOL,O,O,O,O,O,X
TSJZLIO,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,X
TSJZOIL,O,O,O,O,O,X
TSJZOLI,O,O,O,O,O,X
TSJOILZ,O,O,O,O,X,X
TSJOIZL,O,X,X,O,X,X
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,X,O,O,O,X,X
TSJOZIL,O,X,X,O,X,X
TSJOZLI,O,X,X,O,X,X
TSZILJO,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,X
TSZIJLO,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,X
TSZIOLJ,O,O,O,O,O,X
TSZIOJL,O,O,O,O,O,X
TSZLIJO,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,X
TSZLJIO,O,O,O,O,O,X
