sequence,v115@QhB8CeA8BeH8DeA8Jei/IvhFulBFiBXjBzkB0mBRxB,v115@QhB8CeA8BeH8DeA8Je/EJvhFRgBUiBFjBTlB6rB2xB,v115@QhB8CeA8BeH8DeA8Je2EJvhFRgB3hBFjBSqBzrB0sB,v115@QhB8CeA8BeH8DeA8JeT/IvhFelBRhBCmB8rB3sBFtB,v115@QhB8CeA8BeH8DeA8Je2EJvhFRgB1nBSqB0mBzrBXtB,v115@QhB8CeA8BeH8DeA8JeXDJvhFlkBRmBmkBCmBzrB0sB,v115@QhB8CeA8BeH8DeA8Jex/IvhF0kBllBXnB6rBOtBTsB,v115@QhB8CeA8BeH8DeA8JeT/IvhF0gBVqBRnB6rBOsBXtB
TIJZSOL,X,O,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,O
TIJZOSL,X,O,O,X,X,X,X,O
TIJOLSZ,X,O,O,X,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,X
TIJOSZL,X,O,O,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,O
TIJOZSL,X,O,O,X,X,X,X,O
TISLJZO,X,O,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,X
TISLZJO,X,O,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,O,X,X
TISLOZJ,X,O,X,X,X,O,X,X
TISJLZO,X,O,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,O,X,X
TISJZLO,X,O,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,O,X,X
TISJOLZ,X,O,X,X,X,O,X,X
TISJOZL,X,O,X,X,X,O,X,X
TISZLJO,X,O,X,X,X,X,O,X
TISZLOJ,X,O,X,X,X,X,O,X
TISZJLO,X,O,X,X,X,X,O,X
TISZJOL,X,O,X,X,X,O,O,X
TISZOLJ,X,O,X,X,X,O,O,O
TISZOJL,X,O,X,X,X,O,O,O
TISOLJZ,X,O,X,X,X,O,X,X
TISOLZJ,X,O,X,X,X,O,X,X
TISOJLZ,X,O,X,X,X,O,X,X
TISOJZL,X,O,X,X,X,O,X,X
TISOZLJ,X,O,X,X,X,O,X,O
TISOZJL,X,O,X,X,X,O,X,O
TIZLJSO,X,X,X,X,O,X,X,X
TIZLJOS,X,X,X,X,O,X,X,X
TIZLSJO,X,X,X,X,O,X,O,X
TIZLSOJ,X,X,X,X,X,X,O,X
TIZLOJS,X,X,X,X,O,X,X,O
TIZLOSJ,X,X,X,X,X,X,X,O
TIZJLSO,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,X,O,X,X,X
TIZJSLO,X,X,X,X,X,X,O,X
TIZJSOL,X,X,X,X,X,X,O,X
TIZJOLS,X,X,X,X,X,X,X,O
TIZJOSL,X,X,X,X,X,X,X,O
TIZSLJO,X,O,X,X,X,X,O,X
TIZSLOJ,X,O,X,X,X,X,O,X
TIZSJLO,X,O,X,X,X,X,O,X
TIZSJOL,X,O,X,X,X,O,O,X
TIZSOLJ,X,O,X,X,X,O,O,O
TIZSOJL,X,O,X,X,X,O,O,O
TIZOLJS,X,X,X,X,X,X,X,O
TIZOLSJ,X,X,X,X,X,X,X,O
TIZOJLS,X,X,X,X,X,X,X,O
TIZOJSL,X,X,X,X,X,X,X,O
TIZOSLJ,X,O,X,X,X,X,O,O
TIZOSJL,X,O,X,X,X,X,O,O
TIOLJSZ,X,X,O,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X
TIOLSJZ,X,O,O,X,X,O,X,X
TIOLSZJ,X,O,O,X,X,O,X,X
TIOLZJS,X,X,O,X,X,X,X,O
TIOLZSJ,X,O,O,X,X,X,X,O
TIOJLSZ,X,O,O,X,X,X,X,X
TIOJLZS,X,O,O,X,X,X,X,X
TIOJSLZ,X,O,O,X,X,O,X,X
TIOJSZL,X,O,O,X,X,O,X,X
TIOJZLS,X,X,X,X,X,X,X,O
TIOJZSL,X,O,O,X,X,X,X,O
TIOSLJZ,X,O,O,X,X,O,X,X
TIOSLZJ,X,O,O,X,X,O,X,X
TIOSJLZ,X,O,O,X,X,O,X,X
TIOSJZL,X,O,O,X,X,O,X,X
TIOSZLJ,X,O,X,X,X,O,X,O
TIOSZJL,X,O,O,X,X,O,X,O
TIOZLJS,X,X,X,X,X,X,X,O
TIOZLSJ,X,X,X,X,X,X,X,O
TIOZJLS,X,X,X,X,X,X,X,O
TIOZJSL,X,X,X,X,X,X,X,O
TIOZSLJ,X,O,X,X,X,O,X,O
TIOZSJL,X,O,X,X,X,O,X,O
TLIJSZO,O,X,X,X,O,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X
TLIJZOS,O,X,O,X,O,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X
TLIJOZS,X,X,O,X,O,X,X,X
TLISJZO,O,O,X,X,O,X,X,X
TLISJOZ,O,X,O,X,X,O,X,X
TLISZJO,O,O,X,X,O,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,O,O,O,X,X,O,X,X
TLISOZJ,X,O,O,X,X,O,X,X
TLIZJSO,O,X,X,X,O,X,X,X
TLIZJOS,O,X,O,X,O,X,X,X
TLIZSJO,O,O,X,X,O,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,O,X,O,X,O,X,X,O
TLIZOSJ,O,O,O,X,X,X,X,O
TLIOJSZ,X,X,O,X,X,X,X,X
TLIOJZS,X,X,O,X,O,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X,X
TLIOZJS,X,X,O,X,O,X,X,O
TLIOZSJ,X,O,O,X,X,X,X,O
TLJISZO,O,O,X,X,O,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X
TLJIZSO,O,O,X,X,O,X,X,X
TLJIZOS,O,O,O,X,O,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X
TLJIOZS,X,O,O,X,O,X,X,X
TLJSIZO,O,O,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X
TLJSZIO,O,O,X,X,O,X,X,X
TLJSZOI,O,O,X,X,O,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,X
TLJZISO,O,O,X,O,O,X,X,X
TLJZIOS,X,O,O,O,O,X,X,X
TLJZSIO,O,O,X,O,O,X,X,X
TLJZSOI,O,O,X,O,O,X,X,X
TLJZOIS,X,O,O,O,O,X,X,X
TLJZOSI,O,O,O,O,O,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X
TLJOIZS,X,O,O,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X
TLJOZIS,X,O,O,O,O,X,X,X
TLJOZSI,X,O,O,O,O,X,X,X
TLSIJZO,O,O,X,X,O,X,X,X
TLSIJOZ,O,O,O,X,X,O,X,X
TLSIZJO,O,O,X,X,O,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,X,X
TLSIOZJ,X,O,O,X,X,O,X,X
TLSJIZO,O,O,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X
TLSJZIO,O,O,X,X,O,X,X,X
TLSJZOI,O,O,X,X,O,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X,X
TLSZIJO,O,O,X,X,O,X,O,X
TLSZIOJ,X,O,X,X,X,X,O,X
TLSZJIO,O,O,X,X,O,X,O,X
TLSZJOI,O,O,X,X,O,X,O,X
TLSZOIJ,X,O,X,X,X,X,O,X
TLSZOJI,O,O,X,X,X,X,O,X
TLSOIJZ,X,O,O,X,X,O,X,X
TLSOIZJ,X,O,O,X,X,O,X,X
TLSOJIZ,O,O,O,X,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X
TLZIJSO,O,X,X,O,O,X,X,X
TLZIJOS,X,X,O,O,O,X,X,X
TLZISJO,O,O,X,X,O,X,O,X
TLZISOJ,X,O,X,X,X,X,O,X
TLZIOJS,X,X,O,X,O,X,X,O
TLZIOSJ,X,O,O,X,X,X,X,O
TLZJISO,O,X,X,O,O,X,X,X
TLZJIOS,X,X,O,O,O,X,X,X
TLZJSIO,O,O,X,O,O,X,X,X
TLZJSOI,O,O,X,O,O,X,X,X
TLZJOIS,X,X,O,O,O,X,X,X
TLZJOSI,O,O,O,O,O,X,X,X
TLZSIJO,O,O,X,X,O,X,O,X
TLZSIOJ,X,O,X,X,X,X,O,X
TLZSJIO,O,O,X,X,O,X,O,X
TLZSJOI,O,O,X,X,O,X,O,X
TLZSOIJ,X,O,X,X,X,X,O,X
TLZSOJI,O,O,X,X,X,X,O,X
TLZOIJS,X,X,O,X,O,X,X,O
TLZOISJ,X,O,O,X,X,X,X,O
TLZOJIS,X,X,O,O,O,X,X,X
TLZOJSI,O,O,O,O,O,X,X,X
TLZOSIJ,X,O,O,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X
TLOIJZS,X,X,O,X,O,X,X,X
TLOISJZ,X,O,O,X,X,O,X,X
TLOISZJ,X,O,O,X,X,O,X,X
TLOIZJS,X,X,O,X,O,X,X,O
TLOIZSJ,X,O,O,X,X,X,X,O
TLOJISZ,X,O,O,X,X,X,X,X
TLOJIZS,X,O,O,X,O,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X
TLOJZIS,X,O,O,O,O,X,X,X
TLOJZSI,X,O,O,O,O,X,X,X
TLOSIJZ,X,O,O,X,X,O,X,X
TLOSIZJ,X,O,O,X,X,O,X,X
TLOSJIZ,X,O,O,X,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X
TLOZIJS,X,X,O,X,O,X,X,O
TLOZISJ,X,O,O,X,X,X,X,O
TLOZJIS,X,X,O,O,O,X,X,X
TLOZJSI,X,O,O,O,O,X,X,X
TLOZSIJ,X,O,O,X,X,X,X,X
TLOZSJI,X,O,O,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,X
TJILSOZ,O,O,O,X,X,X,X,X
TJILZSO,O,O,X,X,O,X,X,X
TJILZOS,O,O,O,X,O,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X
TJILOZS,X,O,O,X,O,X,X,X
TJISLZO,O,O,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,X
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,O,X,X
TJISOLZ,O,O,O,X,X,O,X,X
TJISOZL,O,O,O,X,X,O,X,X
TJIZLSO,O,X,X,X,O,X,X,X
TJIZLOS,O,X,X,X,O,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,O
TJIZOSL,O,O,O,X,X,X,X,O
TJIOLSZ,O,O,O,X,X,X,X,X
TJIOLZS,O,O,O,X,X,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,X,O
TJIOZSL,O,O,O,X,X,X,X,O
TJLISZO,O,O,X,X,O,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X
TJLIZSO,O,O,X,X,O,X,X,X
TJLIZOS,O,O,O,X,O,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X
TJLIOZS,X,O,O,X,O,X,X,X
TJLSIZO,O,O,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,X
TJLSZIO,O,O,X,X,O,X,X,X
TJLSZOI,O,O,X,X,O,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,X
TJLSOZI,O,O,O,X,X,X,X,X
TJLZISO,O,O,X,O,O,X,X,X
TJLZIOS,X,O,O,O,O,X,X,X
TJLZSIO,O,O,X,O,O,X,X,X
TJLZSOI,O,O,X,O,O,X,X,X
TJLZOIS,X,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,O,X,X,X
TJLOISZ,X,O,O,X,X,X,X,X
TJLOIZS,X,O,O,X,O,X,X,X
TJLOSIZ,X,O,O,X,X,X,X,X
TJLOSZI,X,O,O,X,X,X,X,X
TJLOZIS,X,O,O,O,O,X,X,X
TJLOZSI,X,O,O,O,O,X,X,X
TJSILZO,O,O,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,X
TJSIZLO,O,O,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,O,X,X
TJSIOLZ,O,O,O,X,X,O,X,X
TJSIOZL,O,O,O,X,X,O,X,X
TJSLIZO,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,X,X,X
TJSLZIO,O,O,X,X,O,X,X,X
TJSLZOI,O,O,X,X,O,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X,X
TJSZILO,O,O,X,X,X,X,O,X
TJSZIOL,O,O,X,X,X,X,O,X
TJSZLIO,O,O,X,X,O,X,O,X
TJSZLOI,O,O,X,X,O,X,O,X
TJSZOIL,O,O,X,X,X,X,O,X
TJSZOLI,O,O,X,X,X,X,O,X
TJSOILZ,O,O,O,X,X,O,X,X
TJSOIZL,O,O,O,X,X,O,X,X
TJSOLIZ,O,O,O,X,X,X,X,X
TJSOLZI,O,O,O,X,X,X,X,X
TJSOZIL,O,O,O,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X
TJZILSO,O,X,X,X,O,X,X,X
TJZILOS,X,X,X,X,O,X,X,X
TJZISLO,O,O,X,X,X,X,O,X
TJZISOL,O,O,X,X,X,X,O,X
TJZIOLS,O,X,X,X,X,X,X,O
TJZIOSL,O,O,O,X,X,X,X,O
TJZLISO,O,O,X,O,O,X,X,X
TJZLIOS,X,O,O,O,O,X,X,X
TJZLSIO,O,O,X,O,O,X,X,X
TJZLSOI,O,O,X,O,O,X,X,X
TJZLOIS,O,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,O,X,X,X
TJZSILO,O,O,X,X,X,X,O,X
TJZSIOL,O,O,X,X,X,X,O,X
TJZSLIO,O,O,X,X,O,X,O,X
TJZSLOI,O,O,X,X,O,X,O,X
TJZSOIL,O,O,X,X,X,X,O,X
TJZSOLI,O,O,X,X,X,X,O,X
TJZOILS,O,X,X,X,X,X,X,O
TJZOISL,O,O,O,X,X,X,X,O
TJZOLIS,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,X,X,X
TJZOSIL,O,O,O,X,X,X,X,X
TJZOSLI,O,O,O,X,X,X,X,X
TJOILSZ,O,O,O,X,X,X,X,X
TJOILZS,O,O,O,X,X,X,X,X
TJOISLZ,O,O,O,X,X,O,X,X
TJOISZL,O,O,O,X,X,O,X,X
TJOIZLS,O,X,X,X,X,X,X,O
TJOIZSL,O,O,O,X,X,X,X,O
TJOLISZ,O,O,O,X,X,X,X,X
TJOLIZS,O,O,O,X,O,X,X,X
TJOLSIZ,O,O,O,X,X,X,X,X
TJOLSZI,O,O,O,X,X,X,X,X
TJOLZIS,O,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,O,X,X,X
TJOSILZ,O,O,O,X,X,O,X,X
TJOSIZL,O,O,O,X,X,O,X,X
TJOSLIZ,O,O,O,X,X,X,X,X
TJOSLZI,O,O,O,X,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,X,O
TJOZISL,O,O,O,X,X,X,X,O
TJOZLIS,O,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,O,X,X,X
TJOZSIL,O,O,O,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X
TSILJZO,O,O,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,O,X,X
TSILZJO,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,O,X,X
TSILOZJ,X,O,X,X,X,O,X,X
TSIJLZO,O,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X
TSIJZLO,X,O,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,O,X,X
TSIJOLZ,O,O,X,X,X,O,X,X
TSIJOZL,X,O,X,X,X,O,X,X
TSIZLJO,X,O,X,X,X,X,O,X
TSIZLOJ,X,O,X,X,X,X,O,X
TSIZJLO,X,O,X,X,X,X,O,X
TSIZJOL,X,O,X,X,X,O,O,X
TSIZOLJ,X,O,X,X,X,O,O,O
TSIZOJL,X,O,X,X,X,O,O,O
TSIOLJZ,O,O,X,X,X,O,X,X
TSIOLZJ,X,O,X,X,X,O,X,X
TSIOJLZ,O,O,X,X,X,O,X,X
TSIOJZL,X,O,X,X,X,O,X,X
TSIOZLJ,X,O,X,X,X,O,X,O
TSIOZJL,X,O,X,X,X,O,X,O
TSLIJZO,O,O,X,X,O,X,X,X
TSLIJOZ,O,O,O,X,X,O,X,X
TSLIZJO,O,O,X,X,O,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,O,X,X,O,X,X
TSLIOZJ,X,O,O,X,X,O,X,X
TSLJIZO,O,O,X,X,O,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,X
TSLJZIO,O,O,X,X,O,X,X,X
TSLJZOI,O,O,X,X,O,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,X
TSLJOZI,O,O,O,X,X,X,X,X
TSLZIJO,O,O,X,X,O,X,O,X
TSLZIOJ,X,O,X,X,X,X,O,X
TSLZJIO,O,O,X,X,O,X,O,X
TSLZJOI,O,O,X,X,O,X,O,X
TSLZOIJ,X,O,X,X,X,X,O,X
TSLZOJI,O,O,X,X,X,X,O,X
TSLOIJZ,O,O,O,X,X,O,X,X
TSLOIZJ,X,O,O,X,X,O,X,X
TSLOJIZ,O,O,O,X,X,X,X,X
TSLOJZI,O,O,O,X,X,X,X,X
TSLOZIJ,X,O,O,X,X,X,X,X
TSLOZJI,O,O,O,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,O,X,X
TSJIZLO,O,O,X,X,X,X,X,X
TSJIZOL,O,O,X,X,X,O,X,X
TSJIOLZ,O,O,O,X,X,O,X,X
TSJIOZL,O,O,O,X,X,O,X,X
TSJLIZO,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,X
TSJLZIO,O,O,X,X,O,X,X,X
TSJLZOI,O,O,X,X,O,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,X
TSJLOZI,O,O,O,X,X,X,X,X
TSJZILO,O,O,X,X,X,X,O,X
TSJZIOL,O,O,X,X,X,X,O,X
TSJZLIO,O,O,X,X,O,X,O,X
TSJZLOI,O,O,X,X,O,X,O,X
TSJZOIL,O,O,X,X,X,X,O,X
TSJZOLI,O,O,X,X,X,X,O,X
TSJOILZ,O,O,O,X,X,O,X,X
TSJOIZL,O,O,O,X,X,O,X,X
TSJOLIZ,O,O,O,X,X,X,X,X
TSJOLZI,O,O,O,X,X,X,X,X
TSJOZIL,O,O,O,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,O,X
TSZILOJ,X,O,X,X,X,X,O,X
TSZIJLO,O,O,X,X,X,X,O,X
TSZIJOL,O,O,X,X,X,O,O,X
TSZIOLJ,O,O,X,X,X,O,O,O
TSZIOJL,O,O,X,X,X,O,O,O
TSZLIJO,O,O,X,X,O,X,O,X
TSZLIOJ,X,O,X,X,X,X,O,X
TSZLJIO,O,O,X,X,O,X,O,X
TSZLJOI,O,O,X,X,O,X,O,X
TSZLOIJ,O,O,X,X,X,X,O,X
TSZLOJI,O,O,X,X,X,X,O,X
TSZJILO,O,O,X,X,X,X,O,X
TSZJIOL,O,O,X,X,X,X,O,X
TSZJLIO,O,O,X,X,O,X,O,X
TSZJLOI,O,O,X,X,O,X,O,X
TSZJOIL,O,O,X,X,X,X,O,X
TSZJOLI,O,O,X,X,X,X,O,X
TSZOILJ,O,O,X,X,X,O,O,O
TSZOIJL,O,O,X,X,X,O,O,O
TSZOLIJ,O,O,X,X,X,X,O,X
TSZOLJI,O,O,X,X,X,X,O,X
TSZOJIL,O,O,X,X,X,X,O,X
TSZOJLI,O,O,X,X,X,X,O,X
TSOILJZ,O,O,O,X,X,O,X,X
TSOILZJ,O,O,O,X,X,O,X,X
TSOIJLZ,O,O,O,X,X,O,X,X
TSOIJZL,O,O,O,X,X,O,X,X
TSOIZLJ,O,O,X,X,X,O,X,O
TSOIZJL,O,O,O,X,X,O,X,O
TSOLIJZ,O,O,O,X,X,O,X,X
TSOLIZJ,O,O,O,X,X,O,X,X
TSOLJIZ,O,O,O,X,X,X,X,X
TSOLJZI,O,O,O,X,X,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X
TSOJILZ,O,O,O,X,X,O,X,X
TSOJIZL,O,O,O,X,X,O,X,X
TSOJLIZ,O,O,O,X,X,X,X,X
TSOJLZI,O,O,O,X,X,X,X,X
TSOJZIL,O,O,O,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,X
TSOZILJ,O,O,X,X,X,O,O,O
TSOZIJL,O,O,O,X,X,O,O,O
TSOZLIJ,O,O,O,X,X,X,O,X
TSOZLJI,O,O,O,X,X,X,O,X
TSOZJIL,O,O,O,X,X,X,O,X
TSOZJLI,O,O,O,X,X,X,O,X
TZILJSO,O,X,X,O,O,X,X,X
TZILJOS,X,X,X,O,O,X,X,X
TZILSJO,O,X,X,X,O,X,O,X
TZILSOJ,X,X,X,X,X,X,O,X
TZILOJS,X,X,X,X,O,X,X,O
TZILOSJ,X,X,X,X,X,X,X,O
TZIJLSO,O,X,X,X,O,X,X,X
TZIJLOS,X,X,X,X,O,X,X,X
TZIJSLO,O,X,X,X,X,X,O,X
TZIJSOL,O,X,X,X,X,X,O,X
TZIJOLS,O,X,X,X,X,X,X,O
TZIJOSL,O,X,X,X,X,X,X,O
TZISLJO,O,O,X,X,X,X,O,X
TZISLOJ,X,O,X,X,X,X,O,X
TZISJLO,O,O,X,X,X,X,O,X
TZISJOL,O,O,X,X,X,O,O,X
TZISOLJ,O,O,X,X,X,O,O,O
TZISOJL,O,O,X,X,X,O,O,O
TZIOLJS,O,X,X,X,X,X,X,O
TZIOLSJ,O,X,X,X,X,X,X,O
TZIOJLS,O,X,X,X,X,X,X,O
TZIOJSL,O,X,X,X,X,X,X,O
TZIOSLJ,O,O,X,X,X,X,O,O
TZIOSJL,O,O,X,X,X,X,O,O
TZLIJSO,O,X,X,O,O,X,X,X
TZLIJOS,X,X,O,O,O,X,X,X
TZLISJO,O,O,X,X,O,X,O,X
TZLISOJ,X,O,X,X,X,X,O,X
TZLIOJS,X,X,O,X,O,X,X,O
TZLIOSJ,X,O,O,X,X,X,X,O
TZLJISO,O,X,X,O,O,X,X,X
TZLJIOS,X,X,O,O,O,X,X,X
TZLJSIO,O,O,X,O,O,X,X,X
TZLJSOI,O,O,X,O,O,X,X,X
TZLJOIS,O,X,O,O,O,X,X,X
TZLJOSI,O,O,O,O,O,X,X,X
TZLSIJO,O,O,X,X,O,X,O,X
TZLSIOJ,X,O,X,X,X,X,O,X
TZLSJIO,O,O,X,X,O,X,O,X
TZLSJOI,O,O,X,X,O,X,O,X
TZLSOIJ,O,O,X,X,X,X,O,X
TZLSOJI,O,O,X,X,X,X,O,X
TZLOIJS,O,X,O,X,O,X,X,O
TZLOISJ,O,O,O,X,X,X,X,O
TZLOJIS,O,X,O,O,O,X,X,X
TZLOJSI,O,O,O,O,O,X,X,X
TZLOSIJ,O,O,O,X,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,X
TZJILSO,O,X,X,X,O,X,X,X
TZJILOS,X,X,X,X,O,X,X,X
TZJISLO,O,O,X,X,X,X,O,X
TZJISOL,O,O,X,X,X,X,O,X
TZJIOLS,O,X,X,X,X,X,X,O
TZJIOSL,O,O,O,X,X,X,X,O
TZJLISO,O,O,X,O,O,X,X,X
TZJLIOS,X,O,O,O,O,X,X,X
TZJLSIO,O,O,X,O,O,X,X,X
TZJLSOI,O,O,X,O,O,X,X,X
TZJLOIS,O,O,O,O,O,X,X,X
TZJLOSI,O,O,O,O,O,X,X,X
TZJSILO,O,O,X,X,X,X,O,X
TZJSIOL,O,O,X,X,X,X,O,X
TZJSLIO,O,O,X,X,O,X,O,X
TZJSLOI,O,O,X,X,O,X,O,X
TZJSOIL,O,O,X,X,X,X,O,X
TZJSOLI,O,O,X,X,X,X,O,X
TZJOILS,O,X,X,X,X,X,X,O
TZJOISL,O,O,O,X,X,X,X,O
TZJOLIS,O,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,O,X,X,X
TZJOSIL,O,O,O,X,X,X,X,X
