sequence,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKlBzgBRiBcoBFn?BXrB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKmBfnBxiBTlBFo?B0qB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFxgBliBcoB/qBar?BzrB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKlBRiBcoBFmBXn?BzqB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFxgBliBcoBTlByr?BXrB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKlBRhB3iBcoB1r?BzqB
IOTZSLJ,X,O,X,X,X,X
IOTZSJL,X,O,O,X,O,X
IOLTJSZ,X,O,X,X,X,X
IOLTJZS,X,X,X,X,O,X
IOLTSJZ,X,O,X,X,X,X
IOLTSZJ,X,O,X,X,X,X
IOLTZJS,X,X,X,X,O,X
IOLTZSJ,X,X,X,X,O,X
IOLJTSZ,X,O,X,X,X,X
IOLJTZS,X,X,X,X,O,X
IOLJSTZ,X,O,X,X,X,X
IOLJSZT,X,X,X,X,O,X
IOLJZTS,X,X,O,X,O,X
IOLJZST,X,X,X,X,O,X
IOLSTJZ,X,O,X,X,X,X
IOLSTZJ,X,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,X
IOLSJZT,X,X,X,X,O,X
IOLSZTJ,X,X,X,X,O,X
IOLSZJT,X,X,X,X,O,X
IOLZTJS,X,X,O,X,O,X
IOLZTSJ,X,X,X,X,O,X
IOLZJTS,X,X,O,X,O,X
IOLZJST,X,X,X,X,O,X
IOLZSTJ,X,X,X,X,O,X
IOLZSJT,X,X,X,X,O,X
IOJTLSZ,X,O,X,X,X,X
IOJTLZS,X,X,X,X,O,X
IOJTSLZ,X,O,X,X,X,X
IOJTSZL,X,O,X,X,X,X
IOJTZLS,X,X,O,X,O,X
IOJTZSL,X,O,O,X,O,X
IOJLTSZ,X,O,X,X,X,X
IOJLTZS,X,X,X,X,O,X
IOJLSTZ,X,O,X,X,X,X
IOJLSZT,X,X,X,X,O,X
IOJLZTS,X,X,O,X,O,X
IOJLZST,X,X,X,X,O,X
IOJSTLZ,X,O,X,X,X,X
IOJSTZL,X,O,O,X,X,X
IOJSLTZ,X,O,O,X,X,X
IOJSLZT,X,X,O,X,O,X
IOJSZTL,X,X,O,X,O,X
IOJSZLT,X,X,O,X,O,X
IOJZTLS,X,X,O,X,O,X
IOJZTSL,X,X,O,X,O,X
IOJZLTS,X,X,O,X,O,X
IOJZLST,X,X,X,X,O,X
IOJZSTL,X,X,O,X,O,X
IOJZSLT,X,X,O,X,O,X
IOSTLJZ,X,O,X,X,X,X
IOSTLZJ,X,O,X,X,X,X
IOSTJLZ,X,O,X,X,X,X
IOSTJZL,X,O,O,X,X,X
IOSTZLJ,X,O,O,X,X,X
IOSTZJL,X,O,O,X,X,X
IOSLTJZ,X,O,O,X,X,X
IOSLTZJ,X,O,O,X,X,X
IOSLJTZ,X,O,O,X,X,X
IOSLJZT,X,X,O,X,O,X
IOSLZTJ,X,X,O,X,O,X
IOSLZJT,X,X,O,X,O,X
IOSJTLZ,X,O,X,X,X,X
IOSJTZL,X,O,O,X,X,X
IOSJLTZ,X,O,O,X,X,X
IOSJLZT,X,X,O,X,O,X
IOSJZTL,X,X,O,X,O,X
IOSJZLT,X,X,O,X,O,X
IOSZTLJ,X,X,O,X,X,X
IOSZTJL,X,X,O,X,O,X
IOSZLTJ,X,X,O,X,O,X
IOSZLJT,X,X,O,X,O,X
IOSZJTL,X,X,O,X,O,X
IOSZJLT,X,X,O,X,O,X
IOZTLJS,X,X,O,X,O,X
IOZTLSJ,X,X,X,X,O,X
IOZTJLS,X,X,O,X,O,X
IOZTJSL,X,X,O,X,O,X
IOZTSLJ,X,X,O,X,X,X
IOZTSJL,X,X,O,X,O,X
IOZLTJS,X,X,O,X,O,X
IOZLTSJ,X,X,X,X,O,X
IOZLJTS,X,X,O,X,O,X
IOZLJST,X,X,X,X,O,X
IOZLSTJ,X,X,X,X,O,X
IOZLSJT,X,X,X,X,O,X
IOZJTLS,X,X,O,X,O,X
IOZJTSL,X,X,O,X,O,X
IOZJLTS,X,X,O,X,O,X
IOZJLST,X,X,X,X,O,X
IOZJSTL,X,X,O,X,O,X
IOZJSLT,X,X,O,X,O,X
IOZSTLJ,X,X,O,X,X,X
IOZSTJL,X,X,O,X,O,X
IOZSLTJ,X,X,O,X,O,X
IOZSLJT,X,X,O,X,O,X
IOZSJTL,X,X,O,X,O,X
IOZSJLT,X,X,O,X,O,X
LTIJSZO,O,O,X,O,X,O
LTIJSOZ,O,O,X,X,X,X
LTIJZSO,O,X,X,O,X,O
LTIJZOS,O,X,X,X,X,O
LTIJOSZ,X,O,X,X,X,X
LTIJOZS,O,X,X,X,X,O
LTISJZO,O,O,X,O,X,O
LTISJOZ,O,O,X,X,X,X
LTISZJO,O,O,X,O,X,O
LTISZOJ,O,O,X,O,X,O
LTISOJZ,O,O,X,X,X,X
LTISOZJ,O,O,X,X,X,X
LTIZJSO,O,X,X,O,X,O
LTIZJOS,O,X,X,X,X,O
LTIZSJO,O,X,X,O,X,O
LTIZSOJ,O,X,X,O,X,O
LTIZOJS,O,X,X,X,X,O
LTIZOSJ,O,X,X,X,X,O
LTIOJSZ,X,O,X,X,X,X
LTIOJZS,O,X,X,X,X,O
LTIOSJZ,X,O,X,X,X,X
LTIOSZJ,X,O,X,X,X,X
LTIOZJS,O,X,X,X,X,O
LTIOZSJ,O,X,X,X,X,O
LTJISZO,O,O,X,O,X,O
LTJISOZ,O,O,X,X,X,X
LTJIZSO,O,X,X,O,X,O
LTJIZOS,O,X,X,X,X,O
LTJIOSZ,X,O,X,X,X,X
LTJIOZS,O,X,X,X,X,O
LTJSIZO,O,O,X,O,X,O
LTJSIOZ,O,O,X,X,X,X
LTJSZIO,O,O,X,O,X,O
LTJSZOI,O,O,X,O,X,O
LTJSOIZ,O,O,X,X,X,X
LTJSOZI,O,O,X,O,X,X
LTJZISO,O,X,X,O,X,O
LTJZIOS,O,X,X,X,O,O
LTJZSIO,O,O,X,O,X,O
LTJZSOI,O,O,X,O,O,O
LTJZOIS,O,X,X,X,O,O
LTJZOSI,O,O,X,O,O,O
LTJOISZ,X,O,X,X,X,X
LTJOIZS,O,X,X,X,O,O
LTJOSIZ,O,O,X,X,X,X
LTJOSZI,O,O,X,O,X,X
LTJOZIS,O,X,X,X,O,O
LTJOZSI,O,O,X,O,O,O
LTSIJZO,O,O,X,O,X,O
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,O,O,X,O,X,O
LTSIZOJ,O,O,X,O,X,O
LTSIOJZ,O,O,X,X,X,X
LTSIOZJ,O,O,X,X,X,X
LTSJIZO,O,O,X,O,X,O
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,X,O,X,O
LTSJZOI,O,O,X,O,X,O
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,O,X,O,X,X
LTSZIJO,O,O,X,O,X,O
LTSZIOJ,O,O,X,O,X,O
LTSZJIO,O,O,X,O,X,O
LTSZJOI,O,O,X,O,X,O
LTSZOIJ,O,O,X,O,X,O
LTSZOJI,O,O,X,O,X,O
LTSOIJZ,O,O,X,X,X,X
LTSOIZJ,O,O,X,X,X,X
LTSOJIZ,O,O,X,X,X,X
LTSOJZI,O,O,X,O,X,X
LTSOZIJ,O,O,X,O,X,X
LTSOZJI,O,O,X,O,X,X
LTZIJSO,O,X,X,O,X,O
LTZIJOS,O,X,X,X,O,O
LTZISJO,O,X,X,O,X,O
LTZISOJ,O,X,X,O,X,O
LTZIOJS,O,X,X,X,O,O
LTZIOSJ,O,X,X,X,O,O
LTZJISO,O,X,X,O,X,O
LTZJIOS,O,X,X,X,O,O
LTZJSIO,O,O,X,O,X,O
LTZJSOI,O,O,X,O,O,O
LTZJOIS,O,X,X,X,O,O
LTZJOSI,O,O,X,O,O,O
LTZSIJO,O,O,X,O,X,O
LTZSIOJ,O,O,X,O,X,O
LTZSJIO,O,O,X,O,X,O
LTZSJOI,O,O,X,O,O,O
LTZSOIJ,O,O,X,O,O,O
LTZSOJI,O,O,X,O,O,O
LTZOIJS,O,X,X,X,O,O
LTZOISJ,O,X,X,X,O,O
LTZOJIS,O,X,X,X,O,O
LTZOJSI,O,O,X,O,O,O
LTZOSIJ,O,O,X,O,O,O
LTZOSJI,O,O,X,O,O,O
LTOIJSZ,X,O,X,X,X,X
LTOIJZS,O,X,X,X,O,O
LTOISJZ,X,O,X,X,X,X
LTOISZJ,X,O,X,X,X,X
LTOIZJS,O,X,X,X,O,O
LTOIZSJ,O,X,X,X,O,O
LTOJISZ,X,O,X,X,X,X
LTOJIZS,O,X,X,X,O,O
LTOJSIZ,O,O,X,X,X,X
LTOJSZI,O,O,X,O,X,X
LTOJZIS,O,X,X,X,O,O
LTOJZSI,O,O,X,O,O,O
LTOSIJZ,O,O,X,X,X,X
LTOSIZJ,O,O,X,X,X,X
LTOSJIZ,O,O,X,X,X,X
LTOSJZI,O,O,X,O,X,X
LTOSZIJ,O,O,X,O,X,X
LTOSZJI,O,O,X,O,X,X
LTOZIJS,O,X,X,X,O,O
LTOZISJ,O,X,X,X,O,O
LTOZJIS,O,X,X,X,O,O
LTOZJSI,O,O,X,O,O,O
LTOZSIJ,O,O,X,O,O,O
LTOZSJI,O,O,X,O,O,O
LITJSZO,O,O,X,O,X,O
LITJSOZ,O,O,X,X,X,X
LITJZSO,O,X,X,O,X,O
LITJZOS,O,X,X,X,X,O
LITJOSZ,X,O,X,X,X,X
LITJOZS,O,X,X,X,X,O
LITSJZO,O,O,X,O,X,O
LITSJOZ,O,O,X,X,X,X
LITSZJO,O,O,X,O,X,O
LITSZOJ,O,O,X,O,X,O
LITSOJZ,O,O,X,X,X,X
LITSOZJ,O,O,X,X,X,X
LITZJSO,O,X,X,O,X,O
LITZJOS,O,X,X,X,X,O
LITZSJO,O,X,X,O,X,O
LITZSOJ,O,X,X,O,X,O
LITZOJS,O,X,X,X,X,O
LITZOSJ,O,X,X,X,X,O
LITOJSZ,X,O,X,X,X,X
LITOJZS,O,X,X,X,X,O
LITOSJZ,X,O,X,X,X,X
LITOSZJ,X,O,X,X,X,X
LITOZJS,O,X,X,X,X,O
LITOZSJ,O,X,X,X,X,O
LIJTSZO,O,O,X,O,X,O
LIJTSOZ,O,O,X,X,X,X
LIJTZSO,O,X,X,O,X,O
LIJTZOS,O,X,X,X,X,O
LIJTOSZ,X,O,X,X,X,X
LIJTOZS,O,X,X,X,X,O
LIJSTZO,O,O,X,O,X,X
LIJSTOZ,O,O,X,X,X,X
LIJSZTO,O,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X
LIJSOTZ,O,O,X,X,X,X
LIJSOZT,O,X,X,X,X,X
LIJZTSO,O,X,X,O,X,O
LIJZTOS,O,X,X,X,O,O
LIJZSTO,O,X,X,O,X,O
LIJZSOT,O,X,X,O,X,O
LIJZOTS,O,X,X,X,O,X
LIJZOST,O,X,X,O,O,X
LIJOTSZ,X,O,X,X,X,X
LIJOTZS,O,X,X,X,O,X
LIJOSTZ,X,O,X,X,X,X
LIJOSZT,X,X,X,X,O,X
LIJOZTS,O,X,X,X,O,X
LIJOZST,O,X,X,X,O,X
LISTJZO,O,O,X,O,X,X
LISTJOZ,O,O,X,X,X,X
LISTZJO,O,O,X,O,X,X
LISTZOJ,O,O,X,O,X,X
LISTOJZ,O,O,X,X,X,X
LISTOZJ,O,O,X,X,X,X
LISJTZO,O,O,X,O,X,X
LISJTOZ,O,O,X,X,X,X
LISJZTO,O,X,X,O,X,X
LISJZOT,O,X,X,O,X,X
LISJOTZ,O,O,X,X,X,X
LISJOZT,O,X,X,X,X,X
LISZTJO,O,X,X,O,X,X
LISZTOJ,O,X,X,O,X,X
LISZJTO,O,X,X,O,X,X
LISZJOT,O,X,X,O,X,X
LISZOTJ,O,X,X,O,X,X
LISZOJT,O,X,X,O,X,X
LISOTJZ,O,O,X,X,X,X
LISOTZJ,O,O,X,X,X,X
LISOJTZ,O,O,X,X,X,X
LISOJZT,O,X,X,X,X,X
LISOZTJ,O,X,X,X,X,X
LISOZJT,O,X,X,X,X,X
LIZTJSO,O,X,X,O,X,O
LIZTJOS,O,X,X,X,O,O
LIZTSJO,O,X,X,O,X,O
LIZTSOJ,O,X,X,O,X,O
LIZTOJS,O,X,X,X,O,O
LIZTOSJ,O,X,X,X,O,O
LIZJTSO,O,X,X,O,X,O
LIZJTOS,O,X,X,X,O,O
LIZJSTO,O,X,X,O,X,O
LIZJSOT,O,X,X,O,X,O
LIZJOTS,O,X,X,X,O,X
LIZJOST,O,X,X,O,O,X
LIZSTJO,O,X,X,O,X,O
LIZSTOJ,O,X,X,O,X,O
LIZSJTO,O,X,X,O,X,O
LIZSJOT,O,X,X,O,X,O
LIZSOTJ,O,X,X,O,X,X
LIZSOJT,O,X,X,O,X,O
LIZOTJS,O,X,X,X,O,X
LIZOTSJ,O,X,X,X,O,X
LIZOJTS,O,X,X,X,O,X
LIZOJST,O,X,X,O,O,X
LIZOSTJ,O,X,X,O,O,X
LIZOSJT,O,X,X,O,O,X
LIOTJSZ,X,O,X,X,X,X
LIOTJZS,O,X,X,X,O,X
LIOTSJZ,X,O,X,X,X,X
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,O,X,X,X,O,X
LIOTZSJ,O,X,X,X,O,X
LIOJTSZ,X,O,X,X,X,X
LIOJTZS,O,X,X,X,O,X
LIOJSTZ,X,O,X,X,X,X
LIOJSZT,X,X,X,X,O,X
LIOJZTS,O,X,X,X,O,X
LIOJZST,O,X,X,X,O,X
LIOSTJZ,X,O,X,X,X,X
LIOSTZJ,X,O,X,X,X,X
LIOSJTZ,X,O,X,X,X,X
LIOSJZT,X,X,X,X,O,X
LIOSZTJ,X,X,X,X,O,X
LIOSZJT,X,X,X,X,O,X
LIOZTJS,O,X,X,X,O,X
LIOZTSJ,O,X,X,X,O,X
LIOZJTS,O,X,X,X,O,X
LIOZJST,O,X,X,X,O,X
LIOZSTJ,X,X,X,X,O,X
LIOZSJT,O,X,X,X,O,X
LJTISZO,O,O,X,O,X,O
LJTISOZ,O,O,X,X,X,X
LJTIZSO,O,X,X,O,X,O
LJTIZOS,O,X,X,X,X,O
LJTIOSZ,X,O,X,X,X,X
LJTIOZS,O,X,X,X,X,O
LJTSIZO,O,O,X,O,X,O
LJTSIOZ,O,O,X,X,X,X
LJTSZIO,O,O,X,O,X,O
LJTSZOI,O,O,X,O,X,O
LJTSOIZ,O,O,X,X,X,X
LJTSOZI,O,O,X,O,X,X
LJTZISO,O,X,X,O,X,O
LJTZIOS,O,X,X,X,O,O
LJTZSIO,O,O,X,O,X,O
LJTZSOI,O,O,X,O,O,O
LJTZOIS,O,X,X,X,O,O
LJTZOSI,O,O,X,O,O,O
LJTOISZ,X,O,X,X,X,X
LJTOIZS,O,X,X,X,O,O
LJTOSIZ,O,O,X,X,X,X
LJTOSZI,O,O,X,O,X,X
LJTOZIS,O,X,X,X,O,O
LJTOZSI,O,O,X,O,O,O
LJITSZO,O,O,X,O,X,O
LJITSOZ,O,O,X,X,X,X
LJITZSO,O,X,X,O,X,O
LJITZOS,O,X,X,X,X,O
LJITOSZ,X,O,X,X,X,X
LJITOZS,O,X,X,X,X,O
LJISTZO,O,O,X,O,X,X
LJISTOZ,O,O,X,X,X,X
LJISZTO,O,X,X,O,X,X
LJISZOT,O,X,X,O,X,X
LJISOTZ,O,O,X,X,X,X
LJISOZT,O,X,X,X,X,X
LJIZTSO,O,X,X,O,X,O
LJIZTOS,O,X,X,X,O,O
LJIZSTO,O,X,X,O,X,O
LJIZSOT,O,X,X,O,X,O
LJIZOTS,O,X,X,X,O,X
LJIZOST,O,X,X,O,O,X
LJIOTSZ,X,O,X,X,X,X
LJIOTZS,O,X,X,X,O,X
LJIOSTZ,X,O,X,X,X,X
LJIOSZT,X,X,X,X,O,X
LJIOZTS,O,X,X,X,O,X
LJIOZST,O,X,X,X,O,X
LJSTIZO,O,O,O,O,X,O
LJSTIOZ,O,O,X,X,X,X
LJSTZIO,O,O,O,O,X,O
LJSTZOI,O,O,O,O,X,O
LJSTOIZ,O,O,O,X,X,X
LJSTOZI,O,O,O,O,X,X
LJSITZO,O,O,O,O,X,X
LJSITOZ,O,O,X,X,X,X
LJSIZTO,O,X,O,O,X,X
LJSIZOT,O,X,O,O,X,X
LJSIOTZ,O,O,O,X,X,X
LJSIOZT,O,X,O,X,X,X
LJSZTIO,O,O,O,O,X,O
LJSZTOI,O,O,O,O,O,O
LJSZITO,O,X,O,O,X,O
LJSZIOT,O,X,O,O,X,O
LJSZOTI,O,O,O,O,O,O
LJSZOIT,O,X,O,O,O,O
LJSOTIZ,O,O,O,X,X,X
LJSOTZI,O,O,O,O,X,X
LJSOITZ,O,O,O,X,X,X
LJSOIZT,O,X,O,X,O,X
LJSOZTI,O,O,O,O,O,X
LJSOZIT,O,X,O,O,O,X
LJZTISO,O,X,X,O,X,O
LJZTIOS,O,X,X,X,O,O
LJZTSIO,O,O,O,O,X,O
LJZTSOI,O,O,O,O,O,O
LJZTOIS,O,X,O,X,O,O
LJZTOSI,O,O,O,O,O,O
LJZITSO,O,X,X,O,X,O
LJZITOS,O,X,X,X,O,O
LJZISTO,O,X,X,O,X,O
LJZISOT,O,X,X,O,X,O
LJZIOTS,O,X,X,X,O,X
LJZIOST,O,X,X,O,O,X
LJZSTIO,O,O,O,O,X,O
LJZSTOI,O,O,O,O,O,O
LJZSITO,O,X,O,O,X,O
LJZSIOT,O,X,O,O,X,O
LJZSOTI,O,O,O,O,O,O
LJZSOIT,O,X,O,O,O,O
LJZOTIS,O,X,O,X,O,O
LJZOTSI,O,O,O,O,O,O
LJZOITS,O,X,O,X,O,X
LJZOIST,O,X,X,O,O,X
LJZOSTI,O,O,O,O,O,O
LJZOSIT,O,X,O,O,O,O
LJOTISZ,X,O,X,X,X,X
LJOTIZS,O,X,X,X,O,O
LJOTSIZ,O,O,X,X,X,X
LJOTSZI,O,O,X,O,X,X
LJOTZIS,O,X,X,X,O,O
LJOTZSI,O,O,X,O,O,O
LJOITSZ,X,O,X,X,X,X
LJOITZS,O,X,X,X,O,X
LJOISTZ,X,O,X,X,X,X
LJOISZT,X,X,X,X,O,X
LJOIZTS,O,X,O,X,O,X
LJOIZST,O,X,X,X,O,X
LJOSTIZ,O,O,O,X,X,X
LJOSTZI,O,O,O,O,X,X
LJOSITZ,O,O,O,X,X,X
LJOSIZT,O,X,O,X,O,X
LJOSZTI,O,O,O,O,O,X
LJOSZIT,O,X,O,O,O,X
LJOZTIS,O,X,O,X,O,O
LJOZTSI,O,O,O,O,O,O
LJOZITS,O,X,O,X,O,X
LJOZIST,O,X,X,O,O,X
LJOZSTI,O,O,O,O,O,O
LJOZSIT,O,X,O,O,O,O
LSTIJZO,O,O,O,O,X,O
LSTIJOZ,O,O,X,X,X,X
LSTIZJO,O,O,O,O,X,O
LSTIZOJ,O,O,O,O,X,O
LSTIOJZ,O,O,X,X,X,X
LSTIOZJ,O,O,X,X,X,X
LSTJIZO,O,O,O,O,X,O
LSTJIOZ,O,O,X,X,X,X
LSTJZIO,O,O,O,O,X,O
LSTJZOI,O,O,O,O,X,O
LSTJOIZ,O,O,O,X,X,X
LSTJOZI,O,O,O,O,X,X
LSTZIJO,O,O,O,O,X,O
LSTZIOJ,O,O,O,O,X,O
LSTZJIO,O,O,O,O,X,O
LSTZJOI,O,O,O,O,X,O
LSTZOIJ,O,O,O,O,X,O
LSTZOJI,O,O,O,O,X,O
LSTOIJZ,O,O,O,X,X,X
LSTOIZJ,O,O,O,X,X,X
LSTOJIZ,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X
LSTOZIJ,O,O,O,O,X,X
LSTOZJI,O,O,O,O,X,X
LSITJZO,O,O,O,O,X,X
LSITJOZ,O,O,X,X,X,X
LSITZJO,O,O,O,O,X,X
LSITZOJ,O,O,O,O,X,X
LSITOJZ,O,O,X,X,X,X
LSITOZJ,O,O,X,X,X,X
LSIJTZO,O,O,O,O,X,X
LSIJTOZ,O,O,X,X,X,X
LSIJZTO,O,X,O,O,X,X
LSIJZOT,O,X,O,O,X,X
LSIJOTZ,O,O,O,X,X,X
LSIJOZT,O,X,O,X,X,X
LSIZTJO,O,X,O,O,X,X
LSIZTOJ,O,X,O,O,X,X
LSIZJTO,O,X,O,O,X,X
LSIZJOT,O,X,O,O,X,X
LSIZOTJ,O,X,O,O,X,X
LSIZOJT,O,X,O,O,X,X
LSIOTJZ,O,O,O,X,X,X
LSIOTZJ,O,O,O,X,X,X
LSIOJTZ,O,O,O,X,X,X
LSIOJZT,O,X,O,X,X,X
LSIOZTJ,O,X,O,X,X,X
LSIOZJT,O,X,O,X,X,X
LSJTIZO,O,O,O,O,X,O
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,O,O,O,X,O
LSJTZOI,O,O,O,O,X,O
LSJTOIZ,O,O,O,X,X,X
LSJTOZI,O,O,O,O,X,X
LSJITZO,O,O,O,O,X,X
LSJITOZ,O,O,X,X,X,X
LSJIZTO,O,X,O,O,X,X
LSJIZOT,O,X,O,O,X,X
LSJIOTZ,O,O,O,X,X,X
LSJIOZT,O,X,O,X,X,X
LSJZTIO,O,O,O,O,X,O
LSJZTOI,O,O,O,O,O,O
LSJZITO,O,X,O,O,X,O
LSJZIOT,O,X,O,O,X,O
LSJZOTI,O,O,O,O,O,O
LSJZOIT,O,X,O,O,O,O
LSJOTIZ,O,O,O,X,X,X
LSJOTZI,O,O,O,O,X,X
LSJOITZ,O,O,O,X,X,X
LSJOIZT,O,X,O,X,O,X
LSJOZTI,O,O,O,O,O,X
LSJOZIT,O,X,O,O,O,X
LSZTIJO,O,O,O,O,X,O
LSZTIOJ,O,O,O,O,X,O
LSZTJIO,O,O,O,O,X,O
LSZTJOI,O,O,O,O,O,O
LSZTOIJ,O,O,O,O,O,O
LSZTOJI,O,O,O,O,O,O
LSZITJO,O,X,O,O,X,O
LSZITOJ,O,X,O,O,X,O
LSZIJTO,O,X,O,O,X,O
LSZIJOT,O,X,O,O,X,O
LSZIOTJ,O,X,O,O,X,X
LSZIOJT,O,X,O,O,X,O
LSZJTIO,O,O,O,O,X,O
LSZJTOI,O,O,O,O,O,O
LSZJITO,O,X,O,O,X,O
LSZJIOT,O,X,O,O,X,O
LSZJOTI,O,O,O,O,O,O
LSZJOIT,O,X,O,O,O,O
LSZOTIJ,O,O,O,O,O,O
LSZOTJI,O,O,O,O,O,O
LSZOITJ,O,X,O,O,O,X
LSZOIJT,O,X,O,O,O,O
LSZOJTI,O,O,O,O,O,O
LSZOJIT,O,X,O,O,O,O
LSOTIJZ,O,O,O,X,X,X
LSOTIZJ,O,O,O,X,X,X
LSOTJIZ,O,O,O,X,X,X
LSOTJZI,O,O,O,O,X,X
LSOTZIJ,O,O,O,O,X,X
LSOTZJI,O,O,O,O,X,X
LSOITJZ,O,O,O,X,X,X
LSOITZJ,O,O,O,X,X,X
LSOIJTZ,O,O,O,X,X,X
LSOIJZT,O,X,O,X,O,X
LSOIZTJ,O,X,O,X,O,X
LSOIZJT,O,X,O,X,O,X
LSOJTIZ,O,O,O,X,X,X
LSOJTZI,O,O,O,O,X,X
LSOJITZ,O,O,O,X,X,X
LSOJIZT,O,X,O,X,O,X
LSOJZTI,O,O,O,O,O,X
LSOJZIT,O,X,O,O,O,X
LSOZTIJ,O,O,O,O,O,X
LSOZTJI,O,O,O,O,O,X
LSOZITJ,O,X,O,O,O,X
LSOZIJT,O,X,O,O,O,X
LSOZJTI,O,O,O,O,O,X
LSOZJIT,O,X,O,O,O,X
LZTIJSO,O,X,X,O,X,O
LZTIJOS,O,X,X,X,O,O
LZTISJO,O,X,X,O,X,O
LZTISOJ,O,X,X,O,X,O
LZTIOJS,O,X,X,X,O,O
LZTIOSJ,O,X,X,X,O,O
LZTJISO,O,X,X,O,X,O
LZTJIOS,O,X,X,X,O,O
LZTJSIO,O,O,O,O,X,O
LZTJSOI,O,O,O,O,O,O
LZTJOIS,O,X,O,X,O,O
LZTJOSI,O,O,O,O,O,O
LZTSIJO,O,O,O,O,X,O
LZTSIOJ,O,O,O,O,X,O
LZTSJIO,O,O,O,O,X,O
LZTSJOI,O,O,O,O,O,O
LZTSOIJ,O,O,O,O,O,O
LZTSOJI,O,O,O,O,O,O
LZTOIJS,O,X,O,X,O,O
LZTOISJ,O,X,X,X,O,O
LZTOJIS,O,X,O,X,O,O
LZTOJSI,O,O,O,O,O,O
LZTOSIJ,O,O,O,O,O,O
LZTOSJI,O,O,O,O,O,O
LZITJSO,O,X,X,O,X,O
LZITJOS,O,X,X,X,O,O
LZITSJO,O,X,X,O,X,O
LZITSOJ,O,X,X,O,X,O
LZITOJS,O,X,X,X,O,O
LZITOSJ,O,X,X,X,O,O
LZIJTSO,O,X,X,O,X,O
LZIJTOS,O,X,X,X,O,O
LZIJSTO,O,X,X,O,X,O
LZIJSOT,O,X,X,O,X,O
LZIJOTS,O,X,X,X,O,X
LZIJOST,O,X,X,O,O,X
LZISTJO,O,X,X,O,X,O
LZISTOJ,O,X,X,O,X,O
LZISJTO,O,X,X,O,X,O
LZISJOT,O,X,X,O,X,O
LZISOTJ,O,X,X,O,X,X
LZISOJT,O,X,X,O,X,O
LZIOTJS,O,X,X,X,O,X
LZIOTSJ,O,X,X,X,O,X
LZIOJTS,O,X,X,X,O,X
LZIOJST,O,X,X,O,O,X
LZIOSTJ,O,X,X,O,O,X
LZIOSJT,O,X,X,O,O,X
LZJTISO,O,X,X,O,X,O
LZJTIOS,O,X,X,X,O,O
LZJTSIO,O,O,O,O,X,O
LZJTSOI,O,O,O,O,O,O
LZJTOIS,O,X,O,X,O,O
LZJTOSI,O,O,O,O,O,O
LZJITSO,O,X,X,O,X,O
LZJITOS,O,X,X,X,O,O
LZJISTO,O,X,X,O,X,O
LZJISOT,O,X,X,O,X,O
LZJIOTS,O,X,X,X,O,X
LZJIOST,O,X,X,O,O,X
LZJSTIO,O,O,O,O,X,O
LZJSTOI,O,O,O,O,O,O
LZJSITO,O,X,O,O,X,O
LZJSIOT,O,X,O,O,X,O
LZJSOTI,O,O,O,O,O,O
LZJSOIT,O,X,O,O,O,O
LZJOTIS,O,X,O,X,O,O
LZJOTSI,O,O,O,O,O,O
LZJOITS,O,X,O,X,O,X
LZJOIST,O,X,X,O,O,X
LZJOSTI,O,O,O,O,O,O
LZJOSIT,O,X,O,O,O,O
LZSTIJO,O,O,O,O,X,O
LZSTIOJ,O,O,O,O,X,O
LZSTJIO,O,O,O,O,X,O
LZSTJOI,O,O,O,O,O,O
LZSTOIJ,O,O,O,O,O,O
LZSTOJI,O,O,O,O,O,O
LZSITJO,O,X,O,O,X,O
LZSITOJ,O,X,O,O,X,O
LZSIJTO,O,X,O,O,X,O
LZSIJOT,O,X,O,O,X,O
LZSIOTJ,O,X,O,O,X,X
LZSIOJT,O,X,O,O,X,O
LZSJTIO,O,O,O,O,X,O
LZSJTOI,O,O,O,O,O,O
LZSJITO,O,X,O,O,X,O
LZSJIOT,O,X,O,O,X,O
LZSJOTI,O,O,O,O,O,O
LZSJOIT,O,X,O,O,O,O
LZSOTIJ,O,O,O,O,O,O
LZSOTJI,O,O,O,O,O,O
LZSOITJ,O,X,O,O,O,X
LZSOIJT,O,X,O,O,O,O
LZSOJTI,O,O,O,O,O,O
LZSOJIT,O,X,O,O,O,O
LZOTIJS,O,X,O,X,O,O
LZOTISJ,O,X,X,X,O,O
LZOTJIS,O,X,O,X,O,O
LZOTJSI,O,O,O,O,O,O
LZOTSIJ,O,O,O,O,O,O
LZOTSJI,O,O,O,O,O,O
LZOITJS,O,X,O,X,O,X
