sequence,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBVnBaoBT?kBeqB0sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeKEJvhFUhBGiBZoBF?lB/sBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBliBikBU?nBetBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBmiBypBF?nBzsB0pB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeUBJvhFRiB/pBFlBi?nBzsBmpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeT/IvhFXhBZoBUnBl?pBOqB6sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFVmBUiBikBe?tB3nBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeOFJvhFXhBZoBTkBF?nB6sB0pB
TLJZIOS,O,X,O,X,X,X,O,X
TLJZSIO,O,O,O,X,X,X,O,X
TLJZSOI,O,O,O,X,X,X,O,X
TLJZOIS,O,X,O,X,X,X,O,X
TLJZOSI,O,X,O,X,X,X,O,X
TLJOISZ,O,X,O,X,X,X,O,X
TLJOIZS,O,X,X,X,X,X,O,X
TLJOSIZ,O,X,O,X,X,X,O,X
TLJOSZI,O,X,X,X,X,X,O,X
TLJOZIS,O,X,X,X,X,X,O,X
TLJOZSI,O,X,X,X,X,X,O,X
TLSIJZO,O,O,O,X,X,X,O,X
TLSIJOZ,O,O,O,X,X,X,X,O
TLSIZJO,O,O,X,X,X,O,X,X
TLSIZOJ,O,O,X,X,O,O,X,X
TLSIOJZ,O,O,X,O,X,X,X,O
TLSIOZJ,X,O,X,O,X,O,X,X
TLSJIZO,O,O,O,X,X,X,O,X
TLSJIOZ,O,O,O,X,X,X,X,O
TLSJZIO,O,O,O,X,X,X,O,X
TLSJZOI,O,O,O,X,O,X,O,X
TLSJOIZ,O,O,O,X,X,X,X,O
TLSJOZI,O,O,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,O,X,X
TLSZIOJ,O,O,X,X,O,O,X,X
TLSZJIO,O,O,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X
TLSZOIJ,O,O,X,X,O,O,X,X
TLSZOJI,O,O,X,X,O,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,O
TLSOIZJ,X,O,X,O,X,O,X,X
TLSOJIZ,O,O,X,O,X,X,X,O
TLSOJZI,O,O,X,O,X,X,X,X
TLSOZIJ,X,O,X,O,O,O,X,X
TLSOZJI,X,O,X,O,O,X,X,X
TLZIJSO,O,O,X,X,X,O,O,X
TLZIJOS,O,X,X,X,X,O,O,X
TLZISJO,O,O,X,X,X,O,X,X
TLZISOJ,O,O,X,X,X,O,X,X
TLZIOJS,O,X,X,X,X,O,X,X
TLZIOSJ,X,O,X,X,X,O,X,X
TLZJISO,O,O,X,X,X,X,O,X
TLZJIOS,O,X,X,X,X,X,O,X
TLZJSIO,O,O,X,X,X,X,O,X
TLZJSOI,O,O,X,X,X,X,O,X
TLZJOIS,O,X,X,X,X,X,O,X
TLZJOSI,O,X,X,X,X,X,O,X
TLZSIJO,O,O,X,X,X,O,X,X
TLZSIOJ,O,O,X,X,O,O,X,X
TLZSJIO,O,O,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X
TLZSOIJ,O,O,X,X,O,O,X,X
TLZSOJI,O,O,X,X,O,X,X,X
TLZOIJS,O,X,X,X,X,O,X,X
TLZOISJ,X,O,X,X,X,O,X,X
TLZOJIS,O,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,O,X,X
TLZOSJI,O,O,X,X,X,X,X,X
TLOIJSZ,O,X,X,O,X,X,O,X
TLOIJZS,O,X,X,O,X,X,O,X
TLOISJZ,X,O,X,O,X,X,O,O
TLOISZJ,X,O,X,O,X,O,X,X
TLOIZJS,X,X,X,O,X,O,O,X
TLOIZSJ,X,O,X,O,X,O,X,X
TLOJISZ,O,X,X,O,X,X,O,X
TLOJIZS,O,X,X,O,X,X,O,X
TLOJSIZ,O,X,X,O,X,X,O,X
TLOJSZI,O,X,X,O,X,X,O,X
TLOJZIS,O,X,X,O,X,X,O,X
TLOJZSI,O,X,X,O,X,X,O,X
TLOSIJZ,O,O,X,O,X,X,O,O
TLOSIZJ,X,O,X,O,X,O,X,X
TLOSJIZ,O,O,X,O,X,X,O,O
TLOSJZI,O,O,X,O,X,X,O,X
TLOSZIJ,X,O,X,O,X,O,X,X
TLOSZJI,X,O,X,O,X,X,X,X
TLOZIJS,O,X,X,O,X,O,O,X
TLOZISJ,X,O,X,O,X,O,X,X
TLOZJIS,O,X,X,O,X,X,O,X
TLOZJSI,O,X,X,O,X,X,O,X
TLOZSIJ,X,O,X,O,X,O,X,X
TLOZSJI,O,O,X,O,X,X,X,X
TJILSZO,O,X,O,X,X,X,O,X
TJILSOZ,O,X,O,X,X,X,X,X
TJILZSO,O,X,O,X,X,X,O,X
TJILZOS,O,X,X,X,X,X,O,X
TJILOSZ,O,X,O,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,O,X
TJISLZO,O,X,O,X,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X,O
TJISZLO,O,X,O,X,X,O,X,X
TJISZOL,O,X,O,X,X,O,X,O
TJISOLZ,O,X,O,X,X,X,X,O
TJISOZL,O,X,O,X,X,O,X,O
TJIZLSO,O,X,X,X,X,O,O,X
TJIZLOS,O,X,X,X,X,O,O,X
TJIZSLO,O,X,X,X,X,O,X,X
TJIZSOL,O,X,X,X,X,O,X,X
TJIZOLS,O,X,X,X,X,O,O,X
TJIZOSL,O,X,X,X,X,O,X,X
TJIOLSZ,O,X,O,X,X,X,O,X
TJIOLZS,O,X,O,X,X,X,O,X
TJIOSLZ,O,X,O,X,X,X,X,O
TJIOSZL,O,X,O,X,X,O,X,O
TJIOZLS,O,X,X,X,X,O,O,X
TJIOZSL,O,X,X,X,X,O,X,X
TJLISZO,O,X,O,X,X,X,O,X
TJLISOZ,O,X,O,X,X,X,X,X
TJLIZSO,O,X,O,X,X,X,O,X
TJLIZOS,O,X,O,X,X,X,O,X
TJLIOSZ,O,X,O,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,O,X
TJLSIZO,O,X,O,X,X,X,O,X
TJLSIOZ,O,X,O,X,X,X,X,X
TJLSZIO,O,X,O,X,X,X,O,X
TJLSZOI,O,X,O,X,X,X,O,X
TJLSOIZ,O,X,O,X,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X,X
TJLZISO,O,X,O,X,X,X,O,X
TJLZIOS,O,X,O,X,X,X,O,X
TJLZSIO,O,X,O,X,X,X,O,X
TJLZSOI,O,X,O,X,X,X,O,X
TJLZOIS,O,X,O,X,X,X,O,X
TJLZOSI,O,X,O,X,X,X,O,X
TJLOISZ,O,X,O,X,X,X,O,X
TJLOIZS,O,X,O,X,X,X,O,X
TJLOSIZ,O,X,O,X,X,X,O,X
TJLOSZI,O,X,O,X,X,X,O,X
TJLOZIS,O,X,O,X,X,X,O,X
TJLOZSI,O,X,O,X,X,X,O,X
TJSILZO,O,X,O,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,O
TJSIZLO,O,X,O,X,X,O,X,X
TJSIZOL,O,X,O,X,X,O,X,O
TJSIOLZ,O,X,O,X,X,X,X,O
TJSIOZL,O,X,O,X,X,O,X,O
TJSLIZO,O,X,O,X,X,X,O,X
TJSLIOZ,O,X,O,X,X,X,X,O
TJSLZIO,O,X,O,X,X,X,O,X
TJSLZOI,O,X,O,X,X,X,O,X
TJSLOIZ,O,X,O,X,X,X,X,O
TJSLOZI,O,X,O,X,X,X,X,X
TJSZILO,O,X,O,X,X,O,X,X
TJSZIOL,O,X,O,X,X,O,X,O
TJSZLIO,O,X,O,X,X,X,O,X
TJSZLOI,O,X,O,X,X,X,O,X
TJSZOIL,O,X,O,X,X,O,X,O
TJSZOLI,O,X,O,X,X,X,O,X
TJSOILZ,O,X,O,X,X,X,X,O
TJSOIZL,O,X,O,X,X,O,X,O
TJSOLIZ,O,X,O,X,X,X,O,O
TJSOLZI,O,X,O,X,X,X,O,X
TJSOZIL,O,X,O,X,X,O,X,O
TJSOZLI,O,X,O,X,X,X,O,X
TJZILSO,O,X,O,X,X,O,O,X
TJZILOS,O,X,O,X,X,O,O,X
TJZISLO,O,X,O,X,X,O,X,X
TJZISOL,O,X,O,X,X,O,X,X
TJZIOLS,O,X,O,X,X,O,O,X
TJZIOSL,O,X,O,X,X,O,X,X
TJZLISO,O,X,O,X,X,X,O,X
TJZLIOS,O,X,O,X,X,X,O,X
TJZLSIO,O,X,O,X,X,X,O,X
TJZLSOI,O,X,O,X,X,X,O,X
TJZLOIS,O,X,O,X,X,X,O,X
TJZLOSI,O,X,O,X,X,X,O,X
TJZSILO,O,X,O,X,X,O,X,X
TJZSIOL,O,X,O,X,X,O,X,X
TJZSLIO,O,X,O,X,X,X,O,X
TJZSLOI,O,X,O,X,X,X,O,X
TJZSOIL,O,X,O,X,X,O,X,X
TJZSOLI,O,X,O,X,X,X,O,X
TJZOILS,O,X,O,X,X,O,O,X
TJZOISL,O,X,O,X,X,O,X,X
TJZOLIS,O,X,O,X,X,X,O,X
TJZOLSI,O,X,O,X,X,X,O,X
TJZOSIL,O,X,O,X,X,O,X,X
TJZOSLI,O,X,O,X,X,X,O,X
TJOILSZ,O,X,O,X,X,X,O,X
TJOILZS,O,X,O,X,X,X,O,X
TJOISLZ,O,X,O,X,X,X,X,O
TJOISZL,O,X,O,X,X,O,X,O
TJOIZLS,O,X,X,X,X,O,O,X
TJOIZSL,O,X,X,X,X,O,X,X
TJOLISZ,O,X,O,X,X,X,O,X
TJOLIZS,O,X,O,X,X,X,O,X
TJOLSIZ,O,X,O,X,X,X,O,X
TJOLSZI,O,X,O,X,X,X,O,X
TJOLZIS,O,X,O,X,X,X,O,X
TJOLZSI,O,X,O,X,X,X,O,X
TJOSILZ,O,X,O,X,X,X,X,O
TJOSIZL,O,X,O,X,X,O,X,O
TJOSLIZ,O,X,O,X,X,X,O,O
TJOSLZI,O,X,O,X,X,X,O,X
TJOSZIL,O,X,O,X,X,O,X,O
TJOSZLI,O,X,O,X,X,X,O,X
TJOZILS,O,X,O,X,X,O,O,X
TJOZISL,O,X,O,X,X,O,X,X
TJOZLIS,O,X,O,X,X,X,O,X
TJOZLSI,O,X,O,X,X,X,O,X
TJOZSIL,O,X,O,X,X,O,X,X
TJOZSLI,O,X,O,X,X,X,O,X
TSILJZO,O,O,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,O
TSILZJO,O,O,X,X,X,O,X,X
TSILZOJ,O,O,X,X,O,O,X,X
TSILOJZ,O,O,X,X,X,X,X,O
TSILOZJ,X,O,X,X,X,O,X,X
TSIJLZO,O,O,O,X,X,X,X,X
TSIJLOZ,O,O,O,X,X,X,X,O
TSIJZLO,O,O,O,X,X,O,X,X
TSIJZOL,O,X,O,X,X,O,X,O
TSIJOLZ,O,X,O,X,X,X,X,O
TSIJOZL,O,X,O,X,X,O,X,O
TSIZLJO,O,O,X,X,X,O,X,X
TSIZLOJ,O,O,X,X,O,O,X,X
TSIZJLO,O,O,X,X,X,O,X,X
TSIZJOL,O,X,X,X,X,O,X,O
TSIZOLJ,O,X,X,X,O,O,X,X
TSIZOJL,X,X,X,X,X,O,X,O
TSIOLJZ,O,X,X,O,O,X,X,O
TSIOLZJ,X,X,X,X,O,O,X,X
TSIOJLZ,X,X,X,O,X,X,X,O
TSIOJZL,X,X,X,O,X,O,X,O
TSIOZLJ,O,X,X,X,O,O,X,X
TSIOZJL,X,X,X,O,X,O,X,O
TSLIJZO,O,O,O,X,X,X,O,X
TSLIJOZ,O,O,O,X,X,X,X,O
TSLIZJO,O,O,X,X,X,O,X,X
TSLIZOJ,O,O,X,X,O,O,X,X
TSLIOJZ,O,O,X,O,X,X,X,O
TSLIOZJ,X,O,X,O,X,O,X,X
TSLJIZO,O,O,O,X,X,X,O,X
TSLJIOZ,O,O,O,X,X,X,X,O
TSLJZIO,O,O,O,X,X,X,O,X
TSLJZOI,O,O,O,X,O,X,O,X
TSLJOIZ,O,O,O,X,X,X,X,O
TSLJOZI,O,O,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,O,X,X
TSLZIOJ,O,O,X,X,O,O,X,X
TSLZJIO,O,O,X,X,X,X,X,X
TSLZJOI,O,O,X,X,O,X,X,X
TSLZOIJ,O,O,X,X,O,O,X,X
TSLZOJI,O,O,X,X,O,X,X,X
TSLOIJZ,O,O,X,O,O,X,X,O
TSLOIZJ,X,O,X,O,O,O,X,X
TSLOJIZ,O,O,X,O,O,X,X,O
TSLOJZI,O,O,X,O,O,X,X,X
TSLOZIJ,X,O,X,O,O,O,X,X
TSLOZJI,X,O,X,O,O,X,X,X
TSJILZO,O,O,O,X,X,X,X,X
TSJILOZ,O,O,O,X,X,X,X,O
TSJIZLO,O,O,O,X,X,O,X,X
TSJIZOL,O,X,O,X,X,O,X,O
TSJIOLZ,O,X,O,X,X,X,X,O
TSJIOZL,O,X,O,X,X,O,X,O
TSJLIZO,O,O,O,X,X,X,O,X
TSJLIOZ,O,O,O,X,X,X,X,O
TSJLZIO,O,O,O,X,X,X,O,X
TSJLZOI,O,O,O,X,O,X,O,X
TSJLOIZ,O,O,O,X,X,X,X,O
TSJLOZI,O,O,O,X,X,X,X,X
TSJZILO,O,O,O,X,X,O,X,X
TSJZIOL,O,X,O,X,X,O,X,O
TSJZLIO,O,O,O,X,X,X,O,X
TSJZLOI,O,O,O,X,O,X,O,X
TSJZOIL,O,X,O,X,X,O,X,O
TSJZOLI,O,X,O,X,O,X,O,X
TSJOILZ,O,X,O,X,X,X,X,O
TSJOIZL,O,X,O,X,X,O,X,O
TSJOLIZ,O,X,O,X,O,X,O,O
TSJOLZI,O,X,O,X,O,X,O,X
TSJOZIL,O,X,O,X,X,O,X,O
TSJOZLI,O,X,O,X,O,X,O,X
TSZILJO,O,O,X,X,X,O,X,X
TSZILOJ,O,O,X,X,O,O,X,X
TSZIJLO,O,O,X,X,X,O,X,X
TSZIJOL,O,X,X,X,X,O,X,O
TSZIOLJ,O,X,X,X,O,O,X,X
TSZIOJL,X,X,X,X,X,O,X,O
TSZLIJO,O,O,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,O,O,X,X
TSZLJIO,O,O,X,X,X,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X
TSZLOIJ,O,O,X,X,O,O,X,X
TSZLOJI,O,O,X,X,O,X,X,X
TSZJILO,O,O,X,X,X,O,X,X
TSZJIOL,O,X,X,X,X,O,X,O
TSZJLIO,O,O,X,X,X,X,X,X
TSZJLOI,O,O,X,X,O,X,X,X
TSZJOIL,O,X,X,X,X,O,X,O
TSZJOLI,O,X,X,X,O,X,X,X
TSZOILJ,O,X,X,X,O,O,X,X
TSZOIJL,X,X,X,X,X,O,X,O
TSZOLIJ,O,X,X,X,O,O,X,X
TSZOLJI,O,X,X,X,O,X,X,X
TSZOJIL,O,X,X,X,X,O,X,O
TSZOJLI,O,X,X,X,O,X,X,X
TSOILJZ,O,X,X,O,O,X,X,O
TSOILZJ,X,X,X,O,O,O,X,X
TSOIJLZ,X,X,O,O,X,X,X,O
TSOIJZL,X,X,O,O,X,O,X,O
TSOIZLJ,O,X,X,X,O,O,X,X
TSOIZJL,X,X,X,O,X,O,X,O
TSOLIJZ,O,X,O,O,O,X,O,O
TSOLIZJ,X,X,X,O,O,O,X,X
TSOLJIZ,O,X,O,O,O,X,O,O
TSOLJZI,O,X,O,O,O,X,O,X
TSOLZIJ,X,X,X,O,O,O,X,X
TSOLZJI,X,X,X,O,O,X,X,X
TSOJILZ,O,X,O,O,X,X,X,O
TSOJIZL,O,X,O,O,X,O,X,O
TSOJLIZ,O,X,O,O,O,X,O,O
TSOJLZI,O,X,O,O,O,X,O,X
TSOJZIL,O,X,O,O,X,O,X,O
TSOJZLI,O,X,O,O,O,X,O,X
TSOZILJ,O,X,X,X,O,O,X,X
TSOZIJL,X,X,X,O,X,O,X,O
TSOZLIJ,O,X,X,O,O,O,X,X
TSOZLJI,O,X,X,O,O,X,X,X
TSOZJIL,O,X,X,O,X,O,X,O
TSOZJLI,O,X,X,O,O,X,X,X
TZILJSO,O,O,X,X,X,O,X,X
TZILJOS,O,X,X,X,X,O,X,X
TZILSJO,O,O,X,X,X,O,X,X
TZILSOJ,O,O,X,X,X,O,X,X
TZILOJS,O,X,X,X,X,O,X,X
TZILOSJ,X,O,X,X,X,O,X,X
TZIJLSO,O,X,X,X,X,O,X,X
TZIJLOS,O,X,X,X,X,O,X,X
TZIJSLO,O,X,X,X,X,O,X,X
TZIJSOL,O,X,X,X,X,O,X,X
TZIJOLS,O,X,X,X,X,O,X,X
TZIJOSL,O,X,X,X,X,O,X,X
TZISLJO,O,O,X,X,X,O,X,X
TZISLOJ,O,O,X,X,X,O,X,X
TZISJLO,O,O,X,X,X,O,X,X
TZISJOL,O,X,X,X,X,O,X,O
TZISOLJ,O,X,X,X,X,O,X,X
TZISOJL,X,X,X,X,X,O,X,O
TZIOLJS,O,X,X,X,X,O,X,X
TZIOLSJ,X,X,X,X,X,O,X,X
TZIOJLS,O,X,X,X,X,O,X,X
TZIOJSL,O,X,X,X,X,O,X,X
TZIOSLJ,X,X,X,X,X,O,X,X
TZIOSJL,X,X,X,X,X,O,X,O
TZLIJSO,O,O,X,X,X,O,O,X
TZLIJOS,O,X,X,X,X,O,O,X
TZLISJO,O,O,X,X,X,O,X,X
TZLISOJ,O,O,X,X,X,O,X,X
TZLIOJS,O,X,X,X,X,O,X,X
TZLIOSJ,X,O,X,X,X,O,X,X
TZLJISO,O,O,X,X,X,X,O,X
TZLJIOS,O,X,X,X,X,X,O,X
TZLJSIO,O,O,X,X,X,X,O,X
TZLJSOI,O,O,X,X,X,X,O,X
TZLJOIS,O,X,X,X,X,X,O,X
TZLJOSI,O,X,X,X,X,X,O,X
TZLSIJO,O,O,X,X,X,O,X,X
TZLSIOJ,O,O,X,X,O,O,X,X
TZLSJIO,O,O,X,X,X,X,X,X
TZLSJOI,O,O,X,X,O,X,X,X
TZLSOIJ,O,O,X,X,O,O,X,X
TZLSOJI,O,O,X,X,O,X,X,X
TZLOIJS,O,X,X,X,X,O,X,X
TZLOISJ,X,O,X,X,X,O,X,X
TZLOJIS,O,X,X,X,X,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,O,X,X
TZLOSJI,O,O,X,X,X,X,X,X
TZJILSO,O,X,X,X,X,O,O,X
TZJILOS,O,X,X,X,X,O,O,X
TZJISLO,O,X,X,X,X,O,X,X
TZJISOL,O,X,X,X,X,O,X,X
TZJIOLS,O,X,X,X,X,O,O,X
TZJIOSL,O,X,X,X,X,O,X,X
TZJLISO,O,X,X,X,X,X,O,X
TZJLIOS,O,X,X,X,X,X,O,X
TZJLSIO,O,X,X,X,X,X,O,X
TZJLSOI,O,X,X,X,X,X,O,X
TZJLOIS,O,X,X,X,X,X,O,X
TZJLOSI,O,X,X,X,X,X,O,X
TZJSILO,O,X,X,X,X,O,X,X
TZJSIOL,O,X,X,X,X,O,X,X
TZJSLIO,O,X,X,X,X,X,O,X
TZJSLOI,O,X,X,X,X,X,O,X
TZJSOIL,O,X,X,X,X,O,X,X
