sequence,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhB3iB5oBy?sB0pBWxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhB3iB5oBq?pB8sBzrB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhBziB5oBq?pB8rB3sB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KelBJvhF3iB5oBTkBy?sBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KexBJvhFTkBFnBXoB6?tBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhBeoB5oBX?nB0pBSxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KemCJvhF5oBTkBFnB6?rB3sB0pB
TISOLJZ,X,O,O,X,X,X,O
TISOLZJ,X,O,O,X,X,X,X
TISOJLZ,X,X,X,O,X,X,O
TISOJZL,X,X,X,X,X,X,O
TISOZLJ,X,O,O,X,X,X,X
TISOZJL,X,O,O,X,X,X,O
TIZLJSO,O,O,O,X,X,X,X
TIZLJOS,O,O,O,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X
TIZLOJS,O,O,O,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X
TIZJLSO,O,O,O,O,X,X,X
TIZJLOS,O,O,O,O,X,X,X
TIZJSLO,O,O,O,X,X,O,X
TIZJSOL,O,X,O,X,X,O,X
TIZJOLS,O,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,O,X
TIZSLJO,O,O,O,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X
TIZSOJL,O,X,O,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X
TIZOJLS,O,O,X,O,X,X,X
TIZOJSL,O,O,X,X,X,O,X
TIZOSLJ,O,O,O,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X
TIOLJSZ,X,O,X,O,X,X,X
TIOLJZS,X,O,O,O,X,X,X
TIOLSJZ,X,O,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,X
TIOJLSZ,O,O,X,O,O,X,X
TIOJLZS,O,O,X,O,X,X,X
TIOJSLZ,X,X,X,O,O,X,X
TIOJSZL,X,X,X,X,O,X,X
TIOJZLS,O,O,X,O,X,X,X
TIOJZSL,O,O,X,X,O,X,X
TIOSLJZ,X,O,X,X,X,X,O
TIOSLZJ,X,O,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,O
TIOSJZL,X,X,X,X,X,X,O
TIOSZLJ,X,O,X,X,X,X,X
TIOSZJL,X,O,X,X,X,X,O
TIOZLJS,O,O,O,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X
TLIJSZO,O,O,O,O,X,X,X
TLIJSOZ,O,O,O,O,X,X,X
TLIJZSO,O,O,O,O,X,X,X
TLIJZOS,O,O,O,O,X,X,X
TLIJOSZ,O,O,X,O,X,X,X
TLIJOZS,O,O,O,O,X,X,X
TLISJZO,O,O,O,X,X,X,X
TLISJOZ,X,O,O,X,X,X,X
TLISZJO,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X
TLISOZJ,O,O,O,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X
TLIZOJS,O,O,O,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X
TLIOJSZ,X,O,X,O,X,X,X
TLIOJZS,X,O,O,O,X,X,X
TLIOSJZ,X,O,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X
TLJISZO,O,O,O,O,X,X,X
TLJISOZ,O,O,O,O,X,X,X
TLJIZSO,O,O,O,O,X,X,X
TLJIZOS,O,O,O,O,X,X,X
TLJIOSZ,O,O,X,O,X,X,X
TLJIOZS,O,O,O,O,X,X,X
TLJSIZO,O,O,O,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,X
TLJSZIO,O,O,O,O,X,X,X
TLJSZOI,O,O,O,O,X,X,X
TLJSOIZ,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,X,X,X
TLJZISO,O,O,O,O,X,X,X
TLJZIOS,O,O,O,O,X,X,X
TLJZSIO,O,O,O,O,X,X,X
TLJZSOI,O,O,X,O,X,X,X
TLJZOIS,O,O,O,O,X,X,X
TLJZOSI,O,O,X,O,X,X,X
TLJOISZ,O,O,X,O,X,X,X
TLJOIZS,O,O,O,O,X,X,X
TLJOSIZ,O,O,X,O,X,X,X
TLJOSZI,O,O,X,O,X,X,X
TLJOZIS,O,O,O,O,X,X,X
TLJOZSI,O,O,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X
TLSIJOZ,X,O,O,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,X,O,O,X,X,X,X
TLSIOZJ,O,O,O,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X
TLSJIOZ,X,O,O,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X
TLSJOIZ,X,O,O,X,X,X,X
TLSJOZI,X,O,O,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X
TLSOIJZ,X,O,O,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X
TLSOJIZ,X,O,O,X,X,X,X
TLSOJZI,X,O,O,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X
TLZIJSO,O,O,O,X,X,X,X
TLZIJOS,O,O,O,X,X,X,X
TLZISJO,O,O,O,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X
TLZJISO,O,O,O,X,X,X,X
TLZJIOS,O,O,O,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,O,O,X,X,X,X,X
TLZJOIS,O,O,O,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X
TLZOIJS,O,O,O,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X
TLZOJIS,O,O,O,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X
TLOIJSZ,X,O,X,O,X,X,X
TLOIJZS,X,O,O,O,X,X,X
TLOISJZ,X,O,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X
TLOJISZ,X,O,X,O,X,X,X
TLOJIZS,X,O,O,O,X,X,X
TLOJSIZ,X,O,X,O,X,X,X
TLOJSZI,X,O,X,O,X,X,X
TLOJZIS,X,O,O,O,X,X,X
TLOJZSI,X,O,X,O,X,X,X
TLOSIJZ,X,O,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X
TLOZIJS,O,O,O,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X
TJILSZO,O,O,O,O,X,X,X
TJILSOZ,O,O,X,O,O,X,X
TJILZSO,O,O,O,O,X,X,X
TJILZOS,O,O,O,O,X,X,X
TJILOSZ,O,O,X,O,O,X,X
TJILOZS,O,O,O,O,X,X,X
TJISLZO,O,X,X,O,X,O,X
TJISLOZ,O,X,X,O,O,X,X
TJISZLO,O,X,X,X,X,O,X
TJISZOL,O,X,X,X,O,O,X
TJISOLZ,X,X,X,O,O,X,X
TJISOZL,X,X,X,X,O,O,X
TJIZLSO,O,O,O,O,X,X,X
TJIZLOS,O,O,O,O,X,X,X
TJIZSLO,O,O,O,X,X,O,X
TJIZSOL,O,X,O,X,O,O,X
TJIZOLS,O,X,X,O,X,X,X
TJIZOSL,O,X,X,X,O,O,X
TJIOLSZ,O,O,X,O,O,X,X
TJIOLZS,O,O,X,O,X,X,X
TJIOSLZ,X,X,X,O,O,X,X
TJIOSZL,X,X,X,X,O,X,X
TJIOZLS,O,O,X,O,X,X,X
TJIOZSL,O,O,X,X,O,X,X
TJLISZO,O,O,O,O,X,X,X
TJLISOZ,O,O,X,O,O,X,X
TJLIZSO,O,O,O,O,X,X,X
TJLIZOS,O,O,O,O,X,X,X
TJLIOSZ,O,O,X,O,O,X,X
TJLIOZS,O,O,O,O,X,X,X
TJLSIZO,O,O,O,O,X,X,X
TJLSIOZ,O,O,X,O,O,X,X
TJLSZIO,O,O,O,O,X,X,X
TJLSZOI,O,O,X,O,X,X,X
TJLSOIZ,O,O,X,O,O,X,X
TJLSOZI,O,O,X,O,O,X,X
TJLZISO,O,O,O,O,X,X,X
TJLZIOS,O,O,O,O,X,X,X
TJLZSIO,O,O,O,O,X,X,X
TJLZSOI,O,O,X,O,X,X,X
TJLZOIS,O,O,O,O,X,X,X
TJLZOSI,O,O,X,O,X,X,X
TJLOISZ,O,O,X,O,O,X,X
TJLOIZS,O,O,O,O,X,X,X
TJLOSIZ,O,O,X,O,O,X,X
TJLOSZI,O,O,X,O,O,X,X
TJLOZIS,O,O,O,O,X,X,X
TJLOZSI,O,O,X,O,X,X,X
TJSILZO,O,X,X,O,X,O,X
TJSILOZ,O,X,X,O,O,X,X
TJSIZLO,O,X,X,X,X,O,X
TJSIZOL,O,X,X,X,O,O,X
TJSIOLZ,X,X,X,O,O,X,X
TJSIOZL,X,X,X,X,O,O,X
TJSLIZO,O,X,X,O,X,O,X
TJSLIOZ,O,X,X,O,O,X,X
TJSLZIO,O,X,X,O,X,O,X
TJSLZOI,O,X,X,O,X,O,X
TJSLOIZ,O,X,X,O,O,X,X
TJSLOZI,O,X,X,O,O,X,X
TJSZILO,O,X,X,X,X,O,X
TJSZIOL,O,X,X,X,O,O,X
TJSZLIO,O,X,X,X,X,O,X
TJSZLOI,O,X,X,X,X,O,X
TJSZOIL,O,X,X,X,O,O,X
TJSZOLI,O,X,X,X,O,O,X
TJSOILZ,X,X,X,O,O,X,X
TJSOIZL,X,X,X,X,O,O,X
TJSOLIZ,X,X,X,O,O,X,X
TJSOLZI,X,X,X,O,O,X,X
TJSOZIL,X,X,X,X,O,O,X
TJSOZLI,X,X,X,X,O,O,X
TJZILSO,O,O,O,O,X,X,X
TJZILOS,O,O,O,O,X,X,X
TJZISLO,O,O,O,X,X,O,X
TJZISOL,O,X,O,X,O,O,X
TJZIOLS,O,X,X,O,X,X,X
TJZIOSL,O,X,X,X,O,O,X
TJZLISO,O,O,O,O,X,X,X
TJZLIOS,O,O,O,O,X,X,X
TJZLSIO,O,O,O,O,X,X,X
TJZLSOI,O,O,X,O,X,X,X
TJZLOIS,O,O,O,O,X,X,X
TJZLOSI,O,O,X,O,X,X,X
TJZSILO,O,O,X,X,X,O,X
TJZSIOL,O,X,X,X,O,O,X
TJZSLIO,O,O,X,X,X,O,X
TJZSLOI,O,O,X,X,X,O,X
TJZSOIL,O,X,X,X,O,O,X
TJZSOLI,O,X,X,X,O,O,X
TJZOILS,O,X,X,O,X,X,X
TJZOISL,O,X,X,X,O,O,X
TJZOLIS,O,X,X,O,X,X,X
TJZOLSI,O,X,X,O,X,X,X
TJZOSIL,O,X,X,X,O,O,X
TJZOSLI,O,X,X,X,O,O,X
TJOILSZ,O,O,X,O,O,X,X
TJOILZS,O,O,X,O,X,X,X
TJOISLZ,X,X,X,O,O,X,X
TJOISZL,X,X,X,X,O,X,X
TJOIZLS,O,O,X,O,X,X,X
TJOIZSL,O,O,X,X,O,X,X
TJOLISZ,O,O,X,O,O,X,X
TJOLIZS,O,O,X,O,X,X,X
TJOLSIZ,O,O,X,O,O,X,X
TJOLSZI,O,O,X,O,O,X,X
TJOLZIS,O,O,X,O,X,X,X
TJOLZSI,O,O,X,O,X,X,X
TJOSILZ,X,X,X,O,O,X,X
TJOSIZL,X,X,X,X,O,X,X
TJOSLIZ,X,X,X,O,O,X,X
TJOSLZI,X,X,X,O,O,X,X
TJOSZIL,X,X,X,X,O,X,X
TJOSZLI,X,X,X,X,O,X,X
TJOZILS,O,O,X,O,X,X,X
TJOZISL,O,O,X,X,O,X,X
TJOZLIS,O,O,X,O,X,X,X
TJOZLSI,O,O,X,O,X,X,X
TJOZSIL,O,O,X,X,O,X,X
TJOZSLI,O,O,X,X,O,X,X
TSILJZO,O,O,O,X,X,X,X
TSILJOZ,X,O,O,X,X,X,O
TSILZJO,O,O,O,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X
TSILOJZ,X,O,O,X,X,X,O
TSILOZJ,O,O,O,X,X,X,X
TSIJLZO,O,X,X,O,X,X,X
TSIJLOZ,O,X,X,O,X,X,O
TSIJZLO,O,X,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X,O
TSIJOLZ,X,X,X,O,X,X,O
TSIJOZL,X,X,X,X,X,X,O
TSIZLJO,O,O,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X
TSIZJOL,O,X,O,X,X,X,O
TSIZOLJ,O,O,O,X,X,X,X
TSIZOJL,O,X,O,X,X,X,O
TSIOLJZ,X,O,O,X,O,X,O
TSIOLZJ,X,O,O,X,X,X,X
TSIOJLZ,X,X,X,O,O,X,O
TSIOJZL,X,X,X,X,O,X,O
TSIOZLJ,X,O,O,X,X,X,X
TSIOZJL,X,O,O,X,X,X,O
TSLIJZO,O,O,O,X,X,X,X
TSLIJOZ,X,O,O,X,X,X,O
TSLIZJO,O,O,O,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X
TSLIOJZ,X,O,O,X,X,X,O
TSLIOZJ,O,O,O,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X
TSLJIOZ,X,O,O,X,X,X,O
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,O
TSLJOZI,X,O,O,X,X,X,X
TSLZIJO,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X
TSLZJOI,O,O,O,X,X,X,X
TSLZOIJ,O,O,O,X,X,X,X
TSLZOJI,O,O,O,X,X,X,X
TSLOIJZ,X,O,O,X,O,X,O
TSLOIZJ,O,O,O,X,X,X,X
TSLOJIZ,X,O,O,X,O,X,O
TSLOJZI,X,O,O,X,O,X,X
TSLOZIJ,O,O,O,X,X,X,X
TSLOZJI,O,O,O,X,O,X,X
TSJILZO,O,X,X,O,X,X,X
TSJILOZ,O,X,X,O,O,X,O
TSJIZLO,O,X,X,X,X,X,X
TSJIZOL,O,X,X,X,O,X,O
TSJIOLZ,X,X,X,O,O,X,O
TSJIOZL,X,X,X,X,O,X,O
TSJLIZO,O,X,X,O,X,X,X
TSJLIOZ,O,X,X,O,O,X,O
TSJLZIO,O,X,X,O,X,X,X
TSJLZOI,O,X,X,O,X,X,X
TSJLOIZ,O,X,X,O,O,X,O
TSJLOZI,O,X,X,O,O,X,X
TSJZILO,O,X,X,X,X,X,X
TSJZIOL,O,X,X,X,O,X,O
TSJZLIO,O,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X
TSJZOIL,O,X,X,X,O,X,O
TSJZOLI,O,X,X,X,O,X,X
TSJOILZ,X,X,X,O,O,X,O
TSJOIZL,X,X,X,X,O,X,O
TSJOLIZ,X,X,X,O,O,X,O
TSJOLZI,X,X,X,O,O,X,X
TSJOZIL,X,X,X,X,O,X,O
TSJOZLI,X,X,X,X,O,X,X
TSZILJO,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X
TSZIJOL,O,X,O,X,X,X,O
TSZIOLJ,O,O,O,X,X,X,X
TSZIOJL,O,X,O,X,X,X,O
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X
TSZLOIJ,O,O,O,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X
TSZJILO,O,O,O,X,X,X,X
TSZJIOL,O,X,O,X,X,X,O
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X
TSZJOIL,O,X,O,X,X,X,O
TSZJOLI,O,X,O,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X
TSZOIJL,O,X,O,X,X,X,O
TSZOLIJ,O,O,O,X,X,X,X
TSZOLJI,O,O,O,X,O,X,X
TSZOJIL,O,X,O,X,O,X,O
TSZOJLI,O,X,O,X,O,X,X
TSOILJZ,X,O,O,X,O,X,O
TSOILZJ,X,O,O,X,X,X,X
TSOIJLZ,X,X,X,O,O,X,O
TSOIJZL,X,X,X,X,O,X,O
TSOIZLJ,X,O,O,X,X,X,X
TSOIZJL,X,O,O,X,X,X,O
TSOLIJZ,X,O,O,X,O,X,O
TSOLIZJ,X,O,O,X,X,X,X
TSOLJIZ,X,O,O,X,O,X,O
TSOLJZI,X,O,O,X,O,X,X
TSOLZIJ,X,O,O,X,X,X,X
TSOLZJI,X,O,O,X,O,X,X
TSOJILZ,X,X,X,O,O,X,O
TSOJIZL,X,X,X,X,O,X,O
TSOJLIZ,X,X,X,O,O,X,O
TSOJLZI,X,X,X,O,O,X,X
TSOJZIL,X,X,X,X,O,X,O
TSOJZLI,X,X,X,X,O,X,X
TSOZILJ,X,O,O,X,X,X,X
TSOZIJL,X,O,O,X,X,X,O
TSOZLIJ,X,O,O,X,X,X,X
TSOZLJI,X,O,O,X,O,X,X
TSOZJIL,X,O,O,X,O,X,O
TSOZJLI,X,O,O,X,O,X,X
TZILJSO,O,O,O,X,X,X,X
TZILJOS,O,O,O,X,X,X,X
TZILSJO,O,O,O,X,X,X,X
TZILSOJ,O,O,O,X,X,X,X
TZILOJS,O,O,O,X,X,X,X
TZILOSJ,O,O,O,X,X,X,X
TZIJLSO,O,O,O,O,X,X,X
TZIJLOS,O,O,O,O,X,X,X
TZIJSLO,O,O,O,X,X,O,X
TZIJSOL,O,X,O,X,X,O,X
TZIJOLS,O,X,X,O,X,X,X
TZIJOSL,O,X,X,X,X,O,X
TZISLJO,O,O,O,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,X,O,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X
TZISOJL,O,X,O,X,X,X,X
TZIOLJS,O,O,O,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X
TZIOJLS,O,O,X,O,X,X,X
TZIOJSL,O,O,X,X,X,O,X
TZIOSLJ,O,O,O,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X
TZLIJOS,O,O,O,X,X,X,X
TZLISJO,O,O,O,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X
TZLIOJS,O,O,O,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,O,O,O,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,X,X,X,X,X
TZLJOIS,O,O,O,X,X,X,X
TZLJOSI,O,O,X,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X
TZLOIJS,O,O,O,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X
TZLOJIS,O,O,O,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X
TZJILSO,O,O,O,O,X,X,X
TZJILOS,O,O,O,O,X,X,X
TZJISLO,O,O,O,X,X,O,X
TZJISOL,O,X,O,X,X,O,X
TZJIOLS,O,X,X,O,X,X,X
TZJIOSL,O,X,X,X,X,O,X
TZJLISO,O,O,O,O,X,X,X
TZJLIOS,O,O,O,O,X,X,X
TZJLSIO,O,O,O,O,X,X,X
TZJLSOI,O,O,X,O,X,X,X
TZJLOIS,O,O,O,O,X,X,X
TZJLOSI,O,O,X,O,X,X,X
TZJSILO,O,O,X,X,X,O,X
TZJSIOL,O,X,X,X,X,O,X
TZJSLIO,O,O,X,X,X,O,X
TZJSLOI,O,O,X,X,X,O,X
TZJSOIL,O,X,X,X,X,O,X
TZJSOLI,O,X,X,X,X,O,X
TZJOILS,O,X,X,O,X,X,X
TZJOISL,O,X,X,X,X,O,X
TZJOLIS,O,X,X,O,X,X,X
TZJOLSI,O,X,X,O,X,X,X
TZJOSIL,O,X,X,X,X,O,X
TZJOSLI,O,X,X,X,X,O,X
TZSILJO,O,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,X,O,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X
TZSIOJL,O,X,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X
TZSLOJI,O,O,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X
TZSJIOL,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X
TZSJOIL,O,X,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X,X
TZSOILJ,O,O,X,X,X,X,X
TZSOIJL,O,X,X,X,X,X,X
TZSOLIJ,O,O,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X
TZSOJIL,O,X,X,X,X,X,X
TZSOJLI,O,X,X,X,X,X,X
TZOILJS,O,O,O,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X
TZOIJLS,O,O,X,O,X,X,X
TZOIJSL,O,O,X,X,X,O,X
TZOISLJ,O,O,O,X,X,X,X
TZOISJL,O,O,O,X,X,X,X
TZOLIJS,O,O,O,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X
TZOLJIS,O,O,O,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X
TZOJILS,O,O,X,O,X,X,X
TZOJISL,O,O,X,X,X,O,X
TZOJLIS,O,O,X,O,X,X,X
TZOJLSI,O,O,X,O,X,X,X
TZOJSIL,O,O,X,X,X,O,X
TZOJSLI,O,O,X,X,X,O,X
TZOSILJ,O,O,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,X
