sequence,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBFhB?XjBurB0nByvB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBumB?FjBKrB0nB3qB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBFhB?0iBurBXoByvB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBUhB?1nBurBXoByvB
ITOZSJL,X,X,X,O
ILTJSZO,O,X,O,X
ILTJSOZ,O,X,O,X
ILTJZSO,O,O,O,X
ILTJZOS,O,O,O,O
ILTJOSZ,O,X,O,X
ILTJOZS,O,O,O,O
ILTSJZO,O,X,X,X
ILTSJOZ,O,X,X,X
ILTSZJO,X,X,X,X
ILTSZOJ,X,X,X,O
ILTSOJZ,O,X,X,X
ILTSOZJ,X,X,X,O
ILTZJSO,X,O,X,X
ILTZJOS,X,O,X,O
ILTZSJO,X,O,X,X
ILTZSOJ,X,O,X,O
ILTZOJS,X,O,X,O
ILTZOSJ,X,O,X,O
ILTOJSZ,O,X,O,X
ILTOJZS,O,O,O,O
ILTOSJZ,O,X,X,X
ILTOSZJ,X,X,X,O
ILTOZJS,X,O,X,O
ILTOZSJ,X,O,X,O
ILJTSZO,O,X,O,X
ILJTSOZ,O,X,O,X
ILJTZSO,O,O,O,X
ILJTZOS,O,O,O,O
ILJTOSZ,O,X,O,X
ILJTOZS,O,O,O,O
ILJSTZO,O,X,O,X
ILJSTOZ,O,X,O,X
ILJSZTO,O,O,O,X
ILJSZOT,O,O,O,X
ILJSOTZ,O,X,O,X
ILJSOZT,O,O,O,X
ILJZTSO,O,O,O,X
ILJZTOS,O,O,O,O
ILJZSTO,O,O,O,X
ILJZSOT,O,O,O,X
ILJZOTS,O,O,O,O
ILJZOST,O,O,O,X
ILJOTSZ,O,X,O,X
ILJOTZS,O,O,O,O
ILJOSTZ,O,X,O,X
ILJOSZT,O,O,O,X
ILJOZTS,O,O,O,O
ILJOZST,O,O,O,X
ILSTJZO,O,X,X,X
ILSTJOZ,O,X,X,X
ILSTZJO,X,X,X,X
ILSTZOJ,X,X,X,O
ILSTOJZ,O,X,X,X
ILSTOZJ,X,X,X,O
ILSJTZO,O,X,O,X
ILSJTOZ,O,X,O,X
ILSJZTO,O,O,O,X
ILSJZOT,O,O,O,X
ILSJOTZ,O,X,O,X
ILSJOZT,O,O,O,X
ILSZTJO,X,O,X,X
ILSZTOJ,X,O,X,O
ILSZJTO,O,O,X,X
ILSZJOT,O,O,X,X
ILSZOTJ,X,O,X,O
ILSZOJT,O,O,X,X
ILSOTJZ,O,X,X,X
ILSOTZJ,X,X,X,O
ILSOJTZ,O,X,O,X
ILSOJZT,O,O,O,X
ILSOZTJ,X,O,X,O
ILSOZJT,O,O,X,X
ILZTJSO,X,O,X,X
ILZTJOS,X,O,X,O
ILZTSJO,X,O,X,X
ILZTSOJ,X,O,X,O
ILZTOJS,X,O,X,O
ILZTOSJ,X,O,X,O
ILZJTSO,O,O,O,X
ILZJTOS,O,O,O,O
ILZJSTO,O,O,O,X
ILZJSOT,O,O,O,X
ILZJOTS,O,O,O,O
ILZJOST,O,O,O,X
ILZSTJO,X,O,X,X
ILZSTOJ,X,O,X,O
ILZSJTO,O,O,X,X
ILZSJOT,O,O,X,X
ILZSOTJ,X,O,X,O
ILZSOJT,O,O,X,X
ILZOTJS,X,O,X,O
ILZOTSJ,X,O,X,O
ILZOJTS,O,O,O,O
ILZOJST,O,O,O,X
ILZOSTJ,X,O,X,O
ILZOSJT,O,O,X,X
ILOTJSZ,O,X,O,X
ILOTJZS,O,O,O,O
ILOTSJZ,O,X,X,X
ILOTSZJ,X,X,X,O
ILOTZJS,X,O,X,O
ILOTZSJ,X,O,X,O
ILOJTSZ,O,X,O,X
ILOJTZS,O,O,O,O
ILOJSTZ,O,X,O,X
ILOJSZT,O,O,O,X
ILOJZTS,O,O,O,O
ILOJZST,O,O,O,X
ILOSTJZ,O,X,X,X
ILOSTZJ,X,X,X,O
ILOSJTZ,O,X,O,X
ILOSJZT,O,O,O,X
ILOSZTJ,X,O,X,O
ILOSZJT,O,O,X,X
ILOZTJS,X,O,X,O
ILOZTSJ,X,O,X,O
ILOZJTS,O,O,O,O
ILOZJST,O,O,O,X
ILOZSTJ,X,O,X,O
ILOZSJT,O,O,X,X
IJTLSZO,X,X,X,X
IJTLSOZ,O,X,X,X
IJTLZSO,X,X,X,X
IJTLZOS,X,X,O,O
IJTLOSZ,O,X,X,X
IJTLOZS,X,X,O,O
IJTSLZO,X,X,X,X
IJTSLOZ,O,X,X,X
IJTSZLO,X,X,X,X
IJTSZOL,O,X,O,X
IJTSOLZ,O,X,X,X
IJTSOZL,O,X,O,X
IJTZLSO,X,X,X,X
IJTZLOS,X,X,O,X
IJTZSLO,X,X,X,X
IJTZSOL,O,X,O,X
IJTZOLS,X,X,O,O
IJTZOSL,O,X,O,O
IJTOLSZ,O,X,X,X
IJTOLZS,X,X,O,O
IJTOSLZ,O,X,X,X
IJTOSZL,O,X,O,X
IJTOZLS,X,X,O,O
IJTOZSL,O,X,O,O
IJLTSZO,O,X,O,X
IJLTSOZ,O,X,O,X
IJLTZSO,O,O,O,X
IJLTZOS,O,O,O,O
IJLTOSZ,O,X,O,X
IJLTOZS,O,O,O,O
IJLSTZO,O,X,O,X
IJLSTOZ,O,X,O,X
IJLSZTO,O,O,O,X
IJLSZOT,O,O,O,X
IJLSOTZ,O,X,O,X
IJLSOZT,O,O,O,X
IJLZTSO,O,O,O,X
IJLZTOS,O,O,O,O
IJLZSTO,O,O,O,X
IJLZSOT,O,O,O,X
IJLZOTS,O,O,O,O
IJLZOST,O,O,O,X
IJLOTSZ,O,X,O,X
IJLOTZS,O,O,O,O
IJLOSTZ,O,X,O,X
IJLOSZT,O,O,O,X
IJLOZTS,O,O,O,O
IJLOZST,O,O,O,X
IJSTLZO,X,X,X,X
IJSTLOZ,O,X,X,X
IJSTZLO,X,X,X,X
IJSTZOL,O,X,O,X
IJSTOLZ,O,X,X,X
IJSTOZL,O,X,O,X
IJSLTZO,O,X,X,X
IJSLTOZ,O,X,X,X
IJSLZTO,O,X,X,X
IJSLZOT,O,X,X,X
IJSLOTZ,O,X,X,X
IJSLOZT,O,X,X,X
IJSZTLO,X,X,X,X
IJSZTOL,O,X,O,X
IJSZLTO,X,X,X,X
IJSZLOT,X,X,X,X
IJSZOTL,O,X,O,X
IJSZOLT,X,X,X,X
IJSOTLZ,O,X,X,X
IJSOTZL,O,X,O,X
IJSOLTZ,O,X,X,X
IJSOLZT,O,X,X,X
IJSOZTL,O,X,O,X
IJSOZLT,X,X,X,X
IJZTLSO,X,O,X,X
IJZTLOS,X,O,O,X
IJZTSLO,X,X,X,X
IJZTSOL,O,X,O,X
IJZTOLS,X,O,O,O
IJZTOSL,O,X,O,O
IJZLTSO,X,O,X,X
IJZLTOS,X,O,O,X
IJZLSTO,X,O,X,X
IJZLSOT,X,O,X,X
IJZLOTS,X,O,O,X
IJZLOST,X,O,X,X
IJZSTLO,X,X,X,X
IJZSTOL,O,X,O,X
IJZSLTO,X,X,X,X
IJZSLOT,X,X,X,X
IJZSOTL,O,X,O,X
IJZSOLT,X,X,X,X
IJZOTLS,X,O,O,O
IJZOTSL,O,X,O,O
IJZOLTS,X,O,O,X
IJZOLST,X,O,X,X
IJZOSTL,O,X,O,X
IJZOSLT,X,X,X,X
IJOTLSZ,O,X,X,X
IJOTLZS,X,X,O,O
IJOTSLZ,O,X,X,X
IJOTSZL,O,X,O,X
IJOTZLS,X,X,O,O
IJOTZSL,O,X,O,O
IJOLTSZ,O,X,O,X
IJOLTZS,O,O,O,O
IJOLSTZ,O,X,O,X
IJOLSZT,O,O,O,X
IJOLZTS,O,O,O,O
IJOLZST,O,O,O,X
IJOSTLZ,O,X,X,X
IJOSTZL,O,X,O,X
IJOSLTZ,O,X,X,X
IJOSLZT,O,X,X,X
IJOSZTL,O,X,O,X
IJOSZLT,X,X,X,X
IJOZTLS,X,O,O,O
IJOZTSL,O,X,O,O
IJOZLTS,X,O,O,X
IJOZLST,X,O,X,X
IJOZSTL,O,X,O,X
IJOZSLT,X,X,X,X
ISTLJZO,O,X,X,X
ISTLJOZ,O,X,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,O
ISTLOJZ,O,X,X,X
ISTLOZJ,X,X,X,O
ISTJLZO,X,X,X,X
ISTJLOZ,O,X,X,X
ISTJZLO,X,X,X,X
ISTJZOL,O,X,X,X
ISTJOLZ,O,X,X,X
ISTJOZL,O,X,X,X
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,X,X,X
ISTZJOL,X,X,X,X
ISTZOLJ,X,X,X,O
ISTZOJL,X,X,X,O
ISTOLJZ,O,X,X,X
ISTOLZJ,X,X,X,O
ISTOJLZ,O,X,X,X
ISTOJZL,O,X,X,X
ISTOZLJ,X,X,X,O
ISTOZJL,X,X,X,O
ISLTJZO,O,X,X,X
ISLTJOZ,O,X,X,X
ISLTZJO,X,X,X,X
ISLTZOJ,X,X,X,O
ISLTOJZ,O,X,X,X
ISLTOZJ,X,X,X,O
ISLJTZO,O,X,O,X
ISLJTOZ,O,X,O,X
ISLJZTO,O,O,O,X
ISLJZOT,O,O,O,X
ISLJOTZ,O,X,O,X
ISLJOZT,O,O,O,X
ISLZTJO,X,O,X,X
ISLZTOJ,X,O,X,O
ISLZJTO,O,O,X,X
ISLZJOT,O,O,X,X
ISLZOTJ,X,O,X,O
ISLZOJT,O,O,X,X
ISLOTJZ,O,X,X,X
ISLOTZJ,X,X,X,O
ISLOJTZ,O,X,O,X
ISLOJZT,O,O,O,X
ISLOZTJ,X,O,X,O
ISLOZJT,O,O,X,X
ISJTLZO,X,X,X,X
ISJTLOZ,O,X,X,X
ISJTZLO,X,X,X,X
ISJTZOL,O,X,O,X
ISJTOLZ,O,X,X,X
ISJTOZL,O,X,O,X
ISJLTZO,O,X,X,X
ISJLTOZ,O,X,X,X
ISJLZTO,O,X,X,X
ISJLZOT,O,X,X,X
ISJLOTZ,O,X,X,X
ISJLOZT,O,X,X,X
ISJZTLO,X,X,X,X
ISJZTOL,O,X,O,X
ISJZLTO,X,X,X,X
ISJZLOT,X,X,X,X
ISJZOTL,O,X,O,X
ISJZOLT,X,X,X,X
ISJOTLZ,O,X,X,X
ISJOTZL,O,X,O,X
ISJOLTZ,O,X,X,X
ISJOLZT,O,X,X,X
ISJOZTL,O,X,O,X
ISJOZLT,X,X,X,X
ISZTLJO,X,O,X,X
ISZTLOJ,X,O,X,X
ISZTJLO,X,X,X,X
ISZTJOL,X,X,X,X
ISZTOLJ,X,O,X,O
ISZTOJL,X,X,X,O
ISZLTJO,X,O,X,X
ISZLTOJ,X,O,X,X
ISZLJTO,O,O,X,X
ISZLJOT,O,O,X,X
ISZLOTJ,X,O,X,X
ISZLOJT,O,O,X,X
ISZJTLO,X,X,X,X
ISZJTOL,O,X,X,X
ISZJLTO,X,X,X,X
ISZJLOT,X,X,X,X
ISZJOTL,O,X,X,X
ISZJOLT,X,X,X,X
ISZOTLJ,X,O,X,O
ISZOTJL,X,X,X,O
ISZOLTJ,X,O,X,X
ISZOLJT,O,O,X,X
ISZOJTL,O,X,X,X
ISZOJLT,X,X,X,X
ISOTLJZ,O,X,X,X
ISOTLZJ,X,X,X,O
ISOTJLZ,O,X,X,X
ISOTJZL,O,X,X,X
ISOTZLJ,X,X,X,O
ISOTZJL,X,X,X,O
ISOLTJZ,O,X,X,X
ISOLTZJ,X,X,X,O
ISOLJTZ,O,X,O,X
ISOLJZT,O,O,O,X
ISOLZTJ,X,O,X,O
ISOLZJT,O,O,X,X
ISOJTLZ,O,X,X,X
ISOJTZL,O,X,O,X
ISOJLTZ,O,X,X,X
ISOJLZT,O,X,X,X
ISOJZTL,O,X,O,X
ISOJZLT,X,X,X,X
ISOZTLJ,X,O,X,O
ISOZTJL,X,X,X,O
ISOZLTJ,X,O,X,X
ISOZLJT,O,O,X,X
ISOZJTL,O,X,X,X
ISOZJLT,X,X,X,X
IZTLJSO,X,O,X,X
IZTLJOS,X,O,X,O
IZTLSJO,X,O,X,X
IZTLSOJ,X,O,X,O
IZTLOJS,X,O,X,O
IZTLOSJ,X,O,X,O
IZTJLSO,X,O,X,X
IZTJLOS,X,O,X,X
IZTJSLO,X,X,X,X
IZTJSOL,X,X,X,X
IZTJOLS,X,O,X,O
IZTJOSL,X,X,X,O
IZTSLJO,X,O,X,X
IZTSLOJ,X,O,X,X
IZTSJLO,X,X,X,X
IZTSJOL,X,X,X,X
IZTSOLJ,X,O,X,O
IZTSOJL,X,X,X,O
IZTOLJS,X,O,X,O
IZTOLSJ,X,O,X,O
IZTOJLS,X,O,X,O
IZTOJSL,X,X,X,O
IZTOSLJ,X,O,X,O
IZTOSJL,X,X,X,O
IZLTJSO,X,O,X,X
IZLTJOS,X,O,X,O
IZLTSJO,X,O,X,X
IZLTSOJ,X,O,X,O
IZLTOJS,X,O,X,O
IZLTOSJ,X,O,X,O
IZLJTSO,O,O,O,X
IZLJTOS,O,O,O,O
IZLJSTO,O,O,O,X
IZLJSOT,O,O,O,X
IZLJOTS,O,O,O,O
IZLJOST,O,O,O,X
IZLSTJO,X,O,X,X
IZLSTOJ,X,O,X,O
IZLSJTO,O,O,X,X
IZLSJOT,O,O,X,X
IZLSOTJ,X,O,X,O
IZLSOJT,O,O,X,X
IZLOTJS,X,O,X,O
IZLOTSJ,X,O,X,O
IZLOJTS,O,O,O,O
IZLOJST,O,O,O,X
IZLOSTJ,X,O,X,O
IZLOSJT,O,O,X,X
IZJTLSO,X,O,X,X
IZJTLOS,X,O,O,X
IZJTSLO,X,X,X,X
IZJTSOL,O,X,O,X
IZJTOLS,X,O,O,O
IZJTOSL,O,X,O,O
IZJLTSO,X,O,X,X
IZJLTOS,X,O,O,X
IZJLSTO,X,O,X,X
IZJLSOT,X,O,X,X
IZJLOTS,X,O,O,X
IZJLOST,X,O,X,X
IZJSTLO,X,X,X,X
IZJSTOL,O,X,O,X
IZJSLTO,X,X,X,X
IZJSLOT,X,X,X,X
IZJSOTL,O,X,O,X
IZJSOLT,X,X,X,X
IZJOTLS,X,O,O,O
IZJOTSL,O,X,O,O
IZJOLTS,X,O,O,X
IZJOLST,X,O,X,X
IZJOSTL,O,X,O,X
IZJOSLT,X,X,X,X
IZSTLJO,X,O,X,X
IZSTLOJ,X,O,X,X
IZSTJLO,X,X,X,X
IZSTJOL,X,X,X,X
IZSTOLJ,X,O,X,O
IZSTOJL,X,X,X,O
IZSLTJO,X,O,X,X
IZSLTOJ,X,O,X,X
IZSLJTO,O,O,X,X
IZSLJOT,O,O,X,X
IZSLOTJ,X,O,X,X
IZSLOJT,O,O,X,X
IZSJTLO,X,X,X,X
IZSJTOL,O,X,X,X
IZSJLTO,X,X,X,X
IZSJLOT,X,X,X,X
IZSJOTL,O,X,X,X
IZSJOLT,X,X,X,X
IZSOTLJ,X,O,X,O
IZSOTJL,X,X,X,O
IZSOLTJ,X,O,X,X
IZSOLJT,O,O,X,X
IZSOJTL,O,X,X,X
IZSOJLT,X,X,X,X
IZOTLJS,X,O,X,O
IZOTLSJ,X,O,X,O
IZOTJLS,X,O,X,O
IZOTJSL,X,X,X,O
IZOTSLJ,X,O,X,O
IZOTSJL,X,X,X,O
IZOLTJS,X,O,X,O
IZOLTSJ,X,O,X,O
IZOLJTS,O,O,O,O
IZOLJST,O,O,O,X
IZOLSTJ,X,O,X,O
IZOLSJT,O,O,X,X
IZOJTLS,X,O,O,O
IZOJTSL,O,X,O,O
IZOJLTS,X,O,O,X
IZOJLST,X,O,X,X
IZOJSTL,O,X,O,X
IZOJSLT,X,X,X,X
IZOSTLJ,X,O,X,O
IZOSTJL,X,X,X,O
IZOSLTJ,X,O,X,X
IZOSLJT,O,O,X,X
IZOSJTL,O,X,X,X
IZOSJLT,X,X,X,X
IOTLJSZ,O,X,O,X
IOTLJZS,O,O,O,O
IOTLSJZ,O,X,X,X
IOTLSZJ,X,X,X,O
IOTLZJS,X,O,X,O
IOTLZSJ,X,O,X,O
IOTJLSZ,O,X,X,X
IOTJLZS,X,X,O,O
IOTJSLZ,O,X,X,X
IOTJSZL,O,X,O,X
IOTJZLS,X,X,O,O
IOTJZSL,O,X,O,O
IOTSLJZ,O,X,X,X
IOTSLZJ,X,X,X,O
IOTSJLZ,O,X,X,X
IOTSJZL,O,X,X,X
IOTSZLJ,X,X,X,O
IOTSZJL,X,X,X,O
IOTZLJS,X,O,X,O
IOTZLSJ,X,O,X,O
IOTZJLS,X,O,X,O
IOTZJSL,X,X,X,O
IOTZSLJ,X,O,X,O
IOTZSJL,X,X,X,O
IOLTJSZ,O,X,O,X
IOLTJZS,O,O,O,O
IOLTSJZ,O,X,X,X
IOLTSZJ,X,X,X,O
IOLTZJS,X,O,X,O
IOLTZSJ,X,O,X,O
IOLJTSZ,O,X,O,X
IOLJTZS,O,O,O,O
IOLJSTZ,O,X,O,X
IOLJSZT,O,O,O,X
IOLJZTS,O,O,O,O
IOLJZST,O,O,O,X
IOLSTJZ,O,X,X,X
IOLSTZJ,X,X,X,O
IOLSJTZ,O,X,O,X
IOLSJZT,O,O,O,X
IOLSZTJ,X,O,X,O
IOLSZJT,O,O,X,X
IOLZTJS,X,O,X,O
IOLZTSJ,X,O,X,O
IOLZJTS,O,O,O,O
IOLZJST,O,O,O,X
IOLZSTJ,X,O,X,O
IOLZSJT,O,O,X,X
IOJTLSZ,O,X,X,X
IOJTLZS,X,X,O,O
IOJTSLZ,O,X,X,X
IOJTSZL,O,X,O,X
IOJTZLS,X,X,O,O
IOJTZSL,O,X,O,O
IOJLTSZ,O,X,O,X
IOJLTZS,O,O,O,O
IOJLSTZ,O,X,O,X
IOJLSZT,O,O,O,X
IOJLZTS,O,O,O,O
IOJLZST,O,O,O,X
IOJSTLZ,O,X,X,X
IOJSTZL,O,X,O,X
IOJSLTZ,O,X,X,X
IOJSLZT,O,X,X,X
IOJSZTL,O,X,O,X
IOJSZLT,X,X,X,X
IOJZTLS,X,O,O,O
IOJZTSL,O,X,O,O
IOJZLTS,X,O,O,X
IOJZLST,X,O,X,X
IOJZSTL,O,X,O,X
IOJZSLT,X,X,X,X
IOSTLJZ,O,X,X,X
IOSTLZJ,X,X,X,O
IOSTJLZ,O,X,X,X
IOSTJZL,O,X,X,X
IOSTZLJ,X,X,X,O
IOSTZJL,X,X,X,O
IOSLTJZ,O,X,X,X
IOSLTZJ,X,X,X,O
IOSLJTZ,O,X,O,X
IOSLJZT,O,O,O,X
IOSLZTJ,X,O,X,O
IOSLZJT,O,O,X,X
IOSJTLZ,O,X,X,X
IOSJTZL,O,X,O,X
IOSJLTZ,O,X,X,X
IOSJLZT,O,X,X,X
IOSJZTL,O,X,O,X
IOSJZLT,X,X,X,X
IOSZTLJ,X,O,X,O
IOSZTJL,X,X,X,O
IOSZLTJ,X,O,X,X
IOSZLJT,O,O,X,X
IOSZJTL,O,X,X,X
IOSZJLT,X,X,X,X
IOZTLJS,X,O,X,O
IOZTLSJ,X,O,X,O
IOZTJLS,X,O,X,O
IOZTJSL,X,X,X,O
IOZTSLJ,X,O,X,O
IOZTSJL,X,X,X,O
IOZLTJS,X,O,X,O
IOZLTSJ,X,O,X,O
IOZLJTS,O,O,O,O
IOZLJST,O,O,O,X
IOZLSTJ,X,O,X,O
IOZLSJT,O,O,X,X
IOZJTLS,X,O,O,O
IOZJTSL,O,X,O,O
IOZJLTS,X,O,O,X
IOZJLST,X,O,X,X
IOZJSTL,O,X,O,X
IOZJSLT,X,X,X,X
IOZSTLJ,X,O,X,O
IOZSTJL,X,X,X,O
IOZSLTJ,X,O,X,X
IOZSLJT,O,O,X,X
IOZSJTL,O,X,X,X
IOZSJLT,X,X,X,X
LTIJSZO,O,X,O,X
LTIJSOZ,O,X,O,X
LTIJZSO,O,O,O,X
LTIJZOS,O,O,O,O
LTIJOSZ,O,X,O,X
LTIJOZS,O,O,O,O
LTISJZO,O,X,X,X
LTISJOZ,O,X,X,X
LTISZJO,X,X,X,X
LTISZOJ,X,X,X,O
LTISOJZ,O,X,X,X
LTISOZJ,X,X,X,O
LTIZJSO,X,O,X,X
LTIZJOS,X,O,X,O
LTIZSJO,X,O,X,X
LTIZSOJ,X,O,X,O
LTIZOJS,X,O,X,O
LTIZOSJ,X,O,X,O
LTIOJSZ,O,X,O,X
LTIOJZS,O,O,O,O
LTIOSJZ,O,X,X,X
LTIOSZJ,X,X,X,O
LTIOZJS,X,O,X,O
LTIOZSJ,X,O,X,O
LTJISZO,O,X,O,X
LTJISOZ,O,X,O,X
LTJIZSO,O,O,O,X
LTJIZOS,O,O,O,O
LTJIOSZ,O,X,O,X
LTJIOZS,O,O,O,O
LTJSIZO,O,X,O,X
LTJSIOZ,O,X,O,X
LTJSZIO,O,X,O,X
LTJSZOI,O,X,O,X
LTJSOIZ,O,X,O,X
LTJSOZI,O,X,O,X
LTJZISO,O,O,O,X
LTJZIOS,O,O,O,O
LTJZSIO,O,O,O,X
LTJZSOI,O,O,O,X
LTJZOIS,O,O,O,O
LTJZOSI,O,O,O,X
LTJOISZ,O,X,O,X
LTJOIZS,O,O,O,O
LTJOSIZ,O,X,O,X
LTJOSZI,O,X,O,X
LTJOZIS,O,O,O,O
LTJOZSI,O,O,O,X
LTSIJZO,O,X,X,X
LTSIJOZ,O,X,X,X
LTSIZJO,X,X,X,X
LTSIZOJ,X,X,X,O
LTSIOJZ,O,X,X,X
LTSIOZJ,X,X,X,O
LTSJIZO,O,X,X,X
LTSJIOZ,O,X,X,X
LTSJZIO,O,X,X,X
LTSJZOI,O,X,X,X
LTSJOIZ,O,X,X,X
LTSJOZI,O,X,X,X
LTSZIJO,X,X,X,X
LTSZIOJ,X,X,X,O
LTSZJIO,X,X,X,X
LTSZJOI,X,X,X,X
LTSZOIJ,X,X,X,O
LTSZOJI,X,X,X,X
LTSOIJZ,O,X,X,X
LTSOIZJ,X,X,X,O
LTSOJIZ,O,X,X,X
LTSOJZI,O,X,X,X
LTSOZIJ,X,X,X,O
LTSOZJI,X,X,X,X
LTZIJSO,X,O,X,X
LTZIJOS,X,O,X,O
LTZISJO,X,O,X,X
LTZISOJ,X,O,X,O
LTZIOJS,X,O,X,O
LTZIOSJ,X,O,X,O
LTZJISO,X,O,X,X
LTZJIOS,X,O,X,O
LTZJSIO,X,O,X,X
LTZJSOI,X,O,X,X
LTZJOIS,X,O,X,O
LTZJOSI,X,O,X,X
LTZSIJO,X,O,X,X
LTZSIOJ,X,O,X,O
LTZSJIO,X,O,X,X
LTZSJOI,X,O,X,X
LTZSOIJ,X,O,X,O
LTZSOJI,X,O,X,X
LTZOIJS,X,O,X,O
LTZOISJ,X,O,X,O
LTZOJIS,X,O,X,O
LTZOJSI,X,O,X,X
LTZOSIJ,X,O,X,O
LTZOSJI,X,O,X,X
LTOIJSZ,O,X,O,X
LTOIJZS,O,O,O,O
LTOISJZ,O,X,X,X
LTOISZJ,X,X,X,O
LTOIZJS,X,O,X,O
LTOIZSJ,X,O,X,O
LTOJISZ,O,X,O,X
LTOJIZS,O,O,O,O
LTOJSIZ,O,X,O,X
LTOJSZI,O,X,O,X
LTOJZIS,O,O,O,O
LTOJZSI,O,O,O,X
LTOSIJZ,O,X,X,X
LTOSIZJ,X,X,X,O
LTOSJIZ,O,X,X,X
LTOSJZI,O,X,X,X
LTOSZIJ,X,X,X,O
LTOSZJI,X,X,X,X
LTOZIJS,X,O,X,O
LTOZISJ,X,O,X,O
LTOZJIS,X,O,X,O
LTOZJSI,X,O,X,X
LTOZSIJ,X,O,X,O
LTOZSJI,X,O,X,X
LITJSZO,O,X,O,X
LITJSOZ,O,X,O,X
LITJZSO,O,O,O,X
LITJZOS,O,O,O,O
LITJOSZ,O,X,O,X
LITJOZS,O,O,O,O
LITSJZO,O,X,X,X
LITSJOZ,O,X,X,X
LITSZJO,X,X,X,X
LITSZOJ,X,X,X,O
LITSOJZ,O,X,X,X
LITSOZJ,X,X,X,O
LITZJSO,X,O,X,X
LITZJOS,X,O,X,O
LITZSJO,X,O,X,X
LITZSOJ,X,O,X,O
LITZOJS,X,O,X,O
LITZOSJ,X,O,X,O
LITOJSZ,O,X,O,X
LITOJZS,O,O,O,O
LITOSJZ,O,X,X,X
LITOSZJ,X,X,X,O
LITOZJS,X,O,X,O
LITOZSJ,X,O,X,O
LIJTSZO,O,X,O,X
LIJTSOZ,O,X,O,X
LIJTZSO,O,O,O,X
LIJTZOS,O,O,O,O
LIJTOSZ,O,X,O,X
LIJTOZS,O,O,O,O
LIJSTZO,O,X,O,X
LIJSTOZ,O,X,O,X
LIJSZTO,O,O,O,X
LIJSZOT,O,O,O,X
LIJSOTZ,O,X,O,X
LIJSOZT,O,O,O,X
LIJZTSO,O,O,O,X
LIJZTOS,O,O,O,O
LIJZSTO,O,O,O,X
LIJZSOT,O,O,O,X
LIJZOTS,O,O,O,O
LIJZOST,O,O,O,X
LIJOTSZ,O,X,O,X
LIJOTZS,O,O,O,O
LIJOSTZ,O,X,O,X
LIJOSZT,O,O,O,X
LIJOZTS,O,O,O,O
LIJOZST,O,O,O,X
LISTJZO,O,X,X,X
LISTJOZ,O,X,X,X
LISTZJO,X,X,X,X
LISTZOJ,X,X,X,O
LISTOJZ,O,X,X,X
LISTOZJ,X,X,X,O
LISJTZO,O,X,O,X
LISJTOZ,O,X,O,X
LISJZTO,O,O,O,X
LISJZOT,O,O,O,X
LISJOTZ,O,X,O,X
LISJOZT,O,O,O,X
LISZTJO,X,O,X,X
LISZTOJ,X,O,X,O
LISZJTO,O,O,X,X
LISZJOT,O,O,X,X
LISZOTJ,X,O,X,O
LISZOJT,O,O,X,X
LISOTJZ,O,X,X,X
LISOTZJ,X,X,X,O
LISOJTZ,O,X,O,X
LISOJZT,O,O,O,X
LISOZTJ,X,O,X,O
LISOZJT,O,O,X,X
LIZTJSO,X,O,X,X
LIZTJOS,X,O,X,O
LIZTSJO,X,O,X,X
LIZTSOJ,X,O,X,O
LIZTOJS,X,O,X,O
LIZTOSJ,X,O,X,O
LIZJTSO,O,O,O,X
LIZJTOS,O,O,O,O
LIZJSTO,O,O,O,X
LIZJSOT,O,O,O,X
LIZJOTS,O,O,O,O
LIZJOST,O,O,O,X
LIZSTJO,X,O,X,X
LIZSTOJ,X,O,X,O
LIZSJTO,O,O,X,X
LIZSJOT,O,O,X,X
LIZSOTJ,X,O,X,O
LIZSOJT,O,O,X,X
LIZOTJS,X,O,X,O
LIZOTSJ,X,O,X,O
LIZOJTS,O,O,O,O
LIZOJST,O,O,O,X
LIZOSTJ,X,O,X,O
LIZOSJT,O,O,X,X
LIOTJSZ,O,X,O,X
LIOTJZS,O,O,O,O
LIOTSJZ,O,X,X,X
LIOTSZJ,X,X,X,O
LIOTZJS,X,O,X,O
LIOTZSJ,X,O,X,O
LIOJTSZ,O,X,O,X
LIOJTZS,O,O,O,O
LIOJSTZ,O,X,O,X
LIOJSZT,O,O,O,X
LIOJZTS,O,O,O,O
LIOJZST,O,O,O,X
LIOSTJZ,O,X,X,X
LIOSTZJ,X,X,X,O
LIOSJTZ,O,X,O,X
LIOSJZT,O,O,O,X
LIOSZTJ,X,O,X,O
LIOSZJT,O,O,X,X
LIOZTJS,X,O,X,O
LIOZTSJ,X,O,X,O
LIOZJTS,O,O,O,O
LIOZJST,O,O,O,X
LIOZSTJ,X,O,X,O
LIOZSJT,O,O,X,X
LJTISZO,O,X,O,X
LJTISOZ,O,X,O,X
LJTIZSO,O,O,O,X
LJTIZOS,O,O,O,O
LJTIOSZ,O,X,O,X
LJTIOZS,O,O,O,O
LJTSIZO,O,X,O,X
