sequence,v115@QhA8BeC8CeB8BeD8BeB8JeZEJvhFSlB/mBUiBFjBup?BTsB,v115@QhA8BeC8CeB8BeD8BeB8Je2EJvhFRgBSmB/nBFjBTp?BUsB,v115@QhA8BeC8CeB8BeD8BeB8Jei/IvhFGhB/nBFjBRlBTp?BUsB
TJLIZOS,X,X,X
TJLIOSZ,O,X,X
TJLIOZS,X,X,X
TJLSIZO,O,X,X
TJLSIOZ,X,X,X
TJLSZIO,O,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,X,O,X
TJLZIOS,X,X,X
TJLZSIO,X,O,X
TJLZSOI,X,O,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,O,X,X
TJLOIZS,X,X,X
TJLOSIZ,O,X,X
TJLOSZI,O,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,O,X,X
TJSILOZ,X,X,X
TJSIZLO,O,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,O,X,X
TJSLIOZ,X,X,X
TJSLZIO,O,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,X
TJSLOZI,X,X,X
TJSZILO,O,X,X
TJSZIOL,X,X,X
TJSZLIO,O,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,X,O,X
TJZILOS,X,X,X
TJZISLO,X,O,X
TJZISOL,X,O,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,O,X
TJZLIOS,X,X,X
TJZLSIO,X,O,X
TJZLSOI,X,O,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,O,X
TJZSIOL,X,O,X
TJZSLIO,X,O,X
TJZSLOI,X,O,X
TJZSOIL,X,O,X
TJZSOLI,X,O,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,O,X,X
TJOILZS,X,X,X
TJOISLZ,O,X,X
TJOISZL,O,X,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,O,X,X
TJOLIZS,X,X,X
TJOLSIZ,O,X,X
TJOLSZI,O,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,O,X,X
TJOSIZL,O,X,X
TJOSLIZ,O,X,X
TJOSLZI,O,X,X
TJOSZIL,O,X,X
TJOSZLI,O,X,X
TJOZILS,X,X,X
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,O,X,X
TSILJOZ,X,X,X
TSILZJO,O,X,X
TSILZOJ,O,X,X
TSILOJZ,O,X,X
TSILOZJ,O,X,X
TSIJLZO,O,X,X
TSIJLOZ,X,X,X
TSIJZLO,O,X,X
TSIJZOL,X,X,X
TSIJOLZ,X,X,X
TSIJOZL,X,X,X
TSIZLJO,O,X,X
TSIZLOJ,O,X,X
TSIZJLO,O,X,X
TSIZJOL,X,X,X
TSIZOLJ,O,X,X
TSIZOJL,X,X,X
TSIOLJZ,O,X,X
TSIOLZJ,O,X,X
TSIOJLZ,O,X,X
TSIOJZL,O,X,X
TSIOZLJ,O,X,X
TSIOZJL,O,X,X
TSLIJZO,O,X,X
TSLIJOZ,X,X,X
TSLIZJO,O,X,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,X,X
TSLJIOZ,X,X,X
TSLJZIO,O,X,X
TSLJZOI,X,X,X
TSLJOIZ,X,X,X
TSLJOZI,X,X,X
TSLZIJO,O,X,X
TSLZIOJ,O,X,X
TSLZJIO,O,X,X
TSLZJOI,X,X,X
TSLZOIJ,O,X,X
TSLZOJI,X,X,X
TSLOIJZ,O,X,X
TSLOIZJ,O,X,X
TSLOJIZ,O,X,X
TSLOJZI,O,X,X
TSLOZIJ,O,X,X
TSLOZJI,O,X,X
TSJILZO,O,X,X
TSJILOZ,X,X,X
TSJIZLO,O,X,X
TSJIZOL,X,X,X
TSJIOLZ,X,X,X
TSJIOZL,X,X,X
TSJLIZO,O,X,X
TSJLIOZ,X,X,X
TSJLZIO,O,X,X
TSJLZOI,X,X,X
TSJLOIZ,X,X,X
TSJLOZI,X,X,X
TSJZILO,O,X,X
TSJZIOL,X,X,X
TSJZLIO,O,X,X
TSJZLOI,X,X,X
TSJZOIL,X,X,X
TSJZOLI,X,X,X
TSJOILZ,X,X,X
TSJOIZL,X,X,X
TSJOLIZ,X,X,X
TSJOLZI,X,X,X
TSJOZIL,X,X,X
TSJOZLI,X,X,X
TSZILJO,O,X,X
TSZILOJ,O,X,X
TSZIJLO,O,X,X
TSZIJOL,X,X,X
