sequence,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBUiBGjBVt?BywB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBihBGjBUoBFs?B3rB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFigBFiBTjBfsBWt?BUrB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBFiBXjB0mBSt?B2wB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBFiB8nB+o?BywB
LTJIOZS,O,O,O,X,X
LTJSIZO,O,X,O,X,X
LTJSIOZ,O,X,O,X,X
LTJSZIO,O,X,O,X,X
LTJSZOI,O,X,O,X,X
LTJSOIZ,O,X,O,X,X
LTJSOZI,O,X,O,X,X
LTJZISO,O,O,X,X,X
LTJZIOS,O,O,O,X,X
LTJZSIO,O,O,X,X,X
LTJZSOI,O,O,X,X,X
LTJZOIS,O,O,O,X,X
LTJZOSI,O,O,X,X,X
LTJOISZ,O,X,O,X,X
LTJOIZS,O,O,O,X,X
LTJOSIZ,O,X,O,X,X
LTJOSZI,O,X,O,X,X
LTJOZIS,O,O,O,X,X
LTJOZSI,O,O,X,X,X
LTSIJZO,O,X,O,X,X
LTSIJOZ,O,X,O,X,X
LTSIZJO,O,O,O,O,X
LTSIZOJ,O,O,X,O,X
LTSIOJZ,O,X,O,X,X
LTSIOZJ,O,O,X,O,X
LTSJIZO,O,X,O,X,X
LTSJIOZ,O,X,O,X,X
LTSJZIO,O,X,O,X,X
LTSJZOI,O,X,O,X,X
LTSJOIZ,O,X,O,X,X
LTSJOZI,O,X,O,X,X
LTSZIJO,O,O,O,O,X
LTSZIOJ,O,O,X,O,X
LTSZJIO,O,O,O,O,X
LTSZJOI,O,O,O,O,X
LTSZOIJ,O,O,X,O,X
LTSZOJI,O,O,X,O,X
LTSOIJZ,O,X,O,X,X
LTSOIZJ,O,O,X,O,X
LTSOJIZ,O,X,O,X,X
LTSOJZI,O,X,O,X,X
LTSOZIJ,O,O,X,O,X
LTSOZJI,O,O,X,O,X
LTZIJSO,O,O,X,O,X
LTZIJOS,O,O,X,O,X
LTZISJO,O,O,X,O,X
LTZISOJ,O,O,X,O,X
LTZIOJS,O,O,X,O,X
LTZIOSJ,O,O,X,O,X
LTZJISO,O,O,X,O,X
LTZJIOS,O,O,X,O,X
LTZJSIO,O,O,X,O,X
LTZJSOI,O,O,X,O,X
LTZJOIS,O,O,X,O,X
LTZJOSI,O,O,X,O,X
LTZSIJO,O,O,X,O,X
LTZSIOJ,O,O,X,O,X
LTZSJIO,O,O,X,O,X
LTZSJOI,O,O,X,O,X
LTZSOIJ,O,O,X,O,X
LTZSOJI,O,O,X,O,X
LTZOIJS,O,O,X,O,X
LTZOISJ,O,O,X,O,X
LTZOJIS,O,O,X,O,X
LTZOJSI,O,O,X,O,X
LTZOSIJ,O,O,X,O,X
LTZOSJI,O,O,X,O,X
LTOIJSZ,O,X,X,X,X
LTOIJZS,O,O,X,X,X
LTOISJZ,O,X,X,X,X
LTOISZJ,O,O,X,O,X
LTOIZJS,O,O,X,O,X
LTOIZSJ,O,O,X,O,X
LTOJISZ,O,X,X,X,X
LTOJIZS,O,O,X,X,X
LTOJSIZ,O,X,X,X,X
LTOJSZI,O,X,X,X,X
LTOJZIS,O,O,X,X,X
LTOJZSI,O,O,X,X,X
LTOSIJZ,O,X,X,X,X
LTOSIZJ,O,O,X,O,X
LTOSJIZ,O,X,X,X,X
LTOSJZI,O,X,X,X,X
LTOSZIJ,O,O,X,O,X
LTOSZJI,O,O,X,O,X
LTOZIJS,O,O,X,O,X
LTOZISJ,O,O,X,O,X
LTOZJIS,O,O,X,O,X
LTOZJSI,O,O,X,O,X
LTOZSIJ,O,O,X,O,X
LTOZSJI,O,O,X,O,X
LITJSZO,O,X,O,X,X
LITJSOZ,O,X,O,X,X
LITJZSO,O,O,X,X,X
LITJZOS,O,O,O,X,X
LITJOSZ,O,X,O,X,X
LITJOZS,O,O,O,X,X
LITSJZO,O,X,O,X,X
LITSJOZ,O,X,O,X,X
LITSZJO,O,O,O,O,X
LITSZOJ,O,O,X,O,X
LITSOJZ,O,X,O,X,X
LITSOZJ,O,O,X,O,X
LITZJSO,O,O,X,O,X
LITZJOS,O,O,X,O,X
LITZSJO,O,O,X,O,X
LITZSOJ,O,O,X,O,X
LITZOJS,O,O,X,O,X
LITZOSJ,O,O,X,O,X
LITOJSZ,O,X,X,X,X
LITOJZS,O,O,X,X,X
LITOSJZ,O,X,X,X,X
LITOSZJ,O,O,X,O,X
LITOZJS,O,O,X,O,X
LITOZSJ,O,O,X,O,X
LIJTSZO,X,X,O,X,X
LIJTSOZ,X,X,O,X,X
LIJTZSO,X,O,X,X,X
LIJTZOS,X,O,O,X,X
LIJTOSZ,X,X,O,X,X
LIJTOZS,X,O,O,X,X
LIJSTZO,X,X,O,X,X
LIJSTOZ,X,X,O,X,X
LIJSZTO,X,X,O,O,O
LIJSZOT,X,X,O,O,O
LIJSOTZ,X,X,O,X,X
LIJSOZT,X,X,O,O,O
LIJZTSO,X,X,X,O,O
LIJZTOS,X,O,O,O,O
LIJZSTO,X,X,O,O,O
LIJZSOT,X,O,O,O,O
LIJZOTS,X,O,O,O,O
LIJZOST,X,O,O,O,O
LIJOTSZ,X,X,O,X,X
LIJOTZS,X,O,O,X,X
LIJOSTZ,X,X,O,X,X
LIJOSZT,X,X,O,O,O
LIJOZTS,X,O,O,O,O
LIJOZST,X,O,O,O,O
LISTJZO,O,X,O,X,X
LISTJOZ,O,X,O,X,X
LISTZJO,O,O,O,O,X
LISTZOJ,O,O,X,O,X
LISTOJZ,O,X,O,X,X
LISTOZJ,O,O,X,O,X
LISJTZO,X,X,O,X,X
LISJTOZ,X,X,O,X,X
LISJZTO,X,X,O,O,O
LISJZOT,X,X,O,O,O
LISJOTZ,X,X,O,X,X
LISJOZT,X,X,O,O,O
LISZTJO,O,X,O,O,X
LISZTOJ,O,X,X,O,X
LISZJTO,X,X,O,O,X
LISZJOT,X,O,O,O,X
LISZOTJ,O,X,X,O,X
LISZOJT,X,O,X,O,X
LISOTJZ,O,X,O,X,X
LISOTZJ,O,O,X,O,X
LISOJTZ,X,X,O,X,X
LISOJZT,X,X,O,O,O
LISOZTJ,O,X,X,O,X
LISOZJT,X,O,X,O,X
LIZTJSO,X,O,X,O,X
LIZTJOS,X,O,X,O,X
LIZTSJO,X,O,X,O,X
LIZTSOJ,X,O,X,O,X
LIZTOJS,X,O,X,O,X
LIZTOSJ,X,O,X,O,X
LIZJTSO,X,O,X,O,X
LIZJTOS,X,O,O,O,X
LIZJSTO,X,X,O,O,X
LIZJSOT,X,O,O,O,X
LIZJOTS,X,O,O,O,X
LIZJOST,X,O,O,O,X
LIZSTJO,X,X,O,O,X
LIZSTOJ,X,X,X,O,X
LIZSJTO,X,X,O,O,X
LIZSJOT,X,O,O,O,X
LIZSOTJ,X,X,X,O,X
LIZSOJT,X,O,X,O,X
LIZOTJS,X,O,X,O,X
LIZOTSJ,X,O,X,O,X
LIZOJTS,X,O,X,O,X
LIZOJST,X,O,X,O,X
LIZOSTJ,X,X,X,O,X
LIZOSJT,X,O,X,O,X
LIOTJSZ,O,X,X,X,X
LIOTJZS,O,O,X,X,X
LIOTSJZ,O,X,X,X,X
LIOTSZJ,O,O,X,O,X
LIOTZJS,O,O,X,O,X
LIOTZSJ,O,O,X,O,X
LIOJTSZ,X,X,O,X,X
LIOJTZS,X,O,O,X,X
LIOJSTZ,X,X,O,X,X
LIOJSZT,X,X,O,O,O
LIOJZTS,X,O,O,O,O
LIOJZST,X,O,O,O,O
LIOSTJZ,O,X,O,X,X
LIOSTZJ,O,O,X,O,X
LIOSJTZ,X,X,O,X,X
LIOSJZT,X,X,O,O,O
LIOSZTJ,O,X,X,O,X
LIOSZJT,X,O,X,O,X
LIOZTJS,X,O,X,O,X
LIOZTSJ,X,O,X,O,X
LIOZJTS,X,O,X,O,X
LIOZJST,X,O,X,O,X
LIOZSTJ,X,X,X,O,X
LIOZSJT,X,O,X,O,X
LJTISZO,X,X,O,X,X
LJTISOZ,X,X,O,X,X
LJTIZSO,X,O,X,X,X
LJTIZOS,X,O,O,X,X
LJTIOSZ,X,X,O,X,X
LJTIOZS,X,O,O,X,X
LJTSIZO,X,X,O,X,X
LJTSIOZ,X,X,O,X,X
LJTSZIO,X,X,O,X,X
LJTSZOI,X,X,O,X,X
LJTSOIZ,X,X,O,X,X
LJTSOZI,X,X,O,X,X
LJTZISO,X,O,X,X,X
LJTZIOS,X,O,O,X,X
LJTZSIO,X,O,X,X,X
LJTZSOI,X,O,X,X,X
LJTZOIS,X,O,O,X,X
LJTZOSI,X,O,X,X,X
LJTOISZ,X,X,O,X,X
LJTOIZS,X,O,O,X,X
LJTOSIZ,X,X,O,X,X
LJTOSZI,X,X,O,X,X
LJTOZIS,X,O,O,X,X
LJTOZSI,X,O,X,X,X
LJITSZO,X,X,O,X,X
LJITSOZ,X,X,O,X,X
LJITZSO,X,O,X,X,X
LJITZOS,X,O,O,X,X
LJITOSZ,X,X,O,X,X
LJITOZS,X,O,O,X,X
LJISTZO,X,X,O,X,X
LJISTOZ,X,X,O,X,X
LJISZTO,X,X,O,O,O
LJISZOT,X,X,O,O,O
LJISOTZ,X,X,O,X,X
LJISOZT,X,X,O,O,O
LJIZTSO,X,X,X,O,O
LJIZTOS,X,O,O,O,O
LJIZSTO,X,X,O,O,O
LJIZSOT,X,O,O,O,O
LJIZOTS,X,O,O,O,O
LJIZOST,X,O,O,O,O
LJIOTSZ,X,X,O,X,X
LJIOTZS,X,O,O,X,X
LJIOSTZ,X,X,O,X,X
LJIOSZT,X,X,O,O,O
LJIOZTS,X,O,O,O,O
LJIOZST,X,O,O,O,O
LJSTIZO,X,X,O,X,X
LJSTIOZ,X,X,O,X,X
LJSTZIO,X,X,O,X,X
LJSTZOI,X,X,O,X,X
LJSTOIZ,X,X,O,X,X
LJSTOZI,X,X,O,X,X
LJSITZO,X,X,O,X,X
LJSITOZ,X,X,O,X,X
LJSIZTO,X,X,O,O,O
LJSIZOT,X,X,O,O,O
LJSIOTZ,X,X,O,X,X
LJSIOZT,X,X,O,O,O
LJSZTIO,X,X,O,O,O
LJSZTOI,X,X,O,O,O
LJSZITO,X,X,O,O,O
LJSZIOT,X,X,O,O,O
LJSZOTI,X,X,O,O,O
LJSZOIT,X,X,O,O,O
LJSOTIZ,X,X,O,X,X
LJSOTZI,X,X,O,X,X
LJSOITZ,X,X,O,X,X
LJSOIZT,X,X,O,O,O
LJSOZTI,X,X,O,O,O
LJSOZIT,X,X,O,O,O
LJZTISO,X,X,X,O,O
LJZTIOS,X,O,O,O,O
LJZTSIO,X,X,X,O,O
LJZTSOI,X,X,X,O,O
LJZTOIS,X,O,O,O,O
LJZTOSI,X,X,X,O,O
LJZITSO,X,X,X,O,O
LJZITOS,X,O,O,O,O
LJZISTO,X,X,O,O,O
LJZISOT,X,O,O,O,O
LJZIOTS,X,O,O,O,O
LJZIOST,X,O,O,O,O
LJZSTIO,X,X,O,O,O
LJZSTOI,X,X,O,O,O
LJZSITO,X,X,O,O,O
LJZSIOT,X,O,O,O,O
LJZSOTI,X,X,O,O,O
LJZSOIT,X,O,O,O,O
LJZOTIS,X,O,O,O,O
LJZOTSI,X,X,X,O,O
LJZOITS,X,O,O,O,O
LJZOIST,X,O,O,O,O
LJZOSTI,X,X,O,O,O
LJZOSIT,X,O,O,O,O
LJOTISZ,X,X,O,X,X
LJOTIZS,X,O,O,X,X
LJOTSIZ,X,X,O,X,X
LJOTSZI,X,X,O,X,X
LJOTZIS,X,O,O,X,X
LJOTZSI,X,O,X,X,X
LJOITSZ,X,X,O,X,X
LJOITZS,X,O,O,X,X
LJOISTZ,X,X,O,X,X
LJOISZT,X,X,O,O,O
LJOIZTS,X,O,O,O,O
LJOIZST,X,O,O,O,O
LJOSTIZ,X,X,O,X,X
LJOSTZI,X,X,O,X,X
LJOSITZ,X,X,O,X,X
LJOSIZT,X,X,O,O,O
LJOSZTI,X,X,O,O,O
LJOSZIT,X,X,O,O,O
LJOZTIS,X,O,O,O,O
LJOZTSI,X,X,X,O,O
LJOZITS,X,O,O,O,O
LJOZIST,X,O,O,O,O
LJOZSTI,X,X,O,O,O
LJOZSIT,X,O,O,O,O
LSTIJZO,O,X,O,X,X
LSTIJOZ,O,X,O,X,X
LSTIZJO,O,O,O,O,X
LSTIZOJ,O,O,X,O,X
LSTIOJZ,O,X,O,X,X
LSTIOZJ,O,O,X,O,X
LSTJIZO,O,X,O,X,X
LSTJIOZ,O,X,O,X,X
LSTJZIO,O,X,O,X,X
LSTJZOI,O,X,O,X,X
LSTJOIZ,O,X,O,X,X
LSTJOZI,O,X,O,X,X
LSTZIJO,O,O,O,O,X
LSTZIOJ,O,O,X,O,X
LSTZJIO,O,O,O,O,X
LSTZJOI,O,O,O,O,X
LSTZOIJ,O,O,X,O,X
LSTZOJI,O,O,X,O,X
LSTOIJZ,O,X,O,X,X
LSTOIZJ,O,O,X,O,X
LSTOJIZ,O,X,O,X,X
LSTOJZI,O,X,O,X,X
LSTOZIJ,O,O,X,O,X
LSTOZJI,O,O,X,O,X
LSITJZO,O,X,O,X,X
LSITJOZ,O,X,O,X,X
LSITZJO,O,O,O,O,X
LSITZOJ,O,O,X,O,X
LSITOJZ,O,X,O,X,X
LSITOZJ,O,O,X,O,X
LSIJTZO,X,X,O,X,X
LSIJTOZ,X,X,O,X,X
LSIJZTO,X,X,O,O,O
LSIJZOT,X,X,O,O,O
LSIJOTZ,X,X,O,X,X
LSIJOZT,X,X,O,O,O
LSIZTJO,O,X,O,O,X
LSIZTOJ,O,X,X,O,X
LSIZJTO,X,X,O,O,X
LSIZJOT,X,O,O,O,X
LSIZOTJ,O,X,X,O,X
LSIZOJT,X,O,X,O,X
LSIOTJZ,O,X,O,X,X
LSIOTZJ,O,O,X,O,X
LSIOJTZ,X,X,O,X,X
LSIOJZT,X,X,O,O,O
LSIOZTJ,O,X,X,O,X
LSIOZJT,X,O,X,O,X
LSJTIZO,X,X,O,X,X
LSJTIOZ,X,X,O,X,X
LSJTZIO,X,X,O,X,X
LSJTZOI,X,X,O,X,X
LSJTOIZ,X,X,O,X,X
LSJTOZI,X,X,O,X,X
LSJITZO,X,X,O,X,X
LSJITOZ,X,X,O,X,X
LSJIZTO,X,X,O,O,O
LSJIZOT,X,X,O,O,O
LSJIOTZ,X,X,O,X,X
LSJIOZT,X,X,O,O,O
LSJZTIO,X,X,O,O,O
LSJZTOI,X,X,O,O,O
LSJZITO,X,X,O,O,O
LSJZIOT,X,X,O,O,O
LSJZOTI,X,X,O,O,O
LSJZOIT,X,X,O,O,O
LSJOTIZ,X,X,O,X,X
LSJOTZI,X,X,O,X,X
LSJOITZ,X,X,O,X,X
LSJOIZT,X,X,O,O,O
LSJOZTI,X,X,O,O,O
LSJOZIT,X,X,O,O,O
LSZTIJO,O,X,O,O,X
LSZTIOJ,O,X,X,O,X
LSZTJIO,O,X,O,O,X
LSZTJOI,O,X,O,O,X
LSZTOIJ,O,X,X,O,X
LSZTOJI,O,X,X,O,X
LSZITJO,O,X,O,O,X
LSZITOJ,O,X,X,O,X
LSZIJTO,X,X,O,O,X
LSZIJOT,X,O,O,O,X
LSZIOTJ,O,X,X,O,X
LSZIOJT,X,O,X,O,X
LSZJTIO,X,X,O,O,X
LSZJTOI,X,X,O,O,X
LSZJITO,X,X,O,O,X
LSZJIOT,X,O,O,O,X
LSZJOTI,X,X,O,O,X
LSZJOIT,X,O,O,O,X
LSZOTIJ,O,X,X,O,X
LSZOTJI,O,X,X,O,X
LSZOITJ,O,X,X,O,X
LSZOIJT,X,O,X,O,X
LSZOJTI,X,X,X,O,X
LSZOJIT,X,O,X,O,X
LSOTIJZ,O,X,O,X,X
LSOTIZJ,O,O,X,O,X
LSOTJIZ,O,X,O,X,X
LSOTJZI,O,X,O,X,X
LSOTZIJ,O,O,X,O,X
LSOTZJI,O,O,X,O,X
LSOITJZ,O,X,O,X,X
LSOITZJ,O,O,X,O,X
LSOIJTZ,X,X,O,X,X
LSOIJZT,X,X,O,O,O
LSOIZTJ,O,X,X,O,X
LSOIZJT,X,O,X,O,X
LSOJTIZ,X,X,O,X,X
LSOJTZI,X,X,O,X,X
LSOJITZ,X,X,O,X,X
LSOJIZT,X,X,O,O,O
LSOJZTI,X,X,O,O,O
LSOJZIT,X,X,O,O,O
LSOZTIJ,O,X,X,O,X
LSOZTJI,O,X,X,O,X
LSOZITJ,O,X,X,O,X
LSOZIJT,X,O,X,O,X
LSOZJTI,X,X,X,O,X
LSOZJIT,X,O,X,O,X
LZTIJSO,X,O,X,O,X
LZTIJOS,X,O,X,O,X
LZTISJO,X,O,X,O,X
LZTISOJ,X,O,X,O,X
LZTIOJS,X,O,X,O,X
LZTIOSJ,X,O,X,O,X
LZTJISO,X,O,X,O,X
LZTJIOS,X,O,X,O,X
LZTJSIO,X,O,X,O,X
LZTJSOI,X,O,X,O,X
LZTJOIS,X,O,X,O,X
LZTJOSI,X,O,X,O,X
LZTSIJO,X,O,X,O,X
LZTSIOJ,X,O,X,O,X
LZTSJIO,X,O,X,O,X
LZTSJOI,X,O,X,O,X
LZTSOIJ,X,O,X,O,X
LZTSOJI,X,O,X,O,X
LZTOIJS,X,O,X,O,X
LZTOISJ,X,O,X,O,X
LZTOJIS,X,O,X,O,X
LZTOJSI,X,O,X,O,X
LZTOSIJ,X,O,X,O,X
LZTOSJI,X,O,X,O,X
LZITJSO,X,O,X,O,X
LZITJOS,X,O,X,O,X
LZITSJO,X,O,X,O,X
LZITSOJ,X,O,X,O,X
LZITOJS,X,O,X,O,X
LZITOSJ,X,O,X,O,X
LZIJTSO,X,O,X,O,X
LZIJTOS,X,O,O,O,X
LZIJSTO,X,X,O,O,X
LZIJSOT,X,O,O,O,X
LZIJOTS,X,O,O,O,X
LZIJOST,X,O,O,O,X
LZISTJO,X,X,O,O,X
LZISTOJ,X,X,X,O,X
LZISJTO,X,X,O,O,X
LZISJOT,X,O,O,O,X
LZISOTJ,X,X,X,O,X
LZISOJT,X,O,X,O,X
LZIOTJS,X,O,X,O,X
LZIOTSJ,X,O,X,O,X
LZIOJTS,X,O,X,O,X
LZIOJST,X,O,X,O,X
LZIOSTJ,X,X,X,O,X
LZIOSJT,X,O,X,O,X
LZJTISO,X,O,X,O,X
LZJTIOS,X,O,O,O,X
LZJTSIO,X,O,X,O,X
LZJTSOI,X,O,X,O,X
LZJTOIS,X,O,O,O,X
LZJTOSI,X,O,X,O,X
LZJITSO,X,O,X,O,X
LZJITOS,X,O,O,O,X
LZJISTO,X,X,O,O,X
LZJISOT,X,O,O,O,X
LZJIOTS,X,O,O,O,X
LZJIOST,X,O,O,O,X
LZJSTIO,X,X,O,O,X
LZJSTOI,X,X,O,O,X
LZJSITO,X,X,O,O,X
LZJSIOT,X,O,O,O,X
LZJSOTI,X,X,O,O,X
LZJSOIT,X,O,O,O,X
LZJOTIS,X,O,O,O,X
LZJOTSI,X,O,X,O,X
LZJOITS,X,O,O,O,X
LZJOIST,X,O,O,O,X
LZJOSTI,X,X,O,O,X
LZJOSIT,X,O,O,O,X
LZSTIJO,X,X,O,O,X
LZSTIOJ,X,X,X,O,X
LZSTJIO,X,X,O,O,X
LZSTJOI,X,X,O,O,X
LZSTOIJ,X,X,X,O,X
LZSTOJI,X,X,X,O,X
LZSITJO,X,X,O,O,X
LZSITOJ,X,X,X,O,X
LZSIJTO,X,X,O,O,X
LZSIJOT,X,O,O,O,X
LZSIOTJ,X,X,X,O,X
LZSIOJT,X,O,X,O,X
LZSJTIO,X,X,O,O,X
LZSJTOI,X,X,O,O,X
LZSJITO,X,X,O,O,X
LZSJIOT,X,O,O,O,X
LZSJOTI,X,X,O,O,X
LZSJOIT,X,O,O,O,X
LZSOTIJ,X,X,X,O,X
LZSOTJI,X,X,X,O,X
LZSOITJ,X,X,X,O,X
LZSOIJT,X,O,X,O,X
LZSOJTI,X,X,X,O,X
LZSOJIT,X,O,X,O,X
LZOTIJS,X,O,X,O,X
LZOTISJ,X,O,X,O,X
LZOTJIS,X,O,X,O,X
LZOTJSI,X,O,X,O,X
LZOTSIJ,X,O,X,O,X
LZOTSJI,X,O,X,O,X
LZOITJS,X,O,X,O,X
LZOITSJ,X,O,X,O,X
LZOIJTS,X,O,X,O,X
LZOIJST,X,O,X,O,X
LZOISTJ,X,X,X,O,X
LZOISJT,X,O,X,O,X
LZOJTIS,X,O,X,O,X
LZOJTSI,X,O,X,O,X
LZOJITS,X,O,X,O,X
LZOJIST,X,O,X,O,X
LZOJSTI,X,X,X,O,X
LZOJSIT,X,O,X,O,X
LZOSTIJ,X,X,X,O,X
LZOSTJI,X,X,X,O,X
LZOSITJ,X,X,X,O,X
LZOSIJT,X,O,X,O,X
LZOSJTI,X,X,X,O,X
LZOSJIT,X,O,X,O,X
LOTIJSZ,O,X,X,X,X
LOTIJZS,O,O,X,X,X
LOTISJZ,O,X,X,X,X
LOTISZJ,O,O,X,O,X
LOTIZJS,O,O,X,O,X
LOTIZSJ,O,O,X,O,X
LOTJISZ,O,X,X,X,X
LOTJIZS,O,O,X,X,X
LOTJSIZ,O,X,X,X,X
LOTJSZI,O,X,X,X,X
LOTJZIS,O,O,X,X,X
LOTJZSI,O,O,X,X,X
LOTSIJZ,O,X,X,X,X
LOTSIZJ,O,O,X,O,X
LOTSJIZ,O,X,X,X,X
LOTSJZI,O,X,X,X,X
LOTSZIJ,O,O,X,O,X
LOTSZJI,O,O,X,O,X
LOTZIJS,O,O,X,O,X
LOTZISJ,O,O,X,O,X
LOTZJIS,O,O,X,O,X
LOTZJSI,O,O,X,O,X
LOTZSIJ,O,O,X,O,X
LOTZSJI,O,O,X,O,X
LOITJSZ,O,X,X,X,X
LOITJZS,O,O,X,X,X
LOITSJZ,O,X,X,X,X
LOITSZJ,O,O,X,O,X
LOITZJS,O,O,X,O,X
LOITZSJ,O,O,X,O,X
LOIJTSZ,X,X,O,X,X
LOIJTZS,X,O,O,X,X
LOIJSTZ,X,X,O,X,X
LOIJSZT,X,X,O,O,O
LOIJZTS,X,O,O,O,O
LOIJZST,X,O,O,O,O
LOISTJZ,O,X,O,X,X
LOISTZJ,O,O,X,O,X
LOISJTZ,X,X,O,X,X
LOISJZT,X,X,O,O,O
LOISZTJ,O,X,X,O,X
LOISZJT,X,O,X,O,X
LOIZTJS,X,O,X,O,X
LOIZTSJ,X,O,X,O,X
LOIZJTS,X,O,X,O,X
LOIZJST,X,O,X,O,X
LOIZSTJ,X,X,X,O,X
LOIZSJT,X,O,X,O,X
LOJTISZ,X,X,O,X,X
LOJTIZS,X,O,O,X,X
LOJTSIZ,X,X,O,X,X
LOJTSZI,X,X,O,X,X
LOJTZIS,X,O,O,X,X
LOJTZSI,X,O,X,X,X
LOJITSZ,X,X,O,X,X
LOJITZS,X,O,O,X,X
LOJISTZ,X,X,O,X,X
LOJISZT,X,X,O,O,O
LOJIZTS,X,O,O,O,O
LOJIZST,X,O,O,O,O
LOJSTIZ,X,X,O,X,X
LOJSTZI,X,X,O,X,X
LOJSITZ,X,X,O,X,X
LOJSIZT,X,X,O,O,O
LOJSZTI,X,X,O,O,O
LOJSZIT,X,X,O,O,O
LOJZTIS,X,O,O,O,O
LOJZTSI,X,X,X,O,O
LOJZITS,X,O,O,O,O
LOJZIST,X,O,O,O,O
LOJZSTI,X,X,O,O,O
LOJZSIT,X,O,O,O,O
LOSTIJZ,O,X,O,X,X
LOSTIZJ,O,O,X,O,X
LOSTJIZ,O,X,O,X,X
LOSTJZI,O,X,O,X,X
LOSTZIJ,O,O,X,O,X
LOSTZJI,O,O,X,O,X
LOSITJZ,O,X,O,X,X
LOSITZJ,O,O,X,O,X
LOSIJTZ,X,X,O,X,X
LOSIJZT,X,X,O,O,O
LOSIZTJ,O,X,X,O,X
LOSIZJT,X,O,X,O,X
LOSJTIZ,X,X,O,X,X
LOSJTZI,X,X,O,X,X
LOSJITZ,X,X,O,X,X
LOSJIZT,X,X,O,O,O
LOSJZTI,X,X,O,O,O
LOSJZIT,X,X,O,O,O
LOSZTIJ,O,X,X,O,X
LOSZTJI,O,X,X,O,X
LOSZITJ,O,X,X,O,X
LOSZIJT,X,O,X,O,X
LOSZJTI,X,X,X,O,X
LOSZJIT,X,O,X,O,X
LOZTIJS,X,O,X,O,X
LOZTISJ,X,O,X,O,X
LOZTJIS,X,O,X,O,X
LOZTJSI,X,O,X,O,X
LOZTSIJ,X,O,X,O,X
LOZTSJI,X,O,X,O,X
LOZITJS,X,O,X,O,X
LOZITSJ,X,O,X,O,X
LOZIJTS,X,O,X,O,X
LOZIJST,X,O,X,O,X
LOZISTJ,X,X,X,O,X
LOZISJT,X,O,X,O,X
LOZJTIS,X,O,X,O,X
LOZJTSI,X,O,X,O,X
LOZJITS,X,O,X,O,X
LOZJIST,X,O,X,O,X
LOZJSTI,X,X,X,O,X
LOZJSIT,X,O,X,O,X
LOZSTIJ,X,X,X,O,X
LOZSTJI,X,X,X,O,X
LOZSITJ,X,X,X,O,X
LOZSIJT,X,O,X,O,X
LOZSJTI,X,X,X,O,X
LOZSJIT,X,O,X,O,X
JTILSZO,O,X,O,X,X
JTILSOZ,O,X,O,X,X
JTILZSO,O,O,X,X,X
JTILZOS,O,O,O,X,X
JTILOSZ,O,X,O,X,X
JTILOZS,O,O,O,X,X
JTISLZO,O,X,O,X,X
JTISLOZ,O,X,O,X,X
JTISZLO,O,X,O,X,O
JTISZOL,O,X,O,X,O
JTISOLZ,O,X,O,X,X
JTISOZL,O,X,O,X,O
JTIZLSO,O,O,X,X,O
JTIZLOS,O,O,O,X,O
JTIZSLO,O,O,X,X,O
JTIZSOL,O,O,X,X,O
JTIZOLS,O,O,O,X,O
JTIZOSL,O,O,X,X,O
JTIOLSZ,O,X,O,X,X
JTIOLZS,O,O,O,X,X
JTIOSLZ,O,X,O,X,X
JTIOSZL,O,X,O,X,O
JTIOZLS,O,O,O,X,O
JTIOZSL,O,O,X,X,O
JTLISZO,O,X,O,X,X
JTLISOZ,O,X,O,X,X
JTLIZSO,O,O,X,X,X
JTLIZOS,O,O,O,X,X
JTLIOSZ,O,X,O,X,X
JTLIOZS,O,O,O,X,X
JTLSIZO,O,X,O,X,X
JTLSIOZ,O,X,O,X,X
JTLSZIO,O,X,O,X,X
JTLSZOI,O,X,O,X,X
JTLSOIZ,O,X,O,X,X
JTLSOZI,O,X,O,X,X
JTLZISO,O,O,X,X,X
JTLZIOS,O,O,O,X,X
JTLZSIO,O,O,X,X,X
JTLZSOI,O,O,X,X,X
JTLZOIS,O,O,O,X,X
JTLZOSI,O,O,X,X,X
JTLOISZ,O,X,O,X,X
JTLOIZS,O,O,O,X,X
JTLOSIZ,O,X,O,X,X
JTLOSZI,O,X,O,X,X
JTLOZIS,O,O,O,X,X
JTLOZSI,O,O,X,X,X
JTSILZO,O,X,O,X,X
JTSILOZ,O,X,O,X,X
JTSIZLO,O,X,O,X,O
JTSIZOL,O,X,O,X,O
JTSIOLZ,O,X,O,X,X
JTSIOZL,O,X,O,X,O
JTSLIZO,O,X,O,X,X
JTSLIOZ,O,X,O,X,X
JTSLZIO,O,X,O,X,X
JTSLZOI,O,X,O,X,X
JTSLOIZ,O,X,O,X,X
JTSLOZI,O,X,O,X,X
JTSZILO,O,X,O,X,O
JTSZIOL,O,X,O,X,O
JTSZLIO,O,X,O,X,O
JTSZLOI,O,X,O,X,O
JTSZOIL,O,X,O,X,O
JTSZOLI,O,X,O,X,O
JTSOILZ,O,X,O,X,X
JTSOIZL,O,X,O,X,O
JTSOLIZ,O,X,O,X,X
JTSOLZI,O,X,O,X,X
JTSOZIL,O,X,O,X,O
