sequence,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBUiBGjBVt?BywB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBihBGjBUoBFs?B3rB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFigBFiBTjBfsBWt?BUrB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBFiBXjB0mBSt?B2wB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBFiB8nB+o?BywB
TJILSOZ,O,X,O,X,X
TJILZSO,O,O,X,X,X
TJILZOS,O,O,O,X,X
TJILOSZ,O,X,O,X,X
TJILOZS,O,O,O,X,X
TJISLZO,O,X,O,X,X
TJISLOZ,O,X,O,X,X
TJISZLO,O,X,O,X,O
TJISZOL,O,X,O,X,O
TJISOLZ,O,X,O,X,X
TJISOZL,O,X,O,X,O
TJIZLSO,O,O,X,X,O
TJIZLOS,O,O,O,X,O
TJIZSLO,O,O,X,X,O
TJIZSOL,O,O,X,X,O
TJIZOLS,O,O,O,X,O
TJIZOSL,O,O,X,X,O
TJIOLSZ,O,X,O,X,X
TJIOLZS,O,O,O,X,X
TJIOSLZ,O,X,O,X,X
TJIOSZL,O,X,O,X,O
TJIOZLS,O,O,O,X,O
TJIOZSL,O,O,X,X,O
TJLISZO,O,X,O,X,X
TJLISOZ,O,X,O,X,X
TJLIZSO,O,O,X,X,X
TJLIZOS,O,O,O,X,X
TJLIOSZ,O,X,O,X,X
TJLIOZS,O,O,O,X,X
TJLSIZO,O,X,O,X,X
TJLSIOZ,O,X,O,X,X
TJLSZIO,O,X,O,X,X
TJLSZOI,O,X,O,X,X
TJLSOIZ,O,X,O,X,X
TJLSOZI,O,X,O,X,X
TJLZISO,O,O,X,X,X
TJLZIOS,O,O,O,X,X
TJLZSIO,O,O,X,X,X
TJLZSOI,O,O,X,X,X
TJLZOIS,O,O,O,X,X
TJLZOSI,O,O,X,X,X
TJLOISZ,O,X,O,X,X
TJLOIZS,O,O,O,X,X
TJLOSIZ,O,X,O,X,X
TJLOSZI,O,X,O,X,X
TJLOZIS,O,O,O,X,X
TJLOZSI,O,O,X,X,X
TJSILZO,O,X,O,X,X
TJSILOZ,O,X,O,X,X
TJSIZLO,O,X,O,X,O
TJSIZOL,O,X,O,X,O
TJSIOLZ,O,X,O,X,X
TJSIOZL,O,X,O,X,O
TJSLIZO,O,X,O,X,X
TJSLIOZ,O,X,O,X,X
TJSLZIO,O,X,O,X,X
TJSLZOI,O,X,O,X,X
TJSLOIZ,O,X,O,X,X
TJSLOZI,O,X,O,X,X
TJSZILO,O,X,O,X,O
TJSZIOL,O,X,O,X,O
TJSZLIO,O,X,O,X,O
TJSZLOI,O,X,O,X,O
TJSZOIL,O,X,O,X,O
TJSZOLI,O,X,O,X,O
TJSOILZ,O,X,O,X,X
TJSOIZL,O,X,O,X,O
TJSOLIZ,O,X,O,X,X
TJSOLZI,O,X,O,X,X
TJSOZIL,O,X,O,X,O
TJSOZLI,O,X,O,X,O
TJZILSO,O,O,X,X,O
TJZILOS,O,O,O,X,O
TJZISLO,O,O,X,X,O
TJZISOL,O,O,X,X,O
TJZIOLS,O,O,O,X,O
TJZIOSL,O,O,X,X,O
TJZLISO,O,O,X,X,O
TJZLIOS,O,O,O,X,O
TJZLSIO,O,O,X,X,O
TJZLSOI,O,O,X,X,O
TJZLOIS,O,O,O,X,O
TJZLOSI,O,O,X,X,O
TJZSILO,O,O,X,X,O
TJZSIOL,O,O,X,X,O
TJZSLIO,O,O,X,X,O
TJZSLOI,O,O,X,X,O
TJZSOIL,O,O,X,X,O
TJZSOLI,O,O,X,X,O
TJZOILS,O,O,O,X,O
TJZOISL,O,O,X,X,O
TJZOLIS,O,O,O,X,O
TJZOLSI,O,O,X,X,O
TJZOSIL,O,O,X,X,O
TJZOSLI,O,O,X,X,O
TJOILSZ,O,X,O,X,X
TJOILZS,O,O,O,X,X
TJOISLZ,O,X,O,X,X
TJOISZL,O,X,O,X,O
TJOIZLS,O,O,O,X,O
TJOIZSL,O,O,X,X,O
TJOLISZ,O,X,O,X,X
TJOLIZS,O,O,O,X,X
TJOLSIZ,O,X,O,X,X
TJOLSZI,O,X,O,X,X
TJOLZIS,O,O,O,X,X
TJOLZSI,O,O,X,X,X
TJOSILZ,O,X,O,X,X
TJOSIZL,O,X,O,X,O
TJOSLIZ,O,X,O,X,X
TJOSLZI,O,X,O,X,X
TJOSZIL,O,X,O,X,O
TJOSZLI,O,X,O,X,O
TJOZILS,O,O,O,X,O
TJOZISL,O,O,X,X,O
TJOZLIS,O,O,O,X,O
TJOZLSI,O,O,X,X,O
TJOZSIL,O,O,X,X,O
TJOZSLI,O,O,X,X,O
TSILJZO,O,X,O,X,X
TSILJOZ,O,X,O,X,X
TSILZJO,O,O,O,X,X
TSILZOJ,O,O,X,X,X
TSILOJZ,O,X,O,X,X
TSILOZJ,O,O,X,X,X
TSIJLZO,O,X,O,X,X
TSIJLOZ,O,X,O,X,X
TSIJZLO,O,X,O,X,O
TSIJZOL,O,X,O,X,O
TSIJOLZ,O,X,O,X,X
TSIJOZL,O,X,O,X,O
TSIZLJO,O,O,O,X,X
TSIZLOJ,O,O,X,X,X
TSIZJLO,O,O,O,X,X
TSIZJOL,O,O,O,X,X
TSIZOLJ,O,O,X,X,X
TSIZOJL,O,O,X,X,X
TSIOLJZ,O,X,O,X,X
TSIOLZJ,O,O,X,X,X
TSIOJLZ,O,X,O,X,X
TSIOJZL,O,X,O,X,O
TSIOZLJ,O,O,X,X,X
TSIOZJL,O,O,X,X,X
TSLIJZO,O,X,O,X,X
TSLIJOZ,O,X,O,X,X
TSLIZJO,O,O,O,X,X
TSLIZOJ,O,O,X,X,X
TSLIOJZ,O,X,O,X,X
TSLIOZJ,O,O,X,X,X
TSLJIZO,O,X,O,X,X
TSLJIOZ,O,X,O,X,X
TSLJZIO,O,X,O,X,X
TSLJZOI,O,X,O,X,X
TSLJOIZ,O,X,O,X,X
TSLJOZI,O,X,O,X,X
TSLZIJO,O,O,O,X,X
TSLZIOJ,O,O,X,X,X
TSLZJIO,O,O,O,X,X
TSLZJOI,O,O,O,X,X
TSLZOIJ,O,O,X,X,X
TSLZOJI,O,O,X,X,X
TSLOIJZ,O,X,O,X,X
TSLOIZJ,O,O,X,X,X
TSLOJIZ,O,X,O,X,X
TSLOJZI,O,X,O,X,X
TSLOZIJ,O,O,X,X,X
TSLOZJI,O,O,X,X,X
TSJILZO,O,X,O,X,X
TSJILOZ,O,X,O,X,X
TSJIZLO,O,X,O,X,O
TSJIZOL,O,X,O,X,O
TSJIOLZ,O,X,O,X,X
TSJIOZL,O,X,O,X,O
TSJLIZO,O,X,O,X,X
TSJLIOZ,O,X,O,X,X
TSJLZIO,O,X,O,X,X
TSJLZOI,O,X,O,X,X
TSJLOIZ,O,X,O,X,X
TSJLOZI,O,X,O,X,X
TSJZILO,O,X,O,X,O
TSJZIOL,O,X,O,X,O
TSJZLIO,O,X,O,X,O
TSJZLOI,O,X,O,X,O
TSJZOIL,O,X,O,X,O
TSJZOLI,O,X,O,X,O
TSJOILZ,O,X,O,X,X
TSJOIZL,O,X,O,X,O
TSJOLIZ,O,X,O,X,X
TSJOLZI,O,X,O,X,X
TSJOZIL,O,X,O,X,O
TSJOZLI,O,X,O,X,O
TSZILJO,O,O,O,X,X
TSZILOJ,O,O,X,X,X
TSZIJLO,O,O,O,X,X
TSZIJOL,O,O,O,X,X
TSZIOLJ,O,O,X,X,X
TSZIOJL,O,O,X,X,X
TSZLIJO,O,O,O,X,X
TSZLIOJ,O,O,X,X,X
TSZLJIO,O,O,O,X,X
TSZLJOI,O,O,O,X,X
TSZLOIJ,O,O,X,X,X
TSZLOJI,O,O,X,X,X
TSZJILO,O,O,O,X,X
TSZJIOL,O,O,O,X,X
TSZJLIO,O,O,O,X,X
TSZJLOI,O,O,O,X,X
TSZJOIL,O,O,O,X,X
TSZJOLI,O,O,O,X,X
TSZOILJ,O,O,X,X,X
TSZOIJL,O,O,X,X,X
TSZOLIJ,O,O,X,X,X
TSZOLJI,O,O,X,X,X
TSZOJIL,O,O,X,X,X
TSZOJLI,O,O,X,X,X
TSOILJZ,O,X,O,X,X
TSOILZJ,O,O,X,X,X
TSOIJLZ,O,X,O,X,X
TSOIJZL,O,X,O,X,O
TSOIZLJ,O,O,X,X,X
TSOIZJL,O,O,X,X,X
TSOLIJZ,O,X,O,X,X
TSOLIZJ,O,O,X,X,X
TSOLJIZ,O,X,O,X,X
TSOLJZI,O,X,O,X,X
TSOLZIJ,O,O,X,X,X
TSOLZJI,O,O,X,X,X
