sequence,v115@HhA8IeC8EeA8AeG8Me0/IvhFxgBzlBWsB6tB/sBFtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF8mB5oBmlB3nBCmBzsB,v115@HhA8IeC8EeA8AeG8Mel/IvhFymB5oB0lB3nBGmBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF+nBTjBRmBllB3mBSyB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lB3hB5oBlnB2rBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lBThBFjB+tBxrB/sB,v115@HhA8IeC8EeA8AeG8Mel/IvhF0lBxmB6tBGmBTnBXtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF/oB0lBxmBGmBTnBSyB
TJSIZOL,X,O,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X
TJSIOZL,X,O,X,X,X,X,X,X
TJSLIZO,X,O,O,X,O,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X
TJSLZIO,X,O,O,X,O,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X
TJSZILO,X,O,O,X,O,X,X,O
TJSZIOL,X,O,X,X,X,X,X,O
TJSZLIO,X,O,O,X,O,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X
TJZILSO,X,O,O,X,O,O,O,X
TJZILOS,X,X,X,O,X,O,O,X
TJZISLO,X,O,O,X,O,X,X,O
TJZISOL,X,O,X,X,X,X,X,O
TJZIOLS,X,X,X,O,X,O,X,X
TJZIOSL,X,O,X,O,X,X,X,X
TJZLISO,X,O,O,X,O,O,O,X
TJZLIOS,X,X,X,O,X,O,O,X
TJZLSIO,X,X,X,X,O,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,O,X,X,O,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X
TJZSILO,X,O,O,X,O,X,X,O
TJZSIOL,X,O,X,X,X,X,X,O
TJZSLIO,X,O,O,X,O,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X
TJZSOIL,X,O,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,O,X,X,X,X
TJZOISL,X,O,X,O,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X
TJOILSZ,O,X,X,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,X
TJOIZLS,O,X,X,O,X,X,X,X
TJOIZSL,X,O,X,O,X,X,X,X
TJOLISZ,O,X,X,X,X,X,X,X
TJOLIZS,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X
TJOSZIL,X,O,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,O,X,X,X,X
TJOZISL,X,O,X,O,X,X,X,X
TJOZLIS,O,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X
TSILJZO,X,O,O,X,O,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X
TSILZJO,X,O,O,X,O,X,X,X
TSILZOJ,X,X,O,X,O,X,X,X
TSILOJZ,X,X,X,X,X,X,X,X
TSILOZJ,X,X,O,X,O,X,X,X
TSIJLZO,X,O,O,X,O,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X
TSIJZLO,X,O,O,X,O,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X,X
TSIZLJO,X,O,O,X,O,X,X,O
TSIZLOJ,X,X,O,X,O,X,X,O
TSIZJLO,X,O,O,X,O,X,X,O
TSIZJOL,X,O,X,X,X,X,X,O
TSIZOLJ,X,X,O,X,O,X,X,O
TSIZOJL,X,O,X,X,X,X,X,O
TSIOLJZ,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,O,X,O,X,X,X
TSIOJLZ,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X
TSIOZLJ,X,X,O,X,O,X,X,X
TSIOZJL,X,O,X,X,X,X,X,X
TSLIJZO,X,O,O,X,O,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,X
TSLIZJO,X,O,O,X,O,X,X,X
TSLIZOJ,X,X,O,X,O,X,X,X
TSLIOJZ,X,X,X,X,X,X,X,X
TSLIOZJ,X,X,O,X,O,X,X,X
TSLJIZO,X,O,O,X,O,X,X,X
TSLJIOZ,X,X,X,X,X,X,X,X
TSLJZIO,X,O,O,X,O,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X,X
TSLZIJO,X,O,O,X,O,X,O,O
TSLZIOJ,X,X,O,X,O,X,O,O
TSLZJIO,X,O,O,X,O,X,X,X
TSLZJOI,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,O,X,O,X,X,X
TSLZOJI,X,X,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X,X,X
TSLOIZJ,X,X,O,X,O,X,X,X
TSLOJIZ,X,X,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X,X,X
TSLOZIJ,X,X,O,X,O,X,X,X
TSLOZJI,X,X,X,X,X,X,X,X
TSJILZO,X,O,O,X,O,X,X,X
TSJILOZ,X,X,X,X,X,X,X,X
TSJIZLO,X,O,O,X,O,X,X,X
TSJIZOL,X,O,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X,X
TSJLIZO,X,O,O,X,O,X,X,X
TSJLIOZ,X,X,X,X,X,X,X,X
TSJLZIO,X,O,O,X,O,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X,X,X
TSJZILO,X,O,O,X,O,X,X,O
TSJZIOL,X,O,X,X,X,X,X,O
TSJZLIO,X,O,O,X,O,X,X,X
TSJZLOI,X,X,X,X,X,X,X,X
TSJZOIL,X,O,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X,X,X
TSJOIZL,X,O,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X,X,X
TSJOZIL,X,O,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X,X
TSZILJO,X,O,O,X,O,X,O,O
TSZILOJ,X,X,O,X,O,X,O,O
TSZIJLO,X,O,O,X,O,X,X,O
TSZIJOL,X,O,X,X,X,X,X,O
TSZIOLJ,X,X,O,X,O,X,X,O
TSZIOJL,X,O,X,X,X,X,X,O
TSZLIJO,X,O,O,X,O,X,O,O
TSZLIOJ,X,X,O,X,O,X,O,O
TSZLJIO,X,O,O,X,O,X,X,X
TSZLJOI,X,X,X,X,X,X,X,X
TSZLOIJ,X,X,O,X,O,X,X,X
TSZLOJI,X,X,X,X,X,X,X,X
TSZJILO,X,O,O,X,O,X,X,O
TSZJIOL,X,O,X,X,X,X,X,O
TSZJLIO,X,O,O,X,O,X,X,X
TSZJLOI,X,X,X,X,X,X,X,X
TSZJOIL,X,O,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X,X,X
TSZOILJ,X,X,O,X,O,X,X,O
TSZOIJL,X,O,X,X,X,X,X,O
TSZOLIJ,X,X,O,X,O,X,X,X
TSZOLJI,X,X,X,X,X,X,X,X
TSZOJIL,X,O,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X,X,X
TSOILZJ,X,X,O,X,O,X,X,X
TSOIJLZ,X,X,X,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X
TSOIZLJ,X,X,O,X,O,X,X,X
TSOIZJL,X,O,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X,X,X
TSOLIZJ,X,X,O,X,O,X,X,X
TSOLJIZ,X,X,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X,X,X
TSOLZIJ,X,X,O,X,O,X,X,X
TSOLZJI,X,X,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X,X,X
TSOJIZL,X,O,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X,X,X
TSOJZIL,X,O,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X,X
TSOZILJ,X,X,O,X,O,X,X,O
TSOZIJL,X,O,X,X,X,X,X,O
TSOZLIJ,X,X,O,X,O,X,X,X
TSOZLJI,X,X,X,X,X,X,X,X
TSOZJIL,X,O,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X,X,X
TZILJSO,X,O,O,X,O,X,O,X
TZILJOS,X,X,X,X,X,X,O,X
TZILSJO,X,O,O,X,O,X,O,O
TZILSOJ,X,X,O,X,O,X,O,O
TZILOJS,O,X,X,X,X,X,O,X
TZILOSJ,X,X,O,X,O,X,O,X
TZIJLSO,X,O,O,X,O,X,O,X
TZIJLOS,X,X,X,X,X,X,O,X
TZIJSLO,X,O,O,X,O,X,X,O
TZIJSOL,X,O,X,X,X,X,X,O
TZIJOLS,X,X,X,X,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X,X
TZISLJO,X,O,O,X,O,X,O,O
TZISLOJ,X,X,O,X,O,X,O,O
TZISJLO,X,O,O,X,O,X,X,O
TZISJOL,X,O,X,X,X,X,X,O
TZISOLJ,X,X,O,X,O,X,X,O
TZISOJL,X,O,X,X,X,X,X,O
TZIOLJS,O,X,X,X,X,X,O,X
TZIOLSJ,X,X,O,X,O,X,O,X
TZIOJLS,O,X,X,X,X,X,X,X
TZIOJSL,X,O,X,X,X,X,X,X
TZIOSLJ,X,X,O,X,O,X,X,O
TZIOSJL,X,O,X,X,X,X,X,O
TZLIJSO,X,O,O,X,O,X,O,X
TZLIJOS,X,X,X,X,X,X,O,X
TZLISJO,X,O,O,X,O,X,O,O
TZLISOJ,X,X,O,X,O,X,O,O
TZLIOJS,O,X,X,X,X,X,O,X
TZLIOSJ,X,X,O,X,O,X,O,X
TZLJISO,X,O,O,X,O,O,O,X
TZLJIOS,X,X,X,O,X,O,O,X
TZLJSIO,X,X,X,X,O,X,X,X
TZLJSOI,X,X,X,X,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X
TZLSIJO,X,X,O,X,O,X,O,O
TZLSIOJ,X,X,O,X,O,X,O,O
TZLSJIO,X,X,O,X,O,X,X,X
TZLSJOI,X,X,X,X,X,X,X,X
TZLSOIJ,X,X,O,X,O,X,X,X
TZLSOJI,X,X,X,X,X,X,X,X
TZLOIJS,O,X,X,X,X,X,O,X
TZLOISJ,X,X,O,X,O,X,O,X
TZLOJIS,O,X,X,O,X,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,O,X,X,X
TZLOSJI,X,X,X,X,X,X,X,X
TZJILSO,X,O,O,X,O,O,O,X
TZJILOS,X,X,X,O,X,O,O,X
TZJISLO,X,O,O,X,O,X,X,O
TZJISOL,X,O,X,X,X,X,X,O
TZJIOLS,X,X,X,O,X,O,X,X
TZJIOSL,X,O,X,O,X,X,X,X
TZJLISO,X,O,O,X,O,O,O,X
