sequence,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBGqBzpB,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBupBTqB,v115@LhB8HeD8BeA8CeE8KeNEJvhFRgBUiBGjB/tBCqBTqB
TSIJZOL,O,X,O
TSIJOLZ,O,X,X
TSIJOZL,O,X,O
TSIZLJO,O,O,O
TSIZLOJ,O,O,O
TSIZJLO,O,O,O
TSIZJOL,O,X,O
TSIZOLJ,O,O,X
TSIZOJL,X,O,O
TSIOLJZ,X,O,X
TSIOLZJ,O,O,X
TSIOJLZ,X,O,X
TSIOJZL,X,O,O
TSIOZLJ,O,O,X
TSIOZJL,X,O,O
TSLIJZO,O,O,O
TSLIJOZ,O,X,O
TSLIZJO,O,O,O
TSLIZOJ,O,O,O
TSLIOJZ,X,O,O
TSLIOZJ,O,O,O
TSLJIZO,O,O,O
TSLJIOZ,O,X,O
TSLJZIO,O,O,O
TSLJZOI,O,X,O
TSLJOIZ,O,X,O
TSLJOZI,O,X,O
TSLZIJO,O,O,O
TSLZIOJ,O,O,O
TSLZJIO,O,O,O
TSLZJOI,O,X,O
TSLZOIJ,O,O,O
TSLZOJI,X,O,O
TSLOIJZ,X,O,O
TSLOIZJ,O,O,O
TSLOJIZ,X,O,O
TSLOJZI,X,O,O
TSLOZIJ,O,O,O
TSLOZJI,X,O,O
TSJILZO,O,O,O
TSJILOZ,O,X,O
TSJIZLO,O,O,O
TSJIZOL,O,X,O
TSJIOLZ,O,X,X
TSJIOZL,O,X,O
TSJLIZO,O,O,O
TSJLIOZ,O,X,O
TSJLZIO,O,O,O
TSJLZOI,O,X,O
TSJLOIZ,O,X,O
TSJLOZI,O,X,O
TSJZILO,O,O,O
TSJZIOL,O,X,O
TSJZLIO,O,O,O
TSJZLOI,O,X,O
TSJZOIL,O,X,O
TSJZOLI,O,X,O
TSJOILZ,O,X,X
TSJOIZL,O,X,O
TSJOLIZ,O,X,O
TSJOLZI,O,X,O
TSJOZIL,O,X,O
TSJOZLI,O,X,O
TSZILJO,O,O,O
TSZILOJ,O,O,O
TSZIJLO,O,O,O
TSZIJOL,O,X,O
TSZIOLJ,O,O,X
TSZIOJL,X,O,O
TSZLIJO,O,O,O
TSZLIOJ,O,O,O
TSZLJIO,O,O,O
TSZLJOI,O,X,O
TSZLOIJ,O,O,O
TSZLOJI,X,O,O
TSZJILO,O,O,O
TSZJIOL,O,X,O
TSZJLIO,O,O,O
TSZJLOI,O,X,O
TSZJOIL,O,X,O
TSZJOLI,O,X,O
TSZOILJ,O,O,X
TSZOIJL,X,O,O
TSZOLIJ,O,O,O
TSZOLJI,X,O,O
TSZOJIL,X,O,O
TSZOJLI,X,O,O
TSOILJZ,X,O,X
TSOILZJ,O,O,X
TSOIJLZ,X,O,X
TSOIJZL,X,O,O
TSOIZLJ,O,O,X
TSOIZJL,X,O,O
TSOLIJZ,X,O,O
TSOLIZJ,O,O,O
TSOLJIZ,X,O,O
TSOLJZI,X,O,O
TSOLZIJ,O,O,O
TSOLZJI,X,O,O
TSOJILZ,X,O,X
TSOJIZL,X,O,O
TSOJLIZ,X,O,O
TSOJLZI,X,O,O
TSOJZIL,X,O,O
TSOJZLI,X,O,O
TSOZILJ,O,O,X
TSOZIJL,X,O,O
TSOZLIJ,O,O,O
TSOZLJI,X,O,O
TSOZJIL,X,O,O
TSOZJLI,X,O,O
TZILJSO,O,O,O
TZILJOS,O,O,X
TZILSJO,O,O,O
TZILSOJ,O,O,O
TZILOJS,O,O,X
TZILOSJ,O,O,O
TZIJLSO,O,O,X
TZIJLOS,O,O,X
TZIJSLO,O,O,O
TZIJSOL,O,X,O
TZIJOLS,O,O,X
TZIJOSL,O,O,X
TZISLJO,O,O,O
TZISLOJ,O,O,O
TZISJLO,O,O,O
TZISJOL,O,X,O
TZISOLJ,O,O,X
TZISOJL,X,O,O
TZIOLJS,O,O,X
TZIOLSJ,O,O,X
TZIOJLS,O,O,X
TZIOJSL,O,O,X
TZIOSLJ,O,O,X
TZIOSJL,X,O,O
TZLIJSO,O,O,O
TZLIJOS,O,O,X
TZLISJO,O,O,O
