sequence,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF/mBFiBTjBOpB0l?BywB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgBXiBTjBllB0m?B2wB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgB2mBTjB0lB3r?BFsB,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF0hBTjBOpBllBir?BXsB
TJISLOZ,X,O,X,O
TJISZLO,X,O,X,X
TJISZOL,X,O,X,O
TJISOLZ,X,O,X,O
TJISOZL,X,O,X,O
TJIZLSO,O,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,O,O,X,X
TJIZSOL,O,O,X,O
TJIZOLS,O,O,X,O
TJIZOSL,O,O,X,O
TJIOLSZ,O,O,X,O
TJIOLZS,O,O,X,O
TJIOSLZ,X,O,X,O
TJIOSZL,X,O,X,O
TJIOZLS,O,O,X,O
TJIOZSL,O,O,X,O
TJLISZO,O,O,X,O
TJLISOZ,O,O,X,O
TJLIZSO,O,O,X,O
TJLIZOS,O,O,X,O
TJLIOSZ,O,O,X,O
TJLIOZS,O,O,X,O
TJLSIZO,O,O,X,O
TJLSIOZ,O,O,X,O
TJLSZIO,O,O,X,O
TJLSZOI,O,O,X,O
TJLSOIZ,O,O,X,O
TJLSOZI,O,O,X,O
TJLZISO,O,O,X,O
TJLZIOS,O,O,X,O
TJLZSIO,O,O,X,O
TJLZSOI,O,O,X,O
TJLZOIS,O,O,X,O
TJLZOSI,O,O,X,O
TJLOISZ,O,O,X,O
TJLOIZS,O,O,X,O
TJLOSIZ,O,O,X,O
TJLOSZI,O,O,X,O
TJLOZIS,O,O,X,O
TJLOZSI,O,O,X,O
TJSILZO,X,O,X,O
TJSILOZ,X,O,X,O
TJSIZLO,X,O,X,X
TJSIZOL,X,O,X,O
TJSIOLZ,X,O,X,O
TJSIOZL,X,O,X,O
TJSLIZO,O,O,X,O
TJSLIOZ,O,O,X,O
TJSLZIO,O,O,X,O
TJSLZOI,O,O,X,O
TJSLOIZ,O,O,X,O
TJSLOZI,O,O,X,O
TJSZILO,X,O,X,X
TJSZIOL,X,O,X,O
TJSZLIO,X,O,X,X
TJSZLOI,X,O,X,X
TJSZOIL,X,O,X,O
TJSZOLI,X,O,X,O
TJSOILZ,X,O,X,O
TJSOIZL,X,O,X,O
TJSOLIZ,O,O,X,O
TJSOLZI,O,O,X,O
TJSOZIL,X,O,X,O
TJSOZLI,X,O,X,O
TJZILSO,O,O,X,O
TJZILOS,O,O,X,O
TJZISLO,O,O,X,X
TJZISOL,O,O,X,O
TJZIOLS,O,O,X,O
TJZIOSL,O,O,X,O
TJZLISO,O,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,O,O,X,O
TJZLSOI,O,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,O,O,X,O
TJZSILO,O,O,X,X
TJZSIOL,O,O,X,O
TJZSLIO,O,O,X,X
TJZSLOI,O,O,X,X
TJZSOIL,O,O,X,O
TJZSOLI,O,O,X,O
TJZOILS,O,O,X,O
TJZOISL,O,O,X,O
TJZOLIS,O,O,X,O
TJZOLSI,O,O,X,O
TJZOSIL,O,O,X,O
TJZOSLI,O,O,X,O
TJOILSZ,O,O,X,O
TJOILZS,O,O,X,O
TJOISLZ,X,O,X,O
TJOISZL,X,O,X,O
TJOIZLS,O,O,X,O
TJOIZSL,O,O,X,O
TJOLISZ,O,O,X,O
TJOLIZS,O,O,X,O
TJOLSIZ,O,O,X,O
