sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
TOJISLZ,O,X,X,X,X
TOJISZL,O,X,X,X,X
TOJIZLS,X,O,O,O,O
TOJIZSL,X,X,O,X,O
TOJLISZ,X,O,X,O,X
TOJLIZS,X,O,O,O,O
TOJLSIZ,X,O,X,O,X
TOJLSZI,X,O,X,O,X
TOJLZIS,X,O,O,O,O
TOJLZSI,X,O,O,O,O
TOJSILZ,O,X,X,X,X
TOJSIZL,O,X,X,X,X
TOJSLIZ,O,X,X,O,X
TOJSLZI,O,X,X,O,X
TOJSZIL,O,X,X,X,X
TOJSZLI,O,X,X,O,X
TOJZILS,X,O,O,O,O
TOJZISL,O,X,O,X,O
TOJZLIS,X,O,O,O,O
TOJZLSI,X,O,O,O,O
TOJZSIL,O,X,O,X,O
TOJZSLI,O,X,O,O,O
TOSILJZ,O,X,X,X,X
TOSILZJ,O,X,X,X,O
TOSIJLZ,O,X,X,X,X
TOSIJZL,O,X,X,X,X
TOSIZLJ,O,X,X,X,O
TOSIZJL,O,X,X,X,O
TOSLIJZ,O,X,X,X,X
TOSLIZJ,O,X,X,O,O
TOSLJIZ,O,X,X,O,X
TOSLJZI,O,X,X,O,X
TOSLZIJ,O,X,X,O,O
TOSLZJI,O,X,X,O,O
TOSJILZ,O,X,X,X,X
TOSJIZL,O,X,X,X,X
TOSJLIZ,O,X,X,O,X
TOSJLZI,O,X,X,O,X
TOSJZIL,O,X,X,X,X
TOSJZLI,O,X,X,O,X
TOSZILJ,O,X,X,X,O
TOSZIJL,O,X,X,X,O
TOSZLIJ,O,X,X,O,O
TOSZLJI,O,X,X,O,O
TOSZJIL,O,X,X,X,O
TOSZJLI,O,X,X,X,O
TOZILJS,O,O,O,O,O
TOZILSJ,O,O,X,O,O
TOZIJLS,X,O,O,X,O
TOZIJSL,O,X,O,X,O
TOZISLJ,O,X,X,X,O
TOZISJL,O,X,X,X,O
TOZLIJS,O,O,O,O,O
TOZLISJ,O,O,X,O,O
TOZLJIS,O,O,O,O,O
TOZLJSI,O,X,O,O,O
