sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
LTIZOSJ,O,O,X,O,O
LTIOJSZ,X,O,X,O,X
LTIOJZS,X,O,O,O,O
LTIOSJZ,O,X,X,X,X
LTIOSZJ,X,O,X,O,O
LTIOZJS,X,O,O,O,O
LTIOZSJ,X,O,X,O,O
LTJISZO,O,O,X,O,X
LTJISOZ,O,O,X,O,X
LTJIZSO,X,O,O,O,O
LTJIZOS,X,O,O,O,O
LTJIOSZ,X,O,X,O,X
LTJIOZS,X,O,O,O,O
LTJSIZO,O,O,X,O,X
LTJSIOZ,O,O,X,O,X
LTJSZIO,O,O,X,O,X
LTJSZOI,O,O,X,O,X
LTJSOIZ,O,O,X,O,X
LTJSOZI,O,O,X,O,X
LTJZISO,O,O,O,O,O
LTJZIOS,X,O,O,O,O
LTJZSIO,O,O,O,O,O
LTJZSOI,O,O,O,O,O
LTJZOIS,X,O,O,O,O
LTJZOSI,X,O,O,O,O
LTJOISZ,X,O,X,O,X
LTJOIZS,X,O,O,O,O
LTJOSIZ,X,O,X,O,X
LTJOSZI,X,O,X,O,X
LTJOZIS,X,O,O,O,O
LTJOZSI,X,O,O,O,O
LTSIJZO,O,X,X,X,X
LTSIJOZ,O,X,X,X,X
LTSIZJO,O,X,X,X,O
LTSIZOJ,O,O,X,O,O
LTSIOJZ,O,X,X,X,X
LTSIOZJ,X,O,X,O,O
LTSJIZO,O,X,X,O,X
LTSJIOZ,O,X,X,O,X
LTSJZIO,O,X,X,O,X
LTSJZOI,O,X,X,O,X
LTSJOIZ,O,X,X,O,X
LTSJOZI,O,X,X,O,X
LTSZIJO,O,X,X,X,O
LTSZIOJ,O,O,X,O,O
LTSZJIO,O,X,X,X,O
LTSZJOI,O,X,X,X,O
LTSZOIJ,O,O,X,O,O
LTSZOJI,O,X,X,O,O
LTSOIJZ,O,X,X,X,X
LTSOIZJ,X,O,X,O,O
LTSOJIZ,O,X,X,O,X
LTSOJZI,O,X,X,O,X
LTSOZIJ,O,O,X,O,O
LTSOZJI,O,X,X,O,O
LTZIJSO,O,X,O,X,O
LTZIJOS,X,O,O,O,O
LTZISJO,O,X,X,X,O
LTZISOJ,O,O,X,O,O
LTZIOJS,X,O,O,O,O
LTZIOSJ,O,O,X,O,O
LTZJISO,O,X,O,O,O
LTZJIOS,X,O,O,O,O
LTZJSIO,O,X,O,O,O
LTZJSOI,O,X,O,O,O
LTZJOIS,X,O,O,O,O
LTZJOSI,X,X,O,O,O
LTZSIJO,O,X,X,X,O
LTZSIOJ,O,O,X,O,O
LTZSJIO,O,X,X,X,O
LTZSJOI,O,X,X,X,O
LTZSOIJ,O,O,X,O,O
LTZSOJI,O,X,X,O,O
LTZOIJS,X,O,O,O,O
LTZOISJ,O,O,X,O,O
LTZOJIS,X,O,O,O,O
LTZOJSI,X,X,O,O,O
LTZOSIJ,O,O,X,O,O
LTZOSJI,O,X,X,O,O
LTOIJSZ,X,O,X,O,X
LTOIJZS,X,O,O,O,O
LTOISJZ,O,X,X,X,X
LTOISZJ,X,O,X,O,O
LTOIZJS,X,O,O,O,O
LTOIZSJ,X,O,X,O,O
LTOJISZ,X,O,X,O,X
LTOJIZS,X,O,O,O,O
LTOJSIZ,X,O,X,O,X
LTOJSZI,X,O,X,O,X
LTOJZIS,X,O,O,O,O
LTOJZSI,X,O,O,O,O
LTOSIJZ,O,X,X,X,X
LTOSIZJ,X,O,X,O,O
LTOSJIZ,O,X,X,O,X
LTOSJZI,O,X,X,O,X
LTOSZIJ,O,O,X,O,O
LTOSZJI,O,X,X,O,O
LTOZIJS,X,O,O,O,O
LTOZISJ,O,O,X,O,O
LTOZJIS,X,O,O,O,O
LTOZJSI,X,X,O,O,O
LTOZSIJ,O,O,X,O,O
LTOZSJI,O,X,X,O,O
LITJSZO,O,O,X,O,X
LITJSOZ,O,O,X,O,X
LITJZSO,X,O,O,O,O
LITJZOS,X,O,O,O,O
LITJOSZ,X,O,X,O,X
LITJOZS,X,O,O,O,O
LITSJZO,O,X,X,X,X
LITSJOZ,O,X,X,X,X
LITSZJO,O,X,X,X,O
LITSZOJ,O,O,X,O,O
LITSOJZ,O,X,X,X,X
LITSOZJ,X,O,X,O,O
LITZJSO,O,X,O,X,O
LITZJOS,X,O,O,O,O
LITZSJO,O,X,X,X,O
LITZSOJ,O,O,X,O,O
LITZOJS,X,O,O,O,O
LITZOSJ,O,O,X,O,O
LITOJSZ,X,O,X,O,X
LITOJZS,X,O,O,O,O
LITOSJZ,O,X,X,X,X
LITOSZJ,X,O,X,O,O
LITOZJS,X,O,O,O,O
LITOZSJ,X,O,X,O,O
LIJTSZO,O,O,X,X,X
LIJTSOZ,O,O,X,X,X
LIJTZSO,X,O,O,X,X
LIJTZOS,X,O,O,X,X
LIJTOSZ,X,O,X,X,X
LIJTOZS,X,O,O,X,X
LIJSTZO,O,O,X,X,X
LIJSTOZ,O,O,X,X,X
LIJSZTO,O,O,O,X,X
LIJSZOT,X,O,O,X,X
LIJSOTZ,O,O,X,X,X
LIJSOZT,X,O,O,X,X
LIJZTSO,X,O,O,X,X
LIJZTOS,X,O,O,X,X
LIJZSTO,X,O,O,X,X
LIJZSOT,X,O,O,X,X
LIJZOTS,X,O,O,X,X
LIJZOST,X,O,O,X,X
LIJOTSZ,X,O,X,X,X
LIJOTZS,X,O,O,X,X
LIJOSTZ,X,O,X,X,X
LIJOSZT,X,O,O,X,X
LIJOZTS,X,O,O,X,X
LIJOZST,X,O,O,X,X
LISTJZO,O,X,X,X,X
LISTJOZ,O,X,X,X,X
LISTZJO,O,X,X,X,X
LISTZOJ,O,O,X,X,X
LISTOJZ,O,X,X,X,X
LISTOZJ,X,O,X,X,X
LISJTZO,O,O,X,X,X
LISJTOZ,O,O,X,X,X
LISJZTO,O,O,O,X,X
LISJZOT,O,O,O,X,X
LISJOTZ,O,O,X,X,X
LISJOZT,X,O,O,X,X
LISZTJO,O,X,X,X,X
LISZTOJ,O,O,X,X,X
LISZJTO,O,X,O,X,X
LISZJOT,O,X,O,X,X
LISZOTJ,O,O,X,X,X
LISZOJT,O,X,O,X,X
LISOTJZ,O,X,X,X,X
LISOTZJ,O,O,X,X,X
LISOJTZ,O,O,X,X,X
LISOJZT,O,O,O,X,X
LISOZTJ,O,O,X,X,X
LISOZJT,O,X,O,X,X
LIZTJSO,O,X,O,X,X
LIZTJOS,X,O,O,X,X
LIZTSJO,O,X,X,X,X
LIZTSOJ,O,O,X,X,X
LIZTOJS,X,O,O,X,X
LIZTOSJ,O,O,X,X,X
LIZJTSO,O,O,O,X,X
LIZJTOS,X,O,O,X,X
LIZJSTO,O,O,O,X,X
LIZJSOT,O,O,O,X,X
LIZJOTS,X,O,O,X,X
LIZJOST,X,O,O,X,X
LIZSTJO,O,X,X,X,X
LIZSTOJ,O,O,X,X,X
LIZSJTO,O,X,O,X,X
LIZSJOT,O,X,O,X,X
LIZSOTJ,O,O,X,X,X
LIZSOJT,O,X,O,X,X
LIZOTJS,X,O,O,X,X
LIZOTSJ,O,O,X,X,X
LIZOJTS,X,O,O,X,X
LIZOJST,X,O,O,X,X
LIZOSTJ,O,O,X,X,X
LIZOSJT,O,X,O,X,X
LIOTJSZ,O,O,X,O,X
LIOTJZS,X,O,O,O,O
LIOTSJZ,O,X,X,X,X
LIOTSZJ,O,O,X,O,O
LIOTZJS,X,O,O,O,O
LIOTZSJ,O,O,X,O,O
LIOJTSZ,O,O,X,X,X
LIOJTZS,X,O,O,X,X
LIOJSTZ,O,O,X,X,X
LIOJSZT,O,O,O,X,X
LIOJZTS,X,O,O,X,X
LIOJZST,X,O,O,X,X
LIOSTJZ,O,X,X,X,X
LIOSTZJ,O,O,X,X,X
LIOSJTZ,O,O,X,X,X
LIOSJZT,O,O,O,X,X
LIOSZTJ,O,O,X,X,X
LIOSZJT,O,X,O,X,X
LIOZTJS,X,O,O,X,X
LIOZTSJ,O,O,X,X,X
LIOZJTS,X,O,O,X,X
LIOZJST,X,O,O,X,X
LIOZSTJ,O,O,X,X,X
LIOZSJT,O,X,O,X,X
LJTISZO,O,O,X,O,X
LJTISOZ,O,O,X,O,X
LJTIZSO,X,O,O,O,X
LJTIZOS,X,O,O,O,X
LJTIOSZ,X,O,X,O,X
LJTIOZS,X,O,O,O,X
LJTSIZO,O,O,X,O,X
LJTSIOZ,O,O,X,O,X
LJTSZIO,O,O,X,O,X
LJTSZOI,O,O,X,O,X
LJTSOIZ,O,O,X,O,X
LJTSOZI,O,O,X,O,X
LJTZISO,O,O,O,O,X
LJTZIOS,X,O,O,O,X
LJTZSIO,O,O,O,O,X
LJTZSOI,O,O,O,O,X
LJTZOIS,X,O,O,O,X
LJTZOSI,X,O,O,O,X
LJTOISZ,X,O,X,O,X
LJTOIZS,X,O,O,O,X
LJTOSIZ,X,O,X,O,X
LJTOSZI,X,O,X,O,X
LJTOZIS,X,O,O,O,X
LJTOZSI,X,O,O,O,X
LJITSZO,O,O,X,X,X
LJITSOZ,O,O,X,X,X
LJITZSO,X,O,O,X,X
LJITZOS,X,O,O,X,X
LJITOSZ,X,O,X,X,X
LJITOZS,X,O,O,X,X
LJISTZO,O,O,X,X,X
LJISTOZ,O,O,X,X,X
LJISZTO,O,O,O,X,X
LJISZOT,X,O,O,X,X
LJISOTZ,O,O,X,X,X
LJISOZT,X,O,O,X,X
LJIZTSO,X,O,O,X,X
LJIZTOS,X,O,O,X,X
LJIZSTO,X,O,O,X,X
LJIZSOT,X,O,O,X,X
LJIZOTS,X,O,O,X,X
LJIZOST,X,O,O,X,X
LJIOTSZ,X,O,X,X,X
LJIOTZS,X,O,O,X,X
LJIOSTZ,X,O,X,X,X
LJIOSZT,X,O,O,X,X
LJIOZTS,X,O,O,X,X
LJIOZST,X,O,O,X,X
LJSTIZO,O,O,X,X,X
LJSTIOZ,O,O,X,X,X
LJSTZIO,O,O,X,X,X
LJSTZOI,O,O,X,X,X
LJSTOIZ,O,O,X,X,X
LJSTOZI,O,O,X,X,X
LJSITZO,O,O,X,X,X
LJSITOZ,O,O,X,X,X
LJSIZTO,O,O,O,X,X
LJSIZOT,O,O,O,X,X
LJSIOTZ,O,O,X,X,X
LJSIOZT,X,O,O,X,X
LJSZTIO,O,O,O,X,X
LJSZTOI,O,O,O,X,X
LJSZITO,O,O,O,X,X
LJSZIOT,O,O,O,X,X
LJSZOTI,O,O,O,X,X
LJSZOIT,O,O,O,X,X
LJSOTIZ,O,O,X,X,X
LJSOTZI,O,O,X,X,X
LJSOITZ,O,O,X,X,X
LJSOIZT,X,O,O,X,X
LJSOZTI,O,O,O,X,X
LJSOZIT,O,O,O,X,X
LJZTISO,O,O,O,O,X
LJZTIOS,X,O,O,O,X
LJZTSIO,O,O,O,O,X
LJZTSOI,O,O,O,O,X
LJZTOIS,X,O,O,O,X
LJZTOSI,X,O,O,O,X
LJZITSO,O,O,O,X,X
LJZITOS,X,O,O,X,X
LJZISTO,O,O,O,X,X
LJZISOT,O,O,O,X,X
LJZIOTS,X,O,O,X,X
LJZIOST,X,O,O,X,X
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,O,X,X
LJZSIOT,O,O,O,X,X
LJZSOTI,O,O,O,X,X
LJZSOIT,O,O,O,X,X
LJZOTIS,X,O,O,O,X
LJZOTSI,X,O,O,O,X
LJZOITS,X,O,O,X,X
LJZOIST,X,O,O,X,X
LJZOSTI,X,O,O,X,X
LJZOSIT,X,O,O,X,X
LJOTISZ,X,O,X,O,X
LJOTIZS,X,O,O,O,X
LJOTSIZ,X,O,X,O,X
LJOTSZI,X,O,X,O,X
LJOTZIS,X,O,O,O,X
LJOTZSI,X,O,O,O,X
LJOITSZ,X,O,X,X,X
LJOITZS,X,O,O,X,X
LJOISTZ,X,O,X,X,X
LJOISZT,X,O,O,X,X
LJOIZTS,X,O,O,X,X
LJOIZST,X,O,O,X,X
LJOSTIZ,X,O,X,X,X
LJOSTZI,X,O,X,X,X
LJOSITZ,X,O,X,X,X
LJOSIZT,X,O,O,X,X
LJOSZTI,X,O,O,X,X
LJOSZIT,X,O,O,X,X
LJOZTIS,X,O,O,O,X
LJOZTSI,X,O,O,O,X
LJOZITS,X,O,O,X,X
LJOZIST,X,O,O,X,X
LJOZSTI,X,O,O,X,X
LJOZSIT,X,O,O,X,X
LSTIJZO,O,X,X,X,X
LSTIJOZ,O,X,X,X,X
LSTIZJO,O,X,X,X,X
LSTIZOJ,O,O,X,O,X
LSTIOJZ,O,X,X,X,X
LSTIOZJ,X,O,X,O,X
LSTJIZO,O,X,X,O,X
LSTJIOZ,O,X,X,O,X
LSTJZIO,O,X,X,O,X
LSTJZOI,O,X,X,O,X
LSTJOIZ,O,X,X,O,X
LSTJOZI,O,X,X,O,X
LSTZIJO,O,X,X,X,X
LSTZIOJ,O,O,X,O,X
LSTZJIO,O,X,X,X,X
LSTZJOI,O,X,X,X,X
LSTZOIJ,O,O,X,O,X
LSTZOJI,O,X,X,O,X
LSTOIJZ,O,X,X,X,X
LSTOIZJ,X,O,X,O,X
LSTOJIZ,O,X,X,O,X
LSTOJZI,O,X,X,O,X
LSTOZIJ,O,O,X,O,X
LSTOZJI,O,X,X,O,X
LSITJZO,O,X,X,X,X
LSITJOZ,O,X,X,X,X
LSITZJO,O,X,X,X,X
LSITZOJ,O,O,X,X,X
LSITOJZ,O,X,X,X,X
LSITOZJ,X,O,X,X,X
LSIJTZO,O,O,X,X,X
LSIJTOZ,O,O,X,X,X
LSIJZTO,O,O,O,X,X
LSIJZOT,O,O,O,X,X
LSIJOTZ,O,O,X,X,X
LSIJOZT,X,O,O,X,X
LSIZTJO,O,X,X,X,X
LSIZTOJ,O,O,X,X,X
LSIZJTO,O,X,O,X,X
LSIZJOT,O,X,O,X,X
LSIZOTJ,O,O,X,X,X
LSIZOJT,O,X,O,X,X
LSIOTJZ,O,X,X,X,X
LSIOTZJ,O,O,X,X,X
LSIOJTZ,O,O,X,X,X
LSIOJZT,O,O,O,X,X
LSIOZTJ,O,O,X,X,X
LSIOZJT,O,X,O,X,X
LSJTIZO,O,O,X,X,X
LSJTIOZ,O,O,X,X,X
LSJTZIO,O,O,X,X,X
LSJTZOI,O,O,X,X,X
LSJTOIZ,O,O,X,X,X
LSJTOZI,O,O,X,X,X
LSJITZO,O,O,X,X,X
LSJITOZ,O,O,X,X,X
LSJIZTO,O,O,O,X,X
LSJIZOT,O,O,O,X,X
LSJIOTZ,O,O,X,X,X
LSJIOZT,X,O,O,X,X
LSJZTIO,O,O,O,X,X
LSJZTOI,O,O,O,X,X
LSJZITO,O,O,O,X,X
LSJZIOT,O,O,O,X,X
LSJZOTI,O,O,O,X,X
LSJZOIT,O,O,O,X,X
LSJOTIZ,O,O,X,X,X
LSJOTZI,O,O,X,X,X
LSJOITZ,O,O,X,X,X
LSJOIZT,X,O,O,X,X
LSJOZTI,O,O,O,X,X
LSJOZIT,O,O,O,X,X
LSZTIJO,O,X,X,X,X
LSZTIOJ,O,O,X,X,X
LSZTJIO,O,X,X,X,X
LSZTJOI,O,X,X,X,X
LSZTOIJ,O,O,X,X,X
LSZTOJI,O,X,X,X,X
LSZITJO,O,X,X,X,X
LSZITOJ,O,O,X,X,X
LSZIJTO,O,X,O,X,X
LSZIJOT,O,X,O,X,X
LSZIOTJ,O,O,X,X,X
LSZIOJT,O,X,O,X,X
LSZJTIO,O,X,O,X,X
LSZJTOI,O,X,O,X,X
LSZJITO,O,X,O,X,X
LSZJIOT,O,X,O,X,X
LSZJOTI,O,X,O,X,X
LSZJOIT,O,X,O,X,X
LSZOTIJ,O,O,X,X,X
LSZOTJI,O,X,X,X,X
LSZOITJ,O,O,X,X,X
LSZOIJT,O,X,O,X,X
LSZOJTI,O,X,O,X,X
LSZOJIT,O,X,O,X,X
LSOTIJZ,O,X,X,X,X
LSOTIZJ,O,O,X,O,X
LSOTJIZ,O,X,X,O,X
LSOTJZI,O,X,X,O,X
LSOTZIJ,O,O,X,O,X
LSOTZJI,O,X,X,O,X
LSOITJZ,O,X,X,X,X
LSOITZJ,O,O,X,X,X
LSOIJTZ,O,O,X,X,X
LSOIJZT,O,O,O,X,X
LSOIZTJ,O,O,X,X,X
LSOIZJT,O,X,O,X,X
LSOJTIZ,O,O,X,X,X
LSOJTZI,O,O,X,X,X
LSOJITZ,O,O,X,X,X
LSOJIZT,O,O,O,X,X
LSOJZTI,O,O,O,X,X
LSOJZIT,O,O,O,X,X
LSOZTIJ,O,O,X,X,X
LSOZTJI,O,X,X,X,X
LSOZITJ,O,O,X,X,X
LSOZIJT,O,X,O,X,X
LSOZJTI,O,X,O,X,X
LSOZJIT,O,X,O,X,X
LZTIJSO,O,X,O,X,X
LZTIJOS,X,O,O,O,X
LZTISJO,O,X,X,X,X
LZTISOJ,O,O,X,O,X
LZTIOJS,X,O,O,O,X
LZTIOSJ,O,O,X,O,X
LZTJISO,O,X,O,O,X
LZTJIOS,X,O,O,O,X
LZTJSIO,O,X,O,O,X
LZTJSOI,O,X,O,O,X
LZTJOIS,X,O,O,O,X
LZTJOSI,X,X,O,O,X
LZTSIJO,O,X,X,X,X
LZTSIOJ,O,O,X,O,X
LZTSJIO,O,X,X,X,X
LZTSJOI,O,X,X,X,X
LZTSOIJ,O,O,X,O,X
LZTSOJI,O,X,X,O,X
LZTOIJS,X,O,O,O,X
LZTOISJ,O,O,X,O,X
LZTOJIS,X,O,O,O,X
LZTOJSI,X,X,O,O,X
LZTOSIJ,O,O,X,O,X
LZTOSJI,O,X,X,O,X
LZITJSO,O,X,O,X,X
LZITJOS,X,O,O,X,X
LZITSJO,O,X,X,X,X
LZITSOJ,O,O,X,X,X
LZITOJS,X,O,O,X,X
LZITOSJ,O,O,X,X,X
LZIJTSO,O,O,O,X,X
LZIJTOS,X,O,O,X,X
LZIJSTO,O,O,O,X,X
LZIJSOT,O,O,O,X,X
LZIJOTS,X,O,O,X,X
LZIJOST,X,O,O,X,X
LZISTJO,O,X,X,X,X
LZISTOJ,O,O,X,X,X
LZISJTO,O,X,O,X,X
LZISJOT,O,X,O,X,X
LZISOTJ,O,O,X,X,X
LZISOJT,O,X,O,X,X
LZIOTJS,O,O,O,X,X
LZIOTSJ,O,O,X,X,X
LZIOJTS,O,O,O,X,X
LZIOJST,O,O,O,X,X
LZIOSTJ,O,O,X,X,X
LZIOSJT,O,X,O,X,X
LZJTISO,O,O,O,O,X
LZJTIOS,X,O,O,O,X
LZJTSIO,O,O,O,O,X
LZJTSOI,O,O,O,O,X
LZJTOIS,X,O,O,O,X
LZJTOSI,X,O,O,O,X
LZJITSO,O,O,O,X,X
LZJITOS,X,O,O,X,X
LZJISTO,O,O,O,X,X
LZJISOT,O,O,O,X,X
LZJIOTS,X,O,O,X,X
LZJIOST,X,O,O,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,O,X,X
LZJSIOT,O,O,O,X,X
LZJSOTI,O,O,O,X,X
LZJSOIT,O,O,O,X,X
LZJOTIS,X,O,O,O,X
LZJOTSI,X,O,O,O,X
LZJOITS,X,O,O,X,X
LZJOIST,X,O,O,X,X
LZJOSTI,X,O,O,X,X
LZJOSIT,X,O,O,X,X
LZSTIJO,O,X,X,X,X
LZSTIOJ,O,O,X,X,X
LZSTJIO,O,X,X,X,X
LZSTJOI,O,X,X,X,X
LZSTOIJ,O,O,X,X,X
LZSTOJI,O,X,X,X,X
LZSITJO,O,X,X,X,X
LZSITOJ,O,O,X,X,X
LZSIJTO,O,X,O,X,X
LZSIJOT,O,X,O,X,X
LZSIOTJ,O,O,X,X,X
LZSIOJT,O,X,O,X,X
LZSJTIO,O,X,O,X,X
LZSJTOI,O,X,O,X,X
LZSJITO,O,X,O,X,X
LZSJIOT,O,X,O,X,X
LZSJOTI,O,X,O,X,X
LZSJOIT,O,X,O,X,X
LZSOTIJ,O,O,X,X,X
LZSOTJI,O,X,X,X,X
LZSOITJ,O,O,X,X,X
LZSOIJT,O,X,O,X,X
LZSOJTI,O,X,O,X,X
LZSOJIT,O,X,O,X,X
LZOTIJS,O,O,O,O,X
LZOTISJ,O,O,X,O,X
LZOTJIS,O,O,O,O,X
LZOTJSI,O,X,O,O,X
LZOTSIJ,O,O,X,O,X
LZOTSJI,O,X,X,O,X
LZOITJS,O,O,O,X,X
LZOITSJ,O,O,X,X,X
LZOIJTS,O,O,O,X,X
LZOIJST,O,O,O,X,X
LZOISTJ,O,O,X,X,X
LZOISJT,O,X,O,X,X
LZOJTIS,O,O,O,O,X
LZOJTSI,O,O,O,O,X
LZOJITS,O,O,O,X,X
LZOJIST,O,O,O,X,X
LZOJSTI,O,O,O,X,X
LZOJSIT,O,O,O,X,X
LZOSTIJ,O,O,X,X,X
LZOSTJI,O,X,X,X,X
LZOSITJ,O,O,X,X,X
LZOSIJT,O,X,O,X,X
LZOSJTI,O,X,O,X,X
LZOSJIT,O,X,O,X,X
LOTIJSZ,O,O,X,O,X
LOTIJZS,X,O,O,O,O
LOTISJZ,O,X,X,X,X
LOTISZJ,O,O,X,O,O
LOTIZJS,O,O,O,O,O
LOTIZSJ,O,O,X,O,O
LOTJISZ,O,O,X,O,X
LOTJIZS,X,O,O,O,O
LOTJSIZ,O,O,X,O,X
LOTJSZI,O,O,X,O,X
LOTJZIS,O,O,O,O,O
LOTJZSI,O,O,O,O,O
LOTSIJZ,O,X,X,X,X
LOTSIZJ,O,O,X,O,O
LOTSJIZ,O,X,X,O,X
LOTSJZI,O,X,X,O,X
LOTSZIJ,O,O,X,O,O
LOTSZJI,O,X,X,O,O
LOTZIJS,O,O,O,O,O
LOTZISJ,O,O,X,O,O
LOTZJIS,O,O,O,O,O
LOTZJSI,O,X,O,O,O
LOTZSIJ,O,O,X,O,O
LOTZSJI,O,X,X,O,O
LOITJSZ,O,O,X,O,X
LOITJZS,X,O,O,O,O
LOITSJZ,O,X,X,X,X
LOITSZJ,O,O,X,O,O
LOITZJS,O,O,O,O,O
LOITZSJ,O,O,X,O,O
LOIJTSZ,O,O,X,X,X
LOIJTZS,X,O,O,X,X
LOIJSTZ,O,O,X,X,X
LOIJSZT,O,O,O,X,X
LOIJZTS,X,O,O,X,X
LOIJZST,X,O,O,X,X
LOISTJZ,O,X,X,X,X
LOISTZJ,O,O,X,X,X
LOISJTZ,O,O,X,X,X
LOISJZT,O,O,O,X,X
LOISZTJ,O,O,X,X,X
LOISZJT,O,X,O,X,X
LOIZTJS,O,O,O,X,X
LOIZTSJ,O,O,X,X,X
LOIZJTS,O,O,O,X,X
LOIZJST,O,O,O,X,X
LOIZSTJ,O,O,X,X,X
LOIZSJT,O,X,O,X,X
LOJTISZ,O,O,X,O,X
LOJTIZS,X,O,O,O,X
LOJTSIZ,O,O,X,O,X
LOJTSZI,O,O,X,O,X
LOJTZIS,O,O,O,O,X
LOJTZSI,O,O,O,O,X
LOJITSZ,O,O,X,X,X
LOJITZS,X,O,O,X,X
LOJISTZ,O,O,X,X,X
LOJISZT,O,O,O,X,X
LOJIZTS,X,O,O,X,X
LOJIZST,X,O,O,X,X
LOJSTIZ,O,O,X,X,X
LOJSTZI,O,O,X,X,X
LOJSITZ,O,O,X,X,X
LOJSIZT,O,O,O,X,X
LOJSZTI,O,O,O,X,X
LOJSZIT,O,O,O,X,X
LOJZTIS,O,O,O,O,X
LOJZTSI,O,O,O,O,X
LOJZITS,O,O,O,X,X
LOJZIST,O,O,O,X,X
LOJZSTI,O,O,O,X,X
LOJZSIT,O,O,O,X,X
LOSTIJZ,O,X,X,X,X
LOSTIZJ,O,O,X,O,X
LOSTJIZ,O,X,X,O,X
LOSTJZI,O,X,X,O,X
LOSTZIJ,O,O,X,O,X
LOSTZJI,O,X,X,O,X
LOSITJZ,O,X,X,X,X
LOSITZJ,O,O,X,X,X
LOSIJTZ,O,O,X,X,X
LOSIJZT,O,O,O,X,X
LOSIZTJ,O,O,X,X,X
LOSIZJT,O,X,O,X,X
LOSJTIZ,O,O,X,X,X
LOSJTZI,O,O,X,X,X
LOSJITZ,O,O,X,X,X
LOSJIZT,O,O,O,X,X
LOSJZTI,O,O,O,X,X
LOSJZIT,O,O,O,X,X
LOSZTIJ,O,O,X,X,X
LOSZTJI,O,X,X,X,X
LOSZITJ,O,O,X,X,X
LOSZIJT,O,X,O,X,X
LOSZJTI,O,X,O,X,X
LOSZJIT,O,X,O,X,X
LOZTIJS,O,O,O,O,X
LOZTISJ,O,O,X,O,X
LOZTJIS,O,O,O,O,X
LOZTJSI,O,X,O,O,X
LOZTSIJ,O,O,X,O,X
LOZTSJI,O,X,X,O,X
LOZITJS,O,O,O,X,X
LOZITSJ,O,O,X,X,X
LOZIJTS,O,O,O,X,X
LOZIJST,O,O,O,X,X
LOZISTJ,O,O,X,X,X
LOZISJT,O,X,O,X,X
LOZJTIS,O,O,O,O,X
LOZJTSI,O,O,O,O,X
LOZJITS,O,O,O,X,X
LOZJIST,O,O,O,X,X
LOZJSTI,O,O,O,X,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,O,O,X,X,X
LOZSTJI,O,X,X,X,X
LOZSITJ,O,O,X,X,X
LOZSIJT,O,X,O,X,X
LOZSJTI,O,X,O,X,X
LOZSJIT,O,X,O,X,X
JTILSZO,O,O,X,O,X
JTILSOZ,O,O,X,O,X
JTILZSO,X,O,O,O,O
JTILZOS,X,O,O,O,O
JTILOSZ,X,O,X,O,X
JTILOZS,X,O,O,O,O
JTISLZO,O,X,X,X,X
JTISLOZ,O,X,X,X,X
JTISZLO,O,X,X,X,X
JTISZOL,O,X,X,X,X
JTISOLZ,O,X,X,X,X
JTISOZL,O,X,X,X,X
JTIZLSO,X,O,O,O,O
JTIZLOS,X,O,O,O,O
JTIZSLO,X,X,O,X,O
JTIZSOL,X,X,O,X,O
JTIZOLS,X,O,O,O,O
JTIZOSL,X,X,O,X,O
JTIOLSZ,X,O,X,O,X
JTIOLZS,X,O,O,O,O
JTIOSLZ,O,X,X,X,X
JTIOSZL,O,X,X,X,X
JTIOZLS,X,O,O,O,O
JTIOZSL,X,X,O,X,O
JTLISZO,O,O,X,O,X
JTLISOZ,O,O,X,O,X
JTLIZSO,X,O,O,O,O
JTLIZOS,X,O,O,O,O
JTLIOSZ,X,O,X,O,X
JTLIOZS,X,O,O,O,O
JTLSIZO,O,O,X,O,X
JTLSIOZ,O,O,X,O,X
JTLSZIO,O,O,X,O,X
JTLSZOI,O,O,X,O,X
JTLSOIZ,O,O,X,O,X
JTLSOZI,O,O,X,O,X
JTLZISO,O,O,O,O,O
JTLZIOS,X,O,O,O,O
JTLZSIO,O,O,O,O,O
JTLZSOI,O,O,O,O,O
JTLZOIS,X,O,O,O,O
JTLZOSI,X,O,O,O,O
JTLOISZ,X,O,X,O,X
JTLOIZS,X,O,O,O,O
JTLOSIZ,X,O,X,O,X
JTLOSZI,X,O,X,O,X
JTLOZIS,X,O,O,O,O
JTLOZSI,X,O,O,O,O
JTSILZO,O,X,X,X,X
JTSILOZ,O,X,X,X,X
JTSIZLO,O,X,X,X,X
JTSIZOL,O,X,X,X,X
JTSIOLZ,O,X,X,X,X
JTSIOZL,O,X,X,X,X
JTSLIZO,O,X,X,O,X
JTSLIOZ,O,X,X,O,X
JTSLZIO,O,X,X,O,X
JTSLZOI,X,X,X,O,X
JTSLOIZ,X,X,X,O,X
