sequence,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke0AJvhFlhB3iB?5oBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?arBGlBUqBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?crBesBClBTqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?asBGlBUqBTrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?cqBerBClBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeTBJvhFliB5oB?cqBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelAJvhF3iB5oB?0mBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelCJvhF5oBcqB?TmBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhF5oBFnB?GlBUqBTrBisB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke8FJvhF3iB5oB?1rBClB2vBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeVGJvhF3iB5oB?SqBzmB2wBUqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?zmBSqB2wBUqB
TIZOSJL,O,X,X,X,O,X,X,X,O,X,X,X
TIOLJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,X,O,X,O,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,X,X,O,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,O,X,X,X
TIOJZLS,X,X,O,X,X,X,X,O,X,X,X,X
TIOJZSL,O,X,O,X,X,O,X,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X,O,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,O,X,X,X
TIOSZJL,O,X,O,X,O,X,X,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,O,X,X,O,X,X,X,X
TIOZJSL,O,X,O,X,O,O,X,O,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,O,X,X,X
TIOZSJL,O,X,O,X,O,X,X,X,O,X,X,X
TLIJSZO,X,O,X,O,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZSO,X,X,O,O,X,O,O,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,O,X,X,X,X,X
TLISZOJ,O,O,X,O,X,X,O,X,X,X,X,X
TLISOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,O,X,O,X,X,X
TLIZJSO,O,X,X,O,X,O,O,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,O,X,O,X,X,O,X,X,X,X,X
TLIZSOJ,O,O,X,O,X,X,O,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,X,X,O,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,O,X,O,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,O,X,X,X,X,X
TLJISZO,X,O,X,O,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,O,O,X,O,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,O,X,X,O,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,O,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,O,O,X,O,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,X,X,O,O,X,O,O,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,O,X,X,X,X,X
TLSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,O,X,O,X,X,X
TLSJIZO,O,O,X,O,X,X,O,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,O,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,O,X,X,X,X,X
TLSZJIO,O,X,X,O,X,X,O,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,X,O,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,O,X,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,O,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,O,O,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,O,X,X,X,X
TLZISJO,O,O,X,O,X,X,O,X,X,X,X,X
TLZISOJ,O,O,X,O,X,X,O,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,O,X,X,O,X,X,X,X,X
TLZJISO,O,X,X,O,X,O,O,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,X,X,O,X,O,O,X,X,X,X,X
TLZJSOI,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,O,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,O,X,X,O,X,X,X,X,X
TLZSIOJ,O,O,X,O,X,X,O,X,X,X,X,X
TLZSJIO,O,X,X,O,X,X,O,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,O,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X,O,X,X,X,X,X
TLZOJIS,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,O,X,X,O,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,O,X,O,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,O,X,X,X,X,X
TLOJISZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,O,X,O,X,X,X
TLOSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,X,X,O,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,O,X,X,X,X,X
TLOZJIS,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,O,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,O,X,X,O,X,X,O,O,X
TJILSOZ,X,X,X,O,X,X,X,X,X,X,O,X
TJILZSO,X,X,O,O,X,O,O,X,X,O,X,X
TJILZOS,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,O,O,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,O,X
TJISZLO,X,X,O,X,X,O,X,X,X,O,O,X
TJISZOL,X,X,O,X,X,O,X,O,X,O,O,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X,O,X
TJISOZL,X,X,O,X,X,X,X,X,O,O,O,X
TJIZLSO,X,X,O,O,X,O,X,X,X,O,X,X
TJIZLOS,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,X,X,O,X,X,O,X,X,X,O,O,X
TJIZSOL,X,X,O,X,X,O,X,O,X,O,O,X
TJIZOLS,X,X,O,X,X,X,X,O,X,X,X,X
TJIZOSL,X,X,O,X,X,O,X,O,X,O,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X,X,O
TJIOLZS,X,X,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,X,O,O
TJIOSZL,X,X,O,X,X,X,X,X,O,O,O,O
TJIOZLS,X,X,O,X,X,X,X,O,X,X,X,X
TJIOZSL,X,X,O,X,X,O,X,O,X,O,X,O
TJLISZO,X,X,X,O,X,X,O,X,X,O,O,X
TJLISOZ,X,X,X,O,X,X,X,X,X,X,O,X
TJLIZSO,X,X,O,O,X,O,O,X,X,O,X,X
TJLIZOS,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,O,X,X,O,X,X,O,O,X
TJLSIOZ,X,X,X,O,X,X,X,X,X,X,O,X
TJLSZIO,X,X,X,X,X,X,O,X,X,O,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,O,O,X,O,O,X,X,O,X,X
TJLZIOS,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,X,X,O,O,X,O,O,X,X,O,X,X
TJLZSOI,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,X,O,O,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X,O,X
TJSIZLO,X,X,O,X,X,O,X,X,X,O,O,X
TJSIZOL,X,X,O,X,X,O,X,O,X,O,O,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,X,O,X
TJSIOZL,X,X,O,X,X,X,X,X,O,O,O,X
TJSLIZO,X,X,X,X,X,X,X,X,X,O,O,X
TJSLIOZ,X,X,X,X,X,X,X,X,X,X,O,X
TJSLZIO,X,X,X,X,X,X,X,X,X,O,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,O,X,X,O,X,X,X,O,O,X
TJSZIOL,X,X,O,X,X,O,X,O,X,O,O,X
TJSZLIO,X,X,O,X,X,O,X,X,X,O,X,X
TJSZLOI,X,X,X,X,X,O,X,X,X,X,X,X
TJSZOIL,X,X,O,X,X,O,X,O,X,O,X,X
TJSZOLI,X,X,X,X,X,O,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,X,O,X
TJSOIZL,X,X,O,X,X,X,X,X,X,O,O,X
TJSOLIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,O,X,X,X,X,X,X,O,X,X
TJSOZLI,X,X,O,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,O,X,O,X,X,X,O,X,X
TJZILOS,X,X,X,X,X,X,X,O,X,X,X,X
TJZISLO,X,X,O,X,X,O,X,X,X,O,O,X
TJZISOL,X,X,O,X,X,O,X,O,X,O,O,X
TJZIOLS,X,X,O,X,X,X,X,O,X,X,X,X
TJZIOSL,X,X,O,X,X,O,X,O,X,O,X,X
TJZLISO,X,X,O,O,X,O,X,X,X,O,X,X
TJZLIOS,X,X,X,X,X,X,X,O,X,X,X,X
TJZLSIO,X,X,O,O,X,O,X,X,X,O,X,X
TJZLSOI,X,X,X,X,X,O,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,O,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,O,X,X,O,X,X,X,O,O,X
TJZSIOL,X,X,O,X,X,O,X,O,X,O,O,X
TJZSLIO,X,X,O,X,X,O,X,X,X,O,X,X
TJZSLOI,X,X,X,X,X,O,X,X,X,X,X,X
TJZSOIL,X,X,O,X,X,O,X,O,X,O,X,X
TJZSOLI,X,X,X,X,X,O,X,X,X,X,X,X
TJZOILS,X,X,O,X,X,X,X,O,X,X,X,X
TJZOISL,X,X,O,X,X,O,X,O,X,O,X,X
TJZOLIS,X,X,O,X,X,X,X,O,X,X,X,X
TJZOLSI,X,X,O,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,O,X,X,O,X,O,X,O,X,X
TJZOSLI,X,X,O,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X,X,O
TJOILZS,X,X,O,X,X,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,X,O,O
TJOISZL,X,X,O,X,X,X,X,X,O,O,O,O
TJOIZLS,X,X,O,X,X,X,X,O,X,X,X,X
TJOIZSL,X,X,O,X,X,O,X,O,X,O,X,O
TJOLISZ,X,X,X,X,X,X,X,X,X,X,X,O
TJOLIZS,X,X,O,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,X,X,X,O
TJOLSZI,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,X,O,X,X,X,X,X,X,X,X,X
TJOLZSI,X,X,O,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,X,X,O,O
TJOSIZL,X,X,O,X,X,X,X,X,O,O,O,O
TJOSLIZ,X,X,X,X,X,X,X,X,X,X,X,O
TJOSLZI,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,O,X,X,X,X,X,X,O,X,O
TJOSZLI,X,X,O,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,O,X,X,X,X,O,X,X,X,X
TJOZISL,X,X,O,X,X,O,X,O,X,O,X,O
TJOZLIS,X,X,O,X,X,X,X,O,X,X,X,X
TJOZLSI,X,X,O,X,X,X,X,X,X,X,X,X
TJOZSIL,X,X,O,X,X,O,X,O,X,O,X,O
TJOZSLI,X,X,O,X,X,O,X,X,X,X,X,X
TSILJZO,O,O,X,O,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,X,O,X,X,X,X,X
TSILZOJ,O,O,X,O,X,X,O,X,X,X,X,X
TSILOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,O,X,X,O,X,O,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X,X,O,O,X
TSIJLOZ,X,X,X,X,X,X,X,X,X,X,O,X
TSIJZLO,O,X,O,X,X,O,X,X,X,O,O,X
TSIJZOL,O,X,O,X,X,O,X,O,X,O,O,X
TSIJOLZ,X,X,X,X,X,X,X,X,X,X,O,X
TSIJOZL,X,X,O,X,X,X,X,X,O,O,O,X
TSIZLJO,O,O,X,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,O,O,X,X,X,X,X,X
TSIZJOL,O,X,X,X,O,O,X,O,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,X,X,O,X,X,X
TSIZOJL,O,X,X,X,O,X,X,X,O,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,O,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,X,X,O,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X,O,X,X,X
TSIOZJL,O,X,X,X,O,X,X,X,O,X,X,X
TSLIJZO,O,O,X,O,X,X,O,X,X,X,X,X
TSLIJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,O,X,X,O,X,X,X,X,X
TSLIZOJ,O,O,X,O,X,X,O,X,X,X,X,X
TSLIOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,O,X,X,O,X,O,X,X,X
TSLJIZO,O,O,X,O,X,X,O,X,X,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X,O,X,X,X,X,X
