sequence,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFlhBziB5oB/rB2s?B0qB,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFThBmiB5oB0nBlq?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFiiB5oBFlB8qBzn?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFumB3iB5oBUlBys?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFCiBeoB5oBUlBXn?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlB6tBXoB0q?BlrB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlBXoB6tB0q?BlrB
TISZOJL,X,O,O,O,O,X,O
TISOLJZ,O,O,O,O,O,O,O
TISOLZJ,X,O,O,O,X,X,X
TISOJLZ,O,O,O,O,O,O,O
TISOJZL,O,O,O,X,O,X,O
TISOZLJ,X,O,O,X,X,X,X
TISOZJL,X,O,O,X,X,X,O
TIZLJSO,O,O,X,O,O,O,O
TIZLJOS,O,O,O,O,O,O,O
TIZLSJO,O,O,X,O,X,O,O
TIZLSOJ,O,O,X,O,X,O,O
TIZLOJS,X,O,O,O,O,O,O
TIZLOSJ,X,O,O,O,X,O,O
TIZJLSO,O,O,X,O,O,O,O
TIZJLOS,O,O,O,O,O,O,O
TIZJSLO,O,O,X,O,O,O,O
TIZJSOL,O,O,O,O,O,O,O
TIZJOLS,O,O,O,O,O,O,O
TIZJOSL,O,O,O,O,O,O,O
TIZSLJO,O,O,O,O,O,O,O
TIZSLOJ,O,O,O,O,O,O,O
TIZSJLO,O,O,O,O,O,O,O
TIZSJOL,O,O,O,O,O,O,O
TIZSOLJ,O,O,O,O,O,O,O
TIZSOJL,O,O,O,O,O,O,O
TIZOLJS,X,O,O,O,O,O,O
TIZOLSJ,X,O,O,O,X,O,O
TIZOJLS,X,O,O,O,O,O,O
TIZOJSL,X,O,O,O,O,O,O
TIZOSLJ,X,O,O,O,O,O,O
TIZOSJL,X,O,O,O,O,O,O
TIOLJSZ,X,X,O,O,O,O,O
TIOLJZS,X,O,O,O,X,O,X
TIOLSJZ,X,O,O,O,X,O,O
TIOLSZJ,X,O,O,O,X,X,X
TIOLZJS,X,O,O,O,X,O,X
TIOLZSJ,X,O,O,O,X,X,X
TIOJLSZ,X,X,O,O,O,O,O
TIOJLZS,X,O,O,O,X,O,X
TIOJSLZ,X,X,O,O,O,O,O
TIOJSZL,X,X,O,X,O,X,O
TIOJZLS,X,O,O,O,O,O,X
TIOJZSL,X,O,O,O,O,X,O
TIOSLJZ,X,O,O,O,O,O,O
TIOSLZJ,X,O,O,O,X,X,X
TIOSJLZ,X,O,O,O,O,O,O
TIOSJZL,X,O,O,X,O,X,O
TIOSZLJ,X,O,O,X,X,X,X
TIOSZJL,X,O,O,X,X,X,O
TIOZLJS,X,O,O,O,O,O,X
TIOZLSJ,X,O,O,O,X,X,X
TIOZJLS,X,O,O,O,O,O,X
TIOZJSL,X,O,O,O,O,X,O
TIOZSLJ,X,O,O,O,X,X,X
TIOZSJL,X,O,O,O,O,X,O
TLIJSZO,O,O,X,O,O,X,X
TLIJSOZ,O,O,X,O,O,O,O
TLIJZSO,O,O,X,O,O,X,X
TLIJZOS,O,O,X,O,O,O,X
TLIJOSZ,O,X,X,O,O,O,O
TLIJOZS,O,O,X,O,X,O,X
TLISJZO,O,O,O,O,X,X,X
TLISJOZ,O,O,X,O,X,O,O
TLISZJO,O,O,O,O,X,X,X
TLISZOJ,X,O,O,O,X,X,X
TLISOJZ,O,O,O,O,X,O,O
TLISOZJ,X,O,O,O,X,X,X
TLIZJSO,O,O,X,O,O,O,X
TLIZJOS,O,O,O,O,O,O,X
TLIZSJO,O,O,X,O,X,O,X
TLIZSOJ,O,O,X,O,X,O,X
TLIZOJS,X,O,O,O,O,O,X
TLIZOSJ,X,O,O,O,X,O,X
TLIOJSZ,X,X,O,O,O,O,O
TLIOJZS,X,O,O,O,X,O,X
TLIOSJZ,X,O,O,O,X,O,O
TLIOSZJ,X,O,O,O,X,X,X
TLIOZJS,X,O,O,O,X,O,X
TLIOZSJ,X,O,O,O,X,X,X
TLJISZO,O,O,X,O,O,X,X
TLJISOZ,O,O,X,O,O,O,X
TLJIZSO,O,O,X,O,O,X,X
TLJIZOS,O,O,X,O,O,O,X
TLJIOSZ,O,X,X,O,O,O,X
TLJIOZS,O,O,X,O,X,O,X
TLJSIZO,O,O,X,O,O,X,X
TLJSIOZ,O,O,X,O,O,X,X
TLJSZIO,O,O,X,O,O,X,X
TLJSZOI,O,O,X,O,O,X,X
TLJSOIZ,O,O,X,O,O,X,X
TLJSOZI,O,O,X,O,O,X,X
TLJZISO,O,O,X,O,O,O,X
TLJZIOS,O,O,X,O,O,O,X
TLJZSIO,O,O,X,O,O,X,X
TLJZSOI,O,O,X,O,O,X,X
TLJZOIS,O,O,X,O,O,X,X
TLJZOSI,O,O,X,O,O,X,X
TLJOISZ,O,X,X,O,O,O,X
TLJOIZS,O,O,X,O,X,O,X
TLJOSIZ,O,X,X,O,O,X,X
TLJOSZI,O,X,X,O,O,X,X
TLJOZIS,O,O,X,O,X,X,X
TLJOZSI,O,O,X,O,X,X,X
TLSIJZO,O,O,O,O,O,X,X
TLSIJOZ,O,O,X,O,O,O,O
TLSIZJO,O,O,O,O,O,X,X
TLSIZOJ,X,O,O,O,O,X,X
TLSIOJZ,O,O,O,O,O,O,O
TLSIOZJ,X,O,O,O,X,X,X
TLSJIZO,O,O,O,O,O,X,X
TLSJIOZ,O,O,X,O,O,X,X
TLSJZIO,O,O,O,O,O,X,X
TLSJZOI,O,O,O,O,O,X,X
TLSJOIZ,O,O,X,O,O,X,X
TLSJOZI,O,O,X,O,O,X,X
TLSZIJO,O,O,O,O,O,O,O
TLSZIOJ,X,O,O,O,O,O,O
TLSZJIO,O,O,O,O,O,X,X
TLSZJOI,O,O,O,O,O,X,X
TLSZOIJ,X,O,O,O,O,X,X
TLSZOJI,X,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,O,O,O
TLSOIZJ,X,O,O,O,X,X,X
TLSOJIZ,O,O,O,O,O,X,X
TLSOJZI,O,O,O,O,O,X,X
TLSOZIJ,X,O,O,O,O,X,X
TLSOZJI,X,O,O,O,O,X,X
TLZIJSO,O,O,X,O,O,O,O
TLZIJOS,O,O,O,O,O,O,O
TLZISJO,O,O,X,O,X,O,O
TLZISOJ,O,O,X,O,X,O,O
TLZIOJS,X,O,O,O,O,O,O
TLZIOSJ,X,O,O,O,X,O,O
TLZJISO,O,O,X,O,O,O,X
TLZJIOS,O,O,O,O,O,O,X
TLZJSIO,O,O,X,O,O,X,X
TLZJSOI,O,O,X,O,O,X,X
TLZJOIS,O,O,O,O,O,X,X
TLZJOSI,O,O,O,O,O,X,X
TLZSIJO,O,O,X,O,O,O,O
TLZSIOJ,O,O,X,O,O,O,O
TLZSJIO,O,O,X,O,O,X,X
TLZSJOI,O,O,X,O,O,X,X
TLZSOIJ,O,O,X,O,O,X,X
TLZSOJI,O,O,X,O,O,X,X
TLZOIJS,X,O,O,O,O,O,X
TLZOISJ,X,O,O,O,X,O,X
TLZOJIS,X,O,O,O,O,X,X
TLZOJSI,X,O,O,O,O,X,X
TLZOSIJ,X,O,O,O,O,X,X
TLZOSJI,X,O,O,O,O,X,X
TLOIJSZ,X,X,O,O,O,O,O
TLOIJZS,X,O,O,O,X,O,X
TLOISJZ,X,O,O,O,X,O,O
TLOISZJ,X,O,O,O,X,X,X
TLOIZJS,X,O,O,O,X,O,X
TLOIZSJ,X,O,O,O,X,X,X
TLOJISZ,X,X,O,O,O,O,X
TLOJIZS,X,O,O,O,X,O,X
TLOJSIZ,X,X,O,O,O,X,X
TLOJSZI,X,X,O,O,O,X,X
TLOJZIS,X,O,O,O,X,X,X
TLOJZSI,X,O,O,O,X,X,X
TLOSIJZ,X,O,O,O,O,O,O
TLOSIZJ,X,O,O,O,X,X,X
TLOSJIZ,X,O,O,O,O,X,X
TLOSJZI,X,O,O,O,O,X,X
TLOSZIJ,X,O,O,O,X,X,X
TLOSZJI,X,O,O,O,O,X,X
TLOZIJS,X,O,O,O,X,O,X
TLOZISJ,X,O,O,O,X,O,X
TLOZJIS,X,O,O,O,X,X,X
TLOZJSI,X,O,O,O,X,X,X
TLOZSIJ,X,O,O,O,X,X,X
TLOZSJI,X,O,O,O,X,X,X
TJILSZO,O,O,X,O,O,X,X
TJILSOZ,O,O,X,O,O,O,O
TJILZSO,O,O,X,O,O,X,X
TJILZOS,O,O,X,O,O,O,X
TJILOSZ,O,X,X,O,O,O,O
TJILOZS,O,O,X,O,X,O,X
TJISLZO,O,O,O,O,O,X,X
TJISLOZ,O,O,X,O,O,O,O
TJISZLO,O,O,O,O,O,X,X
TJISZOL,O,O,O,O,O,X,O
TJISOLZ,O,O,O,O,O,O,O
TJISOZL,O,O,O,X,O,X,O
TJIZLSO,O,O,X,O,O,X,X
TJIZLOS,O,O,O,O,O,O,X
TJIZSLO,O,O,X,O,O,X,X
TJIZSOL,O,O,O,O,O,X,O
TJIZOLS,O,O,O,O,O,O,X
TJIZOSL,O,O,O,O,O,X,O
TJIOLSZ,O,X,O,O,O,O,O
TJIOLZS,O,O,O,O,X,O,X
TJIOSLZ,O,X,O,O,O,O,O
TJIOSZL,O,X,O,X,O,X,O
TJIOZLS,O,O,O,O,O,O,X
TJIOZSL,O,O,O,O,O,X,O
TJLISZO,O,O,X,O,O,X,X
TJLISOZ,O,O,X,O,O,O,X
TJLIZSO,O,O,X,O,O,X,X
TJLIZOS,O,O,X,O,O,O,X
TJLIOSZ,O,X,X,O,O,O,X
TJLIOZS,O,O,X,O,X,O,X
TJLSIZO,O,O,X,O,O,X,X
TJLSIOZ,O,O,X,O,O,X,X
TJLSZIO,O,O,X,O,O,X,X
TJLSZOI,O,O,X,O,O,X,X
TJLSOIZ,O,O,X,O,O,X,X
TJLSOZI,O,O,X,O,O,X,X
TJLZISO,O,O,X,O,O,O,X
TJLZIOS,O,O,X,O,O,O,X
TJLZSIO,O,O,X,O,O,X,X
TJLZSOI,O,O,X,O,O,X,X
TJLZOIS,O,O,X,O,O,X,X
TJLZOSI,O,O,X,O,O,X,X
TJLOISZ,O,X,X,O,O,O,X
TJLOIZS,O,O,X,O,X,O,X
TJLOSIZ,O,X,X,O,O,X,X
TJLOSZI,O,X,X,O,O,X,X
TJLOZIS,O,O,X,O,X,X,X
TJLOZSI,O,O,X,O,X,X,X
TJSILZO,O,O,O,O,O,X,X
TJSILOZ,O,O,X,O,O,X,O
TJSIZLO,O,O,O,O,O,X,X
TJSIZOL,O,O,O,O,O,X,O
TJSIOLZ,O,O,O,O,O,X,O
TJSIOZL,O,O,O,X,O,X,O
TJSLIZO,O,O,O,O,O,X,X
TJSLIOZ,O,O,X,O,O,X,X
TJSLZIO,O,O,O,O,O,X,X
TJSLZOI,O,O,O,O,O,X,X
TJSLOIZ,O,O,X,O,O,X,X
TJSLOZI,O,O,X,O,O,X,X
TJSZILO,O,O,O,O,O,X,O
TJSZIOL,O,O,O,O,O,X,O
TJSZLIO,O,O,O,O,O,X,X
TJSZLOI,O,O,O,O,O,X,X
TJSZOIL,O,O,O,O,O,X,X
TJSZOLI,O,O,O,O,O,X,X
TJSOILZ,O,O,O,O,O,X,O
TJSOIZL,O,O,O,X,O,X,O
TJSOLIZ,O,O,O,O,O,X,X
TJSOLZI,O,O,O,O,O,X,X
TJSOZIL,O,O,O,X,O,X,X
TJSOZLI,O,O,O,X,O,X,X
TJZILSO,O,O,X,O,O,O,O
TJZILOS,O,O,O,O,O,O,O
TJZISLO,O,O,X,O,O,O,O
TJZISOL,O,O,O,O,O,O,O
TJZIOLS,O,O,O,O,O,O,O
TJZIOSL,O,O,O,O,O,O,O
TJZLISO,O,O,X,O,O,O,X
TJZLIOS,O,O,O,O,O,O,X
TJZLSIO,O,O,X,O,O,X,X
TJZLSOI,O,O,X,O,O,X,X
TJZLOIS,O,O,O,O,O,X,X
TJZLOSI,O,O,O,O,O,X,X
TJZSILO,O,O,X,O,O,X,O
TJZSIOL,O,O,O,O,O,X,O
TJZSLIO,O,O,X,O,O,X,X
TJZSLOI,O,O,X,O,O,X,X
TJZSOIL,O,O,O,O,O,X,X
TJZSOLI,O,O,O,O,O,X,X
TJZOILS,O,O,O,O,O,X,X
TJZOISL,O,O,O,O,O,X,X
TJZOLIS,O,O,O,O,O,X,X
TJZOLSI,O,O,O,O,O,X,X
TJZOSIL,O,O,O,O,O,X,X
TJZOSLI,O,O,O,O,O,X,X
TJOILSZ,O,X,O,O,O,O,O
TJOILZS,O,O,O,O,X,O,X
TJOISLZ,O,X,O,O,O,O,O
TJOISZL,O,X,O,X,O,X,O
TJOIZLS,O,O,O,O,O,O,X
TJOIZSL,O,O,O,O,O,X,O
TJOLISZ,O,X,O,O,O,O,X
TJOLIZS,O,O,O,O,X,O,X
TJOLSIZ,O,X,O,O,O,X,X
TJOLSZI,O,X,O,O,O,X,X
TJOLZIS,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,X,X,X
TJOSILZ,O,X,O,O,O,X,O
TJOSIZL,O,X,O,X,O,X,O
TJOSLIZ,O,X,O,O,O,X,X
TJOSLZI,O,X,O,O,O,X,X
TJOSZIL,O,X,O,X,O,X,X
TJOSZLI,O,X,O,X,O,X,X
TJOZILS,O,O,O,O,O,X,X
TJOZISL,O,O,O,O,O,X,X
TJOZLIS,O,O,O,O,O,X,X
TJOZLSI,O,O,O,O,O,X,X
TJOZSIL,O,O,O,O,O,X,X
TJOZSLI,O,O,O,O,O,X,X
TSILJZO,O,O,O,O,O,X,X
TSILJOZ,O,O,O,O,O,O,O
TSILZJO,O,O,O,O,O,X,X
TSILZOJ,X,O,O,O,O,X,X
TSILOJZ,O,O,O,O,O,O,O
TSILOZJ,X,O,O,O,X,X,X
TSIJLZO,O,O,O,O,O,X,X
TSIJLOZ,O,O,O,O,O,O,O
TSIJZLO,O,O,O,O,O,X,X
TSIJZOL,O,O,O,O,O,X,O
TSIJOLZ,O,O,O,O,O,O,O
TSIJOZL,O,O,O,X,O,X,O
TSIZLJO,O,O,O,O,O,X,O
TSIZLOJ,X,O,O,O,O,X,O
TSIZJLO,O,O,O,O,O,X,O
TSIZJOL,O,O,O,O,O,X,O
TSIZOLJ,X,O,O,O,O,X,O
TSIZOJL,X,O,O,O,O,X,O
TSIOLJZ,O,O,O,O,O,O,O
TSIOLZJ,X,O,O,O,X,X,X
TSIOJLZ,O,O,O,O,O,O,O
TSIOJZL,O,O,O,X,O,X,O
TSIOZLJ,X,O,O,X,X,X,X
TSIOZJL,X,O,O,X,X,X,O
TSLIJZO,O,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,O,O,O
TSLIZJO,O,O,O,O,O,X,X
TSLIZOJ,X,O,O,O,O,X,X
TSLIOJZ,O,O,O,O,O,O,O
TSLIOZJ,X,O,O,O,X,X,X
TSLJIZO,O,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,O,X,X
TSLJZIO,O,O,O,O,O,X,X
TSLJZOI,O,O,O,O,O,X,X
TSLJOIZ,O,O,X,O,O,X,X
TSLJOZI,O,O,X,O,O,X,X
TSLZIJO,O,O,O,O,O,O,O
TSLZIOJ,X,O,O,O,O,O,O
TSLZJIO,O,O,O,O,O,X,X
TSLZJOI,O,O,O,O,O,X,X
TSLZOIJ,X,O,O,O,O,X,X
TSLZOJI,X,O,O,O,O,X,X
TSLOIJZ,O,O,O,O,O,O,O
TSLOIZJ,X,O,O,O,X,X,X
TSLOJIZ,O,O,O,O,O,X,X
TSLOJZI,O,O,O,O,O,X,X
TSLOZIJ,X,O,O,O,O,X,X
TSLOZJI,X,O,O,O,O,X,X
TSJILZO,O,O,O,O,O,X,X
TSJILOZ,O,O,O,O,O,X,O
TSJIZLO,O,O,O,O,O,X,X
TSJIZOL,O,O,O,O,O,X,O
TSJIOLZ,O,O,O,O,O,X,O
TSJIOZL,O,O,O,X,O,X,O
TSJLIZO,O,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,O,X,X
TSJLZIO,O,O,O,O,O,X,X
TSJLZOI,O,O,O,O,O,X,X
TSJLOIZ,O,O,X,O,O,X,X
TSJLOZI,O,O,X,O,O,X,X
TSJZILO,O,O,O,O,O,X,O
TSJZIOL,O,O,O,O,O,X,O
TSJZLIO,O,O,O,O,O,X,X
TSJZLOI,O,O,O,O,O,X,X
TSJZOIL,O,O,O,O,O,X,X
TSJZOLI,O,O,O,O,O,X,X
TSJOILZ,O,O,O,O,O,X,O
TSJOIZL,O,O,O,X,O,X,O
TSJOLIZ,O,O,O,O,O,X,X
TSJOLZI,O,O,O,O,O,X,X
TSJOZIL,O,O,O,X,O,X,X
TSJOZLI,O,O,O,X,O,X,X
TSZILJO,O,O,O,O,O,O,O
TSZILOJ,X,O,O,O,O,O,O
TSZIJLO,O,O,O,O,O,O,O
TSZIJOL,O,O,O,O,O,O,O
TSZIOLJ,X,O,O,O,O,O,O
TSZIOJL,X,O,O,O,O,O,O
TSZLIJO,O,O,O,O,O,O,O
TSZLIOJ,X,O,O,O,O,O,O
TSZLJIO,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,X,X
TSZLOIJ,X,O,O,O,O,X,X
TSZLOJI,X,O,O,O,O,X,X
TSZJILO,O,O,O,O,O,X,O
TSZJIOL,O,O,O,O,O,X,O
TSZJLIO,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,O,X,X
TSZJOIL,O,O,O,O,O,X,X
TSZJOLI,O,O,O,O,O,X,X
TSZOILJ,X,O,O,O,O,X,O
TSZOIJL,X,O,O,O,O,X,O
TSZOLIJ,X,O,O,O,O,X,X
TSZOLJI,X,O,O,O,O,X,X
TSZOJIL,X,O,O,O,O,X,X
TSZOJLI,X,O,O,O,O,X,X
TSOILJZ,O,O,O,O,O,O,O
TSOILZJ,X,O,O,O,X,X,X
TSOIJLZ,O,O,O,O,O,O,O
TSOIJZL,O,O,O,X,O,X,O
TSOIZLJ,X,O,O,X,X,X,X
TSOIZJL,X,O,O,X,X,X,O
TSOLIJZ,O,O,O,O,O,O,O
TSOLIZJ,X,O,O,O,X,X,X
TSOLJIZ,O,O,O,O,O,X,X
TSOLJZI,O,O,O,O,O,X,X
TSOLZIJ,X,O,O,O,O,X,X
TSOLZJI,X,O,O,O,O,X,X
TSOJILZ,O,O,O,O,O,X,O
TSOJIZL,O,O,O,X,O,X,O
TSOJLIZ,O,O,O,O,O,X,X
TSOJLZI,O,O,O,O,O,X,X
TSOJZIL,O,O,O,X,O,X,X
TSOJZLI,O,O,O,X,O,X,X
TSOZILJ,X,O,O,X,O,X,O
TSOZIJL,X,O,O,X,O,X,O
TSOZLIJ,X,O,O,X,O,X,X
TSOZLJI,X,O,O,X,O,X,X
TSOZJIL,X,O,O,X,O,X,X
TSOZJLI,X,O,O,X,O,X,X
TZILJSO,O,O,X,O,O,O,O
TZILJOS,O,O,O,O,O,O,O
TZILSJO,O,O,X,O,X,O,O
TZILSOJ,O,O,X,O,X,O,O
TZILOJS,X,O,O,O,O,O,O
TZILOSJ,X,O,O,O,X,O,O
TZIJLSO,O,O,X,O,O,O,O
TZIJLOS,O,O,O,O,O,O,O
TZIJSLO,O,O,X,O,O,O,O
TZIJSOL,O,O,O,O,O,O,O
TZIJOLS,O,O,O,O,O,O,O
TZIJOSL,O,O,O,O,O,O,O
TZISLJO,O,O,O,O,O,O,O
TZISLOJ,O,O,O,O,O,O,O
TZISJLO,O,O,O,O,O,O,O
TZISJOL,O,O,O,O,O,O,O
TZISOLJ,O,O,O,O,O,O,O
TZISOJL,O,O,O,O,O,O,O
TZIOLJS,X,O,O,O,O,O,O
TZIOLSJ,X,O,O,O,X,O,O
TZIOJLS,X,O,O,O,O,O,O
TZIOJSL,X,O,O,O,O,O,O
TZIOSLJ,X,O,O,O,O,O,O
TZIOSJL,X,O,O,O,O,O,O
TZLIJSO,O,O,X,O,O,O,O
TZLIJOS,O,O,O,O,O,O,O
TZLISJO,O,O,X,O,X,O,O
TZLISOJ,O,O,X,O,X,O,O
TZLIOJS,X,O,O,O,O,O,O
TZLIOSJ,X,O,O,O,X,O,O
TZLJISO,O,O,X,O,O,O,X
TZLJIOS,O,O,O,O,O,O,X
TZLJSIO,O,O,X,O,O,X,X
TZLJSOI,O,O,X,O,O,X,X
TZLJOIS,O,O,O,O,O,X,X
TZLJOSI,O,O,O,O,O,X,X
TZLSIJO,O,O,X,O,O,O,O
TZLSIOJ,O,O,X,O,O,O,O
TZLSJIO,O,O,X,O,O,X,X
TZLSJOI,O,O,X,O,O,X,X
TZLSOIJ,O,O,X,O,O,X,X
TZLSOJI,O,O,X,O,O,X,X
TZLOIJS,X,O,O,O,O,O,X
TZLOISJ,X,O,O,O,X,O,X
TZLOJIS,X,O,O,O,O,X,X
TZLOJSI,X,O,O,O,O,X,X
TZLOSIJ,X,O,O,O,O,X,X
TZLOSJI,X,O,O,O,O,X,X
TZJILSO,O,O,X,O,O,O,O
TZJILOS,O,O,O,O,O,O,O
TZJISLO,O,O,X,O,O,O,O
TZJISOL,O,O,O,O,O,O,O
TZJIOLS,O,O,O,O,O,O,O
TZJIOSL,O,O,O,O,O,O,O
TZJLISO,O,O,X,O,O,O,X
TZJLIOS,O,O,O,O,O,O,X
TZJLSIO,O,O,X,O,O,X,X
TZJLSOI,O,O,X,O,O,X,X
TZJLOIS,O,O,O,O,O,X,X
TZJLOSI,O,O,O,O,O,X,X
TZJSILO,O,O,X,O,O,X,O
TZJSIOL,O,O,O,O,O,X,O
TZJSLIO,O,O,X,O,O,X,X
TZJSLOI,O,O,X,O,O,X,X
TZJSOIL,O,O,O,O,O,X,X
TZJSOLI,O,O,O,O,O,X,X
TZJOILS,O,O,O,O,O,X,X
TZJOISL,O,O,O,O,O,X,X
TZJOLIS,O,O,O,O,O,X,X
TZJOLSI,O,O,O,O,O,X,X
TZJOSIL,O,O,O,O,O,X,X
TZJOSLI,O,O,O,O,O,X,X
TZSILJO,O,O,O,O,O,O,O
TZSILOJ,O,O,O,O,O,O,O
TZSIJLO,O,O,O,O,O,O,O
TZSIJOL,O,O,O,O,O,O,O
TZSIOLJ,O,O,O,O,O,O,O
TZSIOJL,O,O,O,O,O,O,O
TZSLIJO,O,O,O,O,O,O,O
TZSLIOJ,O,O,O,O,O,O,O
TZSLJIO,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,O,O,X,X
TZSLOJI,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,O,X,O
TZSJIOL,O,O,O,O,O,X,O
TZSJLIO,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,X,X
TZSJOLI,O,O,O,O,O,X,X
TZSOILJ,O,O,O,O,O,X,O
TZSOIJL,O,O,O,O,O,X,O
TZSOLIJ,O,O,O,O,O,X,X
TZSOLJI,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,X,X
TZSOJLI,O,O,O,O,O,X,X
TZOILJS,X,O,O,O,O,O,O
TZOILSJ,X,O,O,O,X,O,O
TZOIJLS,X,O,O,O,O,O,O
TZOIJSL,X,O,O,O,O,O,O
TZOISLJ,X,O,O,O,O,O,O
TZOISJL,X,O,O,O,O,O,O
TZOLIJS,X,O,O,O,O,O,X
TZOLISJ,X,O,O,O,X,O,X
TZOLJIS,X,O,O,O,O,X,X
TZOLJSI,X,O,O,O,O,X,X
TZOLSIJ,X,O,O,O,O,X,X
TZOLSJI,X,O,O,O,O,X,X
TZOJILS,X,O,O,O,O,X,X
TZOJISL,X,O,O,O,O,X,X
TZOJLIS,X,O,O,O,O,X,X
TZOJLSI,X,O,O,O,O,X,X
TZOJSIL,X,O,O,O,O,X,X
TZOJSLI,X,O,O,O,O,X,X
TZOSILJ,X,O,O,O,O,X,O
TZOSIJL,X,O,O,O,O,X,O
TZOSLIJ,X,O,O,O,O,X,X
TZOSLJI,X,O,O,O,O,X,X
TZOSJIL,X,O,O,O,O,X,X
TZOSJLI,X,O,O,O,O,X,X
TOILJSZ,X,X,O,O,O,O,O
TOILJZS,X,O,O,O,X,O,X
