sequence,v115@PhA8AeA8BeB8CeA8AeE8BeB8Kem/IvhFzgBliB5oB0?kBCsBfsB,v115@PhA8AeA8BeB8CeA8AeE8BeB8KezAJvhF3iB5oBlkBq?rBmpBUsB,v115@PhA8AeA8BeB8CeA8AeE8BeB8KezAJvhF3iB5oBmkBq?rBlpBUsB,v115@PhA8AeA8BeB8CeA8AeE8BeB8Kei/IvhFWmB3iB5oBz?kBVsB0rB,v115@PhA8AeA8BeB8CeA8AeE8BeB8KezAJvhFUiB5oBmkBq?rBlpB3sB
LTSIOZJ,X,O,X,X,X
LTSJIZO,X,X,X,X,X
LTSJIOZ,X,O,O,X,X
LTSJZIO,X,X,X,X,X
LTSJZOI,X,X,X,X,X
LTSJOIZ,X,O,O,X,X
LTSJOZI,X,X,X,X,X
LTSZIJO,X,X,X,X,X
LTSZIOJ,X,O,X,X,X
LTSZJIO,X,X,X,X,X
LTSZJOI,X,X,X,X,X
LTSZOIJ,X,O,X,X,X
LTSZOJI,X,X,X,X,X
LTSOIJZ,X,O,O,X,X
LTSOIZJ,X,O,X,X,X
LTSOJIZ,X,O,O,X,X
LTSOJZI,X,X,X,X,X
LTSOZIJ,X,O,X,X,X
LTSOZJI,X,X,X,X,X
LTZIJSO,O,X,X,X,X
LTZIJOS,O,X,X,X,O
LTZISJO,O,X,X,X,X
LTZISOJ,O,O,X,X,X
LTZIOJS,O,X,X,X,O
LTZIOSJ,O,O,X,X,X
LTZJISO,O,X,X,X,X
LTZJIOS,O,X,X,X,O
LTZJSIO,X,X,X,X,X
LTZJSOI,X,X,X,X,X
LTZJOIS,O,X,X,X,O
LTZJOSI,X,X,X,X,X
LTZSIJO,X,X,X,X,X
LTZSIOJ,X,O,X,X,X
LTZSJIO,X,X,X,X,X
LTZSJOI,X,X,X,X,X
LTZSOIJ,X,O,X,X,X
LTZSOJI,X,X,X,X,X
LTZOIJS,O,X,X,X,O
LTZOISJ,O,O,X,X,X
LTZOJIS,O,X,X,X,O
LTZOJSI,X,X,X,X,X
LTZOSIJ,X,O,X,X,X
LTZOSJI,X,X,X,X,X
LTOIJSZ,X,O,O,X,X
LTOIJZS,X,X,X,X,O
LTOISJZ,X,O,O,X,X
LTOISZJ,X,O,X,X,X
LTOIZJS,O,X,X,X,O
LTOIZSJ,O,O,X,X,X
LTOJISZ,X,O,O,X,X
LTOJIZS,X,X,X,X,O
LTOJSIZ,X,O,O,X,X
LTOJSZI,X,X,X,X,X
LTOJZIS,X,X,X,X,O
LTOJZSI,X,X,X,X,X
LTOSIJZ,X,O,O,X,X
LTOSIZJ,X,O,X,X,X
LTOSJIZ,X,O,O,X,X
LTOSJZI,X,X,X,X,X
LTOSZIJ,X,O,X,X,X
LTOSZJI,X,X,X,X,X
LTOZIJS,O,X,X,X,O
LTOZISJ,O,O,X,X,X
LTOZJIS,O,X,X,X,O
LTOZJSI,X,X,X,X,X
LTOZSIJ,X,O,X,X,X
LTOZSJI,X,X,X,X,X
LITJSZO,X,X,X,X,X
LITJSOZ,X,O,O,X,X
LITJZSO,X,X,X,X,X
LITJZOS,X,X,X,X,O
LITJOSZ,X,O,O,X,X
LITJOZS,X,X,X,X,O
LITSJZO,X,X,X,X,X
LITSJOZ,X,O,O,X,X
LITSZJO,X,X,X,X,X
LITSZOJ,X,O,X,X,X
LITSOJZ,X,O,O,X,X
LITSOZJ,X,O,X,X,X
LITZJSO,O,X,X,X,X
LITZJOS,O,X,X,X,O
LITZSJO,O,X,X,X,X
LITZSOJ,O,O,X,X,X
LITZOJS,O,X,X,X,O
LITZOSJ,O,O,X,X,X
LITOJSZ,X,O,O,X,X
LITOJZS,X,X,X,X,O
LITOSJZ,X,O,O,X,X
LITOSZJ,X,O,X,X,X
LITOZJS,O,X,X,X,O
LITOZSJ,O,O,X,X,X
LIJTSZO,X,X,X,X,X
LIJTSOZ,X,O,O,X,X
LIJTZSO,X,X,X,X,X
LIJTZOS,X,X,X,X,O
LIJTOSZ,X,O,O,X,X
LIJTOZS,X,X,X,X,O
LIJSTZO,X,X,X,X,X
LIJSTOZ,X,O,O,X,X
LIJSZTO,X,X,X,X,X
LIJSZOT,X,X,O,X,O
LIJSOTZ,X,O,O,O,X
LIJSOZT,X,X,O,O,O
LIJZTSO,O,X,X,X,X
LIJZTOS,O,X,X,X,O
LIJZSTO,O,X,X,X,X
LIJZSOT,O,X,O,X,O
LIJZOTS,O,X,X,X,O
LIJZOST,O,X,O,X,O
LIJOTSZ,X,O,O,O,X
LIJOTZS,X,X,X,X,O
LIJOSTZ,X,O,O,O,X
LIJOSZT,X,X,O,O,O
LIJOZTS,O,X,X,X,O
LIJOZST,O,X,O,O,O
LISTJZO,X,X,X,X,X
LISTJOZ,X,O,O,X,X
LISTZJO,X,X,X,X,X
LISTZOJ,X,O,X,X,X
LISTOJZ,X,O,O,X,X
LISTOZJ,X,O,X,X,X
LISJTZO,X,X,X,X,X
LISJTOZ,X,O,O,X,X
LISJZTO,X,X,X,X,X
LISJZOT,X,X,O,X,O
LISJOTZ,X,O,O,O,X
LISJOZT,X,X,O,O,O
LISZTJO,O,X,X,X,X
LISZTOJ,O,O,X,X,X
LISZJTO,O,X,X,X,X
LISZJOT,O,X,O,X,O
LISZOTJ,O,O,X,X,X
LISZOJT,O,X,O,X,O
LISOTJZ,X,O,O,O,X
LISOTZJ,X,O,X,X,X
LISOJTZ,X,O,O,O,X
LISOJZT,X,X,O,O,O
LISOZTJ,O,O,X,X,X
LISOZJT,O,X,O,O,O
LIZTJSO,O,X,X,X,X
LIZTJOS,O,X,X,X,O
LIZTSJO,O,X,X,X,X
LIZTSOJ,O,O,X,X,X
LIZTOJS,O,X,X,X,O
LIZTOSJ,O,O,X,X,X
LIZJTSO,O,X,X,X,X
LIZJTOS,O,X,X,X,O
LIZJSTO,O,X,X,X,X
LIZJSOT,O,X,O,X,O
LIZJOTS,O,X,X,X,O
LIZJOST,O,X,O,X,O
LIZSTJO,O,X,X,X,X
LIZSTOJ,O,O,X,X,X
LIZSJTO,O,X,X,X,X
LIZSJOT,O,X,O,X,O
LIZSOTJ,O,O,X,X,X
LIZSOJT,O,X,O,X,O
LIZOTJS,O,X,X,X,O
LIZOTSJ,O,O,X,X,X
LIZOJTS,O,X,X,X,O
LIZOJST,O,X,O,X,O
LIZOSTJ,O,O,X,X,X
LIZOSJT,O,X,O,X,O
LIOTJSZ,X,O,O,O,X
LIOTJZS,X,X,X,X,O
LIOTSJZ,X,O,O,O,X
LIOTSZJ,X,O,X,X,X
LIOTZJS,O,X,X,X,O
LIOTZSJ,O,O,X,X,X
LIOJTSZ,X,O,O,O,X
LIOJTZS,X,X,X,X,O
LIOJSTZ,X,O,O,O,X
LIOJSZT,X,X,O,O,O
LIOJZTS,O,X,X,X,O
LIOJZST,O,X,O,O,O
LIOSTJZ,X,O,O,O,X
LIOSTZJ,X,O,X,X,X
LIOSJTZ,X,O,O,O,X
LIOSJZT,X,X,O,O,O
LIOSZTJ,O,O,X,X,X
LIOSZJT,O,X,O,O,O
LIOZTJS,O,X,X,X,O
LIOZTSJ,O,O,X,X,X
LIOZJTS,O,X,X,X,O
LIOZJST,O,X,O,O,O
LIOZSTJ,O,O,X,X,X
LIOZSJT,O,X,O,O,O
LJTISZO,X,X,X,X,X
LJTISOZ,X,O,O,X,X
LJTIZSO,X,X,X,X,X
LJTIZOS,X,X,X,X,O
LJTIOSZ,X,O,O,X,X
LJTIOZS,X,X,X,X,O
LJTSIZO,X,X,X,X,X
LJTSIOZ,X,O,O,X,X
LJTSZIO,X,X,X,X,X
LJTSZOI,X,X,X,X,X
LJTSOIZ,X,O,O,X,X
LJTSOZI,X,X,X,X,X
LJTZISO,X,X,X,X,X
LJTZIOS,X,X,X,X,O
LJTZSIO,X,X,X,X,X
LJTZSOI,X,X,X,X,X
LJTZOIS,X,X,X,X,O
LJTZOSI,X,X,X,X,X
LJTOISZ,X,O,O,X,X
LJTOIZS,X,X,X,X,O
LJTOSIZ,X,O,O,X,X
LJTOSZI,X,X,X,X,X
LJTOZIS,X,X,X,X,O
LJTOZSI,X,X,X,X,X
LJITSZO,X,X,X,X,X
LJITSOZ,X,O,O,X,X
LJITZSO,X,X,X,X,X
LJITZOS,X,X,X,X,O
LJITOSZ,X,O,O,X,X
LJITOZS,X,X,X,X,O
LJISTZO,X,X,X,X,X
LJISTOZ,X,O,O,X,X
LJISZTO,X,X,X,X,X
LJISZOT,X,X,O,X,O
LJISOTZ,X,O,O,O,X
LJISOZT,X,X,O,O,O
LJIZTSO,O,X,X,X,X
LJIZTOS,O,X,X,X,O
LJIZSTO,O,X,X,X,X
LJIZSOT,O,X,O,X,O
LJIZOTS,O,X,X,X,O
LJIZOST,O,X,O,X,O
LJIOTSZ,X,O,O,O,X
LJIOTZS,X,X,X,X,O
LJIOSTZ,X,O,O,O,X
LJIOSZT,X,X,O,O,O
LJIOZTS,O,X,X,X,O
LJIOZST,O,X,O,O,O
LJSTIZO,X,X,X,X,X
LJSTIOZ,X,O,O,X,X
LJSTZIO,X,X,X,X,X
LJSTZOI,X,X,X,X,X
LJSTOIZ,X,O,O,X,X
LJSTOZI,X,X,X,X,X
LJSITZO,X,X,X,X,X
LJSITOZ,X,O,O,X,X
LJSIZTO,X,X,X,X,X
LJSIZOT,X,X,O,X,O
LJSIOTZ,X,O,O,O,X
LJSIOZT,X,X,O,O,O
LJSZTIO,X,X,X,X,X
LJSZTOI,X,X,X,X,X
LJSZITO,X,X,X,X,X
LJSZIOT,X,X,O,X,O
LJSZOTI,X,X,X,X,X
LJSZOIT,X,X,O,X,O
LJSOTIZ,X,O,O,O,X
LJSOTZI,X,X,X,X,X
LJSOITZ,X,O,O,O,X
LJSOIZT,X,X,O,O,O
LJSOZTI,X,X,X,X,X
LJSOZIT,X,X,O,O,O
LJZTISO,O,X,X,X,X
LJZTIOS,O,X,X,X,O
LJZTSIO,X,X,X,X,X
LJZTSOI,X,X,X,X,X
LJZTOIS,O,X,X,X,O
LJZTOSI,X,X,X,X,X
LJZITSO,O,X,X,X,X
LJZITOS,O,X,X,X,O
LJZISTO,O,X,X,X,X
LJZISOT,O,X,O,X,O
LJZIOTS,O,X,X,X,O
LJZIOST,O,X,O,X,O
LJZSTIO,X,X,X,X,X
LJZSTOI,X,X,X,X,X
LJZSITO,O,X,X,X,X
LJZSIOT,O,X,O,X,O
LJZSOTI,X,X,X,X,X
LJZSOIT,O,X,O,X,O
LJZOTIS,O,X,X,X,O
LJZOTSI,X,X,X,X,X
LJZOITS,O,X,X,X,O
LJZOIST,O,X,O,X,O
LJZOSTI,X,X,X,X,X
LJZOSIT,O,X,O,X,O
LJOTISZ,X,O,O,O,X
LJOTIZS,X,X,X,X,O
LJOTSIZ,X,O,O,O,X
LJOTSZI,X,X,X,X,X
LJOTZIS,X,X,X,X,O
LJOTZSI,X,X,X,X,X
LJOITSZ,X,O,O,O,X
LJOITZS,X,X,X,X,O
LJOISTZ,X,O,O,O,X
LJOISZT,X,X,O,O,O
LJOIZTS,O,X,X,X,O
LJOIZST,O,X,O,O,O
LJOSTIZ,X,O,O,O,X
LJOSTZI,X,X,X,X,X
LJOSITZ,X,O,O,O,X
LJOSIZT,X,X,O,O,O
LJOSZTI,X,X,X,X,X
LJOSZIT,X,X,O,O,O
LJOZTIS,O,X,X,X,O
LJOZTSI,X,X,X,X,X
LJOZITS,O,X,X,X,O
LJOZIST,O,X,O,O,O
LJOZSTI,X,X,X,X,X
LJOZSIT,O,X,O,O,O
LSTIJZO,X,X,X,X,X
LSTIJOZ,X,O,O,X,X
LSTIZJO,X,X,X,X,X
LSTIZOJ,X,O,X,X,X
LSTIOJZ,X,O,O,X,X
LSTIOZJ,X,O,X,X,X
LSTJIZO,X,X,X,X,X
LSTJIOZ,X,O,O,X,X
LSTJZIO,X,X,X,X,X
LSTJZOI,X,X,X,X,X
LSTJOIZ,X,O,O,X,X
LSTJOZI,X,X,X,X,X
LSTZIJO,X,X,X,X,X
LSTZIOJ,X,O,X,X,X
LSTZJIO,X,X,X,X,X
LSTZJOI,X,X,X,X,X
LSTZOIJ,X,O,X,X,X
LSTZOJI,X,X,X,X,X
LSTOIJZ,X,O,O,X,X
LSTOIZJ,X,O,X,X,X
LSTOJIZ,X,O,O,X,X
LSTOJZI,X,X,X,X,X
LSTOZIJ,X,O,X,X,X
LSTOZJI,X,X,X,X,X
LSITJZO,X,X,X,X,X
LSITJOZ,X,O,O,X,X
LSITZJO,X,X,X,X,X
LSITZOJ,X,O,X,X,X
LSITOJZ,X,O,O,X,X
LSITOZJ,X,O,X,X,X
LSIJTZO,X,X,X,X,X
LSIJTOZ,X,O,O,X,X
LSIJZTO,X,X,X,X,X
LSIJZOT,X,X,O,X,O
LSIJOTZ,X,O,O,O,X
LSIJOZT,X,X,O,O,O
LSIZTJO,O,X,X,X,X
LSIZTOJ,O,O,X,X,X
LSIZJTO,O,X,X,X,X
LSIZJOT,O,X,O,X,O
LSIZOTJ,O,O,X,X,X
LSIZOJT,O,X,O,X,O
LSIOTJZ,X,O,O,O,X
LSIOTZJ,X,O,X,X,X
LSIOJTZ,X,O,O,O,X
LSIOJZT,X,X,O,O,O
LSIOZTJ,O,O,X,X,X
LSIOZJT,O,X,O,O,O
LSJTIZO,X,X,X,X,X
LSJTIOZ,X,O,O,X,X
LSJTZIO,X,X,X,X,X
LSJTZOI,X,X,X,X,X
LSJTOIZ,X,O,O,X,X
LSJTOZI,X,X,X,X,X
LSJITZO,X,X,X,X,X
LSJITOZ,X,O,O,X,X
LSJIZTO,X,X,X,X,X
LSJIZOT,X,X,O,X,O
LSJIOTZ,X,O,O,O,X
LSJIOZT,X,X,O,O,O
LSJZTIO,X,X,X,X,X
LSJZTOI,X,X,X,X,X
LSJZITO,X,X,X,X,X
LSJZIOT,X,X,O,X,O
LSJZOTI,X,X,X,X,X
LSJZOIT,X,X,O,X,O
LSJOTIZ,X,O,O,O,X
LSJOTZI,X,X,X,X,X
LSJOITZ,X,O,O,O,X
LSJOIZT,X,X,O,O,O
LSJOZTI,X,X,X,X,X
LSJOZIT,X,X,O,O,O
LSZTIJO,X,X,X,X,X
LSZTIOJ,X,O,X,X,X
LSZTJIO,X,X,X,X,X
LSZTJOI,X,X,X,X,X
LSZTOIJ,X,O,X,X,X
LSZTOJI,X,X,X,X,X
LSZITJO,O,X,X,X,X
LSZITOJ,O,O,X,X,X
LSZIJTO,O,X,X,X,X
LSZIJOT,O,X,O,X,O
LSZIOTJ,O,O,X,X,X
LSZIOJT,O,X,O,X,O
LSZJTIO,X,X,X,X,X
LSZJTOI,X,X,X,X,X
LSZJITO,O,X,X,X,X
LSZJIOT,O,X,O,X,O
LSZJOTI,X,X,X,X,X
LSZJOIT,O,X,O,X,O
LSZOTIJ,X,O,X,X,X
LSZOTJI,X,X,X,X,X
LSZOITJ,O,O,X,X,X
LSZOIJT,O,X,O,X,O
LSZOJTI,X,X,X,X,X
LSZOJIT,O,X,O,X,O
LSOTIJZ,X,O,O,O,X
LSOTIZJ,X,O,X,X,X
LSOTJIZ,X,O,O,O,X
LSOTJZI,X,X,X,X,X
LSOTZIJ,X,O,X,X,X
LSOTZJI,X,X,X,X,X
LSOITJZ,X,O,O,O,X
LSOITZJ,X,O,X,X,X
LSOIJTZ,X,O,O,O,X
LSOIJZT,X,X,O,O,O
LSOIZTJ,O,O,X,X,X
LSOIZJT,O,X,O,O,O
LSOJTIZ,X,O,O,O,X
LSOJTZI,X,X,X,X,X
LSOJITZ,X,O,O,O,X
LSOJIZT,X,X,O,O,O
LSOJZTI,X,X,X,X,X
LSOJZIT,X,X,O,O,O
LSOZTIJ,X,O,X,X,X
LSOZTJI,X,X,X,X,X
LSOZITJ,O,O,X,X,X
LSOZIJT,O,X,O,O,O
LSOZJTI,X,X,X,X,X
LSOZJIT,O,X,O,O,O
LZTIJSO,O,X,X,X,X
LZTIJOS,O,X,X,X,O
LZTISJO,O,X,X,X,X
LZTISOJ,O,O,X,X,X
LZTIOJS,O,X,X,X,O
LZTIOSJ,O,O,X,X,X
LZTJISO,O,X,X,X,X
LZTJIOS,O,X,X,X,O
LZTJSIO,X,X,X,X,X
LZTJSOI,X,X,X,X,X
LZTJOIS,O,X,X,X,O
LZTJOSI,X,X,X,X,X
LZTSIJO,X,X,X,X,X
LZTSIOJ,X,O,X,X,X
LZTSJIO,X,X,X,X,X
LZTSJOI,X,X,X,X,X
LZTSOIJ,X,O,X,X,X
LZTSOJI,X,X,X,X,X
LZTOIJS,O,X,X,X,O
LZTOISJ,O,O,X,X,X
LZTOJIS,O,X,X,X,O
LZTOJSI,X,X,X,X,X
LZTOSIJ,X,O,X,X,X
LZTOSJI,X,X,X,X,X
LZITJSO,O,X,X,X,X
LZITJOS,O,X,X,X,O
LZITSJO,O,X,X,X,X
LZITSOJ,O,O,X,X,X
LZITOJS,O,X,X,X,O
LZITOSJ,O,O,X,X,X
LZIJTSO,O,X,X,X,X
LZIJTOS,O,X,X,X,O
LZIJSTO,O,X,X,X,X
LZIJSOT,O,X,O,X,O
LZIJOTS,O,X,X,X,O
LZIJOST,O,X,O,X,O
LZISTJO,O,X,X,X,X
LZISTOJ,O,O,X,X,X
LZISJTO,O,X,X,X,X
LZISJOT,O,X,O,X,O
LZISOTJ,O,O,X,X,X
LZISOJT,O,X,O,X,O
LZIOTJS,O,X,X,X,O
LZIOTSJ,O,O,X,X,X
LZIOJTS,O,X,X,X,O
LZIOJST,O,X,O,X,O
LZIOSTJ,O,O,X,X,X
LZIOSJT,O,X,O,X,O
LZJTISO,O,X,X,X,X
LZJTIOS,O,X,X,X,O
LZJTSIO,X,X,X,X,X
LZJTSOI,X,X,X,X,X
LZJTOIS,O,X,X,X,O
LZJTOSI,X,X,X,X,X
LZJITSO,O,X,X,X,X
LZJITOS,O,X,X,X,O
LZJISTO,O,X,X,X,X
LZJISOT,O,X,O,X,O
LZJIOTS,O,X,X,X,O
LZJIOST,O,X,O,X,O
LZJSTIO,X,X,X,X,X
LZJSTOI,X,X,X,X,X
LZJSITO,O,X,X,X,X
LZJSIOT,O,X,O,X,O
LZJSOTI,X,X,X,X,X
LZJSOIT,O,X,O,X,O
LZJOTIS,O,X,X,X,O
LZJOTSI,X,X,X,X,X
LZJOITS,O,X,X,X,O
LZJOIST,O,X,O,X,O
LZJOSTI,X,X,X,X,X
LZJOSIT,O,X,O,X,O
LZSTIJO,X,X,X,X,X
LZSTIOJ,X,O,X,X,X
LZSTJIO,X,X,X,X,X
LZSTJOI,X,X,X,X,X
LZSTOIJ,X,O,X,X,X
LZSTOJI,X,X,X,X,X
LZSITJO,O,X,X,X,X
LZSITOJ,O,O,X,X,X
LZSIJTO,O,X,X,X,X
LZSIJOT,O,X,O,X,O
LZSIOTJ,O,O,X,X,X
LZSIOJT,O,X,O,X,O
LZSJTIO,X,X,X,X,X
LZSJTOI,X,X,X,X,X
LZSJITO,O,X,X,X,X
LZSJIOT,O,X,O,X,O
LZSJOTI,X,X,X,X,X
LZSJOIT,O,X,O,X,O
LZSOTIJ,X,O,X,X,X
LZSOTJI,X,X,X,X,X
LZSOITJ,O,O,X,X,X
LZSOIJT,O,X,O,X,O
LZSOJTI,X,X,X,X,X
LZSOJIT,O,X,O,X,O
LZOTIJS,O,X,X,X,O
LZOTISJ,O,O,X,X,X
LZOTJIS,O,X,X,X,O
LZOTJSI,X,X,X,X,X
LZOTSIJ,X,O,X,X,X
LZOTSJI,X,X,X,X,X
LZOITJS,O,X,X,X,O
LZOITSJ,O,O,X,X,X
LZOIJTS,O,X,X,X,O
LZOIJST,O,X,O,X,O
LZOISTJ,O,O,X,X,X
LZOISJT,O,X,O,X,O
LZOJTIS,O,X,X,X,O
LZOJTSI,X,X,X,X,X
LZOJITS,O,X,X,X,O
LZOJIST,O,X,O,X,O
LZOJSTI,X,X,X,X,X
LZOJSIT,O,X,O,X,O
LZOSTIJ,X,O,X,X,X
LZOSTJI,X,X,X,X,X
LZOSITJ,O,O,X,X,X
LZOSIJT,O,X,O,X,O
LZOSJTI,X,X,X,X,X
LZOSJIT,O,X,O,X,O
LOTIJSZ,X,O,O,O,X
LOTIJZS,X,X,X,X,O
LOTISJZ,X,O,O,O,X
LOTISZJ,X,O,X,X,X
LOTIZJS,O,X,X,X,O
LOTIZSJ,O,O,X,X,X
LOTJISZ,X,O,O,O,X
LOTJIZS,X,X,X,X,O
LOTJSIZ,X,O,O,O,X
LOTJSZI,X,X,X,X,X
LOTJZIS,X,X,X,X,O
LOTJZSI,X,X,X,X,X
LOTSIJZ,X,O,O,O,X
LOTSIZJ,X,O,X,X,X
LOTSJIZ,X,O,O,O,X
LOTSJZI,X,X,X,X,X
LOTSZIJ,X,O,X,X,X
LOTSZJI,X,X,X,X,X
LOTZIJS,O,X,X,X,O
LOTZISJ,O,O,X,X,X
LOTZJIS,O,X,X,X,O
LOTZJSI,X,X,X,X,X
LOTZSIJ,X,O,X,X,X
LOTZSJI,X,X,X,X,X
LOITJSZ,X,O,O,O,X
LOITJZS,X,X,X,X,O
LOITSJZ,X,O,O,O,X
LOITSZJ,X,O,X,X,X
LOITZJS,O,X,X,X,O
LOITZSJ,O,O,X,X,X
LOIJTSZ,X,O,O,O,X
LOIJTZS,X,X,X,X,O
LOIJSTZ,X,O,O,O,X
LOIJSZT,X,X,O,O,O
LOIJZTS,O,X,X,X,O
LOIJZST,O,X,O,O,O
LOISTJZ,X,O,O,O,X
LOISTZJ,X,O,X,X,X
LOISJTZ,X,O,O,O,X
LOISJZT,X,X,O,O,O
LOISZTJ,O,O,X,X,X
LOISZJT,O,X,O,O,O
LOIZTJS,O,X,X,X,O
LOIZTSJ,O,O,X,X,X
LOIZJTS,O,X,X,X,O
LOIZJST,O,X,O,O,O
LOIZSTJ,O,O,X,X,X
LOIZSJT,O,X,O,O,O
LOJTISZ,X,O,O,O,X
LOJTIZS,X,X,X,X,O
LOJTSIZ,X,O,O,O,X
LOJTSZI,X,X,X,X,X
LOJTZIS,X,X,X,X,O
LOJTZSI,X,X,X,X,X
LOJITSZ,X,O,O,O,X
LOJITZS,X,X,X,X,O
LOJISTZ,X,O,O,O,X
LOJISZT,X,X,O,O,O
LOJIZTS,O,X,X,X,O
LOJIZST,O,X,O,O,O
LOJSTIZ,X,O,O,O,X
LOJSTZI,X,X,X,X,X
LOJSITZ,X,O,O,O,X
LOJSIZT,X,X,O,O,O
LOJSZTI,X,X,X,X,X
LOJSZIT,X,X,O,O,O
LOJZTIS,O,X,X,X,O
LOJZTSI,X,X,X,X,X
LOJZITS,O,X,X,X,O
LOJZIST,O,X,O,O,O
LOJZSTI,X,X,X,X,X
LOJZSIT,O,X,O,O,O
LOSTIJZ,X,O,O,O,X
LOSTIZJ,X,O,X,X,X
LOSTJIZ,X,O,O,O,X
LOSTJZI,X,X,X,X,X
LOSTZIJ,X,O,X,X,X
LOSTZJI,X,X,X,X,X
LOSITJZ,X,O,O,O,X
LOSITZJ,X,O,X,X,X
LOSIJTZ,X,O,O,O,X
LOSIJZT,X,X,O,O,O
LOSIZTJ,O,O,X,X,X
LOSIZJT,O,X,O,O,O
LOSJTIZ,X,O,O,O,X
LOSJTZI,X,X,X,X,X
LOSJITZ,X,O,O,O,X
LOSJIZT,X,X,O,O,O
LOSJZTI,X,X,X,X,X
LOSJZIT,X,X,O,O,O
LOSZTIJ,X,O,X,X,X
LOSZTJI,X,X,X,X,X
LOSZITJ,O,O,X,X,X
LOSZIJT,O,X,O,O,O
LOSZJTI,X,X,X,X,X
LOSZJIT,O,X,O,O,O
LOZTIJS,O,X,X,X,O
LOZTISJ,O,O,X,X,X
LOZTJIS,O,X,X,X,O
LOZTJSI,X,X,X,X,X
LOZTSIJ,X,O,X,X,X
LOZTSJI,X,X,X,X,X
LOZITJS,O,X,X,X,O
LOZITSJ,O,O,X,X,X
LOZIJTS,O,X,X,X,O
LOZIJST,O,X,O,O,O
LOZISTJ,O,O,X,X,X
LOZISJT,O,X,O,O,O
LOZJTIS,O,X,X,X,O
LOZJTSI,X,X,X,X,X
LOZJITS,O,X,X,X,O
LOZJIST,O,X,O,O,O
LOZJSTI,X,X,X,X,X
LOZJSIT,O,X,O,O,O
LOZSTIJ,X,O,X,X,X
LOZSTJI,X,X,X,X,X
LOZSITJ,O,O,X,X,X
LOZSIJT,O,X,O,O,O
LOZSJTI,X,X,X,X,X
LOZSJIT,O,X,O,O,O
JTILSZO,X,X,X,X,X
JTILSOZ,X,O,O,X,X
JTILZSO,X,X,X,X,X
JTILZOS,X,X,X,X,O
JTILOSZ,X,O,O,X,X
JTILOZS,X,X,X,X,O
JTISLZO,X,X,X,X,X
JTISLOZ,X,O,O,X,X
JTISZLO,X,X,X,X,X
JTISZOL,X,X,X,X,X
JTISOLZ,X,X,X,O,X
JTISOZL,X,X,X,X,X
JTIZLSO,X,X,X,X,X
JTIZLOS,X,X,X,X,X
JTIZSLO,X,X,X,X,X
JTIZSOL,X,X,X,X,X
JTIZOLS,X,X,X,X,X
JTIZOSL,X,X,X,X,X
JTIOLSZ,X,O,O,O,X
JTIOLZS,X,X,X,X,O
JTIOSLZ,X,X,X,O,X
JTIOSZL,X,X,X,X,X
JTIOZLS,X,X,X,X,X
JTIOZSL,X,X,X,X,X
JTLISZO,X,X,X,X,X
JTLISOZ,X,O,O,X,X
JTLIZSO,X,X,X,X,X
JTLIZOS,X,X,X,X,O
JTLIOSZ,X,O,O,X,X
JTLIOZS,X,X,X,X,O
JTLSIZO,X,X,X,X,X
JTLSIOZ,X,O,O,X,X
JTLSZIO,X,X,X,X,X
JTLSZOI,X,X,X,X,X
JTLSOIZ,X,O,O,X,X
JTLSOZI,X,X,X,X,X
JTLZISO,X,X,X,X,X
JTLZIOS,X,X,X,X,O
JTLZSIO,X,X,X,X,X
JTLZSOI,X,X,X,X,X
JTLZOIS,X,X,X,X,O
JTLZOSI,X,X,X,X,X
JTLOISZ,X,O,O,X,X
JTLOIZS,X,X,X,X,O
JTLOSIZ,X,O,O,X,X
JTLOSZI,X,X,X,X,X
JTLOZIS,X,X,X,X,O
JTLOZSI,X,X,X,X,X
JTSILZO,X,X,X,X,X
JTSILOZ,X,O,O,X,X
JTSIZLO,X,X,X,X,X
JTSIZOL,X,X,X,X,X
JTSIOLZ,X,X,X,O,X
JTSIOZL,X,X,X,X,X
JTSLIZO,X,X,X,X,X
JTSLIOZ,X,O,O,X,X
JTSLZIO,X,X,X,X,X
JTSLZOI,X,X,X,X,X
JTSLOIZ,X,O,O,X,X
JTSLOZI,X,X,X,X,X
JTSZILO,X,X,X,X,X
JTSZIOL,X,X,X,X,X
JTSZLIO,X,X,X,X,X
JTSZLOI,X,X,X,X,X
JTSZOIL,X,X,X,X,X
JTSZOLI,X,X,X,X,X
JTSOILZ,X,X,X,O,X
JTSOIZL,X,X,X,X,X
JTSOLIZ,X,X,X,O,X
JTSOLZI,X,X,X,X,X
JTSOZIL,X,X,X,X,X
JTSOZLI,X,X,X,X,X
JTZILSO,X,X,X,X,X
JTZILOS,X,X,X,X,X
JTZISLO,X,X,X,X,X
JTZISOL,X,X,X,X,X
JTZIOLS,X,X,X,X,X
JTZIOSL,X,X,X,X,X
JTZLISO,X,X,X,X,X
JTZLIOS,X,X,X,X,X
JTZLSIO,X,X,X,X,X
JTZLSOI,X,X,X,X,X
JTZLOIS,X,X,X,X,X
JTZLOSI,X,X,X,X,X
JTZSILO,X,X,X,X,X
JTZSIOL,X,X,X,X,X
JTZSLIO,X,X,X,X,X
JTZSLOI,X,X,X,X,X
JTZSOIL,X,X,X,X,X
JTZSOLI,X,X,X,X,X
JTZOILS,X,X,X,X,X
JTZOISL,X,X,X,X,X
JTZOLIS,X,X,X,X,X
JTZOLSI,X,X,X,X,X
JTZOSIL,X,X,X,X,X
