sequence,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBVnBaoB5oBzp?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFOlBxiBFnBXoB0p?BSyB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnB6tBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFTjB/pBaqBFnBGt?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBxiBUnBFoBzp?BSyB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB/pBFnB6tBOq?BzsB,v115@BhB8GeB8HeC8DeA8BeD8MeOFJvhFxiBTkBFnBXoBSy?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhF5oBypBFnB8sBXq?BmsB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnB6tBzs?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFxiBypBFnB8sB+t?BXqB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFXiBTkBeqBFoB6t?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgB5oBUnBatBzp?BlsB,v115@BhB8GeB8HeC8DeA8BeD8MemCJvhF5oBikBFnBXlBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnBCtBTt?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnBCtBTt?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MexCJvhFikBFnBToBXlBWy?B0pB
TLSIJZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLSIZJO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLSJZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TLSJOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLSJOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLSZIJO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X
TLSOIZJ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X
TLSOJZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
TLSOZIJ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLZIOSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLZJISO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X
TLZJSIO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X
TLZJOIS,O,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O
TLZJOSI,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O,O
TLZSIJO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TLZSOIJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
TLZOISJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLZOJIS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
TLZOJSI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
TLZOSJI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOIJSZ,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
TLOIJZS,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
TLOISJZ,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
TLOISZJ,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
TLOIZJS,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
TLOIZSJ,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
TLOJISZ,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,O
TLOJIZS,O,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
TLOJSIZ,O,O,O,X,O,O,O,X,O,X,X,O,O,O,O,O
TLOJSZI,O,O,O,X,O,O,O,X,O,X,X,O,X,O,O,O
TLOJZIS,O,O,O,X,O,X,X,O,O,O,X,O,O,O,O,O
TLOJZSI,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,O
TLOSIJZ,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X
TLOSIZJ,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
TLOSJIZ,O,O,O,X,O,O,O,X,O,X,X,O,O,O,X,X
TLOSJZI,O,O,O,X,O,O,O,X,O,X,X,O,X,O,X,X
TLOSZIJ,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLOSZJI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
TLOZIJS,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
TLOZISJ,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
TLOZJIS,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
TLOZJSI,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X
TLOZSIJ,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLOZSJI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
TJILSZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TJILZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJILOSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TJILOZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TJISLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TJISZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIZSLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TJIOLZS,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TJIOZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TJLIZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJLIOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
TJLIOZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TJLSIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TJLSZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TJLSOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TJLSOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TJLZISO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLZIOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
TJLZSIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJLZSOI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X
TJLZOIS,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O
TJLZOSI,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,O
TJLOISZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,O,O
TJLOIZS,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O
TJLOSIZ,O,O,O,O,O,X,O,X,O,X,X,X,O,O,O,O
TJLOSZI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O
TJLOZIS,O,O,O,X,O,X,X,O,O,O,X,X,O,O,O,O
TJLOZSI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,O
TJSILZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TJSLZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TJSLOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TJSLOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TJSZILO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJSZLIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,O,O,O,X,X,O,X,O,X,X,O,O,X
TJSZOIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJSZOLI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJSOILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJSOIZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
