sequence,v115@XhG8BeE8JeKEJvhFzfBfmBGjBRnBlmB0qB,v115@XhG8BeE8JeKEJvhFflB0gBGjBRnBlmBzqB,v115@XhG8BeE8JeGCJvhFTjBikBRmB0kBllBXrB,v115@XhG8BeE8JeOEJvhF8kBxhBTjBCnBlqBfrB,v115@XhG8BeE8JezAJvhFGjBlkBRnBikB3mB0qB,v115@XhG8BeE8Je0/IvhFTjB2pBfrBxmBCnBlqB
IOLJSZT,O,O,O,X,X,X
IOLJZTS,O,X,O,O,X,X
IOLJZST,O,O,O,X,X,X
IOLSTJZ,X,O,O,X,X,X
IOLSTZJ,X,O,X,X,X,X
IOLSJTZ,X,O,O,X,X,X
IOLSJZT,O,O,O,X,X,O
IOLSZTJ,O,O,X,X,X,X
IOLSZJT,O,O,O,X,X,X
IOLZTJS,O,X,X,O,X,X
IOLZTSJ,O,X,X,X,X,X
IOLZJTS,O,X,O,O,X,X
IOLZJST,O,O,O,X,X,X
IOLZSTJ,O,O,X,X,X,X
IOLZSJT,O,O,X,X,X,X
IOJTLSZ,X,O,O,X,X,X
IOJTLZS,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X
IOJTZLS,X,X,X,X,O,X
IOJTZSL,X,X,X,X,O,X
IOJLTSZ,X,O,O,X,X,X
IOJLTZS,O,X,O,X,X,X
IOJLSTZ,X,O,O,X,X,X
IOJLSZT,O,O,O,X,X,X
IOJLZTS,O,X,O,O,X,X
IOJLZST,O,O,O,X,X,X
IOJSTLZ,X,X,O,X,X,X
IOJSTZL,X,X,X,X,X,O
IOJSLTZ,X,O,O,X,X,X
IOJSLZT,X,O,O,X,X,O
IOJSZTL,X,X,X,X,X,O
IOJSZLT,X,X,O,X,X,O
IOJZTLS,X,X,X,O,O,X
IOJZTSL,X,X,X,X,O,X
IOJZLTS,O,X,O,O,O,X
IOJZLST,O,O,O,X,X,X
IOJZSTL,X,X,X,X,O,O
IOJZSLT,O,X,X,X,X,O
IOSTLJZ,X,X,O,X,X,X
IOSTLZJ,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,X
IOSTJZL,X,X,X,X,X,O
IOSTZLJ,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X
IOSLTJZ,X,O,O,X,X,X
IOSLTZJ,X,O,X,X,X,X
IOSLJTZ,X,O,O,X,X,X
IOSLJZT,X,O,O,X,X,O
IOSLZTJ,X,O,X,X,X,X
IOSLZJT,X,O,O,X,X,X
IOSJTLZ,X,X,O,X,X,X
IOSJTZL,X,X,X,X,X,O
IOSJLTZ,X,O,O,X,X,X
IOSJLZT,X,O,O,X,X,O
IOSJZTL,X,X,X,X,X,O
IOSJZLT,X,X,O,X,X,O
IOSZTLJ,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X
IOSZLJT,X,X,O,X,X,X
IOSZJTL,X,X,X,X,X,O
IOSZJLT,X,X,O,X,X,O
IOZTLJS,X,X,X,O,O,X
IOZTLSJ,X,X,X,X,X,X
IOZTJLS,X,X,X,O,O,X
IOZTJSL,X,X,X,X,O,X
IOZTSLJ,X,X,X,X,X,X
IOZTSJL,X,X,X,X,O,X
IOZLTJS,O,X,X,O,O,X
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,O,X,O,O,O,X
IOZLJST,O,O,O,X,X,X
IOZLSTJ,O,O,X,X,X,X
IOZLSJT,O,O,X,X,X,X
IOZJTLS,X,X,X,O,O,X
IOZJTSL,X,X,X,X,O,X
IOZJLTS,O,X,O,O,O,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,X,X,X,X,O,X
IOZJSLT,O,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X
IOZSTJL,X,X,X,X,O,X
IOZSLTJ,O,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X
IOZSJTL,X,X,X,X,O,O
IOZSJLT,O,X,X,X,X,O
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,O,X,X,X,X
LTIJZSO,O,X,X,X,X,X
LTIJZOS,O,X,X,X,O,X
LTIJOSZ,X,O,O,X,X,X
LTIJOZS,O,X,O,X,X,X
LTISJZO,X,O,X,X,X,X
LTISJOZ,X,O,X,X,X,X
LTISZJO,X,O,X,X,X,X
LTISZOJ,X,X,X,X,X,X
LTISOJZ,X,O,X,X,X,X
LTISOZJ,X,O,X,X,X,X
LTIZJSO,O,X,X,O,X,X
LTIZJOS,O,X,X,O,O,X
LTIZSJO,O,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,X
LTIZOJS,O,X,X,O,O,X
LTIZOSJ,O,X,X,X,X,X
LTIOJSZ,X,O,O,X,X,X
LTIOJZS,O,X,O,X,X,X
LTIOSJZ,X,O,X,X,X,X
LTIOSZJ,X,O,X,X,X,X
LTIOZJS,O,X,X,O,X,X
LTIOZSJ,O,X,X,X,X,X
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,X,X,X
LTJIZSO,O,X,X,X,X,X
LTJIZOS,O,X,X,X,O,X
LTJIOSZ,X,O,O,X,X,X
LTJIOZS,O,X,O,X,X,X
LTJSIZO,X,O,X,X,X,X
LTJSIOZ,X,O,O,X,X,X
LTJSZIO,X,O,X,X,X,X
LTJSZOI,X,X,X,X,X,X
LTJSOIZ,X,O,O,X,X,X
LTJSOZI,X,O,X,X,X,X
LTJZISO,O,X,X,O,X,X
LTJZIOS,O,X,X,O,O,X
LTJZSIO,O,X,X,O,X,X
LTJZSOI,O,X,X,O,X,X
LTJZOIS,O,X,X,O,O,X
LTJZOSI,O,X,X,O,X,X
LTJOISZ,X,O,O,X,X,X
LTJOIZS,O,X,O,X,X,X
LTJOSIZ,X,O,O,X,X,X
LTJOSZI,X,O,X,X,X,X
LTJOZIS,O,X,X,O,X,X
LTJOZSI,O,X,X,O,X,X
LTSIJZO,X,O,X,X,X,X
LTSIJOZ,X,O,O,X,X,X
LTSIZJO,X,O,X,X,X,X
LTSIZOJ,X,X,X,X,X,X
LTSIOJZ,X,O,O,X,X,X
LTSIOZJ,X,O,X,X,X,X
LTSJIZO,X,O,X,X,X,X
LTSJIOZ,X,O,O,X,X,X
LTSJZIO,X,O,X,X,X,X
LTSJZOI,X,X,X,X,X,X
LTSJOIZ,X,O,O,X,X,X
LTSJOZI,X,O,X,X,X,X
LTSZIJO,X,O,X,X,X,X
LTSZIOJ,X,X,X,X,X,X
LTSZJIO,X,O,X,O,X,X
LTSZJOI,X,X,X,O,X,X
LTSZOIJ,X,X,X,X,X,X
LTSZOJI,X,X,X,O,X,X
LTSOIJZ,X,O,O,X,X,X
LTSOIZJ,X,O,X,X,X,X
LTSOJIZ,X,O,O,X,X,X
LTSOJZI,X,O,X,X,X,X
LTSOZIJ,X,O,X,X,X,X
LTSOZJI,X,O,X,O,X,X
LTZIJSO,O,X,X,O,X,X
LTZIJOS,O,X,X,O,O,X
LTZISJO,O,X,X,X,X,X
LTZISOJ,O,X,X,X,X,X
LTZIOJS,O,X,X,O,O,X
LTZIOSJ,O,X,X,X,X,X
LTZJISO,O,X,X,O,X,X
LTZJIOS,O,X,X,O,O,X
LTZJSIO,O,X,X,O,X,X
LTZJSOI,O,X,X,O,X,X
LTZJOIS,O,X,X,O,O,X
LTZJOSI,O,X,X,O,X,X
LTZSIJO,O,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X
LTZSJIO,O,X,X,O,X,X
LTZSJOI,O,X,X,O,X,X
LTZSOIJ,O,X,X,X,X,X
LTZSOJI,O,X,X,O,X,X
LTZOIJS,O,X,X,O,O,X
LTZOISJ,O,X,X,X,X,X
LTZOJIS,O,X,X,O,O,X
LTZOJSI,O,X,X,O,X,X
LTZOSIJ,O,X,X,X,X,X
LTZOSJI,O,X,X,O,X,X
LTOIJSZ,X,O,O,X,X,X
LTOIJZS,O,X,O,X,X,X
LTOISJZ,X,O,X,X,X,X
LTOISZJ,X,O,X,X,X,X
LTOIZJS,O,X,X,O,X,X
LTOIZSJ,O,X,X,X,X,X
LTOJISZ,X,O,O,X,X,X
LTOJIZS,O,X,O,X,X,X
LTOJSIZ,X,O,O,X,X,X
LTOJSZI,X,O,X,X,X,X
LTOJZIS,O,X,X,O,X,X
LTOJZSI,O,X,X,O,X,X
LTOSIJZ,X,O,O,X,X,X
LTOSIZJ,X,O,X,X,X,X
LTOSJIZ,X,O,O,X,X,X
LTOSJZI,X,O,X,X,X,X
LTOSZIJ,X,O,X,X,X,X
LTOSZJI,X,O,X,O,X,X
LTOZIJS,O,X,X,O,X,X
LTOZISJ,O,X,X,X,X,X
LTOZJIS,O,X,X,O,X,X
LTOZJSI,O,X,X,O,X,X
LTOZSIJ,O,X,X,X,X,X
LTOZSJI,O,X,X,O,X,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,O,X,X,X,X,X
LITJZOS,O,X,X,X,O,X
LITJOSZ,X,O,O,X,X,X
LITJOZS,O,X,O,X,X,X
LITSJZO,X,O,X,X,X,X
LITSJOZ,X,O,X,X,X,X
LITSZJO,X,O,X,X,X,X
LITSZOJ,X,X,X,X,X,X
LITSOJZ,X,O,X,X,X,X
LITSOZJ,X,O,X,X,X,X
LITZJSO,O,X,X,O,X,X
LITZJOS,O,X,X,O,O,X
LITZSJO,O,X,X,X,X,X
LITZSOJ,O,X,X,X,X,X
LITZOJS,O,X,X,O,O,X
LITZOSJ,O,X,X,X,X,X
LITOJSZ,X,O,O,X,X,X
LITOJZS,O,X,O,X,X,X
LITOSJZ,X,O,X,X,X,X
LITOSZJ,X,O,X,X,X,X
LITOZJS,O,X,X,O,X,X
LITOZSJ,O,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X
LIJTZSO,O,X,X,X,X,X
LIJTZOS,O,X,X,X,O,X
LIJTOSZ,X,O,O,X,X,X
LIJTOZS,O,X,O,X,X,X
LIJSTZO,X,O,X,X,X,X
LIJSTOZ,X,O,O,X,X,X
LIJSZTO,O,O,X,X,X,X
LIJSZOT,O,O,O,X,X,X
LIJSOTZ,X,O,O,X,X,X
LIJSOZT,O,O,O,X,X,X
LIJZTSO,O,X,X,O,X,X
LIJZTOS,O,X,X,O,O,X
LIJZSTO,O,O,X,X,X,X
LIJZSOT,O,O,X,X,X,X
LIJZOTS,O,X,O,O,O,X
LIJZOST,O,O,O,X,X,X
LIJOTSZ,X,O,O,X,X,X
LIJOTZS,O,X,O,X,X,X
LIJOSTZ,X,O,O,X,X,X
LIJOSZT,O,O,O,X,X,X
LIJOZTS,O,X,O,O,X,X
LIJOZST,O,O,O,X,X,X
LISTJZO,X,O,X,X,X,X
LISTJOZ,X,O,O,X,X,X
LISTZJO,X,O,X,X,X,X
LISTZOJ,X,X,X,X,X,X
LISTOJZ,X,O,O,X,X,X
LISTOZJ,X,O,X,X,X,X
LISJTZO,X,O,X,X,X,X
LISJTOZ,X,O,O,X,X,X
LISJZTO,O,O,X,X,X,X
LISJZOT,O,O,O,X,X,O
LISJOTZ,X,O,O,X,X,X
LISJOZT,O,O,O,X,X,O
LISZTJO,O,O,X,X,X,X
LISZTOJ,O,X,X,X,X,X
LISZJTO,O,O,X,X,X,X
LISZJOT,O,O,O,X,X,X
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,O,O,X,X,X
LISOTJZ,X,O,O,X,X,X
LISOTZJ,X,O,X,X,X,X
LISOJTZ,X,O,O,X,X,X
LISOJZT,O,O,O,X,X,O
LISOZTJ,O,O,X,X,X,X
LISOZJT,O,O,O,X,X,X
LIZTJSO,O,X,X,O,X,X
LIZTJOS,O,X,X,O,O,X
LIZTSJO,O,X,X,X,X,X
LIZTSOJ,O,X,X,X,X,X
LIZTOJS,O,X,X,O,O,X
LIZTOSJ,O,X,X,X,X,X
LIZJTSO,O,X,X,O,X,X
LIZJTOS,O,X,X,O,O,X
LIZJSTO,O,O,X,X,X,X
LIZJSOT,O,O,X,X,X,X
LIZJOTS,O,X,O,O,O,X
LIZJOST,O,O,O,X,X,X
LIZSTJO,O,O,X,X,X,X
LIZSTOJ,O,X,X,X,X,X
LIZSJTO,O,O,X,X,X,X
LIZSJOT,O,O,X,X,X,X
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,O,X,X,X,X
LIZOTJS,O,X,X,O,O,X
LIZOTSJ,O,X,X,X,X,X
LIZOJTS,O,X,O,O,O,X
LIZOJST,O,O,O,X,X,X
LIZOSTJ,O,O,X,X,X,X
LIZOSJT,O,O,X,X,X,X
LIOTJSZ,X,O,O,X,X,X
LIOTJZS,O,X,O,X,X,X
LIOTSJZ,X,O,X,X,X,X
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,O,X,X,O,X,X
LIOTZSJ,O,X,X,X,X,X
LIOJTSZ,X,O,O,X,X,X
LIOJTZS,O,X,O,X,X,X
LIOJSTZ,X,O,O,X,X,X
LIOJSZT,O,O,O,X,X,X
LIOJZTS,O,X,O,O,X,X
LIOJZST,O,O,O,X,X,X
LIOSTJZ,X,O,O,X,X,X
LIOSTZJ,X,O,X,X,X,X
LIOSJTZ,X,O,O,X,X,X
LIOSJZT,O,O,O,X,X,O
LIOSZTJ,O,O,X,X,X,X
LIOSZJT,O,O,O,X,X,X
LIOZTJS,O,X,X,O,X,X
LIOZTSJ,O,X,X,X,X,X
LIOZJTS,O,X,O,O,X,X
LIOZJST,O,O,O,X,X,X
LIOZSTJ,O,O,X,X,X,X
LIOZSJT,O,O,X,X,X,X
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,O,X,X,X,X,X
LJTIZOS,O,X,X,X,O,X
LJTIOSZ,X,O,O,X,X,X
LJTIOZS,O,X,O,X,X,X
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,O,O,X,X,X
LJTSZIO,X,O,X,X,X,X
LJTSZOI,X,X,X,X,X,X
LJTSOIZ,X,O,O,X,X,X
LJTSOZI,X,O,X,X,X,X
LJTZISO,O,X,X,O,X,X
LJTZIOS,O,X,X,O,O,X
LJTZSIO,O,X,X,O,X,X
LJTZSOI,O,X,X,O,X,X
LJTZOIS,O,X,X,O,O,X
LJTZOSI,O,X,X,O,X,X
LJTOISZ,X,O,O,X,X,X
LJTOIZS,O,X,O,X,X,X
LJTOSIZ,X,O,O,X,X,X
LJTOSZI,X,O,X,X,X,X
LJTOZIS,O,X,X,O,X,X
LJTOZSI,O,X,X,O,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,O,X,X,X,X,X
LJITZOS,O,X,X,X,O,X
LJITOSZ,X,O,O,X,X,X
LJITOZS,O,X,O,X,X,X
LJISTZO,X,O,X,X,X,X
LJISTOZ,X,O,O,X,X,X
LJISZTO,O,O,X,X,X,X
LJISZOT,O,O,O,X,X,X
LJISOTZ,X,O,O,X,X,X
LJISOZT,O,O,O,X,X,X
LJIZTSO,O,X,X,O,X,X
LJIZTOS,O,X,X,O,O,X
LJIZSTO,O,O,X,X,X,X
LJIZSOT,O,O,X,X,X,X
LJIZOTS,O,X,O,O,O,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,X,O,O,X,X,X
LJIOTZS,O,X,O,X,X,X
LJIOSTZ,X,O,O,X,X,X
LJIOSZT,O,O,O,X,X,X
LJIOZTS,O,X,O,O,X,X
LJIOZST,O,O,O,X,X,X
LJSTIZO,X,O,X,X,X,X
LJSTIOZ,X,O,O,X,X,X
LJSTZIO,X,O,X,X,X,X
LJSTZOI,X,X,X,X,X,X
LJSTOIZ,X,O,O,X,X,X
LJSTOZI,X,O,X,X,X,X
LJSITZO,X,O,X,X,X,X
LJSITOZ,X,O,O,X,X,X
LJSIZTO,O,O,X,X,X,X
LJSIZOT,O,O,O,X,X,O
LJSIOTZ,X,O,O,X,X,X
LJSIOZT,O,O,O,X,X,O
LJSZTIO,O,O,X,O,X,X
LJSZTOI,O,X,X,O,X,X
LJSZITO,O,O,X,X,X,X
LJSZIOT,O,O,O,X,X,O
LJSZOTI,O,O,X,O,X,X
LJSZOIT,O,O,O,X,X,O
LJSOTIZ,X,O,O,X,X,X
LJSOTZI,X,O,X,X,X,X
LJSOITZ,X,O,O,X,X,X
LJSOIZT,O,O,O,X,X,O
LJSOZTI,O,O,X,O,X,X
LJSOZIT,O,O,O,X,X,O
LJZTISO,O,X,X,O,X,X
LJZTIOS,O,X,X,O,O,X
LJZTSIO,O,X,X,O,X,X
LJZTSOI,O,X,X,O,X,X
LJZTOIS,O,X,X,O,O,X
LJZTOSI,O,X,X,O,X,X
LJZITSO,O,X,X,O,X,X
LJZITOS,O,X,X,O,O,X
LJZISTO,O,O,X,X,X,X
LJZISOT,O,O,X,X,X,X
LJZIOTS,O,X,O,O,O,X
LJZIOST,O,O,O,X,X,X
LJZSTIO,O,O,X,O,X,X
LJZSTOI,O,X,X,O,X,X
LJZSITO,O,O,X,X,X,X
LJZSIOT,O,O,O,X,X,O
LJZSOTI,O,O,X,O,X,X
LJZSOIT,O,O,O,X,X,O
LJZOTIS,O,X,X,O,O,X
LJZOTSI,O,X,X,O,X,X
LJZOITS,O,X,O,O,O,X
LJZOIST,O,O,O,X,X,X
LJZOSTI,O,O,X,O,X,X
LJZOSIT,O,O,O,X,X,O
LJOTISZ,X,O,O,X,X,X
LJOTIZS,O,X,O,X,X,X
LJOTSIZ,X,O,O,X,X,X
LJOTSZI,X,O,X,X,X,X
LJOTZIS,O,X,X,O,X,X
LJOTZSI,O,X,X,O,X,X
LJOITSZ,X,O,O,X,X,X
LJOITZS,O,X,O,X,X,X
LJOISTZ,X,O,O,X,X,X
LJOISZT,O,O,O,X,X,X
LJOIZTS,O,X,O,O,X,X
LJOIZST,O,O,O,X,X,X
LJOSTIZ,X,O,O,X,X,X
LJOSTZI,X,O,X,X,X,X
LJOSITZ,X,O,O,X,X,X
LJOSIZT,O,O,O,X,X,O
LJOSZTI,O,O,X,O,X,X
LJOSZIT,O,O,O,X,X,O
LJOZTIS,O,X,X,O,X,X
LJOZTSI,O,X,X,O,X,X
LJOZITS,O,X,O,O,X,X
LJOZIST,O,O,O,X,X,X
LJOZSTI,O,O,X,O,X,X
LJOZSIT,O,O,O,X,X,O
LSTIJZO,X,O,X,X,X,X
LSTIJOZ,X,O,O,X,X,X
LSTIZJO,X,O,X,X,X,X
LSTIZOJ,X,X,X,X,X,X
LSTIOJZ,X,O,O,X,X,X
LSTIOZJ,X,O,X,X,X,X
LSTJIZO,X,O,X,X,X,X
LSTJIOZ,X,O,O,X,X,X
LSTJZIO,X,O,X,X,X,X
LSTJZOI,X,X,X,X,X,X
LSTJOIZ,X,O,O,X,X,X
LSTJOZI,X,O,X,X,X,X
LSTZIJO,X,O,X,X,X,X
LSTZIOJ,X,X,X,X,X,X
LSTZJIO,X,O,X,O,X,X
LSTZJOI,X,X,X,O,X,X
LSTZOIJ,X,X,X,X,X,X
LSTZOJI,X,X,X,O,X,X
LSTOIJZ,X,O,O,X,X,X
LSTOIZJ,X,O,X,X,X,X
LSTOJIZ,X,O,O,X,X,X
LSTOJZI,X,O,X,X,X,X
LSTOZIJ,X,O,X,X,X,X
LSTOZJI,X,O,X,O,X,X
LSITJZO,X,O,X,X,X,X
LSITJOZ,X,O,O,X,X,X
LSITZJO,X,O,X,X,X,X
LSITZOJ,X,X,X,X,X,X
LSITOJZ,X,O,O,X,X,X
LSITOZJ,X,O,X,X,X,X
LSIJTZO,X,O,X,X,X,X
LSIJTOZ,X,O,O,X,X,X
LSIJZTO,O,O,X,X,X,X
LSIJZOT,O,O,O,X,X,O
LSIJOTZ,X,O,O,X,X,X
LSIJOZT,O,O,O,X,X,O
LSIZTJO,O,O,X,X,X,X
LSIZTOJ,O,X,X,X,X,X
LSIZJTO,O,O,X,X,X,X
LSIZJOT,O,O,O,X,X,X
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,O,O,X,X,X
LSIOTJZ,X,O,O,X,X,X
LSIOTZJ,X,O,X,X,X,X
LSIOJTZ,X,O,O,X,X,X
LSIOJZT,O,O,O,X,X,O
LSIOZTJ,O,O,X,X,X,X
LSIOZJT,O,O,O,X,X,X
LSJTIZO,X,O,X,X,X,X
LSJTIOZ,X,O,O,X,X,X
LSJTZIO,X,O,X,X,X,X
LSJTZOI,X,X,X,X,X,X
LSJTOIZ,X,O,O,X,X,X
LSJTOZI,X,O,X,X,X,X
LSJITZO,X,O,X,X,X,X
LSJITOZ,X,O,O,X,X,X
LSJIZTO,O,O,X,X,X,X
LSJIZOT,O,O,O,X,X,O
LSJIOTZ,X,O,O,X,X,X
LSJIOZT,O,O,O,X,X,O
LSJZTIO,O,O,X,O,X,X
LSJZTOI,O,X,X,O,X,X
LSJZITO,O,O,X,X,X,X
LSJZIOT,O,O,O,X,X,O
LSJZOTI,O,O,X,O,X,X
LSJZOIT,O,O,O,X,X,O
LSJOTIZ,X,O,O,X,X,X
LSJOTZI,X,O,X,X,X,X
LSJOITZ,X,O,O,X,X,X
LSJOIZT,O,O,O,X,X,O
LSJOZTI,O,O,X,O,X,X
LSJOZIT,O,O,O,X,X,O
LSZTIJO,O,O,X,X,X,X
LSZTIOJ,O,X,X,X,X,X
LSZTJIO,O,O,X,O,X,X
LSZTJOI,O,X,X,O,X,X
LSZTOIJ,O,X,X,X,X,X
LSZTOJI,O,X,X,O,X,X
LSZITJO,O,O,X,X,X,X
LSZITOJ,O,X,X,X,X,X
LSZIJTO,O,O,X,X,X,X
LSZIJOT,O,O,O,X,X,X
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,O,O,X,X,X
LSZJTIO,O,O,X,O,X,X
LSZJTOI,O,X,X,O,X,X
LSZJITO,O,O,X,X,X,X
LSZJIOT,O,O,O,X,X,X
LSZJOTI,O,O,X,O,X,X
LSZJOIT,O,O,O,X,X,X
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,O,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,O,O,X,X,X
LSZOJTI,O,O,X,O,X,X
LSZOJIT,O,O,O,X,X,X
LSOTIJZ,X,O,O,X,X,X
LSOTIZJ,X,O,X,X,X,X
LSOTJIZ,X,O,O,X,X,X
LSOTJZI,X,O,X,X,X,X
LSOTZIJ,X,O,X,X,X,X
LSOTZJI,X,O,X,O,X,X
LSOITJZ,X,O,O,X,X,X
LSOITZJ,X,O,X,X,X,X
LSOIJTZ,X,O,O,X,X,X
LSOIJZT,O,O,O,X,X,O
LSOIZTJ,O,O,X,X,X,X
LSOIZJT,O,O,O,X,X,X
LSOJTIZ,X,O,O,X,X,X
LSOJTZI,X,O,X,X,X,X
LSOJITZ,X,O,O,X,X,X
LSOJIZT,O,O,O,X,X,O
LSOJZTI,O,O,X,O,X,X
LSOJZIT,O,O,O,X,X,O
LSOZTIJ,O,O,X,X,X,X
LSOZTJI,O,O,X,O,X,X
LSOZITJ,O,O,X,X,X,X
LSOZIJT,O,O,O,X,X,X
LSOZJTI,O,O,X,O,X,X
LSOZJIT,O,O,O,X,X,X
LZTIJSO,O,X,X,O,X,X
LZTIJOS,O,X,X,O,O,X
LZTISJO,O,X,X,X,X,X
LZTISOJ,O,X,X,X,X,X
LZTIOJS,O,X,X,O,O,X
LZTIOSJ,O,X,X,X,X,X
LZTJISO,O,X,X,O,X,X
LZTJIOS,O,X,X,O,O,X
LZTJSIO,O,X,X,O,X,X
LZTJSOI,O,X,X,O,X,X
LZTJOIS,O,X,X,O,O,X
LZTJOSI,O,X,X,O,X,X
LZTSIJO,O,X,X,X,X,X
LZTSIOJ,O,X,X,X,X,X
LZTSJIO,O,X,X,O,X,X
LZTSJOI,O,X,X,O,X,X
LZTSOIJ,O,X,X,X,X,X
LZTSOJI,O,X,X,O,X,X
LZTOIJS,O,X,X,O,O,X
LZTOISJ,O,X,X,X,X,X
LZTOJIS,O,X,X,O,O,X
LZTOJSI,O,X,X,O,X,X
LZTOSIJ,O,X,X,X,X,X
LZTOSJI,O,X,X,O,X,X
LZITJSO,O,X,X,O,X,X
LZITJOS,O,X,X,O,O,X
LZITSJO,O,X,X,X,X,X
LZITSOJ,O,X,X,X,X,X
LZITOJS,O,X,X,O,O,X
LZITOSJ,O,X,X,X,X,X
LZIJTSO,O,X,X,O,X,X
LZIJTOS,O,X,X,O,O,X
LZIJSTO,O,O,X,X,X,X
LZIJSOT,O,O,X,X,X,X
LZIJOTS,O,X,O,O,O,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,O,X,X,X,X
LZISTOJ,O,X,X,X,X,X
LZISJTO,O,O,X,X,X,X
LZISJOT,O,O,X,X,X,X
LZISOTJ,O,O,X,X,X,X
LZISOJT,O,O,X,X,X,X
LZIOTJS,O,X,X,O,O,X
LZIOTSJ,O,X,X,X,X,X
LZIOJTS,O,X,O,O,O,X
LZIOJST,O,O,O,X,X,X
LZIOSTJ,O,O,X,X,X,X
LZIOSJT,O,O,X,X,X,X
LZJTISO,O,X,X,O,X,X
LZJTIOS,O,X,X,O,O,X
LZJTSIO,O,X,X,O,X,X
LZJTSOI,O,X,X,O,X,X
LZJTOIS,O,X,X,O,O,X
LZJTOSI,O,X,X,O,X,X
LZJITSO,O,X,X,O,X,X
LZJITOS,O,X,X,O,O,X
LZJISTO,O,O,X,X,X,X
LZJISOT,O,O,X,X,X,X
LZJIOTS,O,X,O,O,O,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,O,X,O,X,X
LZJSTOI,O,X,X,O,X,X
LZJSITO,O,O,X,X,X,X
LZJSIOT,O,O,O,X,X,X
LZJSOTI,O,O,X,O,X,X
LZJSOIT,O,O,O,X,X,X
LZJOTIS,O,X,X,O,O,X
LZJOTSI,O,X,X,O,X,X
LZJOITS,O,X,O,O,O,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,O,X,O,X,X
LZJOSIT,O,O,O,X,X,X
LZSTIJO,O,O,X,X,X,X
LZSTIOJ,O,X,X,X,X,X
LZSTJIO,O,O,X,O,X,X
LZSTJOI,O,X,X,O,X,X
LZSTOIJ,O,X,X,X,X,X
LZSTOJI,O,X,X,O,X,X
LZSITJO,O,O,X,X,X,X
LZSITOJ,O,X,X,X,X,X
LZSIJTO,O,O,X,X,X,X
LZSIJOT,O,O,O,X,X,X
LZSIOTJ,O,O,X,X,X,X
LZSIOJT,O,O,O,X,X,X
LZSJTIO,O,O,X,O,X,X
LZSJTOI,O,X,X,O,X,X
LZSJITO,O,O,X,X,X,X
LZSJIOT,O,O,O,X,X,X
LZSJOTI,O,O,X,O,X,X
LZSJOIT,O,O,O,X,X,X
LZSOTIJ,O,O,X,X,X,X
LZSOTJI,O,O,X,O,X,X
LZSOITJ,O,O,X,X,X,X
LZSOIJT,O,O,O,X,X,X
LZSOJTI,O,O,X,O,X,X
LZSOJIT,O,O,O,X,X,X
LZOTIJS,O,X,X,O,O,X
LZOTISJ,O,X,X,X,X,X
LZOTJIS,O,X,X,O,O,X
LZOTJSI,O,X,X,O,X,X
LZOTSIJ,O,X,X,X,X,X
LZOTSJI,O,X,X,O,X,X
LZOITJS,O,X,X,O,O,X
LZOITSJ,O,X,X,X,X,X
LZOIJTS,O,X,O,O,O,X
LZOIJST,O,O,O,X,X,X
LZOISTJ,O,O,X,X,X,X
LZOISJT,O,O,X,X,X,X
LZOJTIS,O,X,X,O,O,X
LZOJTSI,O,X,X,O,X,X
LZOJITS,O,X,O,O,O,X
LZOJIST,O,O,O,X,X,X
LZOJSTI,O,O,X,O,X,X
LZOJSIT,O,O,O,X,X,X
LZOSTIJ,O,O,X,X,X,X
LZOSTJI,O,O,X,O,X,X
LZOSITJ,O,O,X,X,X,X
LZOSIJT,O,O,O,X,X,X
LZOSJTI,O,O,X,O,X,X
