sequence,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBUhBFiBXjBStBmrB,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBamBUiBGjBfsBVyB,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBamBFiB8nB+oBfsB
TJOZILS,O,O,O
TJOZISL,O,O,O
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,O
TJOZSLI,O,O,O
TSILJZO,X,O,O
TSILJOZ,X,O,O
TSILZJO,X,O,X
TSILZOJ,X,O,X
TSILOJZ,X,O,O
TSILOZJ,X,O,X
TSIJLZO,X,O,O
TSIJLOZ,X,O,O
TSIJZLO,X,O,O
TSIJZOL,X,O,O
TSIJOLZ,X,O,O
TSIJOZL,X,O,O
TSIZLJO,X,O,X
TSIZLOJ,X,O,X
TSIZJLO,X,O,X
TSIZJOL,X,O,X
TSIZOLJ,X,O,X
TSIZOJL,X,O,X
TSIOLJZ,X,O,O
TSIOLZJ,X,O,X
TSIOJLZ,X,O,O
TSIOJZL,X,O,O
TSIOZLJ,X,O,X
TSIOZJL,X,O,X
TSLIJZO,X,O,O
TSLIJOZ,X,O,O
TSLIZJO,X,O,X
TSLIZOJ,X,O,X
TSLIOJZ,X,O,O
TSLIOZJ,X,O,X
TSLJIZO,X,O,O
TSLJIOZ,X,O,O
TSLJZIO,X,O,O
TSLJZOI,X,O,O
TSLJOIZ,X,O,O
TSLJOZI,X,O,O
TSLZIJO,X,O,X
TSLZIOJ,X,O,X
TSLZJIO,X,O,X
TSLZJOI,X,O,X
TSLZOIJ,X,O,X
TSLZOJI,X,O,X
TSLOIJZ,X,O,O
TSLOIZJ,X,O,X
TSLOJIZ,X,O,O
TSLOJZI,X,O,O
TSLOZIJ,X,O,X
TSLOZJI,X,O,X
TSJILZO,X,O,O
TSJILOZ,X,O,O
TSJIZLO,X,O,O
TSJIZOL,X,O,O
TSJIOLZ,X,O,O
TSJIOZL,X,O,O
TSJLIZO,X,O,O
TSJLIOZ,X,O,O
TSJLZIO,X,O,O
TSJLZOI,X,O,O
TSJLOIZ,X,O,O
TSJLOZI,X,O,O
TSJZILO,X,O,O
TSJZIOL,X,O,O
TSJZLIO,X,O,O
TSJZLOI,X,O,O
TSJZOIL,X,O,O
TSJZOLI,X,O,O
TSJOILZ,X,O,O
TSJOIZL,X,O,O
TSJOLIZ,X,O,O
TSJOLZI,X,O,O
TSJOZIL,X,O,O
TSJOZLI,X,O,O
TSZILJO,X,O,X
TSZILOJ,X,O,X
TSZIJLO,X,O,X
TSZIJOL,X,O,X
TSZIOLJ,X,O,X
TSZIOJL,X,O,X
TSZLIJO,X,O,X
TSZLIOJ,X,O,X
TSZLJIO,X,O,X
TSZLJOI,X,O,X
TSZLOIJ,X,O,X
TSZLOJI,X,O,X
TSZJILO,X,O,X
TSZJIOL,X,O,X
TSZJLIO,X,O,X
TSZJLOI,X,O,X
TSZJOIL,X,O,X
TSZJOLI,X,O,X
TSZOILJ,X,O,X
TSZOIJL,X,O,X
TSZOLIJ,X,O,X
TSZOLJI,X,O,X
TSZOJIL,X,O,X
TSZOJLI,X,O,X
TSOILJZ,X,O,O
TSOILZJ,X,O,X
