sequence,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhFxgBXiBVqBUmB2u?BywB,v115@FhB8GeC8GeC8CeA8CeC8JeZEJvhFUgBFhBXiBqpBmq?BzrB,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhF0gBxhBVqB3mB2u?BywB,v115@FhB8GeC8GeC8CeA8CeC8JeZFJvhFzgBFiBOpBfsB6p?BUrB,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhFxhBllBcrBesBip?BXqB,v115@FhB8GeC8GeC8CeA8CeC8Je2EJvhFRgBFiBcqBKrBfs?BTpB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBOpBllBzpBir?BXsB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhFThBOnBKpBfqB0l?B1wB,v115@FhB8GeC8GeC8CeA8CeC8JeZEJvhF0hBfqBllBOsBTr?BCqB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBKpBfqBllBOs?BTrB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBllBmpBirBTp?BXsB
TIZJOSL,O,X,O,O,X,X,O,X,X,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,O,X,X,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,O,X,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,X,O,X,X,X,X
TIZOJSL,O,X,O,O,X,X,O,X,X,X,X
TIZOSLJ,O,X,O,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,O,O,X,X,X
TIOLJZS,O,O,O,X,X,X,O,O,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,O,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,O,X,X,X
TIOLZJS,O,O,O,X,X,X,O,O,X,X,X
TIOLZSJ,O,O,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,O,X,X,X
TIOJLZS,O,X,O,X,X,X,O,O,X,X,X
TIOJSLZ,O,X,X,X,X,X,O,X,X,X,X
TIOJSZL,O,X,O,O,X,X,O,X,X,X,X
TIOJZLS,O,X,O,X,X,X,O,X,X,X,X
TIOJZSL,O,X,O,X,X,X,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,O,X,X,O,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,O,X,X
TIOSZLJ,O,O,O,O,X,X,X,X,O,X,X
TIOSZJL,O,X,X,O,X,X,X,X,O,X,X
TIOZLJS,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,O,X,X,X,X
TIOZJSL,O,X,O,X,X,X,O,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,O,X,X
TIOZSJL,O,X,X,X,X,X,X,X,O,X,X
TLIJSZO,O,O,O,O,X,X,X,O,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,O,X,X,X
TLIJZSO,O,O,O,X,O,X,X,O,X,X,X
TLIJZOS,O,O,O,X,O,X,O,O,X,X,O
TLIJOSZ,O,O,O,X,X,X,X,O,X,X,O
TLIJOZS,O,O,O,X,O,X,X,O,X,X,O
TLISJZO,O,O,O,O,X,X,X,O,X,O,X
TLISJOZ,O,O,O,X,X,X,X,O,X,O,X
TLISZJO,O,O,O,O,X,X,X,O,X,O,X
TLISZOJ,O,O,O,O,X,X,X,O,X,O,X
TLISOJZ,O,X,O,X,X,X,X,O,X,O,X
TLISOZJ,O,O,O,X,X,X,X,O,X,O,X
TLIZJSO,O,O,O,X,X,X,X,O,X,X,X
TLIZJOS,O,O,O,X,X,X,O,O,X,X,O
TLIZSJO,O,O,O,X,X,X,X,O,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,O,X,X,X
TLIZOJS,O,O,O,X,X,X,O,O,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,O,X,X,X,O,O,X,X,X
TLIOJZS,O,O,O,X,O,X,O,O,X,X,X
TLIOSJZ,O,O,O,X,X,X,X,O,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,O,X,X,X
TLIOZJS,O,O,O,X,X,X,O,O,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,O,X,X,X,O,X,X,X
TLJISOZ,O,O,O,X,X,X,X,O,X,X,X
TLJIZSO,O,O,O,X,O,X,X,O,X,X,X
TLJIZOS,O,O,O,X,O,X,O,O,X,X,O
TLJIOSZ,O,O,O,X,X,X,X,O,X,X,O
TLJIOZS,O,O,O,X,O,X,X,O,X,X,O
TLJSIZO,O,O,O,O,X,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,O,X,X,X
TLJSZIO,O,O,O,X,X,X,X,O,X,X,X
TLJSZOI,O,O,O,X,X,X,O,O,X,X,O
TLJSOIZ,O,O,O,X,X,X,X,O,X,X,O
TLJSOZI,O,O,O,X,X,X,X,O,X,X,O
TLJZISO,O,O,O,X,O,X,X,O,X,X,X
TLJZIOS,O,O,O,X,O,X,O,O,X,X,O
TLJZSIO,O,O,O,X,O,X,X,O,X,X,X
TLJZSOI,O,O,O,X,O,X,O,O,X,X,O
TLJZOIS,O,O,O,X,O,X,O,O,X,X,O
TLJZOSI,O,O,O,X,O,X,O,O,X,X,O
TLJOISZ,O,O,O,X,X,X,O,O,X,X,O
TLJOIZS,O,O,O,X,O,X,O,O,X,X,O
TLJOSIZ,O,O,O,X,X,X,O,O,X,X,O
TLJOSZI,O,O,O,X,X,X,O,O,X,X,O
TLJOZIS,O,O,O,X,O,X,O,O,X,X,O
TLJOZSI,O,O,O,X,O,X,O,O,X,X,O
TLSIJZO,O,O,O,O,X,X,X,O,X,O,X
TLSIJOZ,O,O,O,X,X,X,X,O,X,O,X
TLSIZJO,O,O,O,O,X,O,X,O,X,O,X
TLSIZOJ,O,O,O,O,X,O,X,O,X,O,X
TLSIOJZ,O,X,O,X,X,X,X,O,X,O,X
TLSIOZJ,O,O,O,X,X,O,X,O,O,O,X
TLSJIZO,O,O,O,O,X,X,X,O,X,O,X
TLSJIOZ,O,O,O,X,X,X,X,O,X,O,X
TLSJZIO,O,O,O,X,X,O,X,O,X,O,X
TLSJZOI,O,O,O,X,X,O,O,O,X,O,O
TLSJOIZ,O,O,O,X,X,X,X,O,X,O,O
TLSJOZI,O,O,O,X,X,O,X,O,X,O,O
TLSZIJO,O,O,O,X,X,O,X,O,X,O,X
TLSZIOJ,O,O,O,X,X,O,X,O,X,O,X
TLSZJIO,O,O,O,X,X,O,X,O,X,O,X
TLSZJOI,O,O,O,X,X,O,O,O,X,O,O
TLSZOIJ,O,O,O,X,X,O,X,O,X,O,X
TLSZOJI,O,X,O,X,X,O,O,O,X,O,X
TLSOIJZ,O,X,O,X,X,X,X,O,X,O,X
TLSOIZJ,O,O,O,X,X,O,X,O,O,O,X
TLSOJIZ,O,X,O,X,X,X,O,O,X,O,X
TLSOJZI,O,X,O,X,X,O,O,O,X,O,X
TLSOZIJ,O,O,O,X,X,O,X,O,O,O,X
TLSOZJI,O,X,O,X,X,O,O,O,X,O,X
TLZIJSO,O,O,O,X,X,O,X,O,X,X,X
TLZIJOS,O,O,O,X,X,X,O,O,X,X,O
TLZISJO,O,O,O,X,X,O,X,O,X,X,X
TLZISOJ,O,O,O,X,X,O,X,O,X,X,X
TLZIOJS,O,O,O,X,X,X,O,O,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,O,X,O,X,X,X
TLZJIOS,O,O,O,X,X,X,O,O,X,X,O
TLZJSIO,O,O,O,X,X,O,X,O,X,X,X
TLZJSOI,O,O,O,X,X,O,O,O,X,X,O
TLZJOIS,O,O,O,X,X,X,O,O,X,X,O
TLZJOSI,O,O,O,X,X,X,O,O,X,X,O
TLZSIJO,O,O,O,X,X,O,X,O,X,X,X
TLZSIOJ,O,O,O,X,X,O,X,O,X,X,X
TLZSJIO,O,O,O,X,X,O,X,O,X,X,X
TLZSJOI,O,O,O,X,X,O,O,O,X,X,O
TLZSOIJ,O,O,O,X,X,O,X,O,X,X,X
TLZSOJI,O,X,O,X,X,O,O,O,X,X,X
TLZOIJS,O,O,O,X,X,O,O,O,X,X,X
TLZOISJ,O,O,O,X,X,O,X,X,X,X,X
TLZOJIS,O,O,O,X,X,O,O,O,X,X,O
TLZOJSI,O,O,O,X,X,O,O,O,X,X,O
TLZOSIJ,O,O,O,X,X,O,X,O,X,X,X
TLZOSJI,O,O,O,X,X,O,O,O,X,X,X
TLOIJSZ,O,O,O,X,X,X,O,O,X,X,X
TLOIJZS,O,O,O,X,O,X,O,O,X,X,X
TLOISJZ,O,O,O,X,X,X,X,O,X,X,X
TLOISZJ,O,O,O,X,X,X,X,O,X,X,X
TLOIZJS,O,O,O,X,X,X,O,O,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,O,O,X,X,O
TLOJIZS,O,O,O,X,O,X,O,O,X,X,O
TLOJSIZ,O,O,O,X,X,X,O,O,X,X,O
TLOJSZI,O,O,O,X,X,X,O,O,X,X,O
TLOJZIS,O,O,O,X,O,X,O,O,X,X,O
TLOJZSI,O,O,O,X,O,X,O,O,X,X,O
TLOSIJZ,O,O,O,X,X,X,X,O,X,O,X
TLOSIZJ,O,O,O,X,X,O,X,O,O,O,X
TLOSJIZ,O,O,O,X,X,X,O,O,X,O,X
TLOSJZI,O,O,O,X,X,O,O,O,X,O,X
TLOSZIJ,O,O,O,X,X,O,X,O,O,O,X
TLOSZJI,O,O,O,X,X,O,O,O,X,O,X
TLOZIJS,O,O,O,X,X,O,O,O,X,X,X
TLOZISJ,O,O,O,X,X,O,X,X,X,X,X
TLOZJIS,O,O,O,X,X,O,O,O,X,X,O
TLOZJSI,O,O,O,X,X,O,O,O,X,X,O
TLOZSIJ,O,O,O,X,X,O,X,O,O,O,X
TLOZSJI,O,O,O,X,X,O,O,O,X,O,X
TJILSZO,O,O,O,O,X,X,X,O,X,X,X
TJILSOZ,O,O,O,X,X,X,X,O,X,X,X
TJILZSO,O,O,O,X,O,X,X,O,X,X,X
TJILZOS,O,O,O,X,O,X,O,O,X,X,O
TJILOSZ,O,O,O,X,X,X,X,O,X,X,O
TJILOZS,O,O,O,X,O,X,X,O,X,X,O
TJISLZO,O,O,X,O,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,O,X,X,X,X,X,X,X
TJISZOL,O,X,O,O,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,O,X,X,X,X,X,X,X
TJIZLSO,O,X,O,X,O,X,X,X,X,X,X
TJIZLOS,O,X,O,X,O,X,O,X,X,X,X
TJIZSLO,O,X,X,O,O,X,X,X,X,X,X
TJIZSOL,O,X,O,O,X,X,X,X,X,X,X
TJIZOLS,O,X,O,X,O,X,O,X,X,X,X
TJIZOSL,O,X,O,O,X,X,O,X,X,X,X
TJIOLSZ,O,X,O,X,X,X,X,O,X,X,X
TJIOLZS,O,X,O,X,X,X,X,O,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,O,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,X,O,X,X,X
TJLISOZ,O,O,O,X,X,X,X,O,X,X,X
TJLIZSO,O,O,O,X,O,X,X,O,X,X,X
TJLIZOS,O,O,O,X,O,X,O,O,X,X,O
TJLIOSZ,O,O,O,X,X,X,X,O,X,X,O
TJLIOZS,O,O,O,X,O,X,X,O,X,X,O
TJLSIZO,O,O,O,O,X,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,O,X,X,X
TJLSZIO,O,O,O,X,X,X,X,O,X,X,X
TJLSZOI,O,O,O,X,X,X,O,O,X,X,O
TJLSOIZ,O,O,O,X,X,X,X,O,X,X,O
TJLSOZI,O,O,O,X,X,X,X,O,X,X,O
TJLZISO,O,O,O,X,O,X,X,O,X,X,X
TJLZIOS,O,O,O,X,O,X,O,O,X,X,O
TJLZSIO,O,O,O,X,O,X,X,O,X,X,X
TJLZSOI,O,O,O,X,O,X,O,O,X,X,O
TJLZOIS,O,O,O,X,O,X,O,O,X,X,O
TJLZOSI,O,O,O,X,O,X,O,O,X,X,O
TJLOISZ,O,O,O,X,X,X,O,O,X,X,O
TJLOIZS,O,O,O,X,O,X,O,O,X,X,O
TJLOSIZ,O,O,O,X,X,X,O,O,X,X,O
TJLOSZI,O,O,O,X,X,X,O,O,X,X,O
TJLOZIS,O,O,O,X,O,X,O,O,X,X,O
TJLOZSI,O,O,O,X,O,X,O,O,X,X,O
TJSILZO,O,O,X,O,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,X,X,X
TJSIZOL,O,X,O,O,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,O,X,X,X,X,O,X,X
TJSLIZO,O,O,O,O,X,X,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,X,X,O,X,X,X
TJSLZIO,O,O,O,X,X,O,X,O,X,X,X
TJSLZOI,O,O,O,X,X,O,O,O,X,X,O
TJSLOIZ,O,O,O,X,X,X,X,O,X,X,O
TJSLOZI,O,O,O,X,X,O,X,O,X,X,O
TJSZILO,O,X,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,O,O,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,O,X,X,X,X
TJSZOIL,O,X,O,X,X,X,O,X,X,X,X
TJSZOLI,O,X,O,X,X,X,O,X,X,X,X
TJSOILZ,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,O,X,X,X,X,O,X,X
TJSOLIZ,O,O,O,X,X,X,X,O,X,X,X
TJSOLZI,O,O,O,X,X,O,X,O,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,O,X,X
TJSOZLI,O,X,O,X,X,X,X,X,X,X,X
TJZILSO,O,X,O,X,O,X,X,X,X,X,X
TJZILOS,O,X,O,X,O,X,O,X,X,X,X
TJZISLO,O,X,X,O,O,X,X,X,X,X,X
TJZISOL,O,X,O,O,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,O,X,O,X,X,X,X
TJZIOSL,O,X,O,O,X,X,O,X,X,X,X
TJZLISO,O,O,O,X,O,X,X,O,X,X,X
TJZLIOS,O,O,O,X,O,X,O,O,X,X,O
TJZLSIO,O,O,O,X,O,X,X,O,X,X,X
TJZLSOI,O,O,O,X,O,X,O,O,X,X,O
TJZLOIS,O,O,O,X,O,X,O,O,X,X,O
TJZLOSI,O,O,O,X,O,X,O,O,X,X,O
TJZSILO,O,X,X,O,O,X,X,X,X,X,X
TJZSIOL,O,X,O,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,X,X,X,X,X,X
TJZSLOI,O,O,O,O,O,X,O,X,X,X,X
TJZSOIL,O,X,O,O,X,X,O,X,X,X,X
TJZSOLI,O,X,O,O,X,X,O,X,X,X,X
TJZOILS,O,X,O,X,O,X,O,X,X,X,X
TJZOISL,O,X,O,O,X,X,O,X,X,X,X
TJZOLIS,O,X,O,X,O,X,O,O,X,X,X
TJZOLSI,O,X,O,X,O,X,O,O,X,X,X
TJZOSIL,O,X,O,O,X,X,O,X,X,X,X
TJZOSLI,O,X,O,O,X,X,O,X,X,X,X
TJOILSZ,O,O,O,X,X,X,O,O,X,X,X
TJOILZS,O,O,O,X,X,X,O,O,X,X,X
TJOISLZ,O,O,X,X,X,X,O,X,X,X,X
TJOISZL,O,X,O,O,X,X,O,X,X,X,X
TJOIZLS,O,X,O,X,X,X,O,X,X,X,X
TJOIZSL,O,X,O,X,X,X,O,X,X,X,X
TJOLISZ,O,O,O,X,X,X,O,O,X,X,O
TJOLIZS,O,O,O,X,X,X,O,O,X,X,O
TJOLSIZ,O,O,O,X,X,X,O,O,X,X,O
TJOLSZI,O,O,O,X,X,X,O,O,X,X,O
TJOLZIS,O,O,O,X,X,X,O,O,X,X,O
TJOLZSI,O,O,O,X,X,X,O,O,X,X,O
TJOSILZ,O,O,X,X,X,X,O,X,X,X,X
TJOSIZL,O,X,O,O,X,X,O,X,O,X,X
TJOSLIZ,O,O,O,X,X,X,O,O,X,X,X
TJOSLZI,O,O,O,X,X,O,O,O,X,X,X
TJOSZIL,O,X,O,X,X,X,O,X,O,X,X
TJOSZLI,O,O,O,X,X,X,O,X,X,X,X
TJOZILS,O,X,O,X,X,X,O,X,X,X,X
TJOZISL,O,X,O,X,X,X,O,X,X,X,X
TJOZLIS,O,O,O,X,X,X,O,O,X,X,X
TJOZLSI,O,O,O,X,X,X,O,O,X,X,X
TJOZSIL,O,X,O,X,X,X,O,X,O,X,X
TJOZSLI,O,O,O,X,X,X,O,X,X,X,X
TSILJZO,O,O,X,O,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,O,X,X,X,X,X
TSILZOJ,O,O,X,O,X,O,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,O,X,X,O,X,X
TSIJLZO,O,O,X,O,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,X,X,O,X,X,X,X,X,X,X
TSIJZOL,O,X,O,O,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,O,O,X,X,X,X,O,X,X
TSIZLJO,O,O,X,O,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,X,X,X,X,X
TSIZJLO,O,X,X,O,X,X,X,X,X,X,X
TSIZJOL,O,X,O,O,X,X,X,X,X,X,X
TSIZOLJ,O,X,O,O,X,X,X,X,O,X,X
TSIZOJL,O,X,X,O,X,X,X,X,O,X,X
TSIOLJZ,O,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,O,X,X,O,X,X
TSIOJLZ,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,O,X,X
TSIOZLJ,O,X,O,O,X,X,X,X,O,X,X
TSIOZJL,O,X,X,O,X,X,X,X,O,X,X
TSLIJZO,O,O,O,O,X,X,X,O,X,X,X
TSLIJOZ,O,O,O,X,X,X,X,O,X,X,X
TSLIZJO,O,O,O,O,X,O,X,O,X,X,X
TSLIZOJ,O,O,O,O,X,O,X,O,X,X,X
TSLIOJZ,O,X,O,X,X,X,X,O,X,X,X
TSLIOZJ,O,O,O,X,X,O,X,O,O,X,X
TSLJIZO,O,O,O,O,X,X,X,O,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,O,X,X,X
TSLJZIO,O,O,O,X,X,O,X,O,X,X,X
TSLJZOI,O,O,O,X,X,O,O,O,X,X,O
TSLJOIZ,O,O,O,X,X,X,X,O,X,X,O
TSLJOZI,O,O,O,X,X,O,X,O,X,X,O
TSLZIJO,O,O,O,X,X,O,X,O,X,X,X
TSLZIOJ,O,O,O,X,X,O,X,O,X,X,X
TSLZJIO,O,O,O,X,X,O,X,O,X,X,X
TSLZJOI,O,O,O,X,X,O,O,O,X,X,O
TSLZOIJ,O,O,O,X,X,O,X,O,X,X,X
TSLZOJI,O,X,O,X,X,O,O,O,X,X,X
TSLOIJZ,O,X,O,X,X,X,X,O,X,X,X
TSLOIZJ,O,O,O,X,X,O,X,O,O,X,X
TSLOJIZ,O,X,O,X,X,X,O,O,X,X,X
TSLOJZI,O,X,O,X,X,O,O,O,X,X,X
TSLOZIJ,O,O,O,X,X,O,X,O,O,X,X
TSLOZJI,O,X,O,X,X,O,O,O,X,X,X
TSJILZO,O,O,X,O,X,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,X,X,X
TSJIZOL,O,X,O,O,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,O,O,X,X,X,X,O,X,X
TSJLIZO,O,O,O,O,X,X,X,O,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,O,X,X,X
TSJLZIO,O,O,O,X,X,O,X,O,X,X,X
TSJLZOI,O,O,O,X,X,O,O,O,X,X,O
TSJLOIZ,O,O,O,X,X,X,X,O,X,X,O
TSJLOZI,O,O,O,X,X,O,X,O,X,X,O
TSJZILO,O,X,X,O,X,X,X,X,X,X,X
TSJZIOL,O,X,O,O,X,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,O,X,X,X,X
TSJZOIL,O,X,O,X,X,X,O,X,X,X,X
TSJZOLI,O,X,O,X,X,X,O,X,X,X,X
TSJOILZ,O,X,X,X,X,X,X,X,X,X,X
TSJOIZL,O,X,O,O,X,X,X,X,O,X,X
