sequence,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB8nB+oB3mBFnBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB+mBxiBctBXsBlsB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBFiBXjBctBxrBWxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFfmBziB+oBUnBlmBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBUiB1rBXoBGoBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBRiB3mBWtBVxBctB
TJLOISZ,O,X,X,O,O,X
TJLOIZS,O,X,X,O,O,X
TJLOSIZ,X,X,X,O,X,O
TJLOSZI,O,O,X,X,X,O
TJLOZIS,O,O,X,X,O,X
TJLOZSI,O,O,X,X,X,X
TJSILZO,X,X,X,O,X,O
TJSILOZ,X,X,X,O,X,O
TJSIZLO,X,X,X,O,X,O
TJSIZOL,X,X,X,O,X,O
TJSIOLZ,X,X,X,O,X,O
TJSIOZL,X,X,X,O,X,O
TJSLIZO,X,X,X,O,X,O
TJSLIOZ,X,X,X,O,X,O
TJSLZIO,X,O,X,X,X,O
TJSLZOI,O,O,X,X,X,O
TJSLOIZ,X,X,X,O,X,O
TJSLOZI,O,O,X,X,X,O
TJSZILO,X,O,X,X,X,O
TJSZIOL,X,O,X,X,X,O
TJSZLIO,X,O,X,X,X,O
TJSZLOI,O,O,X,X,X,O
TJSZOIL,X,O,X,X,X,O
TJSZOLI,O,O,X,X,X,O
TJSOILZ,X,X,X,O,X,O
TJSOIZL,X,X,X,O,X,O
TJSOLIZ,X,X,X,O,X,O
TJSOLZI,O,O,X,X,X,O
TJSOZIL,X,O,X,X,X,O
TJSOZLI,O,O,X,X,X,O
TJZILSO,O,X,X,X,O,X
TJZILOS,O,O,X,X,O,X
TJZISLO,O,X,X,X,O,X
TJZISOL,O,X,X,X,O,X
TJZIOLS,O,O,X,X,O,X
TJZIOSL,O,X,X,X,O,X
TJZLISO,O,X,X,X,O,X
TJZLIOS,O,O,X,X,O,X
TJZLSIO,X,O,X,X,X,O
TJZLSOI,O,O,X,X,X,O
TJZLOIS,O,O,X,X,O,X
TJZLOSI,O,O,X,X,X,X
TJZSILO,X,O,X,X,X,O
TJZSIOL,X,O,X,X,X,O
TJZSLIO,X,O,X,X,X,O
TJZSLOI,O,O,X,X,X,O
TJZSOIL,X,O,X,X,X,O
TJZSOLI,O,O,X,X,X,O
TJZOILS,O,O,X,X,O,X
TJZOISL,O,X,X,X,O,X
TJZOLIS,O,O,X,X,O,X
TJZOLSI,O,O,X,X,X,X
TJZOSIL,X,O,X,X,X,X
TJZOSLI,O,O,X,X,X,X
TJOILSZ,O,X,X,O,O,X
TJOILZS,O,X,X,O,O,X
TJOISLZ,O,X,X,O,O,X
TJOISZL,O,X,X,O,O,X
TJOIZLS,O,X,X,O,O,X
TJOIZSL,O,X,X,O,O,X
TJOLISZ,O,X,X,O,O,X
TJOLIZS,O,X,X,O,O,X
TJOLSIZ,X,X,X,O,X,O
TJOLSZI,O,O,X,X,X,O
TJOLZIS,O,O,X,X,O,X
TJOLZSI,O,O,X,X,X,X
TJOSILZ,X,X,X,O,X,O
TJOSIZL,X,X,X,O,X,O
TJOSLIZ,X,X,X,O,X,O
TJOSLZI,O,O,X,X,X,O
TJOSZIL,X,O,X,X,X,O
TJOSZLI,O,O,X,X,X,O
TJOZILS,O,O,X,X,O,X
TJOZISL,O,X,X,X,O,X
TJOZLIS,O,O,X,X,O,X
TJOZLSI,O,O,X,X,X,X
TJOZSIL,X,O,X,X,X,X
TJOZSLI,O,O,X,X,X,X
TSILJZO,O,X,X,O,O,O
TSILJOZ,O,X,X,O,O,O
TSILZJO,X,X,X,O,O,X
TSILZOJ,X,X,X,X,O,X
TSILOJZ,O,X,X,X,O,O
TSILOZJ,X,X,X,X,O,X
TSIJLZO,O,X,X,O,O,O
TSIJLOZ,O,X,X,O,O,O
TSIJZLO,O,X,X,O,O,O
TSIJZOL,O,X,X,O,O,O
TSIJOLZ,O,X,X,O,O,O
TSIJOZL,O,X,X,O,O,O
TSIZLJO,X,X,X,O,O,X
TSIZLOJ,X,X,X,X,O,X
TSIZJLO,X,X,X,O,O,X
TSIZJOL,X,X,X,O,O,X
TSIZOLJ,X,X,X,X,O,X
TSIZOJL,X,X,X,X,O,X
TSIOLJZ,O,X,X,X,O,O
TSIOLZJ,X,X,X,X,O,X
TSIOJLZ,O,X,X,X,O,O
TSIOJZL,O,X,X,X,O,O
TSIOZLJ,X,X,X,X,O,X
TSIOZJL,X,X,X,X,O,X
TSLIJZO,O,X,X,O,O,O
TSLIJOZ,O,X,X,O,O,O
TSLIZJO,X,X,X,O,O,X
TSLIZOJ,X,X,X,X,O,X
TSLIOJZ,O,X,X,X,O,O
TSLIOZJ,X,X,X,X,O,X
TSLJIZO,X,X,X,O,X,O
TSLJIOZ,X,X,X,O,X,O
TSLJZIO,X,O,X,X,X,O
TSLJZOI,O,O,X,X,X,O
TSLJOIZ,X,X,X,O,X,O
TSLJOZI,O,O,X,X,X,O
TSLZIJO,X,O,X,X,O,X
TSLZIOJ,X,X,X,X,O,X
TSLZJIO,X,O,X,X,X,O
TSLZJOI,X,O,X,X,X,O
TSLZOIJ,X,X,X,X,O,X
TSLZOJI,X,O,X,X,X,O
TSLOIJZ,O,X,X,X,O,O
TSLOIZJ,X,X,X,X,O,X
TSLOJIZ,X,X,X,X,X,O
TSLOJZI,O,O,X,X,X,O
TSLOZIJ,X,X,X,X,O,X
TSLOZJI,X,O,X,X,X,O
TSJILZO,X,X,X,O,X,O
TSJILOZ,X,X,X,O,X,O
TSJIZLO,X,X,X,O,X,O
