sequence,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF8lBzhBunB/pBaq?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhFigBRiB3lBGnB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhF8lBRiBypBGnBlr?BXqB,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF0hBliBTkBmlBXq?BCsB,v115@GhA8HeB8HeC8BeB8AeD8JeOEJvhFxgBliBqpBTlB/r?BUsB,v115@GhA8HeB8HeC8BeB8AeD8JeiAJvhFRiBTkB3lBGnBlr?B0pB,v115@GhA8HeB8HeC8BeB8AeD8Jei/IvhFzhBunBRlB3lB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeKEJvhFRhBunBFlBXmB8r?BzpB
TIZSJOL,O,O,X,X,O,X,O,X
TIZSOLJ,O,O,X,X,O,X,O,X
TIZSOJL,O,O,X,X,O,X,O,X
TIZOLJS,O,O,X,X,O,X,O,X
TIZOLSJ,X,O,X,X,O,X,O,X
TIZOJLS,O,O,X,X,X,X,O,X
TIZOJSL,O,O,X,X,X,O,O,X
TIZOSLJ,O,O,X,X,O,X,O,X
TIZOSJL,O,O,X,X,O,X,O,X
TIOLJSZ,X,X,O,O,O,O,O,X
TIOLJZS,X,X,O,O,O,X,O,X
TIOLSJZ,X,X,O,X,O,X,O,X
TIOLSZJ,X,X,X,X,O,X,X,X
TIOLZJS,X,X,O,X,O,X,O,X
TIOLZSJ,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,O,O,O,O,O,X
TIOJLZS,X,X,O,O,O,X,O,X
TIOJSLZ,O,O,X,O,X,O,O,X
TIOJSZL,O,O,X,O,X,O,X,X
TIOJZLS,O,O,O,O,X,X,O,X
TIOJZSL,O,O,X,O,X,O,O,X
TIOSLJZ,O,X,X,X,O,O,O,X
TIOSLZJ,O,O,X,X,O,X,X,X
TIOSJLZ,O,X,X,O,O,O,O,X
TIOSJZL,O,X,X,O,X,O,X,X
TIOSZLJ,O,O,X,X,O,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,O,O,X,X,O,X,O,X
TIOZLSJ,X,O,X,X,O,X,O,X
TIOZJLS,O,O,X,O,X,X,O,X
TIOZJSL,O,O,X,O,X,O,O,X
TIOZSLJ,O,O,X,X,O,X,O,X
TIOZSJL,O,O,X,X,O,X,O,X
TLIJSZO,X,O,O,O,O,O,X,X
TLIJSOZ,X,O,O,O,O,O,O,X
TLIJZSO,X,O,O,O,O,X,X,O
TLIJZOS,X,O,O,O,O,X,O,X
TLIJOSZ,X,X,O,O,O,O,O,X
TLIJOZS,X,X,O,O,O,X,O,X
TLISJZO,X,O,O,O,O,X,X,X
TLISJOZ,X,X,O,O,O,X,O,X
TLISZJO,X,O,X,O,O,X,X,X
TLISZOJ,X,O,X,O,X,X,X,X
TLISOJZ,X,X,O,O,O,X,O,X
TLISOZJ,X,O,X,O,O,X,X,X
TLIZJSO,X,O,O,O,O,X,X,O
TLIZJOS,X,O,O,O,O,X,O,X
TLIZSJO,X,O,X,O,O,X,X,O
TLIZSOJ,X,O,X,O,O,X,X,O
TLIZOJS,X,O,O,O,O,X,O,X
TLIZOSJ,X,O,X,O,O,X,X,X
TLIOJSZ,X,X,O,O,O,O,O,X
TLIOJZS,X,X,O,O,O,X,O,X
TLIOSJZ,X,X,O,O,O,X,O,X
TLIOSZJ,X,X,X,O,O,X,X,X
TLIOZJS,X,X,O,O,O,X,O,X
TLIOZSJ,X,X,X,O,O,X,X,X
TLJISZO,X,O,O,O,O,O,X,X
TLJISOZ,X,O,O,O,O,O,O,X
TLJIZSO,X,O,O,O,O,X,X,O
TLJIZOS,X,O,O,O,O,X,O,X
TLJIOSZ,X,X,O,O,O,O,O,X
TLJIOZS,X,X,O,O,O,X,O,X
TLJSIZO,O,O,O,O,O,O,X,X
TLJSIOZ,O,O,O,O,O,O,X,X
TLJSZIO,O,O,O,O,O,O,X,O
TLJSZOI,O,O,O,O,O,O,X,O
TLJSOIZ,O,O,O,O,O,O,X,X
TLJSOZI,O,O,O,O,O,O,X,X
TLJZISO,X,O,O,O,O,X,O,O
TLJZIOS,O,O,O,O,O,X,O,X
TLJZSIO,O,O,O,O,O,X,O,O
TLJZSOI,O,O,O,O,O,X,O,O
TLJZOIS,O,O,O,O,O,X,O,X
TLJZOSI,O,O,O,O,O,X,O,O
TLJOISZ,X,X,O,O,O,O,O,X
TLJOIZS,X,X,O,O,O,X,O,X
TLJOSIZ,O,X,O,O,O,O,X,X
TLJOSZI,O,X,O,O,O,O,X,X
TLJOZIS,O,X,O,O,O,X,O,X
TLJOZSI,O,X,O,O,O,X,O,O
TLSIJZO,O,O,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,O,O,X,X
TLSIZJO,O,O,X,O,O,X,X,X
TLSIZOJ,O,O,X,O,O,X,X,X
TLSIOJZ,O,X,O,O,O,O,X,X
TLSIOZJ,O,O,X,O,O,X,X,X
TLSJIZO,O,O,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,O,O,X,X
TLSJZIO,O,O,O,O,O,O,X,O
TLSJZOI,O,O,O,O,O,O,X,O
TLSJOIZ,O,O,O,O,O,O,X,X
TLSJOZI,O,O,O,O,O,O,X,X
TLSZIJO,O,O,X,O,O,X,X,O
TLSZIOJ,O,O,X,O,O,X,X,O
TLSZJIO,O,O,O,O,O,O,X,O
TLSZJOI,O,O,O,O,O,O,X,O
TLSZOIJ,O,O,X,O,O,X,X,O
TLSZOJI,O,O,O,O,O,O,X,O
TLSOIJZ,O,X,O,O,O,O,X,X
TLSOIZJ,O,O,X,O,O,X,X,X
TLSOJIZ,O,O,O,O,O,O,X,X
TLSOJZI,O,O,O,O,O,O,X,X
TLSOZIJ,O,O,X,O,O,X,X,X
TLSOZJI,O,O,O,O,O,O,X,X
TLZIJSO,X,O,O,O,O,X,O,O
TLZIJOS,O,O,O,O,O,X,O,X
TLZISJO,X,O,X,O,O,X,O,O
TLZISOJ,X,O,X,O,O,X,O,O
TLZIOJS,O,O,O,O,O,X,O,X
TLZIOSJ,X,O,X,O,O,X,O,X
TLZJISO,X,O,O,O,O,X,O,O
TLZJIOS,O,O,O,O,O,X,O,X
TLZJSIO,O,O,O,O,O,X,O,O
TLZJSOI,O,O,O,O,O,X,O,O
TLZJOIS,O,O,O,O,O,X,O,X
TLZJOSI,O,O,O,O,O,X,O,O
TLZSIJO,O,O,X,O,O,X,O,O
TLZSIOJ,O,O,X,O,O,X,O,O
TLZSJIO,O,O,O,O,O,X,O,O
TLZSJOI,O,O,O,O,O,X,O,O
TLZSOIJ,O,O,X,O,O,X,O,O
TLZSOJI,O,O,O,O,O,X,O,O
TLZOIJS,O,O,O,O,O,X,O,X
TLZOISJ,X,O,X,O,O,X,O,X
TLZOJIS,O,O,O,O,O,X,O,X
TLZOJSI,O,O,O,O,O,X,O,O
TLZOSIJ,O,O,X,O,O,X,O,O
TLZOSJI,O,O,O,O,O,X,O,O
TLOIJSZ,X,X,O,O,O,O,O,X
TLOIJZS,X,X,O,O,O,X,O,X
TLOISJZ,X,X,O,O,O,X,O,X
TLOISZJ,X,X,X,O,O,X,X,X
TLOIZJS,X,X,O,O,O,X,O,X
TLOIZSJ,X,X,X,O,O,X,X,X
TLOJISZ,X,X,O,O,O,O,O,X
TLOJIZS,X,X,O,O,O,X,O,X
TLOJSIZ,O,X,O,O,O,O,X,X
TLOJSZI,O,X,O,O,O,O,X,X
TLOJZIS,O,X,O,O,O,X,O,X
TLOJZSI,O,X,O,O,O,X,O,O
TLOSIJZ,O,X,O,O,O,O,X,X
TLOSIZJ,O,X,X,O,O,X,X,X
TLOSJIZ,O,X,O,O,O,O,X,X
TLOSJZI,O,X,O,O,O,O,X,X
TLOSZIJ,O,X,X,O,O,X,X,X
TLOSZJI,O,X,O,O,O,O,X,X
TLOZIJS,O,X,O,O,O,X,O,X
TLOZISJ,X,X,X,O,O,X,O,X
TLOZJIS,O,X,O,O,O,X,O,X
TLOZJSI,O,X,O,O,O,X,O,O
TLOZSIJ,O,X,X,O,O,X,O,O
TLOZSJI,O,X,O,O,O,X,O,O
TJILSZO,X,O,O,O,O,O,X,X
TJILSOZ,X,O,O,O,O,O,O,X
TJILZSO,X,O,O,O,O,X,X,X
TJILZOS,X,O,O,O,O,X,O,X
TJILOSZ,X,X,O,O,O,O,O,X
TJILOZS,X,X,O,O,O,X,O,X
TJISLZO,O,O,O,O,O,O,X,X
TJISLOZ,O,O,O,O,O,O,O,X
TJISZLO,O,O,O,O,O,O,X,X
TJISZOL,O,O,X,O,O,O,X,X
TJISOLZ,O,O,X,O,O,O,O,X
TJISOZL,O,O,X,O,O,O,X,X
TJIZLSO,X,O,O,O,O,X,O,X
TJIZLOS,O,O,O,O,O,X,O,X
TJIZSLO,O,O,O,O,O,O,O,X
TJIZSOL,O,O,X,O,O,O,O,X
TJIZOLS,O,O,O,O,X,X,O,X
TJIZOSL,O,O,X,O,X,O,O,X
TJIOLSZ,X,X,O,O,X,O,O,X
TJIOLZS,X,X,O,O,X,X,O,X
TJIOSLZ,O,O,X,O,X,O,O,X
TJIOSZL,O,O,X,O,X,O,X,X
TJIOZLS,O,O,O,O,X,X,O,X
TJIOZSL,O,O,X,O,X,O,O,X
TJLISZO,X,O,O,O,O,O,X,X
TJLISOZ,X,O,O,O,O,O,O,X
TJLIZSO,X,O,O,O,O,X,X,O
TJLIZOS,X,O,O,O,O,X,O,X
TJLIOSZ,X,X,O,O,O,O,O,X
TJLIOZS,X,X,O,O,O,X,O,X
TJLSIZO,O,O,O,O,O,O,X,X
TJLSIOZ,O,O,O,O,O,O,X,X
TJLSZIO,O,O,O,O,O,O,X,O
TJLSZOI,O,O,O,O,O,O,X,O
TJLSOIZ,O,O,O,O,O,O,X,X
TJLSOZI,O,O,O,O,O,O,X,X
TJLZISO,X,O,O,O,O,X,O,O
TJLZIOS,O,O,O,O,O,X,O,X
TJLZSIO,O,O,O,O,O,X,O,O
TJLZSOI,O,O,O,O,O,X,O,O
TJLZOIS,O,O,O,O,O,X,O,X
TJLZOSI,O,O,O,O,O,X,O,O
TJLOISZ,X,X,O,O,O,O,O,X
TJLOIZS,X,X,O,O,O,X,O,X
TJLOSIZ,O,X,O,O,O,O,X,X
TJLOSZI,O,X,O,O,O,O,X,X
TJLOZIS,O,X,O,O,O,X,O,X
TJLOZSI,O,X,O,O,O,X,O,O
TJSILZO,O,O,O,O,O,O,X,X
TJSILOZ,O,O,O,O,O,O,O,X
TJSIZLO,O,O,O,O,O,O,X,X
TJSIZOL,O,O,X,O,O,O,X,X
TJSIOLZ,O,O,X,O,O,O,O,X
TJSIOZL,O,O,X,O,O,O,X,X
TJSLIZO,O,O,O,O,O,O,X,X
TJSLIOZ,O,O,O,O,O,O,X,X
TJSLZIO,O,O,O,O,O,O,X,X
TJSLZOI,O,O,O,O,O,O,X,X
TJSLOIZ,O,O,O,O,O,O,X,X
TJSLOZI,O,O,O,O,O,O,X,X
TJSZILO,O,O,O,O,O,O,O,X
TJSZIOL,O,O,X,O,O,O,O,X
TJSZLIO,O,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,O,X
TJSZOIL,O,O,X,O,O,O,O,X
TJSZOLI,O,O,X,O,O,O,O,X
TJSOILZ,O,O,X,O,O,O,O,X
TJSOIZL,O,O,X,O,O,O,X,X
TJSOLIZ,O,O,X,O,O,O,X,X
TJSOLZI,O,O,X,O,O,O,X,X
TJSOZIL,O,O,X,O,X,O,O,X
TJSOZLI,O,O,X,O,X,O,O,X
TJZILSO,X,O,O,O,O,X,O,O
TJZILOS,O,O,O,O,O,X,O,X
TJZISLO,O,O,O,O,O,O,O,O
TJZISOL,O,O,X,O,O,O,O,X
TJZIOLS,O,O,O,O,X,X,O,X
TJZIOSL,O,O,X,O,X,O,O,X
TJZLISO,X,O,O,O,O,X,O,O
TJZLIOS,O,O,O,O,O,X,O,X
TJZLSIO,O,O,O,O,O,X,O,O
TJZLSOI,O,O,O,O,O,X,O,O
TJZLOIS,O,O,O,O,O,X,O,X
TJZLOSI,O,O,O,O,O,X,O,O
TJZSILO,O,O,O,O,O,O,O,O
TJZSIOL,O,O,X,O,O,O,O,X
TJZSLIO,O,O,O,O,O,O,O,O
TJZSLOI,O,O,O,O,O,O,O,O
TJZSOIL,O,O,X,O,O,O,O,X
TJZSOLI,O,O,X,O,O,O,O,X
TJZOILS,O,O,O,O,X,X,O,X
TJZOISL,O,O,X,O,X,O,O,X
TJZOLIS,O,O,O,O,O,X,O,X
TJZOLSI,O,O,O,O,O,X,O,X
TJZOSIL,O,O,X,O,O,O,O,X
TJZOSLI,O,O,X,O,O,O,O,X
TJOILSZ,X,X,O,O,O,O,O,X
TJOILZS,X,X,O,O,O,X,O,X
TJOISLZ,O,O,X,O,X,O,O,X
TJOISZL,O,O,X,O,X,O,X,X
TJOIZLS,O,O,O,O,X,X,O,X
TJOIZSL,O,O,X,O,X,O,O,X
TJOLISZ,X,X,O,O,O,O,O,X
TJOLIZS,X,X,O,O,O,X,O,X
TJOLSIZ,O,X,O,O,O,O,X,X
TJOLSZI,O,X,O,O,O,O,X,X
TJOLZIS,O,X,O,O,O,X,O,X
TJOLZSI,O,X,O,O,O,X,O,X
TJOSILZ,O,O,X,O,O,O,O,X
TJOSIZL,O,O,X,O,O,O,X,X
TJOSLIZ,O,O,X,O,O,O,X,X
TJOSLZI,O,O,X,O,O,O,X,X
TJOSZIL,O,O,X,O,X,O,O,X
TJOSZLI,O,O,X,O,X,O,O,X
TJOZILS,O,O,O,O,X,X,O,X
TJOZISL,O,O,X,O,X,O,O,X
TJOZLIS,O,O,O,O,O,X,O,X
TJOZLSI,O,O,O,O,O,X,O,X
TJOZSIL,O,O,X,O,O,O,O,X
TJOZSLI,O,O,X,O,O,O,O,X
TSILJZO,O,O,O,X,O,O,X,X
TSILJOZ,O,O,O,X,O,O,O,X
TSILZJO,O,O,X,X,O,X,X,X
TSILZOJ,O,O,X,X,O,X,X,X
TSILOJZ,O,X,O,X,O,O,O,X
TSILOZJ,O,O,X,X,O,X,X,X
TSIJLZO,O,O,O,O,O,O,X,X
TSIJLOZ,O,O,O,O,O,O,O,X
TSIJZLO,O,O,O,O,O,O,X,X
TSIJZOL,O,O,X,O,O,O,X,X
TSIJOLZ,O,O,X,O,O,O,O,X
TSIJOZL,O,O,X,O,O,O,X,X
TSIZLJO,O,O,X,X,O,X,X,X
TSIZLOJ,O,O,X,X,O,X,X,X
TSIZJLO,O,O,X,X,O,X,X,X
TSIZJOL,O,O,X,X,O,X,X,X
TSIZOLJ,O,O,X,X,O,X,X,X
TSIZOJL,O,O,X,X,O,X,X,X
TSIOLJZ,O,X,X,O,O,O,O,X
TSIOLZJ,O,O,X,X,O,X,X,X
TSIOJLZ,O,X,X,O,O,O,O,X
TSIOJZL,O,X,X,O,O,O,X,X
TSIOZLJ,O,O,X,X,O,X,X,X
TSIOZJL,O,O,X,O,O,X,X,X
TSLIJZO,O,O,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,O,O,X,X
TSLIZJO,O,O,X,O,O,X,X,X
TSLIZOJ,O,O,X,O,O,X,X,X
TSLIOJZ,O,X,O,O,O,O,X,X
TSLIOZJ,O,O,X,O,O,X,X,X
TSLJIZO,O,O,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,O,O,X,X
TSLJZIO,O,O,O,O,O,O,X,X
TSLJZOI,O,O,O,O,O,O,X,X
TSLJOIZ,O,O,O,O,O,O,X,X
TSLJOZI,O,O,O,O,O,O,X,X
TSLZIJO,O,O,X,O,O,X,X,X
TSLZIOJ,O,O,X,O,O,X,X,X
TSLZJIO,O,O,O,O,O,O,X,X
TSLZJOI,O,O,O,O,O,O,X,X
TSLZOIJ,O,O,X,O,O,X,X,X
TSLZOJI,O,O,O,O,O,O,X,X
TSLOIJZ,O,X,O,O,O,O,X,X
TSLOIZJ,O,O,X,O,O,X,X,X
TSLOJIZ,O,O,O,O,O,O,X,X
TSLOJZI,O,O,O,O,O,O,X,X
TSLOZIJ,O,O,X,O,O,X,X,X
TSLOZJI,O,O,O,O,O,O,X,X
TSJILZO,O,O,O,O,O,O,X,X
TSJILOZ,O,O,O,O,O,O,O,X
TSJIZLO,O,O,O,O,O,O,X,X
TSJIZOL,O,O,X,O,O,O,X,X
TSJIOLZ,O,O,X,O,O,O,O,X
TSJIOZL,O,O,X,O,O,O,X,X
TSJLIZO,O,O,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,O,O,X,X
TSJLZIO,O,O,O,O,O,O,X,X
TSJLZOI,O,O,O,O,O,O,X,X
TSJLOIZ,O,O,O,O,O,O,X,X
TSJLOZI,O,O,O,O,O,O,X,X
TSJZILO,O,O,O,O,O,O,O,X
TSJZIOL,O,O,X,O,O,O,O,X
TSJZLIO,O,O,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,O,O,X
TSJZOIL,O,O,X,O,O,O,O,X
TSJZOLI,O,O,X,O,O,O,O,X
TSJOILZ,O,O,X,O,O,O,O,X
TSJOIZL,O,O,X,O,O,O,X,X
TSJOLIZ,O,O,X,O,O,O,X,X
TSJOLZI,O,O,X,O,O,O,X,X
TSJOZIL,O,O,X,O,X,O,O,X
TSJOZLI,O,O,X,O,X,O,O,X
TSZILJO,O,O,X,X,O,X,O,X
TSZILOJ,O,O,X,X,O,X,O,X
TSZIJLO,O,O,X,X,O,X,O,X
TSZIJOL,O,O,X,X,O,X,O,X
TSZIOLJ,O,O,X,X,O,X,O,X
TSZIOJL,O,O,X,X,O,X,O,X
TSZLIJO,O,O,X,X,O,X,O,X
TSZLIOJ,O,O,X,X,O,X,O,X
TSZLJIO,O,O,O,X,O,O,O,X
TSZLJOI,O,O,O,X,O,O,O,X
TSZLOIJ,O,O,X,X,O,X,O,X
TSZLOJI,O,O,O,X,O,O,O,X
TSZJILO,O,O,O,O,O,O,O,X
TSZJIOL,O,O,X,O,O,O,O,X
TSZJLIO,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,X
TSZJOIL,O,O,X,O,O,O,O,X
TSZJOLI,O,O,X,O,O,O,O,X
TSZOILJ,O,O,X,X,O,X,O,X
TSZOIJL,O,O,X,O,O,X,O,X
TSZOLIJ,O,O,X,X,O,X,O,X
TSZOLJI,O,O,X,X,O,O,O,X
TSZOJIL,O,O,X,O,O,O,O,X
TSZOJLI,O,O,X,O,O,O,O,X
TSOILJZ,O,X,X,O,O,O,O,X
TSOILZJ,O,O,X,O,O,X,X,X
TSOIJLZ,O,X,X,O,O,O,O,X
TSOIJZL,O,X,X,O,O,O,X,X
TSOIZLJ,O,O,X,X,O,X,X,X
TSOIZJL,O,O,X,O,O,X,X,X
TSOLIJZ,O,X,X,O,O,O,X,X
TSOLIZJ,O,O,X,O,O,X,X,X
TSOLJIZ,O,O,X,O,O,O,X,X
TSOLJZI,O,O,X,O,O,O,X,X
TSOLZIJ,O,O,X,O,O,X,X,X
TSOLZJI,O,O,X,O,O,O,X,X
TSOJILZ,O,O,X,O,O,O,O,X
TSOJIZL,O,O,X,O,O,O,X,X
TSOJLIZ,O,O,X,O,O,O,X,X
TSOJLZI,O,O,X,O,O,O,X,X
TSOJZIL,O,O,X,O,X,O,O,X
TSOJZLI,O,O,X,O,X,O,O,X
TSOZILJ,O,O,X,X,O,X,O,X
TSOZIJL,O,O,X,O,O,X,O,X
TSOZLIJ,O,O,X,X,O,X,O,X
TSOZLJI,O,O,X,X,O,O,O,X
TSOZJIL,O,O,X,O,O,O,O,X
TSOZJLI,O,O,X,O,O,O,O,X
TZILJSO,X,O,O,X,O,X,O,O
TZILJOS,O,O,O,X,O,X,O,X
TZILSJO,X,O,X,X,O,X,O,O
TZILSOJ,X,O,X,X,O,X,O,O
TZILOJS,O,O,O,X,O,X,O,X
TZILOSJ,X,O,X,X,O,X,O,X
TZIJLSO,X,O,O,X,O,X,O,O
TZIJLOS,O,O,O,X,O,X,O,X
TZIJSLO,O,O,O,X,O,O,O,O
TZIJSOL,O,O,X,X,O,O,O,X
TZIJOLS,O,O,O,X,X,X,O,X
TZIJOSL,O,O,X,X,X,O,O,X
TZISLJO,O,O,X,X,O,X,O,O
TZISLOJ,O,O,X,X,O,X,O,O
TZISJLO,O,O,X,X,O,X,O,O
TZISJOL,O,O,X,X,O,X,O,X
TZISOLJ,O,O,X,X,O,X,O,X
TZISOJL,O,O,X,X,O,X,O,X
TZIOLJS,O,O,X,X,O,X,O,X
TZIOLSJ,X,O,X,X,O,X,O,X
TZIOJLS,O,O,X,X,X,X,O,X
TZIOJSL,O,O,X,X,X,O,O,X
TZIOSLJ,O,O,X,X,O,X,O,X
TZIOSJL,O,O,X,X,O,X,O,X
TZLIJSO,X,O,O,X,O,X,O,O
TZLIJOS,O,O,O,X,O,X,O,X
TZLISJO,X,O,X,X,O,X,O,O
TZLISOJ,X,O,X,X,O,X,O,O
TZLIOJS,O,O,O,X,O,X,O,X
TZLIOSJ,X,O,X,X,O,X,O,X
TZLJISO,X,O,O,X,O,X,O,O
TZLJIOS,O,O,O,X,O,X,O,X
TZLJSIO,O,O,O,X,O,X,O,O
TZLJSOI,O,O,O,X,O,X,O,O
TZLJOIS,O,O,O,X,O,X,O,X
TZLJOSI,O,O,O,X,O,X,O,O
TZLSIJO,O,O,X,X,O,X,O,O
TZLSIOJ,O,O,X,X,O,X,O,O
TZLSJIO,O,O,O,X,O,X,O,O
TZLSJOI,O,O,O,X,O,X,O,O
TZLSOIJ,O,O,X,X,O,X,O,O
TZLSOJI,O,O,O,X,O,X,O,O
TZLOIJS,O,O,O,X,O,X,O,X
TZLOISJ,X,O,X,X,O,X,O,X
TZLOJIS,O,O,O,X,O,X,O,X
TZLOJSI,O,O,O,X,O,X,O,O
TZLOSIJ,O,O,X,X,O,X,O,O
TZLOSJI,O,O,O,X,O,X,O,O
TZJILSO,X,O,O,O,O,X,O,O
TZJILOS,O,O,O,O,O,X,O,X
TZJISLO,O,O,O,O,O,O,O,O
TZJISOL,O,O,X,O,O,O,O,X
TZJIOLS,O,O,O,O,X,X,O,X
TZJIOSL,O,O,X,O,X,O,O,X
TZJLISO,X,O,O,O,O,X,O,O
TZJLIOS,O,O,O,O,O,X,O,X
TZJLSIO,O,O,O,O,O,X,O,O
TZJLSOI,O,O,O,O,O,X,O,O
TZJLOIS,O,O,O,O,O,X,O,X
TZJLOSI,O,O,O,O,O,X,O,O
TZJSILO,O,O,O,O,O,O,O,O
TZJSIOL,O,O,X,O,O,O,O,X
TZJSLIO,O,O,O,O,O,O,O,O
TZJSLOI,O,O,O,O,O,O,O,O
TZJSOIL,O,O,X,O,O,O,O,X
TZJSOLI,O,O,X,O,O,O,O,X
TZJOILS,O,O,O,O,X,X,O,X
TZJOISL,O,O,X,O,X,O,O,X
