sequence,v115@IhB8FeD8EeD8FeB8Jei/IvhFfmB0hBxiBusB1vBzrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFFhBxiB+qB3nBTrBUsB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFiBXjBWrBTsBxvB,v115@IhB8FeD8EeD8FeB8Jei/IvhFRhBFjBzmB+sBUrB3qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFWmBxiBlnB3qBUsBTrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzgBxiBlnB3qBUsB+rB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFjB+qBTnB3mBxwB,v115@IhB8FeD8EeD8FeB8Jei/IvhFxhBXjBlmBUrBTsB+qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzhBFjB+sBRrBUrB3qB
TLIJSZO,O,X,O,X,X,X,X,X,O
TLIJSOZ,O,O,O,X,X,X,O,X,O
TLIJZSO,O,X,O,X,O,O,X,X,O
TLIJZOS,O,O,O,O,X,X,O,X,O
TLIJOSZ,O,O,O,O,X,X,O,X,O
TLIJOZS,O,O,O,O,X,X,O,X,O
TLISJZO,O,X,O,X,O,X,X,X,X
TLISJOZ,O,O,O,X,X,X,O,X,X
TLISZJO,O,X,O,X,O,O,X,X,X
TLISZOJ,O,X,X,X,O,O,X,X,X
TLISOJZ,O,O,O,X,X,X,O,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,O,X,X,X
TLIZJOS,O,X,X,O,X,X,O,X,X
TLIZSJO,O,X,X,X,O,O,X,X,X
TLIZSOJ,O,X,X,X,O,O,X,X,X
TLIZOJS,X,X,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,O,O,X,X,X
TLIOJSZ,O,O,O,X,X,X,O,X,X
TLIOJZS,O,O,O,X,X,X,O,X,X
TLIOSJZ,O,X,O,X,X,X,O,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,O,X,X
TLIOZSJ,O,X,O,X,O,O,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,O
TLJISOZ,O,O,X,X,X,X,O,X,O
TLJIZSO,O,X,X,X,O,O,X,X,O
TLJIZOS,O,O,X,O,X,X,O,X,O
TLJIOSZ,O,O,X,O,X,X,O,X,O
TLJIOZS,O,O,X,O,X,X,O,X,O
TLJSIZO,O,X,X,X,O,X,X,X,O
TLJSIOZ,O,O,X,X,X,X,O,X,O
TLJSZIO,O,X,X,X,O,X,X,X,X
TLJSZOI,O,X,X,O,O,X,X,X,X
TLJSOIZ,O,O,X,O,X,X,X,X,X
TLJSOZI,O,O,X,O,O,X,X,X,X
TLJZISO,O,X,X,X,O,O,X,X,O
TLJZIOS,O,O,X,O,X,X,O,X,O
TLJZSIO,O,X,X,X,O,O,X,X,X
TLJZSOI,O,X,X,O,O,O,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X
TLJOISZ,O,O,X,O,X,X,O,X,O
TLJOIZS,O,O,X,O,X,X,O,X,O
TLJOSIZ,O,O,X,O,X,X,X,X,X
TLJOSZI,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X,X
TLSIJZO,O,X,O,X,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,O,X,X
TLSIZJO,O,X,O,X,O,O,X,X,X
TLSIZOJ,O,X,X,X,O,O,X,X,X
TLSIOJZ,O,O,O,X,X,X,O,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,X,O,X,X,X,O
TLSJIOZ,O,O,O,X,X,X,O,X,O
TLSJZIO,O,X,X,X,O,X,X,X,X
TLSJZOI,O,X,X,O,O,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X
TLSZIJO,O,X,O,X,O,O,X,X,X
TLSZIOJ,O,X,X,X,O,O,X,X,X
TLSZJIO,O,X,X,X,O,O,X,X,X
TLSZJOI,O,X,X,O,O,O,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,X,X
TLSZOJI,O,X,X,X,O,O,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,O,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,O,X
TLSOZJI,O,X,X,X,X,O,X,O,X
TLZIJSO,O,X,X,X,O,O,X,X,X
TLZIJOS,O,X,X,O,X,X,O,X,X
TLZISJO,O,X,X,X,O,O,X,X,X
TLZISOJ,O,X,X,X,O,O,X,X,X
TLZIOJS,X,X,X,X,X,X,O,X,X
TLZIOSJ,O,X,X,X,O,O,X,X,X
TLZJISO,O,X,X,X,O,O,X,X,O
TLZJIOS,O,X,X,O,X,X,O,X,O
TLZJSIO,O,X,X,X,O,O,X,X,X
TLZJSOI,O,X,X,O,O,O,X,X,X
TLZJOIS,O,X,X,O,X,X,X,X,X
TLZJOSI,O,X,X,O,X,X,X,X,X
TLZSIJO,O,X,X,X,O,O,X,X,X
TLZSIOJ,O,X,X,X,O,O,X,X,X
TLZSJIO,O,X,X,X,O,O,X,X,X
TLZSJOI,O,X,X,O,O,O,X,X,X
TLZSOIJ,O,X,X,X,O,O,X,X,X
TLZSOJI,O,X,X,X,O,O,X,X,X
TLZOIJS,X,X,X,O,X,X,X,O,X
TLZOISJ,O,X,X,X,O,O,X,O,X
TLZOJIS,O,X,X,O,X,X,X,O,X
TLZOJSI,O,X,X,O,X,X,X,O,X
TLZOSIJ,O,X,X,X,O,O,X,O,X
TLZOSJI,O,X,X,X,O,O,X,O,X
TLOIJSZ,O,O,X,X,X,X,O,X,X
TLOIJZS,O,O,X,X,X,X,O,X,X
TLOISJZ,O,X,X,X,X,X,O,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,O,X,X
TLOIZSJ,O,X,X,X,O,O,X,X,X
TLOJISZ,O,O,X,O,X,X,O,X,O
TLOJIZS,O,O,X,O,X,X,O,X,O
TLOJSIZ,O,O,X,O,X,X,X,X,X
TLOJSZI,O,O,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X
TLOJZSI,O,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,O,X
TLOSZJI,O,X,X,X,X,X,X,O,X
TLOZIJS,X,X,X,X,X,X,X,O,X
TLOZISJ,O,X,X,X,O,O,X,O,X
TLOZJIS,O,X,X,O,X,X,X,O,X
TLOZJSI,O,X,X,O,X,X,X,O,X
TLOZSIJ,O,X,X,X,O,O,X,O,X
TLOZSJI,O,X,X,X,O,O,X,O,X
TJILSZO,O,X,X,X,X,X,X,X,O
TJILSOZ,O,O,X,X,X,X,O,X,O
TJILZSO,O,X,X,X,O,O,X,X,O
TJILZOS,O,O,X,O,X,X,O,X,O
TJILOSZ,O,O,X,O,X,X,O,X,O
TJILOZS,O,O,X,O,X,X,O,X,O
TJISLZO,O,X,X,X,X,X,X,X,O
TJISLOZ,O,O,X,X,X,X,O,X,O
TJISZLO,O,X,X,X,X,X,X,X,O
TJISZOL,O,X,X,X,X,X,X,X,O
TJISOLZ,O,O,X,X,X,X,O,X,O
TJISOZL,O,O,X,X,X,X,O,X,O
TJIZLSO,O,X,X,X,O,O,X,X,O
TJIZLOS,O,O,X,O,X,X,O,X,O
TJIZSLO,O,X,X,X,O,O,X,X,O
TJIZSOL,O,X,X,X,O,O,X,X,O
TJIZOLS,O,X,X,O,X,X,O,X,O
TJIZOSL,O,X,X,O,X,X,O,X,O
TJIOLSZ,O,O,X,O,X,X,O,X,O
TJIOLZS,O,O,X,O,X,X,O,X,O
TJIOSLZ,O,O,X,O,X,X,O,X,O
TJIOSZL,O,O,X,X,X,X,O,X,O
TJIOZLS,O,O,X,O,X,X,O,X,O
TJIOZSL,O,X,X,O,X,X,O,X,O
TJLISZO,O,X,X,X,X,X,X,X,O
TJLISOZ,O,O,X,X,X,X,O,X,O
TJLIZSO,O,X,X,X,O,O,X,X,O
TJLIZOS,O,O,X,O,X,X,O,X,O
TJLIOSZ,O,O,X,O,X,X,O,X,O
TJLIOZS,O,O,X,O,X,X,O,X,O
TJLSIZO,O,X,X,X,O,X,X,X,O
TJLSIOZ,O,O,X,X,X,X,O,X,O
TJLSZIO,O,X,X,X,O,X,X,X,X
TJLSZOI,O,X,X,O,O,X,X,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X
TJLSOZI,O,O,X,O,O,X,X,X,X
TJLZISO,O,X,X,X,O,O,X,X,O
TJLZIOS,O,O,X,O,X,X,O,X,O
TJLZSIO,O,X,X,X,O,O,X,X,X
TJLZSOI,O,X,X,O,O,O,X,X,X
TJLZOIS,O,O,X,O,X,X,X,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X
TJLOISZ,O,O,X,O,X,X,O,X,O
TJLOIZS,O,O,X,O,X,X,O,X,O
TJLOSIZ,O,O,X,O,X,X,X,X,X
TJLOSZI,O,O,X,O,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X
TJLOZSI,O,O,X,O,X,X,X,X,X
TJSILZO,O,X,X,X,O,X,X,X,O
TJSILOZ,O,O,X,X,X,X,O,X,O
TJSIZLO,O,X,X,X,X,X,X,X,O
TJSIZOL,O,X,X,X,X,X,X,X,O
TJSIOLZ,O,O,X,X,X,X,O,X,O
TJSIOZL,O,O,X,X,X,X,O,X,O
TJSLIZO,O,X,X,X,O,X,X,X,O
TJSLIOZ,O,O,X,X,X,X,O,X,O
TJSLZIO,O,X,X,X,O,X,X,X,X
TJSLZOI,O,X,X,O,O,X,X,X,X
TJSLOIZ,O,O,X,O,X,X,X,X,X
TJSLOZI,O,O,X,O,O,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,O,X,X,X,X
TJSZLOI,O,X,X,O,O,X,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,X
TJSZOLI,O,X,X,O,X,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X
TJSOLZI,O,O,X,O,O,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X
TJZILSO,O,X,X,X,O,O,X,X,O
TJZILOS,O,O,X,O,X,X,O,X,O
TJZISLO,O,X,X,X,O,O,X,X,O
TJZISOL,O,X,X,X,O,O,X,X,O
TJZIOLS,O,X,X,O,X,X,O,X,O
TJZIOSL,O,X,X,O,X,X,O,X,O
TJZLISO,O,X,X,X,O,O,X,X,O
TJZLIOS,O,O,X,O,X,X,O,X,O
TJZLSIO,O,X,X,X,O,O,X,X,X
TJZLSOI,O,X,X,O,O,O,X,X,X
TJZLOIS,O,O,X,O,X,X,X,X,X
TJZLOSI,O,O,X,O,X,X,X,X,X
TJZSILO,O,X,X,X,O,O,X,X,X
TJZSIOL,O,X,X,X,O,O,X,X,X
TJZSLIO,O,X,X,X,O,O,X,X,X
TJZSLOI,O,X,X,O,O,O,X,X,X
TJZSOIL,O,X,X,O,O,O,X,X,X
TJZSOLI,O,X,X,O,O,O,X,X,X
TJZOILS,O,O,X,O,X,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,X,X
TJZOLIS,O,O,X,O,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X,X
TJZOSIL,O,O,X,O,X,X,X,X,X
TJZOSLI,O,O,X,O,X,X,X,X,X
TJOILSZ,O,O,X,O,X,X,O,X,O
TJOILZS,O,O,X,O,X,X,O,X,O
TJOISLZ,O,O,X,O,X,X,O,X,O
TJOISZL,O,O,X,X,X,X,O,X,O
TJOIZLS,O,O,X,O,X,X,O,X,O
TJOIZSL,O,X,X,O,X,X,O,X,O
TJOLISZ,O,O,X,O,X,X,O,X,O
TJOLIZS,O,O,X,O,X,X,O,X,O
TJOLSIZ,O,O,X,O,X,X,X,X,X
TJOLSZI,O,O,X,O,X,X,X,X,X
TJOLZIS,O,O,X,O,X,X,X,X,X
TJOLZSI,O,O,X,O,X,X,X,X,X
TJOSILZ,O,O,X,O,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X,X
TJOZILS,O,O,X,O,X,X,X,X,X
TJOZISL,O,X,X,O,X,X,X,X,X
TJOZLIS,O,O,X,O,X,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X,X
TJOZSIL,O,O,X,O,X,X,X,X,X
TJOZSLI,O,O,X,O,X,X,X,X,X
TSILJZO,O,X,O,X,O,X,X,X,X
TSILJOZ,O,O,O,X,X,X,O,X,X
TSILZJO,O,X,O,X,O,O,X,X,X
TSILZOJ,O,X,X,X,O,O,X,X,X
TSILOJZ,O,O,O,X,X,X,O,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X
TSIJLZO,O,X,O,X,O,X,X,X,X
TSIJLOZ,O,O,O,X,X,X,O,X,X
TSIJZLO,O,X,O,X,X,X,X,X,X
TSIJZOL,O,X,O,X,X,X,X,X,X
TSIJOLZ,O,O,O,X,X,X,O,X,X
TSIJOZL,O,O,O,X,X,X,O,X,X
TSIZLJO,O,X,O,X,O,O,X,X,X
TSIZLOJ,O,X,X,X,O,O,X,X,X
TSIZJLO,O,X,O,X,O,O,X,X,X
TSIZJOL,O,X,O,X,O,O,X,X,X
TSIZOLJ,O,X,X,X,O,O,X,X,X
TSIZOJL,X,X,X,X,O,O,X,X,X
TSIOLJZ,O,O,O,X,X,X,O,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,O,X,X,X,O,X,X
TSIOJZL,O,O,O,X,X,X,O,X,X
TSIOZLJ,O,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X,X
TSLIJZO,O,X,O,X,O,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,O,X,X
TSLIZJO,O,X,O,X,O,O,X,X,X
TSLIZOJ,O,X,X,X,O,O,X,X,X
TSLIOJZ,O,O,O,X,X,X,O,X,X
TSLIOZJ,O,X,X,X,X,X,X,X,X
TSLJIZO,O,X,O,X,O,X,X,X,O
TSLJIOZ,O,O,O,X,X,X,O,X,O
TSLJZIO,O,X,X,X,O,X,X,X,X
TSLJZOI,O,X,X,O,O,X,X,X,X
TSLJOIZ,O,O,X,O,X,X,X,X,X
TSLJOZI,O,O,X,O,O,X,X,X,X
TSLZIJO,O,X,O,X,O,O,X,X,X
TSLZIOJ,O,X,X,X,O,O,X,X,X
TSLZJIO,O,X,X,X,O,O,X,X,X
TSLZJOI,O,X,X,O,O,O,X,X,X
TSLZOIJ,O,X,X,X,O,O,X,X,X
TSLZOJI,O,X,X,X,O,O,X,X,X
TSLOIJZ,O,O,O,X,X,X,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,O,X,X,X,X
TSLOZIJ,O,X,X,X,X,O,X,O,X
TSLOZJI,O,X,X,X,X,O,X,O,X
TSJILZO,O,X,O,X,O,X,X,X,O
TSJILOZ,O,O,O,X,X,X,O,X,O
TSJIZLO,O,X,O,X,X,X,X,X,O
TSJIZOL,O,X,O,X,X,X,X,X,O
TSJIOLZ,O,O,O,X,X,X,O,X,O
TSJIOZL,O,O,O,X,X,X,O,X,O
TSJLIZO,O,X,O,X,O,X,X,X,O
TSJLIOZ,O,O,O,X,X,X,O,X,O
TSJLZIO,O,X,X,X,O,X,X,X,X
TSJLZOI,O,X,X,O,O,X,X,X,X
TSJLOIZ,O,O,X,O,X,X,X,X,X
TSJLOZI,O,O,X,O,O,X,X,X,X
TSJZILO,O,X,X,X,O,X,X,X,X
TSJZIOL,O,X,X,X,O,X,X,X,X
TSJZLIO,O,X,X,X,O,X,X,X,X
TSJZLOI,O,X,X,O,O,X,X,X,X
TSJZOIL,O,X,X,O,O,X,X,X,X
TSJZOLI,O,X,X,O,O,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,X
TSJOLZI,O,O,X,O,O,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X,X
TSZILJO,O,X,O,X,O,O,X,X,X
TSZILOJ,O,X,X,X,O,O,X,X,X
TSZIJLO,O,X,O,X,O,O,X,X,X
TSZIJOL,O,X,O,X,O,O,X,X,X
TSZIOLJ,O,X,X,X,O,O,X,X,X
TSZIOJL,X,X,X,X,O,O,X,X,X
TSZLIJO,O,X,O,X,O,O,X,X,X
TSZLIOJ,O,X,X,X,O,O,X,X,X
TSZLJIO,O,X,X,X,O,O,X,X,X
TSZLJOI,O,X,X,O,O,O,X,X,X
TSZLOIJ,O,X,X,X,O,O,X,X,X
TSZLOJI,O,X,X,X,O,O,X,X,X
TSZJILO,O,X,X,X,O,O,X,X,X
TSZJIOL,O,X,X,X,O,O,X,X,X
TSZJLIO,O,X,X,X,O,O,X,X,X
TSZJLOI,O,X,X,O,O,O,X,X,X
TSZJOIL,O,X,X,O,O,O,X,X,X
TSZJOLI,O,X,X,O,O,O,X,X,X
TSZOILJ,O,X,X,X,O,O,X,X,X
TSZOIJL,O,X,X,X,O,O,X,X,X
TSZOLIJ,O,X,X,X,O,O,X,X,X
TSZOLJI,O,X,X,X,O,O,X,X,X
TSZOJIL,O,X,X,X,O,O,X,X,X
TSZOJLI,O,X,X,X,O,O,X,X,X
TSOILJZ,O,O,O,X,X,X,X,X,X
TSOILZJ,O,X,O,X,X,X,X,X,X
TSOIJLZ,O,O,O,X,X,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X,X,X
TSOIZLJ,O,X,O,X,X,X,X,X,X
TSOIZJL,O,X,O,X,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,X,X,X,X
TSOLIZJ,O,X,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,O,X,X,X,X
TSOLZIJ,O,X,X,X,X,O,X,O,X
TSOLZJI,O,X,X,X,X,O,X,O,X
TSOJILZ,O,O,X,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,X,O,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,X,X
TSOZILJ,O,X,X,X,X,O,X,O,X
TSOZIJL,O,X,X,X,X,O,X,O,X
TSOZLIJ,O,X,X,X,X,O,X,O,X
TSOZLJI,O,X,X,X,X,O,X,O,X
TSOZJIL,O,X,X,X,X,O,X,O,X
TSOZJLI,O,X,X,X,X,O,X,O,X
TZILJSO,O,X,X,X,O,O,X,X,X
TZILJOS,O,X,X,O,X,X,O,X,X
TZILSJO,O,X,X,X,O,O,X,X,X
TZILSOJ,O,X,X,X,O,O,X,X,X
TZILOJS,X,X,X,X,X,X,O,X,X
TZILOSJ,O,X,X,X,O,O,X,X,X
TZIJLSO,O,X,X,X,O,O,X,X,X
TZIJLOS,O,X,X,O,X,X,O,X,X
TZIJSLO,O,X,X,X,O,O,X,X,X
TZIJSOL,O,X,X,X,O,O,X,X,X
TZIJOLS,O,X,X,O,X,X,O,X,X
TZIJOSL,O,X,X,O,X,X,O,X,X
TZISLJO,O,X,X,X,O,O,X,X,X
TZISLOJ,O,X,X,X,O,O,X,X,X
TZISJLO,O,X,X,X,O,O,X,X,X
TZISJOL,O,X,X,X,O,O,X,X,X
TZISOLJ,O,X,X,X,O,O,X,X,X
TZISOJL,X,X,X,X,O,O,X,X,X
TZIOLJS,X,X,X,X,X,X,O,X,X
TZIOLSJ,O,X,X,X,O,O,X,X,X
TZIOJLS,X,X,X,X,X,X,O,X,X
TZIOJSL,X,X,X,X,X,X,O,X,X
TZIOSLJ,O,X,X,X,O,O,X,X,X
TZIOSJL,O,X,X,X,O,O,X,X,X
