sequence,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqB3rBUsB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqBUsB3rB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBKmB?zhB5oB0qBVxB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFzgBumB?5oBKsBUlBVwB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgB5oB?TmBKsB0qBlrB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBymB?5oBlqBUsBTrB
TJLISZO,O,X,O,O,X,X
TJLISOZ,O,X,O,O,X,X
TJLIZSO,X,O,X,O,X,X
TJLIZOS,X,O,X,O,X,X
TJLIOSZ,O,X,O,O,X,X
TJLIOZS,X,O,X,O,X,X
TJLSIZO,O,X,O,O,X,X
TJLSIOZ,O,X,O,O,X,X
TJLSZIO,O,X,O,O,X,X
TJLSZOI,O,X,O,O,X,X
TJLSOIZ,O,X,O,O,X,X
TJLSOZI,O,X,O,O,X,X
TJLZISO,X,O,X,O,X,X
TJLZIOS,X,O,X,O,X,X
TJLZSIO,X,O,X,O,X,X
TJLZSOI,X,O,X,O,X,X
TJLZOIS,X,O,X,O,X,X
TJLZOSI,X,O,X,O,X,X
TJLOISZ,O,X,O,O,X,X
TJLOIZS,X,O,X,O,X,X
TJLOSIZ,O,X,O,O,X,X
TJLOSZI,O,X,O,O,X,X
TJLOZIS,X,O,X,O,X,X
TJLOZSI,X,O,X,O,X,X
TJSILZO,O,X,O,O,X,O
TJSILOZ,O,X,O,O,X,X
TJSIZLO,O,O,O,X,X,O
TJSIZOL,O,O,O,X,X,O
TJSIOLZ,O,X,O,O,X,X
TJSIOZL,O,O,O,X,X,O
TJSLIZO,O,X,O,O,X,O
TJSLIOZ,O,X,O,O,X,X
TJSLZIO,O,X,O,O,X,O
TJSLZOI,O,X,O,O,X,O
TJSLOIZ,O,X,O,O,X,X
TJSLOZI,O,X,O,O,X,X
TJSZILO,O,O,O,X,X,O
TJSZIOL,O,O,O,X,X,O
TJSZLIO,O,O,O,X,X,O
TJSZLOI,O,O,O,X,X,O
TJSZOIL,O,O,O,X,X,O
TJSZOLI,O,O,O,X,X,O
TJSOILZ,O,X,O,O,X,X
TJSOIZL,O,O,O,X,X,O
TJSOLIZ,O,X,O,O,X,X
TJSOLZI,O,X,O,O,X,X
TJSOZIL,O,O,O,X,X,O
TJSOZLI,O,O,O,X,X,O
TJZILSO,X,O,O,X,X,O
TJZILOS,X,O,O,X,X,X
TJZISLO,O,O,O,X,X,O
TJZISOL,O,O,O,X,X,O
TJZIOLS,X,O,O,X,X,X
TJZIOSL,O,O,O,X,X,X
TJZLISO,X,O,O,X,X,O
TJZLIOS,X,O,O,X,X,X
TJZLSIO,X,O,O,X,X,O
TJZLSOI,X,O,O,X,X,O
TJZLOIS,X,O,O,X,X,X
TJZLOSI,X,O,O,X,X,X
TJZSILO,O,O,O,X,X,O
TJZSIOL,O,O,O,X,X,O
TJZSLIO,O,O,O,X,X,O
TJZSLOI,O,O,O,X,X,O
TJZSOIL,O,O,O,X,X,O
TJZSOLI,O,O,O,X,X,O
TJZOILS,X,O,O,X,X,X
TJZOISL,O,O,O,X,X,X
TJZOLIS,X,O,O,X,X,X
TJZOLSI,X,O,O,X,X,X
TJZOSIL,O,O,O,X,X,X
TJZOSLI,O,O,O,X,X,X
TJOILSZ,O,X,O,O,X,X
TJOILZS,X,O,X,O,X,X
TJOISLZ,O,X,O,O,X,X
TJOISZL,O,O,O,X,X,X
TJOIZLS,X,O,O,X,X,X
TJOIZSL,O,O,O,X,X,X
TJOLISZ,O,X,O,O,X,X
TJOLIZS,X,O,X,O,X,X
TJOLSIZ,O,X,O,O,X,X
TJOLSZI,O,X,O,O,X,X
TJOLZIS,X,O,X,O,X,X
TJOLZSI,X,O,X,O,X,X
TJOSILZ,O,X,O,O,X,X
TJOSIZL,O,O,O,X,X,X
TJOSLIZ,O,X,O,O,X,X
TJOSLZI,O,X,O,O,X,X
TJOSZIL,O,O,O,X,X,X
TJOSZLI,O,O,O,X,X,X
TJOZILS,X,O,O,X,X,X
TJOZISL,O,O,O,X,X,X
TJOZLIS,X,O,O,X,X,X
TJOZLSI,X,O,O,X,X,X
TJOZSIL,O,O,O,X,X,X
TJOZSLI,O,O,O,X,X,X
TSILJZO,O,X,O,O,O,O
TSILJOZ,O,X,O,O,X,X
TSILZJO,X,X,O,O,O,O
TSILZOJ,X,X,O,O,O,O
TSILOJZ,O,X,O,O,X,X
TSILOZJ,X,X,O,O,X,X
TSIJLZO,O,X,O,O,O,O
TSIJLOZ,O,X,O,O,X,X
TSIJZLO,O,O,O,X,O,O
TSIJZOL,O,O,O,X,X,O
TSIJOLZ,O,X,O,O,X,X
TSIJOZL,O,O,O,X,X,O
TSIZLJO,X,X,O,O,O,O
TSIZLOJ,X,X,O,O,O,O
TSIZJLO,X,X,O,X,O,O
TSIZJOL,X,X,O,X,X,O
TSIZOLJ,X,X,O,O,X,O
TSIZOJL,X,X,O,X,X,O
TSIOLJZ,O,X,O,O,X,X
TSIOLZJ,X,X,O,O,X,X
TSIOJLZ,O,X,O,O,X,X
TSIOJZL,O,O,O,X,X,O
TSIOZLJ,X,X,O,O,X,O
TSIOZJL,X,X,O,X,X,O
TSLIJZO,O,X,O,O,O,O
TSLIJOZ,O,X,O,O,X,X
TSLIZJO,X,X,O,O,O,O
TSLIZOJ,X,X,O,O,O,O
TSLIOJZ,O,X,O,O,X,X
TSLIOZJ,X,X,O,O,X,X
TSLJIZO,O,X,O,O,O,O
TSLJIOZ,O,X,O,O,X,X
TSLJZIO,O,X,O,O,O,O
TSLJZOI,O,X,O,O,O,O
TSLJOIZ,O,X,O,O,X,X
TSLJOZI,O,X,O,O,X,X
TSLZIJO,X,X,O,O,O,O
TSLZIOJ,X,X,O,O,O,O
TSLZJIO,X,X,O,O,O,O
TSLZJOI,X,X,O,O,O,O
TSLZOIJ,X,X,O,O,O,O
TSLZOJI,X,X,O,O,O,O
TSLOIJZ,O,X,O,O,X,X
TSLOIZJ,X,X,O,O,X,X
TSLOJIZ,O,X,O,O,X,X
TSLOJZI,O,X,O,O,X,X
TSLOZIJ,X,X,O,O,X,X
TSLOZJI,X,X,O,O,X,X
TSJILZO,O,X,O,O,O,O
TSJILOZ,O,X,O,O,X,X
TSJIZLO,O,O,O,X,O,O
TSJIZOL,O,O,O,X,X,O
TSJIOLZ,O,X,O,O,X,X
TSJIOZL,O,O,O,X,X,O
TSJLIZO,O,X,O,O,O,O
TSJLIOZ,O,X,O,O,X,X
TSJLZIO,O,X,O,O,O,O
TSJLZOI,O,X,O,O,O,O
TSJLOIZ,O,X,O,O,X,X
TSJLOZI,O,X,O,O,X,X
TSJZILO,O,O,O,X,O,O
TSJZIOL,O,O,O,X,X,O
TSJZLIO,O,O,O,X,O,O
TSJZLOI,O,O,O,X,O,O
TSJZOIL,O,O,O,X,X,O
TSJZOLI,O,O,O,X,X,O
TSJOILZ,O,X,O,O,X,X
TSJOIZL,O,O,O,X,X,O
TSJOLIZ,O,X,O,O,X,X
TSJOLZI,O,X,O,O,X,X
TSJOZIL,O,O,O,X,X,O
TSJOZLI,O,O,O,X,X,O
TSZILJO,X,X,O,O,O,O
TSZILOJ,X,X,O,O,O,O
TSZIJLO,X,X,O,X,O,O
TSZIJOL,X,X,O,X,X,O
TSZIOLJ,X,X,O,O,X,O
TSZIOJL,X,X,O,X,X,O
TSZLIJO,X,X,O,O,O,O
TSZLIOJ,X,X,O,O,O,O
TSZLJIO,X,X,O,O,O,O
TSZLJOI,X,X,O,O,O,O
TSZLOIJ,X,X,O,O,O,O
TSZLOJI,X,X,O,O,O,O
TSZJILO,X,X,O,X,O,O
TSZJIOL,X,X,O,X,X,O
TSZJLIO,X,X,O,X,O,O
TSZJLOI,X,X,O,X,O,O
TSZJOIL,X,X,O,X,X,O
TSZJOLI,X,X,O,X,X,O
TSZOILJ,X,X,O,O,X,O
TSZOIJL,X,X,O,X,X,O
TSZOLIJ,X,X,O,O,X,O
TSZOLJI,X,X,O,O,X,O
TSZOJIL,X,X,O,X,X,O
TSZOJLI,X,X,O,X,X,O
TSOILJZ,O,X,O,O,X,X
TSOILZJ,X,X,O,O,X,X
TSOIJLZ,O,X,O,O,X,X
TSOIJZL,O,O,O,X,X,O
TSOIZLJ,X,X,O,O,X,O
TSOIZJL,X,X,O,X,X,O
TSOLIJZ,O,X,O,O,X,X
TSOLIZJ,X,X,O,O,X,X
TSOLJIZ,O,X,O,O,X,X
TSOLJZI,O,X,O,O,X,X
TSOLZIJ,X,X,O,O,X,X
TSOLZJI,X,X,O,O,X,X
TSOJILZ,O,X,O,O,X,X
TSOJIZL,O,O,O,X,X,O
TSOJLIZ,O,X,O,O,X,X
TSOJLZI,O,X,O,O,X,X
TSOJZIL,O,O,O,X,X,O
TSOJZLI,O,O,O,X,X,O
TSOZILJ,X,X,O,O,X,O
TSOZIJL,X,X,O,X,X,O
TSOZLIJ,X,X,O,O,X,O
TSOZLJI,X,X,O,O,X,O
TSOZJIL,X,X,O,X,X,O
TSOZJLI,X,X,O,X,X,O
TZILJSO,X,O,O,O,X,O
TZILJOS,X,O,O,O,X,X
TZILSJO,X,X,O,O,O,O
TZILSOJ,X,X,O,O,O,O
TZILOJS,X,O,O,O,X,X
TZILOSJ,X,X,O,O,O,O
TZIJLSO,X,O,O,X,X,O
TZIJLOS,X,O,O,X,X,X
TZIJSLO,O,O,O,X,X,O
TZIJSOL,O,O,O,X,X,O
TZIJOLS,X,O,O,X,X,X
TZIJOSL,O,O,O,X,X,X
TZISLJO,X,X,O,O,O,O
TZISLOJ,X,X,O,O,O,O
TZISJLO,X,X,O,X,O,O
TZISJOL,X,X,O,X,X,O
TZISOLJ,X,X,O,O,X,O
TZISOJL,X,X,O,X,X,O
TZIOLJS,X,O,O,O,X,X
TZIOLSJ,X,X,O,O,X,O
TZIOJLS,X,O,O,X,X,X
TZIOJSL,O,O,O,X,X,X
TZIOSLJ,X,X,O,O,X,O
TZIOSJL,X,X,O,X,X,O
TZLIJSO,X,O,O,O,X,O
TZLIJOS,X,O,O,O,X,X
TZLISJO,X,X,O,O,O,O
TZLISOJ,X,X,O,O,O,O
TZLIOJS,X,O,O,O,X,X
TZLIOSJ,X,X,O,O,O,O
TZLJISO,X,O,O,O,X,O
TZLJIOS,X,O,O,O,X,X
TZLJSIO,X,O,O,O,X,O
TZLJSOI,X,O,O,O,X,O
TZLJOIS,X,O,O,O,X,X
TZLJOSI,X,O,O,O,X,X
TZLSIJO,X,X,O,O,O,O
TZLSIOJ,X,X,O,O,O,O
TZLSJIO,X,X,O,O,O,O
TZLSJOI,X,X,O,O,O,O
TZLSOIJ,X,X,O,O,O,O
TZLSOJI,X,X,O,O,O,O
TZLOIJS,X,O,O,O,X,X
TZLOISJ,X,X,O,O,O,O
TZLOJIS,X,O,O,O,X,X
TZLOJSI,X,O,O,O,X,X
TZLOSIJ,X,X,O,O,O,O
TZLOSJI,X,X,O,O,O,O
TZJILSO,X,O,O,X,X,O
TZJILOS,X,O,O,X,X,X
TZJISLO,O,O,O,X,X,O
TZJISOL,O,O,O,X,X,O
TZJIOLS,X,O,O,X,X,X
TZJIOSL,O,O,O,X,X,X
TZJLISO,X,O,O,X,X,O
TZJLIOS,X,O,O,X,X,X
TZJLSIO,X,O,O,X,X,O
TZJLSOI,X,O,O,X,X,O
TZJLOIS,X,O,O,X,X,X
TZJLOSI,X,O,O,X,X,X
TZJSILO,O,O,O,X,X,O
TZJSIOL,O,O,O,X,X,O
TZJSLIO,O,O,O,X,X,O
TZJSLOI,O,O,O,X,X,O
TZJSOIL,O,O,O,X,X,O
TZJSOLI,O,O,O,X,X,O
TZJOILS,X,O,O,X,X,X
TZJOISL,O,O,O,X,X,X
TZJOLIS,X,O,O,X,X,X
TZJOLSI,X,O,O,X,X,X
TZJOSIL,O,O,O,X,X,X
TZJOSLI,O,O,O,X,X,X
TZSILJO,X,X,O,O,O,O
TZSILOJ,X,X,O,O,O,O
TZSIJLO,X,X,O,X,O,O
TZSIJOL,X,X,O,X,X,O
TZSIOLJ,X,X,O,O,X,O
TZSIOJL,X,X,O,X,X,O
TZSLIJO,X,X,O,O,O,O
TZSLIOJ,X,X,O,O,O,O
TZSLJIO,X,X,O,O,O,O
TZSLJOI,X,X,O,O,O,O
TZSLOIJ,X,X,O,O,O,O
TZSLOJI,X,X,O,O,O,O
TZSJILO,X,X,O,X,O,O
TZSJIOL,X,X,O,X,X,O
TZSJLIO,X,X,O,X,O,O
TZSJLOI,X,X,O,X,O,O
TZSJOIL,X,X,O,X,X,O
TZSJOLI,X,X,O,X,X,O
TZSOILJ,X,X,O,O,X,O
TZSOIJL,X,X,O,X,X,O
TZSOLIJ,X,X,O,O,X,O
TZSOLJI,X,X,O,O,X,O
TZSOJIL,X,X,O,X,X,O
TZSOJLI,X,X,O,X,X,O
TZOILJS,X,O,O,O,X,X
TZOILSJ,X,X,O,O,X,O
TZOIJLS,X,O,O,X,X,X
TZOIJSL,O,O,O,X,X,X
TZOISLJ,X,X,O,O,X,O
TZOISJL,X,X,O,X,X,O
TZOLIJS,X,O,O,O,X,X
TZOLISJ,X,X,O,O,X,O
TZOLJIS,X,O,O,O,X,X
TZOLJSI,X,O,O,O,X,X
TZOLSIJ,X,X,O,O,X,O
TZOLSJI,X,X,O,O,X,O
TZOJILS,X,O,O,X,X,X
TZOJISL,O,O,O,X,X,X
TZOJLIS,X,O,O,X,X,X
TZOJLSI,X,O,O,X,X,X
TZOJSIL,O,O,O,X,X,X
TZOJSLI,O,O,O,X,X,X
TZOSILJ,X,X,O,O,X,O
TZOSIJL,X,X,O,X,X,O
TZOSLIJ,X,X,O,O,X,O
TZOSLJI,X,X,O,O,X,O
TZOSJIL,X,X,O,X,X,O
TZOSJLI,X,X,O,X,X,O
TOILJSZ,O,X,O,O,X,X
TOILJZS,X,O,X,O,X,X
TOILSJZ,X,X,O,O,X,X
TOILSZJ,X,X,O,O,X,X
TOILZJS,X,X,O,O,X,X
TOILZSJ,X,X,O,O,X,X
TOIJLSZ,O,X,O,O,X,X
TOIJLZS,X,O,X,O,X,X
TOIJSLZ,O,X,O,O,X,X
TOIJSZL,O,O,O,X,X,X
TOIJZLS,X,O,O,X,X,X
TOIJZSL,O,O,O,X,X,X
TOISLJZ,O,X,O,O,X,X
TOISLZJ,X,X,O,O,X,X
TOISJLZ,O,X,O,O,X,X
TOISJZL,O,O,O,X,X,O
TOISZLJ,X,X,O,O,X,O
TOISZJL,X,X,O,X,X,O
TOIZLJS,X,O,O,O,X,X
TOIZLSJ,X,X,O,O,X,O
TOIZJLS,X,O,O,X,X,X
TOIZJSL,O,O,O,X,X,X
TOIZSLJ,X,X,O,O,X,O
TOIZSJL,X,X,O,X,X,O
TOLIJSZ,O,X,O,O,X,X
TOLIJZS,X,O,X,O,X,X
TOLISJZ,X,X,O,O,X,X
TOLISZJ,X,X,O,O,X,X
TOLIZJS,X,X,O,O,X,X
TOLIZSJ,X,X,O,O,X,X
TOLJISZ,O,X,O,O,X,X
TOLJIZS,X,O,X,O,X,X
TOLJSIZ,O,X,O,O,X,X
TOLJSZI,O,X,O,O,X,X
TOLJZIS,X,O,X,O,X,X
TOLJZSI,X,O,X,O,X,X
TOLSIJZ,X,X,O,O,X,X
TOLSIZJ,X,X,O,O,X,X
TOLSJIZ,X,X,O,O,X,X
TOLSJZI,X,X,O,O,X,X
TOLSZIJ,X,X,O,O,X,X
TOLSZJI,X,X,O,O,X,X
TOLZIJS,X,X,O,O,X,X
TOLZISJ,X,X,O,O,X,X
TOLZJIS,X,X,O,O,X,X
TOLZJSI,X,X,O,O,X,X
TOLZSIJ,X,X,O,O,X,X
TOLZSJI,X,X,O,O,X,X
TOJILSZ,O,X,O,O,X,X
TOJILZS,X,O,X,O,X,X
TOJISLZ,O,X,O,O,X,X
TOJISZL,O,O,O,X,X,X
TOJIZLS,X,O,O,X,X,X
TOJIZSL,O,O,O,X,X,X
TOJLISZ,O,X,O,O,X,X
TOJLIZS,X,O,X,O,X,X
TOJLSIZ,O,X,O,O,X,X
TOJLSZI,O,X,O,O,X,X
TOJLZIS,X,O,X,O,X,X
TOJLZSI,X,O,X,O,X,X
TOJSILZ,O,X,O,O,X,X
TOJSIZL,O,O,O,X,X,X
