sequence,v115@NhA8IeB8AeD8BeE8JeOEJvhFxgBliBcoBzkBCmBXrB,v115@NhA8IeB8AeD8BeE8Je0/IvhF6lBThBxiB2pBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXgB6mBliBcoBRqBzqB,v115@NhA8IeB8AeD8BeE8JeKEJvhFGgBThBxiBUlBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhF0gBxiBzkBSrBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXhBxiBzkBSrBFoB0qB,v115@NhA8IeB8AeD8BeE8JeKEJvhFflBThBxiBWrBFoB0qB
TJIZLSO,X,O,O,X,X,X,O
TJIZLOS,X,O,O,X,X,X,O
TJIZSLO,X,O,O,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X
TJIZOLS,X,O,O,X,O,O,O
TJIZOSL,X,O,O,X,O,X,X
TJIOLSZ,X,X,X,X,O,O,O
TJIOLZS,X,X,X,X,O,O,O
TJIOSLZ,X,O,X,X,O,O,O
TJIOSZL,X,O,X,X,O,X,X
TJIOZLS,X,O,X,X,O,O,O
TJIOZSL,X,O,X,X,O,X,X
TJLISZO,X,O,O,O,X,X,O
TJLISOZ,X,O,X,O,X,O,O
TJLIZSO,X,O,O,O,X,X,O
TJLIZOS,X,O,O,O,O,X,O
TJLIOSZ,X,X,X,X,O,O,O
TJLIOZS,X,X,X,X,O,O,O
TJLSIZO,X,O,X,O,X,X,O
TJLSIOZ,X,O,X,O,X,O,O
TJLSZIO,X,O,X,O,X,X,O
TJLSZOI,X,O,X,O,X,X,O
TJLSOIZ,X,O,X,O,X,O,O
TJLSOZI,X,O,X,O,X,O,O
TJLZISO,X,O,O,O,X,X,O
TJLZIOS,X,O,O,O,O,X,O
TJLZSIO,X,O,O,O,X,X,O
TJLZSOI,X,O,X,O,X,X,O
TJLZOIS,X,O,O,O,O,X,O
TJLZOSI,X,O,X,O,O,X,O
TJLOISZ,X,X,X,X,O,O,O
TJLOIZS,X,X,X,X,O,O,O
TJLOSIZ,X,X,X,X,O,O,O
TJLOSZI,X,X,X,X,O,O,O
TJLOZIS,X,X,X,X,O,O,O
TJLOZSI,X,X,X,X,O,O,O
TJSILZO,X,O,X,O,X,X,O
TJSILOZ,X,O,X,O,X,X,O
TJSIZLO,X,O,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X
TJSIOLZ,X,O,X,O,O,O,O
TJSIOZL,X,O,X,X,O,X,X
TJSLIZO,O,O,X,O,X,X,O
TJSLIOZ,X,O,X,O,X,X,O
TJSLZIO,O,O,X,O,X,X,O
TJSLZOI,O,O,X,O,X,X,O
TJSLOIZ,X,O,X,O,X,X,O
TJSLOZI,X,O,X,O,X,X,O
TJSZILO,O,O,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X
TJSOILZ,X,O,X,O,O,O,O
TJSOIZL,O,O,X,X,O,X,X
TJSOLIZ,O,O,X,O,O,O,O
TJSOLZI,O,O,X,O,O,O,O
TJSOZIL,O,O,X,X,O,X,X
TJSOZLI,O,O,X,X,O,X,X
TJZILSO,X,O,O,X,X,X,O
TJZILOS,X,O,O,X,X,X,O
TJZISLO,O,O,O,X,X,X,X
TJZISOL,O,O,O,X,X,X,X
TJZIOLS,O,O,O,X,O,O,O
TJZIOSL,O,O,O,X,O,X,X
TJZLISO,X,O,O,X,X,X,O
TJZLIOS,X,O,O,X,X,X,O
TJZLSIO,O,O,O,X,X,X,O
TJZLSOI,O,O,X,X,X,X,O
TJZLOIS,O,O,O,X,X,X,O
TJZLOSI,O,O,X,X,X,X,O
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X
TJZOILS,O,O,O,X,O,O,O
TJZOISL,O,O,O,X,O,X,X
TJZOLIS,O,O,O,X,O,O,O
TJZOLSI,O,O,X,X,O,O,O
TJZOSIL,O,O,X,X,O,X,X
TJZOSLI,O,O,X,X,O,X,X
TJOILSZ,X,X,X,X,O,O,O
TJOILZS,X,X,X,X,O,O,O
TJOISLZ,X,O,X,X,O,O,O
TJOISZL,X,O,X,X,O,X,X
TJOIZLS,O,O,X,X,O,O,O
TJOIZSL,O,O,X,X,O,X,X
TJOLISZ,X,X,X,X,O,O,O
TJOLIZS,X,X,X,X,O,O,O
TJOLSIZ,X,X,X,X,O,O,O
TJOLSZI,X,X,X,X,O,O,O
TJOLZIS,X,X,X,X,O,O,O
TJOLZSI,X,X,X,X,O,O,O
TJOSILZ,X,O,X,X,O,O,O
TJOSIZL,O,O,X,X,O,X,X
TJOSLIZ,O,O,X,X,O,O,O
TJOSLZI,O,O,X,X,O,O,O
TJOSZIL,O,O,X,X,O,X,X
TJOSZLI,O,O,X,X,O,X,X
TJOZILS,O,O,X,X,O,O,O
