sequence,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFFhBXiB5oBcpBTl?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhF/lBUhBFiB5oBip?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhFmgBFiB5oB0lBfs?BipB,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFzgBFiB5oBcpB2q?BfsB
TLOZJSI,X,O,O,X
TLOZSIJ,X,O,O,X
TLOZSJI,X,O,O,X
TJILSZO,O,O,X,X
TJILSOZ,O,O,X,X
TJILZSO,O,O,X,X
TJILZOS,O,O,X,X
TJILOSZ,O,O,X,X
TJILOZS,O,O,X,X
TJISLZO,O,O,X,O
TJISLOZ,O,O,X,O
TJISZLO,O,O,X,O
TJISZOL,O,O,X,O
TJISOLZ,O,O,X,O
TJISOZL,O,O,X,O
TJIZLSO,O,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,O,O,X,O
TJIZSOL,O,O,X,O
TJIZOLS,O,X,X,O
TJIZOSL,O,O,X,O
TJIOLSZ,O,O,X,X
TJIOLZS,O,O,X,X
TJIOSLZ,O,O,X,O
TJIOSZL,O,O,X,O
TJIOZLS,O,X,X,O
TJIOZSL,O,O,X,O
TJLISZO,O,O,X,X
TJLISOZ,O,O,X,X
TJLIZSO,O,O,X,X
TJLIZOS,O,O,X,X
TJLIOSZ,O,O,X,X
TJLIOZS,O,O,X,X
TJLSIZO,O,O,X,X
TJLSIOZ,O,O,X,X
TJLSZIO,O,O,X,X
TJLSZOI,O,O,X,X
TJLSOIZ,O,O,X,X
TJLSOZI,O,O,X,X
TJLZISO,O,O,X,X
TJLZIOS,O,O,X,X
TJLZSIO,O,O,X,X
TJLZSOI,O,O,X,X
TJLZOIS,O,O,X,X
TJLZOSI,O,O,X,X
TJLOISZ,O,O,X,X
TJLOIZS,O,O,X,X
TJLOSIZ,O,O,X,X
TJLOSZI,O,O,X,X
TJLOZIS,O,O,X,X
TJLOZSI,O,O,X,X
TJSILZO,O,O,X,O
TJSILOZ,O,O,X,O
TJSIZLO,O,O,X,O
TJSIZOL,O,O,X,O
TJSIOLZ,O,O,X,O
TJSIOZL,O,O,X,O
TJSLIZO,O,O,X,O
TJSLIOZ,O,O,X,O
TJSLZIO,O,O,X,O
TJSLZOI,O,O,X,O
TJSLOIZ,O,O,X,O
TJSLOZI,O,O,X,O
TJSZILO,O,O,X,O
TJSZIOL,O,O,X,O
TJSZLIO,O,O,X,O
TJSZLOI,O,O,X,O
TJSZOIL,O,O,X,O
TJSZOLI,O,O,X,O
TJSOILZ,O,O,X,O
TJSOIZL,O,O,X,O
TJSOLIZ,O,O,X,O
TJSOLZI,O,O,X,O
TJSOZIL,O,O,X,O
TJSOZLI,O,O,X,O
TJZILSO,O,O,X,O
TJZILOS,O,O,X,O
TJZISLO,O,O,X,O
TJZISOL,O,O,X,O
TJZIOLS,O,X,X,O
TJZIOSL,O,O,X,O
TJZLISO,O,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,O,O,X,O
