sequence,v115@JhA8HeB8DeB8CeG8KeNEJvhFUhBanBziB5oBWrB3pB,v115@JhA8HeB8DeB8CeG8KeNEJvhFqlBmhBziB5oB0mB3pB
TOZJISL,O,O
TOZJLIS,O,O
TOZJLSI,O,O
TOZJSIL,O,O
TOZJSLI,O,O
TOZSILJ,X,O
TOZSIJL,X,O
TOZSLIJ,X,O
TOZSLJI,X,O
TOZSJIL,X,O
TOZSJLI,X,O
ITLJSZO,O,X
ITLJSOZ,O,X
ITLJZSO,O,O
ITLJZOS,O,O
ITLJOSZ,O,X
ITLJOZS,O,O
ITLSJZO,O,X
ITLSJOZ,O,X
ITLSZJO,X,O
ITLSZOJ,X,O
ITLSOJZ,O,X
ITLSOZJ,X,O
ITLZJSO,O,O
ITLZJOS,O,O
ITLZSJO,X,O
ITLZSOJ,X,O
ITLZOJS,O,O
ITLZOSJ,X,O
ITLOJSZ,O,X
ITLOJZS,O,O
ITLOSJZ,O,X
ITLOSZJ,X,O
ITLOZJS,O,O
ITLOZSJ,X,O
ITJLSZO,O,X
ITJLSOZ,O,X
ITJLZSO,O,O
ITJLZOS,O,O
ITJLOSZ,O,X
ITJLOZS,O,O
ITJSLZO,O,X
ITJSLOZ,O,X
ITJSZLO,O,X
ITJSZOL,O,X
ITJSOLZ,O,X
ITJSOZL,O,X
ITJZLSO,O,O
ITJZLOS,O,O
ITJZSLO,O,O
ITJZSOL,O,O
ITJZOLS,O,O
ITJZOSL,O,O
ITJOLSZ,O,X
ITJOLZS,O,O
ITJOSLZ,O,X
ITJOSZL,O,X
ITJOZLS,O,O
ITJOZSL,O,O
ITSLJZO,O,X
ITSLJOZ,O,X
ITSLZJO,X,O
ITSLZOJ,X,O
ITSLOJZ,O,X
ITSLOZJ,X,O
ITSJLZO,O,X
ITSJLOZ,O,X
ITSJZLO,O,X
ITSJZOL,O,X
ITSJOLZ,O,X
ITSJOZL,O,X
ITSZLJO,X,O
ITSZLOJ,X,O
ITSZJLO,X,O
ITSZJOL,X,O
ITSZOLJ,X,O
ITSZOJL,X,O
ITSOLJZ,O,X
ITSOLZJ,X,O
ITSOJLZ,O,X
ITSOJZL,O,X
ITSOZLJ,X,O
ITSOZJL,X,O
ITZLJSO,O,O
ITZLJOS,O,O
ITZLSJO,X,O
ITZLSOJ,X,O
ITZLOJS,O,O
ITZLOSJ,X,O
ITZJLSO,O,O
ITZJLOS,O,O
ITZJSLO,O,O
ITZJSOL,O,O
ITZJOLS,O,O
ITZJOSL,O,O
ITZSLJO,X,O
ITZSLOJ,X,O
ITZSJLO,X,O
ITZSJOL,X,O
ITZSOLJ,X,O
ITZSOJL,X,O
ITZOLJS,O,O
ITZOLSJ,X,O
ITZOJLS,O,O
ITZOJSL,O,O
ITZOSLJ,X,O
ITZOSJL,X,O
ITOLJSZ,O,X
ITOLJZS,O,O
ITOLSJZ,O,X
ITOLSZJ,X,O
ITOLZJS,O,O
ITOLZSJ,X,O
ITOJLSZ,O,X
ITOJLZS,O,O
ITOJSLZ,O,X
ITOJSZL,O,X
ITOJZLS,O,O
ITOJZSL,O,O
ITOSLJZ,O,X
ITOSLZJ,X,O
ITOSJLZ,O,X
ITOSJZL,O,X
ITOSZLJ,X,O
ITOSZJL,X,O
ITOZLJS,O,O
ITOZLSJ,X,O
ITOZJLS,O,O
ITOZJSL,O,O
ITOZSLJ,X,O
ITOZSJL,X,O
ILTJSZO,O,X
ILTJSOZ,O,X
ILTJZSO,O,O
ILTJZOS,O,O
ILTJOSZ,O,X
ILTJOZS,O,O
ILTSJZO,O,X
ILTSJOZ,O,X
ILTSZJO,X,O
ILTSZOJ,X,O
ILTSOJZ,O,X
ILTSOZJ,X,O
ILTZJSO,O,O
ILTZJOS,O,O
ILTZSJO,X,O
ILTZSOJ,X,O
ILTZOJS,O,O
ILTZOSJ,X,O
ILTOJSZ,O,X
ILTOJZS,O,O
ILTOSJZ,O,X
ILTOSZJ,X,O
ILTOZJS,O,O
ILTOZSJ,X,O
ILJTSZO,O,X
ILJTSOZ,O,X
ILJTZSO,O,O
ILJTZOS,O,O
ILJTOSZ,O,X
ILJTOZS,O,O
ILJSTZO,O,X
ILJSTOZ,O,X
ILJSZTO,O,X
ILJSZOT,O,X
ILJSOTZ,O,X
ILJSOZT,O,X
