sequence,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhF3gBcmBTiB5oB1p?BWwB,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhFTiB5oB3kBFmB0q?BGrB,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhFGhBTiB5oB3kBlq?BUrB,v115@FhA8IeA8FeD8AeC8CeC8KeT/IvhFlgBGiB5oBypB8q?B3rB,v115@FhA8IeA8FeD8AeC8CeC8KeKEJvhFflBlgBcmBTiB5o?BWwB
ITJLSOZ,O,X,O,O,X
ITJLZSO,O,X,X,O,X
ITJLZOS,O,X,X,O,X
ITJLOSZ,O,X,O,O,X
ITJLOZS,O,X,X,O,X
ITJSLZO,O,X,O,X,X
ITJSLOZ,O,O,O,X,X
ITJSZLO,O,X,O,X,X
ITJSZOL,O,X,O,X,X
ITJSOLZ,O,O,O,X,X
ITJSOZL,O,X,O,X,X
ITJZLSO,O,X,X,O,X
ITJZLOS,O,X,X,O,X
ITJZSLO,O,X,O,O,X
ITJZSOL,O,X,O,X,X
ITJZOLS,O,X,X,O,X
ITJZOSL,O,X,O,X,X
ITJOLSZ,O,X,O,X,X
ITJOLZS,O,X,X,X,X
ITJOSLZ,O,O,O,X,X
ITJOSZL,O,X,O,X,X
ITJOZLS,O,X,X,X,X
ITJOZSL,O,X,O,X,X
ITSLJZO,O,X,O,X,X
ITSLJOZ,O,O,O,X,X
ITSLZJO,O,O,O,X,X
ITSLZOJ,O,O,O,X,X
ITSLOJZ,O,O,O,X,X
ITSLOZJ,O,O,O,X,X
ITSJLZO,O,X,O,X,X
ITSJLOZ,O,O,O,X,X
ITSJZLO,O,X,O,X,X
ITSJZOL,O,X,O,X,X
ITSJOLZ,O,O,O,X,X
ITSJOZL,O,X,O,X,X
ITSZLJO,O,O,O,X,X
ITSZLOJ,O,O,O,X,X
ITSZJLO,O,O,O,X,X
ITSZJOL,O,O,O,X,X
ITSZOLJ,O,O,O,X,X
ITSZOJL,O,O,O,X,X
ITSOLJZ,O,O,O,X,X
ITSOLZJ,O,O,O,X,X
ITSOJLZ,O,O,O,X,X
ITSOJZL,O,X,O,X,X
ITSOZLJ,O,O,O,X,X
ITSOZJL,O,O,O,X,X
ITZLJSO,O,X,X,O,X
ITZLJOS,O,X,X,O,X
ITZLSJO,O,O,X,O,O
ITZLSOJ,O,O,X,O,O
ITZLOJS,O,X,X,O,X
ITZLOSJ,O,O,X,O,O
ITZJLSO,O,X,X,O,X
ITZJLOS,O,X,X,O,X
ITZJSLO,O,O,O,O,X
ITZJSOL,O,O,O,X,X
ITZJOLS,O,X,X,O,X
ITZJOSL,O,O,O,X,X
ITZSLJO,O,O,O,O,X
ITZSLOJ,O,O,O,O,X
ITZSJLO,O,O,O,O,X
ITZSJOL,O,O,O,X,X
ITZSOLJ,O,O,O,X,X
ITZSOJL,O,O,O,X,X
ITZOLJS,O,X,X,O,X
ITZOLSJ,O,O,X,O,O
ITZOJLS,O,X,X,O,X
ITZOJSL,O,O,O,X,X
ITZOSLJ,O,O,O,X,X
ITZOSJL,O,O,O,X,X
ITOLJSZ,O,X,O,X,X
ITOLJZS,O,X,X,X,X
ITOLSJZ,O,O,O,X,O
ITOLSZJ,O,O,O,X,O
ITOLZJS,O,X,X,X,X
ITOLZSJ,O,X,X,X,O
ITOJLSZ,O,X,O,X,X
ITOJLZS,O,X,X,X,X
ITOJSLZ,O,O,O,X,X
ITOJSZL,O,X,O,X,X
ITOJZLS,O,X,X,X,X
ITOJZSL,O,X,O,X,X
ITOSLJZ,O,O,O,X,X
ITOSLZJ,O,O,O,X,X
ITOSJLZ,O,O,O,X,X
ITOSJZL,O,X,O,X,X
ITOSZLJ,O,O,O,X,X
ITOSZJL,O,O,O,X,X
ITOZLJS,O,X,X,X,X
ITOZLSJ,O,O,X,X,O
ITOZJLS,O,X,X,X,X
ITOZJSL,O,O,O,X,X
ITOZSLJ,O,O,O,X,X
ITOZSJL,O,O,O,X,X
ILTJSZO,O,X,O,X,X
ILTJSOZ,O,X,O,O,X
ILTJZSO,O,X,X,O,X
ILTJZOS,O,X,X,O,X
ILTJOSZ,O,X,O,O,X
ILTJOZS,O,X,X,O,X
ILTSJZO,O,X,O,X,O
ILTSJOZ,O,O,O,O,O
ILTSZJO,O,X,O,X,O
ILTSZOJ,O,O,O,X,O
ILTSOJZ,O,O,O,O,O
ILTSOZJ,O,O,O,X,O
ILTZJSO,O,X,X,O,X
ILTZJOS,O,X,X,O,X
ILTZSJO,O,X,X,O,O
ILTZSOJ,O,X,X,O,O
ILTZOJS,O,X,X,O,X
ILTZOSJ,O,X,X,O,O
ILTOJSZ,O,X,O,O,X
ILTOJZS,O,X,X,O,X
ILTOSJZ,O,O,O,O,O
ILTOSZJ,O,O,O,X,O
ILTOZJS,O,X,X,O,X
ILTOZSJ,O,X,X,O,O
ILJTSZO,X,X,O,X,X
ILJTSOZ,X,X,O,O,X
ILJTZSO,X,X,X,O,X
ILJTZOS,X,X,X,O,X
ILJTOSZ,X,X,O,O,X
ILJTOZS,X,X,X,O,X
ILJSTZO,X,X,X,X,O
ILJSTOZ,X,X,O,O,O
ILJSZTO,X,X,X,O,O
ILJSZOT,X,X,O,O,O
ILJSOTZ,X,X,O,O,O
ILJSOZT,X,X,O,O,O
ILJZTSO,X,X,X,O,X
ILJZTOS,X,X,X,O,X
ILJZSTO,X,X,X,O,O
ILJZSOT,X,X,X,O,O
ILJZOTS,X,X,X,O,X
ILJZOST,X,X,X,O,O
ILJOTSZ,X,X,O,O,X
ILJOTZS,X,X,X,O,X
ILJOSTZ,X,X,O,O,O
ILJOSZT,X,X,O,O,O
ILJOZTS,X,X,X,O,X
ILJOZST,X,X,X,O,O
ILSTJZO,X,X,O,X,O
ILSTJOZ,X,O,O,O,O
ILSTZJO,X,O,O,X,O
ILSTZOJ,X,O,O,X,O
ILSTOJZ,X,O,O,O,O
ILSTOZJ,X,O,O,X,O
ILSJTZO,X,X,O,X,O
ILSJTOZ,X,O,O,O,O
ILSJZTO,X,O,X,O,O
ILSJZOT,X,O,O,O,O
ILSJOTZ,X,O,O,O,O
ILSJOZT,X,O,O,O,O
ILSZTJO,X,O,O,O,O
ILSZTOJ,X,O,O,O,O
ILSZJTO,X,O,X,O,O
ILSZJOT,X,O,O,O,O
ILSZOTJ,X,O,O,O,O
ILSZOJT,X,O,O,O,O
ILSOTJZ,X,O,O,O,O
ILSOTZJ,X,O,O,X,O
ILSOJTZ,X,O,O,O,O
ILSOJZT,X,O,O,O,O
ILSOZTJ,X,O,O,O,O
ILSOZJT,X,O,O,O,O
ILZTJSO,O,X,X,O,X
ILZTJOS,O,X,X,O,X
ILZTSJO,O,O,X,O,O
ILZTSOJ,O,O,X,O,O
ILZTOJS,O,X,X,O,X
ILZTOSJ,O,O,X,O,O
ILZJTSO,X,X,X,O,X
ILZJTOS,X,X,X,O,X
ILZJSTO,X,X,X,O,O
ILZJSOT,X,X,X,O,O
ILZJOTS,X,X,X,O,X
ILZJOST,X,X,X,O,O
ILZSTJO,O,O,X,O,O
ILZSTOJ,O,O,X,O,O
ILZSJTO,X,O,X,O,O
ILZSJOT,X,O,X,O,O
ILZSOTJ,O,O,X,O,O
ILZSOJT,X,O,X,O,O
ILZOTJS,O,X,X,O,X
ILZOTSJ,O,O,X,O,O
ILZOJTS,X,X,X,O,X
ILZOJST,X,X,X,O,O
ILZOSTJ,O,O,X,O,O
ILZOSJT,X,O,X,O,O
ILOTJSZ,O,X,O,O,X
ILOTJZS,O,X,X,O,X
ILOTSJZ,O,O,O,O,O
ILOTSZJ,O,O,O,X,O
ILOTZJS,O,X,X,O,X
ILOTZSJ,O,X,X,O,O
ILOJTSZ,X,X,O,O,X
ILOJTZS,X,X,X,O,X
ILOJSTZ,X,X,O,O,O
ILOJSZT,X,X,O,O,O
ILOJZTS,X,X,X,O,X
ILOJZST,X,X,X,O,O
ILOSTJZ,X,O,O,O,O
ILOSTZJ,X,O,O,X,O
ILOSJTZ,X,O,O,O,O
ILOSJZT,X,O,O,O,O
ILOSZTJ,X,O,O,O,O
ILOSZJT,X,O,O,O,O
ILOZTJS,O,X,X,O,X
ILOZTSJ,O,O,X,O,O
ILOZJTS,X,X,X,O,X
ILOZJST,X,X,X,O,O
ILOZSTJ,O,O,X,O,O
ILOZSJT,X,O,X,O,O
IJTLSZO,O,X,O,X,X
IJTLSOZ,O,X,O,O,X
IJTLZSO,O,X,X,O,X
IJTLZOS,O,X,X,O,X
IJTLOSZ,O,X,O,O,X
IJTLOZS,O,X,X,O,X
IJTSLZO,O,X,O,X,X
IJTSLOZ,O,O,O,X,X
IJTSZLO,O,X,O,X,X
IJTSZOL,O,X,O,X,X
IJTSOLZ,O,O,O,X,X
IJTSOZL,O,X,O,X,X
IJTZLSO,O,X,X,O,X
IJTZLOS,O,X,X,O,X
IJTZSLO,O,X,O,O,X
IJTZSOL,O,X,O,X,X
IJTZOLS,O,X,X,O,X
IJTZOSL,O,X,O,X,X
IJTOLSZ,O,X,O,X,X
IJTOLZS,O,X,X,X,X
IJTOSLZ,O,O,O,X,X
IJTOSZL,O,X,O,X,X
IJTOZLS,O,X,X,X,X
IJTOZSL,O,X,O,X,X
IJLTSZO,X,X,O,X,X
IJLTSOZ,X,X,O,O,X
IJLTZSO,X,X,X,O,X
IJLTZOS,X,X,X,O,X
IJLTOSZ,X,X,O,O,X
IJLTOZS,X,X,X,O,X
IJLSTZO,X,X,X,X,O
IJLSTOZ,X,X,O,O,O
IJLSZTO,X,X,X,O,O
IJLSZOT,X,X,O,O,O
IJLSOTZ,X,X,O,O,O
IJLSOZT,X,X,O,O,O
IJLZTSO,X,X,X,O,X
IJLZTOS,X,X,X,O,X
IJLZSTO,X,X,X,O,O
IJLZSOT,X,X,X,O,O
IJLZOTS,X,X,X,O,X
IJLZOST,X,X,X,O,O
IJLOTSZ,X,X,O,O,X
IJLOTZS,X,X,X,O,X
IJLOSTZ,X,X,O,O,O
IJLOSZT,X,X,O,O,O
IJLOZTS,X,X,X,O,X
IJLOZST,X,X,X,O,O
IJSTLZO,X,X,O,X,X
IJSTLOZ,X,O,O,X,X
IJSTZLO,X,X,O,X,X
IJSTZOL,X,X,O,X,X
IJSTOLZ,X,O,O,X,X
IJSTOZL,X,X,O,X,X
IJSLTZO,X,X,O,X,X
IJSLTOZ,X,O,O,O,X
IJSLZTO,X,O,X,O,X
IJSLZOT,X,O,O,O,X
IJSLOTZ,X,O,O,O,X
IJSLOZT,X,O,O,O,X
IJSZTLO,X,O,X,O,X
IJSZTOL,X,O,X,X,X
IJSZLTO,X,O,X,O,X
IJSZLOT,X,O,O,O,X
IJSZOTL,X,O,X,X,X
IJSZOLT,X,O,O,X,X
IJSOTLZ,X,O,O,X,X
IJSOTZL,X,X,O,X,X
IJSOLTZ,X,O,O,X,X
IJSOLZT,X,O,O,X,X
IJSOZTL,X,O,X,X,X
IJSOZLT,X,O,O,X,X
IJZTLSO,O,X,X,O,X
IJZTLOS,O,X,X,O,X
IJZTSLO,O,O,O,O,X
IJZTSOL,O,O,O,X,X
IJZTOLS,O,X,X,O,X
IJZTOSL,O,O,O,X,X
IJZLTSO,X,X,X,O,X
IJZLTOS,X,X,X,O,X
IJZLSTO,X,X,X,O,O
IJZLSOT,X,X,X,O,O
IJZLOTS,X,X,X,O,X
IJZLOST,X,X,X,O,O
IJZSTLO,O,O,X,O,X
IJZSTOL,O,O,X,X,X
IJZSLTO,X,O,X,O,X
IJZSLOT,X,O,O,O,X
IJZSOTL,O,O,X,X,X
IJZSOLT,X,O,O,X,X
IJZOTLS,O,X,X,O,X
IJZOTSL,O,O,O,X,X
IJZOLTS,X,X,X,O,X
IJZOLST,X,X,X,O,O
IJZOSTL,O,O,X,X,X
IJZOSLT,X,O,O,X,X
IJOTLSZ,O,X,O,X,X
IJOTLZS,O,X,X,X,X
IJOTSLZ,O,O,O,X,X
IJOTSZL,O,X,O,X,X
IJOTZLS,O,X,X,X,X
IJOTZSL,O,X,O,X,X
IJOLTSZ,X,X,O,O,X
IJOLTZS,X,X,X,O,X
IJOLSTZ,X,X,O,O,O
IJOLSZT,X,X,O,O,O
IJOLZTS,X,X,X,O,X
IJOLZST,X,X,X,O,O
IJOSTLZ,X,O,O,X,X
IJOSTZL,X,X,O,X,X
IJOSLTZ,X,O,O,X,X
IJOSLZT,X,O,O,X,X
IJOSZTL,X,O,X,X,X
IJOSZLT,X,O,O,X,X
IJOZTLS,O,X,X,O,X
IJOZTSL,O,O,O,X,X
IJOZLTS,X,X,X,O,X
IJOZLST,X,X,X,O,O
IJOZSTL,O,O,X,X,X
IJOZSLT,X,O,O,X,X
ISTLJZO,O,X,O,X,X
ISTLJOZ,O,O,O,X,X
ISTLZJO,O,O,O,X,X
ISTLZOJ,O,O,O,X,X
ISTLOJZ,O,O,O,X,X
ISTLOZJ,O,O,O,X,X
ISTJLZO,O,X,O,X,X
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,X,O,X,X
ISTJZOL,O,X,O,X,X
ISTJOLZ,O,O,O,X,X
ISTJOZL,O,X,O,X,X
ISTZLJO,O,O,O,X,X
ISTZLOJ,O,O,O,X,X
ISTZJLO,O,O,O,X,X
ISTZJOL,O,O,O,X,X
ISTZOLJ,O,O,O,X,X
ISTZOJL,O,O,O,X,X
ISTOLJZ,O,O,O,X,X
ISTOLZJ,O,O,O,X,X
ISTOJLZ,O,O,O,X,X
ISTOJZL,O,X,O,X,X
ISTOZLJ,O,O,O,X,X
ISTOZJL,O,O,O,X,X
ISLTJZO,X,X,O,X,O
ISLTJOZ,X,O,O,O,O
ISLTZJO,X,O,O,X,O
ISLTZOJ,X,O,O,X,O
ISLTOJZ,X,O,O,O,O
ISLTOZJ,X,O,O,X,O
ISLJTZO,X,X,O,X,O
ISLJTOZ,X,O,O,O,O
ISLJZTO,X,O,X,O,O
ISLJZOT,X,O,O,O,O
ISLJOTZ,X,O,O,O,O
ISLJOZT,X,O,O,O,O
ISLZTJO,X,O,O,O,O
ISLZTOJ,X,O,O,O,O
ISLZJTO,X,O,X,O,O
ISLZJOT,X,O,O,O,O
ISLZOTJ,X,O,O,O,O
ISLZOJT,X,O,O,O,O
ISLOTJZ,X,O,O,O,O
ISLOTZJ,X,O,O,X,O
ISLOJTZ,X,O,O,O,O
ISLOJZT,X,O,O,O,O
ISLOZTJ,X,O,O,O,O
ISLOZJT,X,O,O,O,O
ISJTLZO,X,X,O,X,X
ISJTLOZ,X,O,O,X,X
ISJTZLO,X,X,O,X,X
ISJTZOL,X,X,O,X,X
ISJTOLZ,X,O,O,X,X
ISJTOZL,X,X,O,X,X
ISJLTZO,X,X,O,X,X
ISJLTOZ,X,O,O,O,X
ISJLZTO,X,O,X,O,X
ISJLZOT,X,O,O,O,X
ISJLOTZ,X,O,O,O,X
ISJLOZT,X,O,O,O,X
ISJZTLO,X,O,X,O,X
ISJZTOL,X,O,X,X,X
ISJZLTO,X,O,X,O,X
ISJZLOT,X,O,O,O,X
ISJZOTL,X,O,X,X,X
ISJZOLT,X,O,O,X,X
ISJOTLZ,X,O,O,X,X
ISJOTZL,X,X,O,X,X
ISJOLTZ,X,O,O,X,X
ISJOLZT,X,O,O,X,X
ISJOZTL,X,O,X,X,X
ISJOZLT,X,O,O,X,X
ISZTLJO,O,O,O,O,X
ISZTLOJ,O,O,O,O,X
ISZTJLO,O,O,O,O,X
ISZTJOL,O,O,O,X,X
ISZTOLJ,O,O,O,X,X
ISZTOJL,O,O,O,X,X
ISZLTJO,O,O,O,O,O
ISZLTOJ,O,O,O,O,O
ISZLJTO,X,O,X,O,O
ISZLJOT,X,O,O,O,O
ISZLOTJ,O,O,O,O,O
ISZLOJT,X,O,O,O,O
ISZJTLO,O,O,X,O,X
ISZJTOL,O,O,X,X,X
ISZJLTO,X,O,X,O,X
ISZJLOT,X,O,O,O,X
ISZJOTL,O,O,X,X,X
ISZJOLT,X,O,O,X,X
ISZOTLJ,O,O,O,X,X
ISZOTJL,O,O,O,X,X
ISZOLTJ,O,O,O,X,O
ISZOLJT,X,O,O,X,O
ISZOJTL,O,O,X,X,X
ISZOJLT,X,O,O,X,X
ISOTLJZ,O,O,O,X,X
ISOTLZJ,O,O,O,X,X
ISOTJLZ,O,O,O,X,X
ISOTJZL,O,X,O,X,X
ISOTZLJ,O,O,O,X,X
ISOTZJL,O,O,O,X,X
ISOLTJZ,X,O,O,X,O
ISOLTZJ,X,O,O,X,O
ISOLJTZ,X,O,O,X,O
ISOLJZT,X,O,O,X,O
ISOLZTJ,X,O,O,X,O
ISOLZJT,X,O,O,X,O
ISOJTLZ,X,O,O,X,X
ISOJTZL,X,X,O,X,X
ISOJLTZ,X,O,O,X,X
ISOJLZT,X,O,O,X,X
ISOJZTL,X,O,X,X,X
ISOJZLT,X,O,O,X,X
ISOZTLJ,O,O,O,X,X
ISOZTJL,O,O,O,X,X
ISOZLTJ,O,O,O,X,O
ISOZLJT,X,O,O,X,O
ISOZJTL,O,O,X,X,X
ISOZJLT,X,O,O,X,X
IZTLJSO,O,X,X,O,X
IZTLJOS,O,X,X,O,X
IZTLSJO,O,O,X,O,O
IZTLSOJ,O,O,X,O,O
IZTLOJS,O,X,X,O,X
IZTLOSJ,O,O,X,O,O
IZTJLSO,O,X,X,O,X
IZTJLOS,O,X,X,O,X
IZTJSLO,O,O,O,O,X
IZTJSOL,O,O,O,X,X
IZTJOLS,O,X,X,O,X
IZTJOSL,O,O,O,X,X
IZTSLJO,O,O,O,O,X
IZTSLOJ,O,O,O,O,X
IZTSJLO,O,O,O,O,X
IZTSJOL,O,O,O,X,X
IZTSOLJ,O,O,O,X,X
IZTSOJL,O,O,O,X,X
IZTOLJS,O,X,X,O,X
IZTOLSJ,O,O,X,O,O
IZTOJLS,O,X,X,O,X
IZTOJSL,O,O,O,X,X
IZTOSLJ,O,O,O,X,X
IZTOSJL,O,O,O,X,X
IZLTJSO,O,X,X,O,X
IZLTJOS,O,X,X,O,X
IZLTSJO,O,O,X,O,O
IZLTSOJ,O,O,X,O,O
IZLTOJS,O,X,X,O,X
IZLTOSJ,O,O,X,O,O
IZLJTSO,X,X,X,O,X
IZLJTOS,X,X,X,O,X
IZLJSTO,X,X,X,O,O
IZLJSOT,X,X,X,O,O
IZLJOTS,X,X,X,O,X
IZLJOST,X,X,X,O,O
IZLSTJO,O,O,X,O,O
IZLSTOJ,O,O,X,O,O
IZLSJTO,X,O,X,O,O
IZLSJOT,X,O,X,O,O
IZLSOTJ,O,O,X,O,O
IZLSOJT,X,O,X,O,O
IZLOTJS,O,X,X,O,X
IZLOTSJ,O,O,X,O,O
IZLOJTS,X,X,X,O,X
IZLOJST,X,X,X,O,O
IZLOSTJ,O,O,X,O,O
IZLOSJT,X,O,X,O,O
IZJTLSO,O,X,X,O,X
IZJTLOS,O,X,X,O,X
IZJTSLO,O,O,O,O,X
IZJTSOL,O,O,O,X,X
IZJTOLS,O,X,X,O,X
IZJTOSL,O,O,O,X,X
IZJLTSO,X,X,X,O,X
IZJLTOS,X,X,X,O,X
IZJLSTO,X,X,X,O,O
IZJLSOT,X,X,X,O,O
IZJLOTS,X,X,X,O,X
IZJLOST,X,X,X,O,O
IZJSTLO,O,O,X,O,X
IZJSTOL,O,O,X,X,X
IZJSLTO,X,O,X,O,X
IZJSLOT,X,O,O,O,X
IZJSOTL,O,O,X,X,X
IZJSOLT,X,O,O,X,X
IZJOTLS,O,X,X,O,X
IZJOTSL,O,O,O,X,X
IZJOLTS,X,X,X,O,X
IZJOLST,X,X,X,O,O
IZJOSTL,O,O,X,X,X
IZJOSLT,X,O,O,X,X
IZSTLJO,O,O,O,O,X
IZSTLOJ,O,O,O,O,X
IZSTJLO,O,O,O,O,X
IZSTJOL,O,O,O,X,X
IZSTOLJ,O,O,O,X,X
IZSTOJL,O,O,O,X,X
IZSLTJO,O,O,O,O,O
IZSLTOJ,O,O,O,O,O
IZSLJTO,X,O,X,O,O
IZSLJOT,X,O,O,O,O
IZSLOTJ,O,O,O,O,O
IZSLOJT,X,O,O,O,O
IZSJTLO,O,O,X,O,X
IZSJTOL,O,O,X,X,X
IZSJLTO,X,O,X,O,X
IZSJLOT,X,O,O,O,X
IZSJOTL,O,O,X,X,X
IZSJOLT,X,O,O,X,X
IZSOTLJ,O,O,O,X,X
IZSOTJL,O,O,O,X,X
IZSOLTJ,O,O,O,X,O
IZSOLJT,X,O,O,X,O
IZSOJTL,O,O,X,X,X
IZSOJLT,X,O,O,X,X
IZOTLJS,O,X,X,O,X
IZOTLSJ,O,O,X,O,O
IZOTJLS,O,X,X,O,X
IZOTJSL,O,O,O,X,X
IZOTSLJ,O,O,O,X,X
IZOTSJL,O,O,O,X,X
IZOLTJS,O,X,X,O,X
IZOLTSJ,O,O,X,O,O
IZOLJTS,X,X,X,O,X
IZOLJST,X,X,X,O,O
IZOLSTJ,O,O,X,O,O
IZOLSJT,X,O,X,O,O
IZOJTLS,O,X,X,O,X
IZOJTSL,O,O,O,X,X
IZOJLTS,X,X,X,O,X
IZOJLST,X,X,X,O,O
IZOJSTL,O,O,X,X,X
IZOJSLT,X,O,O,X,X
IZOSTLJ,O,O,O,X,X
IZOSTJL,O,O,O,X,X
IZOSLTJ,O,O,O,X,O
IZOSLJT,X,O,O,X,O
IZOSJTL,O,O,X,X,X
IZOSJLT,X,O,O,X,X
IOTLJSZ,O,X,O,X,X
IOTLJZS,O,X,X,X,X
IOTLSJZ,O,O,O,X,O
IOTLSZJ,O,O,O,X,O
IOTLZJS,O,X,X,X,X
IOTLZSJ,O,X,X,X,O
IOTJLSZ,O,X,O,X,X
IOTJLZS,O,X,X,X,X
IOTJSLZ,O,O,O,X,X
IOTJSZL,O,X,O,X,X
IOTJZLS,O,X,X,X,X
IOTJZSL,O,X,O,X,X
IOTSLJZ,O,O,O,X,X
IOTSLZJ,O,O,O,X,X
IOTSJLZ,O,O,O,X,X
IOTSJZL,O,X,O,X,X
IOTSZLJ,O,O,O,X,X
IOTSZJL,O,O,O,X,X
IOTZLJS,O,X,X,X,X
IOTZLSJ,O,O,X,X,O
IOTZJLS,O,X,X,X,X
IOTZJSL,O,O,O,X,X
IOTZSLJ,O,O,O,X,X
IOTZSJL,O,O,O,X,X
IOLTJSZ,O,X,O,O,X
IOLTJZS,O,X,X,O,X
IOLTSJZ,O,O,O,O,O
IOLTSZJ,O,O,O,X,O
IOLTZJS,O,X,X,O,X
IOLTZSJ,O,X,X,O,O
IOLJTSZ,X,X,O,O,X
IOLJTZS,X,X,X,O,X
IOLJSTZ,X,X,O,O,O
IOLJSZT,X,X,O,O,O
IOLJZTS,X,X,X,O,X
IOLJZST,X,X,X,O,O
IOLSTJZ,X,O,O,O,O
IOLSTZJ,X,O,O,X,O
IOLSJTZ,X,O,O,O,O
IOLSJZT,X,O,O,O,O
IOLSZTJ,X,O,O,O,O
IOLSZJT,X,O,O,O,O
IOLZTJS,O,X,X,O,X
IOLZTSJ,O,O,X,O,O
IOLZJTS,X,X,X,O,X
IOLZJST,X,X,X,O,O
IOLZSTJ,O,O,X,O,O
IOLZSJT,X,O,X,O,O
IOJTLSZ,O,X,O,X,X
IOJTLZS,O,X,X,X,X
IOJTSLZ,O,O,O,X,X
IOJTSZL,O,X,O,X,X
IOJTZLS,O,X,X,X,X
IOJTZSL,O,X,O,X,X
IOJLTSZ,X,X,O,O,X
IOJLTZS,X,X,X,O,X
IOJLSTZ,X,X,O,O,O
IOJLSZT,X,X,O,O,O
IOJLZTS,X,X,X,O,X
IOJLZST,X,X,X,O,O
IOJSTLZ,X,O,O,X,X
IOJSTZL,X,X,O,X,X
IOJSLTZ,X,O,O,X,X
IOJSLZT,X,O,O,X,X
IOJSZTL,X,O,X,X,X
IOJSZLT,X,O,O,X,X
IOJZTLS,O,X,X,O,X
IOJZTSL,O,O,O,X,X
IOJZLTS,X,X,X,O,X
IOJZLST,X,X,X,O,O
IOJZSTL,O,O,X,X,X
IOJZSLT,X,O,O,X,X
IOSTLJZ,O,O,O,X,X
IOSTLZJ,O,O,O,X,X
IOSTJLZ,O,O,O,X,X
IOSTJZL,O,X,O,X,X
IOSTZLJ,O,O,O,X,X
IOSTZJL,O,O,O,X,X
IOSLTJZ,X,O,O,X,O
IOSLTZJ,X,O,O,X,O
IOSLJTZ,X,O,O,X,O
IOSLJZT,X,O,O,X,O
IOSLZTJ,X,O,O,X,O
IOSLZJT,X,O,O,X,O
IOSJTLZ,X,O,O,X,X
IOSJTZL,X,X,O,X,X
IOSJLTZ,X,O,O,X,X
IOSJLZT,X,O,O,X,X
IOSJZTL,X,O,X,X,X
IOSJZLT,X,O,O,X,X
IOSZTLJ,O,O,O,X,X
IOSZTJL,O,O,O,X,X
IOSZLTJ,O,O,O,X,O
IOSZLJT,X,O,O,X,O
IOSZJTL,O,O,X,X,X
IOSZJLT,X,O,O,X,X
IOZTLJS,O,X,X,O,X
IOZTLSJ,O,O,X,O,O
IOZTJLS,O,X,X,O,X
IOZTJSL,O,O,O,X,X
IOZTSLJ,O,O,O,X,X
IOZTSJL,O,O,O,X,X
IOZLTJS,O,X,X,O,X
IOZLTSJ,O,O,X,O,O
IOZLJTS,X,X,X,O,X
IOZLJST,X,X,X,O,O
IOZLSTJ,O,O,X,O,O
IOZLSJT,X,O,X,O,O
IOZJTLS,O,X,X,O,X
IOZJTSL,O,O,O,X,X
IOZJLTS,X,X,X,O,X
IOZJLST,X,X,X,O,O
IOZJSTL,O,O,X,X,X
IOZJSLT,X,O,O,X,X
IOZSTLJ,O,O,O,X,X
IOZSTJL,O,O,O,X,X
IOZSLTJ,O,O,O,X,O
IOZSLJT,X,O,O,X,O
IOZSJTL,O,O,X,X,X
IOZSJLT,X,O,O,X,X
LTIJSZO,O,X,O,X,X
LTIJSOZ,O,X,O,O,X
LTIJZSO,O,X,X,O,X
LTIJZOS,O,X,X,O,X
LTIJOSZ,O,X,O,O,X
LTIJOZS,O,X,X,O,X
LTISJZO,O,X,O,X,O
LTISJOZ,O,O,O,O,O
LTISZJO,O,X,O,X,O
LTISZOJ,O,O,O,X,O
LTISOJZ,O,O,O,O,O
LTISOZJ,O,O,O,X,O
LTIZJSO,O,X,X,O,X
LTIZJOS,O,X,X,O,X
LTIZSJO,O,X,X,O,O
LTIZSOJ,O,X,X,O,O
LTIZOJS,O,X,X,O,X
LTIZOSJ,O,X,X,O,O
LTIOJSZ,O,X,O,O,X
LTIOJZS,O,X,X,O,X
LTIOSJZ,O,O,O,O,O
LTIOSZJ,O,O,O,X,O
LTIOZJS,O,X,X,O,X
LTIOZSJ,O,X,X,O,O
LTJISZO,O,X,O,X,X
LTJISOZ,O,X,O,O,X
LTJIZSO,O,X,X,O,X
LTJIZOS,O,X,X,O,X
LTJIOSZ,O,X,O,O,X
LTJIOZS,O,X,X,O,X
LTJSIZO,O,X,O,X,X
LTJSIOZ,O,X,O,O,X
LTJSZIO,O,X,O,X,X
LTJSZOI,O,X,O,X,X
LTJSOIZ,O,X,O,O,X
LTJSOZI,O,X,O,X,X
LTJZISO,O,X,X,O,X
LTJZIOS,O,X,X,O,X
LTJZSIO,O,X,X,O,X
LTJZSOI,O,X,X,O,X
LTJZOIS,O,X,X,O,X
LTJZOSI,O,X,X,O,X
LTJOISZ,O,X,O,O,X
LTJOIZS,O,X,X,O,X
LTJOSIZ,O,X,O,O,X
LTJOSZI,O,X,O,X,X
LTJOZIS,O,X,X,O,X
LTJOZSI,O,X,X,O,X
LTSIJZO,O,X,O,X,O
LTSIJOZ,O,O,O,O,O
LTSIZJO,O,X,O,X,O
LTSIZOJ,O,O,O,X,O
LTSIOJZ,O,O,O,O,O
LTSIOZJ,O,O,O,X,O
LTSJIZO,O,X,O,X,O
LTSJIOZ,O,O,O,O,O
