sequence,v115@QhA8DeA8AeD8DeF8Jem/IvhF5lB/mBUiBFjBTkByuB,v115@QhA8DeA8AeD8DeF8JeZEJvhFCgB/mBUiBFjBTlBWvB,v115@QhA8DeA8AeD8DeF8JeZEJvhFzfBUiBFjBGmBCqB3qB,v115@QhA8DeA8AeD8DeF8Je2EJvhF5lB/mBUiBFjBaqBTpB
ITZSLOJ,O,X,O,O
ITZSJLO,O,O,O,X
ITZSJOL,X,O,X,O
ITZSOLJ,O,X,X,O
ITZSOJL,X,O,X,O
ITZOLJS,X,X,O,X
ITZOLSJ,X,X,O,X
ITZOJLS,X,X,O,X
ITZOJSL,X,X,X,O
ITZOSLJ,X,X,X,O
ITZOSJL,X,X,X,O
ITOLJSZ,O,X,O,O
ITOLJZS,O,X,O,X
ITOLSJZ,O,X,O,O
ITOLSZJ,O,X,O,O
ITOLZJS,O,X,O,X
ITOLZSJ,O,X,O,X
ITOJLSZ,X,O,O,O
ITOJLZS,X,O,O,X
ITOJSLZ,X,O,X,O
ITOJSZL,X,O,X,O
ITOJZLS,X,O,O,X
ITOJZSL,X,O,X,O
ITOSLJZ,O,X,X,O
ITOSLZJ,O,X,X,O
ITOSJLZ,X,O,X,O
ITOSJZL,X,O,X,O
ITOSZLJ,O,X,X,O
ITOSZJL,X,O,X,O
