sequence,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBfsB6?sBlqBUrB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFChB/nBGjB0?mBlqBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBFmBX?nB0qBSxB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeRAJvhFUiBGjBFlBX?mBSwBTsB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhFlhBGjB/qBU?mBTnBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JefFJvhFlgBzhBGjB8?qBSsBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhF/nBGjBxlBl?qBUsBTrB
TIJSZLO,X,O,X,X,O,O,X
TIJSZOL,O,O,X,X,O,O,X
TIJSOLZ,O,O,X,X,O,X,X
TIJSOZL,O,O,X,O,O,X,X
TIJZLSO,X,O,X,X,O,O,O
TIJZLOS,X,O,X,X,X,O,X
TIJZSLO,X,O,X,X,O,O,O
TIJZSOL,X,O,X,X,O,O,O
TIJZOLS,X,O,X,O,X,X,X
TIJZOSL,X,O,X,O,O,X,X
TIJOLSZ,O,O,X,O,O,X,X
TIJOLZS,O,O,X,O,O,X,X
TIJOSLZ,O,O,X,X,O,X,X
TIJOSZL,O,O,X,O,O,X,X
TIJOZLS,X,O,X,O,O,X,X
TIJOZSL,X,O,X,O,O,X,X
TISLJZO,O,O,X,X,O,O,X
TISLJOZ,O,O,X,X,O,O,X
TISLZJO,O,O,X,X,O,O,O
TISLZOJ,O,O,X,X,O,O,O
TISLOJZ,O,O,X,O,O,O,X
TISLOZJ,O,O,X,O,O,O,X
TISJLZO,X,O,X,X,O,O,X
TISJLOZ,O,O,X,X,O,O,X
TISJZLO,X,O,X,X,O,O,X
TISJZOL,O,O,X,X,O,O,X
TISJOLZ,O,O,X,X,O,X,X
TISJOZL,O,O,X,O,O,X,X
TISZLJO,X,O,X,X,O,O,O
TISZLOJ,X,O,X,X,O,O,O
TISZJLO,X,O,X,X,O,O,O
TISZJOL,O,O,X,X,O,O,O
TISZOLJ,X,O,X,X,O,O,O
TISZOJL,O,O,X,X,O,O,O
TISOLJZ,O,O,X,X,O,X,X
TISOLZJ,O,O,X,X,O,X,X
TISOJLZ,O,O,X,X,O,X,X
TISOJZL,O,O,X,O,O,X,X
TISOZLJ,X,O,X,X,O,X,X
TISOZJL,O,O,X,O,O,X,X
TIZLJSO,X,O,X,X,O,O,O
TIZLJOS,X,O,X,X,X,O,X
TIZLSJO,X,O,X,X,O,O,O
TIZLSOJ,X,O,X,X,O,O,O
TIZLOJS,X,O,X,O,X,O,X
TIZLOSJ,X,O,X,O,X,O,O
TIZJLSO,X,O,X,X,O,O,O
TIZJLOS,X,O,X,X,X,O,X
TIZJSLO,X,O,X,X,O,O,O
TIZJSOL,X,O,X,X,O,O,O
TIZJOLS,X,O,X,O,X,X,X
TIZJOSL,X,O,X,O,O,X,X
TIZSLJO,X,O,X,X,O,O,O
TIZSLOJ,X,O,X,X,O,O,O
TIZSJLO,X,O,X,X,O,O,O
TIZSJOL,X,O,X,X,O,O,O
TIZSOLJ,X,O,X,X,O,O,O
TIZSOJL,X,O,X,X,O,O,O
TIZOLJS,X,O,X,O,O,X,X
TIZOLSJ,X,O,X,X,O,X,O
TIZOJLS,X,O,X,O,O,X,X
TIZOJSL,X,O,X,O,O,X,X
TIZOSLJ,X,O,X,X,O,X,O
TIZOSJL,X,O,X,O,O,X,O
TIOLJSZ,O,O,X,O,O,X,X
TIOLJZS,O,O,X,O,O,X,X
TIOLSJZ,O,O,X,O,O,X,X
TIOLSZJ,O,O,X,O,O,X,X
TIOLZJS,O,O,X,O,O,X,X
TIOLZSJ,X,O,X,O,O,X,O
TIOJLSZ,O,O,X,O,O,X,X
TIOJLZS,O,O,X,O,O,X,X
TIOJSLZ,O,O,X,X,O,X,X
TIOJSZL,O,O,X,O,O,X,X
TIOJZLS,X,O,X,O,O,X,X
TIOJZSL,X,O,X,O,O,X,X
TIOSLJZ,O,O,X,X,O,X,X
TIOSLZJ,O,O,X,X,O,X,X
TIOSJLZ,O,O,X,X,O,X,X
TIOSJZL,O,O,X,O,O,X,X
TIOSZLJ,X,O,X,X,O,X,X
TIOSZJL,O,O,X,O,O,X,X
TIOZLJS,X,O,X,O,O,X,X
TIOZLSJ,X,O,X,O,O,X,O
TIOZJLS,X,O,X,O,O,X,X
TIOZJSL,X,O,X,O,O,X,X
TIOZSLJ,X,O,X,X,O,X,O
TIOZSJL,X,O,X,O,O,X,O
TLIJSZO,O,O,X,O,O,X,X
TLIJSOZ,O,O,X,O,O,X,X
TLIJZSO,X,O,X,X,X,X,O
TLIJZOS,O,O,X,X,X,X,X
TLIJOSZ,O,O,X,O,O,X,X
TLIJOZS,O,O,X,O,O,X,X
TLISJZO,O,O,X,O,O,X,X
TLISJOZ,O,O,X,O,O,X,X
TLISZJO,O,O,X,O,O,X,O
TLISZOJ,O,O,X,O,O,X,O
TLISOJZ,O,O,X,O,O,X,X
TLISOZJ,O,O,X,O,O,X,X
TLIZJSO,X,O,X,X,X,X,O
TLIZJOS,O,O,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,O
TLIZSOJ,X,O,X,X,X,X,O
TLIZOJS,O,O,X,O,X,X,X
TLIZOSJ,X,O,X,O,X,X,O
TLIOJSZ,O,O,X,O,O,X,X
TLIOJZS,O,O,X,O,O,X,X
TLIOSJZ,O,O,X,O,O,X,X
TLIOSZJ,O,O,X,O,O,X,X
TLIOZJS,O,O,X,O,O,X,X
TLIOZSJ,X,O,X,O,X,X,O
TLJISZO,O,O,X,O,O,X,X
TLJISOZ,O,O,X,O,O,X,X
TLJIZSO,X,O,X,X,X,X,O
TLJIZOS,O,O,X,X,X,X,X
TLJIOSZ,O,O,X,O,O,X,X
TLJIOZS,O,O,X,O,O,X,X
TLJSIZO,O,X,O,O,O,X,X
TLJSIOZ,O,X,O,O,O,X,X
TLJSZIO,O,X,O,O,O,X,X
TLJSZOI,O,X,O,O,O,X,X
TLJSOIZ,O,X,O,O,X,X,X
TLJSOZI,O,X,O,O,X,X,X
TLJZISO,X,O,O,X,X,X,O
TLJZIOS,O,O,O,X,X,X,X
TLJZSIO,O,O,O,O,X,X,O
TLJZSOI,O,O,O,O,X,X,O
TLJZOIS,O,O,O,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X
TLJOISZ,O,O,X,O,X,X,X
TLJOIZS,O,O,X,O,X,X,X
TLJOSIZ,O,X,O,O,X,X,X
TLJOSZI,O,X,O,O,X,X,X
TLJOZIS,O,O,O,O,X,X,X
TLJOZSI,O,O,O,O,X,X,X
TLSIJZO,O,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,O,X,X
TLSIZJO,O,O,O,O,O,X,O
TLSIZOJ,O,O,O,O,O,X,O
TLSIOJZ,O,O,O,O,O,X,X
TLSIOZJ,O,O,O,O,O,X,X
TLSJIZO,O,X,O,O,O,X,X
TLSJIOZ,O,X,O,O,O,X,X
TLSJZIO,O,X,O,O,O,X,X
TLSJZOI,O,X,O,O,O,X,X
TLSJOIZ,O,X,O,O,X,X,X
TLSJOZI,O,X,O,O,X,X,X
TLSZIJO,O,O,O,O,O,X,O
TLSZIOJ,O,O,O,O,O,X,O
TLSZJIO,O,O,O,O,O,X,O
TLSZJOI,O,O,O,O,O,X,O
TLSZOIJ,O,O,O,O,O,X,O
TLSZOJI,O,O,O,O,O,X,O
TLSOIJZ,O,O,O,O,X,X,X
TLSOIZJ,O,O,O,O,X,X,X
TLSOJIZ,O,X,O,O,X,X,X
TLSOJZI,O,X,O,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,X
TLSOZJI,O,O,O,O,X,X,X
TLZIJSO,X,O,O,X,X,X,O
TLZIJOS,O,O,O,X,X,X,X
TLZISJO,X,O,O,X,X,X,O
TLZISOJ,X,O,O,X,X,X,O
TLZIOJS,O,O,O,O,X,X,X
TLZIOSJ,X,O,O,O,X,X,O
TLZJISO,X,O,O,X,X,X,O
TLZJIOS,O,O,O,X,X,X,X
TLZJSIO,O,O,O,O,X,X,O
TLZJSOI,O,O,O,O,X,X,O
TLZJOIS,O,O,O,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X
TLZSIJO,O,O,O,O,X,X,O
TLZSIOJ,O,O,O,O,X,X,O
TLZSJIO,O,O,O,O,X,X,O
TLZSJOI,O,O,O,O,X,X,O
TLZSOIJ,O,O,O,O,X,X,O
TLZSOJI,O,O,O,O,X,X,O
TLZOIJS,O,O,O,O,X,X,X
TLZOISJ,X,O,O,O,X,X,O
TLZOJIS,O,O,O,O,X,X,X
TLZOJSI,O,O,O,O,X,X,X
TLZOSIJ,O,O,O,O,X,X,O
TLZOSJI,O,O,O,O,X,X,O
TLOIJSZ,O,O,X,O,X,X,X
TLOIJZS,O,O,X,O,X,X,X
TLOISJZ,O,O,X,O,X,X,X
TLOISZJ,O,O,X,O,X,X,X
TLOIZJS,O,O,X,O,X,X,X
TLOIZSJ,X,O,X,O,X,X,O
TLOJISZ,O,O,X,O,X,X,X
TLOJIZS,O,O,X,O,X,X,X
TLOJSIZ,O,X,O,O,X,X,X
TLOJSZI,O,X,O,O,X,X,X
TLOJZIS,O,O,O,O,X,X,X
TLOJZSI,O,O,O,O,X,X,X
TLOSIJZ,O,O,O,O,X,X,X
TLOSIZJ,O,O,O,O,X,X,X
TLOSJIZ,O,X,O,O,X,X,X
TLOSJZI,O,X,O,O,X,X,X
TLOSZIJ,O,O,O,O,X,X,X
TLOSZJI,O,O,O,O,X,X,X
TLOZIJS,O,O,O,O,X,X,X
TLOZISJ,X,O,O,O,X,X,O
TLOZJIS,O,O,O,O,X,X,X
TLOZJSI,O,O,O,O,X,X,X
TLOZSIJ,O,O,O,O,X,X,O
TLOZSJI,O,O,O,O,X,X,O
TJILSZO,O,O,X,O,O,O,X
TJILSOZ,O,O,X,O,O,O,X
TJILZSO,X,O,X,X,X,O,O
TJILZOS,O,O,X,X,X,O,X
TJILOSZ,O,O,X,O,O,O,X
TJILOZS,O,O,X,O,O,O,X
TJISLZO,X,O,X,X,O,O,X
TJISLOZ,O,O,X,X,O,O,X
TJISZLO,X,O,X,X,O,O,X
TJISZOL,O,O,X,X,O,O,X
TJISOLZ,O,O,X,X,O,X,X
TJISOZL,O,O,X,O,O,X,X
TJIZLSO,X,O,X,X,O,O,O
TJIZLOS,X,O,X,X,X,O,X
TJIZSLO,X,O,X,X,O,O,O
TJIZSOL,X,O,X,X,O,O,O
TJIZOLS,X,O,X,O,X,X,X
TJIZOSL,X,O,X,O,O,X,X
TJIOLSZ,O,O,X,O,O,X,X
TJIOLZS,O,O,X,O,O,X,X
TJIOSLZ,O,O,X,X,O,X,X
TJIOSZL,O,O,X,O,O,X,X
TJIOZLS,X,O,X,O,O,X,X
TJIOZSL,X,O,X,O,O,X,X
TJLISZO,O,O,X,O,O,X,X
TJLISOZ,O,O,X,O,O,X,X
TJLIZSO,X,O,X,X,X,X,O
TJLIZOS,O,O,X,X,X,X,X
TJLIOSZ,O,O,X,O,O,X,X
TJLIOZS,O,O,X,O,O,X,X
TJLSIZO,O,X,O,O,O,X,X
TJLSIOZ,O,X,O,O,O,X,X
TJLSZIO,O,X,O,O,O,X,X
TJLSZOI,O,X,O,O,O,X,X
TJLSOIZ,O,X,O,O,X,X,X
TJLSOZI,O,X,O,O,X,X,X
TJLZISO,X,O,O,X,X,X,O
TJLZIOS,O,O,O,X,X,X,X
TJLZSIO,O,O,O,O,X,X,O
TJLZSOI,O,O,O,O,X,X,O
TJLZOIS,O,O,O,X,X,X,X
TJLZOSI,O,O,O,X,X,X,X
TJLOISZ,O,O,X,O,X,X,X
TJLOIZS,O,O,X,O,X,X,X
TJLOSIZ,O,X,O,O,X,X,X
TJLOSZI,O,X,O,O,X,X,X
TJLOZIS,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,X,X,X
TJSILZO,X,X,X,X,O,O,X
TJSILOZ,O,X,X,X,O,O,X
TJSIZLO,X,X,X,X,O,O,X
TJSIZOL,O,X,X,X,O,O,X
TJSIOLZ,O,X,X,X,O,X,X
TJSIOZL,O,X,X,O,O,X,X
TJSLIZO,O,X,X,O,O,X,X
TJSLIOZ,O,X,X,O,O,X,X
TJSLZIO,O,X,X,O,O,X,X
TJSLZOI,O,X,X,O,O,X,X
TJSLOIZ,O,X,X,O,X,X,X
TJSLOZI,O,X,X,O,X,X,X
TJSZILO,X,X,X,X,O,X,X
TJSZIOL,O,X,X,X,X,X,X
TJSZLIO,X,X,X,X,O,X,X
TJSZLOI,X,X,X,X,O,X,X
TJSZOIL,O,X,X,X,X,X,X
TJSZOLI,X,X,X,X,O,X,X
TJSOILZ,O,X,X,X,X,X,X
TJSOIZL,O,X,X,O,X,X,X
TJSOLIZ,O,X,X,O,X,X,X
TJSOLZI,O,X,X,O,X,X,X
TJSOZIL,O,X,X,O,X,X,X
TJSOZLI,X,X,X,O,X,X,X
TJZILSO,X,O,O,X,X,X,O
TJZILOS,X,O,O,X,X,X,X
TJZISLO,X,O,X,X,X,X,O
TJZISOL,X,O,O,X,X,X,O
TJZIOLS,X,O,O,O,X,X,X
TJZIOSL,X,O,O,O,X,X,X
TJZLISO,X,O,O,X,X,X,O
TJZLIOS,O,O,O,X,X,X,X
TJZLSIO,O,O,O,O,X,X,O
TJZLSOI,O,O,O,O,X,X,O
TJZLOIS,O,O,O,X,X,X,X
TJZLOSI,O,O,O,X,X,X,X
TJZSILO,X,O,X,X,X,X,O
TJZSIOL,O,O,O,X,X,X,O
TJZSLIO,X,O,O,X,X,X,O
TJZSLOI,X,O,O,X,X,X,O
TJZSOIL,O,O,O,X,X,X,O
TJZSOLI,X,O,O,X,X,X,O
TJZOILS,X,O,O,O,X,X,X
TJZOISL,X,O,O,O,X,X,X
TJZOLIS,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,X,X,X
TJZOSLI,X,O,O,O,X,X,X
TJOILSZ,O,O,X,O,X,X,X
TJOILZS,O,O,X,O,X,X,X
TJOISLZ,O,O,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,X
TJOIZLS,X,O,X,O,X,X,X
TJOIZSL,X,O,X,O,X,X,X
TJOLISZ,O,O,X,O,X,X,X
TJOLIZS,O,O,X,O,X,X,X
TJOLSIZ,O,X,O,O,X,X,X
TJOLSZI,O,X,O,O,X,X,X
TJOLZIS,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,X,X,X
TJOSILZ,O,X,X,X,X,X,X
TJOSIZL,O,X,X,O,X,X,X
TJOSLIZ,O,X,X,O,X,X,X
TJOSLZI,O,X,X,O,X,X,X
TJOSZIL,O,X,X,O,X,X,X
TJOSZLI,X,X,X,O,X,X,X
TJOZILS,X,O,O,O,X,X,X
TJOZISL,X,O,O,O,X,X,X
TJOZLIS,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,X,X,X
TJOZSIL,O,O,O,O,X,X,X
TJOZSLI,X,O,O,O,X,X,X
TSILJZO,O,O,X,X,O,O,X
TSILJOZ,O,O,X,X,O,O,X
TSILZJO,O,O,X,X,O,O,O
TSILZOJ,O,O,X,X,O,O,O
TSILOJZ,O,O,X,O,O,O,X
TSILOZJ,O,O,X,O,O,O,X
TSIJLZO,X,O,X,X,O,O,X
TSIJLOZ,O,O,X,X,O,O,X
TSIJZLO,X,O,X,X,O,O,X
TSIJZOL,O,O,X,X,O,O,X
TSIJOLZ,O,O,X,X,O,X,X
TSIJOZL,O,O,X,O,O,X,X
TSIZLJO,X,O,X,X,O,O,O
TSIZLOJ,X,O,X,X,O,O,O
TSIZJLO,X,O,X,X,O,O,O
TSIZJOL,O,O,X,X,O,O,O
TSIZOLJ,X,O,X,X,O,O,O
TSIZOJL,O,O,X,X,O,O,O
TSIOLJZ,O,O,X,X,O,X,X
TSIOLZJ,O,O,X,X,O,X,X
TSIOJLZ,O,O,X,X,O,X,X
TSIOJZL,O,O,X,O,O,X,X
TSIOZLJ,X,O,X,X,O,X,X
TSIOZJL,O,O,X,O,O,X,X
TSLIJZO,O,O,X,O,O,X,X
TSLIJOZ,O,O,X,O,O,X,X
TSLIZJO,O,O,X,O,O,X,O
TSLIZOJ,O,O,X,O,O,X,O
TSLIOJZ,O,O,X,O,O,X,X
TSLIOZJ,O,O,X,O,O,X,X
TSLJIZO,O,X,X,O,O,X,X
TSLJIOZ,O,X,X,O,O,X,X
TSLJZIO,O,X,X,O,O,X,X
TSLJZOI,O,X,X,O,O,X,X
TSLJOIZ,O,X,X,O,X,X,X
TSLJOZI,O,X,X,O,X,X,X
TSLZIJO,O,O,X,O,O,O,O
TSLZIOJ,O,O,X,O,O,O,O
TSLZJIO,O,O,X,O,O,X,O
TSLZJOI,O,O,X,O,O,X,O
TSLZOIJ,O,O,X,O,O,X,O
TSLZOJI,O,O,X,O,O,X,O
TSLOIJZ,O,O,X,O,X,X,X
TSLOIZJ,O,O,X,O,X,X,X
TSLOJIZ,O,X,X,O,X,X,X
TSLOJZI,O,X,X,O,X,X,X
TSLOZIJ,O,O,X,O,X,X,X
TSLOZJI,O,O,X,O,X,X,X
TSJILZO,X,X,X,X,O,O,X
TSJILOZ,O,X,X,X,O,O,X
TSJIZLO,X,X,X,X,O,O,X
TSJIZOL,O,X,X,X,O,O,X
TSJIOLZ,O,X,X,X,O,X,X
TSJIOZL,O,X,X,O,O,X,X
TSJLIZO,O,X,X,O,O,X,X
TSJLIOZ,O,X,X,O,O,X,X
TSJLZIO,O,X,X,O,O,X,X
TSJLZOI,O,X,X,O,O,X,X
TSJLOIZ,O,X,X,O,X,X,X
TSJLOZI,O,X,X,O,X,X,X
TSJZILO,X,X,X,X,O,O,X
TSJZIOL,O,X,X,X,X,O,X
TSJZLIO,X,X,X,X,O,X,X
TSJZLOI,X,X,X,X,O,X,X
TSJZOIL,O,X,X,X,X,X,X
TSJZOLI,X,X,X,X,O,X,X
TSJOILZ,O,X,X,X,X,X,X
TSJOIZL,O,X,X,O,X,X,X
TSJOLIZ,O,X,X,O,X,X,X
TSJOLZI,O,X,X,O,X,X,X
TSJOZIL,O,X,X,O,X,X,X
TSJOZLI,X,X,X,O,X,X,X
TSZILJO,X,O,X,X,O,O,O
TSZILOJ,X,O,X,X,O,O,O
TSZIJLO,X,O,X,X,O,O,O
TSZIJOL,O,O,X,X,O,O,O
TSZIOLJ,X,O,X,X,O,O,O
TSZIOJL,O,O,X,X,O,O,O
TSZLIJO,O,O,X,X,O,O,O
TSZLIOJ,O,O,X,X,O,O,O
TSZLJIO,O,O,X,X,O,X,O
TSZLJOI,O,O,X,X,O,X,O
TSZLOIJ,O,O,X,X,O,X,O
TSZLOJI,O,O,X,X,O,X,O
TSZJILO,X,O,X,X,O,O,O
TSZJIOL,O,O,X,X,O,O,O
TSZJLIO,X,O,X,X,O,X,O
TSZJLOI,X,O,X,X,O,X,O
TSZJOIL,O,O,X,X,X,X,O
TSZJOLI,X,O,X,X,O,X,O
TSZOILJ,X,O,X,X,O,O,O
TSZOIJL,O,O,X,X,O,O,O
TSZOLIJ,O,O,X,X,O,X,O
TSZOLJI,O,O,X,X,O,X,O
TSZOJIL,O,O,X,X,X,X,O
TSZOJLI,X,O,X,X,O,X,O
TSOILJZ,O,O,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X
TSOIJZL,O,O,X,O,X,X,X
TSOIZLJ,X,O,X,X,X,X,X
TSOIZJL,O,O,X,O,X,X,X
TSOLIJZ,O,O,X,O,X,X,X
TSOLIZJ,O,O,X,O,X,X,X
TSOLJIZ,O,X,X,O,X,X,X
TSOLJZI,O,X,X,O,X,X,X
TSOLZIJ,O,O,X,O,X,X,X
TSOLZJI,O,O,X,O,X,X,X
TSOJILZ,O,X,X,X,X,X,X
TSOJIZL,O,X,X,O,X,X,X
TSOJLIZ,O,X,X,O,X,X,X
TSOJLZI,O,X,X,O,X,X,X
TSOJZIL,O,X,X,O,X,X,X
TSOJZLI,X,X,X,O,X,X,X
TSOZILJ,X,O,X,X,X,O,X
TSOZIJL,O,O,X,O,X,O,X
TSOZLIJ,O,O,X,O,X,X,X
TSOZLJI,O,O,X,O,X,X,X
TSOZJIL,O,O,X,O,X,X,X
TSOZJLI,X,O,X,O,X,X,X
TZILJSO,X,O,O,X,X,O,O
TZILJOS,X,O,O,X,X,O,X
TZILSJO,X,O,O,X,X,O,O
TZILSOJ,X,O,O,X,X,O,O
TZILOJS,X,O,O,O,X,O,X
TZILOSJ,X,O,O,O,X,O,O
TZIJLSO,X,O,O,X,X,O,O
TZIJLOS,X,O,O,X,X,O,X
TZIJSLO,X,O,X,X,X,O,O
TZIJSOL,X,O,O,X,X,O,O
TZIJOLS,X,O,O,O,X,X,X
TZIJOSL,X,O,O,O,X,X,X
TZISLJO,X,O,X,X,X,O,O
TZISLOJ,X,O,X,X,X,O,O
TZISJLO,X,O,X,X,X,O,O
TZISJOL,X,O,O,X,X,O,O
TZISOLJ,X,O,X,X,X,O,O
TZISOJL,X,O,O,X,X,O,O
TZIOLJS,X,O,O,O,X,X,X
TZIOLSJ,X,O,O,X,X,X,O
TZIOJLS,X,O,O,O,X,X,X
TZIOJSL,X,O,O,O,X,X,X
TZIOSLJ,X,O,X,X,X,X,O
TZIOSJL,X,O,O,O,X,X,O
TZLIJSO,X,O,O,X,X,X,O
TZLIJOS,O,O,O,X,X,X,X
TZLISJO,X,O,O,X,X,X,O
TZLISOJ,X,O,O,X,X,X,O
TZLIOJS,O,O,O,O,X,X,X
TZLIOSJ,X,O,O,O,X,X,O
TZLJISO,X,O,O,X,X,X,O
TZLJIOS,O,O,O,X,X,X,X
TZLJSIO,O,O,O,O,X,X,O
TZLJSOI,O,O,O,O,X,X,O
TZLJOIS,O,O,O,X,X,X,X
TZLJOSI,O,O,O,X,X,X,X
TZLSIJO,O,O,O,O,X,X,O
TZLSIOJ,O,O,O,O,X,X,O
TZLSJIO,O,O,O,O,X,X,O
TZLSJOI,O,O,O,O,X,X,O
TZLSOIJ,O,O,O,O,X,X,O
TZLSOJI,O,O,O,O,X,X,O
TZLOIJS,O,O,O,O,X,X,X
TZLOISJ,X,O,O,O,X,X,O
TZLOJIS,O,O,O,O,X,X,X
TZLOJSI,O,O,O,O,X,X,X
TZLOSIJ,O,O,O,O,X,X,O
TZLOSJI,O,O,O,O,X,X,O
TZJILSO,X,O,O,X,X,X,O
TZJILOS,X,O,O,X,X,X,X
TZJISLO,X,O,X,X,X,X,O
TZJISOL,X,O,O,X,X,X,O
TZJIOLS,X,O,O,O,X,X,X
TZJIOSL,X,O,O,O,X,X,X
TZJLISO,X,O,O,X,X,X,O
TZJLIOS,O,O,O,X,X,X,X
TZJLSIO,O,O,O,O,X,X,O
TZJLSOI,O,O,O,O,X,X,O
TZJLOIS,O,O,O,X,X,X,X
TZJLOSI,O,O,O,X,X,X,X
TZJSILO,X,O,X,X,X,X,O
TZJSIOL,O,O,O,X,X,X,O
TZJSLIO,X,O,O,X,X,X,O
TZJSLOI,X,O,O,X,X,X,O
TZJSOIL,O,O,O,X,X,X,O
TZJSOLI,X,O,O,X,X,X,O
TZJOILS,X,O,O,O,X,X,X
TZJOISL,X,O,O,O,X,X,X
TZJOLIS,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,X,X,X
TZJOSIL,O,O,O,O,X,X,X
TZJOSLI,X,O,O,O,X,X,X
TZSILJO,X,O,X,X,X,O,O
TZSILOJ,X,O,X,X,X,O,O
TZSIJLO,X,O,X,X,X,O,O
TZSIJOL,O,O,O,X,X,O,O
TZSIOLJ,X,O,X,X,X,O,O
TZSIOJL,O,O,O,X,X,O,O
TZSLIJO,O,O,O,X,X,O,O
TZSLIOJ,O,O,O,X,X,O,O
TZSLJIO,O,O,O,X,X,X,O
TZSLJOI,O,O,O,X,X,X,O
TZSLOIJ,O,O,O,X,X,X,O
TZSLOJI,O,O,O,X,X,X,O
TZSJILO,X,O,X,X,X,O,O
TZSJIOL,O,O,O,X,X,O,O
TZSJLIO,X,O,O,X,X,X,O
TZSJLOI,X,O,O,X,X,X,O
TZSJOIL,O,O,O,X,X,X,O
TZSJOLI,X,O,O,X,X,X,O
TZSOILJ,X,O,X,X,X,O,O
TZSOIJL,O,O,O,X,X,O,O
TZSOLIJ,O,O,O,X,X,X,O
TZSOLJI,O,O,O,X,X,X,O
TZSOJIL,O,O,O,X,X,X,O
TZSOJLI,X,O,O,X,X,X,O
TZOILJS,X,O,O,O,X,X,X
TZOILSJ,X,O,O,O,X,X,O
TZOIJLS,X,O,O,O,X,X,X
TZOIJSL,X,O,O,O,X,X,X
TZOISLJ,X,O,X,X,X,X,O
TZOISJL,X,O,O,O,X,X,O
TZOLIJS,O,O,O,O,X,X,X
TZOLISJ,X,O,O,O,X,X,O
TZOLJIS,O,O,O,O,X,X,X
TZOLJSI,O,O,O,O,X,X,X
TZOLSIJ,O,O,O,O,X,X,O
TZOLSJI,O,O,O,O,X,X,O
TZOJILS,X,O,O,O,X,X,X
TZOJISL,X,O,O,O,X,X,X
TZOJLIS,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,X,X,X
TZOJSIL,O,O,O,O,X,X,X
TZOJSLI,X,O,O,O,X,X,X
TZOSILJ,X,O,X,X,X,X,O
TZOSIJL,O,O,O,O,X,X,O
TZOSLIJ,O,O,O,O,X,X,O
TZOSLJI,O,O,O,O,X,X,O
TZOSJIL,O,O,O,O,X,X,O
