sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TJIZSLO,X,X,O,X,X
TJIZSOL,X,X,O,X,X
TJIZOLS,X,X,O,X,X
TJIZOSL,X,X,O,X,X
TJIOLSZ,X,X,O,X,O
TJIOLZS,X,X,O,X,O
TJIOSLZ,O,X,O,X,X
TJIOSZL,O,X,O,X,X
TJIOZLS,X,X,O,X,O
TJIOZSL,O,X,O,X,X
TJLISZO,X,X,O,X,X
TJLISOZ,X,X,O,X,O
TJLIZSO,X,X,O,X,X
TJLIZOS,X,X,O,X,O
TJLIOSZ,X,X,O,X,O
TJLIOZS,X,X,O,X,O
TJLSIZO,O,X,O,X,X
TJLSIOZ,X,X,O,X,O
TJLSZIO,O,X,O,X,X
TJLSZOI,O,X,O,X,X
TJLSOIZ,O,X,O,X,O
TJLSOZI,O,X,O,X,O
TJLZISO,X,X,O,X,X
TJLZIOS,X,X,O,X,O
TJLZSIO,O,X,O,X,X
TJLZSOI,O,X,O,X,X
TJLZOIS,X,X,O,X,O
TJLZOSI,X,X,O,X,O
TJLOISZ,X,X,O,X,O
TJLOIZS,X,X,O,X,O
TJLOSIZ,O,X,O,X,O
TJLOSZI,O,X,O,X,O
TJLOZIS,X,X,O,X,O
TJLOZSI,O,X,O,X,O
TJSILZO,O,X,O,X,X
TJSILOZ,O,X,O,X,X
TJSIZLO,O,X,O,X,X
TJSIZOL,O,X,O,X,X
TJSIOLZ,O,X,O,X,X
TJSIOZL,O,X,O,X,X
TJSLIZO,O,X,O,X,X
TJSLIOZ,O,X,O,X,X
TJSLZIO,O,X,O,X,X
TJSLZOI,O,X,O,X,X
TJSLOIZ,O,X,O,X,X
TJSLOZI,O,X,O,X,X
TJSZILO,O,X,O,X,X
TJSZIOL,O,X,O,X,X
TJSZLIO,O,X,O,X,X
TJSZLOI,O,X,O,X,X
TJSZOIL,O,X,O,X,X
TJSZOLI,O,X,O,X,X
TJSOILZ,O,X,O,X,X
TJSOIZL,O,X,O,X,X
