sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
IOSTZLJ,O,O,X,O,X
IOSTZJL,O,O,X,O,X
IOSLTJZ,O,O,X,O,X
IOSLTZJ,O,O,X,O,O
IOSLJTZ,O,O,X,O,O
IOSLJZT,O,O,X,O,O
IOSLZTJ,O,O,X,O,O
IOSLZJT,O,O,X,O,X
IOSJTLZ,O,O,X,O,X
IOSJTZL,O,O,X,O,X
IOSJLTZ,O,O,X,O,O
IOSJLZT,O,O,X,O,O
IOSJZTL,O,O,X,O,X
IOSJZLT,O,O,X,O,O
IOSZTLJ,O,O,X,O,X
IOSZTJL,O,O,X,O,X
IOSZLTJ,O,O,X,O,O
IOSZLJT,O,O,X,O,X
IOSZJTL,O,O,X,O,X
IOSZJLT,O,O,X,O,O
IOZTLJS,X,O,O,X,O
IOZTLSJ,O,O,X,O,O
IOZTJLS,X,X,O,X,O
IOZTJSL,O,O,O,O,X
IOZTSLJ,O,O,X,O,X
IOZTSJL,O,O,O,O,X
IOZLTJS,O,O,X,X,O
IOZLTSJ,O,O,X,O,O
IOZLJTS,O,O,O,X,O
IOZLJST,O,O,X,X,O
IOZLSTJ,O,O,X,O,O
IOZLSJT,O,O,X,O,X
IOZJTLS,X,X,O,X,O
IOZJTSL,O,O,O,O,X
IOZJLTS,X,O,O,X,O
IOZJLST,X,O,X,X,O
IOZJSTL,O,O,X,O,X
IOZJSLT,O,O,X,O,O
IOZSTLJ,O,O,X,O,X
IOZSTJL,O,O,X,O,X
IOZSLTJ,O,O,X,O,O
IOZSLJT,O,O,X,O,X
IOZSJTL,O,O,X,O,X
IOZSJLT,O,O,X,O,O
LTIJSZO,O,O,O,X,X
LTIJSOZ,O,O,O,X,O
LTIJZSO,O,O,O,X,X
LTIJZOS,X,X,O,X,O
LTIJOSZ,O,X,O,X,O
LTIJOZS,O,X,O,X,O
LTISJZO,O,O,X,X,X
LTISJOZ,O,O,X,X,X
LTISZJO,O,O,X,X,X
LTISZOJ,O,O,X,X,X
LTISOJZ,O,O,X,X,X
LTISOZJ,O,O,X,X,O
LTIZJSO,O,O,O,X,X
LTIZJOS,X,X,O,X,X
LTIZSJO,O,O,X,X,X
LTIZSOJ,O,O,X,X,X
LTIZOJS,O,X,O,X,O
LTIZOSJ,O,O,X,X,O
LTIOJSZ,O,X,O,X,O
LTIOJZS,O,X,O,X,O
LTIOSJZ,O,O,X,X,X
LTIOSZJ,O,O,X,X,O
LTIOZJS,O,X,O,X,O
LTIOZSJ,O,O,X,X,O
LTJISZO,X,O,O,X,X
LTJISOZ,X,O,O,X,O
LTJIZSO,X,O,O,X,X
LTJIZOS,X,X,O,X,O
LTJIOSZ,X,X,O,X,O
LTJIOZS,X,X,O,X,O
LTJSIZO,O,O,O,X,X
LTJSIOZ,X,O,O,X,O
LTJSZIO,O,O,O,X,X
LTJSZOI,O,O,O,X,X
LTJSOIZ,O,O,O,X,O
LTJSOZI,O,O,O,X,O
LTJZISO,X,X,O,X,X
LTJZIOS,X,X,O,X,O
LTJZSIO,O,O,O,X,X
LTJZSOI,O,O,O,X,X
LTJZOIS,X,X,O,X,O
LTJZOSI,X,X,O,X,O
LTJOISZ,X,X,O,X,O
LTJOIZS,X,X,O,X,O
LTJOSIZ,O,X,O,X,O
LTJOSZI,O,X,O,X,O
LTJOZIS,X,X,O,X,O
LTJOZSI,O,X,O,X,O
LTSIJZO,O,O,X,X,X
LTSIJOZ,O,O,X,X,X
LTSIZJO,O,O,X,X,X
LTSIZOJ,O,O,X,X,X
LTSIOJZ,O,O,X,X,X
LTSIOZJ,O,O,X,X,O
LTSJIZO,O,O,X,X,X
LTSJIOZ,O,O,X,X,X
LTSJZIO,O,O,X,X,X
LTSJZOI,O,O,X,X,X
LTSJOIZ,O,O,X,X,X
LTSJOZI,O,O,X,X,X
LTSZIJO,O,O,X,X,X
LTSZIOJ,X,O,X,X,X
LTSZJIO,O,O,X,X,X
LTSZJOI,O,O,X,X,X
LTSZOIJ,O,X,X,X,X
LTSZOJI,O,O,X,X,X
LTSOIJZ,O,O,X,X,X
LTSOIZJ,O,O,X,X,O
LTSOJIZ,O,O,X,X,X
LTSOJZI,O,O,X,X,X
LTSOZIJ,O,X,X,X,O
LTSOZJI,O,O,X,X,X
LTZIJSO,X,O,O,X,X
LTZIJOS,X,X,O,X,X
LTZISJO,O,O,X,X,X
LTZISOJ,X,O,X,X,X
LTZIOJS,X,X,O,X,O
LTZIOSJ,X,O,X,X,O
LTZJISO,X,X,O,X,X
LTZJIOS,X,X,O,X,X
LTZJSIO,O,O,O,X,X
LTZJSOI,O,O,O,X,X
LTZJOIS,X,X,O,X,X
LTZJOSI,X,X,O,X,X
LTZSIJO,O,O,X,X,X
LTZSIOJ,X,O,X,X,X
LTZSJIO,O,O,X,X,X
LTZSJOI,O,O,X,X,X
LTZSOIJ,O,X,X,X,X
LTZSOJI,O,O,X,X,X
LTZOIJS,X,X,O,X,O
LTZOISJ,O,X,X,X,O
LTZOJIS,X,X,O,X,O
LTZOJSI,O,X,O,X,X
LTZOSIJ,O,X,X,X,O
LTZOSJI,O,O,X,X,X
LTOIJSZ,X,X,O,X,O
LTOIJZS,X,X,O,X,O
LTOISJZ,O,O,X,X,X
LTOISZJ,O,O,X,X,O
LTOIZJS,X,X,O,X,O
LTOIZSJ,O,O,X,X,O
LTOJISZ,X,X,O,X,O
LTOJIZS,X,X,O,X,O
LTOJSIZ,O,X,O,X,O
LTOJSZI,O,X,O,X,O
LTOJZIS,X,X,O,X,O
LTOJZSI,O,X,O,X,O
LTOSIJZ,O,O,X,X,X
LTOSIZJ,O,O,X,X,O
LTOSJIZ,O,O,X,X,X
LTOSJZI,O,O,X,X,X
LTOSZIJ,O,X,X,X,O
LTOSZJI,O,O,X,X,X
LTOZIJS,X,X,O,X,O
LTOZISJ,O,X,X,X,O
LTOZJIS,X,X,O,X,O
LTOZJSI,O,X,O,X,X
LTOZSIJ,O,X,X,X,O
LTOZSJI,O,O,X,X,X
LITJSZO,O,O,O,X,X
LITJSOZ,O,O,O,X,O
LITJZSO,O,O,O,X,X
LITJZOS,X,X,O,X,O
LITJOSZ,O,X,O,X,O
LITJOZS,O,X,O,X,O
LITSJZO,O,O,X,X,X
LITSJOZ,O,O,X,X,X
LITSZJO,O,O,X,X,X
LITSZOJ,O,O,X,X,X
LITSOJZ,O,O,X,X,X
LITSOZJ,O,O,X,X,O
LITZJSO,O,O,O,X,X
LITZJOS,X,X,O,X,X
LITZSJO,O,O,X,X,X
LITZSOJ,O,O,X,X,X
LITZOJS,O,X,O,X,O
LITZOSJ,O,O,X,X,O
LITOJSZ,O,X,O,X,O
LITOJZS,O,X,O,X,O
LITOSJZ,O,O,X,X,X
LITOSZJ,O,O,X,X,O
LITOZJS,O,X,O,X,O
LITOZSJ,O,O,X,X,O
LIJTSZO,O,O,O,X,X
LIJTSOZ,O,O,O,X,O
LIJTZSO,O,O,O,X,X
LIJTZOS,X,X,O,X,O
LIJTOSZ,O,X,O,X,O
LIJTOZS,O,X,O,X,O
LIJSTZO,O,O,O,X,X
LIJSTOZ,O,O,O,X,O
LIJSZTO,O,O,O,X,X
LIJSZOT,O,O,X,X,X
LIJSOTZ,O,O,X,X,O
LIJSOZT,O,O,X,X,O
LIJZTSO,O,O,O,X,X
LIJZTOS,X,X,O,X,O
LIJZSTO,O,O,O,X,X
LIJZSOT,O,O,X,X,X
LIJZOTS,X,X,O,X,O
LIJZOST,X,X,X,X,O
LIJOTSZ,O,X,O,X,O
LIJOTZS,O,X,O,X,O
LIJOSTZ,O,X,X,X,O
LIJOSZT,O,X,X,X,O
LIJOZTS,O,X,O,X,O
LIJOZST,O,X,X,X,O
LISTJZO,O,O,X,X,X
LISTJOZ,O,O,X,X,X
LISTZJO,O,O,X,X,X
LISTZOJ,O,O,X,X,X
LISTOJZ,O,O,X,X,X
LISTOZJ,O,O,X,X,O
LISJTZO,O,O,O,X,X
LISJTOZ,O,O,O,X,O
LISJZTO,O,O,O,X,X
LISJZOT,O,O,X,O,X
LISJOTZ,O,O,X,O,O
LISJOZT,O,O,X,O,O
LISZTJO,O,O,X,X,X
LISZTOJ,O,O,X,X,X
LISZJTO,O,O,O,X,X
LISZJOT,O,O,X,O,X
LISZOTJ,O,O,X,O,X
LISZOJT,O,O,X,O,X
LISOTJZ,O,O,X,O,X
LISOTZJ,O,O,X,O,O
LISOJTZ,O,O,X,O,O
LISOJZT,O,O,X,O,O
LISOZTJ,O,O,X,O,O
LISOZJT,O,O,X,O,X
LIZTJSO,O,O,O,X,X
LIZTJOS,X,X,O,X,X
LIZTSJO,O,O,X,X,X
LIZTSOJ,O,O,X,X,X
LIZTOJS,O,X,O,X,O
LIZTOSJ,O,O,X,X,O
LIZJTSO,O,O,O,X,X
LIZJTOS,X,X,O,X,O
LIZJSTO,O,O,O,X,X
LIZJSOT,O,O,X,X,X
LIZJOTS,X,X,O,X,O
LIZJOST,X,X,X,X,O
LIZSTJO,O,O,X,X,X
LIZSTOJ,O,O,X,X,X
LIZSJTO,O,O,O,X,X
LIZSJOT,O,O,X,O,X
LIZSOTJ,O,O,X,O,X
LIZSOJT,O,O,X,O,X
LIZOTJS,O,O,X,X,O
LIZOTSJ,O,O,X,O,O
LIZOJTS,O,O,O,X,O
LIZOJST,O,O,X,X,O
LIZOSTJ,O,O,X,O,O
LIZOSJT,O,O,X,O,X
LIOTJSZ,O,O,X,X,O
LIOTJZS,O,O,X,X,O
LIOTSJZ,O,O,X,O,X
LIOTSZJ,O,O,X,O,O
LIOTZJS,O,O,X,X,O
LIOTZSJ,O,O,X,O,O
LIOJTSZ,O,O,O,X,O
LIOJTZS,O,O,O,X,O
LIOJSTZ,O,O,X,X,O
LIOJSZT,O,O,X,X,O
LIOJZTS,O,O,O,X,O
LIOJZST,O,O,X,X,O
LIOSTJZ,O,O,X,O,X
LIOSTZJ,O,O,X,O,O
LIOSJTZ,O,O,X,O,O
LIOSJZT,O,O,X,O,O
LIOSZTJ,O,O,X,O,O
LIOSZJT,O,O,X,O,X
LIOZTJS,O,O,X,X,O
LIOZTSJ,O,O,X,O,O
LIOZJTS,O,O,O,X,O
LIOZJST,O,O,X,X,O
LIOZSTJ,O,O,X,O,O
LIOZSJT,O,O,X,O,X
LJTISZO,X,O,O,X,X
LJTISOZ,X,O,O,X,O
LJTIZSO,X,O,O,X,X
LJTIZOS,X,X,O,X,O
LJTIOSZ,X,X,O,X,O
LJTIOZS,X,X,O,X,O
LJTSIZO,O,O,O,X,X
LJTSIOZ,X,O,O,X,O
LJTSZIO,O,O,O,X,X
LJTSZOI,O,O,O,X,X
LJTSOIZ,O,O,O,X,O
LJTSOZI,O,O,O,X,O
LJTZISO,X,X,O,X,X
LJTZIOS,X,X,O,X,O
LJTZSIO,O,O,O,X,X
LJTZSOI,O,O,O,X,X
LJTZOIS,X,X,O,X,O
LJTZOSI,X,X,O,X,O
LJTOISZ,X,X,O,X,O
LJTOIZS,X,X,O,X,O
LJTOSIZ,O,X,O,X,O
LJTOSZI,O,X,O,X,O
LJTOZIS,X,X,O,X,O
LJTOZSI,O,X,O,X,O
LJITSZO,X,O,O,X,X
LJITSOZ,X,O,O,X,O
LJITZSO,X,O,O,X,X
LJITZOS,X,X,O,X,O
LJITOSZ,X,X,O,X,O
LJITOZS,X,X,O,X,O
LJISTZO,X,O,O,X,X
LJISTOZ,X,O,O,X,O
LJISZTO,X,O,O,X,X
LJISZOT,X,O,X,X,X
LJISOTZ,X,O,X,X,O
LJISOZT,X,O,X,X,O
LJIZTSO,X,O,O,X,X
LJIZTOS,X,X,O,X,O
LJIZSTO,X,O,O,X,X
LJIZSOT,X,O,X,X,X
LJIZOTS,X,X,O,X,O
LJIZOST,X,X,X,X,O
LJIOTSZ,X,X,O,X,O
LJIOTZS,X,X,O,X,O
LJIOSTZ,X,X,X,X,O
LJIOSZT,X,X,X,X,O
LJIOZTS,X,X,O,X,O
LJIOZST,X,X,X,X,O
LJSTIZO,O,O,O,X,X
LJSTIOZ,X,O,O,X,O
LJSTZIO,O,O,O,X,X
LJSTZOI,O,O,O,X,X
LJSTOIZ,O,O,O,X,O
LJSTOZI,O,O,O,X,O
LJSITZO,O,O,O,X,X
LJSITOZ,X,O,O,X,O
LJSIZTO,O,O,O,X,X
LJSIZOT,X,O,X,X,X
LJSIOTZ,X,O,X,X,O
LJSIOZT,X,O,X,X,O
LJSZTIO,O,O,O,X,X
LJSZTOI,O,O,O,X,X
LJSZITO,O,O,O,X,X
LJSZIOT,X,O,X,X,X
LJSZOTI,O,O,X,X,X
LJSZOIT,X,O,X,X,X
LJSOTIZ,O,O,X,X,O
LJSOTZI,O,O,X,X,O
LJSOITZ,O,O,X,X,O
LJSOIZT,O,O,X,X,O
LJSOZTI,O,O,X,X,O
LJSOZIT,O,O,X,X,O
LJZTISO,X,X,O,X,X
LJZTIOS,X,X,O,X,O
LJZTSIO,O,O,O,X,X
LJZTSOI,O,O,O,X,X
LJZTOIS,X,X,O,X,O
LJZTOSI,X,X,O,X,O
LJZITSO,X,O,O,X,X
LJZITOS,X,X,O,X,O
LJZISTO,X,O,O,X,X
LJZISOT,X,O,X,X,X
LJZIOTS,X,X,O,X,O
LJZIOST,X,X,X,X,O
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,O,X,X
LJZSIOT,X,O,X,X,X
LJZSOTI,O,O,X,X,X
LJZSOIT,X,O,X,X,X
LJZOTIS,X,X,O,X,O
LJZOTSI,X,X,O,X,O
LJZOITS,X,X,O,X,O
LJZOIST,X,X,X,X,O
LJZOSTI,X,X,X,X,O
LJZOSIT,X,X,X,X,O
LJOTISZ,X,X,O,X,O
LJOTIZS,X,X,O,X,O
LJOTSIZ,O,X,O,X,O
LJOTSZI,O,X,O,X,O
LJOTZIS,X,X,O,X,O
LJOTZSI,O,X,O,X,O
LJOITSZ,X,X,O,X,O
LJOITZS,X,X,O,X,O
LJOISTZ,X,X,X,X,O
LJOISZT,X,X,X,X,O
LJOIZTS,X,X,O,X,O
LJOIZST,X,X,X,X,O
LJOSTIZ,O,X,X,X,O
LJOSTZI,O,X,X,X,O
LJOSITZ,O,X,X,X,O
LJOSIZT,O,X,X,X,O
LJOSZTI,O,X,X,X,O
LJOSZIT,O,X,X,X,O
LJOZTIS,X,X,O,X,O
LJOZTSI,O,X,O,X,O
LJOZITS,X,X,O,X,O
LJOZIST,X,X,X,X,O
LJOZSTI,O,X,X,X,O
LJOZSIT,O,X,X,X,O
LSTIJZO,O,O,X,X,X
LSTIJOZ,O,O,X,X,X
LSTIZJO,O,O,X,X,X
LSTIZOJ,O,O,X,X,X
LSTIOJZ,O,O,X,X,X
LSTIOZJ,O,O,X,X,O
LSTJIZO,O,O,X,X,X
LSTJIOZ,O,O,X,X,X
LSTJZIO,O,O,X,X,X
LSTJZOI,O,O,X,X,X
LSTJOIZ,O,O,X,X,X
LSTJOZI,O,O,X,X,X
LSTZIJO,O,O,X,X,X
LSTZIOJ,X,O,X,X,X
LSTZJIO,O,O,X,X,X
LSTZJOI,O,O,X,X,X
LSTZOIJ,O,X,X,X,X
LSTZOJI,O,O,X,X,X
LSTOIJZ,O,O,X,X,X
LSTOIZJ,O,O,X,X,O
LSTOJIZ,O,O,X,X,X
LSTOJZI,O,O,X,X,X
LSTOZIJ,O,X,X,X,O
LSTOZJI,O,O,X,X,X
LSITJZO,O,O,X,X,X
LSITJOZ,O,O,X,X,X
LSITZJO,O,O,X,X,X
LSITZOJ,O,O,X,X,X
LSITOJZ,O,O,X,X,X
LSITOZJ,O,O,X,X,O
LSIJTZO,O,O,O,X,X
LSIJTOZ,O,O,O,X,O
LSIJZTO,O,O,O,X,X
LSIJZOT,O,O,X,O,X
LSIJOTZ,O,O,X,O,O
LSIJOZT,O,O,X,O,O
LSIZTJO,O,O,X,X,X
LSIZTOJ,O,O,X,X,X
LSIZJTO,O,O,O,X,X
LSIZJOT,O,O,X,O,X
LSIZOTJ,O,O,X,O,X
LSIZOJT,O,O,X,O,X
LSIOTJZ,O,O,X,O,X
LSIOTZJ,O,O,X,O,O
LSIOJTZ,O,O,X,O,O
LSIOJZT,O,O,X,O,O
LSIOZTJ,O,O,X,O,O
LSIOZJT,O,O,X,O,X
LSJTIZO,O,O,O,X,X
LSJTIOZ,O,O,O,X,O
LSJTZIO,O,O,O,X,X
LSJTZOI,O,O,O,X,X
LSJTOIZ,O,O,O,X,O
LSJTOZI,O,O,O,X,O
LSJITZO,O,O,O,X,X
LSJITOZ,O,O,O,X,O
LSJIZTO,O,O,O,X,X
LSJIZOT,O,O,X,O,X
LSJIOTZ,O,O,X,O,O
LSJIOZT,O,O,X,O,O
LSJZTIO,O,O,O,X,X
LSJZTOI,O,O,O,X,X
LSJZITO,O,O,O,X,X
LSJZIOT,X,O,X,O,X
LSJZOTI,O,O,X,O,X
LSJZOIT,X,O,X,O,X
LSJOTIZ,O,O,X,X,O
LSJOTZI,O,O,X,O,O
LSJOITZ,O,O,X,O,O
LSJOIZT,O,O,X,O,O
LSJOZTI,O,O,X,O,O
LSJOZIT,O,O,X,O,O
LSZTIJO,O,O,X,X,X
LSZTIOJ,X,O,X,X,X
LSZTJIO,O,O,X,X,X
LSZTJOI,O,O,X,X,X
LSZTOIJ,O,X,X,X,X
LSZTOJI,O,O,X,X,X
LSZITJO,O,O,X,X,X
LSZITOJ,X,O,X,X,X
LSZIJTO,O,O,O,X,X
LSZIJOT,X,O,X,O,X
LSZIOTJ,X,O,X,O,X
LSZIOJT,X,O,X,O,X
LSZJTIO,O,O,O,X,X
LSZJTOI,O,O,O,X,X
LSZJITO,O,O,O,X,X
LSZJIOT,X,O,X,O,X
LSZJOTI,O,O,X,O,X
LSZJOIT,X,O,X,O,X
LSZOTIJ,O,O,X,X,X
LSZOTJI,O,O,X,O,X
LSZOITJ,O,O,X,O,X
LSZOIJT,O,O,X,O,X
LSZOJTI,O,O,X,O,X
LSZOJIT,O,O,X,O,X
LSOTIJZ,O,O,X,X,X
LSOTIZJ,O,O,X,X,O
LSOTJIZ,O,O,X,X,X
LSOTJZI,O,O,X,O,X
LSOTZIJ,O,O,X,X,O
LSOTZJI,O,O,X,O,X
LSOITJZ,O,O,X,O,X
LSOITZJ,O,O,X,O,O
LSOIJTZ,O,O,X,O,O
LSOIJZT,O,O,X,O,O
LSOIZTJ,O,O,X,O,O
LSOIZJT,O,O,X,O,X
LSOJTIZ,O,O,X,X,O
LSOJTZI,O,O,X,O,O
LSOJITZ,O,O,X,O,O
LSOJIZT,O,O,X,O,O
LSOJZTI,O,O,X,O,O
LSOJZIT,O,O,X,O,O
LSOZTIJ,O,O,X,X,O
LSOZTJI,O,O,X,O,X
LSOZITJ,O,O,X,O,O
LSOZIJT,O,O,X,O,X
LSOZJTI,O,O,X,O,X
LSOZJIT,O,O,X,O,X
LZTIJSO,X,O,O,X,X
LZTIJOS,X,X,O,X,X
LZTISJO,O,O,X,X,X
LZTISOJ,X,O,X,X,X
LZTIOJS,X,X,O,X,O
LZTIOSJ,X,O,X,X,O
LZTJISO,X,X,O,X,X
LZTJIOS,X,X,O,X,X
LZTJSIO,O,O,O,X,X
LZTJSOI,O,O,O,X,X
LZTJOIS,X,X,O,X,X
LZTJOSI,X,X,O,X,X
LZTSIJO,O,O,X,X,X
LZTSIOJ,X,O,X,X,X
LZTSJIO,O,O,X,X,X
LZTSJOI,O,O,X,X,X
LZTSOIJ,O,X,X,X,X
LZTSOJI,O,O,X,X,X
LZTOIJS,X,X,O,X,O
LZTOISJ,O,X,X,X,O
LZTOJIS,X,X,O,X,O
LZTOJSI,O,X,O,X,X
LZTOSIJ,O,X,X,X,O
LZTOSJI,O,O,X,X,X
LZITJSO,X,O,O,X,X
LZITJOS,X,X,O,X,X
LZITSJO,O,O,X,X,X
LZITSOJ,X,O,X,X,X
LZITOJS,X,X,O,X,O
LZITOSJ,X,O,X,X,O
LZIJTSO,X,O,O,X,X
LZIJTOS,X,X,O,X,O
LZIJSTO,X,O,O,X,X
LZIJSOT,X,O,X,X,X
LZIJOTS,X,X,O,X,O
LZIJOST,X,X,X,X,O
LZISTJO,O,O,X,X,X
LZISTOJ,X,O,X,X,X
LZISJTO,O,O,O,X,X
LZISJOT,X,O,X,O,X
LZISOTJ,X,O,X,O,X
LZISOJT,X,O,X,O,X
LZIOTJS,X,O,X,X,O
LZIOTSJ,X,O,X,O,O
LZIOJTS,X,O,O,X,O
LZIOJST,X,O,X,X,O
LZIOSTJ,X,O,X,O,O
LZIOSJT,X,O,X,O,X
LZJTISO,X,X,O,X,X
LZJTIOS,X,X,O,X,O
LZJTSIO,O,O,O,X,X
LZJTSOI,O,O,O,X,X
LZJTOIS,X,X,O,X,O
LZJTOSI,X,X,O,X,O
LZJITSO,X,O,O,X,X
LZJITOS,X,X,O,X,O
LZJISTO,X,O,O,X,X
LZJISOT,X,O,X,X,X
LZJIOTS,X,X,O,X,O
LZJIOST,X,X,X,X,O
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,O,X,X
LZJSIOT,X,O,X,X,X
LZJSOTI,O,O,X,X,X
LZJSOIT,X,O,X,X,X
LZJOTIS,X,X,O,X,O
LZJOTSI,X,X,O,X,O
LZJOITS,X,X,O,X,O
LZJOIST,X,X,X,X,O
LZJOSTI,X,X,X,X,O
LZJOSIT,X,X,X,X,O
LZSTIJO,O,O,X,X,X
LZSTIOJ,X,O,X,X,X
LZSTJIO,O,O,X,X,X
LZSTJOI,O,O,X,X,X
LZSTOIJ,O,X,X,X,X
LZSTOJI,O,O,X,X,X
LZSITJO,O,O,X,X,X
LZSITOJ,X,O,X,X,X
LZSIJTO,O,O,O,X,X
LZSIJOT,X,O,X,O,X
LZSIOTJ,X,O,X,O,X
LZSIOJT,X,O,X,O,X
LZSJTIO,O,O,O,X,X
LZSJTOI,O,O,O,X,X
LZSJITO,O,O,O,X,X
LZSJIOT,X,O,X,O,X
LZSJOTI,O,O,X,O,X
LZSJOIT,X,O,X,O,X
LZSOTIJ,O,O,X,X,X
LZSOTJI,O,O,X,O,X
LZSOITJ,O,O,X,O,X
LZSOIJT,O,O,X,O,X
LZSOJTI,O,O,X,O,X
LZSOJIT,O,O,X,O,X
LZOTIJS,X,X,X,X,O
LZOTISJ,O,O,X,X,O
LZOTJIS,X,X,X,X,O
LZOTJSI,O,O,X,X,X
LZOTSIJ,O,O,X,X,O
LZOTSJI,O,O,X,O,X
LZOITJS,X,X,X,X,O
LZOITSJ,O,O,X,O,O
LZOIJTS,X,X,O,X,O
LZOIJST,X,X,X,X,O
LZOISTJ,O,O,X,O,O
LZOISJT,O,O,X,O,X
LZOJTIS,X,X,O,X,O
LZOJTSI,O,O,O,X,O
LZOJITS,X,X,O,X,O
LZOJIST,X,X,X,X,O
LZOJSTI,O,O,X,X,O
LZOJSIT,O,O,X,X,O
LZOSTIJ,O,O,X,X,O
LZOSTJI,O,O,X,O,X
LZOSITJ,O,O,X,O,O
LZOSIJT,O,O,X,O,X
LZOSJTI,O,O,X,O,X
LZOSJIT,O,O,X,O,X
LOTIJSZ,X,X,X,X,O
LOTIJZS,X,X,X,X,O
LOTISJZ,O,O,X,X,X
LOTISZJ,O,O,X,X,O
LOTIZJS,X,X,X,X,O
LOTIZSJ,O,O,X,X,O
LOTJISZ,X,X,X,X,O
LOTJIZS,X,X,X,X,O
LOTJSIZ,O,O,X,X,O
LOTJSZI,O,O,X,X,O
LOTJZIS,X,X,X,X,O
LOTJZSI,O,O,X,X,O
LOTSIJZ,O,O,X,X,X
LOTSIZJ,O,O,X,X,O
LOTSJIZ,O,O,X,X,X
LOTSJZI,O,O,X,O,X
LOTSZIJ,O,O,X,X,O
LOTSZJI,O,O,X,O,X
LOTZIJS,X,X,X,X,O
LOTZISJ,O,O,X,X,O
LOTZJIS,X,X,X,X,O
LOTZJSI,O,O,X,X,X
LOTZSIJ,O,O,X,X,O
LOTZSJI,O,O,X,O,X
LOITJSZ,O,X,X,X,O
LOITJZS,O,X,X,X,O
LOITSJZ,O,O,X,O,X
LOITSZJ,O,O,X,O,O
LOITZJS,O,X,X,X,O
LOITZSJ,O,O,X,O,O
LOIJTSZ,O,X,O,X,O
LOIJTZS,O,X,O,X,O
LOIJSTZ,O,X,X,X,O
LOIJSZT,O,X,X,X,O
LOIJZTS,O,X,O,X,O
LOIJZST,O,X,X,X,O
LOISTJZ,O,O,X,O,X
LOISTZJ,O,O,X,O,O
LOISJTZ,O,O,X,O,O
LOISJZT,O,O,X,O,O
LOISZTJ,O,O,X,O,O
LOISZJT,O,O,X,O,X
LOIZTJS,O,X,X,X,O
LOIZTSJ,O,O,X,O,O
LOIZJTS,O,X,O,X,O
LOIZJST,O,X,X,X,O
LOIZSTJ,O,O,X,O,O
LOIZSJT,O,O,X,O,X
LOJTISZ,X,X,O,X,O
LOJTIZS,X,X,O,X,O
LOJTSIZ,O,O,O,X,O
LOJTSZI,O,O,O,X,O
LOJTZIS,X,X,O,X,O
LOJTZSI,O,O,O,X,O
LOJITSZ,X,X,O,X,O
LOJITZS,X,X,O,X,O
LOJISTZ,X,X,X,X,O
LOJISZT,X,X,X,X,O
LOJIZTS,X,X,O,X,O
LOJIZST,X,X,X,X,O
LOJSTIZ,O,O,X,X,O
LOJSTZI,O,O,X,X,O
LOJSITZ,O,O,X,X,O
LOJSIZT,O,O,X,X,O
LOJSZTI,O,O,X,X,O
LOJSZIT,O,O,X,X,O
LOJZTIS,X,X,O,X,O
LOJZTSI,O,O,O,X,O
LOJZITS,X,X,O,X,O
LOJZIST,X,X,X,X,O
LOJZSTI,O,O,X,X,O
LOJZSIT,O,O,X,X,O
LOSTIJZ,O,O,X,X,X
LOSTIZJ,O,O,X,X,O
LOSTJIZ,O,O,X,X,X
LOSTJZI,O,O,X,O,X
LOSTZIJ,O,O,X,X,O
LOSTZJI,O,O,X,O,X
LOSITJZ,O,O,X,O,X
LOSITZJ,O,O,X,O,O
LOSIJTZ,O,O,X,O,O
LOSIJZT,O,O,X,O,O
LOSIZTJ,O,O,X,O,O
LOSIZJT,O,O,X,O,X
LOSJTIZ,O,O,X,X,O
LOSJTZI,O,O,X,O,O
LOSJITZ,O,O,X,O,O
LOSJIZT,O,O,X,O,O
LOSJZTI,O,O,X,O,O
LOSJZIT,O,O,X,O,O
LOSZTIJ,O,O,X,X,O
LOSZTJI,O,O,X,O,X
LOSZITJ,O,O,X,O,O
LOSZIJT,O,O,X,O,X
LOSZJTI,O,O,X,O,X
LOSZJIT,O,O,X,O,X
LOZTIJS,X,X,X,X,O
LOZTISJ,O,O,X,X,O
LOZTJIS,X,X,X,X,O
LOZTJSI,O,O,X,X,X
LOZTSIJ,O,O,X,X,O
LOZTSJI,O,O,X,O,X
LOZITJS,X,X,X,X,O
LOZITSJ,O,O,X,O,O
LOZIJTS,X,X,O,X,O
LOZIJST,X,X,X,X,O
LOZISTJ,O,O,X,O,O
LOZISJT,O,O,X,O,X
LOZJTIS,X,X,O,X,O
LOZJTSI,O,O,O,X,O
LOZJITS,X,X,O,X,O
LOZJIST,X,X,X,X,O
LOZJSTI,O,O,X,X,O
LOZJSIT,O,O,X,X,O
LOZSTIJ,O,O,X,X,O
LOZSTJI,O,O,X,O,X
