sequence,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeUAJvhFXiBTjB?tpBerBCmBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeCAJvhFXiBTjB?8pBtqBOrBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Jez/IvhF0hBxiB?CqB2wBtqBXtB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeOGJvhFXiBTjB?SqBtpB0qBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeTDJvhFRqBupB?9qBKrBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Je5EJvhFNlBamB?TjBWwBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JezBJvhFRqBupB?9qBKrBctB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBtpB?XmB0qB2xBCsB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JemBJvhFRqBtpB?6qBctBTrB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBupB?9qBKrBfsB0sB
TLZIOJS,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,X,X,X,X,O
TLZJIOS,X,O,X,X,X,X,X,X,X,O
TLZJSIO,X,O,X,X,X,X,X,X,X,O
TLZJSOI,O,O,X,X,X,X,X,X,X,O
TLZJOIS,X,O,X,X,X,X,X,X,X,O
TLZJOSI,O,O,X,X,X,X,X,X,X,O
TLZSIJO,O,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,X,X,O
TLZOJSI,O,O,X,X,X,X,X,X,X,O
TLZOSIJ,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,O,X,X,X,O
TLOIJZS,O,X,O,X,X,O,X,X,X,O
TLOISJZ,O,X,X,O,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,O,X,X,X,O
TLOJIZS,X,X,O,X,X,O,X,X,X,O
TLOJSIZ,X,X,O,X,X,O,X,X,X,O
TLOJSZI,O,X,O,X,X,X,X,X,X,O
TLOJZIS,X,X,O,X,X,O,X,X,X,O
TLOJZSI,O,X,O,X,X,X,X,X,X,O
TLOSIJZ,O,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,O,X,X,X,X,X,O
TLOSJZI,O,X,X,O,X,X,X,O,X,O
TLOSZIJ,O,O,X,X,X,X,X,O,X,X
TLOSZJI,O,O,X,X,X,X,X,O,X,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,X,X,X,X,X,X,X,O
TLOZJSI,O,O,X,X,X,X,X,X,X,O
TLOZSIJ,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,X,O,X,X,X,X
TJILSOZ,O,X,O,X,X,O,X,X,X,X
TJILZSO,O,X,O,X,X,O,X,X,X,X
TJILZOS,O,X,O,X,X,O,X,X,X,X
TJILOSZ,O,X,O,X,X,O,X,X,X,X
TJILOZS,O,X,O,X,X,O,X,X,X,X
TJISLZO,O,X,X,X,X,O,X,X,X,X
TJISLOZ,O,X,X,X,X,O,X,X,X,X
TJISZLO,O,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,O,X,X,O,X,X,X,X
TJIZLOS,O,X,O,X,X,O,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,O,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,X,X,X,X
TJIOLZS,O,X,X,X,X,O,X,X,X,X
TJIOSLZ,O,X,X,X,X,O,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,O,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,O,X,X,X,X
TJLISOZ,X,X,O,X,X,O,X,X,X,X
TJLIZSO,X,X,O,X,X,O,X,X,X,X
TJLIZOS,X,X,O,X,X,O,X,X,X,X
TJLIOSZ,X,X,O,X,X,O,X,X,X,X
TJLIOZS,X,X,O,X,X,O,X,X,X,X
TJLSIZO,X,X,O,X,X,O,X,X,X,X
TJLSIOZ,X,X,O,X,X,O,X,X,X,X
TJLSZIO,X,X,O,X,X,X,X,X,X,X
TJLSZOI,O,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,X,O,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X,X,X,X
TJLZISO,X,X,O,X,X,O,X,X,X,X
TJLZIOS,X,X,O,X,X,O,X,X,X,X
TJLZSIO,X,X,O,X,X,X,X,X,X,X
TJLZSOI,O,X,O,X,X,X,X,X,X,X
TJLZOIS,X,X,O,X,X,O,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,O,X,X,X,X
TJLOIZS,X,X,O,X,X,O,X,X,X,X
TJLOSIZ,X,X,O,X,X,O,X,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,O,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,O,X,X,X,X
TJSILOZ,O,X,X,X,X,O,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,O,X,X
TJSIZOL,O,X,X,X,X,X,X,O,X,X
TJSIOLZ,O,X,X,X,X,O,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,O,X,X
TJSLIZO,X,X,X,X,X,O,X,X,X,X
TJSLIOZ,X,X,X,X,X,O,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,O,X,X
TJSLZOI,O,X,X,X,X,X,X,O,X,X
TJSLOIZ,X,X,X,X,X,O,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X,O,X,X
TJSZILO,O,O,X,X,X,X,X,O,X,X
TJSZIOL,O,O,X,X,X,X,X,O,X,X
TJSZLIO,X,O,X,X,X,X,X,O,X,X
TJSZLOI,O,O,X,X,X,X,X,O,X,X
TJSZOIL,O,O,X,X,X,X,X,O,X,X
TJSZOLI,O,O,X,X,X,X,X,O,X,X
TJSOILZ,O,X,X,X,X,O,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,O,X,X
TJSOLIZ,X,X,X,X,X,O,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,O,X,X
TJSOZIL,O,O,X,X,X,X,X,O,X,X
TJSOZLI,O,O,X,X,X,X,X,O,X,X
TJZILSO,O,O,O,X,X,O,X,X,X,X
TJZILOS,O,O,O,X,X,O,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X,X,X
TJZIOLS,O,O,X,X,X,O,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X,X,X
TJZLISO,X,O,O,X,X,O,X,X,X,X
TJZLIOS,X,O,O,X,X,O,X,X,X,X
TJZLSIO,X,O,O,X,X,X,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,O,X,X,X,X
TJZLOSI,O,O,O,X,X,X,X,X,X,X
TJZSILO,O,O,X,X,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X,X,X
TJZSLIO,X,O,X,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X,X,X,X
TJZOILS,O,O,X,X,X,O,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,O,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X,X,X
TJZOSLI,O,O,X,X,X,X,X,X,X,X
TJOILSZ,O,X,X,X,X,O,X,X,X,X
TJOILZS,O,X,X,X,X,O,X,X,X,X
TJOISLZ,O,X,X,X,X,O,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,X,O,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,O,X,X,X,X
TJOLIZS,X,X,X,X,X,O,X,X,X,X
TJOLSIZ,X,X,X,X,X,O,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,O,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,O,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,O,X,X
TJOSLIZ,X,X,X,X,X,O,X,X,X,X
TJOSLZI,O,X,X,X,X,X,X,O,X,X
TJOSZIL,O,O,X,X,X,X,X,O,X,X
TJOSZLI,O,O,X,X,X,X,X,O,X,X
TJOZILS,O,O,X,X,X,O,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,O,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X,X,X
TSILJZO,O,X,X,O,X,X,X,X,X,X
TSILJOZ,O,X,X,O,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,O,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X
TSIJLZO,O,X,X,O,X,O,X,X,X,X
TSIJLOZ,O,X,X,O,X,O,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,O,X,X
TSIJZOL,O,O,X,X,X,X,X,O,X,X
TSIJOLZ,O,X,X,O,X,O,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,O,X,X
TSIZLJO,O,O,X,X,X,X,X,O,X,X
TSIZLOJ,O,O,X,X,X,X,X,O,X,X
TSIZJLO,O,O,X,X,X,X,X,O,X,X
TSIZJOL,O,O,X,X,X,X,X,O,X,X
TSIZOLJ,O,O,X,X,X,X,X,O,X,X
TSIZOJL,O,O,X,X,X,X,X,O,X,X
TSIOLJZ,O,X,X,O,X,X,X,X,X,X
