sequence,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFaoB5oB/pBFmBTq?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFaoB5oB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeUBJvhFaoB5oB/pBFlBzq?BmpB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFlgBaoB5oB/qBOr?B0pB,v115@ChB8IeB8GeC8BeA8DeD8Kel/IvhFUhBaoB5oB/pBOq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFlgBaoB5oB/pBOr?BTqB,v115@ChB8IeB8GeC8BeA8DeD8KeOEJvhF8kBaoB5oBFmBXq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8KeaIJvhF5oBTkB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeKEJvhFRgBGjBFmB/tB0q?BzpB,v115@ChB8IeB8GeC8BeA8DeD8KeyEJvhFGjBFmB/tBxpB0p?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Kex/IvhF/pBUlBFmBToByv?BGtB
ITSOZJL,O,O,O,O,O,O,O,X,X,X,O
ITZLJSO,X,X,X,O,O,X,X,X,O,X,X
ITZLJOS,X,X,X,O,X,X,X,X,X,X,X
ITZLSJO,O,O,X,O,O,X,O,X,O,O,X
ITZLSOJ,O,O,X,O,O,X,O,O,O,X,X
ITZLOJS,X,X,X,O,O,X,X,X,X,X,X
ITZLOSJ,O,O,O,O,O,X,X,X,O,X,X
ITZJLSO,X,X,X,O,O,X,X,X,X,X,X
ITZJLOS,X,X,X,O,X,X,X,X,X,X,X
ITZJSLO,X,X,X,O,O,X,X,X,X,X,X
ITZJSOL,X,X,X,O,O,X,X,X,X,X,X
ITZJOLS,X,X,X,O,X,X,X,X,X,X,X
ITZJOSL,X,X,X,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,O,O,X,O,X,O,O,X
ITZSLOJ,O,O,X,O,O,X,O,O,O,X,X
ITZSJLO,O,O,X,O,O,X,O,X,O,O,X
ITZSJOL,X,O,X,O,X,X,O,X,X,X,X
ITZSOLJ,O,O,X,O,O,X,O,O,X,X,X
ITZSOJL,X,O,X,O,X,X,O,X,X,X,X
ITZOLJS,X,X,X,O,O,X,X,X,X,X,X
ITZOLSJ,O,O,O,O,O,X,X,X,X,X,X
ITZOJLS,X,X,X,O,O,X,X,X,X,X,X
ITZOJSL,X,X,X,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,O,O,O,X,X,X,X,X,X
ITZOSJL,O,O,O,O,O,X,X,X,X,X,X
ITOLJSZ,O,X,X,X,O,O,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X,X,X,X
ITOLSJZ,O,X,O,X,O,O,X,O,X,O,X
ITOLSZJ,O,O,O,X,O,O,O,O,X,X,X
ITOLZJS,X,X,X,X,O,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,O,O,X,X,X,X,X
ITOJLSZ,O,X,X,X,O,O,X,X,X,X,X
ITOJLZS,X,X,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,O,O,X,X,X,X,X
ITOJSZL,O,X,X,X,O,O,X,X,X,X,X
ITOJZLS,X,X,X,X,O,X,X,X,X,X,X
ITOJZSL,X,X,X,X,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,O,O,X,O,X,O,X
ITOSLZJ,O,O,O,X,O,O,O,O,X,X,X
ITOSJLZ,O,X,O,X,O,O,X,O,X,O,X
ITOSJZL,O,X,O,X,O,O,X,X,X,X,X
ITOSZLJ,O,O,O,X,O,O,O,O,X,X,O
ITOSZJL,O,O,O,X,O,O,O,X,X,X,O
ITOZLJS,X,X,X,X,O,X,X,X,X,X,X
ITOZLSJ,O,X,O,X,O,O,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X,X
ITOZJSL,X,X,X,X,O,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,O,O,X,X,X,X,X
ITOZSJL,O,X,O,X,O,O,X,X,X,X,X
ILTJSZO,O,O,X,O,O,O,O,X,X,O,X
ILTJSOZ,X,X,X,O,O,O,X,O,X,O,X
ILTJZSO,X,X,X,O,O,O,X,X,X,X,X
ILTJZOS,X,X,X,O,X,O,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,O,X,X,X,X,X
ILTJOZS,X,X,X,X,X,O,X,X,X,X,X
ILTSJZO,O,O,X,O,O,O,O,X,X,O,X
ILTSJOZ,X,X,X,X,O,O,X,O,X,O,X
ILTSZJO,O,O,X,O,O,O,O,X,X,O,X
ILTSZOJ,O,O,X,O,O,O,O,O,X,X,X
ILTSOJZ,O,X,O,X,O,O,X,O,X,O,X
ILTSOZJ,O,O,O,O,O,O,O,O,X,X,X
ILTZJSO,X,X,X,O,O,X,X,X,X,X,X
ILTZJOS,X,X,X,O,X,X,X,X,X,X,X
ILTZSJO,O,O,X,O,O,X,O,X,X,O,X
ILTZSOJ,O,O,X,O,O,X,O,O,X,X,X
ILTZOJS,X,X,X,O,O,X,X,X,X,X,X
ILTZOSJ,O,O,O,O,O,X,X,X,X,X,X
ILTOJSZ,O,X,X,X,O,O,X,X,X,X,X
ILTOJZS,X,X,X,X,O,X,X,X,X,X,X
ILTOSJZ,O,X,O,X,O,O,X,O,X,O,X
ILTOSZJ,O,O,O,X,O,O,O,O,X,X,X
ILTOZJS,X,X,X,X,O,X,X,X,X,X,X
ILTOZSJ,O,X,O,X,O,O,X,X,X,X,X
ILJTSZO,O,O,X,O,O,O,O,X,X,O,X
ILJTSOZ,X,X,X,O,O,O,X,O,X,O,X
ILJTZSO,X,X,X,O,O,O,X,X,X,X,X
ILJTZOS,X,X,X,O,X,O,X,X,X,X,X
ILJTOSZ,O,X,X,O,X,O,X,X,X,X,X
ILJTOZS,X,X,X,X,X,O,X,X,X,X,X
ILJSTZO,O,O,X,O,O,O,O,X,X,O,X
ILJSTOZ,X,X,X,O,O,O,X,O,X,O,X
ILJSZTO,O,O,X,O,O,O,O,X,X,O,X
ILJSZOT,O,O,X,O,O,O,O,X,X,X,X
ILJSOTZ,O,X,O,O,O,O,X,O,X,O,X
ILJSOZT,O,X,O,O,O,O,X,X,X,X,X
ILJZTSO,X,X,X,O,O,O,X,X,X,X,X
ILJZTOS,X,X,X,O,X,O,X,X,X,X,X
ILJZSTO,X,O,X,O,O,O,X,X,X,X,X
ILJZSOT,X,O,X,O,O,O,X,X,X,X,X
ILJZOTS,X,X,X,O,O,O,X,X,X,X,X
ILJZOST,X,O,O,O,O,O,X,X,X,X,X
ILJOTSZ,O,X,X,O,O,O,X,X,X,X,X
ILJOTZS,X,X,X,X,O,O,X,X,X,X,X
ILJOSTZ,O,X,O,O,O,O,X,O,X,X,X
ILJOSZT,O,X,O,O,O,O,X,X,X,X,X
ILJOZTS,X,X,X,O,O,O,X,X,X,X,X
ILJOZST,X,X,O,O,O,O,X,X,X,X,X
ILSTJZO,O,O,X,O,O,O,O,X,X,O,X
ILSTJOZ,X,X,X,X,O,O,X,O,X,O,X
ILSTZJO,O,O,X,O,O,O,O,X,X,O,X
ILSTZOJ,O,O,X,O,O,O,O,O,X,X,X
ILSTOJZ,O,X,O,X,O,O,X,O,X,O,X
ILSTOZJ,O,O,O,O,O,O,O,O,X,X,X
ILSJTZO,O,O,X,O,O,O,O,X,X,O,X
ILSJTOZ,X,X,X,O,O,O,X,O,X,O,X
ILSJZTO,O,O,X,O,O,O,O,X,O,O,X
ILSJZOT,O,O,X,O,O,O,O,X,X,X,X
ILSJOTZ,O,X,O,O,O,O,X,O,X,O,X
ILSJOZT,O,X,O,O,O,O,X,X,X,X,X
ILSZTJO,O,O,X,O,O,O,O,X,O,O,X
ILSZTOJ,O,O,X,O,O,O,O,O,O,X,X
ILSZJTO,O,O,X,O,O,O,O,X,O,O,X
ILSZJOT,O,O,X,O,O,O,O,X,X,X,X
ILSZOTJ,O,O,O,O,O,O,O,O,X,X,X
ILSZOJT,O,O,O,O,O,O,O,X,X,X,X
ILSOTJZ,O,X,O,X,O,O,X,O,X,O,X
ILSOTZJ,O,O,O,O,O,O,O,O,X,X,X
ILSOJTZ,O,X,O,X,O,O,X,O,X,O,X
ILSOJZT,O,X,O,X,O,O,X,X,X,X,X
ILSOZTJ,O,O,O,O,O,O,O,O,X,X,X
ILSOZJT,O,O,O,O,O,O,O,X,X,X,X
ILZTJSO,X,X,X,O,O,X,X,X,O,X,X
ILZTJOS,X,X,X,O,X,X,X,X,X,X,X
ILZTSJO,O,O,X,O,O,X,O,X,O,O,X
ILZTSOJ,O,O,X,O,O,X,O,O,O,X,X
ILZTOJS,X,X,X,O,O,X,X,X,X,X,X
ILZTOSJ,O,O,O,O,O,X,X,X,O,X,X
ILZJTSO,X,X,X,O,O,O,X,X,X,X,X
ILZJTOS,X,X,X,O,X,O,X,X,X,X,X
ILZJSTO,X,O,X,O,O,O,X,X,X,X,X
ILZJSOT,X,O,X,O,O,O,X,X,X,X,X
ILZJOTS,X,X,X,O,O,O,X,X,X,X,X
ILZJOST,X,O,O,O,O,O,X,X,X,X,X
ILZSTJO,O,O,X,O,O,O,O,X,O,O,X
ILZSTOJ,O,O,X,O,O,O,O,O,O,X,X
ILZSJTO,O,O,X,O,O,O,O,X,O,O,X
ILZSJOT,O,O,X,O,O,O,O,X,X,X,X
ILZSOTJ,O,O,O,O,O,O,O,O,X,X,X
ILZSOJT,O,O,O,O,O,O,O,X,X,X,X
ILZOTJS,X,X,X,O,O,X,X,X,X,X,X
ILZOTSJ,O,O,O,O,O,O,X,X,X,X,X
ILZOJTS,X,X,X,O,O,X,X,X,X,X,X
ILZOJST,X,O,O,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,O,O,O,O,X,O,X,X,X
ILZOSJT,O,O,O,O,O,O,X,X,X,X,X
ILOTJSZ,O,X,X,X,O,O,X,X,X,X,X
ILOTJZS,X,X,X,X,O,X,X,X,X,X,X
ILOTSJZ,O,X,O,X,O,O,X,O,X,O,X
ILOTSZJ,O,O,O,X,O,O,O,O,X,X,X
ILOTZJS,X,X,X,X,O,X,X,X,X,X,X
ILOTZSJ,O,X,O,X,O,O,X,X,X,X,X
ILOJTSZ,O,X,X,O,O,O,X,X,X,X,X
ILOJTZS,X,X,X,X,O,O,X,X,X,X,X
ILOJSTZ,O,X,O,O,O,O,X,O,X,X,X
ILOJSZT,O,X,O,O,O,O,X,X,X,X,X
ILOJZTS,X,X,X,O,O,O,X,X,X,X,X
ILOJZST,X,X,O,O,O,O,X,X,X,X,X
ILOSTJZ,O,X,O,X,O,O,X,O,X,O,X
ILOSTZJ,O,O,O,O,O,O,O,O,X,X,X
ILOSJTZ,O,X,O,X,O,O,X,O,X,O,X
ILOSJZT,O,X,O,X,O,O,X,X,X,X,X
ILOSZTJ,O,O,O,O,O,O,O,O,X,X,X
ILOSZJT,O,O,O,O,O,O,O,X,X,X,X
ILOZTJS,X,X,X,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,O,O,O,O,X,X,X,X,X
ILOZJTS,X,X,X,O,O,X,X,X,X,X,X
ILOZJST,X,O,O,O,O,X,X,X,X,X,X
ILOZSTJ,O,O,O,O,O,O,X,O,X,X,X
ILOZSJT,O,O,O,O,O,O,X,X,X,X,X
IJTLSZO,O,O,X,O,O,O,O,X,X,O,X
IJTLSOZ,X,X,X,O,O,O,X,O,X,O,X
IJTLZSO,X,X,X,O,O,O,X,X,X,X,X
IJTLZOS,X,X,X,O,X,O,X,X,X,X,X
IJTLOSZ,O,X,X,O,X,O,X,X,X,X,X
IJTLOZS,X,X,X,X,X,O,X,X,X,X,X
IJTSLZO,O,O,X,O,O,O,O,X,X,O,X
IJTSLOZ,X,X,X,O,O,O,X,O,X,O,X
IJTSZLO,O,O,X,O,O,O,O,X,X,O,X
IJTSZOL,X,O,X,O,O,O,O,X,X,X,X
IJTSOLZ,X,X,X,O,O,O,X,O,X,O,X
IJTSOZL,X,X,X,O,O,O,X,X,X,X,X
IJTZLSO,X,X,X,O,O,O,X,X,X,X,X
IJTZLOS,X,X,X,O,X,O,X,X,X,X,X
IJTZSLO,X,X,X,O,O,O,X,X,X,X,X
IJTZSOL,X,X,X,O,O,O,X,X,X,X,X
IJTZOLS,X,X,X,O,X,O,X,X,X,X,X
IJTZOSL,X,X,X,O,X,O,X,X,X,X,X
IJTOLSZ,O,X,X,O,X,O,X,X,X,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X,X,X
IJTOSLZ,O,X,X,O,X,O,X,X,X,X,X
IJTOSZL,O,X,X,O,X,O,X,X,X,X,X
IJTOZLS,X,X,X,X,X,O,X,X,X,X,X
IJTOZSL,X,X,X,X,X,O,X,X,X,X,X
IJLTSZO,O,O,X,O,O,O,O,X,X,O,X
IJLTSOZ,X,X,X,O,O,O,X,O,X,O,X
IJLTZSO,X,X,X,O,O,O,X,X,X,X,X
IJLTZOS,X,X,X,O,X,O,X,X,X,X,X
IJLTOSZ,O,X,X,O,X,O,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,X,X,X,X,X
IJLSTZO,O,O,X,O,O,O,O,X,X,O,X
IJLSTOZ,X,X,X,O,O,O,X,O,X,O,X
IJLSZTO,O,O,X,O,O,O,O,X,X,O,X
IJLSZOT,O,O,X,O,O,O,O,X,X,X,X
IJLSOTZ,O,X,O,O,O,O,X,O,X,O,X
IJLSOZT,O,X,O,O,O,O,X,X,X,X,X
IJLZTSO,X,X,X,O,O,O,X,X,X,X,X
IJLZTOS,X,X,X,O,X,O,X,X,X,X,X
IJLZSTO,X,O,X,O,O,O,X,X,X,X,X
IJLZSOT,X,O,X,O,O,O,X,X,X,X,X
IJLZOTS,X,X,X,O,O,O,X,X,X,X,X
IJLZOST,X,O,O,O,O,O,X,X,X,X,X
IJLOTSZ,O,X,X,O,O,O,X,X,X,X,X
IJLOTZS,X,X,X,X,O,O,X,X,X,X,X
IJLOSTZ,O,X,O,O,O,O,X,O,X,X,X
IJLOSZT,O,X,O,O,O,O,X,X,X,X,X
IJLOZTS,X,X,X,O,O,O,X,X,X,X,X
IJLOZST,X,X,O,O,O,O,X,X,X,X,X
IJSTLZO,O,O,X,O,O,O,O,X,X,O,X
IJSTLOZ,X,X,X,O,O,O,X,O,X,O,X
IJSTZLO,O,O,X,O,O,O,O,X,X,O,X
IJSTZOL,X,O,X,O,O,O,O,X,X,X,X
IJSTOLZ,X,X,X,O,O,O,X,O,X,O,X
IJSTOZL,X,X,X,O,O,O,X,X,X,X,X
IJSLTZO,O,O,X,O,O,O,O,X,X,O,X
IJSLTOZ,X,X,X,O,O,O,X,O,X,O,X
IJSLZTO,O,O,X,O,O,O,O,X,X,O,X
IJSLZOT,O,O,X,O,O,O,O,X,X,X,X
IJSLOTZ,O,X,O,O,O,O,X,O,X,O,X
IJSLOZT,O,X,O,O,O,O,X,X,X,X,X
IJSZTLO,O,O,X,O,O,O,O,X,X,O,X
IJSZTOL,X,O,X,O,O,O,O,X,X,X,X
IJSZLTO,O,O,X,O,O,O,O,X,X,O,X
IJSZLOT,O,O,X,O,O,O,O,X,X,X,X
IJSZOTL,O,O,X,O,O,O,O,X,X,X,X
IJSZOLT,O,O,X,O,O,O,O,X,X,X,X
IJSOTLZ,O,X,O,O,O,O,X,O,X,O,X
IJSOTZL,O,X,O,O,O,O,X,X,X,X,X
IJSOLTZ,O,X,O,O,O,O,X,O,X,O,X
IJSOLZT,O,X,O,O,O,O,X,X,X,X,X
IJSOZTL,O,X,O,O,O,O,X,X,X,X,X
IJSOZLT,O,X,O,O,O,O,X,X,X,X,X
IJZTLSO,X,X,X,O,O,O,X,X,X,X,X
IJZTLOS,X,X,X,O,X,O,X,X,X,X,X
IJZTSLO,X,X,X,O,O,O,X,X,X,X,X
IJZTSOL,X,X,X,O,O,O,X,X,X,X,X
IJZTOLS,X,X,X,O,X,O,X,X,X,X,X
IJZTOSL,X,X,X,O,X,O,X,X,X,X,X
IJZLTSO,X,X,X,O,O,O,X,X,X,X,X
IJZLTOS,X,X,X,O,X,O,X,X,X,X,X
IJZLSTO,X,O,X,O,O,O,X,X,X,X,X
IJZLSOT,X,O,X,O,O,O,X,X,X,X,X
IJZLOTS,X,X,X,O,O,O,X,X,X,X,X
IJZLOST,X,O,O,O,O,O,X,X,X,X,X
IJZSTLO,X,O,X,O,O,O,X,X,X,X,X
IJZSTOL,X,O,X,O,O,O,X,X,X,X,X
IJZSLTO,X,O,X,O,O,O,X,X,X,X,X
IJZSLOT,X,O,X,O,O,O,X,X,X,X,X
IJZSOTL,X,O,X,O,O,O,X,X,X,X,X
IJZSOLT,X,O,X,O,O,O,X,X,X,X,X
IJZOTLS,X,X,X,O,O,O,X,X,X,X,X
IJZOTSL,X,X,X,O,O,O,X,X,X,X,X
IJZOLTS,X,X,X,O,O,O,X,X,X,X,X
IJZOLST,X,O,O,O,O,O,X,X,X,X,X
IJZOSTL,X,O,O,O,O,O,X,X,X,X,X
IJZOSLT,X,O,O,O,O,O,X,X,X,X,X
IJOTLSZ,O,X,X,O,O,O,X,X,X,X,X
IJOTLZS,X,X,X,X,O,O,X,X,X,X,X
IJOTSLZ,O,X,X,O,O,O,X,X,X,X,X
IJOTSZL,O,X,X,O,O,O,X,X,X,X,X
IJOTZLS,X,X,X,X,O,O,X,X,X,X,X
IJOTZSL,X,X,X,X,O,O,X,X,X,X,X
IJOLTSZ,O,X,X,O,O,O,X,X,X,X,X
IJOLTZS,X,X,X,X,O,O,X,X,X,X,X
IJOLSTZ,O,X,O,O,O,O,X,O,X,X,X
IJOLSZT,O,X,O,O,O,O,X,X,X,X,X
IJOLZTS,X,X,X,O,O,O,X,X,X,X,X
IJOLZST,X,X,O,O,O,O,X,X,X,X,X
IJOSTLZ,O,X,O,O,O,O,X,O,X,X,X
IJOSTZL,O,X,O,O,O,O,X,X,X,X,X
IJOSLTZ,O,X,O,O,O,O,X,O,X,X,X
IJOSLZT,O,X,O,O,O,O,X,X,X,X,X
IJOSZTL,O,X,O,O,O,O,X,X,X,X,X
IJOSZLT,O,X,O,O,O,O,X,X,X,X,X
IJOZTLS,X,X,X,O,O,O,X,X,X,X,X
IJOZTSL,X,X,X,O,O,O,X,X,X,X,X
IJOZLTS,X,X,X,O,O,O,X,X,X,X,X
IJOZLST,X,X,O,O,O,O,X,X,X,X,X
IJOZSTL,X,X,O,O,O,O,X,X,X,X,X
IJOZSLT,X,X,O,O,O,O,X,X,X,X,X
ISTLJZO,O,O,X,O,O,O,O,X,X,O,X
ISTLJOZ,X,X,X,X,O,O,X,O,X,O,X
ISTLZJO,O,O,X,O,O,O,O,X,X,O,X
ISTLZOJ,O,O,X,O,O,O,O,O,X,X,X
ISTLOJZ,O,X,O,X,O,O,X,O,X,O,X
ISTLOZJ,O,O,O,O,O,O,O,O,X,X,X
ISTJLZO,O,O,X,O,O,O,O,X,X,O,X
ISTJLOZ,X,X,X,X,O,O,X,O,X,O,X
ISTJZLO,O,O,X,O,O,O,O,X,O,O,X
ISTJZOL,X,O,X,O,O,O,O,X,X,X,X
ISTJOLZ,X,X,X,X,O,O,X,O,X,O,X
ISTJOZL,X,X,X,X,O,O,X,X,X,X,X
ISTZLJO,O,O,X,O,O,O,O,X,O,O,X
ISTZLOJ,O,O,X,O,O,O,O,O,O,X,O
ISTZJLO,O,O,X,O,O,O,O,X,O,O,X
ISTZJOL,X,O,X,O,O,O,O,X,X,X,O
ISTZOLJ,O,O,X,O,O,O,O,O,X,X,O
ISTZOJL,O,O,X,O,O,O,O,X,X,X,O
ISTOLJZ,O,X,O,X,O,O,X,O,X,O,X
ISTOLZJ,O,O,O,O,O,O,O,O,X,X,X
ISTOJLZ,O,X,O,X,O,O,X,O,X,O,X
ISTOJZL,O,X,O,X,O,O,X,X,X,X,X
ISTOZLJ,O,O,O,O,O,O,O,O,X,X,O
ISTOZJL,O,O,O,O,O,O,O,X,X,X,O
ISLTJZO,O,O,X,O,O,O,O,X,X,O,X
ISLTJOZ,X,X,X,X,O,O,X,O,X,O,X
ISLTZJO,O,O,X,O,O,O,O,X,X,O,X
ISLTZOJ,O,O,X,O,O,O,O,O,X,X,X
ISLTOJZ,O,X,O,X,O,O,X,O,X,O,X
ISLTOZJ,O,O,O,O,O,O,O,O,X,X,X
ISLJTZO,O,O,X,O,O,O,O,X,X,O,X
ISLJTOZ,X,X,X,O,O,O,X,O,X,O,X
ISLJZTO,O,O,X,O,O,O,O,X,O,O,X
ISLJZOT,O,O,X,O,O,O,O,X,X,X,X
ISLJOTZ,O,X,O,O,O,O,X,O,X,O,X
ISLJOZT,O,X,O,O,O,O,X,X,X,X,X
ISLZTJO,O,O,X,O,O,O,O,X,O,O,X
ISLZTOJ,O,O,X,O,O,O,O,O,O,X,X
ISLZJTO,O,O,X,O,O,O,O,X,O,O,X
ISLZJOT,O,O,X,O,O,O,O,X,X,X,X
ISLZOTJ,O,O,O,O,O,O,O,O,X,X,X
ISLZOJT,O,O,O,O,O,O,O,X,X,X,X
ISLOTJZ,O,X,O,X,O,O,X,O,X,O,X
ISLOTZJ,O,O,O,O,O,O,O,O,X,X,X
ISLOJTZ,O,X,O,X,O,O,X,O,X,O,X
ISLOJZT,O,X,O,X,O,O,X,X,X,X,X
ISLOZTJ,O,O,O,O,O,O,O,O,X,X,X
ISLOZJT,O,O,O,O,O,O,O,X,X,X,X
ISJTLZO,O,O,X,O,O,O,O,X,X,O,X
ISJTLOZ,X,X,X,O,O,O,X,O,X,O,X
ISJTZLO,O,O,X,O,O,O,O,X,O,O,X
ISJTZOL,X,O,X,O,O,O,O,X,X,X,X
ISJTOLZ,X,X,X,O,O,O,X,O,X,O,X
ISJTOZL,X,X,X,O,O,O,X,X,X,X,X
ISJLTZO,O,O,X,O,O,O,O,X,X,O,X
ISJLTOZ,X,X,X,O,O,O,X,O,X,O,X
ISJLZTO,O,O,X,O,O,O,O,X,O,O,X
ISJLZOT,O,O,X,O,O,O,O,X,X,X,X
ISJLOTZ,O,X,O,O,O,O,X,O,X,O,X
ISJLOZT,O,X,O,O,O,O,X,X,X,X,X
ISJZTLO,O,O,X,O,O,O,O,X,O,O,X
ISJZTOL,X,O,X,O,O,O,O,X,X,X,X
ISJZLTO,O,O,X,O,O,O,O,X,O,O,X
ISJZLOT,O,O,X,O,O,O,O,X,X,X,X
ISJZOTL,O,O,X,O,O,O,O,X,X,X,X
ISJZOLT,O,O,X,O,O,O,O,X,X,X,X
ISJOTLZ,O,X,O,O,O,O,X,O,X,O,X
ISJOTZL,O,X,O,O,O,O,X,X,X,X,X
ISJOLTZ,O,X,O,O,O,O,X,O,X,O,X
ISJOLZT,O,X,O,O,O,O,X,X,X,X,X
ISJOZTL,O,X,O,O,O,O,X,X,X,X,X
ISJOZLT,O,X,O,O,O,O,X,X,X,X,X
ISZTLJO,O,O,X,O,O,O,O,X,O,O,X
ISZTLOJ,O,O,X,O,O,O,O,O,O,X,O
ISZTJLO,O,O,X,O,O,O,O,X,O,O,X
ISZTJOL,X,O,X,O,O,O,O,X,X,X,O
ISZTOLJ,O,O,X,O,O,O,O,O,X,X,O
ISZTOJL,O,O,X,O,O,O,O,X,X,X,O
ISZLTJO,O,O,X,O,O,O,O,X,O,O,X
ISZLTOJ,O,O,X,O,O,O,O,O,O,X,X
ISZLJTO,O,O,X,O,O,O,O,X,O,O,X
ISZLJOT,O,O,X,O,O,O,O,X,X,X,X
ISZLOTJ,O,O,O,O,O,O,O,O,X,X,X
ISZLOJT,O,O,O,O,O,O,O,X,X,X,X
ISZJTLO,O,O,X,O,O,O,O,X,O,O,X
ISZJTOL,X,O,X,O,O,O,O,X,X,X,X
ISZJLTO,O,O,X,O,O,O,O,X,O,O,X
ISZJLOT,O,O,X,O,O,O,O,X,X,X,X
ISZJOTL,O,O,X,O,O,O,O,X,X,X,X
ISZJOLT,O,O,X,O,O,O,O,X,X,X,X
ISZOTLJ,O,O,O,O,O,O,O,O,X,X,O
ISZOTJL,O,O,O,O,O,O,O,X,X,X,O
ISZOLTJ,O,O,O,O,O,O,O,O,X,X,X
ISZOLJT,O,O,O,O,O,O,O,X,X,X,X
ISZOJTL,O,O,O,O,O,O,O,X,X,X,X
ISZOJLT,O,O,O,O,O,O,O,X,X,X,X
ISOTLJZ,O,X,O,X,O,O,X,O,X,O,X
ISOTLZJ,O,O,O,O,O,O,O,O,X,X,X
ISOTJLZ,O,X,O,X,O,O,X,O,X,O,X
ISOTJZL,O,X,O,X,O,O,X,X,X,X,X
ISOTZLJ,O,O,O,O,O,O,O,O,X,X,O
ISOTZJL,O,O,O,O,O,O,O,X,X,X,O
ISOLTJZ,O,X,O,X,O,O,X,O,X,O,X
ISOLTZJ,O,O,O,O,O,O,O,O,X,X,X
ISOLJTZ,O,X,O,X,O,O,X,O,X,O,X
ISOLJZT,O,X,O,X,O,O,X,X,X,X,X
ISOLZTJ,O,O,O,O,O,O,O,O,X,X,X
ISOLZJT,O,O,O,O,O,O,O,X,X,X,X
ISOJTLZ,O,X,O,X,O,O,X,O,X,O,X
ISOJTZL,O,X,O,X,O,O,X,X,X,X,X
ISOJLTZ,O,X,O,X,O,O,X,O,X,O,X
ISOJLZT,O,X,O,X,O,O,X,X,X,X,X
ISOJZTL,O,X,O,X,O,O,X,X,X,X,X
ISOJZLT,O,X,O,X,O,O,X,X,X,X,X
ISOZTLJ,O,O,O,O,O,O,O,O,X,X,O
ISOZTJL,O,O,O,O,O,O,O,X,X,X,O
ISOZLTJ,O,O,O,O,O,O,O,O,X,X,X
ISOZLJT,O,O,O,O,O,O,O,X,X,X,X
ISOZJTL,O,O,O,O,O,O,O,X,X,X,X
ISOZJLT,O,O,O,O,O,O,O,X,X,X,X
IZTLJSO,X,X,X,O,O,X,X,X,O,X,X
IZTLJOS,X,X,X,O,X,X,X,X,X,X,X
IZTLSJO,O,O,X,O,O,X,O,X,O,O,X
IZTLSOJ,O,O,X,O,O,X,O,O,O,X,X
IZTLOJS,X,X,X,O,O,X,X,X,X,X,X
IZTLOSJ,O,O,O,O,O,X,X,X,O,X,X
IZTJLSO,X,X,X,O,O,X,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X,X,X,X
IZTJSLO,X,X,X,O,O,X,X,X,X,X,X
IZTJSOL,X,X,X,O,O,X,X,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,X,X,X,X
IZTJOSL,X,X,X,O,X,X,X,X,X,X,X
IZTSLJO,O,O,X,O,O,X,O,X,O,O,X
IZTSLOJ,O,O,X,O,O,X,O,O,O,X,X
IZTSJLO,O,O,X,O,O,X,O,X,O,O,X
IZTSJOL,X,O,X,O,X,X,O,X,X,X,X
IZTSOLJ,O,O,X,O,O,X,O,O,X,X,X
IZTSOJL,X,O,X,O,X,X,O,X,X,X,X
IZTOLJS,X,X,X,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,O,O,O,X,X,X,X,X,X
IZTOJLS,X,X,X,O,O,X,X,X,X,X,X
IZTOJSL,X,X,X,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,O,O,O,X,X,X,X,X,X
IZTOSJL,O,O,O,O,O,X,X,X,X,X,X
IZLTJSO,X,X,X,O,O,X,X,X,O,X,X
IZLTJOS,X,X,X,O,X,X,X,X,X,X,X
IZLTSJO,O,O,X,O,O,X,O,X,O,O,X
IZLTSOJ,O,O,X,O,O,X,O,O,O,X,X
IZLTOJS,X,X,X,O,O,X,X,X,X,X,X
IZLTOSJ,O,O,O,O,O,X,X,X,O,X,X
IZLJTSO,X,X,X,O,O,O,X,X,X,X,X
IZLJTOS,X,X,X,O,X,O,X,X,X,X,X
IZLJSTO,X,O,X,O,O,O,X,X,X,X,X
IZLJSOT,X,O,X,O,O,O,X,X,X,X,X
