sequence,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFaoB5oB/pBFmBTq?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFaoB5oB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeUBJvhFaoB5oB/pBFlBzq?BmpB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFlgBaoB5oB/qBOr?B0pB,v115@ChB8IeB8GeC8BeA8DeD8Kel/IvhFUhBaoB5oB/pBOq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFlgBaoB5oB/pBOr?BTqB,v115@ChB8IeB8GeC8BeA8DeD8KeOEJvhF8kBaoB5oBFmBXq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8KeaIJvhF5oBTkB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeKEJvhFRgBGjBFmB/tB0q?BzpB,v115@ChB8IeB8GeC8BeA8DeD8KeyEJvhFGjBFmB/tBxpB0p?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Kex/IvhF/pBUlBFmBToByv?BGtB
TLSZIOJ,O,O,X,O,O,O,O,O,O,X,O
TLSZJIO,O,O,X,O,O,O,O,X,O,X,X
TLSZJOI,X,O,X,O,O,O,O,X,O,X,X
TLSZOIJ,O,O,X,O,O,O,O,O,O,X,O
TLSZOJI,O,O,X,O,O,O,O,X,O,X,O
TLSOIJZ,O,X,O,X,O,O,X,O,X,X,X
TLSOIZJ,O,O,O,O,O,O,O,O,X,X,X
TLSOJIZ,O,X,O,X,O,O,X,O,X,X,X
TLSOJZI,O,X,O,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,O,O,X,X,O
TLSOZJI,O,O,O,O,O,O,O,X,X,X,O
TLZIJSO,X,X,X,O,O,X,X,X,O,X,X
TLZIJOS,X,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,O,X,O,X,O,X,X
TLZISOJ,O,O,X,O,O,X,O,O,O,X,X
TLZIOJS,X,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,O,O,O,O,O,X,X,X,O,X,X
TLZJISO,X,X,X,O,O,X,X,X,O,X,X
TLZJIOS,X,X,X,O,X,X,X,X,X,X,X
TLZJSIO,X,X,X,O,O,X,X,X,O,X,X
TLZJSOI,X,X,X,O,O,X,X,X,O,X,X
TLZJOIS,X,X,X,O,X,X,X,X,X,X,X
TLZJOSI,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,X,O,O,X,O,X,O,X,X
TLZSIOJ,O,O,X,O,O,X,O,O,O,X,X
TLZSJIO,O,O,X,O,O,X,O,X,O,X,X
TLZSJOI,X,O,X,O,X,X,O,X,O,X,X
TLZSOIJ,O,O,X,O,O,X,O,O,O,X,X
TLZSOJI,X,O,X,O,X,X,O,X,O,X,X
TLZOIJS,X,X,X,O,O,X,X,X,X,X,X
TLZOISJ,O,O,O,O,O,X,X,X,O,X,X
TLZOJIS,X,X,X,O,O,X,X,X,X,X,X
TLZOJSI,X,X,X,O,O,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,O,X,X
TLZOSJI,O,O,O,O,O,X,X,X,O,X,X
TLOIJSZ,O,X,X,X,O,O,X,X,X,X,X
TLOIJZS,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,O,X,O,X,O,O,X,O,X,X,X
TLOISZJ,O,O,O,X,O,O,O,O,X,X,X
TLOIZJS,X,X,X,X,O,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,O,O,X,X,X,X,X
TLOJISZ,O,X,X,X,O,O,X,X,X,X,X
TLOJIZS,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,O,O,X,X,X,X,X
TLOJSZI,O,X,X,X,O,O,X,X,X,X,X
TLOJZIS,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,X,X,O,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,O,O,X,O,X,X,X
TLOSIZJ,O,O,O,X,O,O,O,O,X,X,X
TLOSJIZ,O,X,O,X,O,O,X,O,X,X,X
TLOSJZI,O,X,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,O,O,O,X,X,O
TLOSZJI,O,O,O,X,O,O,O,X,X,X,O
TLOZIJS,X,X,X,X,O,X,X,X,X,X,X
TLOZISJ,O,X,O,X,O,O,X,X,X,X,X
TLOZJIS,X,X,X,X,O,X,X,X,X,X,X
TLOZJSI,X,X,X,X,O,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,O,X,X,X,X,X
TLOZSJI,O,X,O,X,O,O,X,X,X,X,X
TJILSZO,O,O,X,O,O,O,O,X,X,O,X
TJILSOZ,X,X,X,O,O,O,X,O,X,O,X
TJILZSO,X,X,X,O,O,O,X,X,X,X,X
TJILZOS,X,X,X,O,X,O,X,X,X,X,X
TJILOSZ,O,X,X,O,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,X,O,X,X,X,X,X
TJISLZO,O,O,X,O,O,O,O,X,X,O,X
TJISLOZ,X,X,X,O,O,O,X,O,X,O,X
TJISZLO,O,O,X,O,O,O,O,X,X,O,X
TJISZOL,X,O,X,O,O,O,O,X,X,X,X
TJISOLZ,X,X,X,O,O,O,X,O,X,O,X
TJISOZL,X,X,X,O,O,O,X,X,X,X,X
TJIZLSO,X,X,X,O,O,O,X,X,X,X,X
TJIZLOS,X,X,X,O,X,O,X,X,X,X,X
TJIZSLO,X,X,X,O,O,O,X,X,X,X,X
TJIZSOL,X,X,X,O,O,O,X,X,X,X,X
TJIZOLS,X,X,X,O,X,O,X,X,X,X,X
TJIZOSL,X,X,X,O,X,O,X,X,X,X,X
TJIOLSZ,O,X,X,O,X,O,X,X,X,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,O,X,X,O,X,O,X,X,X,X,X
TJIOSZL,O,X,X,O,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,X,O,X,X,X,X,X
TJLISZO,O,O,X,O,O,O,O,X,X,X,X
TJLISOZ,X,X,X,O,O,O,X,O,X,X,X
TJLIZSO,X,X,X,O,O,O,X,X,X,X,X
TJLIZOS,X,X,X,O,X,O,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,O,X,X,X,X,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,X
TJLSIZO,O,O,X,O,O,O,O,X,X,X,X
TJLSIOZ,X,X,X,O,O,O,X,O,X,X,X
