sequence,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jei/IvhFUhBGiBZoBF?lB/sBzqB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFigBGiBZoBF?mB/sB0qB,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jei/IvhFGiBZoBUlBF?mB/sBzqB,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jex/IvhFXhBVnBaoBm?kBzqB0sB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhF0gBZoB2qBF?nB6sBXrB,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jei/IvhFRiBFlBXmBm?nB0sBzqB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFlgBRiB/qBO?rBysB0sB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFxgB/qBarBF?nB8sBmsB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFilBRnB0lBl?sBXrBmsB
TLOZSIJ,O,O,X,O,X,X,X,X,X
TLOZSJI,O,O,X,O,X,O,X,X,X
TJILSZO,O,O,X,O,X,X,X,X,X
TJILSOZ,O,O,X,O,X,X,X,X,X
TJILZSO,O,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,O,O,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,X,X
TJILOZS,X,X,X,O,O,X,X,X,O
TJISLZO,O,O,O,O,X,X,X,X,X
TJISLOZ,O,O,X,O,X,X,O,X,X
TJISZLO,O,O,O,O,X,X,X,X,X
TJISZOL,O,O,O,O,O,X,O,X,X
TJISOLZ,O,O,X,O,X,X,O,X,X
TJISOZL,O,O,O,O,O,X,O,X,X
TJIZLSO,O,X,O,O,X,X,X,X,X
TJIZLOS,X,X,X,O,O,X,X,X,X
TJIZSLO,O,X,O,O,X,X,X,X,X
TJIZSOL,O,X,O,O,O,X,X,X,X
TJIZOLS,X,X,X,O,O,X,X,X,X
TJIZOSL,X,X,X,O,O,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,X,X,X
TJIOLZS,X,X,X,O,O,X,X,X,O
TJIOSLZ,X,O,X,O,X,X,O,X,X
TJIOSZL,X,O,X,O,O,X,O,X,X
TJIOZLS,X,X,X,O,O,X,X,X,X
TJIOZSL,X,X,X,O,O,X,X,X,X
TJLISZO,O,O,X,O,X,X,O,X,X
TJLISOZ,O,O,X,O,X,X,O,X,X
TJLIZSO,O,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,O,O,X,X,X,X
TJLIOSZ,X,O,X,O,X,X,O,X,X
TJLIOZS,X,X,X,O,O,X,X,X,O
TJLSIZO,O,O,X,O,X,X,O,X,X
TJLSIOZ,O,O,X,O,X,X,O,X,X
TJLSZIO,O,O,X,O,X,O,O,X,X
TJLSZOI,O,O,X,O,X,O,O,X,X
TJLSOIZ,O,O,X,O,X,X,O,X,X
TJLSOZI,O,O,X,O,X,X,O,X,X
TJLZISO,O,X,X,O,X,O,X,X,X
TJLZIOS,X,X,X,O,O,O,X,X,X
TJLZSIO,O,X,X,O,X,O,X,X,X
TJLZSOI,O,X,X,O,X,O,X,X,X
TJLZOIS,X,X,X,O,O,O,X,X,X
TJLZOSI,X,X,X,O,X,O,X,X,X
TJLOISZ,X,O,X,O,X,X,O,X,X
TJLOIZS,X,X,X,O,O,X,X,X,O
TJLOSIZ,X,O,X,O,X,X,O,X,X
TJLOSZI,X,O,X,O,X,X,O,X,X
TJLOZIS,X,X,X,O,O,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X,X
TJSILZO,O,O,O,O,X,X,O,X,X
TJSILOZ,O,O,X,O,X,X,O,X,X
TJSIZLO,O,O,O,O,X,X,X,X,X
TJSIZOL,O,O,O,O,O,X,O,X,X
TJSIOLZ,O,O,X,O,X,X,O,X,X
TJSIOZL,O,O,O,O,O,X,O,X,X
TJSLIZO,O,O,O,O,X,X,O,X,X
TJSLIOZ,O,O,X,O,X,X,O,X,X
TJSLZIO,O,O,O,O,X,O,O,X,X
TJSLZOI,O,O,O,O,X,O,O,X,X
TJSLOIZ,O,O,X,O,X,X,O,X,X
TJSLOZI,O,O,X,O,X,X,O,X,X
TJSZILO,O,O,O,O,X,O,X,X,X
TJSZIOL,O,O,O,O,O,O,O,X,X
TJSZLIO,O,O,O,O,X,O,O,X,X
TJSZLOI,O,O,O,O,X,O,O,X,X
TJSZOIL,O,O,O,O,O,O,O,X,X
TJSZOLI,O,O,O,O,X,O,O,X,X
TJSOILZ,O,O,X,O,X,X,O,X,X
TJSOIZL,O,O,O,O,O,X,O,X,X
TJSOLIZ,O,O,X,O,X,X,O,X,X
TJSOLZI,O,O,X,O,X,X,O,X,X
TJSOZIL,O,O,O,O,O,X,O,X,X
TJSOZLI,O,O,O,O,X,X,O,X,X
TJZILSO,O,X,O,O,X,O,X,X,X
TJZILOS,X,X,X,O,O,O,X,X,X
TJZISLO,O,X,O,O,X,O,X,X,X
TJZISOL,O,X,O,O,O,O,X,X,X
TJZIOLS,X,X,X,O,O,O,X,X,X
TJZIOSL,X,X,X,O,O,O,X,X,X
TJZLISO,O,X,O,O,X,O,X,X,X
TJZLIOS,X,X,X,O,O,O,X,X,X
TJZLSIO,O,X,O,O,X,O,X,X,X
TJZLSOI,O,X,O,O,X,O,X,X,X
TJZLOIS,X,X,X,O,O,O,X,X,X
TJZLOSI,X,X,X,O,X,O,X,X,X
TJZSILO,O,X,O,O,X,O,X,X,X
TJZSIOL,O,X,O,O,O,O,X,X,X
TJZSLIO,O,X,O,O,X,O,X,X,X
TJZSLOI,O,X,O,O,X,O,X,X,X
TJZSOIL,O,X,O,O,O,O,X,X,X
TJZSOLI,O,X,O,O,X,O,X,X,X
TJZOILS,X,X,X,O,O,O,X,X,X
TJZOISL,X,X,X,O,O,O,X,X,X
TJZOLIS,X,X,X,O,O,O,X,X,X
TJZOLSI,X,X,X,O,X,O,X,X,X
TJZOSIL,X,X,X,O,O,O,X,X,X
TJZOSLI,X,X,X,O,X,O,X,X,X
TJOILSZ,X,O,X,O,X,X,X,X,X
TJOILZS,X,X,X,O,O,X,X,X,O
TJOISLZ,X,O,X,O,X,X,O,X,X
TJOISZL,X,O,X,O,O,X,O,X,X
TJOIZLS,X,X,X,O,O,X,X,X,X
TJOIZSL,X,X,X,O,O,X,X,X,X
TJOLISZ,X,O,X,O,X,X,O,X,X
TJOLIZS,X,X,X,O,O,X,X,X,O
TJOLSIZ,X,O,X,O,X,X,O,X,X
TJOLSZI,X,O,X,O,X,X,O,X,X
TJOLZIS,X,X,X,O,O,X,X,X,X
TJOLZSI,X,X,X,O,X,X,X,X,X
TJOSILZ,X,O,X,O,X,X,O,X,X
TJOSIZL,X,O,X,O,O,X,O,X,X
TJOSLIZ,X,O,X,O,X,X,O,X,X
TJOSLZI,X,O,X,O,X,X,O,X,X
TJOSZIL,X,O,X,O,O,X,O,X,X
TJOSZLI,X,O,X,O,X,X,O,X,X
TJOZILS,X,X,X,O,O,X,X,X,X
TJOZISL,X,X,X,O,O,X,X,X,X
TJOZLIS,X,X,X,O,O,X,X,X,X
TJOZLSI,X,X,X,O,X,X,X,X,X
TJOZSIL,X,X,X,O,O,X,X,X,X
TJOZSLI,X,X,X,O,X,X,X,X,X
TSILJZO,O,O,O,O,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,O,X,X
TSILZJO,O,O,O,O,X,O,X,X,X
TSILZOJ,O,O,O,O,X,X,O,X,X
TSILOJZ,O,O,X,O,X,X,O,X,X
TSILOZJ,O,O,X,X,X,X,O,X,O
TSIJLZO,O,O,O,O,X,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,X,X,X
TSIJZLO,O,O,O,O,X,X,X,X,X
TSIJZOL,O,O,O,O,O,X,X,X,X
TSIJOLZ,O,O,X,O,X,X,X,X,X
TSIJOZL,O,O,O,O,O,X,X,X,X
TSIZLJO,O,O,O,O,X,O,X,X,X
TSIZLOJ,O,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,O,X,O,X,X,X
TSIZJOL,O,O,O,O,X,O,X,X,X
TSIZOLJ,O,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,O,X,X,O,X,X
TSIOLZJ,O,O,X,X,X,X,O,X,O
TSIOJLZ,O,O,X,X,X,X,X,X,X
TSIOJZL,O,O,O,X,O,X,X,X,X
TSIOZLJ,O,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X,X
TSLIJZO,O,O,O,O,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,O,X,X
TSLIZJO,O,O,O,O,X,O,X,O,X
TSLIZOJ,O,O,O,O,X,X,O,O,X
TSLIOJZ,O,O,X,O,X,X,O,X,X
TSLIOZJ,O,O,X,X,X,X,O,O,O
TSLJIZO,O,O,O,O,X,X,O,X,X
TSLJIOZ,O,O,X,O,X,X,O,X,X
TSLJZIO,O,O,O,O,X,O,O,X,X
TSLJZOI,O,O,O,O,X,O,O,X,X
TSLJOIZ,O,O,X,O,X,X,O,X,X
TSLJOZI,O,O,X,O,X,X,O,X,X
TSLZIJO,O,O,O,O,X,O,X,O,X
TSLZIOJ,O,O,O,O,X,X,O,O,X
TSLZJIO,O,O,O,O,X,O,X,O,X
TSLZJOI,O,O,O,O,X,O,X,O,X
TSLZOIJ,O,O,O,O,X,X,O,O,X
TSLZOJI,O,O,O,O,X,O,X,O,X
TSLOIJZ,O,O,X,O,X,X,O,X,X
TSLOIZJ,O,O,X,O,X,X,O,O,O
TSLOJIZ,O,O,X,O,X,X,O,X,X
TSLOJZI,O,O,X,O,X,X,O,X,X
TSLOZIJ,O,O,X,O,X,X,O,O,X
TSLOZJI,O,O,X,O,X,O,X,O,X
TSJILZO,O,O,O,O,X,X,O,X,X
TSJILOZ,O,O,X,O,X,X,O,X,X
TSJIZLO,O,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,O,O,X,O,X,X
TSJIOLZ,O,O,X,O,X,X,O,X,X
TSJIOZL,O,O,O,O,O,X,O,X,X
TSJLIZO,O,O,O,O,X,X,O,X,X
TSJLIOZ,O,O,X,O,X,X,O,X,X
TSJLZIO,O,O,O,O,X,O,O,X,X
TSJLZOI,O,O,O,O,X,O,O,X,X
TSJLOIZ,O,O,X,O,X,X,O,X,X
TSJLOZI,O,O,X,O,X,X,O,X,X
TSJZILO,O,O,O,O,X,O,X,X,X
TSJZIOL,O,O,O,O,O,O,O,X,X
TSJZLIO,O,O,O,O,X,O,O,X,X
TSJZLOI,O,O,O,O,X,O,O,X,X
TSJZOIL,O,O,O,O,O,O,O,X,X
TSJZOLI,O,O,O,O,X,O,O,X,X
TSJOILZ,O,O,X,O,X,X,O,X,X
TSJOIZL,O,O,O,O,O,X,O,X,X
TSJOLIZ,O,O,X,O,X,X,O,X,X
TSJOLZI,O,O,X,O,X,X,O,X,X
TSJOZIL,O,O,O,O,O,X,O,X,X
TSJOZLI,O,O,O,O,X,X,O,X,X
TSZILJO,O,O,O,O,X,O,X,O,X
TSZILOJ,O,O,O,O,X,X,X,O,X
TSZIJLO,O,O,O,O,X,O,X,X,X
TSZIJOL,O,O,O,O,X,O,X,X,X
TSZIOLJ,O,O,O,O,X,X,X,O,X
TSZIOJL,O,O,O,X,X,X,X,X,X
TSZLIJO,O,O,O,O,X,O,X,O,X
TSZLIOJ,O,O,O,O,X,X,O,O,X
TSZLJIO,O,O,O,O,X,O,X,O,X
TSZLJOI,O,O,O,O,X,O,X,O,X
TSZLOIJ,O,O,O,O,X,X,O,O,X
TSZLOJI,O,O,O,O,X,O,X,O,X
TSZJILO,O,O,O,O,X,O,X,X,X
TSZJIOL,O,O,O,O,X,O,X,X,X
TSZJLIO,O,O,O,O,X,O,X,O,X
TSZJLOI,O,O,O,O,X,O,X,O,X
TSZJOIL,O,O,O,O,X,O,X,X,X
TSZJOLI,O,O,O,O,X,O,X,O,X
TSZOILJ,O,O,O,O,X,X,X,O,X
TSZOIJL,O,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,O,X,X,O,O,X
TSZOLJI,O,O,O,O,X,O,X,O,X
TSZOJIL,O,O,O,O,X,O,X,X,X
TSZOJLI,O,O,O,O,X,O,X,O,X
TSOILJZ,O,O,X,O,X,X,O,X,X
TSOILZJ,O,O,X,O,X,X,O,X,O
TSOIJLZ,O,O,X,O,X,X,X,X,X
TSOIJZL,O,O,O,O,O,X,X,X,X
TSOIZLJ,O,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,O,X,X,X,X,X
TSOLIJZ,O,O,X,O,X,X,O,X,X
TSOLIZJ,O,O,X,O,X,X,O,O,O
TSOLJIZ,O,O,X,O,X,X,O,X,X
TSOLJZI,O,O,X,O,X,X,O,X,X
TSOLZIJ,O,O,X,O,X,X,O,O,X
TSOLZJI,O,O,X,O,X,O,X,O,X
TSOJILZ,O,O,X,O,X,X,O,X,X
TSOJIZL,O,O,O,O,O,X,O,X,X
TSOJLIZ,O,O,X,O,X,X,O,X,X
TSOJLZI,O,O,X,O,X,X,O,X,X
TSOJZIL,O,O,O,O,O,X,O,X,X
TSOJZLI,O,O,O,O,X,X,O,X,X
TSOZILJ,O,O,O,O,X,X,X,O,X
TSOZIJL,O,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,O,X,X,O,O,X
TSOZLJI,O,O,O,O,X,O,X,O,X
TSOZJIL,O,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,O,X,O,X,O,X
TZILJSO,O,O,O,O,X,O,X,X,X
TZILJOS,X,O,X,O,X,O,X,X,X
TZILSJO,O,O,O,O,X,O,X,X,X
TZILSOJ,O,O,O,O,X,X,X,X,X
TZILOJS,X,O,X,O,X,X,X,X,O
TZILOSJ,O,O,O,O,X,X,X,X,O
TZIJLSO,O,O,O,O,X,O,X,X,X
TZIJLOS,X,O,X,O,O,O,X,X,X
TZIJSLO,O,O,O,O,X,O,X,X,X
TZIJSOL,O,O,O,O,O,O,X,X,X
TZIJOLS,X,O,X,O,O,O,X,X,X
TZIJOSL,X,O,X,O,O,O,X,X,X
TZISLJO,O,O,O,O,X,O,X,O,X
TZISLOJ,O,O,O,O,X,X,X,O,X
TZISJLO,O,O,O,O,X,O,X,X,X
TZISJOL,O,O,O,O,X,O,X,X,X
TZISOLJ,O,O,O,O,X,X,X,O,X
TZISOJL,O,O,O,X,X,X,X,X,X
