sequence,v115@HhA8IeD8AeA8DeF8Nel/IvhF3gBcmBmiB5oBTnByxB,v115@HhA8IeD8AeA8DeF8Nel/IvhF3gBcmBZnBCjBToBWyB,v115@HhA8IeD8AeA8DeF8Nel/IvhF3gBziB5oBimBmsBUsB,v115@HhA8IeD8AeA8DeF8Nel/IvhF3gBcmBZnBSoBusBTtB
ITJZSOL,X,O,X,X
ITJZOLS,X,O,X,X
ITJZOSL,X,O,X,X
ITJOLSZ,X,X,O,X
ITJOLZS,X,O,X,X
ITJOSLZ,X,X,O,X
ITJOSZL,X,X,X,X
ITJOZLS,X,O,X,X
ITJOZSL,X,O,X,X
ITSLJZO,X,X,X,X
ITSLJOZ,X,X,O,X
ITSLZJO,X,X,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,X,X,X
ITSJLOZ,X,X,O,X
ITSJZLO,X,X,X,X
ITSJZOL,X,X,X,X
ITSJOLZ,X,X,O,X
ITSJOZL,X,X,X,X
ITSZLJO,X,X,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,X,X,X,X
ITSZJOL,X,X,X,X
ITSZOLJ,X,X,X,X
ITSZOJL,X,X,X,X
ITSOLJZ,X,X,X,X
ITSOLZJ,X,X,X,X
ITSOJLZ,X,X,X,X
ITSOJZL,X,X,X,X
ITSOZLJ,X,X,X,X
ITSOZJL,X,X,X,X
ITZLJSO,O,X,X,X
ITZLJOS,X,X,X,X
ITZLSJO,O,X,X,X
ITZLSOJ,O,X,X,X
ITZLOJS,O,X,X,X
ITZLOSJ,O,X,X,X
ITZJLSO,X,O,X,X
ITZJLOS,X,X,X,X
ITZJSLO,X,O,X,X
ITZJSOL,X,O,X,X
ITZJOLS,X,O,X,X
ITZJOSL,X,O,X,X
ITZSLJO,O,X,X,X
ITZSLOJ,O,X,X,X
ITZSJLO,X,O,X,X
ITZSJOL,X,O,X,X
ITZSOLJ,X,X,X,O
ITZSOJL,X,X,X,X
ITZOLJS,X,X,X,X
ITZOLSJ,X,X,X,O
ITZOJLS,X,X,X,X
ITZOJSL,X,X,X,X
ITZOSLJ,X,X,X,O
ITZOSJL,X,X,X,X
ITOLJSZ,X,X,X,X
ITOLJZS,X,X,X,X
ITOLSJZ,X,X,X,X
ITOLSZJ,X,X,X,X
ITOLZJS,X,X,X,X
ITOLZSJ,X,X,X,O
ITOJLSZ,X,X,X,X
ITOJLZS,X,X,X,X
ITOJSLZ,X,X,X,X
ITOJSZL,X,X,X,X
ITOJZLS,X,X,X,X
ITOJZSL,X,X,X,X
ITOSLJZ,X,X,X,X
ITOSLZJ,X,X,X,X
ITOSJLZ,X,X,X,X
ITOSJZL,X,X,X,X
ITOSZLJ,X,X,X,X
ITOSZJL,X,X,X,X
