sequence,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFCjBllB3mBT?oB2vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mB0iB6oB2?vBRrBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFfnBxiBKqBu?sBctBFrB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFziB+oBilB3?mB1vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mBxiBusBc?tBTqBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFGjBKqBRnBU?nBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je8GJvhFWoBKqBzlBx?sBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeXDJvhFxlBVsBctBa?rBTqBGsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFGjBTlB0mBl?nByvBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhF+oBKqBfrB0?mBlnBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je1FJvhF3mBTqBxsBu?sBctBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3BJvhFOqBlnBctBR?rBzqBCtB
ITSOZLJ,X,O,X,X,X,X,X,X,X,X,X,X
ITSOZJL,X,O,X,O,X,X,X,X,X,X,X,X
ITZLJSO,X,O,X,O,X,X,X,X,X,X,X,X
ITZLJOS,X,X,X,O,X,X,O,X,X,X,X,X
ITZLSJO,X,O,X,O,X,X,X,X,X,X,X,X
ITZLSOJ,X,O,X,O,X,X,X,O,X,X,X,X
ITZLOJS,X,X,X,O,X,X,O,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZJLSO,X,O,X,O,X,X,X,X,X,X,X,X
ITZJLOS,X,X,X,O,X,X,O,X,X,X,X,X
ITZJSLO,X,O,X,O,X,X,X,X,X,X,X,X
ITZJSOL,X,X,X,O,X,X,X,O,X,X,X,X
ITZJOLS,X,X,X,O,X,X,X,X,X,X,X,X
ITZJOSL,X,X,X,O,X,X,X,X,X,X,X,X
ITZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,O,X,X,X,X,X,O,X,X,X,X
ITZSJLO,X,O,X,O,X,X,X,X,X,X,X,X
ITZSJOL,X,X,X,O,X,X,X,O,X,X,X,X
ITZSOLJ,X,O,X,X,X,X,X,O,X,X,X,X
ITZSOJL,X,O,X,O,X,X,X,O,X,X,X,X
ITZOLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X,X,X,X,X
ITZOJSL,X,O,X,X,X,X,X,O,X,X,X,X
ITZOSLJ,X,O,X,X,X,X,X,O,X,X,X,X
ITZOSJL,X,O,X,X,X,X,X,O,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,X,X,X,O,X
ITOLZJS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X,X,X,O,X
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,O,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,X,X,X,X,O,X
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X,O,X
ITOSZLJ,X,O,X,X,X,X,X,O,X,X,O,X
ITOSZJL,X,O,X,X,X,X,X,O,X,X,O,X
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X,O,X,X,X,X
ITOZSLJ,X,O,X,X,X,X,X,O,X,X,O,X
ITOZSJL,X,O,X,X,X,X,X,O,X,X,O,X
ILTJSZO,X,O,X,X,O,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTJZSO,X,O,X,X,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,O,O,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,O,O,X,X,X,X,X
ILTSJZO,X,O,X,X,O,O,X,X,X,X,X,X
ILTSJOZ,X,X,O,X,X,O,X,X,X,X,X,X
ILTSZJO,X,O,O,X,O,O,X,X,X,X,X,X
ILTSZOJ,X,O,O,X,O,O,X,X,X,X,X,X
ILTSOJZ,X,O,O,X,X,O,X,X,X,X,X,X
ILTSOZJ,X,O,O,X,O,O,X,X,X,X,X,X
ILTZJSO,X,O,O,X,O,X,X,X,X,X,X,X
ILTZJOS,X,X,O,X,O,O,O,X,X,X,X,X
ILTZSJO,X,O,O,X,O,X,X,X,X,X,X,X
ILTZSOJ,X,O,O,X,O,X,X,X,X,X,X,X
ILTZOJS,X,X,O,X,X,O,O,X,X,X,X,X
ILTZOSJ,X,O,O,X,O,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,O,O,X,X,X,X,X
ILTOSJZ,X,O,O,X,X,O,X,X,X,X,X,X
ILTOSZJ,X,O,O,X,O,O,X,X,X,X,X,X
ILTOZJS,X,O,O,X,X,O,O,X,X,X,X,X
ILTOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,X,X,O,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJTZSO,X,O,X,X,X,X,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,O,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJTOZS,X,O,X,X,X,X,O,X,X,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X,O,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,X,X,X,O,X,X
ILJSZOT,X,X,X,X,X,X,O,X,X,O,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,O,X,X,O,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,O,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,O,X,X,X,X,X
ILJZOTS,X,X,X,X,X,X,O,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,O,X,X,X,X,X
ILJOTSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJOSZT,X,O,X,X,X,X,O,X,X,X,X,X
ILJOZTS,X,O,X,X,X,X,O,X,X,X,X,X
ILJOZST,X,O,X,X,X,X,O,X,X,X,X,X
ILSTJZO,X,O,X,X,X,O,X,X,O,O,X,X
ILSTJOZ,X,X,O,X,X,O,X,X,O,X,X,X
ILSTZJO,X,O,O,X,X,O,X,X,O,O,X,X
ILSTZOJ,X,O,O,X,X,O,X,X,O,X,X,X
ILSTOJZ,X,O,O,X,X,O,X,X,O,X,X,X
ILSTOZJ,X,O,O,X,X,O,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,O,X,X,O,O,X,X
ILSJTOZ,X,X,O,X,X,O,X,X,O,X,X,X
ILSJZTO,X,X,X,X,X,O,X,X,O,O,X,X
ILSJZOT,X,X,X,X,X,X,O,X,O,O,X,X
ILSJOTZ,X,X,X,X,X,O,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,O,X,X,O,X,X
ILSZTJO,X,O,O,X,X,O,X,X,O,O,X,X
ILSZTOJ,X,O,O,X,X,O,X,X,O,X,X,X
ILSZJTO,X,X,O,X,X,O,X,X,O,O,X,X
ILSZJOT,X,X,O,X,X,X,O,X,O,O,X,X
ILSZOTJ,X,X,O,X,X,X,X,X,O,X,X,X
ILSZOJT,X,X,X,X,X,X,O,X,O,O,X,X
ILSOTJZ,X,O,O,X,X,O,X,X,X,X,X,X
ILSOTZJ,X,O,O,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,O,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X,O,X,X,O,X,X
ILSOZTJ,X,O,X,X,X,X,X,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X,O,X,X,O,X,X
ILZTJSO,X,O,O,X,O,X,X,X,O,X,X,X
ILZTJOS,X,X,O,X,O,X,O,X,O,X,X,X
ILZTSJO,X,O,O,X,O,X,X,X,O,X,X,X
ILZTSOJ,X,O,O,X,O,X,X,X,O,X,X,X
ILZTOJS,X,X,O,X,X,X,O,X,O,X,X,X
ILZTOSJ,X,O,O,X,O,X,X,X,X,X,X,X
ILZJTSO,X,X,O,X,O,X,X,X,O,X,X,X
ILZJTOS,X,X,O,X,O,X,O,X,O,X,X,X
ILZJSTO,X,X,O,X,O,X,X,X,O,X,X,X
ILZJSOT,X,X,O,X,X,X,O,X,O,X,X,X
ILZJOTS,X,X,X,X,O,X,O,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,O,X,X,X,X,X
ILZSTJO,X,O,O,X,O,X,X,X,O,X,X,X
ILZSTOJ,X,O,O,X,O,X,X,X,O,X,X,X
ILZSJTO,X,X,O,X,X,X,X,X,O,X,X,X
ILZSJOT,X,X,O,X,X,X,O,X,O,X,X,X
ILZSOTJ,X,X,O,X,X,X,X,X,O,X,X,X
ILZSOJT,X,X,X,X,X,X,O,X,O,X,X,X
ILZOTJS,X,X,X,X,X,X,O,X,O,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,X,O,X,X,X,X,X
ILZOJST,X,X,X,X,X,X,O,X,X,X,X,X
ILZOSTJ,X,X,O,X,X,X,X,X,O,X,X,X
ILZOSJT,X,X,X,X,X,X,O,X,O,X,X,X
ILOTJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOTJZS,X,O,X,X,X,X,O,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,X,X,X,O,X
ILOTZJS,X,O,X,X,X,X,O,X,X,X,X,X
ILOTZSJ,X,O,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOJTZS,X,O,X,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,X,O,X,X,X,X,O,X,X,X,X,X
ILOJZTS,X,O,X,X,X,X,O,X,X,X,X,X
ILOJZST,X,O,X,X,X,X,O,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,X,X,X,X,X,X,X,X,O,X
ILOSJTZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,X,O,X,X,X,X,X
ILOSZTJ,X,O,X,X,X,X,X,X,X,X,O,X
ILOSZJT,X,X,X,X,X,X,O,X,X,X,O,X
ILOZTJS,X,O,X,X,X,X,O,X,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,X,X,X,X,X,X
ILOZJTS,X,O,X,X,X,X,O,X,X,X,X,X
ILOZJST,X,O,X,X,X,X,O,X,X,X,X,X
ILOZSTJ,X,O,X,X,X,X,X,X,X,X,X,X
ILOZSJT,X,X,X,X,X,X,O,X,X,X,X,X
IJTLSZO,O,O,X,O,X,X,X,X,X,O,X,X
IJTLSOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTLZSO,O,O,X,O,X,X,X,X,X,X,X,X
IJTLZOS,O,O,X,O,X,X,O,X,X,X,X,X
IJTLOSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTLOZS,O,O,X,O,X,X,O,X,X,X,X,X
IJTSLZO,O,O,X,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTSZLO,O,O,X,O,X,X,X,X,X,X,X,O
IJTSZOL,O,O,X,O,X,X,X,X,X,X,X,O
IJTSOLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTSOZL,O,O,X,O,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,X,X,X,X,X,O
IJTZLOS,O,O,X,O,X,X,O,X,X,X,X,X
IJTZSLO,O,O,X,O,X,X,X,X,X,X,X,O
IJTZSOL,O,O,X,O,X,X,X,X,X,X,X,O
IJTZOLS,O,O,X,O,X,X,X,X,X,X,X,X
IJTZOSL,O,O,X,O,X,X,X,X,X,X,X,O
IJTOLSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTOLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTOSZL,O,O,X,O,X,X,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X,O,X,X
IJLTSOZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLTZSO,X,O,X,X,X,X,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,O,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLTOZS,X,O,X,X,X,X,O,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X,O,X,X
IJLSTOZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,X,X,X,O,X,O
IJLSZOT,X,X,X,X,X,X,O,X,X,O,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,O,X,X,O,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X,X,X,O
IJLZTOS,X,O,X,X,X,X,O,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X,X,X,X,O
IJLZSOT,X,X,X,X,X,X,O,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,O,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,O,X,X,X,X,X
IJLOTSZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLOTZS,X,O,X,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLOSZT,X,O,X,X,X,X,O,X,X,X,X,X
IJLOZTS,X,O,X,X,X,X,O,X,X,X,X,X
IJLOZST,X,O,X,X,X,X,O,X,X,X,X,X
IJSTLZO,O,O,X,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSTZLO,O,O,X,O,X,X,X,X,X,X,X,O
IJSTZOL,O,O,X,O,X,X,X,X,X,X,X,O
IJSTOLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,X,X,X,X,X,X,X,X
IJSLTZO,X,O,X,X,X,X,X,X,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X,X,X,X,O
IJSLZOT,O,X,X,O,X,X,O,X,X,X,X,X
IJSLOTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,O,X,X,X,X,X
IJSZTLO,O,O,X,O,X,X,X,X,X,X,X,O
IJSZTOL,O,O,X,O,X,X,X,X,X,X,X,O
IJSZLTO,O,O,X,X,X,X,X,X,X,X,X,O
IJSZLOT,O,X,X,O,X,X,O,X,X,X,X,X
IJSZOTL,O,O,X,O,X,X,X,X,X,X,X,O
IJSZOLT,O,O,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSOTZL,O,O,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X,X,X,X
IJSOZTL,O,O,X,O,X,X,X,X,X,X,X,O
IJSOZLT,O,O,X,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,X,X,X,X,X,X,O
IJZTLOS,O,O,X,O,X,X,O,X,X,X,X,X
IJZTSLO,O,O,X,O,X,X,X,X,X,X,X,O
IJZTSOL,O,O,X,O,X,X,X,X,X,X,X,O
IJZTOLS,O,O,X,O,X,X,X,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X,X,X,X,X,X,O
IJZLTSO,O,O,X,X,X,X,X,X,X,X,X,O
IJZLTOS,O,O,X,X,X,X,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,X,X,X,O
IJZLSOT,O,X,X,X,X,X,O,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,O,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,O,X,X,X,X,X
IJZSTLO,O,O,X,O,X,X,X,X,X,X,X,O
IJZSTOL,O,O,X,O,X,X,X,X,X,X,X,O
IJZSLTO,O,O,X,X,X,X,X,X,X,X,X,O
IJZSLOT,O,X,X,O,X,X,O,X,X,X,X,X
IJZSOTL,O,O,X,O,X,X,X,X,X,X,X,O
IJZSOLT,O,O,X,O,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X,X,X,X,O
IJZOLTS,O,O,X,X,X,X,O,X,X,X,X,X
IJZOLST,O,O,X,X,X,X,O,X,X,X,X,X
IJZOSTL,O,O,X,O,X,X,X,X,X,X,X,O
IJZOSLT,O,O,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X,X,X,O,X
IJOTZLS,O,O,X,X,X,X,X,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X,O,X,X,X,X,X
IJOLSTZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOLSZT,O,O,X,X,X,X,O,X,X,X,X,X
IJOLZTS,X,O,X,X,X,X,O,X,X,X,X,X
IJOLZST,X,O,X,X,X,X,O,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,X,X,X,O,X
IJOSLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X,X,X,O,O
IJOSZLT,O,O,X,X,X,X,X,X,X,X,O,X
IJOZTLS,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X,X,X,X,X,X,O
IJOZLTS,X,O,X,X,X,X,O,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,O,X,X,X,X,X
IJOZSTL,X,O,X,X,X,X,X,X,X,X,X,O
IJOZSLT,X,O,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,O,X,O,X,O,X,X,O,X,X,X
ISTLJOZ,X,X,O,O,X,O,X,X,O,X,X,X
ISTLZJO,O,O,X,O,X,O,X,X,O,X,X,X
ISTLZOJ,O,O,O,X,X,O,X,X,O,X,X,X
ISTLOJZ,O,O,O,X,X,O,X,X,O,X,X,X
ISTLOZJ,O,O,O,X,X,O,X,X,X,X,X,X
ISTJLZO,X,O,X,O,X,O,X,X,O,X,X,X
ISTJLOZ,X,X,X,O,X,O,X,X,O,X,X,X
ISTJZLO,O,O,X,O,X,X,X,X,O,X,X,X
ISTJZOL,O,X,X,O,X,X,X,X,O,X,X,X
ISTJOLZ,O,O,X,O,X,X,X,X,O,X,X,X
ISTJOZL,X,O,X,O,X,X,X,X,O,X,X,X
ISTZLJO,O,O,X,O,X,X,X,X,O,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTZJLO,O,O,X,O,X,X,X,X,O,X,X,X
ISTZJOL,O,X,X,O,X,X,X,X,O,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X,O,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,O,X,X,X,X,O,X,X,X
ISTOJZL,X,O,X,O,X,X,X,X,O,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,O,X,X,O,X,X,X
ISLTJOZ,X,X,O,X,X,O,X,X,O,X,X,X
ISLTZJO,X,O,O,X,X,O,X,X,O,X,X,X
ISLTZOJ,X,O,O,X,X,O,X,X,O,X,X,X
ISLTOJZ,X,O,O,X,X,O,X,X,O,X,X,X
ISLTOZJ,X,O,O,X,X,O,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,O,X,X,O,X,X,X
ISLJTOZ,X,X,O,X,X,O,X,X,O,X,X,X
ISLJZTO,X,X,X,X,X,O,X,X,O,X,X,X
ISLJZOT,X,X,X,O,X,X,O,X,O,X,X,X
ISLJOTZ,X,X,X,O,X,O,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,O,X,X,X,X,X
ISLZTJO,O,O,O,X,X,O,X,X,O,X,X,X
ISLZTOJ,O,O,O,X,X,O,X,X,O,X,X,X
ISLZJTO,O,X,O,X,X,O,X,X,O,X,X,X
ISLZJOT,O,X,O,O,X,X,O,X,O,X,X,X
ISLZOTJ,O,X,O,X,X,X,X,X,O,X,X,X
ISLZOJT,O,X,X,X,X,X,O,X,O,X,X,X
ISLOTJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISLOTZJ,O,O,O,X,X,O,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,O,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,O,X,X,X,X,X
ISLOZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,O,X,X,X,X,X
ISJTLZO,O,O,X,O,X,O,X,X,O,X,X,X
ISJTLOZ,O,X,X,O,X,O,X,X,O,X,X,X
ISJTZLO,O,O,X,O,X,X,X,X,O,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X,O,X,X,X
ISJTOLZ,O,O,X,O,X,X,X,X,O,X,X,X
ISJTOZL,O,O,X,O,X,X,X,X,O,X,X,X
ISJLTZO,X,O,X,X,X,O,X,X,O,X,X,X
ISJLTOZ,X,X,O,X,X,O,X,X,O,X,X,X
ISJLZTO,O,X,X,X,X,O,X,X,O,X,X,X
ISJLZOT,O,X,X,O,X,X,O,X,O,X,X,X
ISJLOTZ,O,X,X,O,X,O,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,O,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,X,X,O,X,X,X
ISJZTOL,O,X,X,O,X,X,X,X,O,X,X,X
ISJZLTO,O,X,X,X,X,O,X,X,O,X,X,X
ISJZLOT,O,X,X,O,X,X,O,X,O,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X,O,X,X,X
ISJZOLT,O,X,X,O,X,X,X,X,O,X,X,X
ISJOTLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISJOTZL,O,O,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,O,X,O,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,O,X,X,X,X,X,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X,O,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X,X,X,X
ISZTJLO,O,O,X,O,X,X,X,X,O,X,X,X
ISZTJOL,O,X,X,O,X,X,X,X,O,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,O,X,O,X,X,X,X,O,X,X,X
ISZLTJO,O,O,O,X,X,O,X,X,O,X,X,X
ISZLTOJ,O,O,O,X,X,O,X,X,X,X,X,X
ISZLJTO,O,X,O,X,X,O,X,X,O,X,X,X
ISZLJOT,O,X,O,O,X,X,O,X,O,X,X,X
ISZLOTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,X,X,X,O,X,X,X,X,X
ISZJTLO,O,X,O,O,X,X,X,X,O,X,X,X
ISZJTOL,O,X,X,O,X,X,X,X,O,X,X,X
ISZJLTO,O,X,O,X,X,O,X,X,O,X,X,X
ISZJLOT,O,X,O,O,X,X,O,X,O,X,X,X
ISZJOTL,O,X,X,O,X,X,X,X,O,X,X,X
ISZJOLT,O,X,O,O,X,X,X,X,O,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X,O,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,O,X,X,X
ISZOJLT,O,X,X,O,X,X,X,X,O,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X,X,X,O,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,X,X,O,X
ISOTZLJ,O,O,X,X,X,X,X,X,X,X,O,X
ISOTZJL,X,O,X,X,X,X,X,X,X,X,O,X
ISOLTJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,O,O,X,X,O,X,X,X,X,O,X
ISOLJTZ,O,O,X,X,X,O,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,X,X,X,O,X
ISOLZJT,O,X,X,X,X,X,X,X,X,X,O,X
ISOJTLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X,X,X,O,X
ISOJLTZ,O,O,X,O,X,O,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,O,X,X,X,X,X,X,O,X
ISOJZLT,O,X,X,O,X,X,X,X,X,X,O,X
ISOZTLJ,O,O,X,X,X,X,X,X,X,X,O,X
ISOZTJL,X,O,X,X,X,X,X,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X,O,X
ISOZLJT,O,X,X,X,X,X,X,X,X,X,O,X
ISOZJTL,X,X,X,O,X,X,X,X,X,X,O,X
ISOZJLT,O,X,X,O,X,X,X,X,X,X,O,X
IZTLJSO,X,O,X,O,O,X,X,X,O,X,X,X
IZTLJOS,X,X,X,O,X,X,O,X,O,X,X,X
IZTLSJO,X,O,O,O,O,X,X,X,X,X,X,X
