sequence,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFCjBllB3mBT?oB2vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mB0iB6oB2?vBRrBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFfnBxiBKqBu?sBctBFrB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFziB+oBilB3?mB1vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mBxiBusBc?tBTqBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFGjBKqBRnBU?nBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je8GJvhFWoBKqBzlBx?sBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeXDJvhFxlBVsBctBa?rBTqBGsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFGjBTlB0mBl?nByvBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhF+oBKqBfrB0?mBlnBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je1FJvhF3mBTqBxsBu?sBctBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3BJvhFOqBlnBctBR?rBzqBCtB
TJIZSLO,O,O,X,O,X,X,X,X,X,X,X,O
TJIZSOL,O,O,X,O,X,X,X,O,X,X,X,O
TJIZOLS,O,O,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X,X,X,X,X,X,O
TJIOLSZ,O,O,X,O,X,X,X,X,X,X,X,X
TJIOLZS,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,O,X,X,X,X,X,O,X,X
TJLISOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,O,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,O,X,X,X,X,X,O,X,X
TJLSIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,O,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,O,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,O,X,X,X,X,X,O,X,X
TJLZISO,O,X,X,O,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,O,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X,O,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,O,X,X
TJLZOIS,O,X,X,O,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLOIZS,O,O,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,O,X,X,X,X,X,O,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X,O,X,X
TJSLIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,X,X,O,X,X
TJSLZOI,O,X,X,O,X,X,X,X,X,O,X,X
TJSLOIZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSLOZI,O,X,X,O,X,X,X,X,X,O,X,X
TJSZILO,O,X,X,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,X,X,O,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,X,X,X,X
TJSZOLI,O,X,X,O,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,O,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSOLZI,O,X,X,O,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,O,X,X,X,X,X,X,X,X
TJSOZLI,O,X,X,O,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,O,X,X,X,X,X,X,X,O
TJZILOS,O,X,X,O,X,X,X,X,X,X,X,X
TJZISLO,O,X,X,O,X,X,X,X,X,X,X,O
TJZISOL,O,X,X,O,X,X,X,O,X,X,X,O
TJZIOLS,O,X,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,X,X,X,X,O
TJZLISO,O,X,X,O,X,X,X,X,X,X,X,O
TJZLIOS,O,X,X,O,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,X,X,O,X,O
TJZLSOI,O,X,X,O,X,X,X,X,X,O,X,X
TJZLOIS,O,X,X,O,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,O,X,X,X,X,X,X,X,O
TJZSIOL,O,X,X,O,X,X,X,O,X,X,X,O
TJZSLIO,O,X,X,O,X,X,X,X,X,X,X,O
TJZSLOI,O,X,X,O,X,X,X,X,X,X,X,X
TJZSOIL,O,X,X,O,X,X,X,O,X,X,X,O
TJZSOLI,O,X,X,O,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,O,X,X,X,O
TJZOLIS,O,X,X,O,X,X,X,X,X,X,X,X
TJZOLSI,O,X,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,X,X,X,O,X,X,X,O
TJZOSLI,O,X,X,O,X,X,X,X,X,X,X,X
TJOILSZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOILZS,O,O,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,O,X,X,X,X
TJOLISZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOLIZS,O,O,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,X,O,X,X,X,X,X,O,X,X
TJOLZIS,O,O,X,O,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,O,X,X,X,X,X,X,X,X
TJOSILZ,O,X,X,O,X,X,X,X,X,X,X,X
TJOSIZL,O,X,X,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,O,X,X,X,X,X,X,X,X
TJOSZIL,O,X,X,O,X,X,X,X,X,X,X,X
TJOSZLI,O,X,X,O,X,X,X,X,X,X,X,X
TJOZILS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,X,O,X,X,X,O,X,X,X,X
TJOZLIS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZLSI,O,X,X,O,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,O,X,X,X,O,X,X,X,X
TJOZSLI,O,X,X,O,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,O,X,O,X,X,O,X,X,X
TSILJOZ,X,X,O,O,X,O,X,X,O,X,X,X
TSILZJO,O,X,X,O,X,O,X,X,O,X,X,X
TSILZOJ,O,X,O,X,X,O,X,X,O,X,X,X
TSILOJZ,O,X,O,X,X,O,X,X,O,X,X,X
TSILOZJ,O,X,O,X,X,O,X,X,X,X,X,X
TSIJLZO,X,X,X,O,X,O,X,X,O,X,X,X
TSIJLOZ,X,X,X,O,X,O,X,X,O,X,X,X
TSIJZLO,O,X,X,O,X,X,X,X,O,X,X,X
TSIJZOL,O,X,X,O,X,X,X,X,O,X,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,O,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,O,X,X,X
TSIZLJO,O,X,X,O,X,X,X,X,O,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,O,X,X,X,X
TSIZJLO,O,X,X,O,X,X,X,X,O,X,X,X
