sequence,v115@HhA8IeB8CeA8DeB8BeF8Jex/IvhFThB0iB6oBFlB2s?B3qB,v115@HhA8IeB8CeA8DeB8BeF8Jex/IvhFThBKnBGjBFlBUo?B3qB,v115@HhA8IeB8CeA8DeB8BeF8Jel/IvhFRhBfoB6oBmlBUn?BTqB,v115@HhA8IeB8CeA8DeB8BeF8Jel/IvhFclBxmBToBmmBCo?B3qB
ILTJZOS,O,O,X,X
ILTJOSZ,O,X,X,X
ILTJOZS,O,O,X,X
ILTSJZO,O,X,O,X
ILTSJOZ,O,X,O,X
ILTSZJO,X,O,X,X
ILTSZOJ,X,O,X,X
ILTSOJZ,O,X,X,X
ILTSOZJ,X,O,X,X
ILTZJSO,O,O,X,X
ILTZJOS,O,O,X,X
ILTZSJO,X,O,X,X
ILTZSOJ,X,O,X,X
ILTZOJS,O,O,X,X
ILTZOSJ,X,O,X,X
ILTOJSZ,O,X,X,X
ILTOJZS,O,O,X,X
ILTOSJZ,O,X,X,X
ILTOSZJ,X,O,X,X
ILTOZJS,O,O,X,X
ILTOZSJ,X,O,X,X
ILJTSZO,O,X,O,X
ILJTSOZ,O,X,O,X
ILJTZSO,O,O,X,X
ILJTZOS,O,O,X,X
ILJTOSZ,O,X,X,X
ILJTOZS,O,O,X,X
ILJSTZO,O,X,O,X
ILJSTOZ,O,X,O,X
ILJSZTO,O,O,O,X
ILJSZOT,O,O,X,X
ILJSOTZ,O,X,O,X
ILJSOZT,O,O,X,X
ILJZTSO,O,O,X,X
ILJZTOS,O,O,X,X
ILJZSTO,O,O,X,X
ILJZSOT,O,O,X,X
ILJZOTS,O,O,X,X
ILJZOST,O,O,X,X
ILJOTSZ,O,X,X,X
ILJOTZS,O,X,X,X
ILJOSTZ,O,X,X,X
ILJOSZT,O,X,X,X
ILJOZTS,O,O,X,X
ILJOZST,O,O,X,X
ILSTJZO,O,O,O,X
ILSTJOZ,O,O,O,X
ILSTZJO,O,O,X,X
ILSTZOJ,O,O,X,X
ILSTOJZ,O,O,X,X
ILSTOZJ,O,O,X,X
ILSJTZO,O,X,O,X
ILSJTOZ,O,X,O,X
ILSJZTO,O,O,O,X
ILSJZOT,O,O,X,X
ILSJOTZ,O,X,O,X
ILSJOZT,O,O,X,X
ILSZTJO,X,O,X,X
ILSZTOJ,X,O,X,O
ILSZJTO,O,O,X,X
ILSZJOT,O,O,X,X
ILSZOTJ,X,O,X,O
ILSZOJT,O,O,X,X
ILSOTJZ,O,O,X,X
ILSOTZJ,O,O,X,X
ILSOJTZ,O,X,O,X
ILSOJZT,O,O,O,X
ILSOZTJ,X,O,X,O
ILSOZJT,O,O,X,X
ILZTJSO,O,O,X,X
ILZTJOS,O,O,X,X
ILZTSJO,X,O,X,X
ILZTSOJ,X,O,X,X
ILZTOJS,O,O,X,X
ILZTOSJ,X,O,X,X
ILZJTSO,O,O,X,X
ILZJTOS,O,O,X,X
ILZJSTO,O,O,X,X
ILZJSOT,O,O,X,X
ILZJOTS,O,O,X,X
ILZJOST,O,O,X,X
ILZSTJO,X,O,X,X
ILZSTOJ,X,O,X,X
ILZSJTO,O,O,X,X
ILZSJOT,O,O,X,X
ILZSOTJ,X,O,X,X
ILZSOJT,O,O,X,X
ILZOTJS,X,O,X,X
ILZOTSJ,X,O,X,X
ILZOJTS,O,O,X,X
ILZOJST,O,O,X,X
ILZOSTJ,X,O,X,X
ILZOSJT,X,O,X,X
ILOTJSZ,O,X,X,X
ILOTJZS,O,O,X,X
ILOTSJZ,O,X,X,X
ILOTSZJ,X,O,X,X
ILOTZJS,O,O,X,X
ILOTZSJ,X,O,X,X
ILOJTSZ,O,X,O,X
ILOJTZS,O,X,X,X
ILOJSTZ,O,X,O,X
ILOJSZT,O,X,O,X
ILOJZTS,O,O,X,X
ILOJZST,O,O,X,X
ILOSTJZ,O,O,X,X
ILOSTZJ,O,O,X,X
ILOSJTZ,O,X,O,X
ILOSJZT,O,O,O,X
ILOSZTJ,X,O,X,O
ILOSZJT,O,O,X,X
ILOZTJS,X,O,X,X
ILOZTSJ,X,O,X,X
ILOZJTS,O,O,X,X
ILOZJST,O,O,X,X
ILOZSTJ,X,O,X,X
ILOZSJT,X,O,X,X
IJTLSZO,O,X,O,X
IJTLSOZ,O,X,O,X
IJTLZSO,O,O,O,X
IJTLZOS,O,O,X,X
IJTLOSZ,O,X,X,X
IJTLOZS,O,O,X,X
IJTSLZO,O,X,O,X
IJTSLOZ,O,X,O,X
IJTSZLO,O,X,O,X
IJTSZOL,O,X,O,X
IJTSOLZ,O,X,O,X
IJTSOZL,O,X,X,X
IJTZLSO,O,O,O,X
IJTZLOS,O,O,X,X
IJTZSLO,O,O,O,X
IJTZSOL,O,X,O,X
IJTZOLS,O,O,X,X
IJTZOSL,O,X,O,X
IJTOLSZ,O,X,X,X
IJTOLZS,O,O,X,X
IJTOSLZ,O,X,O,X
IJTOSZL,O,X,X,X
IJTOZLS,O,X,X,X
IJTOZSL,O,X,O,X
IJLTSZO,O,X,O,X
IJLTSOZ,O,X,O,X
IJLTZSO,O,O,O,X
IJLTZOS,O,O,X,X
IJLTOSZ,O,X,X,X
IJLTOZS,O,O,X,X
IJLSTZO,O,X,O,X
IJLSTOZ,O,X,O,X
IJLSZTO,O,O,O,X
IJLSZOT,O,O,X,X
IJLSOTZ,O,X,O,X
IJLSOZT,O,O,X,X
IJLZTSO,O,O,O,X
IJLZTOS,O,O,X,X
IJLZSTO,O,O,O,X
IJLZSOT,O,O,O,X
IJLZOTS,O,O,X,X
IJLZOST,O,O,X,X
IJLOTSZ,O,X,X,X
IJLOTZS,O,X,X,X
IJLOSTZ,O,X,X,X
IJLOSZT,O,X,X,X
IJLOZTS,O,O,X,X
IJLOZST,O,O,X,X
IJSTLZO,O,X,O,X
IJSTLOZ,O,X,O,X
IJSTZLO,O,X,O,X
IJSTZOL,O,X,O,X
IJSTOLZ,O,X,O,X
IJSTOZL,O,X,X,X
IJSLTZO,O,X,O,X
IJSLTOZ,O,X,O,X
IJSLZTO,O,O,O,X
IJSLZOT,O,O,X,X
IJSLOTZ,O,X,O,X
IJSLOZT,O,O,X,X
IJSZTLO,O,O,O,X
IJSZTOL,O,X,O,O
IJSZLTO,O,O,O,X
IJSZLOT,O,O,O,X
IJSZOTL,O,X,O,O
IJSZOLT,O,O,O,X
IJSOTLZ,O,X,O,X
IJSOTZL,O,X,X,X
IJSOLTZ,O,X,O,X
IJSOLZT,O,O,X,X
IJSOZTL,O,X,X,O
IJSOZLT,O,X,X,X
IJZTLSO,O,O,O,X
IJZTLOS,O,O,X,X
IJZTSLO,O,O,O,X
IJZTSOL,O,X,O,X
IJZTOLS,O,O,X,X
IJZTOSL,O,X,O,X
IJZLTSO,O,O,O,X
IJZLTOS,O,O,X,X
IJZLSTO,O,O,O,X
IJZLSOT,O,O,O,X
IJZLOTS,O,O,X,X
IJZLOST,O,O,X,X
IJZSTLO,O,O,O,X
IJZSTOL,O,X,O,X
IJZSLTO,O,O,O,X
IJZSLOT,O,O,O,X
IJZSOTL,O,X,O,X
IJZSOLT,O,O,O,X
IJZOTLS,O,O,X,X
IJZOTSL,O,X,O,X
IJZOLTS,O,O,X,X
IJZOLST,O,O,X,X
IJZOSTL,O,X,O,X
IJZOSLT,O,O,O,X
IJOTLSZ,O,X,X,X
IJOTLZS,O,X,X,X
IJOTSLZ,O,X,O,X
IJOTSZL,O,X,X,X
IJOTZLS,O,X,X,X
IJOTZSL,O,X,O,X
IJOLTSZ,O,X,X,X
IJOLTZS,O,X,X,X
IJOLSTZ,O,X,X,X
IJOLSZT,O,X,X,X
IJOLZTS,O,O,X,X
IJOLZST,O,O,X,X
IJOSTLZ,O,X,O,X
IJOSTZL,O,X,X,X
IJOSLTZ,O,X,O,X
IJOSLZT,O,X,X,X
IJOSZTL,O,X,X,O
IJOSZLT,O,X,X,X
IJOZTLS,O,X,X,X
IJOZTSL,O,X,O,X
IJOZLTS,O,X,X,X
IJOZLST,O,X,X,X
IJOZSTL,O,X,O,X
IJOZSLT,O,X,O,X
ISTLJZO,O,O,O,X
ISTLJOZ,O,O,O,X
ISTLZJO,O,O,X,X
ISTLZOJ,O,O,X,X
ISTLOJZ,O,O,X,X
ISTLOZJ,O,O,X,X
ISTJLZO,O,O,O,X
ISTJLOZ,O,O,O,X
ISTJZLO,O,O,O,X
ISTJZOL,O,O,X,X
ISTJOLZ,O,O,O,X
ISTJOZL,O,X,X,X
ISTZLJO,O,O,X,X
ISTZLOJ,O,O,X,O
ISTZJLO,O,O,X,X
ISTZJOL,O,O,X,O
ISTZOLJ,O,O,X,O
ISTZOJL,O,O,X,O
ISTOLJZ,O,O,X,X
ISTOLZJ,O,O,X,X
ISTOJLZ,O,O,X,X
ISTOJZL,O,X,X,X
ISTOZLJ,O,O,X,O
ISTOZJL,O,O,X,O
ISLTJZO,O,O,O,X
ISLTJOZ,O,O,O,X
ISLTZJO,O,O,X,X
ISLTZOJ,O,O,X,X
ISLTOJZ,O,O,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,O,X,O,X
ISLJTOZ,O,X,O,X
ISLJZTO,O,O,O,X
ISLJZOT,O,O,X,X
ISLJOTZ,O,X,O,X
ISLJOZT,O,O,X,X
ISLZTJO,X,O,X,X
ISLZTOJ,X,O,X,O
ISLZJTO,O,O,X,X
ISLZJOT,O,O,X,X
ISLZOTJ,X,O,X,O
ISLZOJT,O,O,X,X
ISLOTJZ,O,O,X,X
ISLOTZJ,O,O,X,X
ISLOJTZ,O,X,O,X
ISLOJZT,O,O,O,X
ISLOZTJ,X,O,X,O
ISLOZJT,O,O,X,X
ISJTLZO,O,X,O,X
ISJTLOZ,O,X,O,X
ISJTZLO,O,X,O,X
ISJTZOL,O,X,X,X
ISJTOLZ,O,X,O,X
ISJTOZL,O,X,X,X
ISJLTZO,O,X,O,X
ISJLTOZ,O,X,O,X
ISJLZTO,O,O,O,X
ISJLZOT,O,O,X,X
ISJLOTZ,O,X,O,X
ISJLOZT,O,O,X,X
ISJZTLO,O,O,O,X
ISJZTOL,O,X,X,O
ISJZLTO,O,O,O,X
ISJZLOT,O,O,X,X
ISJZOTL,O,X,X,O
ISJZOLT,O,O,X,X
ISJOTLZ,O,X,O,X
ISJOTZL,O,X,X,X
ISJOLTZ,O,X,O,X
ISJOLZT,O,O,X,X
ISJOZTL,O,X,X,O
ISJOZLT,O,X,X,X
ISZTLJO,X,O,X,X
ISZTLOJ,X,O,X,O
ISZTJLO,X,O,X,X
ISZTJOL,X,O,X,O
ISZTOLJ,X,O,X,O
ISZTOJL,X,O,X,O
ISZLTJO,X,O,X,X
ISZLTOJ,X,O,X,O
ISZLJTO,O,O,X,X
ISZLJOT,O,O,X,X
ISZLOTJ,X,O,X,O
ISZLOJT,O,O,X,X
ISZJTLO,O,O,X,X
ISZJTOL,O,O,X,O
ISZJLTO,O,O,X,X
ISZJLOT,O,O,X,X
ISZJOTL,O,X,X,O
ISZJOLT,O,O,X,X
ISZOTLJ,X,X,X,O
ISZOTJL,X,X,X,O
ISZOLTJ,X,O,X,O
ISZOLJT,O,O,X,X
ISZOJTL,O,X,X,O
ISZOJLT,O,O,X,X
ISOTLJZ,O,O,X,X
ISOTLZJ,O,O,X,X
ISOTJLZ,O,O,X,X
ISOTJZL,O,X,X,X
ISOTZLJ,O,O,X,O
ISOTZJL,O,X,X,O
ISOLTJZ,O,O,X,X
ISOLTZJ,O,O,X,X
ISOLJTZ,O,X,O,X
ISOLJZT,O,O,O,X
ISOLZTJ,X,O,X,O
ISOLZJT,O,O,X,X
ISOJTLZ,O,X,O,X
ISOJTZL,O,X,O,X
ISOJLTZ,O,X,O,X
ISOJLZT,O,O,O,X
ISOJZTL,O,X,O,O
ISOJZLT,O,X,O,X
ISOZTLJ,X,X,X,O
ISOZTJL,X,X,X,O
ISOZLTJ,X,O,X,O
ISOZLJT,O,O,X,X
ISOZJTL,O,X,X,O
ISOZJLT,O,O,X,X
IZTLJSO,O,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,X,O,O,X
IZTLSOJ,X,O,O,X
IZTLOJS,O,O,X,X
IZTLOSJ,X,O,X,X
IZTJLSO,O,O,O,X
IZTJLOS,O,O,X,X
IZTJSLO,O,O,O,X
IZTJSOL,O,X,O,X
IZTJOLS,O,O,X,X
IZTJOSL,O,X,O,X
IZTSLJO,X,O,O,X
IZTSLOJ,X,O,O,X
IZTSJLO,X,O,O,X
IZTSJOL,X,X,O,X
IZTSOLJ,X,X,O,X
IZTSOJL,X,X,O,X
IZTOLJS,O,O,X,X
IZTOLSJ,X,O,O,X
IZTOJLS,O,O,O,X
IZTOJSL,O,X,O,X
IZTOSLJ,X,X,O,X
IZTOSJL,X,X,O,X
IZLTJSO,O,O,X,X
IZLTJOS,O,O,X,X
IZLTSJO,X,O,O,X
IZLTSOJ,X,O,O,X
IZLTOJS,O,O,X,X
IZLTOSJ,X,O,X,X
IZLJTSO,O,O,O,X
IZLJTOS,O,O,X,X
IZLJSTO,O,O,O,X
IZLJSOT,O,O,O,X
IZLJOTS,O,O,X,X
IZLJOST,O,O,X,X
IZLSTJO,X,O,O,X
IZLSTOJ,X,O,O,X
IZLSJTO,O,O,O,X
IZLSJOT,O,O,O,X
IZLSOTJ,X,O,O,X
IZLSOJT,O,O,O,X
IZLOTJS,X,O,X,X
IZLOTSJ,X,O,X,X
IZLOJTS,O,O,X,X
IZLOJST,O,O,X,X
IZLOSTJ,X,O,X,X
IZLOSJT,X,O,X,X
IZJTLSO,O,O,O,X
IZJTLOS,O,O,X,X
IZJTSLO,O,O,O,X
IZJTSOL,O,X,O,X
IZJTOLS,O,O,X,X
IZJTOSL,O,X,O,X
IZJLTSO,O,O,O,X
IZJLTOS,O,O,X,X
IZJLSTO,O,O,O,X
IZJLSOT,O,O,O,X
IZJLOTS,O,O,X,X
IZJLOST,O,O,X,X
IZJSTLO,O,O,O,X
IZJSTOL,O,O,O,X
IZJSLTO,O,O,O,X
IZJSLOT,O,O,O,X
IZJSOTL,O,X,O,X
IZJSOLT,O,O,O,X
IZJOTLS,O,O,X,X
IZJOTSL,O,X,O,X
IZJOLTS,O,O,X,X
IZJOLST,O,O,X,X
IZJOSTL,O,X,O,X
IZJOSLT,O,O,O,X
IZSTLJO,X,O,O,X
IZSTLOJ,X,O,O,O
IZSTJLO,X,O,O,X
IZSTJOL,X,O,O,O
IZSTOLJ,X,O,O,O
IZSTOJL,X,O,O,O
IZSLTJO,X,O,O,X
IZSLTOJ,X,O,O,O
IZSLJTO,O,O,O,X
IZSLJOT,O,O,O,X
IZSLOTJ,X,O,O,O
IZSLOJT,O,O,O,X
IZSJTLO,O,O,O,X
IZSJTOL,O,O,O,O
IZSJLTO,O,O,O,X
IZSJLOT,O,O,O,X
IZSJOTL,O,X,O,O
IZSJOLT,O,O,O,X
IZSOTLJ,X,X,O,O
IZSOTJL,X,X,O,O
IZSOLTJ,X,O,O,O
IZSOLJT,O,O,O,X
IZSOJTL,O,X,O,O
IZSOJLT,O,O,O,X
IZOTLJS,X,O,X,X
IZOTLSJ,X,O,O,X
IZOTJLS,X,O,O,X
IZOTJSL,X,X,O,X
IZOTSLJ,X,X,O,X
IZOTSJL,X,X,O,X
IZOLTJS,X,O,X,X
IZOLTSJ,X,O,O,X
IZOLJTS,O,O,O,X
IZOLJST,O,O,O,X
IZOLSTJ,X,O,O,X
IZOLSJT,X,O,O,X
IZOJTLS,O,O,O,X
IZOJTSL,X,X,O,X
IZOJLTS,O,O,O,X
IZOJLST,O,O,O,X
IZOJSTL,X,X,O,X
IZOJSLT,O,O,O,X
IZOSTLJ,X,X,O,O
IZOSTJL,X,X,O,O
IZOSLTJ,X,O,O,O
IZOSLJT,X,O,O,X
IZOSJTL,X,X,O,O
IZOSJLT,X,O,O,X
IOTLJSZ,O,X,X,X
IOTLJZS,O,O,X,X
IOTLSJZ,O,X,X,X
IOTLSZJ,X,O,X,X
IOTLZJS,O,O,X,X
IOTLZSJ,X,O,X,X
IOTJLSZ,O,X,X,X
IOTJLZS,O,O,X,X
IOTJSLZ,O,X,X,X
IOTJSZL,O,X,X,X
IOTJZLS,O,X,X,X
IOTJZSL,O,X,X,X
IOTSLJZ,O,X,X,X
IOTSLZJ,X,O,X,X
IOTSJLZ,O,X,X,X
IOTSJZL,O,X,X,X
IOTSZLJ,X,X,X,O
IOTSZJL,X,X,X,O
IOTZLJS,O,O,X,X
IOTZLSJ,X,O,O,X
IOTZJLS,O,O,O,X
IOTZJSL,O,X,O,X
IOTZSLJ,X,X,O,X
IOTZSJL,X,X,O,X
IOLTJSZ,O,X,X,X
IOLTJZS,O,O,X,X
IOLTSJZ,O,X,X,X
IOLTSZJ,X,O,X,X
IOLTZJS,O,O,X,X
IOLTZSJ,X,O,X,X
IOLJTSZ,O,X,O,X
IOLJTZS,O,X,X,X
IOLJSTZ,O,X,O,X
IOLJSZT,O,X,O,X
IOLJZTS,O,O,X,X
IOLJZST,O,O,X,X
IOLSTJZ,O,O,X,X
IOLSTZJ,O,O,X,X
IOLSJTZ,O,X,O,X
IOLSJZT,O,O,O,X
IOLSZTJ,X,O,X,O
IOLSZJT,O,O,X,X
IOLZTJS,X,O,X,X
IOLZTSJ,X,O,X,X
IOLZJTS,O,O,X,X
IOLZJST,O,O,X,X
IOLZSTJ,X,O,X,X
IOLZSJT,X,O,X,X
IOJTLSZ,O,X,O,X
IOJTLZS,O,X,O,X
IOJTSLZ,O,X,O,X
IOJTSZL,O,X,O,X
IOJTZLS,O,X,O,X
IOJTZSL,O,X,O,X
IOJLTSZ,O,X,O,X
IOJLTZS,O,X,O,X
IOJLSTZ,O,X,O,X
IOJLSZT,O,X,O,X
IOJLZTS,O,O,O,X
IOJLZST,O,O,O,X
IOJSTLZ,O,X,O,X
IOJSTZL,O,X,O,X
IOJSLTZ,O,X,O,X
IOJSLZT,O,X,O,X
IOJSZTL,O,X,O,O
IOJSZLT,O,X,O,X
IOJZTLS,O,X,O,X
IOJZTSL,O,X,O,X
IOJZLTS,O,X,O,X
IOJZLST,O,X,O,X
IOJZSTL,O,X,O,X
IOJZSLT,O,X,O,X
IOSTLJZ,O,O,X,X
IOSTLZJ,O,O,X,X
IOSTJLZ,O,O,X,X
IOSTJZL,O,X,X,X
IOSTZLJ,O,O,X,O
IOSTZJL,O,X,X,O
IOSLTJZ,O,O,X,X
IOSLTZJ,O,O,X,X
IOSLJTZ,O,X,O,X
IOSLJZT,O,O,O,X
IOSLZTJ,X,O,X,O
IOSLZJT,O,O,X,X
IOSJTLZ,O,X,O,X
IOSJTZL,O,X,O,X
IOSJLTZ,O,X,O,X
IOSJLZT,O,O,O,X
IOSJZTL,O,X,O,O
IOSJZLT,O,X,O,X
IOSZTLJ,X,X,X,O
IOSZTJL,X,X,X,O
IOSZLTJ,X,O,X,O
IOSZLJT,O,O,X,X
IOSZJTL,O,X,X,O
IOSZJLT,O,O,X,X
IOZTLJS,X,O,X,X
IOZTLSJ,X,O,O,X
IOZTJLS,X,O,O,X
IOZTJSL,X,X,O,X
IOZTSLJ,X,X,O,X
IOZTSJL,X,X,O,X
IOZLTJS,X,O,X,X
IOZLTSJ,X,O,O,X
IOZLJTS,O,O,O,X
IOZLJST,O,O,O,X
IOZLSTJ,X,O,O,X
IOZLSJT,X,O,O,X
IOZJTLS,O,O,O,X
IOZJTSL,X,X,O,X
IOZJLTS,O,O,O,X
IOZJLST,O,O,O,X
IOZJSTL,X,X,O,X
IOZJSLT,O,O,O,X
IOZSTLJ,X,X,O,O
IOZSTJL,X,X,O,O
IOZSLTJ,X,O,O,O
IOZSLJT,X,O,O,X
IOZSJTL,X,X,O,O
IOZSJLT,X,O,O,X
LTIJSZO,O,X,O,X
LTIJSOZ,O,X,O,X
LTIJZSO,O,O,X,X
LTIJZOS,O,O,X,X
LTIJOSZ,O,X,X,X
LTIJOZS,O,O,X,X
LTISJZO,O,X,O,X
LTISJOZ,O,X,O,X
LTISZJO,X,O,X,X
LTISZOJ,X,O,X,X
LTISOJZ,O,X,X,X
LTISOZJ,X,O,X,X
LTIZJSO,O,O,X,X
LTIZJOS,O,O,X,X
LTIZSJO,X,O,X,X
LTIZSOJ,X,O,X,X
LTIZOJS,O,O,X,X
LTIZOSJ,X,O,X,X
LTIOJSZ,O,X,X,X
LTIOJZS,O,O,X,X
LTIOSJZ,O,X,X,X
LTIOSZJ,X,O,X,X
LTIOZJS,O,O,X,X
LTIOZSJ,X,O,X,X
LTJISZO,O,X,O,X
LTJISOZ,O,X,O,X
LTJIZSO,O,O,O,X
LTJIZOS,O,O,X,X
LTJIOSZ,O,X,X,X
LTJIOZS,O,O,X,X
LTJSIZO,O,X,O,X
LTJSIOZ,O,X,O,X
LTJSZIO,O,X,O,X
LTJSZOI,O,X,X,X
LTJSOIZ,O,X,O,X
LTJSOZI,O,X,X,X
LTJZISO,O,O,O,X
LTJZIOS,O,O,X,X
LTJZSIO,O,O,O,X
LTJZSOI,O,O,O,X
LTJZOIS,O,O,X,X
LTJZOSI,O,O,X,X
LTJOISZ,O,X,X,X
LTJOIZS,O,O,X,X
LTJOSIZ,O,X,O,X
LTJOSZI,O,X,X,X
LTJOZIS,O,O,X,X
LTJOZSI,O,O,X,X
LTSIJZO,O,O,O,X
LTSIJOZ,O,O,O,X
LTSIZJO,O,O,X,X
LTSIZOJ,O,O,X,X
LTSIOJZ,O,O,X,X
LTSIOZJ,O,O,X,X
LTSJIZO,O,O,O,X
LTSJIOZ,O,O,O,X
LTSJZIO,O,O,O,X
LTSJZOI,O,O,X,X
LTSJOIZ,O,O,O,X
LTSJOZI,O,O,X,X
LTSZIJO,O,O,X,X
LTSZIOJ,O,O,X,X
LTSZJIO,O,O,O,X
LTSZJOI,O,O,X,X
LTSZOIJ,O,O,X,X
LTSZOJI,O,O,X,X
LTSOIJZ,O,O,X,X
LTSOIZJ,O,O,X,X
LTSOJIZ,O,O,O,X
LTSOJZI,O,O,O,X
LTSOZIJ,O,O,X,X
LTSOZJI,O,O,X,X
LTZIJSO,O,O,X,X
LTZIJOS,O,O,X,X
LTZISJO,X,O,O,X
LTZISOJ,X,O,O,X
LTZIOJS,O,O,X,X
LTZIOSJ,X,O,X,X
LTZJISO,O,O,O,X
LTZJIOS,O,O,X,X
LTZJSIO,O,O,O,X
LTZJSOI,O,O,O,X
LTZJOIS,O,O,X,X
LTZJOSI,O,O,X,X
LTZSIJO,X,O,O,X
LTZSIOJ,X,O,O,X
LTZSJIO,X,O,O,X
LTZSJOI,X,O,O,X
LTZSOIJ,X,O,O,X
LTZSOJI,X,O,O,X
LTZOIJS,O,O,X,X
LTZOISJ,X,O,O,X
LTZOJIS,O,O,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,X,O,O,X
LTZOSJI,X,O,O,X
LTOIJSZ,O,X,X,X
LTOIJZS,O,O,X,X
LTOISJZ,O,X,X,X
LTOISZJ,X,O,X,X
LTOIZJS,O,O,X,X
LTOIZSJ,X,O,X,X
LTOJISZ,O,X,O,X
LTOJIZS,O,O,X,X
LTOJSIZ,O,X,O,X
LTOJSZI,O,X,O,X
LTOJZIS,O,O,X,X
LTOJZSI,O,O,O,X
LTOSIJZ,O,O,X,X
LTOSIZJ,O,O,X,X
LTOSJIZ,O,O,O,X
LTOSJZI,O,O,O,X
LTOSZIJ,O,O,X,X
LTOSZJI,O,O,X,X
LTOZIJS,O,O,X,X
LTOZISJ,X,O,O,X
LTOZJIS,O,O,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,X,O,O,X
LTOZSJI,X,O,O,X
LITJSZO,O,X,O,X
LITJSOZ,O,X,O,X
LITJZSO,O,O,X,X
LITJZOS,O,O,X,X
LITJOSZ,O,X,X,X
LITJOZS,O,O,X,X
LITSJZO,O,X,O,X
LITSJOZ,O,X,O,X
LITSZJO,X,O,X,X
LITSZOJ,X,O,X,X
LITSOJZ,O,X,X,X
LITSOZJ,X,O,X,X
LITZJSO,O,O,X,X
LITZJOS,O,O,X,X
LITZSJO,X,O,X,X
LITZSOJ,X,O,X,X
LITZOJS,O,O,X,X
LITZOSJ,X,O,X,X
LITOJSZ,O,X,X,X
LITOJZS,O,O,X,X
LITOSJZ,O,X,X,X
LITOSZJ,X,O,X,X
LITOZJS,O,O,X,X
LITOZSJ,X,O,X,X
LIJTSZO,O,X,O,X
LIJTSOZ,O,X,O,X
LIJTZSO,O,O,X,X
LIJTZOS,O,O,X,X
LIJTOSZ,O,X,X,X
LIJTOZS,O,O,X,X
LIJSTZO,O,X,O,X
LIJSTOZ,O,X,O,X
LIJSZTO,O,O,O,X
LIJSZOT,O,O,X,X
LIJSOTZ,O,X,O,X
LIJSOZT,O,O,X,X
LIJZTSO,O,O,X,X
LIJZTOS,O,O,X,X
LIJZSTO,O,O,X,X
LIJZSOT,O,O,X,X
LIJZOTS,O,O,X,X
LIJZOST,O,O,X,X
LIJOTSZ,O,X,X,X
LIJOTZS,O,X,X,X
LIJOSTZ,O,X,X,X
LIJOSZT,O,X,X,X
LIJOZTS,O,O,X,X
LIJOZST,O,O,X,X
LISTJZO,O,O,O,X
LISTJOZ,O,O,O,X
LISTZJO,O,O,X,X
LISTZOJ,O,O,X,X
LISTOJZ,O,O,X,X
LISTOZJ,O,O,X,X
LISJTZO,O,X,O,X
LISJTOZ,O,X,O,X
LISJZTO,O,O,O,X
LISJZOT,O,O,X,X
LISJOTZ,O,X,O,X
LISJOZT,O,O,X,X
LISZTJO,X,O,X,X
LISZTOJ,X,O,X,O
LISZJTO,O,O,X,X
LISZJOT,O,O,X,X
LISZOTJ,X,O,X,O
LISZOJT,O,O,X,X
LISOTJZ,O,O,X,X
LISOTZJ,O,O,X,X
LISOJTZ,O,X,O,X
LISOJZT,O,O,O,X
LISOZTJ,X,O,X,O
LISOZJT,O,O,X,X
LIZTJSO,O,O,X,X
LIZTJOS,O,O,X,X
LIZTSJO,X,O,X,X
LIZTSOJ,X,O,X,X
LIZTOJS,O,O,X,X
LIZTOSJ,X,O,X,X
LIZJTSO,O,O,X,X
LIZJTOS,O,O,X,X
LIZJSTO,O,O,X,X
LIZJSOT,O,O,X,X
LIZJOTS,O,O,X,X
LIZJOST,O,O,X,X
LIZSTJO,X,O,X,X
LIZSTOJ,X,O,X,X
LIZSJTO,O,O,X,X
LIZSJOT,O,O,X,X
LIZSOTJ,X,O,X,X
LIZSOJT,O,O,X,X
LIZOTJS,X,O,X,X
LIZOTSJ,X,O,X,X
LIZOJTS,O,O,X,X
LIZOJST,O,O,X,X
LIZOSTJ,X,O,X,X
LIZOSJT,X,O,X,X
LIOTJSZ,O,X,X,X
LIOTJZS,O,O,X,X
LIOTSJZ,O,X,X,X
LIOTSZJ,X,O,X,X
LIOTZJS,O,O,X,X
LIOTZSJ,X,O,X,X
LIOJTSZ,O,X,O,X
LIOJTZS,O,X,X,X
LIOJSTZ,O,X,O,X
LIOJSZT,O,X,O,X
LIOJZTS,O,O,X,X
LIOJZST,O,O,X,X
LIOSTJZ,O,O,X,X
LIOSTZJ,O,O,X,X
LIOSJTZ,O,X,O,X
LIOSJZT,O,O,O,X
LIOSZTJ,X,O,X,O
LIOSZJT,O,O,X,X
LIOZTJS,X,O,X,X
LIOZTSJ,X,O,X,X
LIOZJTS,O,O,X,X
LIOZJST,O,O,X,X
LIOZSTJ,X,O,X,X
LIOZSJT,X,O,X,X
LJTISZO,O,X,O,X
LJTISOZ,O,X,O,X
LJTIZSO,O,O,O,X
LJTIZOS,O,O,X,X
LJTIOSZ,O,X,X,X
LJTIOZS,O,O,X,X
LJTSIZO,O,X,O,X
LJTSIOZ,O,X,O,X
LJTSZIO,O,X,O,X
LJTSZOI,O,X,X,X
LJTSOIZ,O,X,O,X
LJTSOZI,O,X,X,X
LJTZISO,O,O,O,X
