sequence,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBlpBipB,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBipBlpB,v115@XhD8BeH8Jei/IvhFfmBGjBUlBRnBlmBTpB,v115@XhD8BeH8JeRAJvhFGiBTjB0lBlmBipB/pB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBupBUqBlrB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBUlBupBlrB
TIOSLZJ,X,X,X,X,X,O
TIOSJLZ,X,X,X,X,O,X
TIOSJZL,O,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,O
TIOSZJL,O,X,X,X,X,X
TIOZLJS,O,X,O,O,X,X
TIOZLSJ,X,X,O,O,X,O
TIOZJLS,O,X,O,O,X,X
TIOZJSL,O,X,O,X,X,X
TIOZSLJ,X,X,O,X,X,O
TIOZSJL,O,X,O,X,X,X
TLIJSZO,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X
TLIJZSO,X,X,X,O,X,X
TLIJZOS,X,X,X,O,X,X
TLIJOSZ,X,X,X,X,O,X
TLIJOZS,X,X,X,O,X,X
TLISJZO,X,X,X,X,X,X
TLISJOZ,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,O
TLISOJZ,X,X,X,X,O,X
TLISOZJ,X,X,X,X,X,O
TLIZJSO,X,X,X,O,X,X
TLIZJOS,X,X,X,O,X,X
TLIZSJO,X,X,X,O,X,X
TLIZSOJ,X,X,X,O,X,O
TLIZOJS,X,X,X,O,X,X
TLIZOSJ,X,X,X,O,X,O
TLIOJSZ,X,X,X,X,O,X
TLIOJZS,X,X,X,O,X,X
TLIOSJZ,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,O
TLIOZJS,X,X,X,O,X,X
TLIOZSJ,X,X,X,O,X,O
TLJISZO,X,X,X,X,X,X
TLJISOZ,X,X,X,X,O,X
TLJIZSO,X,X,X,O,X,X
TLJIZOS,X,X,X,O,X,X
TLJIOSZ,X,X,X,X,O,X
TLJIOZS,X,X,X,O,X,X
TLJSIZO,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,O,X
TLJSZIO,O,O,X,O,X,X
TLJSZOI,O,O,X,O,X,X
TLJSOIZ,X,X,X,X,O,X
TLJSOZI,O,O,X,O,X,X
TLJZISO,X,X,X,O,X,X
TLJZIOS,O,O,X,O,X,X
TLJZSIO,X,X,X,O,X,X
TLJZSOI,X,X,X,O,X,X
TLJZOIS,O,O,X,O,X,X
TLJZOSI,X,X,X,O,X,X
TLJOISZ,X,X,X,X,O,X
TLJOIZS,X,X,X,O,X,X
TLJOSIZ,X,X,X,X,O,X
TLJOSZI,O,O,X,O,X,X
TLJOZIS,O,O,X,O,X,X
TLJOZSI,X,X,X,O,X,X
TLSIJZO,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,O,X
TLSIZJO,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,O
TLSIOJZ,X,X,X,X,O,X
TLSIOZJ,X,X,X,X,X,O
TLSJIZO,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,O,X
TLSJZIO,O,O,X,O,X,X
TLSJZOI,O,O,X,O,X,X
TLSJOIZ,X,X,X,X,O,X
TLSJOZI,O,O,X,O,X,X
TLSZIJO,O,O,X,O,X,X
TLSZIOJ,O,O,X,O,X,O
TLSZJIO,O,O,X,O,X,X
TLSZJOI,O,O,X,O,X,X
TLSZOIJ,O,O,X,O,X,O
TLSZOJI,O,O,X,O,X,X
TLSOIJZ,X,X,X,X,O,X
TLSOIZJ,X,X,X,X,X,O
TLSOJIZ,X,X,X,X,O,X
TLSOJZI,O,O,X,O,X,X
TLSOZIJ,O,O,X,O,X,O
TLSOZJI,O,O,X,O,X,X
TLZIJSO,X,X,X,O,X,X
TLZIJOS,O,O,X,O,X,X
TLZISJO,X,X,X,O,X,X
TLZISOJ,X,X,X,O,X,O
TLZIOJS,O,O,X,O,X,X
TLZIOSJ,X,X,X,O,X,O
TLZJISO,X,X,X,O,X,X
TLZJIOS,O,O,X,O,X,X
TLZJSIO,X,X,X,O,X,X
TLZJSOI,X,X,X,O,X,X
TLZJOIS,O,O,X,O,X,X
TLZJOSI,X,X,X,O,X,X
TLZSIJO,X,X,X,O,X,X
TLZSIOJ,X,X,X,O,X,O
TLZSJIO,X,X,X,O,X,X
TLZSJOI,X,X,X,O,X,X
TLZSOIJ,X,X,X,O,X,O
TLZSOJI,X,X,X,O,X,X
TLZOIJS,O,O,X,O,X,X
TLZOISJ,X,X,X,O,X,O
TLZOJIS,O,O,X,O,X,X
TLZOJSI,X,X,X,O,X,X
TLZOSIJ,X,X,X,O,X,O
TLZOSJI,X,X,X,O,X,X
TLOIJSZ,X,X,X,X,O,X
TLOIJZS,X,X,X,O,X,X
TLOISJZ,X,X,X,X,O,X
TLOISZJ,X,X,X,X,X,O
TLOIZJS,X,X,X,O,X,X
TLOIZSJ,X,X,X,O,X,O
TLOJISZ,X,X,X,X,O,X
TLOJIZS,X,X,X,O,X,X
TLOJSIZ,X,X,X,X,O,X
TLOJSZI,O,O,X,O,X,X
TLOJZIS,O,O,X,O,X,X
TLOJZSI,X,X,X,O,X,X
TLOSIJZ,X,X,X,X,O,X
TLOSIZJ,X,X,X,X,X,O
TLOSJIZ,X,X,X,X,O,X
TLOSJZI,O,O,X,O,X,X
TLOSZIJ,O,O,X,O,X,O
TLOSZJI,O,O,X,O,X,X
TLOZIJS,O,O,X,O,X,X
TLOZISJ,X,X,X,O,X,O
TLOZJIS,O,O,X,O,X,X
TLOZJSI,X,X,X,O,X,X
TLOZSIJ,X,X,X,O,X,O
TLOZSJI,X,X,X,O,X,X
TJILSZO,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X
TJILZSO,X,X,X,O,X,X
TJILZOS,X,X,X,O,X,X
TJILOSZ,X,X,X,X,O,X
TJILOZS,X,X,X,O,X,X
TJISLZO,X,X,X,X,X,X
TJISLOZ,X,X,X,X,O,X
TJISZLO,O,X,O,X,X,X
TJISZOL,O,X,X,X,X,X
TJISOLZ,X,X,X,X,O,X
TJISOZL,O,X,X,X,X,X
TJIZLSO,X,X,O,O,X,X
TJIZLOS,O,X,X,O,X,X
TJIZSLO,X,X,O,X,X,X
TJIZSOL,O,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X
TJIZOSL,O,X,X,X,X,X
TJIOLSZ,X,X,X,X,O,X
TJIOLZS,X,X,O,O,X,X
TJIOSLZ,X,X,X,X,O,X
TJIOSZL,O,X,X,X,X,X
TJIOZLS,O,X,O,O,X,X
TJIOZSL,O,X,O,X,X,X
TJLISZO,X,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X
TJLIZSO,X,X,X,O,X,X
TJLIZOS,X,X,X,O,X,X
TJLIOSZ,X,X,X,X,O,X
TJLIOZS,X,X,X,O,X,X
TJLSIZO,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,O,X
TJLSZIO,O,O,X,O,X,X
TJLSZOI,O,O,X,O,X,X
TJLSOIZ,X,X,X,X,O,X
TJLSOZI,O,O,X,O,X,X
TJLZISO,X,X,X,O,X,X
TJLZIOS,O,O,X,O,X,X
TJLZSIO,X,X,X,O,X,X
TJLZSOI,X,X,X,O,X,X
TJLZOIS,O,O,X,O,X,X
TJLZOSI,X,X,X,O,X,X
TJLOISZ,X,X,X,X,O,X
TJLOIZS,X,X,X,O,X,X
TJLOSIZ,X,X,X,X,O,X
TJLOSZI,O,O,X,O,X,X
TJLOZIS,O,O,X,O,X,X
TJLOZSI,X,X,X,O,X,X
TJSILZO,X,X,X,X,X,X
TJSILOZ,X,X,X,X,O,X
TJSIZLO,O,X,O,X,X,X
TJSIZOL,O,X,X,X,X,X
TJSIOLZ,X,X,X,X,O,X
TJSIOZL,O,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,O,X
TJSLZIO,O,O,X,O,X,X
TJSLZOI,O,O,X,O,X,X
TJSLOIZ,X,X,X,X,O,X
TJSLOZI,O,O,X,O,X,X
TJSZILO,O,X,O,X,X,X
TJSZIOL,O,O,X,X,X,X
TJSZLIO,O,O,O,O,X,X
TJSZLOI,O,O,X,O,X,X
TJSZOIL,O,O,X,X,X,X
TJSZOLI,O,O,X,O,X,X
TJSOILZ,X,X,X,X,O,X
TJSOIZL,O,X,X,X,X,X
TJSOLIZ,X,X,X,X,O,X
TJSOLZI,O,O,X,O,X,X
TJSOZIL,O,O,X,X,X,X
TJSOZLI,O,O,X,O,X,X
TJZILSO,X,X,O,O,X,X
TJZILOS,O,X,X,O,X,X
TJZISLO,X,X,O,X,X,X
TJZISOL,O,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X
TJZIOSL,O,O,X,X,X,X
TJZLISO,X,X,O,O,X,X
TJZLIOS,O,O,X,O,X,X
TJZLSIO,X,X,O,O,X,X
TJZLSOI,X,X,X,O,X,X
TJZLOIS,O,O,X,O,X,X
TJZLOSI,X,X,X,O,X,X
TJZSILO,O,X,O,X,X,X
TJZSIOL,O,X,X,X,X,X
TJZSLIO,O,X,O,O,X,X
TJZSLOI,O,X,X,O,X,X
TJZSOIL,O,X,X,X,X,X
TJZSOLI,O,X,X,O,X,X
TJZOILS,O,O,X,O,X,X
TJZOISL,O,O,X,X,X,X
TJZOLIS,O,O,X,O,X,X
TJZOLSI,X,X,X,O,X,X
TJZOSIL,O,X,X,X,X,X
TJZOSLI,O,X,X,O,X,X
TJOILSZ,X,X,X,X,O,X
TJOILZS,X,X,O,O,X,X
TJOISLZ,X,X,X,X,O,X
TJOISZL,O,X,X,X,X,X
TJOIZLS,O,X,O,O,X,X
TJOIZSL,O,X,O,X,X,X
TJOLISZ,X,X,X,X,O,X
TJOLIZS,X,X,O,O,X,X
TJOLSIZ,X,X,X,X,O,X
TJOLSZI,O,O,X,O,X,X
TJOLZIS,O,O,O,O,X,X
TJOLZSI,X,X,O,O,X,X
TJOSILZ,X,X,X,X,O,X
TJOSIZL,O,X,X,X,X,X
TJOSLIZ,X,X,X,X,O,X
TJOSLZI,O,O,X,O,X,X
TJOSZIL,O,O,X,X,X,X
TJOSZLI,O,O,X,O,X,X
TJOZILS,O,O,O,O,X,X
TJOZISL,O,O,O,X,X,X
TJOZLIS,O,O,O,O,X,X
TJOZLSI,X,X,O,O,X,X
TJOZSIL,O,X,O,X,X,X
TJOZSLI,O,X,O,O,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,X,X,O,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,O
TSILOJZ,X,X,X,X,O,X
TSILOZJ,X,X,X,X,X,O
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,O,X
TSIJZLO,O,X,O,X,X,X
TSIJZOL,O,X,X,X,X,X
TSIJOLZ,X,X,X,X,O,X
TSIJOZL,O,X,X,X,X,X
TSIZLJO,O,X,O,X,X,X
TSIZLOJ,O,X,X,X,X,O
TSIZJLO,O,X,O,X,X,X
TSIZJOL,O,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,O
TSIZOJL,O,X,X,X,X,X
TSIOLJZ,X,X,X,X,O,X
TSIOLZJ,X,X,X,X,X,O
TSIOJLZ,X,X,X,X,O,X
TSIOJZL,O,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,O
TSIOZJL,O,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,O,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,O
TSLIOJZ,X,X,X,X,O,X
TSLIOZJ,X,X,X,X,X,O
TSLJIZO,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,O,X
TSLJZIO,O,O,X,O,X,X
TSLJZOI,O,O,X,O,X,X
TSLJOIZ,X,X,X,X,O,X
TSLJOZI,O,O,X,O,X,X
TSLZIJO,O,O,X,O,X,X
TSLZIOJ,O,O,X,O,X,O
TSLZJIO,O,O,X,O,X,X
TSLZJOI,O,O,X,O,X,X
TSLZOIJ,O,O,X,O,X,O
TSLZOJI,O,O,X,O,X,X
TSLOIJZ,X,X,X,X,O,X
TSLOIZJ,X,X,X,X,X,O
TSLOJIZ,X,X,X,X,O,X
TSLOJZI,O,O,X,O,X,X
TSLOZIJ,O,O,X,O,X,O
TSLOZJI,O,O,X,O,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,X,X,O,X
TSJIZLO,O,X,O,X,X,X
TSJIZOL,O,X,X,X,X,X
TSJIOLZ,X,X,X,X,O,X
TSJIOZL,O,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,O,X
TSJLZIO,O,O,X,O,X,X
TSJLZOI,O,O,X,O,X,X
TSJLOIZ,X,X,X,X,O,X
TSJLOZI,O,O,X,O,X,X
TSJZILO,O,X,O,X,X,X
TSJZIOL,O,O,X,X,X,X
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,X,O,X,X
TSJZOIL,O,O,X,X,X,X
TSJZOLI,O,O,X,O,X,X
TSJOILZ,X,X,X,X,O,X
TSJOIZL,O,X,X,X,X,X
TSJOLIZ,X,X,X,X,O,X
TSJOLZI,O,O,X,O,X,X
TSJOZIL,O,O,X,X,X,X
TSJOZLI,O,O,X,O,X,X
TSZILJO,O,X,O,X,X,X
TSZILOJ,O,X,X,X,X,O
TSZIJLO,O,X,O,X,X,X
TSZIJOL,O,O,X,X,X,X
TSZIOLJ,O,X,X,X,X,O
TSZIOJL,O,O,X,X,X,X
TSZLIJO,O,O,O,O,X,X
TSZLIOJ,O,O,X,O,X,O
TSZLJIO,O,O,O,O,X,X
TSZLJOI,O,O,X,O,X,X
TSZLOIJ,O,O,X,O,X,O
TSZLOJI,O,O,X,O,X,X
TSZJILO,O,X,O,X,X,X
TSZJIOL,O,O,X,X,X,X
TSZJLIO,O,O,O,O,X,X
TSZJLOI,O,O,X,O,X,X
TSZJOIL,O,O,X,X,X,X
TSZJOLI,O,O,X,O,X,X
TSZOILJ,O,X,X,X,X,O
TSZOIJL,O,O,X,X,X,X
TSZOLIJ,O,O,X,O,X,O
TSZOLJI,O,O,X,O,X,X
TSZOJIL,O,O,X,X,X,X
TSZOJLI,O,O,X,O,X,X
TSOILJZ,X,X,X,X,O,X
TSOILZJ,X,X,X,X,X,O
TSOIJLZ,X,X,X,X,O,X
TSOIJZL,O,X,X,X,X,X
TSOIZLJ,O,X,X,X,X,O
TSOIZJL,O,X,X,X,X,X
TSOLIJZ,X,X,X,X,O,X
TSOLIZJ,X,X,X,X,X,O
TSOLJIZ,X,X,X,X,O,X
TSOLJZI,O,O,X,O,X,X
TSOLZIJ,O,O,X,O,X,O
TSOLZJI,O,O,X,O,X,X
TSOJILZ,X,X,X,X,O,X
TSOJIZL,O,X,X,X,X,X
TSOJLIZ,X,X,X,X,O,X
TSOJLZI,O,O,X,O,X,X
TSOJZIL,O,O,X,X,X,X
TSOJZLI,O,O,X,O,X,X
TSOZILJ,O,X,X,X,X,O
TSOZIJL,O,O,X,X,X,X
TSOZLIJ,O,O,X,O,X,O
TSOZLJI,O,O,X,O,X,X
TSOZJIL,O,O,X,X,X,X
TSOZJLI,O,O,X,O,X,X
TZILJSO,X,X,O,O,X,X
TZILJOS,O,X,X,O,X,X
TZILSJO,X,X,O,O,X,X
TZILSOJ,X,X,X,O,X,O
TZILOJS,O,X,X,O,X,X
TZILOSJ,X,X,X,O,X,O
TZIJLSO,X,X,O,O,X,X
TZIJLOS,O,X,X,O,X,X
TZIJSLO,X,X,O,X,X,X
TZIJSOL,O,X,X,X,X,X
TZIJOLS,O,O,X,O,X,X
TZIJOSL,O,O,X,X,X,X
TZISLJO,X,X,O,X,X,X
TZISLOJ,X,X,X,X,X,O
TZISJLO,X,X,O,X,X,X
TZISJOL,O,X,X,X,X,X
TZISOLJ,X,X,X,X,X,O
TZISOJL,O,X,X,X,X,X
TZIOLJS,O,X,X,O,X,X
TZIOLSJ,X,X,X,O,X,O
TZIOJLS,O,O,X,O,X,X
TZIOJSL,O,O,X,X,X,X
TZIOSLJ,X,X,X,X,X,O
TZIOSJL,O,X,X,X,X,X
TZLIJSO,X,X,O,O,X,X
TZLIJOS,O,O,X,O,X,X
TZLISJO,X,X,O,O,X,X
TZLISOJ,X,X,X,O,X,O
TZLIOJS,O,O,X,O,X,X
TZLIOSJ,X,X,X,O,X,O
TZLJISO,X,X,O,O,X,X
TZLJIOS,O,O,X,O,X,X
TZLJSIO,X,X,O,O,X,X
TZLJSOI,X,X,X,O,X,X
TZLJOIS,O,O,X,O,X,X
TZLJOSI,X,X,X,O,X,X
TZLSIJO,X,X,O,O,X,X
TZLSIOJ,X,X,X,O,X,O
TZLSJIO,X,X,O,O,X,X
TZLSJOI,X,X,X,O,X,X
TZLSOIJ,X,X,X,O,X,O
TZLSOJI,X,X,X,O,X,X
TZLOIJS,O,O,X,O,X,X
TZLOISJ,X,X,X,O,X,O
TZLOJIS,O,O,X,O,X,X
TZLOJSI,X,X,X,O,X,X
TZLOSIJ,X,X,X,O,X,O
TZLOSJI,X,X,X,O,X,X
TZJILSO,X,X,O,O,X,X
TZJILOS,O,X,X,O,X,X
TZJISLO,X,X,O,X,X,X
TZJISOL,O,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X
TZJIOSL,O,O,X,X,X,X
TZJLISO,X,X,O,O,X,X
TZJLIOS,O,O,X,O,X,X
TZJLSIO,X,X,O,O,X,X
TZJLSOI,X,X,X,O,X,X
TZJLOIS,O,O,X,O,X,X
TZJLOSI,X,X,X,O,X,X
TZJSILO,O,X,O,X,X,X
TZJSIOL,O,X,X,X,X,X
TZJSLIO,O,X,O,O,X,X
TZJSLOI,O,X,X,O,X,X
TZJSOIL,O,X,X,X,X,X
TZJSOLI,O,X,X,O,X,X
TZJOILS,O,O,X,O,X,X
TZJOISL,O,O,X,X,X,X
TZJOLIS,O,O,X,O,X,X
TZJOLSI,X,X,X,O,X,X
TZJOSIL,O,X,X,X,X,X
TZJOSLI,O,X,X,O,X,X
TZSILJO,O,X,O,X,X,X
TZSILOJ,O,X,X,X,X,O
TZSIJLO,O,X,O,X,X,X
TZSIJOL,O,X,X,X,X,X
TZSIOLJ,O,X,X,X,X,O
TZSIOJL,O,X,X,X,X,X
TZSLIJO,O,X,O,O,X,X
TZSLIOJ,O,X,X,O,X,O
TZSLJIO,O,X,O,O,X,X
TZSLJOI,O,X,X,O,X,X
TZSLOIJ,O,X,X,O,X,O
TZSLOJI,O,X,X,O,X,X
TZSJILO,O,X,O,X,X,X
TZSJIOL,O,X,X,X,X,X
TZSJLIO,O,X,O,O,X,X
TZSJLOI,O,X,X,O,X,X
TZSJOIL,O,X,X,X,X,X
TZSJOLI,O,X,X,O,X,X
TZSOILJ,O,X,X,X,X,O
TZSOIJL,O,X,X,X,X,X
TZSOLIJ,O,X,X,O,X,O
TZSOLJI,O,X,X,O,X,X
TZSOJIL,O,X,X,X,X,X
TZSOJLI,O,X,X,O,X,X
TZOILJS,O,X,X,O,X,X
TZOILSJ,X,X,X,O,X,O
TZOIJLS,O,O,X,O,X,X
TZOIJSL,O,O,X,X,X,X
TZOISLJ,X,X,X,X,X,O
TZOISJL,O,X,X,X,X,X
TZOLIJS,O,O,X,O,X,X
TZOLISJ,X,X,X,O,X,O
TZOLJIS,O,O,X,O,X,X
TZOLJSI,X,X,X,O,X,X
TZOLSIJ,X,X,X,O,X,O
TZOLSJI,X,X,X,O,X,X
TZOJILS,O,O,X,O,X,X
TZOJISL,O,O,X,X,X,X
TZOJLIS,O,O,X,O,X,X
TZOJLSI,X,X,X,O,X,X
TZOJSIL,O,X,X,X,X,X
TZOJSLI,O,X,X,O,X,X
TZOSILJ,O,X,X,X,X,O
TZOSIJL,O,X,X,X,X,X
TZOSLIJ,O,X,X,O,X,O
TZOSLJI,O,X,X,O,X,X
TZOSJIL,O,X,X,X,X,X
TZOSJLI,O,X,X,O,X,X
TOILJSZ,X,X,X,X,O,X
TOILJZS,X,X,O,O,X,X
TOILSJZ,X,X,X,X,O,X
TOILSZJ,X,X,X,X,X,O
TOILZJS,X,X,O,O,X,X
TOILZSJ,X,X,O,O,X,O
TOIJLSZ,X,X,X,X,O,X
TOIJLZS,X,X,O,O,X,X
TOIJSLZ,X,X,X,X,O,X
TOIJSZL,O,X,X,X,X,X
TOIJZLS,O,X,O,O,X,X
TOIJZSL,O,X,O,X,X,X
TOISLJZ,X,X,X,X,O,X
TOISLZJ,X,X,X,X,X,O
TOISJLZ,X,X,X,X,O,X
TOISJZL,O,X,X,X,X,X
TOISZLJ,O,X,X,X,X,O
TOISZJL,O,X,X,X,X,X
TOIZLJS,O,X,O,O,X,X
TOIZLSJ,X,X,O,O,X,O
TOIZJLS,O,X,O,O,X,X
TOIZJSL,O,X,O,X,X,X
TOIZSLJ,X,X,O,X,X,O
TOIZSJL,O,X,O,X,X,X
TOLIJSZ,X,X,X,X,O,X
TOLIJZS,X,X,O,O,X,X
TOLISJZ,X,X,X,X,O,X
TOLISZJ,X,X,X,X,X,O
TOLIZJS,X,X,O,O,X,X
TOLIZSJ,X,X,O,O,X,O
TOLJISZ,X,X,X,X,O,X
TOLJIZS,X,X,O,O,X,X
TOLJSIZ,X,X,X,X,O,X
TOLJSZI,O,O,X,O,X,X
TOLJZIS,O,O,O,O,X,X
TOLJZSI,X,X,O,O,X,X
TOLSIJZ,X,X,X,X,O,X
TOLSIZJ,X,X,X,X,X,O
TOLSJIZ,X,X,X,X,O,X
TOLSJZI,O,O,X,O,X,X
TOLSZIJ,O,O,X,O,X,O
TOLSZJI,O,O,X,O,X,X
TOLZIJS,O,O,O,O,X,X
TOLZISJ,X,X,O,O,X,O
TOLZJIS,O,O,O,O,X,X
TOLZJSI,X,X,O,O,X,X
TOLZSIJ,X,X,O,O,X,O
TOLZSJI,X,X,O,O,X,X
TOJILSZ,X,X,X,X,O,X
TOJILZS,X,X,O,O,X,X
TOJISLZ,X,X,X,X,O,X
TOJISZL,O,X,X,X,X,X
TOJIZLS,O,X,O,O,X,X
TOJIZSL,O,X,O,X,X,X
TOJLISZ,X,X,X,X,O,X
TOJLIZS,X,X,O,O,X,X
TOJLSIZ,X,X,X,X,O,X
TOJLSZI,O,O,X,O,X,X
TOJLZIS,O,O,O,O,X,X
TOJLZSI,X,X,O,O,X,X
TOJSILZ,X,X,X,X,O,X
TOJSIZL,O,X,X,X,X,X
TOJSLIZ,X,X,X,X,O,X
TOJSLZI,O,O,X,O,X,X
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,X,O,X,X
TOJZILS,O,O,O,O,X,X
TOJZISL,O,O,O,X,X,X
TOJZLIS,O,O,O,O,X,X
TOJZLSI,X,X,O,O,X,X
TOJZSIL,O,X,O,X,X,X
TOJZSLI,O,X,O,O,X,X
TOSILJZ,X,X,X,X,O,X
TOSILZJ,X,X,X,X,X,O
TOSIJLZ,X,X,X,X,O,X
