sequence,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBu?rBctBTsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBTjBllBu?rBcsBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBFiBXjB0?mBStBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBfoB6oBl?mBUnBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhF0hBxiBllBW?tBzrBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhF3hBGlBlnBc?tBzrBCtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFTjBGlBlmBc?sBXtBCsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBc?tBGsBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBRiBSoBV?sBXtB0rB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFfoB6oBGlBl?mB0sBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFGlBlmBcsBT?oBCsBXtB
ITSOZLJ,O,O,X,O,X,X,X,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X,X,X,X
ITZLJSO,O,O,O,O,X,X,X,O,X,X,X
ITZLJOS,O,O,O,O,O,X,X,O,X,X,X
ITZLSJO,O,O,O,O,X,X,X,O,X,X,X
ITZLSOJ,O,O,O,O,O,X,X,O,X,X,X
ITZLOJS,O,X,O,O,O,X,X,X,X,X,X
ITZLOSJ,O,O,O,O,O,X,X,O,X,X,X
ITZJLSO,O,O,O,O,X,X,O,O,X,O,X
ITZJLOS,O,O,O,O,O,X,X,O,X,X,O
ITZJSLO,O,O,O,O,X,X,O,O,X,O,X
ITZJSOL,O,O,O,O,X,X,O,O,X,O,O
ITZJOLS,O,O,O,O,X,X,X,O,X,X,O
ITZJOSL,O,O,O,O,X,X,O,O,X,O,O
ITZSLJO,O,O,O,O,X,X,X,O,X,O,X
ITZSLOJ,O,O,O,O,O,X,X,O,X,X,X
ITZSJLO,O,O,O,O,X,X,O,O,X,O,X
ITZSJOL,O,O,O,O,X,X,O,O,X,O,X
ITZSOLJ,O,O,O,O,X,X,X,O,X,X,X
ITZSOJL,O,O,O,O,X,X,O,X,X,X,X
ITZOLJS,O,X,O,O,O,X,X,X,X,X,X
ITZOLSJ,O,O,O,O,O,X,X,O,X,X,X
ITZOJLS,O,X,O,O,O,X,X,X,X,X,O
ITZOJSL,O,X,O,O,O,X,X,X,X,X,O
ITZOSLJ,O,O,O,O,O,X,X,O,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X,X,X,X
ITOLJSZ,O,X,O,O,O,X,X,X,X,X,X
ITOLJZS,O,O,O,O,O,X,X,O,X,X,X
ITOLSJZ,X,O,O,O,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,O,X,X,X,X,X,X,X
ITOLZJS,O,X,O,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,O,O,O,X,X,O,X,X,X
ITOJLSZ,O,X,O,O,O,X,X,X,X,X,X
ITOJLZS,O,O,O,O,O,X,X,O,X,X,X
ITOJSLZ,O,X,X,O,O,X,X,X,X,X,X
ITOJSZL,O,X,X,O,O,X,X,X,X,X,X
ITOJZLS,O,O,O,O,O,X,X,O,X,X,X
ITOJZSL,O,O,O,O,O,X,X,O,X,X,X
ITOSLJZ,X,O,X,O,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,X,X,X,X,X,X
ITOSJZL,X,X,X,O,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,O,X,X,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,X,X,X,X,X
ITOZLJS,O,X,O,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,O,O,O,X,X,O,X,X,X
ITOZJLS,O,X,O,O,O,X,X,X,X,X,X
ITOZJSL,O,X,O,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,O,O,O,X,X,O,X,X,X
ITOZSJL,O,O,O,O,X,X,X,X,X,X,X
ILTJSZO,X,X,O,O,X,X,X,X,X,X,X
ILTJSOZ,X,X,O,O,X,X,X,X,X,X,X
ILTJZSO,X,X,O,O,X,X,X,X,X,X,X
ILTJZOS,X,X,O,O,X,X,X,X,X,X,X
ILTJOSZ,X,X,O,O,X,X,X,X,X,X,X
ILTJOZS,X,X,O,O,X,X,X,X,X,X,X
ILTSJZO,X,X,O,O,X,X,X,X,X,X,X
ILTSJOZ,X,X,O,O,X,X,X,X,X,X,X
ILTSZJO,X,X,O,O,X,X,X,X,X,X,X
ILTSZOJ,X,X,O,O,X,X,X,X,X,X,X
ILTSOJZ,X,X,O,O,X,X,X,X,X,X,X
ILTSOZJ,X,X,O,O,X,X,X,X,X,X,X
ILTZJSO,X,X,O,O,X,X,X,X,X,X,X
ILTZJOS,X,X,O,O,X,X,X,X,X,X,X
ILTZSJO,X,X,O,O,X,X,X,X,X,X,X
ILTZSOJ,X,X,O,O,X,X,X,X,X,X,X
ILTZOJS,X,X,O,O,X,X,X,X,X,X,X
ILTZOSJ,X,X,O,O,X,X,X,X,X,X,X
ILTOJSZ,X,X,O,O,X,X,X,X,X,X,X
ILTOJZS,X,X,O,O,X,X,X,X,X,X,X
ILTOSJZ,X,X,O,O,X,X,X,X,X,X,X
ILTOSZJ,X,X,O,O,X,X,X,X,X,X,X
ILTOZJS,X,X,O,O,X,X,X,X,X,X,X
ILTOZSJ,X,X,O,O,X,X,X,X,X,X,X
ILJTSZO,X,X,O,O,X,X,X,X,X,X,X
ILJTSOZ,X,X,O,O,X,X,X,X,X,X,X
ILJTZSO,O,O,O,O,X,X,X,X,X,X,X
ILJTZOS,X,X,O,O,X,X,X,X,X,X,X
ILJTOSZ,X,X,O,O,X,X,X,X,X,X,X
ILJTOZS,O,X,O,O,X,X,X,X,X,X,X
ILJSTZO,X,X,O,O,X,X,X,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,X,X,X,X,X
ILJSZTO,O,O,O,O,X,X,X,X,X,X,X
ILJSZOT,O,O,O,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,O,O,X,X,X,X,X,X,X
ILJSOZT,O,X,O,O,X,X,X,X,X,X,X
ILJZTSO,O,O,O,O,X,X,X,X,X,X,X
ILJZTOS,X,X,O,O,X,X,X,X,X,X,X
ILJZSTO,O,O,O,O,X,X,X,O,X,X,X
ILJZSOT,O,O,O,O,X,X,X,O,X,X,X
ILJZOTS,O,X,O,O,X,X,X,X,X,X,X
ILJZOST,O,O,O,O,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,O,O,X,X,X,X,X,X
ILJOTZS,O,X,O,O,O,X,X,X,X,X,X
ILJOSTZ,X,X,O,O,O,X,X,X,X,X,X
ILJOSZT,O,X,O,O,O,X,X,X,X,X,X
ILJOZTS,O,X,O,O,O,X,X,X,X,X,X
ILJOZST,O,O,O,O,O,X,X,X,X,X,X
ILSTJZO,X,X,O,O,X,X,X,X,X,X,X
ILSTJOZ,X,X,O,O,X,X,X,X,X,X,X
ILSTZJO,X,X,O,O,X,X,X,X,X,X,X
ILSTZOJ,X,X,O,O,X,X,X,X,X,X,X
ILSTOJZ,X,X,O,O,X,X,X,X,X,X,X
ILSTOZJ,X,X,O,O,X,X,X,X,X,X,X
ILSJTZO,X,X,O,O,X,X,X,X,X,X,X
ILSJTOZ,X,X,O,O,X,X,X,X,X,X,X
ILSJZTO,X,X,O,O,X,X,X,X,X,X,X
ILSJZOT,X,X,O,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,O,X,X,X,X,X,X,X
ILSJOZT,X,X,O,O,X,X,X,X,X,X,X
ILSZTJO,X,X,O,O,X,X,X,X,X,X,X
ILSZTOJ,X,O,O,O,X,X,X,X,X,X,X
ILSZJTO,X,O,O,O,X,X,X,X,X,X,X
ILSZJOT,X,O,O,O,X,X,X,X,X,X,X
ILSZOTJ,X,O,O,O,X,X,X,X,X,X,X
ILSZOJT,X,O,O,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,O,O,X,X,X,X,X,X,X
ILSOTZJ,X,X,O,O,X,X,X,X,X,X,X
ILSOJTZ,X,X,O,O,X,X,X,X,X,X,X
ILSOJZT,X,X,O,O,X,X,X,X,X,X,X
ILSOZTJ,X,O,O,O,X,X,X,X,X,X,X
ILSOZJT,X,O,O,O,X,X,X,X,X,X,X
ILZTJSO,X,X,O,O,X,X,X,X,X,X,X
ILZTJOS,X,X,O,O,X,X,X,X,X,X,X
ILZTSJO,X,X,O,O,X,X,X,X,X,X,X
ILZTSOJ,X,O,O,O,X,X,X,X,X,X,X
ILZTOJS,X,X,O,O,X,X,X,X,X,X,X
ILZTOSJ,X,X,O,O,X,X,X,X,X,X,X
ILZJTSO,O,O,O,O,X,X,X,X,X,X,X
ILZJTOS,X,X,O,O,X,X,X,X,X,X,X
ILZJSTO,O,O,O,O,X,X,X,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X,O,X,X,X
ILZJOTS,X,X,O,O,X,X,X,X,X,X,X
ILZJOST,O,O,O,O,X,X,X,X,X,X,X
ILZSTJO,O,X,O,O,X,X,X,O,X,X,X
ILZSTOJ,O,O,O,O,X,X,X,O,X,X,X
ILZSJTO,O,O,O,O,X,X,X,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X,O,X,X,X
ILZSOTJ,O,O,O,O,X,X,X,O,X,X,X
ILZSOJT,O,O,O,O,X,X,X,O,X,X,X
ILZOTJS,X,X,O,O,X,X,X,X,X,X,X
ILZOTSJ,X,X,O,O,X,X,X,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,X,X,X,X
ILZOJST,O,X,O,O,X,X,X,X,X,X,X
ILZOSTJ,O,O,O,O,X,X,X,X,X,X,X
ILZOSJT,O,O,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,O,X,X,X,X,X,X,X
ILOTJZS,X,X,O,O,X,X,X,X,X,X,X
ILOTSJZ,X,X,O,O,X,X,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,X,X,X,X
ILOTZJS,X,X,O,O,X,X,X,X,X,X,X
ILOTZSJ,X,X,O,O,X,X,X,X,X,X,X
ILOJTSZ,X,X,O,O,O,X,X,X,X,X,X
ILOJTZS,O,X,O,O,O,X,X,X,X,X,X
ILOJSTZ,X,X,O,O,O,X,X,X,X,X,X
ILOJSZT,O,X,O,O,O,X,X,X,X,X,X
ILOJZTS,O,X,O,O,O,X,X,X,X,X,X
ILOJZST,O,X,O,O,O,X,X,X,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,X,X,X,X
ILOSTZJ,X,X,O,O,X,X,X,X,X,X,X
ILOSJTZ,X,X,O,O,X,X,X,X,X,X,X
ILOSJZT,X,X,O,O,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,O,X,X,X,X,X,X,X
ILOSZJT,X,X,O,O,X,X,X,X,X,X,X
ILOZTJS,X,X,O,O,O,X,X,X,X,X,X
ILOZTSJ,X,X,O,O,O,X,X,X,X,X,X
ILOZJTS,O,X,O,O,O,X,X,X,X,X,X
ILOZJST,O,X,O,O,O,X,X,X,X,X,X
ILOZSTJ,O,X,O,O,O,X,X,X,X,X,X
ILOZSJT,O,X,O,O,O,X,X,X,X,X,X
IJTLSZO,O,O,O,O,X,X,X,O,X,X,X
IJTLSOZ,O,X,O,O,X,X,X,X,X,X,X
IJTLZSO,O,O,O,O,X,X,O,O,X,O,X
IJTLZOS,O,O,O,O,X,X,X,O,X,X,O
IJTLOSZ,O,X,O,O,O,X,X,X,X,X,X
IJTLOZS,O,O,O,O,O,X,X,O,X,X,X
IJTSLZO,O,O,X,O,X,X,X,O,X,X,X
IJTSLOZ,O,X,X,O,X,X,X,X,X,X,X
IJTSZLO,O,O,X,O,X,X,O,O,X,O,X
IJTSZOL,O,O,X,O,X,X,O,O,X,O,O
IJTSOLZ,O,X,X,O,X,X,X,X,X,X,X
IJTSOZL,O,X,X,O,X,O,O,X,X,X,X
IJTZLSO,O,O,O,O,X,X,O,O,X,O,X
IJTZLOS,O,O,O,O,X,X,X,O,X,X,O
IJTZSLO,O,O,O,O,X,X,O,O,X,O,X
IJTZSOL,O,O,O,O,X,X,O,O,X,O,O
IJTZOLS,O,O,O,O,X,O,X,O,X,X,O
IJTZOSL,O,O,O,O,X,O,O,O,X,O,O
IJTOLSZ,O,X,O,O,O,X,X,X,X,X,X
IJTOLZS,O,O,O,O,O,X,X,O,X,X,X
IJTOSLZ,O,X,X,O,O,X,X,X,X,X,X
IJTOSZL,O,X,X,O,O,O,X,X,X,X,X
IJTOZLS,O,O,O,O,O,O,X,O,X,X,O
IJTOZSL,O,O,O,O,O,O,O,O,X,O,O
IJLTSZO,O,O,O,O,X,X,X,X,X,X,X
IJLTSOZ,O,X,O,O,X,X,X,X,X,X,X
IJLTZSO,O,O,O,O,X,X,O,X,X,O,X
IJLTZOS,O,O,O,O,X,X,X,X,X,X,O
IJLTOSZ,O,X,O,O,X,X,X,X,X,X,X
IJLTOZS,O,O,O,O,X,X,X,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X,X,X,X,X
IJLSZTO,O,O,O,O,X,X,O,X,X,X,X
IJLSZOT,O,O,O,O,X,X,O,X,X,X,X
IJLSOTZ,X,X,O,O,X,X,X,X,X,X,X
IJLSOZT,O,X,O,O,X,O,O,X,X,X,X
IJLZTSO,O,O,O,O,X,X,O,X,X,O,X
IJLZTOS,O,O,O,O,X,X,X,X,X,X,O
IJLZSTO,O,O,O,O,X,X,O,O,X,O,X
IJLZSOT,O,O,O,O,X,X,O,O,X,O,X
IJLZOTS,O,X,O,O,X,O,X,X,X,X,O
IJLZOST,O,O,O,O,X,O,X,X,X,X,X
IJLOTSZ,O,X,O,O,O,X,X,X,X,X,X
IJLOTZS,O,X,O,O,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,O,X,X,X,X,X,X
IJLOSZT,O,X,O,O,O,O,X,X,X,X,X
IJLOZTS,O,X,O,O,O,O,X,X,X,X,O
IJLOZST,O,O,O,O,O,O,X,X,X,X,X
IJSTLZO,O,O,X,O,X,X,X,X,O,X,X
IJSTLOZ,O,X,X,O,X,X,X,X,O,X,X
IJSTZLO,O,O,X,O,X,X,O,X,O,O,X
IJSTZOL,O,O,X,O,X,X,O,X,O,O,O
IJSTOLZ,O,X,X,O,X,X,X,X,O,X,X
IJSTOZL,O,X,X,O,X,O,O,X,O,X,X
IJSLTZO,X,X,O,O,X,X,X,X,O,X,X
IJSLTOZ,X,X,O,O,X,X,X,X,O,X,X
IJSLZTO,O,O,O,O,X,X,O,X,X,X,X
IJSLZOT,O,O,O,O,X,X,O,X,O,X,X
IJSLOTZ,X,X,O,O,X,X,X,X,O,X,X
IJSLOZT,O,X,O,O,X,O,O,X,O,X,X
IJSZTLO,O,O,O,O,X,X,O,X,X,O,X
IJSZTOL,O,O,O,O,X,X,O,X,X,O,O
IJSZLTO,O,O,O,O,X,X,O,X,X,O,X
IJSZLOT,O,O,O,O,X,X,O,X,X,O,X
IJSZOTL,O,O,O,O,X,O,O,X,X,O,O
IJSZOLT,O,O,O,O,X,O,O,X,X,O,X
IJSOTLZ,O,X,X,O,X,X,X,X,O,X,X
IJSOTZL,O,X,X,O,X,O,O,X,O,X,X
IJSOLTZ,X,X,O,O,X,X,X,X,O,X,X
IJSOLZT,O,X,O,O,X,O,O,X,O,X,X
IJSOZTL,O,X,O,O,X,O,O,X,X,X,O
IJSOZLT,O,X,O,O,X,O,O,X,X,X,X
IJZTLSO,O,O,O,O,X,X,O,O,X,O,X
IJZTLOS,O,O,O,O,X,X,X,O,X,X,O
IJZTSLO,O,O,O,O,X,X,O,O,X,O,X
IJZTSOL,O,O,O,O,X,X,O,O,X,O,O
IJZTOLS,O,O,O,O,X,O,X,O,X,X,O
IJZTOSL,O,O,O,O,X,O,O,O,X,O,O
IJZLTSO,O,O,O,O,X,X,O,X,X,O,X
IJZLTOS,O,O,O,O,X,X,X,X,X,X,O
IJZLSTO,O,O,O,O,X,X,O,O,X,O,X
IJZLSOT,O,O,O,O,X,X,O,O,X,O,X
IJZLOTS,O,X,O,O,X,O,X,X,X,X,O
IJZLOST,O,O,O,O,X,O,X,X,X,X,X
IJZSTLO,O,O,O,O,X,X,O,O,X,O,X
IJZSTOL,O,O,O,O,X,X,O,O,X,O,O
IJZSLTO,O,O,O,O,X,X,O,O,X,O,X
IJZSLOT,O,O,O,O,X,X,O,O,X,O,X
IJZSOTL,O,O,O,O,X,O,O,O,X,O,O
IJZSOLT,O,O,O,O,X,O,O,O,X,O,X
IJZOTLS,O,O,O,O,X,O,X,X,X,X,O
IJZOTSL,O,O,O,O,X,O,O,X,X,O,O
IJZOLTS,O,X,O,O,X,O,X,X,X,X,O
IJZOLST,O,O,O,O,X,O,X,X,X,X,X
IJZOSTL,O,O,O,O,X,O,O,X,X,O,O
IJZOSLT,O,O,O,O,X,O,O,X,X,O,X
IJOTLSZ,O,X,O,O,O,X,X,X,X,X,X
IJOTLZS,O,O,O,O,O,X,X,X,X,X,X
IJOTSLZ,O,X,X,O,O,X,X,X,X,X,X
IJOTSZL,O,X,X,O,O,O,X,X,X,X,X
IJOTZLS,O,O,O,O,O,O,X,X,X,X,O
IJOTZSL,O,O,O,O,O,O,O,X,X,O,O
IJOLTSZ,O,X,O,O,O,X,X,X,X,X,X
IJOLTZS,O,X,O,O,O,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,O,X,X,X,X,X,X
IJOLSZT,O,X,O,O,O,O,X,X,X,X,X
IJOLZTS,O,X,O,O,O,O,X,X,X,X,O
IJOLZST,O,O,O,O,O,O,X,X,X,X,X
IJOSTLZ,O,X,X,O,O,X,X,X,O,X,X
IJOSTZL,O,X,X,O,O,O,O,X,O,X,X
IJOSLTZ,X,X,O,O,O,X,X,X,O,X,X
IJOSLZT,O,X,O,O,O,O,O,X,O,X,X
IJOSZTL,O,X,O,O,O,O,O,X,X,X,O
IJOSZLT,O,X,O,O,O,O,O,X,X,X,X
IJOZTLS,O,O,O,O,O,O,X,X,X,X,O
IJOZTSL,O,O,O,O,O,O,O,X,X,O,O
IJOZLTS,O,X,O,O,O,O,X,X,X,X,O
IJOZLST,O,O,O,O,O,O,X,X,X,X,X
IJOZSTL,O,O,O,O,O,O,O,X,X,O,O
IJOZSLT,O,O,O,O,O,O,O,X,X,O,X
ISTLJZO,X,X,X,O,X,X,X,X,O,X,X
ISTLJOZ,X,O,X,O,X,X,X,X,O,X,X
ISTLZJO,X,O,X,O,X,X,X,X,O,X,X
ISTLZOJ,X,O,X,O,X,X,X,X,O,X,X
ISTLOJZ,X,O,X,O,X,X,X,X,O,X,X
ISTLOZJ,X,O,X,O,X,X,X,X,O,X,X
ISTJLZO,X,X,X,O,X,X,X,X,O,X,X
ISTJLOZ,X,O,X,O,X,X,X,X,O,X,X
ISTJZLO,X,X,X,O,X,X,X,X,O,X,X
ISTJZOL,X,X,X,O,X,X,X,X,O,X,X
ISTJOLZ,X,O,X,O,X,X,X,X,O,X,X
ISTJOZL,X,X,X,O,X,X,X,X,O,X,X
ISTZLJO,X,O,X,O,X,X,X,X,O,X,X
ISTZLOJ,X,O,X,O,X,X,X,X,O,X,X
ISTZJLO,X,O,X,O,X,X,X,X,O,X,X
ISTZJOL,X,O,X,O,X,X,X,X,O,X,X
ISTZOLJ,X,O,X,O,X,X,X,X,O,X,X
ISTZOJL,X,O,X,O,X,X,X,X,O,X,X
ISTOLJZ,X,O,X,O,X,X,X,X,O,X,X
ISTOLZJ,X,O,X,O,X,X,X,X,O,X,X
ISTOJLZ,X,O,X,O,X,X,X,X,O,X,X
ISTOJZL,X,X,X,O,X,X,X,X,O,X,X
ISTOZLJ,X,O,X,O,X,X,X,X,O,X,X
ISTOZJL,X,O,X,O,X,X,X,X,O,X,X
ISLTJZO,X,X,O,O,X,X,X,X,O,X,X
ISLTJOZ,X,X,O,O,X,X,X,X,O,X,X
ISLTZJO,X,X,O,O,X,X,X,X,O,X,X
ISLTZOJ,X,X,O,O,X,X,X,X,O,X,X
ISLTOJZ,X,X,O,O,X,X,X,X,O,X,X
ISLTOZJ,X,X,O,O,X,X,X,X,O,X,X
ISLJTZO,X,X,O,O,X,X,X,X,O,X,X
ISLJTOZ,X,X,O,O,X,X,X,X,O,X,X
ISLJZTO,X,X,O,O,X,X,X,X,X,X,X
ISLJZOT,X,X,O,O,X,X,X,X,O,X,X
ISLJOTZ,X,X,O,O,X,X,X,X,O,X,X
ISLJOZT,X,X,O,O,X,X,X,X,O,X,X
ISLZTJO,X,X,O,O,X,X,X,X,X,X,X
ISLZTOJ,X,O,O,O,X,X,X,X,X,X,X
ISLZJTO,X,O,O,O,X,X,X,X,X,X,X
ISLZJOT,X,O,O,O,X,X,X,X,O,X,X
ISLZOTJ,X,O,O,O,X,X,X,X,O,X,X
ISLZOJT,X,O,O,O,X,X,X,X,O,X,X
ISLOTJZ,X,X,O,O,X,X,X,X,O,X,X
ISLOTZJ,X,X,O,O,X,X,X,X,O,X,X
ISLOJTZ,X,X,O,O,X,X,X,X,O,X,X
ISLOJZT,X,X,O,O,X,X,X,X,O,X,X
ISLOZTJ,X,O,O,O,X,X,X,X,O,X,X
ISLOZJT,X,O,O,O,X,X,X,X,O,X,X
ISJTLZO,X,X,X,O,X,X,X,X,O,X,X
ISJTLOZ,X,X,X,O,X,X,X,X,O,X,X
ISJTZLO,X,X,X,O,X,X,O,X,O,X,X
ISJTZOL,X,X,X,O,X,X,O,X,O,X,X
ISJTOLZ,X,X,X,O,X,X,X,X,O,X,X
ISJTOZL,X,X,X,O,X,O,O,X,O,X,X
ISJLTZO,X,X,O,O,X,X,X,X,O,X,X
ISJLTOZ,X,X,O,O,X,X,X,X,O,X,X
ISJLZTO,X,X,O,O,X,X,O,X,X,X,X
ISJLZOT,X,X,O,O,X,X,O,X,O,X,X
ISJLOTZ,X,X,O,O,X,X,X,X,O,X,X
ISJLOZT,X,X,O,O,X,O,O,X,O,X,X
ISJZTLO,X,X,O,O,X,X,O,X,X,X,X
ISJZTOL,X,X,O,O,X,X,O,X,X,X,X
ISJZLTO,X,X,O,O,X,X,O,X,X,X,X
ISJZLOT,X,X,O,O,X,X,O,X,X,X,X
ISJZOTL,X,X,O,O,X,O,O,X,X,X,X
ISJZOLT,X,X,O,O,X,O,O,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,X,O,X,X
ISJOTZL,X,X,X,O,X,O,O,X,O,X,X
ISJOLTZ,X,X,O,O,X,X,X,X,O,X,X
ISJOLZT,X,X,O,O,X,O,O,X,O,X,X
ISJOZTL,X,X,O,O,X,O,O,X,X,X,X
ISJOZLT,X,X,O,O,X,O,O,X,X,X,X
ISZTLJO,X,O,O,O,X,X,X,X,X,X,X
ISZTLOJ,X,O,O,O,X,X,X,X,X,X,X
ISZTJLO,X,O,O,O,X,X,O,X,X,X,X
ISZTJOL,X,O,O,O,X,X,O,X,X,X,X
ISZTOLJ,X,O,O,O,X,X,X,X,X,X,X
ISZTOJL,X,O,O,O,X,X,O,X,X,X,X
ISZLTJO,X,O,O,O,X,X,X,X,X,X,X
ISZLTOJ,X,O,O,O,X,X,X,X,X,X,X
ISZLJTO,X,O,O,O,X,X,X,X,X,X,X
ISZLJOT,X,O,O,O,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,O,X,X,X,X,X,X,X
ISZLOJT,X,O,O,O,X,X,X,X,X,X,X
ISZJTLO,X,O,O,O,X,X,O,X,X,X,X
ISZJTOL,X,O,O,O,X,X,O,X,X,X,X
ISZJLTO,X,O,O,O,X,X,O,X,X,X,X
ISZJLOT,X,O,O,O,X,X,O,X,X,X,X
ISZJOTL,X,O,O,O,X,X,O,X,X,X,X
ISZJOLT,X,O,O,O,X,X,O,X,X,X,X
ISZOTLJ,X,O,O,O,X,X,X,X,X,X,X
ISZOTJL,X,O,O,O,X,X,O,X,X,X,X
ISZOLTJ,X,O,O,O,X,X,X,X,X,X,X
ISZOLJT,X,O,O,O,X,X,X,X,X,X,X
ISZOJTL,X,O,O,O,X,X,O,X,X,X,X
ISZOJLT,X,O,O,O,X,X,O,X,X,X,X
ISOTLJZ,X,O,X,O,X,X,X,X,O,X,X
ISOTLZJ,X,O,X,O,X,X,X,X,O,X,X
ISOTJLZ,X,O,X,O,X,X,X,X,O,X,X
ISOTJZL,X,X,X,O,X,X,X,X,O,X,X
ISOTZLJ,X,O,X,O,X,X,X,X,O,X,X
ISOTZJL,X,O,X,O,X,X,X,X,O,X,X
ISOLTJZ,X,X,O,O,X,X,X,X,O,X,X
ISOLTZJ,X,X,O,O,X,X,X,X,O,X,X
ISOLJTZ,X,X,O,O,X,X,X,X,O,X,X
ISOLJZT,X,X,O,O,X,X,X,X,O,X,X
ISOLZTJ,X,O,O,O,X,X,X,X,O,X,X
ISOLZJT,X,O,O,O,X,X,X,X,O,X,X
ISOJTLZ,X,X,X,O,X,X,X,X,O,X,X
ISOJTZL,X,X,X,O,X,O,O,X,O,X,X
ISOJLTZ,X,X,O,O,X,X,X,X,O,X,X
ISOJLZT,X,X,O,O,X,O,O,X,O,X,X
ISOJZTL,X,X,O,O,X,O,O,X,X,X,X
ISOJZLT,X,X,O,O,X,O,O,X,X,X,X
ISOZTLJ,X,O,O,O,X,X,X,X,X,X,X
ISOZTJL,X,O,O,O,X,O,O,X,X,X,X
ISOZLTJ,X,O,O,O,X,X,X,X,X,X,X
ISOZLJT,X,O,O,O,X,X,X,X,X,X,X
ISOZJTL,X,O,O,O,X,O,O,X,X,X,X
ISOZJLT,X,O,O,O,X,O,O,X,X,X,X
IZTLJSO,O,O,O,O,X,X,X,O,X,X,X
IZTLJOS,O,O,O,O,X,X,X,O,X,X,X
IZTLSJO,O,O,O,O,X,X,X,O,X,X,X
IZTLSOJ,O,O,O,O,X,X,X,O,X,X,X
IZTLOJS,O,X,O,O,X,X,X,X,X,X,X
IZTLOSJ,O,O,O,O,X,X,X,O,X,X,X
IZTJLSO,O,O,O,O,X,X,O,O,X,O,X
IZTJLOS,O,O,O,O,X,X,X,O,X,X,O
IZTJSLO,O,O,O,O,X,X,O,O,X,O,X
IZTJSOL,O,O,O,O,X,X,O,O,X,O,O
IZTJOLS,O,O,O,O,X,X,X,O,X,X,O
IZTJOSL,O,O,O,O,X,X,O,O,X,O,O
IZTSLJO,O,O,O,O,X,X,X,O,X,O,X
IZTSLOJ,O,O,O,O,X,X,X,O,X,X,X
IZTSJLO,O,O,O,O,X,X,O,O,X,O,X
IZTSJOL,O,O,O,O,X,X,O,O,X,O,X
IZTSOLJ,O,O,O,O,X,X,X,O,X,X,X
IZTSOJL,O,O,O,O,X,X,O,X,X,X,X
IZTOLJS,O,X,O,O,X,X,X,X,X,X,X
IZTOLSJ,O,O,O,O,X,X,X,O,X,X,X
IZTOJLS,O,X,O,O,X,X,X,X,X,X,O
IZTOJSL,O,X,O,O,X,X,X,X,X,X,O
IZTOSLJ,O,O,O,O,X,X,X,O,X,X,X
IZTOSJL,O,O,O,O,X,X,X,X,X,X,X
IZLTJSO,X,O,O,O,X,X,X,X,X,X,X
IZLTJOS,X,X,O,O,X,X,X,X,X,X,X
IZLTSJO,X,O,O,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,O,O,X,X,X,X,X,X,X
IZLTOJS,X,X,O,O,X,X,X,X,X,X,X
IZLTOSJ,X,O,O,O,X,X,X,X,X,X,X
IZLJTSO,O,O,O,O,X,X,X,X,X,X,X
IZLJTOS,X,X,O,O,X,X,X,X,X,X,X
