sequence,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFXhB5oBzmBatBln?BUrB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFThB5oBfrB8rBat?BlsB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF0hB5oBzlBatBln?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF8lBfnB5oBatBln?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LexAJvhF0iBTlB2rBFtB6t?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhF0hBxiByqB3rBFt?BGtB,v115@9gB8HeB8HeB8HeD8BeB8LeKFJvhF0hBxiBWtBlrBfr?BTtB,v115@9gB8HeB8HeB8HeD8BeB8LeiAJvhFRiB1qBXnBGtBct?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhFfnBliBxqBGtBKr?BctB,v115@9gB8HeB8HeB8HeD8BeB8LelBJvhFilBxnB0lBWtB3r?BTtB
TISOJZL,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,X,X,X,X,X
TIZJOSL,O,X,X,X,O,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,O,X,O,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,X,X,X,X
TIZOJSL,O,X,X,X,O,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,O,X,X,X,X,X
TIOLJZS,X,X,O,X,O,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,O,X,X,X,X,X,X
TIOLZJS,X,X,O,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,O,X,X,X,X,X
TIOJLZS,X,X,O,X,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,X,X,X,X,X
TIOJSZL,X,X,X,X,O,X,X,X,X,X
TIOJZLS,X,X,O,X,O,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,X,X,O,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,O,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,O,O,O,X,X,X,X,X
TIOZJSL,X,X,X,O,O,X,X,X,X,X
TIOZSLJ,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,O,X,X,X,X,O,O,X,X
TLIJSOZ,X,X,X,X,X,X,O,X,X,X
TLIJZSO,X,O,X,O,X,X,O,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,X,X,X,O,X,X,X
TLIJOZS,X,X,O,X,X,X,O,X,X,X
TLISJZO,X,O,X,X,X,X,X,O,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,O,X,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,O,X,X,X,X,X,X
TLIOZJS,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,X,O,O,X,X
TLJISOZ,X,X,X,X,X,X,O,X,X,X
TLJIZSO,X,O,X,O,X,X,O,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,X,O,X,X,X
TLJSIZO,X,O,X,X,X,X,O,O,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,X,X
TLJSZIO,X,O,X,X,X,X,O,O,X,X
TLJSZOI,X,O,X,X,X,X,O,O,X,X
TLJSOIZ,X,X,X,X,X,X,O,O,X,X
TLJSOZI,X,X,X,X,X,X,O,O,X,X
TLJZISO,X,O,X,O,X,X,O,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,O,X,X,O,O,X,X
TLJZSOI,X,O,X,X,X,X,O,O,X,X
TLJZOIS,O,X,X,X,O,X,O,X,X,X
TLJZOSI,O,X,X,X,O,X,O,X,X,X
TLJOISZ,O,X,O,X,O,X,O,X,X,X
TLJOIZS,X,X,O,X,O,X,O,X,X,X
TLJOSIZ,O,X,O,X,O,X,O,X,X,X
TLJOSZI,X,X,O,X,O,X,O,O,X,X
TLJOZIS,X,X,O,X,O,X,O,X,X,X
TLJOZSI,X,X,X,X,O,X,O,X,X,X
TLSIJZO,X,O,X,X,X,O,X,O,X,O
TLSIJOZ,X,X,X,X,X,O,X,X,X,O
TLSIZJO,X,O,X,O,X,O,X,X,X,O
TLSIZOJ,X,O,O,X,X,O,X,X,X,O
TLSIOJZ,X,X,O,X,X,O,X,X,X,O
TLSIOZJ,X,X,O,X,X,O,X,X,X,O
TLSJIZO,X,O,X,X,X,O,O,O,X,O
TLSJIOZ,X,X,X,X,X,O,O,X,X,O
TLSJZIO,X,O,X,X,X,O,O,O,X,X
TLSJZOI,X,O,X,X,X,O,O,O,X,X
TLSJOIZ,X,X,X,X,X,O,O,O,X,X
TLSJOZI,X,X,X,X,X,O,O,O,X,X
TLSZIJO,X,O,X,O,X,O,X,X,X,O
TLSZIOJ,X,O,O,X,X,O,X,X,X,O
TLSZJIO,X,O,X,O,X,O,X,O,X,X
TLSZJOI,X,O,X,X,X,O,X,O,X,X
TLSZOIJ,X,O,O,X,X,O,X,X,X,X
TLSZOJI,X,O,O,X,X,O,X,X,X,X
TLSOIJZ,X,X,O,X,X,O,X,X,X,O
TLSOIZJ,X,X,O,X,X,O,X,X,X,O
TLSOJIZ,X,X,O,X,X,O,X,X,X,X
TLSOJZI,X,X,O,X,X,O,X,O,X,X
TLSOZIJ,X,X,O,X,X,O,X,X,X,X
TLSOZJI,X,X,O,X,X,O,X,X,X,X
TLZIJSO,X,O,X,O,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X
TLZISJO,X,O,X,O,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,X,X,O,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,X,O,X,X,O,O,X,X
TLZJSOI,X,O,X,X,X,X,O,O,X,X
TLZJOIS,O,X,X,X,O,X,O,X,X,X
TLZJOSI,O,X,X,X,O,X,O,X,X,X
TLZSIJO,X,O,X,O,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,O,X,X,X,O,X,X
TLZSJOI,X,O,X,X,X,X,X,O,X,X
TLZSOIJ,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,O,X,X,X,X,X
TLZOJSI,O,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,O,X,X,X,X,X
TLOIJZS,X,X,O,X,O,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X
TLOISZJ,X,X,O,O,X,X,X,X,X,X
TLOIZJS,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,O,X,O,X,O,X,X,X
TLOJIZS,X,X,O,X,O,X,O,X,X,X
TLOJSIZ,O,X,O,X,O,X,O,X,X,X
TLOJSZI,X,X,O,X,O,X,O,O,X,X
TLOJZIS,X,X,O,X,O,X,O,X,X,X
TLOJZSI,X,X,X,X,O,X,O,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,X,X,X
TLOSIZJ,X,X,O,O,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,O,X,X
TLOSZIJ,X,X,O,O,X,X,X,X,X,X
TLOSZJI,X,X,O,O,X,X,X,X,X,X
TLOZIJS,X,X,O,O,X,X,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,X,X
TLOZJIS,X,X,O,O,O,X,X,X,X,X
TLOZJSI,X,X,X,O,O,X,X,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X,X,X
TLOZSJI,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,O,O,X,X
TJILSOZ,X,X,X,X,X,X,O,X,X,X
TJILZSO,X,O,X,O,X,X,O,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,O,X,X,X,O,X,X,X
TJILOZS,X,X,O,X,X,X,O,X,X,X
TJISLZO,X,O,X,X,X,X,O,O,O,X
TJISLOZ,X,X,X,X,X,X,O,X,O,X
TJISZLO,X,O,X,X,X,X,X,O,O,X
TJISZOL,X,O,X,X,X,X,X,O,O,X
TJISOLZ,X,X,X,X,X,X,X,O,X,X
TJISOZL,X,X,X,X,X,X,X,O,X,X
TJIZLSO,X,O,X,O,X,X,O,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X,X,X
TJIZSLO,X,O,X,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X,X,X
TJIOLSZ,O,X,O,X,O,X,O,X,X,X
TJIOLZS,X,X,O,X,O,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,X,X,X,X,X
TJIOSZL,X,X,X,X,O,X,X,X,X,X
TJIOZLS,X,X,O,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,X,X,X,X
TJLISZO,X,O,X,X,X,X,O,O,X,X
TJLISOZ,X,X,X,X,X,X,O,X,X,X
TJLIZSO,X,O,X,O,X,X,O,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,X,O,X,X,X
TJLSIZO,X,O,X,X,X,X,O,O,X,X
TJLSIOZ,X,X,X,X,X,X,O,X,X,X
TJLSZIO,X,O,X,X,X,X,O,O,X,X
TJLSZOI,X,O,X,X,X,X,O,O,X,X
TJLSOIZ,X,X,X,X,X,X,O,O,X,X
TJLSOZI,X,X,X,X,X,X,O,O,X,X
TJLZISO,X,O,X,O,X,X,O,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X
TJLZSIO,X,O,X,O,X,X,O,O,X,X
TJLZSOI,X,O,X,X,X,X,O,O,X,X
TJLZOIS,O,X,X,X,O,X,O,X,X,X
TJLZOSI,O,X,X,X,O,X,O,X,X,X
TJLOISZ,O,X,O,X,O,X,O,X,X,X
TJLOIZS,X,X,O,X,O,X,O,X,X,X
TJLOSIZ,O,X,O,X,O,X,O,X,X,X
TJLOSZI,X,X,O,X,O,X,O,O,X,X
TJLOZIS,X,X,O,X,O,X,O,X,X,X
TJLOZSI,X,X,X,X,O,X,O,X,X,X
TJSILZO,X,O,X,X,X,X,O,O,O,X
TJSILOZ,X,X,X,X,X,X,O,X,O,X
TJSIZLO,X,O,X,X,X,X,X,O,O,X
TJSIZOL,X,O,X,X,X,X,X,O,O,X
TJSIOLZ,X,X,X,X,X,X,X,O,X,X
TJSIOZL,X,X,X,X,X,X,X,O,X,X
TJSLIZO,X,O,X,X,X,O,O,O,X,X
TJSLIOZ,X,X,X,X,X,O,O,X,X,X
TJSLZIO,X,O,X,X,X,O,O,O,X,X
TJSLZOI,X,O,X,X,X,O,O,O,X,X
TJSLOIZ,X,X,X,X,X,O,O,O,X,X
TJSLOZI,X,X,X,X,X,O,O,O,X,X
TJSZILO,X,O,X,X,X,O,X,O,X,X
TJSZIOL,X,O,X,X,X,X,X,O,X,X
TJSZLIO,X,O,X,X,X,O,X,O,X,X
TJSZLOI,X,O,X,X,X,O,X,O,X,X
TJSZOIL,X,O,X,X,O,X,X,O,X,X
TJSZOLI,X,O,X,X,O,X,X,O,X,X
TJSOILZ,X,X,X,X,O,X,X,O,X,X
TJSOIZL,X,X,X,X,O,X,X,O,X,X
TJSOLIZ,X,X,X,X,O,X,X,O,X,X
TJSOLZI,X,X,X,X,O,X,X,O,X,X
TJSOZIL,X,X,X,X,O,X,X,O,X,X
TJSOZLI,X,X,X,X,O,X,X,O,X,X
TJZILSO,X,O,X,O,X,X,O,X,X,X
TJZILOS,O,X,X,X,X,X,X,X,X,X
TJZISLO,X,O,X,O,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X,X,X
TJZIOLS,O,X,X,X,O,X,X,X,X,X
TJZIOSL,O,X,X,X,O,X,X,X,X,X
TJZLISO,X,O,X,O,X,X,O,X,X,X
TJZLIOS,O,X,X,X,X,X,X,X,X,X
TJZLSIO,X,O,X,O,X,X,O,O,X,X
TJZLSOI,X,O,X,X,X,X,O,O,X,X
TJZLOIS,O,X,X,X,O,X,O,X,X,X
TJZLOSI,O,X,X,X,O,X,O,X,X,X
TJZSILO,X,O,X,O,X,X,X,O,X,X
TJZSIOL,O,O,X,X,X,X,X,O,X,X
TJZSLIO,X,O,X,O,X,X,X,O,X,X
TJZSLOI,X,O,X,X,X,X,X,O,X,X
TJZSOIL,O,O,X,X,O,X,X,O,X,X
TJZSOLI,O,O,X,X,O,X,X,O,X,X
TJZOILS,O,X,X,X,O,X,X,X,X,X
TJZOISL,O,X,X,X,O,X,X,X,X,X
TJZOLIS,O,X,X,X,O,X,X,X,X,X
TJZOLSI,O,X,X,X,O,X,X,X,X,X
TJZOSIL,O,X,X,X,O,X,X,X,X,X
TJZOSLI,O,X,X,X,O,X,X,X,X,X
TJOILSZ,O,X,O,X,O,X,O,X,X,X
TJOILZS,X,X,O,X,O,X,X,X,X,X
TJOISLZ,O,X,X,X,O,X,X,X,X,X
TJOISZL,X,X,X,X,O,X,X,X,X,X
TJOIZLS,X,X,O,X,O,X,X,X,X,X
TJOIZSL,X,X,X,X,O,X,X,X,X,X
TJOLISZ,O,X,O,X,O,X,O,X,X,X
TJOLIZS,X,X,O,X,O,X,O,X,X,X
TJOLSIZ,O,X,O,X,O,X,O,X,X,X
TJOLSZI,X,X,O,X,O,X,O,O,X,X
TJOLZIS,X,X,O,X,O,X,O,X,X,X
TJOLZSI,X,X,X,X,O,X,O,X,X,X
TJOSILZ,O,X,X,X,O,X,X,O,X,X
TJOSIZL,X,X,X,X,O,X,X,O,X,X
TJOSLIZ,O,X,X,X,O,X,X,O,X,X
TJOSLZI,X,X,X,X,O,X,X,O,X,X
TJOSZIL,X,X,X,X,O,X,X,O,X,X
TJOSZLI,X,X,X,X,O,X,X,O,X,X
TJOZILS,X,X,O,X,O,X,X,X,X,X
TJOZISL,X,X,X,X,O,X,X,X,X,X
TJOZLIS,X,X,O,X,O,X,X,X,X,X
TJOZLSI,X,X,X,X,O,X,X,X,X,X
TJOZSIL,X,X,X,X,O,X,X,X,X,X
TJOZSLI,X,X,X,X,O,X,X,X,X,X
TSILJZO,X,O,X,X,X,O,X,O,X,O
TSILJOZ,X,X,X,X,X,O,X,X,X,O
TSILZJO,X,O,X,O,X,O,X,X,X,O
TSILZOJ,X,O,O,X,X,O,X,X,X,O
TSILOJZ,X,X,O,X,X,O,X,X,X,O
TSILOZJ,X,X,O,X,X,O,X,X,X,O
TSIJLZO,X,O,X,X,X,X,X,O,O,O
TSIJLOZ,X,X,X,X,X,X,X,X,O,O
TSIJZLO,X,O,X,X,X,X,X,O,O,X
TSIJZOL,X,O,X,X,X,X,X,O,O,X
TSIJOLZ,X,X,X,X,X,X,X,O,X,X
TSIJOZL,X,X,X,X,X,X,X,O,X,X
TSIZLJO,X,O,X,O,X,O,X,X,X,O
TSIZLOJ,X,O,O,X,X,O,X,X,X,O
TSIZJLO,X,O,X,O,X,O,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X,X,X
TSIZOLJ,X,O,O,X,X,O,X,X,X,X
TSIZOJL,X,O,O,X,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,X,X,X,X,O
TSIOLZJ,X,X,O,X,X,X,X,X,X,O
TSIOJLZ,X,X,O,X,X,X,X,X,X,X
TSIOJZL,X,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,X,O,X,X,X,X,X,X,X
TSIOZJL,X,X,O,X,X,X,X,X,X,X
TSLIJZO,X,O,X,X,X,O,X,O,X,O
TSLIJOZ,X,X,X,X,X,O,X,X,X,O
TSLIZJO,X,O,X,O,X,O,X,X,X,O
TSLIZOJ,X,O,O,X,X,O,X,X,X,O
TSLIOJZ,X,X,O,X,X,O,X,X,X,O
TSLIOZJ,X,X,O,X,X,O,X,X,X,O
TSLJIZO,X,O,X,X,X,O,O,O,X,O
TSLJIOZ,X,X,X,X,X,O,O,X,X,O
TSLJZIO,X,O,X,X,X,O,O,O,X,X
TSLJZOI,X,O,X,X,X,O,O,O,X,X
TSLJOIZ,X,X,X,X,X,O,O,O,X,X
TSLJOZI,X,X,X,X,X,O,O,O,X,X
TSLZIJO,X,O,X,O,X,O,X,X,X,O
TSLZIOJ,X,O,O,X,X,O,X,X,X,O
TSLZJIO,X,O,X,O,X,O,X,O,X,X
TSLZJOI,X,O,X,X,X,O,X,O,X,X
TSLZOIJ,X,O,O,X,X,O,X,X,X,X
TSLZOJI,X,O,O,X,X,O,X,X,X,X
TSLOIJZ,X,X,O,X,X,O,X,X,X,O
TSLOIZJ,X,X,O,X,X,O,X,X,X,O
TSLOJIZ,X,X,O,X,X,O,X,X,X,X
TSLOJZI,X,X,O,X,X,O,X,O,X,X
TSLOZIJ,X,X,O,X,X,O,X,X,X,X
TSLOZJI,X,X,O,X,X,O,X,X,X,X
TSJILZO,X,O,X,X,X,X,O,O,O,O
TSJILOZ,X,X,X,X,X,X,O,X,O,O
TSJIZLO,X,O,X,X,X,X,X,O,O,X
TSJIZOL,X,O,X,X,X,X,X,O,O,X
TSJIOLZ,X,X,X,X,X,X,X,O,X,X
TSJIOZL,X,X,X,X,X,X,X,O,X,X
TSJLIZO,X,O,X,X,X,O,O,O,X,O
TSJLIOZ,X,X,X,X,X,O,O,X,X,O
TSJLZIO,X,O,X,X,X,O,O,O,X,X
TSJLZOI,X,O,X,X,X,O,O,O,X,X
TSJLOIZ,X,X,X,X,X,O,O,O,X,X
TSJLOZI,X,X,X,X,X,O,O,O,X,X
TSJZILO,X,O,X,X,X,O,X,O,X,X
TSJZIOL,X,O,X,X,X,X,X,O,X,X
TSJZLIO,X,O,X,X,X,O,X,O,X,X
TSJZLOI,X,O,X,X,X,O,X,O,X,X
TSJZOIL,X,O,X,X,O,X,X,O,X,X
TSJZOLI,X,O,X,X,O,X,X,O,X,X
TSJOILZ,X,X,X,X,O,X,X,O,X,X
TSJOIZL,X,X,X,X,O,X,X,O,X,X
TSJOLIZ,X,X,X,X,O,X,X,O,X,X
TSJOLZI,X,X,X,X,O,X,X,O,X,X
TSJOZIL,X,X,X,X,O,X,X,O,X,X
TSJOZLI,X,X,X,X,O,X,X,O,X,X
TSZILJO,X,O,X,O,X,O,X,X,X,O
TSZILOJ,X,O,O,X,X,O,X,X,X,O
TSZIJLO,X,O,X,O,X,O,X,X,X,X
TSZIJOL,X,O,X,X,X,X,X,X,X,X
TSZIOLJ,X,O,O,X,X,O,X,X,X,X
TSZIOJL,X,O,O,X,X,X,X,X,X,X
TSZLIJO,X,O,X,O,X,O,X,X,X,O
TSZLIOJ,X,O,O,X,X,O,X,X,X,O
TSZLJIO,X,O,X,O,X,O,X,O,X,X
TSZLJOI,X,O,X,X,X,O,X,O,X,X
TSZLOIJ,X,O,O,X,X,O,X,X,X,X
TSZLOJI,X,O,O,X,X,O,X,X,X,X
TSZJILO,X,O,X,O,X,O,X,O,X,X
TSZJIOL,X,O,X,X,X,X,X,O,X,X
TSZJLIO,X,O,X,O,X,O,X,O,X,X
TSZJLOI,X,O,X,X,X,O,X,O,X,X
TSZJOIL,X,O,X,X,O,X,X,O,X,X
TSZJOLI,X,O,X,X,O,X,X,O,X,X
TSZOILJ,X,O,O,X,X,O,X,X,X,X
TSZOIJL,X,O,O,X,X,X,X,X,X,X
TSZOLIJ,X,O,O,X,X,O,X,X,X,X
TSZOLJI,X,O,O,X,X,O,X,X,X,X
TSZOJIL,X,O,O,X,O,X,X,X,X,X
TSZOJLI,X,O,O,X,O,X,X,X,X,X
TSOILJZ,X,X,O,X,X,X,X,X,X,O
TSOILZJ,X,X,O,X,X,X,X,X,X,O
TSOIJLZ,X,X,O,X,O,X,X,X,X,X
TSOIJZL,X,X,O,X,O,X,X,X,X,X
TSOIZLJ,X,X,O,X,X,X,X,X,X,X
TSOIZJL,X,X,O,X,X,X,X,X,X,X
