sequence,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFzfBFhB2nBSqBcr?BXsB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFCgBThB2nBXlBUr?BFsB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFGgBihBzkBfsBln?BUrB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFUgBamBzhBWqB3n?B1wB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFqkBmgBzhB0lB3n?B1wB,v115@EhC8IeA8HeB8AeC8CeC8JeTAJvhFihBOpBRnB0kBFr?BXsB,v115@EhC8IeA8HeB8AeC8CeC8JeTAJvhFihB0kBRnBOpBFr?BXsB
TOILSJZ,X,O,O,O,O,O,X
TOILSZJ,X,O,O,O,O,X,O
TOILZJS,X,X,O,O,O,O,O
TOILZSJ,X,X,O,X,O,X,O
TOIJLSZ,X,O,O,O,X,O,X
TOIJLZS,X,X,O,O,O,O,O
TOIJSLZ,X,O,O,O,X,O,X
TOIJSZL,X,O,O,O,X,X,X
TOIJZLS,X,O,O,O,X,O,O
TOIJZSL,X,O,O,O,X,X,X
TOISLJZ,X,O,O,O,O,O,X
TOISLZJ,X,O,O,O,O,X,O
TOISJLZ,X,O,O,O,O,O,X
TOISJZL,X,O,O,O,X,X,X
TOISZLJ,X,O,O,O,O,X,O
TOISZJL,X,O,O,O,X,X,X
TOIZLJS,X,O,O,O,O,O,O
TOIZLSJ,X,O,O,X,O,X,O
TOIZJLS,X,O,O,O,O,O,O
TOIZJSL,X,O,O,O,X,X,X
TOIZSLJ,X,O,O,X,X,X,O
TOIZSJL,X,O,O,X,X,X,X
TOLIJSZ,X,O,O,O,X,O,X
TOLIJZS,X,X,O,O,O,O,O
TOLISJZ,X,O,O,O,O,O,X
TOLISZJ,X,O,O,O,O,X,O
TOLIZJS,X,X,O,O,O,O,O
TOLIZSJ,X,X,O,X,O,X,O
TOLJISZ,X,O,O,O,X,O,X
TOLJIZS,X,X,O,O,O,O,X
TOLJSIZ,X,O,O,O,X,X,X
TOLJSZI,X,O,O,O,X,X,X
TOLJZIS,X,X,O,O,O,X,X
TOLJZSI,X,X,O,O,O,X,X
TOLSIJZ,X,O,O,O,O,X,X
TOLSIZJ,X,O,O,O,O,X,X
TOLSJIZ,X,O,O,O,O,X,X
TOLSJZI,X,O,O,O,O,X,X
TOLSZIJ,X,O,O,O,O,X,X
TOLSZJI,X,O,O,O,O,X,X
TOLZIJS,X,X,O,O,O,X,O
TOLZISJ,X,X,O,X,O,X,O
TOLZJIS,X,X,O,O,O,X,X
TOLZJSI,X,X,O,O,O,X,X
TOLZSIJ,X,X,O,X,O,X,X
TOLZSJI,X,X,O,X,O,X,X
TOJILSZ,X,O,O,O,X,O,X
TOJILZS,X,X,O,O,O,O,O
TOJISLZ,X,O,O,O,X,O,X
TOJISZL,X,O,O,O,X,X,X
TOJIZLS,X,O,O,O,X,O,O
TOJIZSL,X,O,O,O,X,X,X
TOJLISZ,X,O,O,O,X,O,X
TOJLIZS,X,X,O,O,O,O,X
TOJLSIZ,X,O,O,O,X,X,X
TOJLSZI,X,O,O,O,X,X,X
TOJLZIS,X,X,O,O,O,X,X
TOJLZSI,X,X,O,O,O,X,X
TOJSILZ,X,O,O,O,X,O,X
TOJSIZL,X,O,O,O,X,O,X
TOJSLIZ,X,O,O,O,X,X,X
TOJSLZI,X,O,O,O,X,X,X
TOJSZIL,X,O,O,O,X,X,X
TOJSZLI,X,O,O,O,X,X,X
TOJZILS,X,O,O,O,O,O,O
TOJZISL,X,O,O,O,X,X,X
TOJZLIS,X,O,O,O,O,X,X
TOJZLSI,X,O,O,O,O,X,X
TOJZSIL,X,O,O,O,X,X,X
TOJZSLI,X,O,O,O,O,X,X
TOSILJZ,X,O,O,O,O,O,O
TOSILZJ,X,O,O,O,O,O,O
TOSIJLZ,X,O,O,O,O,O,O
TOSIJZL,X,O,O,O,X,O,O
TOSIZLJ,X,O,O,O,O,O,O
TOSIZJL,X,O,O,O,O,O,O
TOSLIJZ,X,O,O,O,O,X,X
TOSLIZJ,X,O,O,O,O,X,X
TOSLJIZ,X,O,O,O,O,X,X
TOSLJZI,X,O,O,O,O,X,X
TOSLZIJ,X,O,O,O,O,X,X
TOSLZJI,X,O,O,O,O,X,X
TOSJILZ,X,O,O,O,O,O,X
TOSJIZL,X,O,O,O,X,O,X
TOSJLIZ,X,O,O,O,O,X,X
TOSJLZI,X,O,O,O,O,X,X
TOSJZIL,X,O,O,O,O,X,X
TOSJZLI,X,O,O,O,O,X,X
TOSZILJ,X,O,O,O,O,X,O
TOSZIJL,X,O,O,O,O,X,O
TOSZLIJ,X,O,O,O,O,X,X
TOSZLJI,X,O,O,O,O,X,X
TOSZJIL,X,O,O,O,O,X,X
TOSZJLI,X,O,O,O,O,X,X
TOZILJS,X,O,O,O,O,O,O
TOZILSJ,X,O,O,X,O,X,O
TOZIJLS,X,O,O,O,O,O,O
TOZIJSL,X,O,O,O,X,X,X
TOZISLJ,X,O,O,X,X,X,O
TOZISJL,X,O,O,X,X,X,X
TOZLIJS,X,O,O,O,O,X,O
TOZLISJ,X,O,O,X,O,X,O
TOZLJIS,X,O,O,O,O,X,X
TOZLJSI,X,O,O,O,O,X,X
TOZLSIJ,X,O,O,X,O,X,X
TOZLSJI,X,O,O,X,O,X,X
TOZJILS,X,O,O,O,O,O,O
TOZJISL,X,O,O,O,X,X,X
TOZJLIS,X,O,O,O,O,X,X
TOZJLSI,X,O,O,O,O,X,X
TOZJSIL,X,O,O,O,O,X,X
TOZJSLI,X,O,O,O,O,X,X
TOZSILJ,X,O,O,X,O,X,O
TOZSIJL,X,O,O,X,O,X,O
TOZSLIJ,X,O,O,X,O,X,X
TOZSLJI,X,O,O,X,O,X,X
TOZSJIL,X,O,O,X,O,X,X
TOZSJLI,X,O,O,X,O,X,X
ITLJSZO,O,O,X,O,O,X,X
ITLJSOZ,O,O,X,O,O,O,X
ITLJZSO,O,O,X,O,O,X,X
ITLJZOS,O,O,X,O,O,O,O
ITLJOSZ,O,O,X,O,X,O,X
ITLJOZS,O,X,X,O,O,O,O
ITLSJZO,O,O,X,O,O,X,X
ITLSJOZ,O,O,O,O,O,O,X
ITLSZJO,O,O,X,O,O,X,X
ITLSZOJ,O,O,O,O,O,X,O
ITLSOJZ,O,O,O,O,O,O,X
ITLSOZJ,O,O,O,O,O,X,O
ITLZJSO,O,O,O,O,O,X,X
ITLZJOS,O,O,X,O,O,O,O
ITLZSJO,O,O,O,O,O,X,X
ITLZSOJ,O,O,O,O,O,X,O
ITLZOJS,O,O,O,O,O,O,O
ITLZOSJ,O,O,O,X,O,X,O
ITLOJSZ,O,O,O,O,X,O,X
ITLOJZS,O,X,O,O,O,O,O
ITLOSJZ,O,O,O,O,O,O,X
ITLOSZJ,O,O,O,O,O,X,O
ITLOZJS,O,X,O,O,O,O,O
ITLOZSJ,O,X,O,X,O,X,O
ITJLSZO,O,O,X,O,O,X,X
ITJLSOZ,O,O,X,O,O,O,X
ITJLZSO,O,O,X,O,O,X,X
ITJLZOS,O,O,X,O,O,O,O
ITJLOSZ,O,O,X,O,X,O,X
ITJLOZS,O,X,X,O,O,O,O
ITJSLZO,O,O,X,O,O,O,X
ITJSLOZ,O,O,O,O,O,O,X
ITJSZLO,O,O,X,O,X,O,X
ITJSZOL,O,O,X,O,X,O,X
ITJSOLZ,X,O,O,O,O,O,X
ITJSOZL,X,O,O,O,X,O,X
ITJZLSO,O,O,O,O,X,X,X
ITJZLOS,O,O,X,O,X,O,O
ITJZSLO,O,O,O,O,X,X,X
ITJZSOL,X,O,O,O,X,X,X
ITJZOLS,O,O,O,O,X,O,O
ITJZOSL,X,O,O,O,X,X,X
ITJOLSZ,X,O,O,O,X,O,X
ITJOLZS,X,X,O,O,O,O,O
ITJOSLZ,X,O,O,O,X,O,X
ITJOSZL,X,O,O,O,X,X,X
ITJOZLS,X,O,O,O,X,O,O
ITJOZSL,X,O,O,O,X,X,X
ITSLJZO,O,O,X,O,O,O,O
ITSLJOZ,O,O,O,O,O,O,O
ITSLZJO,O,O,X,O,O,O,O
ITSLZOJ,O,O,O,O,O,O,O
ITSLOJZ,O,O,O,O,O,O,O
ITSLOZJ,O,O,O,O,O,O,O
ITSJLZO,O,O,X,O,O,O,O
ITSJLOZ,O,O,O,O,O,O,O
ITSJZLO,O,O,X,O,X,O,O
ITSJZOL,O,O,X,O,X,O,O
ITSJOLZ,X,O,O,O,O,O,O
ITSJOZL,X,O,O,O,X,O,O
ITSZLJO,O,O,O,O,O,O,O
ITSZLOJ,O,O,O,O,O,O,O
ITSZJLO,O,O,O,O,O,O,O
ITSZJOL,O,O,O,O,O,O,O
ITSZOLJ,O,O,O,O,O,O,O
ITSZOJL,O,O,O,O,O,O,O
ITSOLJZ,X,O,O,O,O,O,O
ITSOLZJ,X,O,O,O,O,O,O
ITSOJLZ,X,O,O,O,O,O,O
ITSOJZL,X,O,O,O,X,O,O
ITSOZLJ,X,O,O,O,O,O,O
ITSOZJL,X,O,O,O,O,O,O
ITZLJSO,O,O,O,O,O,X,X
ITZLJOS,O,O,O,O,O,O,O
ITZLSJO,O,O,O,O,O,X,X
ITZLSOJ,O,O,O,O,O,X,O
ITZLOJS,O,O,O,O,O,O,O
ITZLOSJ,O,O,O,X,O,X,O
ITZJLSO,O,O,O,O,O,X,X
ITZJLOS,O,O,O,O,O,O,O
ITZJSLO,O,O,O,O,O,X,X
ITZJSOL,X,O,O,O,O,X,X
ITZJOLS,O,O,O,O,O,O,O
ITZJOSL,X,O,O,O,X,X,X
ITZSLJO,O,O,O,O,O,X,O
ITZSLOJ,O,O,O,O,O,X,O
ITZSJLO,O,O,O,O,O,X,O
ITZSJOL,X,O,O,O,O,X,O
ITZSOLJ,X,O,O,O,O,X,O
ITZSOJL,X,O,O,O,O,X,O
ITZOLJS,O,O,O,O,O,O,O
ITZOLSJ,O,O,O,X,O,X,O
ITZOJLS,O,O,O,O,O,O,O
ITZOJSL,X,O,O,O,X,X,X
ITZOSLJ,X,O,O,X,X,X,O
ITZOSJL,X,O,O,X,X,X,X
ITOLJSZ,X,O,O,O,X,O,X
ITOLJZS,X,X,O,O,O,O,O
ITOLSJZ,X,O,O,O,O,O,X
ITOLSZJ,X,O,O,O,O,X,O
ITOLZJS,X,X,O,O,O,O,O
ITOLZSJ,X,X,O,X,O,X,O
ITOJLSZ,X,O,O,O,X,O,X
ITOJLZS,X,X,O,O,O,O,O
ITOJSLZ,X,O,O,O,X,O,X
ITOJSZL,X,O,O,O,X,X,X
ITOJZLS,X,O,O,O,X,O,O
ITOJZSL,X,O,O,O,X,X,X
ITOSLJZ,X,O,O,O,O,O,X
ITOSLZJ,X,O,O,O,O,X,O
ITOSJLZ,X,O,O,O,O,O,X
ITOSJZL,X,O,O,O,X,X,X
ITOSZLJ,X,O,O,O,O,X,O
ITOSZJL,X,O,O,O,X,X,X
ITOZLJS,X,O,O,O,O,O,O
ITOZLSJ,X,O,O,X,O,X,O
ITOZJLS,X,O,O,O,O,O,O
ITOZJSL,X,O,O,O,X,X,X
ITOZSLJ,X,O,O,X,X,X,O
ITOZSJL,X,O,O,X,X,X,X
ILTJSZO,O,O,X,O,O,X,X
ILTJSOZ,O,O,X,O,O,O,X
ILTJZSO,O,O,X,O,O,X,X
ILTJZOS,O,O,X,O,O,O,O
ILTJOSZ,O,O,X,O,X,O,X
ILTJOZS,O,X,X,O,O,O,O
ILTSJZO,O,O,X,O,O,X,X
ILTSJOZ,O,O,O,O,O,O,X
ILTSZJO,O,O,X,O,O,X,X
ILTSZOJ,O,O,O,O,O,X,O
ILTSOJZ,O,O,O,O,O,O,X
ILTSOZJ,O,O,O,O,O,X,O
ILTZJSO,O,O,O,O,O,X,X
ILTZJOS,O,O,X,O,O,O,O
ILTZSJO,O,O,O,O,O,X,X
ILTZSOJ,O,O,O,O,O,X,O
ILTZOJS,O,O,O,O,O,O,O
ILTZOSJ,O,O,O,X,O,X,O
ILTOJSZ,O,O,O,O,X,O,X
ILTOJZS,O,X,O,O,O,O,O
ILTOSJZ,O,O,O,O,O,O,X
ILTOSZJ,O,O,O,O,O,X,O
ILTOZJS,O,X,O,O,O,O,O
ILTOZSJ,O,X,O,X,O,X,O
ILJTSZO,O,O,X,O,O,X,X
ILJTSOZ,O,O,X,O,O,O,X
ILJTZSO,O,O,X,O,O,X,X
ILJTZOS,O,O,X,O,O,O,X
ILJTOSZ,O,O,X,O,X,O,X
ILJTOZS,O,X,X,O,O,O,X
ILJSTZO,O,O,X,O,X,O,X
ILJSTOZ,O,O,X,O,X,O,X
ILJSZTO,O,O,X,O,X,O,X
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,O,O,X,X,X,O,X
ILJSOZT,O,O,X,X,X,X,X
ILJZTSO,O,X,X,O,X,X,X
ILJZTOS,O,X,X,O,X,O,X
ILJZSTO,O,O,X,O,X,X,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,O
ILJZOST,O,O,X,X,X,X,O
ILJOTSZ,O,X,X,X,X,O,X
ILJOTZS,O,X,X,X,X,O,X
ILJOSTZ,O,X,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,X
ILJOZTS,O,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X
ILSTJZO,O,O,X,X,O,O,O
ILSTJOZ,O,O,X,X,O,O,O
ILSTZJO,O,O,X,X,O,O,O
ILSTZOJ,O,O,X,X,O,O,O
ILSTOJZ,O,O,O,X,O,O,O
ILSTOZJ,O,O,X,X,O,O,O
ILSJTZO,O,O,X,O,X,O,X
ILSJTOZ,O,O,X,O,X,O,X
ILSJZTO,O,O,X,O,X,O,X
ILSJZOT,O,O,X,X,X,X,O
ILSJOTZ,O,O,O,X,X,O,X
ILSJOZT,O,O,O,X,X,X,X
ILSZTJO,O,O,X,X,X,X,O
ILSZTOJ,O,O,X,X,X,X,O
ILSZJTO,O,O,X,X,X,O,X
ILSZJOT,O,O,X,X,X,X,O
ILSZOTJ,O,O,X,X,X,X,O
ILSZOJT,O,O,O,X,X,X,O
ILSOTJZ,O,O,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X
ILSOJTZ,O,O,O,X,X,O,X
ILSOJZT,O,O,O,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,O
ILSOZJT,O,O,O,X,X,X,O
ILZTJSO,O,O,O,X,O,X,X
ILZTJOS,O,O,O,X,O,X,O
ILZTSJO,O,O,O,X,O,X,X
ILZTSOJ,O,O,O,X,O,X,O
ILZTOJS,O,O,O,X,O,X,O
ILZTOSJ,O,O,O,X,O,X,O
ILZJTSO,O,X,O,X,X,X,X
ILZJTOS,O,X,O,X,X,O,X
ILZJSTO,O,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X
ILZJOTS,O,X,O,X,X,X,O
ILZJOST,O,O,O,X,X,X,O
ILZSTJO,O,O,O,X,X,X,O
ILZSTOJ,O,O,O,X,X,X,O
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,X,X,X,O
ILZSOTJ,O,O,O,X,X,X,O
ILZSOJT,O,O,O,X,X,X,O
ILZOTJS,O,X,O,X,X,X,O
ILZOTSJ,O,X,O,X,X,X,X
ILZOJTS,O,X,O,X,X,X,O
ILZOJST,O,O,O,X,X,X,O
ILZOSTJ,O,O,O,X,X,X,X
ILZOSJT,O,O,O,X,X,X,O
ILOTJSZ,O,X,O,X,X,X,X
ILOTJZS,O,X,O,X,O,X,X
ILOTSJZ,O,X,O,X,O,X,X
ILOTSZJ,O,X,O,X,O,X,X
ILOTZJS,O,X,O,X,O,X,X
ILOTZSJ,O,X,O,X,O,X,X
ILOJTSZ,O,X,O,X,X,O,X
ILOJTZS,O,X,O,X,X,O,X
ILOJSTZ,O,X,O,X,X,X,X
ILOJSZT,O,X,O,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X
ILOJZST,O,X,O,X,X,X,X
ILOSTJZ,O,X,O,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X
ILOSZTJ,O,X,O,X,X,X,X
ILOSZJT,O,X,O,X,X,X,X
ILOZTJS,O,X,O,X,X,X,O
ILOZTSJ,O,X,O,X,X,X,X
ILOZJTS,O,X,O,X,X,X,O
ILOZJST,O,X,O,X,X,X,O
ILOZSTJ,O,X,O,X,X,X,X
ILOZSJT,O,X,O,X,X,X,O
IJTLSZO,O,O,X,O,O,X,X
IJTLSOZ,O,O,X,O,O,O,X
IJTLZSO,O,O,X,O,O,X,X
IJTLZOS,O,O,X,O,O,O,O
IJTLOSZ,O,O,X,O,X,O,X
IJTLOZS,O,X,X,O,O,O,O
IJTSLZO,O,O,X,O,O,O,X
IJTSLOZ,O,O,O,O,O,O,X
IJTSZLO,O,O,X,O,X,O,X
IJTSZOL,O,O,X,O,X,O,X
IJTSOLZ,X,O,O,O,O,O,X
IJTSOZL,X,O,O,O,X,O,X
IJTZLSO,O,O,O,O,X,X,X
IJTZLOS,O,O,X,O,X,O,O
IJTZSLO,O,O,O,O,X,X,X
IJTZSOL,X,O,O,O,X,X,X
IJTZOLS,O,O,O,O,X,O,O
IJTZOSL,X,O,O,O,X,X,X
IJTOLSZ,X,O,O,O,X,O,X
IJTOLZS,X,X,O,O,O,O,O
IJTOSLZ,X,O,O,O,X,O,X
IJTOSZL,X,O,O,O,X,X,X
IJTOZLS,X,O,O,O,X,O,O
IJTOZSL,X,O,O,O,X,X,X
IJLTSZO,O,O,X,O,O,X,X
IJLTSOZ,O,O,X,O,O,O,X
IJLTZSO,O,O,X,O,O,X,X
IJLTZOS,O,O,X,O,O,O,X
IJLTOSZ,O,O,X,O,X,O,X
IJLTOZS,O,X,X,O,O,O,X
IJLSTZO,O,O,X,O,X,O,X
IJLSTOZ,O,O,X,O,X,O,X
IJLSZTO,O,O,X,O,X,O,X
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,O,O,X,X,X,O,X
IJLSOZT,O,O,X,X,X,X,X
IJLZTSO,O,X,X,O,X,X,X
IJLZTOS,O,X,X,O,X,O,X
IJLZSTO,O,O,X,O,X,X,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,O
IJLZOST,O,O,X,X,X,X,O
IJLOTSZ,O,X,X,X,X,O,X
IJLOTZS,O,X,X,X,X,O,X
IJLOSTZ,O,X,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X
IJSTLZO,O,O,X,O,X,O,O
IJSTLOZ,O,O,X,O,X,O,O
IJSTZLO,O,O,X,O,X,O,O
IJSTZOL,O,O,X,O,X,O,O
IJSTOLZ,X,O,X,O,X,O,O
IJSTOZL,X,O,X,O,X,O,O
IJSLTZO,O,O,X,O,X,O,X
IJSLTOZ,O,O,X,O,X,O,X
IJSLZTO,O,O,X,O,X,O,X
IJSLZOT,O,O,X,X,X,X,O
IJSLOTZ,O,O,O,X,X,O,X
IJSLOZT,O,O,O,X,X,X,X
IJSZTLO,O,O,X,O,X,O,O
IJSZTOL,O,O,X,O,X,O,O
IJSZLTO,O,O,X,O,X,O,X
IJSZLOT,O,O,X,X,X,X,O
IJSZOTL,O,O,X,O,X,X,X
IJSZOLT,O,O,X,X,X,X,O
IJSOTLZ,X,O,O,O,X,O,X
IJSOTZL,X,O,X,O,X,O,X
IJSOLTZ,O,O,O,X,X,O,X
IJSOLZT,O,O,O,X,X,X,X
IJSOZTL,O,O,O,O,X,X,X
IJSOZLT,O,O,O,X,X,X,X
IJZTLSO,O,O,O,O,X,X,X
IJZTLOS,O,O,O,O,X,O,O
IJZTSLO,O,O,O,O,X,X,X
IJZTSOL,X,O,O,O,X,X,X
IJZTOLS,O,O,O,O,X,O,O
IJZTOSL,X,O,O,O,X,X,X
IJZLTSO,O,X,O,O,X,X,X
IJZLTOS,O,X,O,O,X,O,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,O,X,X,X,X
IJZLOTS,O,X,O,X,X,X,O
IJZLOST,O,O,O,X,X,X,O
IJZSTLO,O,O,O,O,X,O,O
IJZSTOL,O,O,O,O,X,O,O
IJZSLTO,O,O,O,O,X,O,X
IJZSLOT,O,O,O,X,X,X,O
IJZSOTL,O,O,O,O,X,X,X
IJZSOLT,O,O,O,X,X,X,O
IJZOTLS,O,X,O,O,X,X,X
IJZOTSL,X,O,O,O,X,X,X
IJZOLTS,O,X,O,X,X,X,O
IJZOLST,O,O,O,X,X,X,O
IJZOSTL,X,O,O,O,X,X,X
IJZOSLT,X,O,O,X,X,X,X
IJOTLSZ,X,O,O,O,X,O,X
IJOTLZS,X,X,O,O,X,O,X
IJOTSLZ,X,O,O,O,X,O,X
IJOTSZL,X,O,O,O,X,X,X
IJOTZLS,X,O,O,O,X,O,X
IJOTZSL,X,O,O,O,X,X,X
IJOLTSZ,O,X,O,X,X,O,X
IJOLTZS,O,X,O,X,X,O,X
IJOLSTZ,O,X,O,X,X,X,X
IJOLSZT,O,X,O,X,X,X,X
IJOLZTS,O,X,O,X,X,X,X
IJOLZST,O,X,O,X,X,X,X
IJOSTLZ,X,O,O,O,X,O,X
IJOSTZL,X,O,O,O,X,O,X
IJOSLTZ,O,O,O,X,X,O,X
IJOSLZT,O,O,O,X,X,X,X
IJOSZTL,O,O,O,O,X,X,X
IJOSZLT,O,O,O,X,X,X,X
IJOZTLS,O,X,O,O,X,X,X
IJOZTSL,X,O,O,O,X,X,X
IJOZLTS,O,X,O,X,X,X,X
IJOZLST,O,O,O,X,X,X,X
IJOZSTL,X,O,O,O,X,X,X
IJOZSLT,X,O,O,X,X,X,X
ISTLJZO,O,O,X,O,O,O,O
ISTLJOZ,O,O,O,O,O,O,O
ISTLZJO,O,O,X,O,O,O,O
ISTLZOJ,O,O,O,O,O,O,O
ISTLOJZ,O,O,O,O,O,O,O
ISTLOZJ,O,O,O,O,O,O,O
ISTJLZO,O,O,X,O,O,O,O
ISTJLOZ,O,O,O,O,O,O,O
ISTJZLO,O,O,X,O,X,O,O
ISTJZOL,O,O,X,O,X,O,O
ISTJOLZ,X,O,O,O,O,O,O
ISTJOZL,X,O,O,O,X,O,O
ISTZLJO,O,O,O,O,O,O,O
ISTZLOJ,O,O,O,O,O,O,O
ISTZJLO,O,O,O,O,X,O,O
ISTZJOL,O,O,O,O,X,O,O
ISTZOLJ,O,O,O,O,O,O,O
ISTZOJL,O,O,O,O,X,O,O
ISTOLJZ,X,O,O,O,O,O,O
ISTOLZJ,X,O,O,O,O,O,O
ISTOJLZ,X,O,O,O,O,O,O
ISTOJZL,X,O,O,O,X,O,O
ISTOZLJ,X,O,O,O,O,O,O
ISTOZJL,X,O,O,O,X,O,O
ISLTJZO,O,O,X,X,O,O,O
ISLTJOZ,O,O,X,X,O,O,O
ISLTZJO,O,O,X,X,O,O,O
ISLTZOJ,O,O,X,X,O,O,O
ISLTOJZ,O,O,O,X,O,O,O
ISLTOZJ,O,O,X,X,O,O,O
ISLJTZO,O,O,X,O,X,O,X
ISLJTOZ,O,O,X,O,X,O,X
ISLJZTO,O,O,X,O,X,O,X
ISLJZOT,O,O,X,X,X,X,O
ISLJOTZ,O,O,O,X,X,O,X
ISLJOZT,O,O,O,X,X,X,X
ISLZTJO,O,O,X,X,X,X,O
ISLZTOJ,O,O,X,X,X,X,O
ISLZJTO,O,O,X,X,X,O,X
ISLZJOT,O,O,X,X,X,X,O
ISLZOTJ,O,O,X,X,X,X,O
ISLZOJT,O,O,O,X,X,X,O
ISLOTJZ,O,O,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X
ISLOJTZ,O,O,O,X,X,O,X
ISLOJZT,O,O,O,X,X,X,X
ISLOZTJ,O,O,O,X,X,X,O
ISLOZJT,O,O,O,X,X,X,O
ISJTLZO,O,O,X,O,X,O,O
ISJTLOZ,O,O,X,O,X,O,O
ISJTZLO,O,O,X,O,X,O,O
ISJTZOL,O,O,X,O,X,O,O
ISJTOLZ,X,O,X,O,X,O,O
ISJTOZL,X,O,X,O,X,O,O
ISJLTZO,O,O,X,O,X,O,X
ISJLTOZ,O,O,X,O,X,O,X
ISJLZTO,O,O,X,O,X,O,X
ISJLZOT,O,O,X,X,X,X,O
ISJLOTZ,O,O,O,X,X,O,X
ISJLOZT,O,O,O,X,X,X,X
ISJZTLO,O,O,X,O,X,O,O
ISJZTOL,O,O,X,O,X,O,O
ISJZLTO,O,O,X,O,X,O,X
ISJZLOT,O,O,X,X,X,X,O
ISJZOTL,O,O,X,O,X,X,X
ISJZOLT,O,O,X,X,X,X,O
ISJOTLZ,X,O,O,O,X,O,X
ISJOTZL,X,O,X,O,X,O,X
ISJOLTZ,O,O,O,X,X,O,X
ISJOLZT,O,O,O,X,X,X,X
ISJOZTL,O,O,O,O,X,X,X
ISJOZLT,O,O,O,X,X,X,X
ISZTLJO,O,O,O,X,X,O,O
ISZTLOJ,O,O,O,X,X,O,O
ISZTJLO,O,O,O,X,X,O,O
ISZTJOL,O,O,O,X,X,O,O
ISZTOLJ,O,O,O,X,X,O,O
ISZTOJL,O,O,O,X,X,O,O
ISZLTJO,O,O,O,X,X,X,O
ISZLTOJ,O,O,O,X,X,X,O
ISZLJTO,O,O,O,X,X,O,X
ISZLJOT,O,O,O,X,X,X,O
ISZLOTJ,O,O,O,X,X,X,O
ISZLOJT,O,O,O,X,X,X,O
ISZJTLO,O,O,O,O,X,O,O
ISZJTOL,O,O,O,O,X,O,O
ISZJLTO,O,O,O,O,X,O,X
ISZJLOT,O,O,O,X,X,X,O
ISZJOTL,O,O,O,O,X,X,X
ISZJOLT,O,O,O,X,X,X,O
ISZOTLJ,O,O,O,X,X,X,O
ISZOTJL,O,O,O,X,X,X,O
ISZOLTJ,O,O,O,X,X,X,O
ISZOLJT,O,O,O,X,X,X,O
ISZOJTL,O,O,O,X,X,X,X
ISZOJLT,O,O,O,X,X,X,O
ISOTLJZ,X,O,O,X,X,O,O
ISOTLZJ,X,O,O,X,X,O,O
ISOTJLZ,X,O,O,X,X,O,O
ISOTJZL,X,O,O,X,X,O,O
ISOTZLJ,X,O,O,X,X,O,O
ISOTZJL,X,O,O,X,X,O,O
ISOLTJZ,O,O,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X
ISOLJTZ,O,O,O,X,X,O,X
ISOLJZT,O,O,O,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,O
ISOLZJT,O,O,O,X,X,X,O
ISOJTLZ,X,O,O,O,X,O,X
ISOJTZL,X,O,O,O,X,O,X
ISOJLTZ,O,O,O,X,X,O,X
ISOJLZT,O,O,O,X,X,X,X
ISOJZTL,O,O,O,O,X,X,X
ISOJZLT,O,O,O,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,O
ISOZTJL,O,O,O,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,O
ISOZLJT,O,O,O,X,X,X,O
ISOZJTL,O,O,O,X,X,X,X
ISOZJLT,O,O,O,X,X,X,O
IZTLJSO,O,O,O,O,O,X,X
IZTLJOS,O,O,O,O,O,O,O
IZTLSJO,O,O,O,O,O,X,X
IZTLSOJ,O,O,O,O,O,X,O
IZTLOJS,O,O,O,O,O,O,O
IZTLOSJ,O,O,O,X,O,X,O
IZTJLSO,O,O,O,O,X,X,X
IZTJLOS,O,O,O,O,X,O,O
IZTJSLO,O,O,O,O,X,X,X
IZTJSOL,X,O,O,O,X,X,X
IZTJOLS,O,O,O,O,X,O,O
IZTJOSL,X,O,O,O,X,X,X
IZTSLJO,O,O,O,O,O,X,O
IZTSLOJ,O,O,O,O,O,X,O
