sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TSIOZJL,O,X,O
TSLIJZO,O,O,X
TSLIJOZ,O,X,X
TSLIZJO,O,O,X
TSLIZOJ,O,O,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,O,X
TSLJIOZ,O,X,X
TSLJZIO,O,O,X
TSLJZOI,O,O,X
TSLJOIZ,O,X,O
TSLJOZI,O,X,O
TSLZIJO,O,O,X
TSLZIOJ,O,O,X
TSLZJIO,O,O,X
TSLZJOI,O,O,X
TSLZOIJ,O,O,O
TSLZOJI,O,O,O
TSLOIJZ,O,X,X
TSLOIZJ,O,X,O
TSLOJIZ,O,X,O
TSLOJZI,O,X,O
TSLOZIJ,O,X,O
TSLOZJI,O,X,O
TSJILZO,O,O,X
TSJILOZ,O,X,X
TSJIZLO,O,O,X
TSJIZOL,O,O,X
TSJIOLZ,O,X,O
TSJIOZL,O,O,O
TSJLIZO,O,O,X
TSJLIOZ,O,X,X
TSJLZIO,O,O,X
TSJLZOI,O,O,X
TSJLOIZ,O,X,O
TSJLOZI,O,X,O
TSJZILO,O,O,X
TSJZIOL,O,O,X
TSJZLIO,O,O,X
TSJZLOI,O,O,X
TSJZOIL,O,O,O
TSJZOLI,X,O,O
TSJOILZ,O,X,O
TSJOIZL,O,O,O
TSJOLIZ,O,X,O
TSJOLZI,O,X,O
TSJOZIL,O,O,O
TSJOZLI,X,O,O
TSZILJO,O,O,X
TSZILOJ,O,O,X
TSZIJLO,O,O,X
TSZIJOL,O,O,X
TSZIOLJ,O,O,O
TSZIOJL,O,X,O
TSZLIJO,O,O,X
TSZLIOJ,O,O,X
TSZLJIO,O,O,X
TSZLJOI,O,O,X
TSZLOIJ,O,O,O
TSZLOJI,O,O,O
TSZJILO,O,O,X
TSZJIOL,O,O,X
TSZJLIO,O,O,X
TSZJLOI,O,O,X
TSZJOIL,O,O,O
TSZJOLI,X,O,O
TSZOILJ,O,O,O
TSZOIJL,O,X,O
TSZOLIJ,O,O,O
TSZOLJI,O,O,O
TSZOJIL,O,O,O
TSZOJLI,X,O,O
