sequence,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFCgBGiBTjBXlBUs?BFtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoBOpB0kBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoB0kBOpBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFqkBTgBXjBctBGs?BFsB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhF6oB1pBRsBOpBft?BUsB,v115@BhA8IeC8FeB8FeE8CeA8Jex/IvhFOpBXlBSsBToBUs?BFtB
TOJZISL,O,X,X,X,X,X
TOJZLIS,X,O,O,O,X,X
TOJZLSI,X,O,O,O,X,X
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,O,O,O,X,X
TOSILJZ,O,O,O,X,O,X
TOSILZJ,O,O,O,X,O,X
TOSIJLZ,O,O,O,X,X,X
TOSIJZL,O,O,O,X,X,X
TOSIZLJ,O,O,O,X,X,X
TOSIZJL,O,O,O,X,X,X
TOSLIJZ,O,O,O,X,O,X
TOSLIZJ,O,O,O,X,O,X
TOSLJIZ,O,O,O,X,X,O
TOSLJZI,O,O,O,X,X,O
TOSLZIJ,O,O,O,X,X,X
TOSLZJI,O,O,O,X,X,X
TOSJILZ,O,O,O,X,X,O
TOSJIZL,O,O,O,X,X,X
TOSJLIZ,O,O,O,X,X,O
TOSJLZI,O,O,O,X,X,O
TOSJZIL,O,O,O,X,X,X
TOSJZLI,O,O,O,X,X,X
TOSZILJ,O,O,O,X,X,X
TOSZIJL,O,O,O,X,X,X
TOSZLIJ,O,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,X,O,O,X,O,X
TOZILSJ,X,X,O,X,O,X
TOZIJLS,X,O,O,X,X,X
TOZIJSL,O,X,X,X,X,X
TOZISLJ,O,X,O,X,X,X
TOZISJL,O,X,O,X,X,X
TOZLIJS,X,O,O,O,O,X
TOZLISJ,X,X,O,O,O,X
TOZLJIS,X,O,O,O,X,X
TOZLJSI,X,O,O,O,X,X
TOZLSIJ,X,X,O,O,X,X
TOZLSJI,X,X,O,X,X,X
TOZJILS,X,O,O,X,X,X
TOZJISL,O,X,X,X,X,X
TOZJLIS,X,O,O,O,X,X
TOZJLSI,X,O,O,O,X,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,O,X,X
TOZSILJ,O,O,O,X,X,X
TOZSIJL,O,O,O,X,X,X
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,O,X,X,X,O,X
ITLJSOZ,O,O,X,X,O,X
ITLJZSO,X,X,X,O,O,X
ITLJZOS,X,O,O,O,O,X
ITLJOSZ,O,O,X,X,O,X
ITLJOZS,X,O,O,O,O,X
ITLSJZO,O,X,X,X,O,X
ITLSJOZ,O,O,X,X,O,X
ITLSZJO,O,X,X,X,O,X
ITLSZOJ,O,X,O,X,O,X
ITLSOJZ,O,O,X,X,O,X
ITLSOZJ,O,X,O,X,O,X
ITLZJSO,X,X,X,O,O,X
ITLZJOS,X,O,O,O,O,X
ITLZSJO,X,X,X,X,O,X
ITLZSOJ,X,X,O,O,O,X
ITLZOJS,X,O,O,O,O,X
ITLZOSJ,X,X,O,O,O,X
ITLOJSZ,O,O,X,X,O,X
ITLOJZS,X,O,O,O,O,X
ITLOSJZ,O,O,X,X,O,X
ITLOSZJ,O,X,O,X,O,X
ITLOZJS,X,O,O,O,O,X
ITLOZSJ,X,X,O,O,O,X
ITJLSZO,O,X,X,X,O,X
ITJLSOZ,O,O,X,X,O,X
ITJLZSO,X,X,X,O,O,X
ITJLZOS,X,O,O,O,O,X
ITJLOSZ,O,O,X,X,O,X
ITJLOZS,X,O,O,O,O,X
ITJSLZO,O,O,X,X,X,X
ITJSLOZ,O,O,X,X,X,X
ITJSZLO,O,O,X,X,X,X
ITJSZOL,O,O,X,X,X,X
ITJSOLZ,O,O,X,X,X,X
ITJSOZL,O,O,X,X,X,X
ITJZLSO,O,X,X,O,X,X
ITJZLOS,O,O,O,O,X,X
ITJZSLO,O,X,X,O,X,X
ITJZSOL,O,X,X,X,X,X
ITJZOLS,O,O,O,X,X,X
ITJZOSL,O,X,X,X,X,X
ITJOLSZ,O,O,X,X,O,X
ITJOLZS,X,O,O,X,O,X
ITJOSLZ,O,O,X,X,X,X
ITJOSZL,O,O,X,X,X,X
ITJOZLS,X,O,O,X,X,X
ITJOZSL,O,X,X,X,X,X
ITSLJZO,O,O,O,X,O,X
ITSLJOZ,O,O,O,X,O,X
ITSLZJO,O,O,O,X,O,X
ITSLZOJ,O,O,O,X,O,X
ITSLOJZ,O,O,O,X,O,X
ITSLOZJ,O,O,O,X,O,X
ITSJLZO,O,O,O,X,X,X
ITSJLOZ,O,O,O,X,X,X
ITSJZLO,O,O,O,X,X,X
ITSJZOL,O,O,O,X,X,X
ITSJOLZ,O,O,O,X,X,X
ITSJOZL,O,O,O,X,X,X
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,O,O,O,X,X,X
ITSZJLO,O,O,O,X,X,X
ITSZJOL,O,O,O,X,X,X
ITSZOLJ,O,O,O,X,X,X
ITSZOJL,O,O,O,X,X,X
ITSOLJZ,O,O,O,X,O,X
ITSOLZJ,O,O,O,X,O,X
ITSOJLZ,O,O,O,X,X,X
ITSOJZL,O,O,O,X,X,X
ITSOZLJ,O,O,O,X,X,X
ITSOZJL,O,O,O,X,X,X
ITZLJSO,O,X,X,O,O,X
ITZLJOS,O,O,O,O,O,X
ITZLSJO,O,X,X,X,O,X
ITZLSOJ,O,X,O,O,O,X
ITZLOJS,O,O,O,O,O,X
ITZLOSJ,O,X,O,O,O,X
ITZJLSO,O,X,X,O,X,X
ITZJLOS,O,O,O,O,X,X
ITZJSLO,O,X,X,O,X,X
ITZJSOL,O,X,X,X,X,X
ITZJOLS,O,O,O,X,X,X
ITZJOSL,O,X,X,X,X,X
ITZSLJO,O,X,O,X,X,X
ITZSLOJ,O,X,O,O,X,X
ITZSJLO,O,X,O,X,X,X
ITZSJOL,O,X,O,X,X,X
ITZSOLJ,O,X,O,X,X,X
ITZSOJL,O,X,O,X,X,X
ITZOLJS,O,O,O,X,O,X
ITZOLSJ,O,X,O,X,O,X
ITZOJLS,O,O,O,X,X,X
ITZOJSL,O,X,X,X,X,X
ITZOSLJ,O,X,O,X,X,X
ITZOSJL,O,X,O,X,X,X
ITOLJSZ,O,O,X,X,O,X
ITOLJZS,X,O,O,X,O,X
ITOLSJZ,O,O,X,X,O,X
ITOLSZJ,O,X,O,X,O,X
ITOLZJS,X,O,O,X,O,X
ITOLZSJ,X,X,O,X,O,X
ITOJLSZ,O,O,X,X,O,X
ITOJLZS,X,O,O,X,O,X
ITOJSLZ,O,O,X,X,X,X
ITOJSZL,O,O,X,X,X,X
ITOJZLS,X,O,O,X,X,X
ITOJZSL,O,X,X,X,X,X
ITOSLJZ,O,O,O,X,O,X
ITOSLZJ,O,O,O,X,O,X
ITOSJLZ,O,O,O,X,X,X
ITOSJZL,O,O,O,X,X,X
ITOSZLJ,O,O,O,X,X,X
ITOSZJL,O,O,O,X,X,X
ITOZLJS,X,O,O,X,O,X
ITOZLSJ,X,X,O,X,O,X
ITOZJLS,X,O,O,X,X,X
ITOZJSL,O,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,X
ITOZSJL,O,X,O,X,X,X
ILTJSZO,O,X,X,X,O,X
ILTJSOZ,O,X,X,X,O,X
ILTJZSO,X,X,X,O,O,X
ILTJZOS,X,X,X,O,O,X
ILTJOSZ,O,X,X,X,O,X
ILTJOZS,X,X,X,O,O,X
ILTSJZO,O,X,X,X,O,X
ILTSJOZ,O,X,X,X,O,X
ILTSZJO,O,X,X,X,O,X
ILTSZOJ,O,X,X,X,O,X
ILTSOJZ,O,X,X,X,O,X
ILTSOZJ,O,X,X,X,O,X
ILTZJSO,X,X,X,O,O,X
ILTZJOS,X,X,X,O,O,X
ILTZSJO,X,X,X,X,O,X
ILTZSOJ,X,X,X,O,O,X
ILTZOJS,X,X,X,O,O,X
ILTZOSJ,X,X,X,O,O,X
ILTOJSZ,O,X,X,X,O,X
ILTOJZS,X,X,X,O,O,X
ILTOSJZ,O,X,X,X,O,X
ILTOSZJ,O,X,X,X,O,X
ILTOZJS,X,X,X,O,O,X
ILTOZSJ,X,X,X,O,O,X
ILJTSZO,O,X,X,X,O,X
ILJTSOZ,O,X,X,X,O,X
ILJTZSO,X,X,X,O,O,X
ILJTZOS,X,X,X,O,O,X
ILJTOSZ,O,X,X,X,O,X
ILJTOZS,X,X,X,O,O,X
ILJSTZO,O,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,O
ILJSZTO,O,X,X,O,X,X
ILJSZOT,O,X,X,O,X,O
ILJSOTZ,O,X,X,X,X,O
ILJSOZT,O,X,X,O,X,O
ILJZTSO,O,X,X,O,X,X
ILJZTOS,O,X,X,O,X,X
ILJZSTO,O,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X
ILJZOTS,X,X,X,O,X,X
ILJZOST,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,O,X
ILJOTZS,X,X,X,O,O,X
ILJOSTZ,X,X,X,X,X,O
ILJOSZT,X,X,X,O,X,O
ILJOZTS,X,X,X,O,X,X
ILJOZST,X,X,X,O,X,X
ILSTJZO,O,X,X,X,O,X
ILSTJOZ,O,X,X,X,O,X
ILSTZJO,O,X,X,X,O,X
ILSTZOJ,O,X,X,X,O,X
ILSTOJZ,O,X,X,X,O,X
ILSTOZJ,O,X,X,X,O,X
ILSJTZO,O,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,O
ILSJZTO,O,X,X,O,X,X
ILSJZOT,O,X,X,O,X,O
ILSJOTZ,O,X,X,X,X,O
ILSJOZT,O,X,X,O,X,O
ILSZTJO,O,X,X,X,X,X
ILSZTOJ,O,X,X,O,X,X
ILSZJTO,O,X,X,O,X,X
ILSZJOT,O,X,X,O,X,X
ILSZOTJ,O,X,X,O,X,X
ILSZOJT,O,X,X,O,X,X
ILSOTJZ,O,X,X,X,O,X
ILSOTZJ,O,X,X,X,O,X
ILSOJTZ,O,X,X,X,X,O
ILSOJZT,O,X,X,O,X,O
ILSOZTJ,O,X,X,O,X,X
ILSOZJT,O,X,X,O,X,X
ILZTJSO,O,X,X,O,O,X
ILZTJOS,O,X,X,O,O,X
ILZTSJO,O,X,X,X,O,X
ILZTSOJ,O,X,X,O,O,X
ILZTOJS,O,X,X,O,O,X
ILZTOSJ,O,X,X,O,O,X
ILZJTSO,O,X,X,O,X,X
ILZJTOS,O,X,X,O,X,X
ILZJSTO,O,X,X,O,X,X
ILZJSOT,O,X,X,O,X,X
ILZJOTS,X,X,X,O,X,X
ILZJOST,X,X,X,O,X,X
ILZSTJO,O,X,X,X,X,X
ILZSTOJ,O,X,X,O,X,X
ILZSJTO,O,X,X,O,X,X
ILZSJOT,O,X,X,O,X,X
ILZSOTJ,O,X,X,O,X,X
ILZSOJT,O,X,X,O,X,X
ILZOTJS,X,X,X,O,O,X
ILZOTSJ,X,X,X,O,O,X
ILZOJTS,X,X,X,O,X,X
ILZOJST,X,X,X,O,X,X
ILZOSTJ,X,X,X,O,X,X
ILZOSJT,X,X,X,O,X,X
ILOTJSZ,X,X,X,X,O,X
ILOTJZS,X,X,X,O,O,X
ILOTSJZ,X,X,X,X,O,X
ILOTSZJ,X,X,X,X,O,X
ILOTZJS,X,X,X,O,O,X
ILOTZSJ,X,X,X,O,O,X
ILOJTSZ,X,X,X,X,O,X
ILOJTZS,X,X,X,O,O,X
ILOJSTZ,X,X,X,X,X,O
ILOJSZT,X,X,X,O,X,O
ILOJZTS,X,X,X,O,X,X
ILOJZST,X,X,X,O,X,X
ILOSTJZ,X,X,X,X,O,X
ILOSTZJ,X,X,X,X,O,X
ILOSJTZ,X,X,X,X,X,O
ILOSJZT,X,X,X,O,X,O
ILOSZTJ,X,X,X,O,X,X
ILOSZJT,X,X,X,O,X,X
ILOZTJS,X,X,X,O,O,X
ILOZTSJ,X,X,X,O,O,X
ILOZJTS,X,X,X,O,X,X
ILOZJST,X,X,X,O,X,X
ILOZSTJ,X,X,X,O,X,X
ILOZSJT,X,X,X,O,X,X
IJTLSZO,O,X,X,X,O,X
IJTLSOZ,O,O,X,X,O,X
IJTLZSO,X,X,X,O,O,X
IJTLZOS,X,O,X,O,O,X
IJTLOSZ,O,O,X,X,O,X
IJTLOZS,X,O,X,O,O,X
IJTSLZO,O,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,X
IJTSZLO,O,O,X,X,X,X
IJTSZOL,O,O,X,X,X,X
IJTSOLZ,O,O,X,X,X,X
IJTSOZL,O,O,X,X,X,X
IJTZLSO,O,X,X,O,X,X
IJTZLOS,O,O,X,O,X,X
IJTZSLO,O,X,X,O,X,X
IJTZSOL,O,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X
IJTZOSL,O,X,X,X,X,X
IJTOLSZ,O,O,X,X,O,X
IJTOLZS,X,O,X,X,O,X
IJTOSLZ,O,O,X,X,X,X
IJTOSZL,O,O,X,X,X,X
IJTOZLS,X,O,X,X,X,X
IJTOZSL,O,X,X,X,X,X
IJLTSZO,O,X,X,X,O,X
IJLTSOZ,O,X,X,X,O,X
IJLTZSO,X,X,X,O,O,X
IJLTZOS,X,X,X,O,O,X
IJLTOSZ,O,X,X,X,O,X
IJLTOZS,X,X,X,O,O,X
IJLSTZO,O,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,O
IJLSZTO,O,X,X,O,X,X
IJLSZOT,O,X,X,O,X,O
IJLSOTZ,O,X,X,X,X,O
IJLSOZT,O,X,X,O,X,O
IJLZTSO,O,X,X,O,X,X
IJLZTOS,O,X,X,O,X,X
IJLZSTO,O,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X
IJLZOTS,X,X,X,O,X,X
IJLZOST,X,X,X,O,X,X
IJLOTSZ,X,X,X,X,O,X
IJLOTZS,X,X,X,O,O,X
IJLOSTZ,X,X,X,X,X,O
IJLOSZT,X,X,X,O,X,O
IJLOZTS,X,X,X,O,X,X
IJLOZST,X,X,X,O,X,X
IJSTLZO,O,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,O
IJSTZLO,O,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,O
IJSTOZL,O,X,X,X,X,X
IJSLTZO,O,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,O
IJSLZTO,O,X,X,O,X,X
IJSLZOT,O,O,X,O,X,O
IJSLOTZ,O,O,X,X,X,O
IJSLOZT,O,O,X,O,X,O
IJSZTLO,O,X,X,O,X,X
IJSZTOL,O,X,X,X,X,X
IJSZLTO,O,X,X,O,X,X
IJSZLOT,O,O,X,O,X,O
IJSZOTL,O,X,X,X,X,X
IJSZOLT,O,O,X,O,X,O
IJSOTLZ,O,O,X,X,X,O
IJSOTZL,O,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,O
IJSOLZT,O,O,X,X,X,O
IJSOZTL,O,X,X,X,X,X
IJSOZLT,O,O,X,X,X,O
IJZTLSO,O,X,X,O,X,X
IJZTLOS,O,X,X,O,X,X
IJZTSLO,O,X,X,O,X,X
IJZTSOL,O,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X
IJZLTSO,O,X,X,O,X,X
IJZLTOS,O,X,X,O,X,X
IJZLSTO,O,X,X,O,X,X
IJZLSOT,O,X,X,O,X,X
IJZLOTS,X,X,X,O,X,X
IJZLOST,X,X,X,O,X,X
IJZSTLO,O,X,X,O,X,X
IJZSTOL,O,X,X,X,X,X
IJZSLTO,O,X,X,O,X,X
IJZSLOT,O,X,X,O,X,X
IJZSOTL,O,X,X,X,X,X
IJZSOLT,O,X,X,O,X,X
IJZOTLS,O,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X
IJZOLST,X,X,X,O,X,X
IJZOSTL,O,X,X,X,X,X
IJZOSLT,O,X,X,O,X,X
IJOTLSZ,O,O,X,X,O,X
IJOTLZS,X,O,X,X,O,X
IJOTSLZ,O,O,X,X,X,X
IJOTSZL,O,O,X,X,X,X
IJOTZLS,X,O,X,X,X,X
IJOTZSL,O,X,X,X,X,X
IJOLTSZ,X,X,X,X,O,X
IJOLTZS,X,X,X,O,O,X
IJOLSTZ,X,X,X,X,X,O
IJOLSZT,X,X,X,O,X,O
IJOLZTS,X,X,X,O,X,X
IJOLZST,X,X,X,O,X,X
IJOSTLZ,O,O,X,X,X,O
IJOSTZL,O,X,X,X,X,X
IJOSLTZ,O,O,X,X,X,O
IJOSLZT,O,O,X,X,X,O
IJOSZTL,O,X,X,X,X,X
IJOSZLT,O,O,X,X,X,O
IJOZTLS,O,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X
IJOZLST,X,X,X,O,X,X
IJOZSTL,O,X,X,X,X,X
IJOZSLT,O,X,X,O,X,X
ISTLJZO,O,X,X,X,O,X
ISTLJOZ,O,O,X,X,O,X
ISTLZJO,O,X,X,X,O,X
ISTLZOJ,O,X,O,X,O,X
ISTLOJZ,O,O,X,X,O,X
ISTLOZJ,O,X,O,X,O,X
ISTJLZO,O,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X
ISTJZLO,O,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X
ISTJOZL,O,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X
ISTZJLO,O,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,X
ISTZOJL,O,X,X,X,X,X
ISTOLJZ,O,O,X,X,O,X
ISTOLZJ,O,X,O,X,O,X
ISTOJLZ,O,O,X,X,X,X
ISTOJZL,O,X,X,X,X,X
ISTOZLJ,O,X,O,X,X,X
ISTOZJL,O,X,X,X,X,X
ISLTJZO,O,X,X,X,O,X
ISLTJOZ,O,O,X,X,O,X
ISLTZJO,O,X,X,X,O,X
ISLTZOJ,O,X,O,X,O,X
ISLTOJZ,O,O,X,X,O,X
ISLTOZJ,O,X,O,X,O,X
ISLJTZO,O,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,O
ISLJZTO,O,X,X,O,X,X
ISLJZOT,O,O,O,O,X,O
ISLJOTZ,O,O,X,X,X,O
ISLJOZT,O,O,O,O,X,O
ISLZTJO,O,X,X,X,X,X
ISLZTOJ,O,X,O,O,X,X
ISLZJTO,O,X,X,O,X,X
ISLZJOT,O,O,O,O,X,X
ISLZOTJ,O,X,O,O,X,X
ISLZOJT,O,O,O,O,X,X
ISLOTJZ,O,O,X,X,O,X
ISLOTZJ,O,X,O,X,O,X
ISLOJTZ,O,O,X,X,X,O
ISLOJZT,O,O,O,O,X,O
ISLOZTJ,O,X,O,O,X,X
ISLOZJT,O,O,O,O,X,X
ISJTLZO,O,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,O
ISJTZLO,O,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,O
ISJTOZL,O,X,X,X,X,X
ISJLTZO,O,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,O
ISJLZTO,O,X,X,O,X,X
ISJLZOT,O,O,O,O,X,O
ISJLOTZ,O,O,X,X,X,O
ISJLOZT,O,O,O,O,X,O
ISJZTLO,O,X,X,O,X,X
ISJZTOL,O,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X
ISJZLOT,O,O,O,O,X,O
ISJZOTL,O,X,X,X,X,X
ISJZOLT,O,O,O,O,X,O
ISJOTLZ,O,O,X,X,X,O
ISJOTZL,O,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,O
ISJOLZT,O,O,O,X,X,O
ISJOZTL,O,X,X,X,X,X
ISJOZLT,O,O,O,X,X,O
ISZTLJO,O,X,X,X,X,X
ISZTLOJ,O,X,O,O,X,X
ISZTJLO,O,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X
ISZTOLJ,O,X,O,X,X,X
ISZTOJL,O,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X
ISZLTOJ,O,X,O,O,X,X
ISZLJTO,O,X,X,O,X,X
ISZLJOT,O,O,O,O,X,X
ISZLOTJ,O,X,O,O,X,X
ISZLOJT,O,O,O,O,X,X
ISZJTLO,O,X,X,O,X,X
ISZJTOL,O,X,X,X,X,X
ISZJLTO,O,X,X,O,X,X
ISZJLOT,O,O,O,O,X,X
ISZJOTL,O,X,X,X,X,X
ISZJOLT,O,O,O,O,X,X
ISZOTLJ,O,X,O,X,X,X
ISZOTJL,O,X,X,X,X,X
ISZOLTJ,O,X,O,O,X,X
ISZOLJT,O,O,O,O,X,X
ISZOJTL,O,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,O,O,X,X,O,X
ISOTLZJ,O,X,O,X,O,X
ISOTJLZ,O,O,X,X,X,X
ISOTJZL,O,X,X,X,X,X
ISOTZLJ,O,X,O,X,X,X
ISOTZJL,O,X,X,X,X,X
ISOLTJZ,O,O,X,X,O,X
ISOLTZJ,O,X,O,X,O,X
ISOLJTZ,O,O,X,X,X,O
ISOLJZT,O,O,O,X,X,O
ISOLZTJ,O,X,O,X,X,X
ISOLZJT,O,O,O,X,X,X
ISOJTLZ,O,O,X,X,X,O
ISOJTZL,O,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,O
ISOJLZT,O,O,O,X,X,O
ISOJZTL,O,X,X,X,X,X
ISOJZLT,O,O,O,X,X,O
ISOZTLJ,O,X,O,X,X,X
ISOZTJL,O,X,X,X,X,X
ISOZLTJ,O,X,O,X,X,X
ISOZLJT,O,O,O,X,X,X
ISOZJTL,O,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X
IZTLJSO,O,X,X,O,O,X
IZTLJOS,O,X,O,O,O,X
IZTLSJO,O,X,X,X,O,X
IZTLSOJ,O,X,O,O,O,X
IZTLOJS,O,X,O,O,O,X
IZTLOSJ,O,X,O,O,O,X
IZTJLSO,O,X,X,O,X,X
IZTJLOS,O,X,O,O,X,X
IZTJSLO,O,X,X,O,X,X
IZTJSOL,O,X,X,X,X,X
IZTJOLS,O,X,O,X,X,X
IZTJOSL,O,X,X,X,X,X
IZTSLJO,O,X,O,X,X,X
IZTSLOJ,O,X,O,O,X,X
IZTSJLO,O,X,O,X,X,X
IZTSJOL,O,X,O,X,X,X
IZTSOLJ,O,X,O,X,X,X
IZTSOJL,O,X,O,X,X,X
IZTOLJS,O,X,O,X,O,X
IZTOLSJ,O,X,O,X,O,X
IZTOJLS,O,X,O,X,X,X
IZTOJSL,O,X,X,X,X,X
IZTOSLJ,O,X,O,X,X,X
IZTOSJL,O,X,O,X,X,X
IZLTJSO,O,X,X,O,O,X
IZLTJOS,O,X,X,O,O,X
IZLTSJO,O,X,X,X,O,X
IZLTSOJ,O,X,X,O,O,X
IZLTOJS,O,X,X,O,O,X
IZLTOSJ,O,X,X,O,O,X
IZLJTSO,O,X,X,O,X,X
IZLJTOS,O,X,X,O,X,X
IZLJSTO,O,X,X,O,X,X
IZLJSOT,O,X,X,O,X,X
IZLJOTS,X,X,X,O,X,X
IZLJOST,X,X,X,O,X,X
IZLSTJO,O,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,X
IZLSJTO,O,X,X,O,X,X
IZLSJOT,O,X,X,O,X,X
IZLSOTJ,O,X,X,O,X,X
IZLSOJT,O,X,X,O,X,X
IZLOTJS,X,X,X,O,O,X
IZLOTSJ,X,X,X,O,O,X
IZLOJTS,X,X,X,O,X,X
IZLOJST,X,X,X,O,X,X
IZLOSTJ,X,X,X,O,X,X
IZLOSJT,X,X,X,O,X,X
IZJTLSO,O,X,X,O,X,X
IZJTLOS,O,X,X,O,X,X
IZJTSLO,O,X,X,O,X,X
IZJTSOL,O,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X
IZJLTSO,O,X,X,O,X,X
IZJLTOS,O,X,X,O,X,X
IZJLSTO,O,X,X,O,X,X
IZJLSOT,O,X,X,O,X,X
IZJLOTS,X,X,X,O,X,X
IZJLOST,X,X,X,O,X,X
IZJSTLO,O,X,X,O,X,X
IZJSTOL,O,X,X,X,X,X
IZJSLTO,O,X,X,O,X,X
IZJSLOT,O,X,X,O,X,X
IZJSOTL,O,X,X,X,X,X
IZJSOLT,O,X,X,O,X,X
IZJOTLS,O,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X
IZJOLST,X,X,X,O,X,X
IZJOSTL,O,X,X,X,X,X
IZJOSLT,O,X,X,O,X,X
IZSTLJO,O,X,X,X,X,X
IZSTLOJ,O,X,O,O,X,X
IZSTJLO,O,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X
IZSTOLJ,O,X,O,X,X,X
IZSTOJL,O,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X
IZSLTOJ,O,X,O,O,X,X
IZSLJTO,O,X,X,O,X,X
IZSLJOT,O,X,O,O,X,X
IZSLOTJ,O,X,O,O,X,X
IZSLOJT,O,X,O,O,X,X
IZSJTLO,O,X,X,O,X,X
IZSJTOL,O,X,X,X,X,X
IZSJLTO,O,X,X,O,X,X
IZSJLOT,O,X,O,O,X,X
IZSJOTL,O,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X
IZSOTLJ,O,X,O,X,X,X
IZSOTJL,O,X,X,X,X,X
IZSOLTJ,O,X,O,O,X,X
IZSOLJT,O,X,O,O,X,X
IZSOJTL,O,X,X,X,X,X
IZSOJLT,O,X,O,X,X,X
IZOTLJS,O,X,O,X,O,X
IZOTLSJ,O,X,O,X,O,X
IZOTJLS,O,X,O,X,X,X
IZOTJSL,O,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X
IZOTSJL,O,X,O,X,X,X
IZOLTJS,X,X,X,O,O,X
IZOLTSJ,X,X,X,O,O,X
IZOLJTS,X,X,X,O,X,X
IZOLJST,X,X,X,O,X,X
IZOLSTJ,X,X,X,O,X,X
IZOLSJT,X,X,X,O,X,X
IZOJTLS,O,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X
IZOJLST,X,X,X,O,X,X
IZOJSTL,O,X,X,X,X,X
IZOJSLT,O,X,X,O,X,X
IZOSTLJ,O,X,O,X,X,X
IZOSTJL,O,X,X,X,X,X
IZOSLTJ,O,X,O,O,X,X
IZOSLJT,O,X,O,O,X,X
IZOSJTL,O,X,X,X,X,X
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,O,O,X,X,O,X
IOTLJZS,X,O,O,X,O,X
IOTLSJZ,O,O,X,X,O,X
IOTLSZJ,O,X,O,X,O,X
IOTLZJS,X,O,O,X,O,X
IOTLZSJ,X,X,O,X,O,X
IOTJLSZ,O,O,X,X,O,X
IOTJLZS,X,O,O,X,O,X
IOTJSLZ,O,O,X,X,X,X
IOTJSZL,O,O,X,X,X,X
IOTJZLS,X,O,O,X,X,X
IOTJZSL,O,X,X,X,X,X
IOTSLJZ,O,O,O,X,O,X
IOTSLZJ,O,O,O,X,O,X
IOTSJLZ,O,O,O,X,X,X
IOTSJZL,O,O,O,X,X,X
IOTSZLJ,O,O,O,X,X,X
IOTSZJL,O,O,O,X,X,X
IOTZLJS,X,O,O,X,O,X
IOTZLSJ,X,X,O,X,O,X
IOTZJLS,X,O,O,X,X,X
IOTZJSL,O,X,X,X,X,X
