sequence,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFCgBXhB?miBdqB0nBzqB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFtkBXhB?TiBeoBiqB0qB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8Jex/IvhFXhBTiB?eoBNpBUlByvB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8Jex/IvhFXhBiiB?NpBznBmqBUqB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFtkBXhB?miB0nBTlByvB
TJZLISO,O,O,O,O,O
TJZLIOS,O,O,O,X,O
TJZLSIO,O,O,O,O,O
TJZLSOI,O,O,O,X,O
TJZLOIS,O,O,O,X,O
TJZLOSI,O,O,O,X,O
TJZSILO,O,X,O,O,O
TJZSIOL,O,O,O,O,O
TJZSLIO,O,X,O,O,O
TJZSLOI,O,X,O,X,O
TJZSOIL,O,O,O,O,O
TJZSOLI,O,X,O,O,X
TJZOILS,O,O,O,O,O
TJZOISL,O,O,O,O,O
TJZOLIS,O,O,O,O,O
TJZOLSI,O,O,O,O,O
TJZOSIL,O,O,O,O,O
TJZOSLI,O,X,O,O,X
TJOILSZ,O,O,O,O,X
TJOILZS,O,O,O,O,X
TJOISLZ,O,O,O,O,X
TJOISZL,O,O,O,O,X
TJOIZLS,O,O,O,O,X
TJOIZSL,O,O,O,O,X
TJOLISZ,O,O,O,O,X
TJOLIZS,O,O,O,O,X
TJOLSIZ,O,O,O,O,X
TJOLSZI,O,O,O,O,X
TJOLZIS,O,O,O,O,X
TJOLZSI,O,O,O,O,X
TJOSILZ,O,O,O,O,X
TJOSIZL,O,O,O,O,X
TJOSLIZ,O,O,O,O,X
TJOSLZI,O,O,O,O,X
TJOSZIL,O,O,O,O,X
TJOSZLI,O,X,O,O,X
TJOZILS,O,O,O,O,X
TJOZISL,O,O,O,O,X
TJOZLIS,O,O,O,O,X
TJOZLSI,O,O,O,O,X
TJOZSIL,O,O,O,O,X
TJOZSLI,O,X,O,O,X
TSILJZO,O,O,O,O,O
TSILJOZ,X,O,O,O,X
TSILZJO,O,O,O,O,O
TSILZOJ,O,X,O,O,O
TSILOJZ,X,O,O,O,X
TSILOZJ,O,X,X,O,O
TSIJLZO,O,O,O,O,X
TSIJLOZ,X,O,O,O,X
TSIJZLO,O,X,O,O,O
TSIJZOL,O,O,O,O,O
TSIJOLZ,X,O,O,O,X
TSIJOZL,X,O,O,O,X
TSIZLJO,O,X,O,O,O
TSIZLOJ,O,X,X,O,O
TSIZJLO,O,X,O,X,O
TSIZJOL,O,O,O,X,O
TSIZOLJ,O,X,X,O,X
TSIZOJL,O,X,O,X,O
TSIOLJZ,O,X,X,O,X
TSIOLZJ,O,X,X,O,X
TSIOJLZ,O,O,O,O,X
TSIOJZL,O,O,O,O,X
TSIOZLJ,O,X,X,O,X
TSIOZJL,O,X,X,X,O
TSLIJZO,O,O,O,O,O
TSLIJOZ,X,O,O,O,X
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,X,O,O,O
TSLIOJZ,X,O,O,O,X
TSLIOZJ,O,X,X,O,O
TSLJIZO,O,O,O,O,O
TSLJIOZ,X,O,O,O,X
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,X,O
TSLJOIZ,X,O,O,O,X
TSLJOZI,X,O,O,O,X
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,X,O,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,X,O
TSLZOIJ,O,X,O,X,O
TSLZOJI,O,X,O,X,O
TSLOIJZ,X,O,O,O,X
TSLOIZJ,O,X,X,O,O
TSLOJIZ,X,O,O,O,X
TSLOJZI,X,O,O,O,X
TSLOZIJ,O,X,O,O,O
TSLOZJI,O,X,O,O,O
TSJILZO,O,O,O,O,X
TSJILOZ,X,O,O,O,X
TSJIZLO,O,X,O,O,O
TSJIZOL,O,O,O,O,O
TSJIOLZ,X,O,O,O,X
TSJIOZL,X,O,O,O,X
TSJLIZO,O,O,O,O,X
TSJLIOZ,X,O,O,O,X
TSJLZIO,O,O,O,O,X
TSJLZOI,O,O,O,X,X
TSJLOIZ,X,O,O,O,X
TSJLOZI,X,O,O,O,X
TSJZILO,O,X,O,O,O
TSJZIOL,O,O,O,O,O
TSJZLIO,O,X,O,O,O
TSJZLOI,O,X,O,X,X
TSJZOIL,O,O,O,O,O
TSJZOLI,O,X,O,O,X
TSJOILZ,X,O,O,O,X
TSJOIZL,X,O,O,O,X
TSJOLIZ,X,O,O,O,X
TSJOLZI,X,O,O,O,X
TSJOZIL,X,O,O,O,X
TSJOZLI,X,X,O,O,X
TSZILJO,O,X,O,O,O
TSZILOJ,O,X,X,O,O
TSZIJLO,O,X,O,X,O
TSZIJOL,O,O,O,X,O
TSZIOLJ,O,X,X,O,X
TSZIOJL,O,X,O,X,O
TSZLIJO,O,X,O,O,O
TSZLIOJ,O,X,O,O,O
TSZLJIO,O,X,O,O,O
TSZLJOI,O,X,O,X,O
TSZLOIJ,O,X,O,X,O
TSZLOJI,O,X,O,X,O
TSZJILO,O,X,O,O,O
TSZJIOL,O,O,O,O,O
TSZJLIO,O,X,O,O,O
TSZJLOI,O,X,O,X,O
TSZJOIL,O,O,O,O,O
TSZJOLI,O,X,O,O,X
TSZOILJ,O,X,X,O,X
TSZOIJL,O,X,O,X,O
TSZOLIJ,O,X,X,O,X
TSZOLJI,O,X,X,O,X
TSZOJIL,O,X,O,O,O
TSZOJLI,O,X,O,O,X
TSOILJZ,O,X,X,O,X
TSOILZJ,O,X,X,O,X
TSOIJLZ,O,O,O,O,X
TSOIJZL,O,O,O,O,X
TSOIZLJ,O,X,X,O,X
TSOIZJL,O,X,X,X,O
TSOLIJZ,O,X,O,O,X
TSOLIZJ,O,X,X,O,X
TSOLJIZ,O,X,O,O,X
TSOLJZI,O,X,O,O,X
TSOLZIJ,O,X,O,O,X
TSOLZJI,O,X,O,O,X
TSOJILZ,O,O,O,O,X
TSOJIZL,O,O,O,O,X
TSOJLIZ,O,O,O,O,X
TSOJLZI,O,X,O,O,X
TSOJZIL,O,O,O,O,X
TSOJZLI,O,X,O,O,X
TSOZILJ,O,X,X,O,X
TSOZIJL,O,X,O,X,O
TSOZLIJ,O,X,X,O,X
TSOZLJI,O,X,X,O,X
TSOZJIL,O,X,O,O,O
TSOZJLI,O,X,O,O,X
TZILJSO,O,O,O,O,O
TZILJOS,O,O,O,X,O
TZILSJO,O,O,O,O,O
TZILSOJ,O,X,O,O,O
TZILOJS,O,X,O,X,O
TZILOSJ,O,X,O,X,O
TZIJLSO,O,O,O,O,O
TZIJLOS,O,O,O,X,O
TZIJSLO,O,X,O,O,O
TZIJSOL,O,O,O,O,O
TZIJOLS,O,O,O,O,O
TZIJOSL,O,O,O,O,O
TZISLJO,O,X,O,O,O
TZISLOJ,O,X,X,O,O
TZISJLO,O,X,O,X,O
TZISJOL,O,O,O,X,O
TZISOLJ,O,X,X,O,X
TZISOJL,O,X,O,X,O
TZIOLJS,O,X,X,O,O
TZIOLSJ,O,X,X,O,O
TZIOJLS,O,X,O,O,O
TZIOJSL,O,X,O,O,O
TZIOSLJ,O,X,X,O,X
TZIOSJL,O,X,O,X,O
TZLIJSO,O,O,O,O,O
TZLIJOS,O,O,O,X,O
TZLISJO,O,O,O,O,O
TZLISOJ,O,X,O,O,O
TZLIOJS,O,X,O,X,O
TZLIOSJ,O,X,O,X,O
TZLJISO,O,O,O,O,O
TZLJIOS,O,O,O,X,O
TZLJSIO,O,O,O,O,O
TZLJSOI,O,O,O,X,O
TZLJOIS,O,O,O,X,O
TZLJOSI,O,O,O,X,O
TZLSIJO,O,O,O,O,O
TZLSIOJ,O,X,O,O,O
TZLSJIO,O,O,O,O,O
TZLSJOI,O,O,O,X,O
TZLSOIJ,O,X,O,X,O
TZLSOJI,O,X,O,X,O
TZLOIJS,O,X,O,X,O
TZLOISJ,O,X,O,X,O
TZLOJIS,O,X,O,X,O
TZLOJSI,O,X,O,X,O
TZLOSIJ,O,X,O,X,O
TZLOSJI,O,X,O,X,O
TZJILSO,O,O,O,O,O
TZJILOS,O,O,O,X,O
TZJISLO,O,X,O,O,O
TZJISOL,O,O,O,O,O
TZJIOLS,O,O,O,O,O
TZJIOSL,O,O,O,O,O
TZJLISO,O,O,O,O,O
TZJLIOS,O,O,O,X,O
TZJLSIO,O,O,O,O,O
TZJLSOI,O,O,O,X,O
TZJLOIS,O,O,O,X,O
TZJLOSI,O,O,O,X,O
TZJSILO,O,X,O,O,O
TZJSIOL,O,O,O,O,O
TZJSLIO,O,X,O,O,O
TZJSLOI,O,X,O,X,O
TZJSOIL,O,O,O,O,O
TZJSOLI,O,X,O,O,X
TZJOILS,O,O,O,O,O
TZJOISL,O,O,O,O,O
TZJOLIS,O,O,O,O,O
TZJOLSI,O,O,O,O,O
TZJOSIL,O,O,O,O,O
TZJOSLI,O,X,O,O,X
TZSILJO,O,X,O,O,O
TZSILOJ,O,X,X,O,O
TZSIJLO,O,X,O,X,O
TZSIJOL,O,O,O,X,O
TZSIOLJ,O,X,X,O,X
TZSIOJL,O,X,O,X,O
TZSLIJO,O,X,O,O,O
TZSLIOJ,O,X,O,O,O
TZSLJIO,O,X,O,O,O
TZSLJOI,O,X,O,X,O
TZSLOIJ,O,X,O,X,O
TZSLOJI,O,X,O,X,O
TZSJILO,O,X,O,O,O
TZSJIOL,O,O,O,O,O
TZSJLIO,O,X,O,O,O
TZSJLOI,O,X,O,X,O
TZSJOIL,O,O,O,O,O
TZSJOLI,O,X,O,O,X
TZSOILJ,O,X,X,O,X
TZSOIJL,O,X,O,X,O
TZSOLIJ,O,X,X,O,X
TZSOLJI,O,X,X,O,X
TZSOJIL,O,X,O,O,O
TZSOJLI,O,X,O,O,X
TZOILJS,O,X,X,O,O
TZOILSJ,O,X,X,O,O
TZOIJLS,O,X,O,O,O
TZOIJSL,O,X,O,O,O
TZOISLJ,O,X,X,O,X
TZOISJL,O,X,O,X,O
TZOLIJS,O,X,O,O,O
TZOLISJ,O,X,O,O,O
TZOLJIS,O,X,O,O,O
TZOLJSI,O,X,O,O,O
TZOLSIJ,O,X,O,O,O
TZOLSJI,O,X,O,O,O
TZOJILS,O,X,O,O,O
TZOJISL,O,X,O,O,O
TZOJLIS,O,X,O,O,O
TZOJLSI,O,X,O,O,O
TZOJSIL,O,X,O,O,O
TZOJSLI,O,X,O,O,X
TZOSILJ,O,X,X,O,X
TZOSIJL,O,X,O,X,O
TZOSLIJ,O,X,X,O,X
TZOSLJI,O,X,X,O,X
TZOSJIL,O,X,O,O,O
TZOSJLI,O,X,O,O,X
TOILJSZ,O,O,O,O,X
TOILJZS,O,O,O,O,X
TOILSJZ,O,O,O,O,X
TOILSZJ,O,X,X,O,O
TOILZJS,O,X,X,O,O
TOILZSJ,O,X,X,O,O
TOIJLSZ,O,O,O,O,X
TOIJLZS,O,O,O,O,X
TOIJSLZ,O,O,O,O,X
TOIJSZL,O,O,O,O,X
TOIJZLS,O,O,O,O,X
TOIJZSL,O,O,O,O,X
TOISLJZ,O,X,X,O,X
TOISLZJ,O,X,X,O,X
TOISJLZ,O,O,O,O,X
TOISJZL,O,O,O,O,X
TOISZLJ,O,X,X,O,X
TOISZJL,O,X,X,X,O
TOIZLJS,O,X,X,O,O
TOIZLSJ,O,X,X,O,O
TOIZJLS,O,X,X,O,O
TOIZJSL,O,X,X,O,O
TOIZSLJ,O,X,X,O,X
TOIZSJL,O,X,X,X,O
TOLIJSZ,O,O,O,O,X
TOLIJZS,O,O,O,O,X
TOLISJZ,O,O,O,O,X
TOLISZJ,O,X,X,O,O
TOLIZJS,O,X,X,O,O
TOLIZSJ,O,X,X,O,O
TOLJISZ,O,O,O,O,X
TOLJIZS,O,O,O,O,X
TOLJSIZ,O,O,O,O,X
TOLJSZI,O,O,O,O,X
TOLJZIS,O,O,O,O,X
TOLJZSI,O,O,O,O,X
TOLSIJZ,O,O,O,O,X
TOLSIZJ,O,X,X,O,O
TOLSJIZ,O,O,O,O,X
TOLSJZI,O,O,O,O,X
TOLSZIJ,O,X,O,O,O
TOLSZJI,O,X,O,O,O
TOLZIJS,O,X,O,O,O
TOLZISJ,O,X,O,O,O
TOLZJIS,O,X,O,O,O
TOLZJSI,O,X,O,O,O
TOLZSIJ,O,X,O,O,O
TOLZSJI,O,X,O,O,O
TOJILSZ,O,O,O,O,X
TOJILZS,O,O,O,O,X
TOJISLZ,O,O,O,O,X
TOJISZL,O,O,O,O,X
TOJIZLS,O,O,O,O,X
TOJIZSL,O,O,O,O,X
TOJLISZ,O,O,O,O,X
TOJLIZS,O,O,O,O,X
TOJLSIZ,O,O,O,O,X
TOJLSZI,O,O,O,O,X
TOJLZIS,O,O,O,O,X
TOJLZSI,O,O,O,O,X
TOJSILZ,O,O,O,O,X
TOJSIZL,O,O,O,O,X
TOJSLIZ,O,O,O,O,X
TOJSLZI,O,O,O,O,X
TOJSZIL,O,O,O,O,X
TOJSZLI,O,X,O,O,X
TOJZILS,O,O,O,O,X
TOJZISL,O,O,O,O,X
TOJZLIS,O,O,O,O,X
TOJZLSI,O,O,O,O,X
TOJZSIL,O,O,O,O,X
TOJZSLI,O,X,O,O,X
TOSILJZ,O,X,X,O,X
TOSILZJ,O,X,X,O,X
TOSIJLZ,O,O,O,O,X
TOSIJZL,O,O,O,O,X
TOSIZLJ,O,X,X,O,X
TOSIZJL,O,X,X,X,O
TOSLIJZ,O,X,O,O,X
TOSLIZJ,O,X,X,O,X
TOSLJIZ,O,X,O,O,X
TOSLJZI,O,X,O,O,X
TOSLZIJ,O,X,O,O,X
TOSLZJI,O,X,O,O,X
TOSJILZ,O,O,O,O,X
TOSJIZL,O,O,O,O,X
TOSJLIZ,O,O,O,O,X
TOSJLZI,O,X,O,O,X
TOSJZIL,O,O,O,O,X
TOSJZLI,O,X,O,O,X
TOSZILJ,O,X,X,O,X
TOSZIJL,O,X,O,X,O
TOSZLIJ,O,X,X,O,X
TOSZLJI,O,X,X,O,X
TOSZJIL,O,X,O,O,O
TOSZJLI,O,X,O,O,X
TOZILJS,O,X,X,O,O
TOZILSJ,O,X,X,O,O
TOZIJLS,O,X,O,O,O
TOZIJSL,O,X,O,O,O
TOZISLJ,O,X,X,O,X
TOZISJL,O,X,O,X,O
TOZLIJS,O,X,O,O,O
TOZLISJ,O,X,O,O,O
TOZLJIS,O,X,O,O,O
TOZLJSI,O,X,O,O,O
TOZLSIJ,O,X,O,O,O
TOZLSJI,O,X,O,O,O
TOZJILS,O,X,O,O,O
TOZJISL,O,X,O,O,O
TOZJLIS,O,X,O,O,O
TOZJLSI,O,X,O,O,O
TOZJSIL,O,X,O,O,O
TOZJSLI,O,X,O,O,X
TOZSILJ,O,X,X,O,X
TOZSIJL,O,X,O,X,O
TOZSLIJ,O,X,X,O,X
TOZSLJI,O,X,X,O,X
TOZSJIL,O,X,O,O,O
TOZSJLI,O,X,O,O,X
ITLJSZO,O,O,O,O,O
ITLJSOZ,X,O,O,O,X
ITLJZSO,O,O,O,O,O
ITLJZOS,O,O,O,X,O
ITLJOSZ,X,O,O,O,X
