sequence,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFxgBmiB/pBarBFn?BTqB,v115@GhA8IeA8EeA8AeD8DeE8JeT/IvhFxgBmiB/qBarBFn?B0pB,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFlgBanBziB2pBXm?BRvB,v115@GhA8IeA8EeA8AeD8DeE8JeOEJvhF8kBanBziBFmB3l?BRvB,v115@GhA8IeA8EeA8AeD8DeE8Jex/IvhFXhBmiBypBFnBzq?B0pB,v115@GhA8IeA8EeA8AeD8DeE8JeUBJvhFRiB/pBFlBinBzq?BmpB,v115@GhA8IeA8EeA8AeD8DeE8JeT/IvhFRiB/qBFmBinB0p?BmqB,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFxgBmiB/pBFnBiq?BzqB,v115@GhA8IeA8EeA8AeD8DeE8Je2EJvhFRgBanBziB1qB0p?BXrB,v115@GhA8IeA8EeA8AeD8DeE8JeOEJvhF8kBRiBFmBinBXq?BzqB,v115@GhA8IeA8EeA8AeD8DeE8JeRCJvhFTkB/qBFmBinB0p?BmqB
TLOIZSJ,O,X,X,O,O,O,X,X,X,X,X
TLOJISZ,O,O,O,O,O,X,X,O,X,X,X
TLOJIZS,O,X,O,O,O,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,O,X,X,O,X,X,X
TLOJSZI,O,O,O,X,O,X,X,O,X,X,X
TLOJZIS,O,X,O,X,O,X,X,X,X,X,X
TLOJZSI,O,X,O,X,O,X,X,X,X,X,X
TLOSIJZ,O,O,O,O,O,O,X,O,X,X,O
TLOSIZJ,O,O,O,O,O,O,O,O,X,O,O
TLOSJIZ,O,O,O,X,O,O,X,O,X,X,O
TLOSJZI,O,O,O,X,O,O,X,O,X,X,O
TLOSZIJ,O,O,O,X,O,O,O,O,X,O,O
TLOSZJI,O,O,O,X,O,O,O,O,X,O,O
TLOZIJS,O,X,X,O,O,X,X,X,O,X,X
TLOZISJ,O,X,X,O,O,O,X,X,O,X,X
TLOZJIS,O,X,X,X,O,X,X,X,O,X,X
TLOZJSI,O,X,X,X,O,X,X,X,O,X,X
TLOZSIJ,O,X,X,X,O,O,X,X,O,X,X
TLOZSJI,O,X,X,X,O,O,X,X,O,X,X
TJILSZO,O,O,X,O,X,X,X,O,X,X,X
TJILSOZ,O,O,X,O,X,X,X,O,X,X,X
TJILZSO,O,O,X,O,X,X,X,O,X,X,X
TJILZOS,O,O,X,O,X,X,X,X,X,X,X
TJILOSZ,O,O,X,O,O,X,X,O,X,X,X
TJILOZS,O,X,X,O,O,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,O,X,X,X
TJISLOZ,O,O,X,O,O,X,X,O,X,X,X
TJISZLO,O,O,X,O,X,X,X,O,X,X,X
TJISZOL,O,O,X,O,O,X,X,O,X,X,X
TJISOLZ,O,X,X,O,O,X,X,X,X,X,X
TJISOZL,O,O,X,O,O,X,X,O,X,X,X
TJIZLSO,O,O,X,O,X,X,X,O,X,X,X
TJIZLOS,O,O,X,O,X,X,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,X,O,X,X,X
TJIZSOL,O,O,X,O,X,X,X,O,X,X,X
TJIZOLS,X,O,X,O,X,X,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,O,X,X,O,X,X,X
TJIOLZS,O,X,X,O,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,O,O,X,X,X,X,X,X
TJIOSZL,O,O,X,O,O,X,X,O,X,X,X
TJIOZLS,X,O,X,O,X,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,O,O,X,O,X
TJLISOZ,O,O,O,O,X,X,X,O,X,X,O
TJLIZSO,O,O,O,O,X,X,X,O,X,X,X
TJLIZOS,O,O,O,O,X,X,X,X,X,X,X
TJLIOSZ,O,O,O,O,O,X,X,O,X,X,X
TJLIOZS,O,X,O,O,O,X,X,X,X,X,X
TJLSIZO,O,O,O,X,X,X,O,O,X,O,X
TJLSIOZ,O,O,O,X,O,X,X,O,X,X,O
TJLSZIO,O,O,O,X,X,X,O,O,X,O,X
TJLSZOI,O,O,O,X,X,X,O,O,X,O,X
TJLSOIZ,O,O,O,X,O,X,X,O,X,X,O
TJLSOZI,O,O,O,X,O,X,X,O,X,X,O
TJLZISO,O,O,O,X,X,X,X,O,X,X,X
TJLZIOS,O,O,O,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,O,X,X,X
TJLZSOI,O,O,O,X,X,X,X,O,X,X,X
TJLZOIS,O,O,O,X,O,X,X,X,X,X,X
TJLZOSI,O,O,O,X,O,X,X,X,X,X,X
TJLOISZ,O,O,O,O,O,X,X,O,X,X,X
TJLOIZS,O,X,O,O,O,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,O,X,X,O,X,X,X
TJLOSZI,O,O,O,X,O,X,X,O,X,X,X
TJLOZIS,O,X,O,X,O,X,X,X,X,X,X
TJLOZSI,O,X,O,X,O,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,X,X,O,X,X,X
TJSILOZ,O,O,O,X,O,X,X,O,X,X,X
TJSIZLO,O,O,O,X,X,X,X,O,X,X,X
TJSIZOL,O,O,O,X,O,X,X,O,X,X,X
TJSIOLZ,O,X,O,X,O,X,X,X,X,X,X
TJSIOZL,O,O,O,X,O,X,X,O,X,X,X
TJSLIZO,O,O,O,X,X,X,O,O,X,O,X
TJSLIOZ,O,O,O,X,O,X,X,O,X,X,O
TJSLZIO,O,O,O,X,X,X,O,O,X,O,X
TJSLZOI,O,O,O,X,X,X,O,O,X,O,X
TJSLOIZ,O,O,O,X,O,X,X,O,X,X,O
TJSLOZI,O,O,O,X,O,X,X,O,X,X,O
TJSZILO,O,O,O,X,X,X,X,O,X,O,X
TJSZIOL,O,O,O,X,O,X,X,O,X,X,X
TJSZLIO,O,O,O,X,X,X,O,O,X,O,X
TJSZLOI,O,O,O,X,X,X,O,O,X,O,X
TJSZOIL,O,O,O,X,O,X,X,O,X,X,X
TJSZOLI,O,O,O,X,O,X,O,O,X,O,X
TJSOILZ,O,X,O,X,O,X,X,X,X,X,X
TJSOIZL,O,O,O,X,O,X,X,O,X,X,X
TJSOLIZ,O,O,O,X,O,X,X,O,X,X,O
TJSOLZI,O,O,O,X,O,X,X,O,X,X,O
TJSOZIL,O,O,O,X,O,X,X,O,X,X,X
TJSOZLI,O,O,O,X,O,X,X,O,X,X,X
TJZILSO,O,O,X,X,X,X,X,O,X,X,X
TJZILOS,O,O,O,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,O,X,X,X
TJZISOL,O,O,X,X,X,X,X,O,X,X,X
TJZIOLS,X,O,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,X,X,O,X,X,X
TJZLIOS,O,O,O,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X,O,X,X,X
TJZLSOI,O,O,O,X,X,X,X,O,X,X,X
TJZLOIS,O,O,O,X,O,X,X,X,X,X,X
TJZLOSI,O,O,O,X,O,X,X,X,X,X,X
TJZSILO,O,O,O,X,X,X,X,O,X,X,X
TJZSIOL,O,O,O,X,O,X,X,O,X,X,X
TJZSLIO,O,O,O,X,X,X,X,O,X,X,X
TJZSLOI,O,O,O,X,X,X,X,O,X,X,X
TJZSOIL,O,O,O,X,O,X,X,O,X,X,X
TJZSOLI,O,O,O,X,O,X,X,O,X,X,X
TJZOILS,X,O,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,X,O,X,X,X,X,X,X
TJZOLSI,O,O,O,X,O,X,X,X,X,X,X
TJZOSIL,O,O,O,X,O,X,X,X,X,X,X
TJZOSLI,O,O,O,X,O,X,X,X,X,X,X
TJOILSZ,O,O,O,O,O,X,X,O,X,X,X
TJOILZS,O,X,O,O,O,X,X,X,X,X,X
TJOISLZ,O,X,O,O,O,X,X,X,X,X,X
TJOISZL,O,O,O,O,O,X,X,O,X,X,X
TJOIZLS,X,O,O,O,X,X,X,X,X,X,X
TJOIZSL,O,O,O,O,X,X,X,X,X,X,X
TJOLISZ,O,O,O,O,O,X,X,O,X,X,X
TJOLIZS,O,X,O,O,O,X,X,X,X,X,X
TJOLSIZ,O,O,O,X,O,X,X,O,X,X,X
TJOLSZI,O,O,O,X,O,X,X,O,X,X,X
TJOLZIS,O,X,O,X,O,X,X,X,X,X,X
TJOLZSI,O,X,O,X,O,X,X,X,X,X,X
TJOSILZ,O,X,O,X,O,X,X,X,X,X,X
TJOSIZL,O,O,O,X,O,X,X,O,X,X,X
TJOSLIZ,O,O,O,X,O,X,X,O,X,X,X
TJOSLZI,O,O,O,X,O,X,X,O,X,X,X
TJOSZIL,O,O,O,X,O,X,X,O,X,X,X
TJOSZLI,O,O,O,X,O,X,X,O,X,X,X
TJOZILS,X,O,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,O,X,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,O,X,X,X,X,X,X
TJOZLSI,O,O,O,X,O,X,X,X,X,X,X
TJOZSIL,O,O,O,X,O,X,X,X,X,X,X
TJOZSLI,O,O,O,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,O,X,X,O,O,X,O,X
TSILJOZ,O,O,O,O,O,X,X,O,X,X,O
TSILZJO,O,O,O,O,X,X,O,O,X,O,X
TSILZOJ,O,O,O,O,X,X,O,O,X,O,O
TSILOJZ,O,O,O,O,X,X,X,O,X,X,O
TSILOZJ,O,O,O,O,X,X,O,O,X,O,O
TSIJLZO,O,O,O,O,X,X,X,O,X,X,X
TSIJLOZ,O,O,O,O,O,X,X,O,X,X,X
TSIJZLO,O,O,O,O,X,X,X,O,X,X,X
TSIJZOL,O,O,O,O,O,X,X,O,X,X,X
TSIJOLZ,O,X,O,O,O,X,X,X,X,X,X
TSIJOZL,O,O,O,O,O,X,X,O,X,X,X
TSIZLJO,O,O,O,O,X,X,O,O,X,O,X
TSIZLOJ,O,O,O,O,X,X,O,O,X,O,X
TSIZJLO,O,O,O,O,X,X,X,O,X,O,X
TSIZJOL,O,O,O,O,O,X,X,O,X,X,X
TSIZOLJ,O,O,O,O,X,X,O,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,O,X,X,X
TSIOLJZ,O,X,O,O,O,X,X,X,X,X,O
TSIOLZJ,O,X,O,O,O,X,X,X,X,X,O
TSIOJLZ,O,X,O,O,O,X,X,X,X,X,X
TSIOJZL,O,O,O,O,O,X,X,O,X,X,X
TSIOZLJ,O,O,O,O,X,X,X,X,X,X,X
TSIOZJL,O,O,O,O,O,X,X,O,X,X,X
TSLIJZO,O,O,O,O,X,X,O,O,X,O,X
TSLIJOZ,O,O,O,O,O,X,X,O,X,X,O
TSLIZJO,O,O,O,O,X,X,O,O,X,O,X
TSLIZOJ,O,O,O,O,X,X,O,O,X,O,O
TSLIOJZ,O,O,O,O,X,O,X,O,X,X,O
TSLIOZJ,O,O,O,O,X,O,O,O,X,O,O
TSLJIZO,O,O,O,X,X,X,O,O,X,O,X
TSLJIOZ,O,O,O,X,O,X,X,O,X,X,O
TSLJZIO,O,O,O,X,X,X,O,O,X,O,X
TSLJZOI,O,O,O,X,X,X,O,O,X,O,X
TSLJOIZ,O,O,O,X,O,X,X,O,X,X,O
TSLJOZI,O,O,O,X,O,X,X,O,X,X,O
TSLZIJO,O,O,O,X,X,X,O,O,X,O,X
TSLZIOJ,O,O,O,X,X,X,O,O,X,O,O
TSLZJIO,O,O,O,X,X,X,O,O,X,O,X
TSLZJOI,O,O,O,X,X,X,O,O,X,O,X
TSLZOIJ,O,O,O,X,X,X,O,O,X,O,O
TSLZOJI,O,O,O,X,X,X,O,O,X,O,O
TSLOIJZ,O,O,O,O,O,O,X,O,X,X,O
TSLOIZJ,O,O,O,O,O,O,O,O,X,O,O
TSLOJIZ,O,O,O,X,O,O,X,O,X,X,O
TSLOJZI,O,O,O,X,O,O,X,O,X,X,O
TSLOZIJ,O,O,O,X,O,O,O,O,X,O,O
TSLOZJI,O,O,O,X,O,O,O,O,X,O,O
TSJILZO,O,O,O,X,X,X,X,O,X,X,X
TSJILOZ,O,O,O,X,O,X,X,O,X,X,X
TSJIZLO,O,O,O,X,X,X,X,O,X,X,X
TSJIZOL,O,O,O,X,O,X,X,O,X,X,X
TSJIOLZ,O,X,O,X,O,X,X,X,X,X,X
TSJIOZL,O,O,O,X,O,X,X,O,X,X,X
TSJLIZO,O,O,O,X,X,X,O,O,X,O,X
TSJLIOZ,O,O,O,X,O,X,X,O,X,X,O
TSJLZIO,O,O,O,X,X,X,O,O,X,O,X
TSJLZOI,O,O,O,X,X,X,O,O,X,O,X
TSJLOIZ,O,O,O,X,O,X,X,O,X,X,O
TSJLOZI,O,O,O,X,O,X,X,O,X,X,O
TSJZILO,O,O,O,X,X,X,X,O,X,O,X
TSJZIOL,O,O,O,X,O,X,X,O,X,X,X
TSJZLIO,O,O,O,X,X,X,O,O,X,O,X
TSJZLOI,O,O,O,X,X,X,O,O,X,O,X
TSJZOIL,O,O,O,X,O,X,X,O,X,X,X
TSJZOLI,O,O,O,X,O,X,O,O,X,O,X
TSJOILZ,O,X,O,X,O,X,X,X,X,X,X
TSJOIZL,O,O,O,X,O,X,X,O,X,X,X
