sequence,v115@HhB8HeA8HeG8BeB8Jex/IvhFcnBTjBVqBGmBimB3sB,v115@HhB8HeA8HeG8BeB8Jex/IvhF3iBcoBVqBGmBimBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF0hBSoBXlBVrBmnBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF2mBliBcoBXlBSrBTsB,v115@HhB8HeA8HeG8BeB8Je/FJvhFamBumBxnB0kBFoBTsB,v115@HhB8HeA8HeG8BeB8JeRCJvhFSoBmlBzmB0kBllB3sB,v115@HhB8HeA8HeG8BeB8JeRCJvhFcoBmlBCnBlkB3lBTsB,v115@HhB8HeA8HeG8BeB8JeqGJvhFllBxnB0kBmlBXoBTsB
TIJOZSL,O,O,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,X,X,O
TISLJOZ,O,X,X,X,O,X,X,O
TISLZJO,O,X,O,X,X,X,X,O
TISLZOJ,O,X,O,X,X,X,X,O
TISLOJZ,O,X,O,X,X,X,X,O
TISLOZJ,O,X,O,X,X,X,X,O
TISJLZO,O,X,O,X,O,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X
TISJZLO,O,O,O,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X
TISJOLZ,O,X,O,X,X,X,X,X
TISJOZL,O,O,O,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,X
TISOLJZ,O,X,O,X,X,X,X,X
TISOLZJ,O,X,O,X,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X
TISOJZL,O,O,O,O,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X
TISOZJL,O,O,O,O,X,X,X,X
TIZLJSO,X,O,X,X,X,X,X,O
TIZLJOS,X,O,X,X,X,X,X,O
TIZLSJO,X,O,O,X,X,X,X,O
TIZLSOJ,X,X,O,X,X,X,X,O
TIZLOJS,X,O,X,X,X,X,X,O
TIZLOSJ,X,O,X,X,X,X,X,O
TIZJLSO,X,O,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X
TIZSOJL,O,O,X,O,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,X
TIZOSJL,O,O,X,O,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,O
TIOLJZS,X,O,X,X,X,X,X,O
TIOLSJZ,O,X,O,X,X,X,X,O
TIOLSZJ,O,X,O,X,X,X,X,O
TIOLZJS,X,O,X,X,X,X,X,O
TIOLZSJ,X,O,O,X,X,X,X,O
TIOJLSZ,O,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,X,X
TIOSJZL,O,O,O,O,X,X,X,X
TIOSZLJ,O,O,O,O,X,X,X,X
TIOSZJL,O,O,O,O,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,O,O,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,X
TIOZSJL,O,O,O,O,X,X,X,X
TLIJSZO,O,X,X,X,O,X,X,O
TLIJSOZ,O,X,X,X,O,X,X,O
TLIJZSO,X,O,X,X,X,X,X,O
TLIJZOS,X,O,X,X,X,X,X,O
TLIJOSZ,O,X,X,X,X,X,X,O
TLIJOZS,X,O,X,X,X,X,X,O
TLISJZO,O,X,O,X,O,X,X,O
TLISJOZ,O,X,X,X,O,X,X,O
TLISZJO,O,X,O,X,X,X,X,O
TLISZOJ,O,X,O,X,X,X,X,O
TLISOJZ,O,X,X,X,X,O,X,O
TLISOZJ,O,X,O,X,X,X,X,O
TLIZJSO,X,O,X,X,X,X,X,O
TLIZJOS,X,O,X,X,X,X,X,O
TLIZSJO,X,O,O,X,X,X,X,O
TLIZSOJ,X,X,O,X,X,X,X,O
TLIZOJS,X,O,X,X,X,X,X,O
TLIZOSJ,X,O,X,X,X,X,X,O
TLIOJSZ,O,X,X,X,X,O,X,O
TLIOJZS,X,O,X,X,X,O,X,O
TLIOSJZ,O,X,X,X,X,X,X,O
TLIOSZJ,O,X,X,X,X,X,X,O
TLIOZJS,X,O,X,X,X,X,X,O
TLIOZSJ,X,O,X,X,X,X,X,O
TLJISZO,O,X,X,X,O,X,X,O
TLJISOZ,O,X,X,X,O,X,X,O
TLJIZSO,X,O,X,X,X,X,X,O
TLJIZOS,X,O,X,X,X,X,X,O
TLJIOSZ,O,X,X,X,X,X,X,O
TLJIOZS,X,O,X,X,X,X,X,O
TLJSIZO,O,X,O,X,O,X,X,X
TLJSIOZ,O,X,X,X,O,X,X,X
TLJSZIO,O,X,O,X,X,X,X,X
TLJSZOI,O,X,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,O,X,X
TLJSOZI,O,X,X,X,X,O,X,X
TLJZISO,X,O,X,X,X,X,O,X
TLJZIOS,X,O,X,X,X,X,O,X
TLJZSIO,X,O,O,X,X,X,O,X
TLJZSOI,X,O,O,X,X,X,O,X
TLJZOIS,X,O,X,X,X,X,O,X
TLJZOSI,X,O,X,X,X,X,O,X
TLJOISZ,O,X,X,X,O,O,X,X
TLJOIZS,X,O,X,X,X,O,X,X
TLJOSIZ,O,X,X,X,O,O,X,X
TLJOSZI,O,X,X,X,X,O,X,X
TLJOZIS,X,O,X,X,X,O,X,X
TLJOZSI,X,O,X,X,X,O,X,X
TLSIJZO,O,X,O,X,O,X,X,O
TLSIJOZ,O,X,X,X,O,X,X,O
TLSIZJO,O,X,O,X,X,X,X,O
TLSIZOJ,O,X,O,X,X,X,X,O
TLSIOJZ,O,X,O,X,X,O,X,O
TLSIOZJ,O,X,O,X,X,X,X,O
TLSJIZO,O,X,O,X,O,X,X,X
TLSJIOZ,O,X,X,X,O,X,X,X
TLSJZIO,O,X,O,X,X,X,X,X
TLSJZOI,O,X,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,O,X,X
TLSJOZI,O,X,X,X,X,O,X,X
TLSZIJO,O,X,O,X,X,X,X,X
TLSZIOJ,O,X,O,X,X,X,X,X
TLSZJIO,O,X,O,X,X,X,X,X
TLSZJOI,O,X,O,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X,X
TLSZOJI,O,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,O,O,X,X
TLSOIZJ,O,X,O,X,X,X,X,X
TLSOJIZ,O,X,O,X,O,O,X,X
TLSOJZI,O,X,O,X,X,O,X,X
TLSOZIJ,O,X,O,X,X,X,X,X
TLSOZJI,O,X,O,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X,O,O
TLZIJOS,X,O,X,X,X,X,O,O
TLZISJO,X,O,O,X,X,X,X,O
TLZISOJ,X,X,O,X,X,X,X,O
TLZIOJS,X,O,X,X,X,X,X,O
TLZIOSJ,X,O,X,X,X,X,X,O
TLZJISO,X,O,X,X,X,X,O,X
TLZJIOS,X,O,X,X,X,X,O,X
TLZJSIO,X,O,O,X,X,X,O,X
TLZJSOI,X,O,O,X,X,X,O,X
TLZJOIS,X,O,X,X,X,X,O,X
TLZJOSI,X,O,X,X,X,X,O,X
TLZSIJO,X,O,O,X,X,X,X,X
TLZSIOJ,X,X,O,X,X,X,X,X
TLZSJIO,X,O,O,X,X,X,X,X
TLZSJOI,X,O,O,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,X,X
TLZSOJI,X,X,O,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,X,X,X
TLZOSJI,X,O,O,X,X,X,X,X
TLOIJSZ,O,X,X,X,O,O,X,O
TLOIJZS,X,O,X,X,X,O,X,O
TLOISJZ,O,X,O,X,O,X,X,O
TLOISZJ,O,X,O,X,X,X,X,O
TLOIZJS,X,O,X,X,X,X,X,O
TLOIZSJ,X,O,O,X,X,X,X,O
TLOJISZ,O,X,X,X,O,O,X,X
TLOJIZS,X,O,X,X,X,O,X,X
TLOJSIZ,O,X,O,X,O,O,X,X
TLOJSZI,O,X,O,X,X,O,X,X
TLOJZIS,X,O,X,X,X,O,X,X
TLOJZSI,X,O,O,X,X,O,X,X
TLOSIJZ,O,X,O,X,O,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,X,X
TLOSJZI,O,X,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,X,X,X
TLOSZJI,O,X,O,X,X,X,X,X
TLOZIJS,X,O,X,X,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X,X
TLOZJIS,X,O,X,X,X,X,X,X
TLOZJSI,X,O,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,X,X,X,X
TLOZSJI,X,O,O,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,X,O
TJILSOZ,O,X,X,X,O,X,X,O
TJILZSO,X,O,X,X,X,X,X,O
TJILZOS,X,O,X,X,X,X,X,O
TJILOSZ,O,X,X,X,X,X,X,O
TJILOZS,X,O,X,X,X,X,X,O
TJISLZO,O,X,X,X,O,X,X,X
TJISLOZ,O,X,X,X,O,X,X,X
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X
TJIZLSO,X,O,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,X,X,O
TJLISOZ,O,X,X,X,O,X,X,O
TJLIZSO,X,O,X,X,X,X,X,O
TJLIZOS,X,O,X,X,X,X,X,O
TJLIOSZ,O,X,X,X,X,X,X,O
TJLIOZS,X,O,X,X,X,X,X,O
TJLSIZO,O,X,O,X,O,X,X,X
TJLSIOZ,O,X,X,X,O,X,X,X
TJLSZIO,O,X,O,X,X,X,X,X
TJLSZOI,O,X,O,X,X,X,X,X
TJLSOIZ,O,X,X,X,O,O,X,X
TJLSOZI,O,X,X,X,X,O,X,X
TJLZISO,X,O,X,X,X,X,O,X
TJLZIOS,X,O,X,X,X,X,O,X
TJLZSIO,X,O,O,X,X,X,O,X
TJLZSOI,X,O,O,X,X,X,O,X
TJLZOIS,X,O,X,X,X,X,O,X
TJLZOSI,X,O,X,X,X,X,O,X
TJLOISZ,O,X,X,X,O,O,X,X
TJLOIZS,X,O,X,X,X,O,X,X
TJLOSIZ,O,X,X,X,O,O,X,X
TJLOSZI,O,X,X,X,X,O,X,X
TJLOZIS,X,O,X,X,X,O,X,X
TJLOZSI,X,O,X,X,X,O,X,X
TJSILZO,O,X,O,X,O,X,X,X
TJSILOZ,O,X,X,X,O,X,X,X
TJSIZLO,O,O,O,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,X,X,X
TJSIOZL,O,O,O,X,X,X,X,X
TJSLIZO,O,X,O,X,O,X,X,X
TJSLIOZ,O,X,X,X,O,X,X,X
TJSLZIO,O,X,O,X,X,X,X,X
TJSLZOI,O,X,O,X,X,X,X,X
TJSLOIZ,O,X,X,X,O,O,X,X
TJSLOZI,O,X,X,X,X,O,X,X
TJSZILO,O,O,O,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X
TJSOILZ,O,X,O,X,O,O,X,X
TJSOIZL,O,O,O,X,X,X,X,X
TJSOLIZ,O,X,O,X,O,O,X,X
TJSOLZI,O,X,O,X,X,O,X,X
TJSOZIL,O,O,O,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X
TJZILSO,X,O,X,X,X,X,X,X
TJZILOS,X,O,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X
TJZLISO,X,O,X,X,X,X,O,X
TJZLIOS,X,O,X,X,X,X,O,X
TJZLSIO,X,O,O,X,X,X,O,X
TJZLSOI,X,O,O,X,X,X,O,X
TJZLOIS,X,O,X,X,X,X,O,X
TJZLOSI,X,O,X,X,X,X,O,X
TJZSILO,O,O,O,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X,O,X
TJZOLSI,X,O,X,X,X,X,O,X
TJZOSIL,O,O,X,X,X,X,X,X
TJZOSLI,O,O,X,X,X,X,X,X
TJOILSZ,O,X,X,X,O,O,X,X
TJOILZS,X,O,X,X,X,O,X,X
TJOISLZ,O,X,X,X,O,X,X,X
TJOISZL,O,O,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X
TJOLISZ,O,X,X,X,O,O,X,X
TJOLIZS,X,O,X,X,X,O,X,X
TJOLSIZ,O,X,O,X,O,O,X,X
TJOLSZI,O,X,O,X,X,O,X,X
TJOLZIS,X,O,X,X,X,O,O,X
TJOLZSI,X,O,O,X,X,O,O,X
TJOSILZ,O,X,O,X,O,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X
TJOSLIZ,O,X,O,X,O,X,X,X
TJOSLZI,O,X,O,X,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,O,X
TJOZLSI,X,O,O,X,X,X,O,X
TJOZSIL,O,O,O,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X
TSILJZO,O,X,O,X,O,X,X,O
TSILJOZ,O,X,X,X,O,X,X,O
TSILZJO,O,X,O,X,X,X,X,O
TSILZOJ,O,X,O,X,X,X,X,O
TSILOJZ,O,X,O,X,X,X,X,O
TSILOZJ,O,X,O,X,X,X,X,O
TSIJLZO,O,X,O,X,O,X,X,X
TSIJLOZ,O,X,X,X,O,X,X,X
TSIJZLO,O,O,O,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,X
TSIJOLZ,O,X,O,X,X,X,X,X
TSIJOZL,O,O,O,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,O,O,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,X
TSIOLJZ,O,X,O,X,X,X,X,X
TSIOLZJ,O,X,O,X,X,X,X,X
TSIOJLZ,O,X,O,X,X,X,X,X
TSIOJZL,O,O,O,O,X,X,X,X
TSIOZLJ,O,O,O,O,X,X,X,X
TSIOZJL,O,O,O,O,X,X,X,X
TSLIJZO,O,X,O,X,O,X,X,O
TSLIJOZ,O,X,X,X,O,X,X,O
TSLIZJO,O,X,O,X,X,X,X,O
TSLIZOJ,O,X,O,X,X,X,X,O
TSLIOJZ,O,X,O,X,X,O,X,O
TSLIOZJ,O,X,O,X,X,X,X,O
TSLJIZO,O,X,O,X,O,X,X,X
TSLJIOZ,O,X,X,X,O,X,X,X
TSLJZIO,O,X,O,X,X,X,X,X
TSLJZOI,O,X,O,X,X,X,X,X
TSLJOIZ,O,X,X,X,O,O,X,X
TSLJOZI,O,X,X,X,X,O,X,X
TSLZIJO,O,X,O,X,X,X,X,X
TSLZIOJ,O,X,O,X,X,X,X,X
TSLZJIO,O,X,O,X,X,X,X,X
TSLZJOI,O,X,O,X,X,X,X,X
TSLZOIJ,O,X,O,X,X,X,X,X
TSLZOJI,O,X,O,X,X,X,X,X
TSLOIJZ,O,X,O,X,O,O,X,X
TSLOIZJ,O,X,O,X,X,X,X,X
TSLOJIZ,O,X,O,X,O,O,X,X
TSLOJZI,O,X,O,X,X,O,X,X
TSLOZIJ,O,X,O,X,X,X,X,X
TSLOZJI,O,X,O,X,X,X,X,X
TSJILZO,O,X,O,X,O,X,X,X
TSJILOZ,O,X,X,X,O,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X
TSJIZOL,O,O,X,X,X,X,X,X
TSJIOLZ,O,X,O,X,X,X,X,X
TSJIOZL,O,O,O,X,X,X,X,X
TSJLIZO,O,X,O,X,O,X,X,X
TSJLIOZ,O,X,X,X,O,X,X,X
TSJLZIO,O,X,O,X,X,X,X,X
TSJLZOI,O,X,O,X,X,X,X,X
TSJLOIZ,O,X,X,X,O,O,X,X
TSJLOZI,O,X,X,X,X,O,X,X
TSJZILO,O,O,O,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,X
TSJOILZ,O,X,O,X,O,O,X,X
TSJOIZL,O,O,O,X,X,X,X,X
TSJOLIZ,O,X,O,X,O,O,X,X
TSJOLZI,O,X,O,X,X,O,X,X
TSJOZIL,O,O,O,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,X,O,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,O,X,X,X,X
TSZIOJL,O,O,O,O,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,X
TSZLOJI,O,X,O,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X
TSZJOLI,O,O,X,X,X,X,X,X
TSZOILJ,O,O,O,O,X,X,X,X
TSZOIJL,O,O,O,O,X,X,X,X
TSZOLIJ,O,O,O,O,X,X,X,X
TSZOLJI,O,O,O,O,X,X,X,X
TSZOJIL,O,O,O,O,X,X,X,X
TSZOJLI,O,O,O,O,X,X,X,X
TSOILJZ,O,X,O,X,O,O,X,X
TSOILZJ,O,X,O,X,X,X,X,X
TSOIJLZ,O,X,O,X,O,O,X,X
TSOIJZL,O,O,O,O,X,X,X,X
TSOIZLJ,O,O,O,O,X,X,X,X
TSOIZJL,O,O,O,O,X,X,X,X
TSOLIJZ,O,X,O,X,O,O,X,X
TSOLIZJ,O,X,O,X,X,X,X,X
TSOLJIZ,O,X,O,X,O,O,X,X
TSOLJZI,O,X,O,X,X,O,X,X
TSOLZIJ,O,X,O,X,X,X,X,X
TSOLZJI,O,X,O,X,X,X,X,X
TSOJILZ,O,X,O,X,O,O,X,X
TSOJIZL,O,O,O,O,X,X,X,X
TSOJLIZ,O,X,O,X,O,O,X,X
TSOJLZI,O,X,O,X,X,O,X,X
TSOJZIL,O,O,O,O,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,X
TSOZILJ,O,O,O,O,X,X,X,X
TSOZIJL,O,O,O,O,X,X,X,X
TSOZLIJ,O,O,O,O,X,X,X,X
TSOZLJI,O,O,O,O,X,X,X,X
TSOZJIL,O,O,O,O,X,X,X,X
TSOZJLI,O,O,O,O,X,X,X,X
TZILJSO,X,O,X,X,X,X,O,O
TZILJOS,X,O,X,X,X,X,O,O
TZILSJO,X,O,O,X,X,X,X,O
TZILSOJ,X,X,O,X,X,X,X,O
TZILOJS,X,O,X,X,X,X,X,O
TZILOSJ,X,O,X,X,X,X,X,O
TZIJLSO,X,O,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,X,X,X
TZISLOJ,O,X,O,X,X,X,X,X
TZISJLO,O,O,O,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
TZISOLJ,O,O,O,O,X,X,X,X
TZISOJL,O,O,X,O,X,X,X,X
TZIOLJS,X,O,X,X,X,X,O,X
TZIOLSJ,X,O,X,O,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,X
TZIOJSL,O,O,X,O,X,X,X,X
TZIOSLJ,O,O,X,O,X,X,X,X
TZIOSJL,O,O,X,O,X,X,X,X
TZLIJSO,X,O,X,X,X,X,O,O
TZLIJOS,X,O,X,X,X,X,O,O
TZLISJO,X,O,O,X,X,X,X,O
TZLISOJ,X,X,O,X,X,X,X,O
TZLIOJS,X,O,X,X,X,X,X,O
TZLIOSJ,X,O,X,X,X,X,X,O
TZLJISO,X,O,X,X,X,X,O,X
TZLJIOS,X,O,X,X,X,X,O,X
TZLJSIO,X,O,O,X,X,X,O,X
TZLJSOI,X,O,O,X,X,X,O,X
TZLJOIS,X,O,X,X,X,X,O,X
TZLJOSI,X,O,X,X,X,X,O,X
TZLSIJO,X,O,O,X,X,X,X,X
TZLSIOJ,X,X,O,X,X,X,X,X
TZLSJIO,X,O,O,X,X,X,X,X
TZLSJOI,X,O,O,X,X,X,X,X
TZLSOIJ,X,X,O,X,X,X,X,X
TZLSOJI,X,X,O,X,X,X,X,X
TZLOIJS,X,O,X,X,X,X,X,X
TZLOISJ,X,O,X,X,X,X,X,X
TZLOJIS,X,O,X,X,X,X,X,X
TZLOJSI,X,O,X,X,X,X,X,X
TZLOSIJ,X,O,O,X,X,X,X,X
TZLOSJI,X,O,O,X,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,X
TZJILOS,X,O,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X
TZJLISO,X,O,X,X,X,X,O,X
TZJLIOS,X,O,X,X,X,X,O,X
TZJLSIO,X,O,O,X,X,X,O,X
TZJLSOI,X,O,O,X,X,X,O,X
TZJLOIS,X,O,X,X,X,X,O,X
TZJLOSI,X,O,X,X,X,X,O,X
TZJSILO,O,O,O,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X
TZJOILS,X,O,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X
TZJOLIS,X,O,X,X,X,X,O,X
TZJOLSI,X,O,X,X,X,X,O,X
TZJOSIL,O,O,X,X,X,X,X,X
