sequence,v115@GhC8FeD8FeC8GeB8Jex/IvhF0hBliBmlBXqBSwBTsB,v115@GhC8FeD8FeC8GeB8Jex/IvhFlhB3iBeqBCrBTsBUrB,v115@GhC8FeD8FeC8GeB8Jex/IvhFOmBliBzmB0qBSxBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFThBiiB+sB0qBlrBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFKmBzhBunB0qBVxBXqB,v115@GhC8FeD8FeC8GeB8JeRBJvhF3iBOqB0mBzqBSxBlpB,v115@GhC8FeD8FeC8GeB8JeTAJvhFlhB3iByqBGsB0pBRwB,v115@GhC8FeD8FeC8GeB8JeRCJvhF/qBFmB6sBzrB0pBmqB
TIJOSZL,O,O,X,X,X,X,X,X
TIJOZLS,O,X,X,O,O,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,O,X
TISLJOZ,O,O,X,X,O,X,O,X
TISLZJO,O,X,O,X,X,X,X,X
TISLZOJ,O,X,O,X,X,X,X,X
TISLOJZ,O,O,O,X,O,X,O,X
TISLOZJ,O,O,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,O,X
TISJLOZ,O,O,X,X,O,X,O,X
TISJZLO,O,X,X,X,O,X,O,X
TISJZOL,O,O,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,O,X
TISJOZL,O,O,X,X,X,X,X,X
TISZLJO,O,X,O,X,O,X,X,X
TISZLOJ,O,X,O,X,O,X,X,X
TISZJLO,O,X,O,X,O,X,O,X
TISZJOL,O,O,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,O,X
TISOJZL,O,O,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X
TIZLJSO,O,X,O,O,O,X,X,X
TIZLJOS,O,X,O,O,O,X,X,X
TIZLSJO,O,X,O,X,O,X,X,X
TIZLSOJ,X,X,O,X,O,X,X,X
TIZLOJS,O,X,O,X,O,X,X,X
TIZLOSJ,X,X,O,X,O,X,X,X
TIZJLSO,X,X,O,O,O,X,X,X
TIZJLOS,X,X,O,O,O,X,X,X
TIZJSLO,X,X,O,O,O,X,X,X
TIZJSOL,X,X,X,O,X,X,X,X
TIZJOLS,X,X,O,O,O,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X
TIZSLJO,O,X,O,X,O,X,X,X
TIZSLOJ,O,X,O,X,O,X,X,X
TIZSJLO,O,X,O,X,O,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,O,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X
TIZOJLS,O,X,O,X,O,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,O,X,X,X
TIOLJZS,O,X,O,X,O,X,X,X
TIOLSJZ,O,O,O,X,O,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X
TIOLZJS,O,X,O,X,O,X,X,X
TIOLZSJ,O,O,O,X,O,X,X,X
TIOJLSZ,O,O,X,X,O,X,X,X
TIOJLZS,O,O,X,X,O,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,O,X,O,X,O,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X
TIOZJLS,O,X,O,X,O,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,X,X,X
TLIJZSO,O,X,O,O,O,X,X,X
TLIJZOS,O,X,O,O,O,X,X,X
TLIJOSZ,O,X,O,O,O,X,X,X
TLIJOZS,O,X,O,O,O,X,X,X
TLISJZO,O,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X
TLISZJO,O,X,O,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X,X
TLISOJZ,O,X,O,X,O,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X
TLIZJSO,O,X,O,O,O,X,X,X
TLIZJOS,O,X,O,O,O,X,X,X
TLIZSJO,O,X,O,X,O,X,X,X
TLIZSOJ,X,X,O,X,O,X,X,X
TLIZOJS,O,X,O,X,O,X,X,X
TLIZOSJ,X,X,O,X,O,X,X,X
TLIOJSZ,O,O,O,X,O,X,X,X
TLIOJZS,O,X,O,X,O,X,X,X
TLIOSJZ,O,O,O,X,O,X,X,O
TLIOSZJ,O,O,X,X,X,X,X,O
TLIOZJS,O,X,O,X,O,X,X,X
TLIOZSJ,O,O,O,X,O,X,X,X
TLJISZO,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,O,O,X,X,X
TLJIZSO,O,X,O,O,O,X,X,X
TLJIZOS,O,X,O,O,O,X,X,X
TLJIOSZ,O,O,O,O,O,X,X,X
TLJIOZS,O,O,O,O,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,O,X,X,X
TLJSZIO,O,X,X,O,O,X,X,X
TLJSZOI,O,X,X,O,O,O,X,X
TLJSOIZ,X,X,X,O,O,X,X,X
TLJSOZI,X,X,X,O,O,X,X,X
TLJZISO,O,X,O,O,O,X,X,X
TLJZIOS,O,X,O,O,O,X,X,X
TLJZSIO,O,X,O,O,O,X,X,X
TLJZSOI,O,X,X,O,O,O,X,X
TLJZOIS,O,X,O,O,O,X,X,X
TLJZOSI,O,X,O,O,O,X,X,X
TLJOISZ,O,O,O,O,O,X,X,X
TLJOIZS,O,O,O,O,O,X,X,X
TLJOSIZ,O,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,O,X,X,X
TLJOZIS,O,O,O,O,O,X,X,X
TLJOZSI,O,O,O,O,O,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,O,X,X,X
TLSIZJO,O,X,O,X,X,X,X,X
TLSIZOJ,O,X,O,X,X,X,X,X
TLSIOJZ,O,X,O,X,O,X,X,O
TLSIOZJ,O,X,X,X,X,X,X,O
TLSJIZO,O,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,O,X,X,X
TLSJZIO,O,X,X,X,O,X,X,X
TLSJZOI,O,X,X,X,O,O,X,X
TLSJOIZ,O,X,X,X,O,X,X,O
TLSJOZI,O,X,X,X,O,X,X,O
TLSZIJO,O,X,O,X,O,X,X,X
TLSZIOJ,O,X,O,X,O,X,X,X
TLSZJIO,O,X,O,X,O,X,X,X
TLSZJOI,O,X,X,X,O,O,X,X
TLSZOIJ,O,X,O,X,O,X,X,O
TLSZOJI,X,X,O,X,O,O,X,O
TLSOIJZ,O,X,O,X,O,X,X,O
TLSOIZJ,O,X,X,X,X,X,X,O
TLSOJIZ,O,X,O,X,O,X,X,O
TLSOJZI,O,X,O,X,O,O,X,O
TLSOZIJ,O,X,O,X,O,X,X,O
TLSOZJI,O,X,O,X,O,O,X,O
TLZIJSO,O,X,O,O,O,X,X,X
TLZIJOS,O,X,O,O,O,X,X,X
TLZISJO,O,X,O,X,O,X,X,X
TLZISOJ,X,X,O,X,O,X,X,X
TLZIOJS,O,X,O,X,O,X,X,X
TLZIOSJ,X,X,O,X,O,X,X,X
TLZJISO,O,X,O,X,O,X,X,X
TLZJIOS,O,X,O,X,O,X,X,X
TLZJSIO,O,X,O,X,O,X,X,X
TLZJSOI,O,X,X,X,O,O,X,X
TLZJOIS,O,X,O,X,O,X,X,X
TLZJOSI,O,X,O,X,O,X,X,X
TLZSIJO,O,X,O,X,O,X,X,X
TLZSIOJ,X,X,O,X,O,X,X,X
TLZSJIO,O,X,O,X,O,X,X,X
TLZSJOI,O,X,X,X,O,O,X,X
TLZSOIJ,X,X,O,X,O,X,X,X
TLZSOJI,X,X,O,X,O,O,X,X
TLZOIJS,O,X,O,X,O,X,X,X
TLZOISJ,X,X,O,X,O,X,X,X
TLZOJIS,O,X,O,X,O,O,X,X
TLZOJSI,O,X,O,X,O,O,X,X
TLZOSIJ,X,X,O,X,O,X,X,X
TLZOSJI,X,X,O,X,O,O,X,X
TLOIJSZ,O,O,O,X,O,X,X,X
TLOIJZS,O,O,O,X,O,X,X,X
TLOISJZ,O,O,O,X,O,X,X,O
TLOISZJ,O,O,X,X,X,X,X,O
TLOIZJS,O,X,O,X,O,X,X,X
TLOIZSJ,O,O,O,X,O,X,X,X
TLOJISZ,O,O,O,X,O,X,X,X
TLOJIZS,O,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,X,O,X,X,X
TLOJSZI,O,O,O,X,O,O,X,X
TLOJZIS,O,O,O,X,O,O,X,X
TLOJZSI,O,O,O,X,O,O,X,X
TLOSIJZ,O,O,O,X,O,X,X,O
TLOSIZJ,O,O,X,X,X,X,X,O
TLOSJIZ,O,O,O,X,O,X,X,O
TLOSJZI,O,O,O,X,O,O,X,O
TLOSZIJ,O,O,O,X,O,X,X,O
TLOSZJI,O,O,O,X,O,O,X,O
TLOZIJS,O,X,O,X,O,X,X,X
TLOZISJ,O,O,O,X,O,X,X,X
TLOZJIS,O,O,O,X,O,O,X,X
TLOZJSI,O,O,O,X,O,O,X,X
TLOZSIJ,O,O,O,X,O,X,X,X
TLOZSJI,O,O,O,X,O,O,X,X
TJILSZO,O,X,X,X,X,X,O,X
TJILSOZ,X,X,X,O,O,X,O,X
TJILZSO,O,X,O,O,O,X,O,X
TJILZOS,O,X,O,O,O,X,O,X
TJILOSZ,X,O,O,O,O,X,O,X
TJILOZS,O,O,O,O,O,X,O,X
TJISLZO,O,X,X,X,X,X,O,X
TJISLOZ,O,O,X,O,O,X,O,X
TJISZLO,O,X,X,X,O,X,O,X
TJISZOL,O,O,X,X,X,X,X,X
TJISOLZ,O,O,X,O,X,X,O,X
TJISOZL,O,O,X,X,X,X,X,X
TJIZLSO,X,X,O,O,O,X,O,X
TJIZLOS,X,X,O,O,O,X,O,X
TJIZSLO,X,X,O,O,O,X,O,X
TJIZSOL,X,X,X,O,X,X,X,X
TJIZOLS,X,X,O,O,O,X,X,X
TJIZOSL,X,X,X,O,X,X,X,X
TJIOLSZ,O,O,X,O,O,X,O,X
TJIOLZS,O,O,X,O,O,X,O,X
TJIOSLZ,O,O,X,O,X,X,O,X
TJIOSZL,O,O,X,X,X,X,X,X
TJIOZLS,O,X,X,O,O,X,X,X
TJIOZSL,O,X,X,O,X,X,X,X
TJLISZO,O,X,X,X,X,X,O,X
TJLISOZ,X,X,X,O,O,X,O,X
TJLIZSO,O,X,O,O,O,X,O,X
TJLIZOS,O,X,O,O,O,X,O,X
TJLIOSZ,X,O,O,O,O,X,O,X
TJLIOZS,O,O,O,O,O,X,O,X
TJLSIZO,O,X,X,X,X,X,O,X
TJLSIOZ,X,X,X,O,O,X,O,X
TJLSZIO,O,X,X,O,O,X,X,X
TJLSZOI,O,X,X,O,O,O,X,X
TJLSOIZ,X,X,X,O,O,X,X,X
TJLSOZI,X,X,X,O,O,X,X,X
TJLZISO,O,X,O,O,O,X,X,X
TJLZIOS,O,X,O,O,O,X,X,X
TJLZSIO,O,X,O,O,O,X,X,X
TJLZSOI,O,X,X,O,O,O,X,X
TJLZOIS,O,X,O,O,O,X,X,X
TJLZOSI,O,X,O,O,O,X,X,X
TJLOISZ,X,O,O,O,O,X,X,X
TJLOIZS,O,O,O,O,O,X,X,X
TJLOSIZ,X,O,O,O,O,X,X,X
TJLOSZI,X,O,O,O,O,X,X,X
TJLOZIS,O,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,O,X,X,X
TJSILZO,O,X,X,X,X,X,O,X
TJSILOZ,O,O,X,O,O,X,O,X
TJSIZLO,O,X,X,X,O,X,O,X
TJSIZOL,O,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,O,X,X,O,X
TJSIOZL,O,O,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,O,X
TJSLIOZ,O,O,X,O,O,X,O,X
TJSLZIO,O,X,X,O,O,X,X,X
TJSLZOI,O,X,X,O,O,O,X,X
TJSLOIZ,O,X,X,O,O,X,X,X
TJSLOZI,O,X,X,O,O,X,X,X
TJSZILO,O,X,X,O,O,X,O,X
TJSZIOL,O,O,X,O,X,X,X,X
TJSZLIO,O,X,X,O,O,X,X,X
TJSZLOI,O,X,X,O,O,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X
TJSZOLI,X,X,X,O,O,X,X,X
TJSOILZ,O,O,X,O,X,X,O,X
TJSOIZL,O,O,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,O,X,X,X
TJSOLZI,O,O,X,O,O,O,X,X
TJSOZIL,O,O,X,O,X,X,X,X
TJSOZLI,O,O,X,O,O,X,X,X
TJZILSO,X,X,O,O,O,X,O,X
TJZILOS,X,X,O,O,O,X,O,X
TJZISLO,X,X,O,O,O,X,O,X
TJZISOL,X,X,X,O,X,X,X,X
TJZIOLS,X,X,O,O,O,X,X,X
TJZIOSL,X,X,X,O,X,X,X,X
TJZLISO,X,X,O,O,O,X,X,X
TJZLIOS,X,X,O,O,O,X,X,X
TJZLSIO,X,X,O,O,O,X,X,X
TJZLSOI,X,X,X,O,O,X,X,X
TJZLOIS,X,X,O,O,O,X,X,X
TJZLOSI,X,X,O,O,O,X,X,X
TJZSILO,X,X,O,O,O,X,O,X
TJZSIOL,X,X,X,O,X,X,X,X
TJZSLIO,X,X,X,O,O,X,X,X
TJZSLOI,X,X,X,O,O,X,X,X
TJZSOIL,X,X,X,O,X,X,X,X
TJZSOLI,X,X,X,O,O,X,X,X
TJZOILS,X,X,O,O,O,X,X,X
TJZOISL,X,X,X,O,X,X,X,X
TJZOLIS,X,X,X,O,O,X,X,X
TJZOLSI,X,X,X,O,O,X,X,X
TJZOSIL,X,X,X,O,X,X,X,X
TJZOSLI,X,X,X,O,O,X,X,X
TJOILSZ,O,O,X,O,O,X,O,X
TJOILZS,O,O,X,O,O,X,O,X
TJOISLZ,O,O,X,O,X,X,O,X
TJOISZL,O,O,X,X,X,X,X,X
TJOIZLS,O,X,X,O,O,X,X,X
TJOIZSL,O,X,X,O,X,X,X,X
TJOLISZ,O,O,X,O,O,X,X,X
TJOLIZS,O,O,X,O,O,X,X,X
TJOLSIZ,O,O,X,O,O,X,X,X
TJOLSZI,O,O,X,O,O,O,X,X
TJOLZIS,O,O,X,O,O,O,X,X
TJOLZSI,O,O,X,O,O,O,X,X
TJOSILZ,O,O,X,O,X,X,O,X
TJOSIZL,O,O,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,O,X,X,X
TJOSLZI,O,O,X,O,O,O,X,X
TJOSZIL,O,O,X,O,X,X,X,X
TJOSZLI,O,O,X,O,O,X,X,X
TJOZILS,O,X,X,O,O,X,X,X
TJOZISL,O,X,X,O,X,X,X,X
TJOZLIS,O,X,X,O,O,O,X,X
TJOZLSI,O,X,X,O,O,O,X,X
TJOZSIL,O,X,X,O,X,X,X,X
TJOZSLI,X,X,X,O,O,X,X,X
TSILJZO,O,X,X,X,X,X,O,X
TSILJOZ,O,O,X,X,O,X,O,X
TSILZJO,O,X,O,X,X,X,X,X
TSILZOJ,O,X,O,X,X,X,X,X
TSILOJZ,O,O,O,X,O,X,O,O
TSILOZJ,O,O,X,X,X,X,X,O
TSIJLZO,O,X,X,X,X,X,O,X
TSIJLOZ,O,O,X,X,O,X,O,X
TSIJZLO,O,X,X,X,O,X,O,X
TSIJZOL,O,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,O,X
TSIJOZL,O,O,X,X,X,X,X,X
TSIZLJO,O,X,O,X,O,X,X,X
TSIZLOJ,O,X,O,X,O,X,X,X
TSIZJLO,O,X,O,X,O,X,O,X
TSIZJOL,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,O
TSIOLZJ,O,O,X,X,X,X,X,O
TSIOJLZ,O,O,X,X,X,X,O,X
TSIOJZL,O,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,O,X,X,X,X,X,O,X
TSLIJOZ,O,O,X,X,O,X,O,X
TSLIZJO,O,X,O,X,X,X,X,X
TSLIZOJ,O,X,O,X,X,X,X,X
TSLIOJZ,O,O,O,X,O,X,X,O
TSLIOZJ,O,O,X,X,X,X,X,O
TSLJIZO,O,X,X,X,X,X,O,X
TSLJIOZ,O,O,X,X,O,X,O,X
TSLJZIO,O,X,X,X,O,X,X,X
TSLJZOI,O,X,X,X,O,O,X,X
TSLJOIZ,O,X,X,X,O,X,X,O
TSLJOZI,O,X,X,X,O,X,X,O
TSLZIJO,O,X,O,X,O,X,X,X
TSLZIOJ,O,X,O,X,O,X,X,X
TSLZJIO,O,X,O,X,O,X,X,X
TSLZJOI,O,X,X,X,O,O,X,X
TSLZOIJ,O,X,O,X,O,X,X,O
TSLZOJI,X,X,O,X,O,O,X,O
TSLOIJZ,O,O,O,X,O,X,X,O
TSLOIZJ,O,O,X,X,X,X,X,O
TSLOJIZ,O,O,O,X,O,X,X,O
TSLOJZI,O,O,O,X,O,O,X,O
TSLOZIJ,O,O,O,X,O,X,X,O
TSLOZJI,O,O,O,X,O,O,X,O
TSJILZO,O,X,X,X,X,X,O,X
TSJILOZ,O,O,X,X,O,X,O,X
TSJIZLO,O,X,X,X,O,X,O,X
TSJIZOL,O,O,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,O,X
TSJIOZL,O,O,X,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,O,X
TSJLIOZ,O,O,X,X,O,X,O,X
TSJLZIO,O,X,X,X,O,X,X,X
TSJLZOI,O,X,X,X,O,O,X,X
TSJLOIZ,O,X,X,X,O,X,X,O
TSJLOZI,O,X,X,X,O,X,X,O
TSJZILO,O,X,X,X,O,X,O,X
TSJZIOL,O,O,X,X,X,X,X,X
TSJZLIO,O,X,X,X,O,X,X,X
TSJZLOI,O,X,X,X,O,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,O,X,X,X
TSJOILZ,O,O,X,X,X,X,O,X
TSJOIZL,O,O,X,X,X,X,X,X
TSJOLIZ,O,O,X,X,O,X,X,O
TSJOLZI,O,O,X,X,O,O,X,O
TSJOZIL,O,O,X,X,X,X,X,X
TSJOZLI,O,O,X,X,O,X,X,X
TSZILJO,O,X,O,X,O,X,X,X
TSZILOJ,O,X,O,X,O,X,X,X
TSZIJLO,O,X,O,X,O,X,O,X
TSZIJOL,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,X,O,X,O,X,X,X
TSZLIOJ,O,X,O,X,O,X,X,X
TSZLJIO,O,X,O,X,O,X,X,X
TSZLJOI,O,X,X,X,O,X,X,X
TSZLOIJ,O,X,O,X,O,X,X,O
TSZLOJI,X,X,O,X,O,X,X,O
TSZJILO,O,X,O,X,O,X,O,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,X,X,X,O,X,X,X
TSZJLOI,O,X,X,X,O,X,X,X
TSZJOIL,O,X,X,X,X,X,X,X
TSZJOLI,X,X,X,X,O,X,X,X
TSZOILJ,O,O,X,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,X,X,O,X,X,O
TSZOLJI,O,O,X,X,O,X,X,O
TSZOJIL,O,O,X,X,X,X,X,X
TSZOJLI,O,O,X,X,O,X,X,X
TSOILJZ,O,O,X,X,X,X,X,O
TSOILZJ,O,O,X,X,X,X,X,O
TSOIJLZ,O,O,X,X,X,X,O,X
TSOIJZL,O,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,O,X,X,O
TSOLIZJ,O,O,X,X,X,X,X,O
TSOLJIZ,O,O,X,X,O,X,X,O
TSOLJZI,O,O,X,X,O,O,X,O
TSOLZIJ,O,O,X,X,O,X,X,O
TSOLZJI,O,O,X,X,O,O,X,O
TSOJILZ,O,O,X,X,X,X,O,X
TSOJIZL,O,O,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,O,X,X,O
TSOJLZI,O,O,X,X,O,O,X,O
TSOJZIL,O,O,X,X,X,X,X,X
TSOJZLI,O,O,X,X,O,X,X,X
TSOZILJ,O,O,X,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,X,O,X,X,O
TSOZLJI,O,O,X,X,O,X,X,O
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,O,X,X,O,X,X,X
TZILJSO,O,X,O,O,O,X,X,X
TZILJOS,O,X,O,O,O,X,X,X
TZILSJO,O,X,O,X,O,X,X,X
TZILSOJ,X,X,O,X,O,X,X,X
TZILOJS,O,X,O,X,O,X,X,X
TZILOSJ,X,X,O,X,O,X,X,X
TZIJLSO,X,X,O,O,O,X,X,X
TZIJLOS,X,X,O,O,O,X,X,X
TZIJSLO,X,X,O,O,O,X,X,X
TZIJSOL,X,X,X,O,X,X,X,X
TZIJOLS,X,X,O,O,O,X,X,X
TZIJOSL,X,X,X,O,X,X,X,X
TZISLJO,O,X,O,X,O,X,X,X
TZISLOJ,O,X,O,X,O,X,X,X
TZISJLO,O,X,O,X,O,X,X,X
TZISJOL,O,X,X,X,X,X,X,X
TZISOLJ,O,X,X,X,X,X,X,X
TZISOJL,O,X,X,X,X,X,X,X
TZIOLJS,O,X,O,X,O,X,X,X
TZIOLSJ,O,X,O,X,O,X,X,X
TZIOJLS,O,X,O,X,O,X,X,X
TZIOJSL,O,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X
TZLIJSO,O,X,O,O,O,X,X,X
TZLIJOS,O,X,O,O,O,X,X,X
TZLISJO,O,X,O,X,O,X,X,X
TZLISOJ,X,X,O,X,O,X,X,X
TZLIOJS,O,X,O,X,O,X,X,X
TZLIOSJ,X,X,O,X,O,X,X,X
TZLJISO,O,X,O,X,O,X,X,X
TZLJIOS,O,X,O,X,O,X,X,X
TZLJSIO,O,X,O,X,O,X,X,X
TZLJSOI,O,X,X,X,O,X,X,X
TZLJOIS,O,X,O,X,O,X,X,X
TZLJOSI,O,X,O,X,O,X,X,X
TZLSIJO,O,X,O,X,O,X,X,X
TZLSIOJ,X,X,O,X,O,X,X,X
TZLSJIO,O,X,O,X,O,X,X,X
TZLSJOI,O,X,X,X,O,X,X,X
TZLSOIJ,X,X,O,X,O,X,X,X
TZLSOJI,X,X,O,X,O,X,X,X
TZLOIJS,O,X,O,X,O,X,X,X
TZLOISJ,X,X,O,X,O,X,X,X
TZLOJIS,O,X,O,X,O,X,X,X
TZLOJSI,O,X,O,X,O,X,X,X
TZLOSIJ,X,X,O,X,O,X,X,X
TZLOSJI,X,X,O,X,O,X,X,X
TZJILSO,X,X,O,O,O,X,X,X
TZJILOS,X,X,O,O,O,X,X,X
TZJISLO,X,X,O,O,O,X,X,X
TZJISOL,X,X,X,O,X,X,X,X
TZJIOLS,X,X,O,O,O,X,X,X
TZJIOSL,X,X,X,O,X,X,X,X
TZJLISO,X,X,O,O,O,X,X,X
TZJLIOS,X,X,O,O,O,X,X,X
TZJLSIO,X,X,O,O,O,X,X,X
TZJLSOI,X,X,X,O,O,X,X,X
TZJLOIS,X,X,O,O,O,X,X,X
TZJLOSI,X,X,O,O,O,X,X,X
TZJSILO,X,X,O,O,O,X,X,X
TZJSIOL,X,X,X,O,X,X,X,X
TZJSLIO,X,X,X,O,O,X,X,X
TZJSLOI,X,X,X,O,O,X,X,X
TZJSOIL,X,X,X,O,X,X,X,X
TZJSOLI,X,X,X,O,O,X,X,X
TZJOILS,X,X,O,O,O,X,X,X
TZJOISL,X,X,X,O,X,X,X,X
TZJOLIS,X,X,X,O,O,X,X,X
TZJOLSI,X,X,X,O,O,X,X,X
TZJOSIL,X,X,X,O,X,X,X,X
