sequence,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFxgBXiB6oBuqBzn?BlrB,v115@HhA8IeC8GeC8AeA8AeD8Jel/IvhF3gB5mBOnB6oB8q?BzsB,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFxgBXiBuqBCoBTo?BlrB,v115@HhA8IeC8GeC8AeA8AeD8Jel/IvhF3gB5mBKnBziB+o?B8qB,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFXhBxiBGnBToB6q?BlrB
TJSZOIL,O,X,X,X,O
TJSZOLI,O,X,X,X,O
TJSOILZ,O,X,X,X,X
TJSOIZL,O,X,X,X,O
TJSOLIZ,O,X,X,X,X
TJSOLZI,O,X,X,X,X
TJSOZIL,O,X,X,X,O
TJSOZLI,O,X,X,X,O
TJZILSO,O,O,O,O,X
TJZILOS,X,X,X,O,X
TJZISLO,O,O,O,O,X
TJZISOL,O,O,X,X,X
TJZIOLS,O,O,X,X,X
TJZIOSL,O,O,X,X,X
TJZLISO,O,O,O,O,X
TJZLIOS,X,X,X,O,X
TJZLSIO,O,O,O,O,X
TJZLSOI,X,X,O,O,X
TJZLOIS,X,X,X,O,X
TJZLOSI,X,X,X,O,X
TJZSILO,O,O,O,O,X
TJZSIOL,O,O,X,X,X
TJZSLIO,O,O,O,O,X
TJZSLOI,X,X,O,O,X
TJZSOIL,O,O,X,X,O
TJZSOLI,O,O,X,O,O
TJZOILS,O,O,X,X,X
TJZOISL,O,O,X,X,O
TJZOLIS,O,O,X,O,X
TJZOLSI,O,O,X,O,X
TJZOSIL,O,O,X,X,O
TJZOSLI,O,O,X,O,O
TJOILSZ,O,X,X,X,X
TJOILZS,O,O,X,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,O,X,X,X,O
TJOIZLS,O,O,X,X,X
TJOIZSL,O,O,X,X,O
TJOLISZ,O,X,X,X,X
TJOLIZS,O,O,X,O,X
TJOLSIZ,O,X,X,X,X
TJOLSZI,O,X,X,X,X
TJOLZIS,O,O,X,O,X
TJOLZSI,O,O,X,O,X
TJOSILZ,O,X,X,X,X
TJOSIZL,O,X,X,X,O
TJOSLIZ,O,X,X,X,X
TJOSLZI,O,X,X,X,X
TJOSZIL,O,X,X,X,O
TJOSZLI,O,X,X,X,O
TJOZILS,O,O,X,X,X
TJOZISL,O,O,X,X,O
TJOZLIS,O,O,X,O,X
TJOZLSI,O,O,X,O,X
TJOZSIL,O,O,X,X,O
TJOZSLI,O,O,X,O,O
TSILJZO,X,X,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,O,X,X,X,X
TSILZOJ,O,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,O,X,X,X,X
TSIZLOJ,O,X,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,O,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,O,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,O,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,O,X,X,X,X
TSLIZOJ,O,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,O,X,O,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,O,X,O,X,X
TSLJZOI,X,X,O,X,X
TSLJOIZ,X,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,O,X,X,X,X
TSLZIOJ,O,X,X,X,X
TSLZJIO,O,X,O,X,X
TSLZJOI,X,X,O,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,X,X,X,X,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,X,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,O,X,O,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,O,X,O,X,X
TSJIZOL,O,X,X,X,X
TSJIOLZ,O,X,X,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,O,X,O,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,O,X,O,X,X
TSJLZOI,X,X,O,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,O,X,O,X,X
TSJZIOL,O,X,X,X,X
TSJZLIO,O,X,O,X,X
TSJZLOI,X,X,O,X,X
TSJZOIL,O,X,X,X,O
TSJZOLI,O,X,X,X,O
TSJOILZ,O,X,X,X,X
TSJOIZL,O,X,X,X,O
TSJOLIZ,O,X,X,X,X
TSJOLZI,O,X,X,X,X
TSJOZIL,O,X,X,X,O
TSJOZLI,O,X,X,X,O
TSZILJO,O,X,X,X,X
TSZILOJ,O,X,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,O,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,O,X,X,X,X
TSZLIOJ,O,X,X,X,X
TSZLJIO,O,X,O,X,X
TSZLJOI,X,X,O,X,X
TSZLOIJ,X,X,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,O,X,O,X,X
TSZJIOL,O,X,X,X,X
TSZJLIO,O,X,O,X,X
TSZJLOI,X,X,O,X,X
TSZJOIL,O,X,X,X,O
TSZJOLI,O,X,X,X,O
TSZOILJ,O,X,X,X,X
TSZOIJL,X,X,X,X,X
TSZOLIJ,O,X,X,X,X
TSZOLJI,O,X,X,X,X
TSZOJIL,O,X,X,X,O
TSZOJLI,O,X,X,X,O
TSOILJZ,X,X,X,X,X
TSOILZJ,O,X,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,O,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,X,X
TSOLIZJ,O,X,X,X,X
TSOLJIZ,O,X,X,X,X
TSOLJZI,O,X,X,X,X
TSOLZIJ,O,X,X,X,X
TSOLZJI,O,X,X,X,X
TSOJILZ,O,X,X,X,X
TSOJIZL,O,X,X,X,O
TSOJLIZ,O,X,X,X,X
TSOJLZI,O,X,X,X,X
TSOJZIL,O,X,X,X,O
TSOJZLI,O,X,X,X,O
TSOZILJ,O,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,O,X,X,X,X
TSOZLJI,O,X,X,X,X
TSOZJIL,O,X,X,X,O
TSOZJLI,O,X,X,X,O
TZILJSO,X,O,X,O,X
TZILJOS,X,X,X,O,X
TZILSJO,O,O,X,O,X
TZILSOJ,O,O,X,X,X
TZILOJS,X,O,X,X,X
TZILOSJ,X,O,X,X,X
TZIJLSO,X,O,X,O,X
TZIJLOS,X,X,X,O,X
TZIJSLO,X,O,X,O,X
TZIJSOL,X,O,X,X,X
TZIJOLS,X,O,X,X,X
TZIJOSL,X,O,X,X,X
TZISLJO,O,O,X,O,X
TZISLOJ,O,O,X,X,X
TZISJLO,X,O,X,O,X
TZISJOL,X,O,X,X,X
TZISOLJ,O,O,X,X,X
TZISOJL,X,O,X,X,X
TZIOLJS,X,O,X,X,X
TZIOLSJ,O,O,X,X,X
TZIOJLS,X,O,X,X,X
TZIOJSL,X,O,X,X,X
TZIOSLJ,O,O,X,X,X
TZIOSJL,X,O,X,X,X
TZLIJSO,X,O,X,O,X
TZLIJOS,X,X,X,O,X
TZLISJO,O,O,X,O,X
TZLISOJ,O,O,X,X,X
TZLIOJS,X,O,X,X,X
TZLIOSJ,X,O,X,X,X
TZLJISO,O,O,O,O,X
TZLJIOS,X,X,X,O,X
TZLJSIO,O,O,O,O,X
TZLJSOI,X,X,O,O,X
TZLJOIS,X,X,X,O,X
TZLJOSI,X,X,X,O,X
TZLSIJO,O,O,X,O,X
TZLSIOJ,O,O,X,X,X
TZLSJIO,O,O,O,O,X
TZLSJOI,X,X,O,O,X
TZLSOIJ,X,O,X,X,X
TZLSOJI,X,O,X,X,X
TZLOIJS,X,O,X,X,X
TZLOISJ,X,O,X,X,X
TZLOJIS,X,O,X,X,X
TZLOJSI,X,O,X,X,X
TZLOSIJ,X,O,X,X,X
TZLOSJI,X,O,X,X,X
TZJILSO,O,O,O,O,X
TZJILOS,X,X,X,O,X
TZJISLO,O,O,O,O,X
TZJISOL,O,O,X,X,X
TZJIOLS,O,O,X,X,X
TZJIOSL,O,O,X,X,X
TZJLISO,O,O,O,O,X
TZJLIOS,X,X,X,O,X
TZJLSIO,O,O,O,O,X
TZJLSOI,X,X,O,O,X
TZJLOIS,X,X,X,O,X
TZJLOSI,X,X,X,O,X
TZJSILO,O,O,O,O,X
TZJSIOL,O,O,X,X,X
TZJSLIO,O,O,O,O,X
TZJSLOI,X,X,O,O,X
TZJSOIL,O,O,X,X,O
TZJSOLI,O,O,X,O,O
TZJOILS,O,O,X,X,X
TZJOISL,O,O,X,X,O
TZJOLIS,O,O,X,O,X
