sequence,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeCAJvhF0hBmiB?5oBXlBtsBzrB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeqEJvhFTgB0hB?doB5oBGsBXsB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeqEJvhFTgB0hB?xiB3nB9tBWxB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeGAJvhF0hBxiB?zkB9tBCsB3sB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeCAJvhF0hBdoB?5oBXlBTnBWxB
LTSIZJO,O,X,O,O,O
LTSIZOJ,O,O,O,O,O
LTSIOJZ,O,O,O,O,O
LTSIOZJ,O,O,O,O,O
LTSJIZO,O,O,O,O,O
LTSJIOZ,O,O,O,X,O
LTSJZIO,O,O,O,O,O
LTSJZOI,O,O,O,X,O
LTSJOIZ,O,O,O,X,O
LTSJOZI,O,O,O,X,O
LTSZIJO,O,X,O,O,O
LTSZIOJ,O,O,O,O,O
LTSZJIO,O,X,O,O,O
LTSZJOI,O,X,O,X,O
LTSZOIJ,O,O,O,O,O
LTSZOJI,O,X,O,O,X
LTSOIJZ,O,O,O,O,O
LTSOIZJ,O,O,O,O,O
LTSOJIZ,O,O,O,O,O
LTSOJZI,O,O,O,O,O
LTSOZIJ,O,O,O,O,O
LTSOZJI,O,X,O,O,X
LTZIJSO,O,O,O,O,X
LTZIJOS,X,O,O,O,X
LTZISJO,O,X,O,O,O
LTZISOJ,O,O,O,O,O
LTZIOJS,X,O,O,O,X
LTZIOSJ,X,O,O,O,X
LTZJISO,O,O,O,O,X
LTZJIOS,X,O,O,O,X
LTZJSIO,O,O,O,O,X
LTZJSOI,O,O,O,X,X
LTZJOIS,X,O,O,O,X
LTZJOSI,X,O,O,O,X
LTZSIJO,O,X,O,O,O
LTZSIOJ,O,O,O,O,O
LTZSJIO,O,X,O,O,O
LTZSJOI,O,X,O,X,X
LTZSOIJ,O,O,O,O,O
LTZSOJI,O,X,O,O,X
LTZOIJS,X,O,O,O,X
LTZOISJ,X,O,O,O,X
LTZOJIS,X,O,O,O,X
LTZOJSI,X,O,O,O,X
LTZOSIJ,X,O,O,O,X
LTZOSJI,X,X,O,O,X
LTOIJSZ,O,O,O,O,X
LTOIJZS,O,O,O,O,X
LTOISJZ,O,O,O,O,X
LTOISZJ,O,O,O,O,X
LTOIZJS,O,O,O,O,X
LTOIZSJ,O,O,O,O,X
LTOJISZ,O,O,O,O,X
LTOJIZS,O,O,O,O,X
LTOJSIZ,O,O,O,O,X
LTOJSZI,O,O,O,O,X
LTOJZIS,O,O,O,O,X
LTOJZSI,O,O,O,O,X
LTOSIJZ,O,O,O,O,X
LTOSIZJ,O,O,O,O,X
LTOSJIZ,O,O,O,O,X
LTOSJZI,O,O,O,O,X
LTOSZIJ,O,O,O,O,X
LTOSZJI,O,X,O,O,X
LTOZIJS,O,O,O,O,X
LTOZISJ,O,O,O,O,X
LTOZJIS,O,O,O,O,X
LTOZJSI,O,O,O,O,X
LTOZSIJ,O,O,O,O,X
LTOZSJI,O,X,O,O,X
LITJSZO,O,O,O,O,O
LITJSOZ,O,O,O,X,O
LITJZSO,O,O,O,O,O
LITJZOS,X,O,O,O,X
LITJOSZ,X,O,O,O,X
LITJOZS,X,O,O,O,X
LITSJZO,O,O,O,O,O
LITSJOZ,O,O,O,X,O
LITSZJO,O,X,O,O,O
LITSZOJ,O,O,O,O,O
LITSOJZ,O,O,O,O,O
LITSOZJ,O,O,O,O,O
LITZJSO,O,O,O,O,X
LITZJOS,X,O,O,O,X
LITZSJO,O,X,O,O,O
LITZSOJ,O,O,O,O,O
LITZOJS,X,O,O,O,X
LITZOSJ,X,O,O,O,X
LITOJSZ,O,O,O,O,X
LITOJZS,O,O,O,O,X
LITOSJZ,O,O,O,O,X
LITOSZJ,O,O,O,O,X
LITOZJS,O,O,O,O,X
LITOZSJ,O,O,O,O,X
LIJTSZO,X,O,O,O,O
LIJTSOZ,X,O,O,X,O
LIJTZSO,X,O,O,O,O
LIJTZOS,X,O,O,O,X
LIJTOSZ,X,O,O,X,X
LIJTOZS,X,O,O,O,X
LIJSTZO,X,O,X,X,O
LIJSTOZ,X,O,X,X,O
LIJSZTO,X,O,X,X,O
LIJSZOT,X,O,X,X,O
LIJSOTZ,X,O,X,X,O
LIJSOZT,X,O,X,X,O
LIJZTSO,X,O,O,O,O
LIJZTOS,X,O,O,O,X
LIJZSTO,X,O,X,O,O
LIJZSOT,X,O,O,O,O
LIJZOTS,X,O,O,O,X
LIJZOST,X,O,O,O,X
LIJOTSZ,X,O,O,X,X
LIJOTZS,X,O,O,X,X
LIJOSTZ,X,O,X,X,X
LIJOSZT,X,O,X,X,X
LIJOZTS,X,O,O,X,X
LIJOZST,X,O,O,X,X
LISTJZO,O,O,X,X,O
LISTJOZ,O,O,X,X,O
LISTZJO,O,X,X,X,O
LISTZOJ,O,O,X,X,O
LISTOJZ,O,O,X,X,O
LISTOZJ,O,O,X,X,O
LISJTZO,O,O,X,X,O
LISJTOZ,O,O,X,X,O
LISJZTO,O,O,X,X,O
LISJZOT,X,O,X,X,O
LISJOTZ,O,O,X,X,O
LISJOZT,O,O,X,X,O
LISZTJO,O,X,X,X,O
LISZTOJ,O,O,X,X,O
LISZJTO,O,O,X,X,O
LISZJOT,X,O,X,X,O
LISZOTJ,O,O,X,X,O
LISZOJT,O,O,X,X,O
LISOTJZ,O,O,X,X,O
LISOTZJ,O,O,X,X,O
LISOJTZ,O,O,X,X,O
LISOJZT,O,O,X,X,O
LISOZTJ,O,O,X,X,O
LISOZJT,O,O,X,X,O
LIZTJSO,O,O,O,O,X
LIZTJOS,X,O,O,O,X
LIZTSJO,O,X,O,O,O
LIZTSOJ,O,O,O,O,O
LIZTOJS,X,O,O,O,X
LIZTOSJ,X,O,O,O,X
LIZJTSO,X,O,O,O,O
LIZJTOS,X,O,O,O,X
LIZJSTO,X,O,X,O,O
LIZJSOT,X,O,O,O,O
LIZJOTS,X,O,O,O,X
LIZJOST,X,O,O,O,X
LIZSTJO,O,X,X,X,O
LIZSTOJ,O,O,X,X,O
LIZSJTO,O,O,X,O,O
LIZSJOT,X,O,X,O,O
LIZSOTJ,O,O,O,X,O
LIZSOJT,X,O,O,O,O
LIZOTJS,X,O,O,O,X
LIZOTSJ,X,O,O,O,X
LIZOJTS,X,O,O,O,X
LIZOJST,X,O,O,O,X
LIZOSTJ,X,O,O,X,X
LIZOSJT,X,O,O,O,X
LIOTJSZ,O,O,O,O,X
LIOTJZS,O,O,O,O,X
LIOTSJZ,O,O,O,O,X
LIOTSZJ,O,O,O,O,X
LIOTZJS,O,O,O,O,X
LIOTZSJ,O,O,O,O,X
LIOJTSZ,X,O,O,O,X
LIOJTZS,X,O,O,O,X
LIOJSTZ,X,O,X,X,X
LIOJSZT,X,O,X,X,X
LIOJZTS,X,O,O,O,X
LIOJZST,X,O,O,O,X
LIOSTJZ,O,O,X,X,X
LIOSTZJ,O,O,X,X,X
LIOSJTZ,O,O,X,X,X
LIOSJZT,O,O,X,X,X
LIOSZTJ,O,O,X,X,X
LIOSZJT,O,O,X,X,X
LIOZTJS,O,O,O,O,X
LIOZTSJ,O,O,O,O,X
LIOZJTS,X,O,O,O,X
LIOZJST,X,O,O,O,X
LIOZSTJ,O,O,O,X,X
LIOZSJT,O,O,O,O,X
LJTISZO,X,O,O,O,O
LJTISOZ,X,O,O,X,O
LJTIZSO,X,O,O,O,O
LJTIZOS,X,O,O,O,X
LJTIOSZ,X,O,O,O,X
LJTIOZS,X,O,O,O,X
LJTSIZO,X,O,O,O,O
LJTSIOZ,X,O,O,X,O
LJTSZIO,X,O,O,O,O
LJTSZOI,X,O,O,X,O
LJTSOIZ,X,O,O,X,O
LJTSOZI,X,O,O,X,O
LJTZISO,X,O,O,O,O
LJTZIOS,X,O,O,O,X
LJTZSIO,X,O,O,O,O
LJTZSOI,X,O,O,X,O
LJTZOIS,X,O,O,O,X
LJTZOSI,X,O,O,O,X
LJTOISZ,X,O,O,O,X
LJTOIZS,X,O,O,O,X
LJTOSIZ,X,O,O,O,X
LJTOSZI,X,O,O,O,X
LJTOZIS,X,O,O,O,X
LJTOZSI,X,O,O,O,X
LJITSZO,X,O,O,O,O
LJITSOZ,X,O,O,X,O
LJITZSO,X,O,O,O,O
LJITZOS,X,O,O,O,X
LJITOSZ,X,O,O,X,X
LJITOZS,X,O,O,O,X
LJISTZO,X,O,X,X,O
LJISTOZ,X,O,X,X,O
LJISZTO,X,O,X,X,O
LJISZOT,X,O,X,X,O
LJISOTZ,X,O,X,X,O
LJISOZT,X,O,X,X,O
LJIZTSO,X,O,O,O,O
LJIZTOS,X,O,O,O,X
LJIZSTO,X,O,X,O,O
LJIZSOT,X,O,O,O,O
LJIZOTS,X,O,O,O,X
LJIZOST,X,O,O,O,X
LJIOTSZ,X,O,O,X,X
LJIOTZS,X,O,O,X,X
LJIOSTZ,X,O,X,X,X
LJIOSZT,X,O,X,X,X
LJIOZTS,X,O,O,X,X
LJIOZST,X,O,O,X,X
LJSTIZO,X,O,O,O,O
LJSTIOZ,X,O,O,X,O
LJSTZIO,X,O,O,O,O
LJSTZOI,X,O,O,X,O
LJSTOIZ,X,O,O,X,O
LJSTOZI,X,O,O,X,O
LJSITZO,X,O,X,X,O
LJSITOZ,X,O,X,X,O
LJSIZTO,X,O,X,X,O
LJSIZOT,X,O,X,X,O
LJSIOTZ,X,O,X,X,O
LJSIOZT,X,O,X,X,O
LJSZTIO,X,O,O,O,O
LJSZTOI,X,O,O,X,O
LJSZITO,X,O,X,O,O
LJSZIOT,X,O,O,O,O
LJSZOTI,X,O,O,X,O
LJSZOIT,X,O,O,X,O
LJSOTIZ,X,O,O,X,O
LJSOTZI,X,O,O,X,O
LJSOITZ,X,O,X,X,O
LJSOIZT,X,O,X,X,O
LJSOZTI,X,O,O,X,O
LJSOZIT,X,O,O,X,O
LJZTISO,X,O,O,O,O
LJZTIOS,X,O,O,O,X
LJZTSIO,X,O,O,O,O
LJZTSOI,X,O,O,X,O
LJZTOIS,X,O,O,O,X
LJZTOSI,X,O,O,O,X
LJZITSO,X,O,O,O,O
LJZITOS,X,O,O,O,X
LJZISTO,X,O,X,O,O
LJZISOT,X,O,O,O,O
LJZIOTS,X,O,O,O,X
LJZIOST,X,O,O,O,X
LJZSTIO,X,O,O,O,O
LJZSTOI,X,O,O,X,O
LJZSITO,X,O,X,O,O
LJZSIOT,X,O,O,O,O
LJZSOTI,X,O,O,X,O
LJZSOIT,X,O,O,X,O
LJZOTIS,X,O,O,O,X
LJZOTSI,X,O,O,O,X
LJZOITS,X,O,O,O,X
LJZOIST,X,O,O,O,X
LJZOSTI,X,O,O,O,X
LJZOSIT,X,O,O,O,X
LJOTISZ,X,O,O,O,X
LJOTIZS,X,O,O,O,X
LJOTSIZ,X,O,O,O,X
LJOTSZI,X,O,O,O,X
LJOTZIS,X,O,O,O,X
LJOTZSI,X,O,O,O,X
LJOITSZ,X,O,O,O,X
LJOITZS,X,O,O,O,X
LJOISTZ,X,O,X,X,X
LJOISZT,X,O,X,X,X
LJOIZTS,X,O,O,O,X
LJOIZST,X,O,O,O,X
LJOSTIZ,X,O,O,O,X
LJOSTZI,X,O,O,O,X
LJOSITZ,X,O,X,X,X
LJOSIZT,X,O,X,X,X
LJOSZTI,X,O,O,O,X
LJOSZIT,X,O,O,O,X
LJOZTIS,X,O,O,O,X
LJOZTSI,X,O,O,O,X
LJOZITS,X,O,O,O,X
LJOZIST,X,O,O,O,X
LJOZSTI,X,O,O,O,X
LJOZSIT,X,O,O,O,X
LSTIJZO,O,O,O,O,O
LSTIJOZ,O,O,O,X,O
LSTIZJO,O,X,O,O,O
LSTIZOJ,O,O,O,O,O
LSTIOJZ,O,O,O,O,O
LSTIOZJ,O,O,O,O,O
LSTJIZO,O,O,O,O,O
LSTJIOZ,O,O,O,X,O
LSTJZIO,O,O,O,O,O
LSTJZOI,O,O,O,X,O
LSTJOIZ,O,O,O,X,O
LSTJOZI,O,O,O,X,O
LSTZIJO,O,X,O,O,O
LSTZIOJ,O,O,O,O,O
LSTZJIO,O,X,O,O,O
LSTZJOI,O,X,O,X,O
LSTZOIJ,O,O,O,O,O
LSTZOJI,O,X,O,O,X
LSTOIJZ,O,O,O,O,O
LSTOIZJ,O,O,O,O,O
LSTOJIZ,O,O,O,O,O
LSTOJZI,O,O,O,O,O
LSTOZIJ,O,O,O,O,O
LSTOZJI,O,X,O,O,X
LSITJZO,O,O,X,X,O
LSITJOZ,O,O,X,X,O
LSITZJO,O,X,X,X,O
LSITZOJ,O,O,X,X,O
LSITOJZ,O,O,X,X,O
LSITOZJ,O,O,X,X,O
LSIJTZO,O,O,X,X,O
LSIJTOZ,O,O,X,X,O
LSIJZTO,O,O,X,X,O
LSIJZOT,X,O,X,X,O
LSIJOTZ,O,O,X,X,O
LSIJOZT,O,O,X,X,O
LSIZTJO,O,X,X,X,O
LSIZTOJ,O,O,X,X,O
LSIZJTO,O,O,X,X,O
LSIZJOT,X,O,X,X,O
LSIZOTJ,O,O,X,X,O
LSIZOJT,O,O,X,X,O
LSIOTJZ,O,O,X,X,O
LSIOTZJ,O,O,X,X,O
LSIOJTZ,O,O,X,X,O
LSIOJZT,O,O,X,X,O
LSIOZTJ,O,O,X,X,O
LSIOZJT,O,O,X,X,O
LSJTIZO,O,O,O,O,O
LSJTIOZ,O,O,O,X,O
LSJTZIO,O,O,O,O,O
LSJTZOI,O,O,O,X,O
LSJTOIZ,O,O,O,X,O
LSJTOZI,O,O,O,X,O
LSJITZO,O,O,X,X,O
LSJITOZ,O,O,X,X,O
LSJIZTO,O,O,X,X,O
LSJIZOT,X,O,X,X,O
LSJIOTZ,O,O,X,X,O
LSJIOZT,O,O,X,X,O
LSJZTIO,O,O,O,O,O
LSJZTOI,O,O,O,X,O
LSJZITO,O,O,X,O,O
LSJZIOT,X,O,O,O,O
LSJZOTI,X,O,O,X,O
LSJZOIT,X,O,O,X,O
LSJOTIZ,O,O,O,X,O
LSJOTZI,O,O,O,X,O
LSJOITZ,O,O,X,X,O
LSJOIZT,O,O,X,X,O
LSJOZTI,O,O,O,X,O
LSJOZIT,O,O,O,X,O
LSZTIJO,O,X,O,O,O
LSZTIOJ,O,O,O,O,O
LSZTJIO,O,X,O,O,O
LSZTJOI,O,X,O,X,O
LSZTOIJ,O,O,O,O,O
LSZTOJI,O,X,O,O,X
LSZITJO,O,X,X,X,O
LSZITOJ,O,O,X,X,O
LSZIJTO,O,O,X,O,O
LSZIJOT,X,O,X,O,O
LSZIOTJ,O,O,O,X,O
LSZIOJT,O,O,O,O,O
LSZJTIO,O,O,O,O,O
LSZJTOI,O,O,O,X,O
LSZJITO,O,O,X,O,O
LSZJIOT,X,O,O,O,O
LSZJOTI,X,O,O,X,O
LSZJOIT,X,O,O,X,O
LSZOTIJ,O,O,O,O,O
LSZOTJI,O,X,O,O,X
LSZOITJ,O,O,O,X,O
LSZOIJT,O,O,O,O,O
LSZOJTI,O,O,O,O,O
LSZOJIT,O,O,O,O,O
LSOTIJZ,O,O,O,O,O
LSOTIZJ,O,O,O,O,O
LSOTJIZ,O,O,O,O,O
LSOTJZI,O,O,O,O,O
LSOTZIJ,O,O,O,O,O
LSOTZJI,O,X,O,O,X
LSOITJZ,O,O,X,X,O
LSOITZJ,O,O,X,X,O
LSOIJTZ,O,O,X,X,O
LSOIJZT,O,O,X,X,O
LSOIZTJ,O,O,X,X,O
LSOIZJT,O,O,X,X,O
LSOJTIZ,O,O,O,O,O
LSOJTZI,O,O,O,O,O
LSOJITZ,O,O,X,X,O
LSOJIZT,O,O,X,X,O
LSOJZTI,O,O,O,O,O
LSOJZIT,O,O,O,O,O
LSOZTIJ,O,O,O,O,O
LSOZTJI,O,X,O,O,X
LSOZITJ,O,O,O,X,O
LSOZIJT,O,O,O,O,O
LSOZJTI,O,O,O,O,O
LSOZJIT,O,O,O,O,O
LZTIJSO,O,O,O,O,X
LZTIJOS,X,O,O,O,X
LZTISJO,O,X,O,O,O
LZTISOJ,O,O,O,O,O
LZTIOJS,X,O,O,O,X
LZTIOSJ,X,O,O,O,X
LZTJISO,O,O,O,O,X
LZTJIOS,X,O,O,O,X
LZTJSIO,O,O,O,O,X
LZTJSOI,O,O,O,X,X
LZTJOIS,X,O,O,O,X
LZTJOSI,X,O,O,O,X
LZTSIJO,O,X,O,O,O
LZTSIOJ,O,O,O,O,O
LZTSJIO,O,X,O,O,O
LZTSJOI,O,X,O,X,X
LZTSOIJ,O,O,O,O,O
LZTSOJI,O,X,O,O,X
LZTOIJS,X,O,O,O,X
LZTOISJ,X,O,O,O,X
LZTOJIS,X,O,O,O,X
LZTOJSI,X,O,O,O,X
LZTOSIJ,X,O,O,O,X
LZTOSJI,X,X,O,O,X
LZITJSO,O,O,O,O,X
LZITJOS,X,O,O,O,X
LZITSJO,O,X,O,O,O
LZITSOJ,O,O,O,O,O
LZITOJS,X,O,O,O,X
LZITOSJ,X,O,O,O,X
LZIJTSO,X,O,O,O,O
LZIJTOS,X,O,O,O,X
LZIJSTO,X,O,X,O,O
LZIJSOT,X,O,O,O,O
LZIJOTS,X,O,O,O,X
LZIJOST,X,O,O,O,X
LZISTJO,O,X,X,X,O
LZISTOJ,O,O,X,X,O
LZISJTO,O,O,X,O,O
LZISJOT,X,O,X,O,O
LZISOTJ,O,O,O,X,O
LZISOJT,X,O,O,O,O
LZIOTJS,X,O,O,O,X
LZIOTSJ,X,O,O,O,X
LZIOJTS,X,O,O,O,X
LZIOJST,X,O,O,O,X
LZIOSTJ,X,O,O,X,X
LZIOSJT,X,O,O,O,X
LZJTISO,X,O,O,O,O
LZJTIOS,X,O,O,O,X
LZJTSIO,X,O,O,O,O
LZJTSOI,X,O,O,X,O
LZJTOIS,X,O,O,O,X
LZJTOSI,X,O,O,O,X
LZJITSO,X,O,O,O,O
LZJITOS,X,O,O,O,X
LZJISTO,X,O,X,O,O
LZJISOT,X,O,O,O,O
LZJIOTS,X,O,O,O,X
LZJIOST,X,O,O,O,X
LZJSTIO,X,O,O,O,O
LZJSTOI,X,O,O,X,O
LZJSITO,X,O,X,O,O
LZJSIOT,X,O,O,O,O
LZJSOTI,X,O,O,X,O
LZJSOIT,X,O,O,X,O
LZJOTIS,X,O,O,O,X
LZJOTSI,X,O,O,O,X
LZJOITS,X,O,O,O,X
LZJOIST,X,O,O,O,X
LZJOSTI,X,O,O,O,X
LZJOSIT,X,O,O,O,X
LZSTIJO,O,X,O,O,O
LZSTIOJ,O,O,O,O,O
LZSTJIO,O,X,O,O,O
LZSTJOI,O,X,O,X,O
LZSTOIJ,O,O,O,O,O
LZSTOJI,O,X,O,O,X
LZSITJO,O,X,X,X,O
LZSITOJ,O,O,X,X,O
LZSIJTO,O,O,X,O,O
LZSIJOT,X,O,X,O,O
LZSIOTJ,O,O,O,X,O
LZSIOJT,X,O,O,O,O
LZSJTIO,O,O,O,O,O
LZSJTOI,O,O,O,X,O
LZSJITO,O,O,X,O,O
LZSJIOT,X,O,O,O,O
LZSJOTI,X,O,O,X,O
LZSJOIT,X,O,O,X,O
LZSOTIJ,O,O,O,O,O
LZSOTJI,O,X,O,O,X
LZSOITJ,O,O,O,X,O
LZSOIJT,X,O,O,O,O
LZSOJTI,X,O,O,O,O
LZSOJIT,X,O,O,O,O
LZOTIJS,X,O,O,O,X
LZOTISJ,X,O,O,O,X
LZOTJIS,X,O,O,O,X
LZOTJSI,X,O,O,O,X
LZOTSIJ,X,O,O,O,X
LZOTSJI,X,X,O,O,X
LZOITJS,X,O,O,O,X
LZOITSJ,X,O,O,O,X
LZOIJTS,X,O,O,O,X
LZOIJST,X,O,O,O,X
LZOISTJ,X,O,O,X,X
LZOISJT,X,O,O,O,X
LZOJTIS,X,O,O,O,X
LZOJTSI,X,O,O,O,X
LZOJITS,X,O,O,O,X
LZOJIST,X,O,O,O,X
LZOJSTI,X,O,O,O,X
LZOJSIT,X,O,O,O,X
LZOSTIJ,X,O,O,O,X
LZOSTJI,X,X,O,O,X
LZOSITJ,X,O,O,X,X
LZOSIJT,X,O,O,O,X
LZOSJTI,X,O,O,O,X
LZOSJIT,X,O,O,O,X
LOTIJSZ,O,O,O,O,X
LOTIJZS,O,O,O,O,X
LOTISJZ,O,O,O,O,X
LOTISZJ,O,O,O,O,X
LOTIZJS,O,O,O,O,X
LOTIZSJ,O,O,O,O,X
LOTJISZ,O,O,O,O,X
LOTJIZS,O,O,O,O,X
LOTJSIZ,O,O,O,O,X
LOTJSZI,O,O,O,O,X
LOTJZIS,O,O,O,O,X
LOTJZSI,O,O,O,O,X
LOTSIJZ,O,O,O,O,X
LOTSIZJ,O,O,O,O,X
LOTSJIZ,O,O,O,O,X
LOTSJZI,O,O,O,O,X
LOTSZIJ,O,O,O,O,X
LOTSZJI,O,X,O,O,X
LOTZIJS,O,O,O,O,X
LOTZISJ,O,O,O,O,X
LOTZJIS,O,O,O,O,X
LOTZJSI,O,O,O,O,X
LOTZSIJ,O,O,O,O,X
LOTZSJI,O,X,O,O,X
LOITJSZ,O,O,O,O,X
LOITJZS,O,O,O,O,X
LOITSJZ,O,O,O,O,X
LOITSZJ,O,O,O,O,X
LOITZJS,O,O,O,O,X
LOITZSJ,O,O,O,O,X
LOIJTSZ,X,O,O,O,X
LOIJTZS,X,O,O,O,X
LOIJSTZ,X,O,X,X,X
LOIJSZT,X,O,X,X,X
LOIJZTS,X,O,O,O,X
LOIJZST,X,O,O,O,X
LOISTJZ,O,O,X,X,X
LOISTZJ,O,O,X,X,X
LOISJTZ,O,O,X,X,X
LOISJZT,O,O,X,X,X
LOISZTJ,O,O,X,X,X
LOISZJT,O,O,X,X,X
LOIZTJS,O,O,O,O,X
LOIZTSJ,O,O,O,O,X
LOIZJTS,X,O,O,O,X
LOIZJST,X,O,O,O,X
LOIZSTJ,O,O,O,X,X
LOIZSJT,O,O,O,O,X
LOJTISZ,X,O,O,O,X
LOJTIZS,X,O,O,O,X
LOJTSIZ,X,O,O,O,X
LOJTSZI,X,O,O,O,X
LOJTZIS,X,O,O,O,X
LOJTZSI,X,O,O,O,X
LOJITSZ,X,O,O,O,X
LOJITZS,X,O,O,O,X
LOJISTZ,X,O,X,X,X
LOJISZT,X,O,X,X,X
LOJIZTS,X,O,O,O,X
LOJIZST,X,O,O,O,X
LOJSTIZ,X,O,O,O,X
LOJSTZI,X,O,O,O,X
LOJSITZ,X,O,X,X,X
LOJSIZT,X,O,X,X,X
LOJSZTI,X,O,O,O,X
LOJSZIT,X,O,O,O,X
LOJZTIS,X,O,O,O,X
LOJZTSI,X,O,O,O,X
LOJZITS,X,O,O,O,X
LOJZIST,X,O,O,O,X
LOJZSTI,X,O,O,O,X
LOJZSIT,X,O,O,O,X
LOSTIJZ,O,O,O,O,X
LOSTIZJ,O,O,O,O,X
LOSTJIZ,O,O,O,O,X
LOSTJZI,O,O,O,O,X
LOSTZIJ,O,O,O,O,X
LOSTZJI,O,X,O,O,X
LOSITJZ,O,O,X,X,X
LOSITZJ,O,O,X,X,X
LOSIJTZ,O,O,X,X,X
LOSIJZT,O,O,X,X,X
LOSIZTJ,O,O,X,X,X
LOSIZJT,O,O,X,X,X
LOSJTIZ,O,O,O,O,X
LOSJTZI,O,O,O,O,X
LOSJITZ,O,O,X,X,X
LOSJIZT,O,O,X,X,X
LOSJZTI,O,O,O,O,X
LOSJZIT,O,O,O,O,X
LOSZTIJ,O,O,O,O,X
LOSZTJI,O,X,O,O,X
LOSZITJ,O,O,O,X,X
LOSZIJT,O,O,O,O,X
LOSZJTI,O,O,O,O,X
LOSZJIT,O,O,O,O,X
LOZTIJS,O,O,O,O,X
LOZTISJ,O,O,O,O,X
LOZTJIS,O,O,O,O,X
LOZTJSI,O,O,O,O,X
LOZTSIJ,O,O,O,O,X
LOZTSJI,O,X,O,O,X
LOZITJS,O,O,O,O,X
LOZITSJ,O,O,O,O,X
LOZIJTS,X,O,O,O,X
LOZIJST,X,O,O,O,X
LOZISTJ,O,O,O,X,X
LOZISJT,O,O,O,O,X
LOZJTIS,X,O,O,O,X
LOZJTSI,X,O,O,O,X
LOZJITS,X,O,O,O,X
LOZJIST,X,O,O,O,X
LOZJSTI,X,O,O,O,X
LOZJSIT,X,O,O,O,X
LOZSTIJ,O,O,O,O,X
LOZSTJI,O,X,O,O,X
LOZSITJ,O,O,O,X,X
LOZSIJT,O,O,O,O,X
LOZSJTI,O,O,O,O,X
LOZSJIT,O,O,O,O,X
JTILSZO,O,O,O,O,O
JTILSOZ,O,O,O,X,O
JTILZSO,O,O,O,O,O
JTILZOS,X,O,O,O,X
JTILOSZ,X,O,O,O,X
JTILOZS,X,O,O,O,X
JTISLZO,O,O,O,O,O
JTISLOZ,O,O,O,X,O
JTISZLO,O,O,O,O,O
JTISZOL,O,X,O,O,O
JTISOLZ,O,X,O,X,O
JTISOZL,O,X,O,X,O
JTIZLSO,O,O,O,O,O
JTIZLOS,X,O,O,O,X
JTIZSLO,O,O,O,O,O
JTIZSOL,O,X,O,O,O
JTIZOLS,X,O,O,O,X
JTIZOSL,O,X,X,O,O
JTIOLSZ,O,O,O,O,X
JTIOLZS,O,O,O,O,X
JTIOSLZ,O,X,X,O,O
JTIOSZL,O,X,X,O,O
JTIOZLS,O,O,O,O,X
JTIOZSL,O,X,X,O,O
JTLISZO,O,O,O,O,O
JTLISOZ,O,O,O,X,O
JTLIZSO,O,O,O,O,O
JTLIZOS,X,O,O,O,X
JTLIOSZ,X,O,O,O,X
JTLIOZS,X,O,O,O,X
JTLSIZO,O,O,O,O,O
JTLSIOZ,O,O,O,X,O
JTLSZIO,O,O,O,O,O
JTLSZOI,O,O,O,X,O
JTLSOIZ,O,O,O,X,O
JTLSOZI,O,O,O,X,O
JTLZISO,O,O,O,O,O
JTLZIOS,X,O,O,O,X
JTLZSIO,O,O,O,O,O
JTLZSOI,O,O,O,X,O
JTLZOIS,X,O,O,O,X
JTLZOSI,X,O,O,O,X
JTLOISZ,X,O,O,O,X
JTLOIZS,X,O,O,O,X
JTLOSIZ,X,O,O,O,X
JTLOSZI,X,O,O,O,X
JTLOZIS,X,O,O,O,X
JTLOZSI,X,O,O,O,X
JTSILZO,O,O,O,O,O
JTSILOZ,O,O,O,X,O
JTSIZLO,O,O,O,O,O
JTSIZOL,O,X,O,O,O
JTSIOLZ,O,X,O,X,O
JTSIOZL,O,X,O,X,O
JTSLIZO,O,O,O,O,O
JTSLIOZ,O,O,O,X,O
JTSLZIO,O,O,O,O,O
JTSLZOI,O,O,O,X,O
JTSLOIZ,O,O,O,X,O
JTSLOZI,O,O,O,X,O
JTSZILO,O,O,O,O,O
JTSZIOL,O,X,O,O,O
JTSZLIO,O,O,O,O,O
JTSZLOI,O,O,O,X,O
JTSZOIL,O,X,O,X,O
JTSZOLI,O,X,O,X,O
JTSOILZ,O,X,O,X,O
JTSOIZL,O,X,O,X,O
JTSOLIZ,O,X,O,X,O
JTSOLZI,O,X,O,X,O
JTSOZIL,O,X,O,X,O
JTSOZLI,O,X,O,X,O
JTZILSO,O,O,O,O,O
JTZILOS,X,O,O,O,X
JTZISLO,O,O,O,O,O
JTZISOL,O,X,O,O,O
JTZIOLS,X,O,O,O,X
JTZIOSL,O,X,X,O,O
JTZLISO,O,O,O,O,O
JTZLIOS,X,O,O,O,X
JTZLSIO,O,O,O,O,O
JTZLSOI,O,O,O,X,O
JTZLOIS,X,O,O,O,X
JTZLOSI,X,O,O,O,X
JTZSILO,O,O,O,O,O
JTZSIOL,O,X,O,O,O
JTZSLIO,O,O,O,O,O
JTZSLOI,O,O,O,X,O
JTZSOIL,O,X,O,X,O
JTZSOLI,O,X,O,X,O
