sequence,v115@FhB8HeB8GeD8BeB8CeB8JeKEJvhFzfBRhBcnBFmBXq?BWxB,v115@FhB8HeB8GeD8BeB8CeB8Je0/IvhFlgB/pBxmBiqBzr?BGsB,v115@FhB8HeB8GeD8BeB8CeB8JeOEJvhFXgBVmBUiBzpBRr?BSxB,v115@FhB8HeB8GeD8BeB8CeB8JeTCJvhFmlBxpBUsB/pB6r?BFqB,v115@FhB8HeB8GeD8BeB8CeB8Je0BJvhFmlBxpBzrB/pB6s?BFqB,v115@FhB8HeB8GeD8BeB8CeB8Jel/IvhF/pBOqBxmBzlBUs?BCsB,v115@FhB8HeB8GeD8BeB8CeB8JeUAJvhFFhBmpBRrB/pB6s?BzrB,v115@FhB8HeB8GeD8BeB8CeB8Jem/IvhFRhBTkBUmBFnBXq?BSxB,v115@FhB8HeB8GeD8BeB8CeB8Je0/IvhFxgBTiB/pBGmBiq?BVxB,v115@FhB8HeB8GeD8BeB8CeB8JeRAJvhF1mB0lBmpBzrB/p?B6sB,v115@FhB8HeB8GeD8BeB8CeB8JemAJvhFSnBxkBTkBXqBlr?BUsB,v115@FhB8HeB8GeD8BeB8CeB8JeXAJvhFxhB2pBzlBCnBVx?B0pB,v115@FhB8HeB8GeD8BeB8CeB8Jex/IvhFXhBypBFnBGrB0p?BTsB,v115@FhB8HeB8GeD8BeB8CeB8Jex/IvhF8lBSnBTkBeqB3m?BVxB,v115@FhB8HeB8GeD8BeB8CeB8Jem/IvhFChB/rBFnBxpB0p?BTsB,v115@FhB8HeB8GeD8BeB8CeB8JeKEJvhFUhBFlBRrBXsBzp?BGsB,v115@FhB8HeB8GeD8BeB8CeB8JeUBJvhF/pBFlBRrBTsBmp?BCsB
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSZLO,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TISLOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TISJLZO,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,X,X
TISJLOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TISJZOL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O
TISJOLZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TISZLJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TISZLOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TISZJLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X
TISZJOL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TISZOLJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TISZOJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TISOLJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TISOJLZ,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TISOZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TISOZJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZLOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJLSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZSJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZSOLJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZSOJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZOLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X
TLIJSOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
TLIJZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLISJOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLISZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLISOJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJISZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X
TLJISOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
TLJIZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJSIZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLJSZOI,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJSOIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
TLJZIOS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJOZIS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLSIJZO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSIOJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSJIZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLSJOIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLSZIOJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLSZJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZISOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZJISO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
TLZJIOS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLZJSOI,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZJOIS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLZSIOJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLZSJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZOJIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOJISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLOJSZI,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLOJZIS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOZJIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TJILSOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X
TJISLOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLZOIS,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLOZIS,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJSILZO,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TJSILOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
