sequence,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBxiBToBXsByvB,v115@HhA8IeF8DeB8EeC8Jel/IvhF3gBTjBxsBurBcsByvB,v115@HhA8IeF8DeB8EeC8Jex/IvhFmhBCjBToBXsBUqBFrB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBTjBxsByvBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFmgBCiBTjBxsB1vBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBKnBziB+oB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBRiB+oB3nBTqBywB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgB3hBOsBToBCoBxvB,v115@HhA8IeF8DeB8EeC8Jel/IvhFRhBGjBUoBXsBTqBirB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBGjBxsBTqBisB3rB,v115@HhA8IeF8DeB8EeC8Jex/IvhFKnBziB+oBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBOnB6oBznB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBiiB+oB3nBcqBRwB,v115@HhA8IeF8DeB8EeC8Jex/IvhFOnB6oBznBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8JeSFJvhFxiBcsBToBlrBmpBXrB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBOnBXjBStBcqBRwB,v115@HhA8IeF8DeB8EeC8Je0/IvhFVmBxnBGoBisBTqB3rB
TIZLOSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOLJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOLSJZ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOJLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIJZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O
TLIJZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O
TLIJOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
