sequence,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBxiBToBXsByvB,v115@HhA8IeF8DeB8EeC8Jel/IvhF3gBTjBxsBurBcsByvB,v115@HhA8IeF8DeB8EeC8Jex/IvhFmhBCjBToBXsBUqBFrB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBTjBxsByvBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFmgBCiBTjBxsB1vBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBKnBziB+oB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBRiB+oB3nBTqBywB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgB3hBOsBToBCoBxvB,v115@HhA8IeF8DeB8EeC8Jel/IvhFRhBGjBUoBXsBTqBirB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBGjBxsBTqBisB3rB,v115@HhA8IeF8DeB8EeC8Jex/IvhFKnBziB+oBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBOnB6oBznB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBiiB+oB3nBcqBRwB,v115@HhA8IeF8DeB8EeC8Jex/IvhFOnB6oBznBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8JeSFJvhFxiBcsBToBlrBmpBXrB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBOnBXjBStBcqBRwB,v115@HhA8IeF8DeB8EeC8Je0/IvhFVmBxnBGoBisBTqB3rB
JSILOTZ,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JSILOZT,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIZTLO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIZTOL,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSIZLTO,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIZLOT,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIZOTL,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSIZOLT,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIOTLZ,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIOTZL,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSIOLTZ,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JSIOLZT,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIOZTL,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSIOZLT,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLTIZO,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X
JSLTIOZ,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X
JSLTZIO,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSLTZOI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLTOIZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSLTOZI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLITZO,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSLITOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSLIZTO,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLIZOT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLIOTZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSLIOZT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLZTIO,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSLZTOI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLZIOT,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSLZOTI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLZOIT,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSLOTZI,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLOITZ,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSLOIZT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLOZTI,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLOZIT,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZTLIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZTLOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZTOIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZTOLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZITLO,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JSZITOL,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JSZILTO,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JSZILOT,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JSZIOTL,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JSZIOLT,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JSZLTIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZLTOI,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZLITO,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JSZLIOT,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JSZLOTI,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZLOIT,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZOTIL,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZOTLI,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZOITL,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZOILT,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZOLTI,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZOLIT,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSOTILZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOTIZL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOTLIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOTLZI,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOTZIL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOTZLI,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOITLZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOITZL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOILTZ,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSOILZT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOIZTL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOIZLT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOLTIZ,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X
JSOLTZI,O,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X
JSOLITZ,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSOLIZT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOLZTI,O,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X
JSOLZIT,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSOZTIL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOZTLI,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOZITL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JSOZILT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOZLTI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JSOZLIT,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZTILSO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTISLO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZTISOL,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTIOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTLISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JZTLIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZTLSIO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZTLSOI,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZTLOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZTSIOL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTSLIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZTSLOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTSOIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTSOLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTOILS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTOLIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTOSLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZITSOL,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZITOLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JZILTOS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZILSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JZILOST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISTLO,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JZISTOL,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZISLTO,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JZISLOT,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JZISOTL,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZISOLT,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JZIOTLS,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZIOTSL,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JZIOLST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZIOSTL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZIOSLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
JZLTISO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
JZLTIOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JZLTSIO,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
JZLTSOI,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X
JZLTOIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLTOSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JZLITSO,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O
JZLITOS,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O
JZLISTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
JZLIOST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLSTIO,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
JZLSTOI,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X
JZLSITO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZLSIOT,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLSOTI,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X
JZLSOIT,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOTIS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X
JZLOTSI,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X
JZLOITS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X
JZLOIST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLOSTI,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JZLOSIT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSTILO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSTIOL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSTLIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSTLOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSTOIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSTOLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSITLO,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JZSITOL,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZSILTO,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JZSILOT,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JZSIOTL,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZSIOLT,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JZSLTIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZSLTOI,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JZSLIOT,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JZSLOTI,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSLOIT,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSOTLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSOITL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZSOILT,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSOLTI,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSOLIT,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZOTISL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOTLIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JZOTLSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
JZOTSIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZOTSLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZOITLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JZOITSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOILTS,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X
JZOILST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOISTL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZOISLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOLTIS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X
JZOLTSI,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X
JZOLITS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X
JZOLIST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOLSTI,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JZOLSIT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOSTIL,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZOSTLI,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZOSITL,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
JZOSILT,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZOSLTI,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X
JZOSLIT,O,X,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTILZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTISLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTISZL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOTIZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOTLIZS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOTLSIZ,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOTLSZI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X
JOTLZIS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOTLZSI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X
JOTSILZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTSIZL,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOTSLIZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTSLZI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOTSZIL,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOTSZLI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOTZILS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZISL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTZLIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTZLSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOTZSIL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTZSLI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JOITLZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JOITSLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOITSZL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOITZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X
JOILTZS,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X
JOILSTZ,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
JOILSZT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILZTS,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X
JOILZST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOISTLZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISTZL,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOISLTZ,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
JOISLZT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISZTL,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOISZLT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZTLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZTSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X
JOIZLST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOIZSTL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOIZSLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLTISZ,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOLTIZS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOLTSIZ,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOLTSZI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X
JOLTZIS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
JOLTZSI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X
JOLITSZ,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,O,X
JOLITZS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,O,X
JOLISTZ,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O,X
JOLISZT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOLIZTS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,O,X
JOLIZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
JOLSTIZ,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O,X
JOLSTZI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O,X
JOLSITZ,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O,X
JOLSIZT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOLSZTI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O,X
JOLSZIT,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X
JOLZTIS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X
JOLZTSI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X
JOLZITS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X
JOLZIST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOLZSTI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X
JOLZSIT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOSTILZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSTIZL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSTLIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSTLZI,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSTZIL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSTZLI,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSITLZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSITZL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSILTZ,O,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
JOSILZT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSIZTL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSIZLT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSLTIZ,O,X,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X
JOSLTZI,O,X,O,X,X,O,O,O,X,X,O,O,O,O,X,X,X
JOSLITZ,O,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
JOSLIZT,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSLZTI,O,X,O,X,X,O,O,O,X,X,O,O,O,O,X,X,X
JOSLZIT,O,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JOSZTIL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSZTLI,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSZITL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSZILT,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JOSZLTI,O,X,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X
JOSZLIT,O,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JOZTILS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOZTISL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZTLIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOZTLSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
JOZTSIL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZTSLI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZITLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JOZITSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZILTS,X,X,X,O,X,O,X,X,X,X,O,O,X,O,O,X,X
JOZILST,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOZISTL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOZISLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZLTIS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X
JOZLTSI,X,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X
JOZLITS,X,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X
