sequence,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFylBzhBGjBUoBFr?BXsB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFylBFiBTjBfsBWt?BUrB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFmhBCjBllBcrBTo?BXsB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFThBOnBXjB0lBSt?B1wB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFThBiiB+oB0lB3n?B1wB
TOSIJZL,O,X,O,X,O
TOSIZLJ,O,X,O,X,X
TOSIZJL,O,X,O,X,X
TOSLIJZ,O,X,O,O,X
TOSLIZJ,O,X,O,O,X
TOSLJIZ,O,X,O,O,X
TOSLJZI,O,X,O,O,X
TOSLZIJ,O,X,O,O,X
TOSLZJI,O,X,O,O,X
TOSJILZ,O,X,O,O,O
TOSJIZL,O,X,O,X,O
TOSJLIZ,O,X,O,O,O
TOSJLZI,O,X,O,O,O
TOSJZIL,O,X,O,X,O
TOSJZLI,O,X,O,X,O
TOSZILJ,O,X,O,X,X
TOSZIJL,O,X,O,X,X
TOSZLIJ,O,X,O,X,X
TOSZLJI,O,X,O,X,X
TOSZJIL,O,X,O,X,X
TOSZJLI,O,X,O,X,X
TOZILJS,O,X,O,O,O
TOZILSJ,O,X,O,O,X
TOZIJLS,O,X,O,O,O
TOZIJSL,O,X,O,O,O
TOZISLJ,O,X,O,O,X
TOZISJL,O,X,O,O,O
TOZLIJS,O,X,O,O,O
TOZLISJ,O,X,O,O,X
TOZLJIS,O,X,O,O,O
TOZLJSI,O,X,O,O,O
TOZLSIJ,O,X,O,O,X
TOZLSJI,O,X,O,O,X
TOZJILS,O,X,O,O,O
TOZJISL,O,X,O,O,O
TOZJLIS,O,X,O,O,O
TOZJLSI,O,X,O,O,O
TOZJSIL,O,X,O,O,O
TOZJSLI,O,X,O,O,O
TOZSILJ,O,X,O,O,X
TOZSIJL,O,X,O,O,O
TOZSLIJ,O,X,O,O,X
TOZSLJI,O,X,O,O,X
TOZSJIL,O,X,O,O,O
TOZSJLI,O,X,O,O,O
ITLJSZO,O,O,X,O,O
ITLJSOZ,O,O,X,O,O
ITLJZSO,O,O,X,O,O
ITLJZOS,O,O,X,O,O
ITLJOSZ,X,O,X,O,O
ITLJOZS,O,O,X,O,X
ITLSJZO,O,O,O,O,X
ITLSJOZ,O,O,X,O,X
ITLSZJO,O,O,O,O,X
ITLSZOJ,O,X,O,O,X
ITLSOJZ,O,O,O,O,X
ITLSOZJ,O,X,O,O,X
