sequence,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhFlgBcmBxiBXnB6t?BWwB,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhF0gBmiB5oBFnBXm?BSwB,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhFSmBmiB5oBXnBUr?BlqB,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhFXhBxiBFnB6tBGr?B0qB
LJTSOZI,O,O,X,O
LJTZISO,O,O,X,O
LJTZIOS,O,O,X,O
LJTZSIO,O,O,X,O
LJTZSOI,O,O,X,O
LJTZOIS,O,O,X,O
LJTZOSI,O,O,X,O
LJTOISZ,O,O,X,O
LJTOIZS,O,O,X,O
LJTOSIZ,O,O,X,O
LJTOSZI,O,O,X,O
LJTOZIS,O,O,X,O
LJTOZSI,O,O,X,O
LJITSZO,O,O,X,O
LJITSOZ,O,O,X,O
LJITZSO,O,O,X,O
LJITZOS,O,O,X,O
LJITOSZ,O,O,X,O
LJITOZS,O,O,X,O
LJISTZO,O,X,X,O
LJISTOZ,O,X,O,O
LJISZTO,O,X,O,X
LJISZOT,O,X,O,X
LJISOTZ,O,X,O,O
LJISOZT,O,X,O,X
LJIZTSO,O,O,X,X
LJIZTOS,O,O,X,X
LJIZSTO,O,X,O,X
LJIZSOT,O,X,O,X
LJIZOTS,O,O,X,X
LJIZOST,O,X,O,X
LJIOTSZ,O,O,X,O
LJIOTZS,O,O,X,O
LJIOSTZ,O,X,O,O
LJIOSZT,O,X,O,X
LJIOZTS,O,O,X,X
LJIOZST,O,X,O,X
LJSTIZO,O,X,X,O
LJSTIOZ,O,X,O,O
LJSTZIO,O,X,X,O
LJSTZOI,O,X,X,O
LJSTOIZ,O,X,O,O
LJSTOZI,O,X,X,O
LJSITZO,O,X,X,O
LJSITOZ,O,X,O,O
LJSIZTO,O,X,O,X
LJSIZOT,O,X,O,X
LJSIOTZ,O,X,O,O
LJSIOZT,O,X,O,X
LJSZTIO,O,X,O,O
LJSZTOI,O,X,O,O
LJSZITO,O,X,O,X
LJSZIOT,O,X,O,X
LJSZOTI,O,X,O,O
LJSZOIT,O,X,O,X
LJSOTIZ,O,X,O,O
LJSOTZI,O,X,X,O
LJSOITZ,O,X,O,O
LJSOIZT,O,X,O,X
LJSOZTI,O,X,O,O
LJSOZIT,O,X,O,X
LJZTISO,O,O,X,O
LJZTIOS,O,O,X,O
LJZTSIO,O,O,X,O
LJZTSOI,O,O,X,O
LJZTOIS,O,O,X,O
LJZTOSI,O,O,X,O
LJZITSO,O,O,X,X
LJZITOS,O,O,X,X
LJZISTO,O,X,O,X
LJZISOT,O,X,O,X
LJZIOTS,O,O,X,X
LJZIOST,O,X,O,X
LJZSTIO,O,X,O,O
LJZSTOI,O,X,O,O
LJZSITO,O,X,O,X
LJZSIOT,O,X,O,X
LJZSOTI,O,X,O,O
LJZSOIT,O,X,O,X
LJZOTIS,O,O,X,O
LJZOTSI,O,O,X,O
LJZOITS,O,O,X,X
LJZOIST,O,X,O,X
LJZOSTI,O,X,O,O
LJZOSIT,O,X,O,X
LJOTISZ,O,O,X,O
LJOTIZS,O,O,X,O
LJOTSIZ,O,O,X,O
LJOTSZI,O,O,X,O
LJOTZIS,O,O,X,O
LJOTZSI,O,O,X,O
LJOITSZ,O,O,X,O
LJOITZS,O,O,X,O
LJOISTZ,O,X,O,O
LJOISZT,O,X,O,X
LJOIZTS,O,O,X,X
LJOIZST,O,X,O,X
LJOSTIZ,O,X,O,O
LJOSTZI,O,X,X,O
LJOSITZ,O,X,O,O
LJOSIZT,O,X,O,X
LJOSZTI,O,X,O,O
LJOSZIT,O,X,O,X
LJOZTIS,O,O,X,O
LJOZTSI,O,O,X,O
LJOZITS,O,O,X,X
LJOZIST,O,X,O,X
LJOZSTI,O,X,O,O
LJOZSIT,O,X,O,X
LSTIJZO,O,O,X,O
LSTIJOZ,O,O,O,O
LSTIZJO,O,O,X,X
LSTIZOJ,O,O,X,O
LSTIOJZ,O,O,O,O
LSTIOZJ,O,O,X,O
LSTJIZO,O,O,X,O
LSTJIOZ,O,O,O,O
LSTJZIO,O,O,X,O
LSTJZOI,O,O,X,O
LSTJOIZ,O,O,O,O
LSTJOZI,O,O,X,O
LSTZIJO,O,O,X,X
LSTZIOJ,O,O,X,O
LSTZJIO,O,O,X,X
LSTZJOI,O,O,X,X
LSTZOIJ,O,O,X,O
LSTZOJI,O,O,X,O
LSTOIJZ,O,O,O,O
LSTOIZJ,O,O,X,O
LSTOJIZ,O,O,O,O
LSTOJZI,O,O,X,O
LSTOZIJ,O,O,X,O
LSTOZJI,O,O,X,O
LSITJZO,O,O,X,O
LSITJOZ,O,O,O,O
LSITZJO,O,O,X,X
LSITZOJ,O,O,X,O
LSITOJZ,O,O,O,O
LSITOZJ,O,O,X,O
LSIJTZO,O,X,X,X
LSIJTOZ,O,X,O,X
LSIJZTO,O,X,O,X
LSIJZOT,O,X,O,X
LSIJOTZ,O,X,O,X
LSIJOZT,O,X,O,X
LSIZTJO,O,O,O,X
LSIZTOJ,O,O,O,X
LSIZJTO,O,X,O,X
LSIZJOT,O,X,O,X
LSIZOTJ,O,O,O,X
LSIZOJT,O,X,O,X
LSIOTJZ,O,O,O,O
LSIOTZJ,O,O,X,O
LSIOJTZ,O,X,O,X
LSIOJZT,O,X,O,X
LSIOZTJ,O,O,O,X
LSIOZJT,O,X,O,X
LSJTIZO,O,X,X,O
LSJTIOZ,O,X,O,O
LSJTZIO,O,X,X,O
LSJTZOI,O,X,X,O
LSJTOIZ,O,X,O,O
LSJTOZI,O,X,X,O
LSJITZO,O,X,X,O
LSJITOZ,O,X,O,O
LSJIZTO,O,X,O,X
LSJIZOT,O,X,O,X
LSJIOTZ,O,X,O,O
LSJIOZT,O,X,O,X
LSJZTIO,O,X,O,O
LSJZTOI,O,X,O,O
LSJZITO,O,X,O,X
LSJZIOT,O,X,O,X
LSJZOTI,O,X,O,O
LSJZOIT,O,X,O,X
LSJOTIZ,O,X,O,O
LSJOTZI,O,X,X,O
LSJOITZ,O,X,O,O
LSJOIZT,O,X,O,X
LSJOZTI,O,X,O,O
LSJOZIT,O,X,O,X
LSZTIJO,O,O,O,X
LSZTIOJ,O,O,O,X
LSZTJIO,O,O,O,X
LSZTJOI,O,O,O,X
LSZTOIJ,O,O,O,X
LSZTOJI,O,O,O,X
LSZITJO,O,O,O,X
LSZITOJ,O,O,O,X
LSZIJTO,O,X,O,X
LSZIJOT,O,X,O,X
LSZIOTJ,O,O,O,X
LSZIOJT,O,X,O,X
LSZJTIO,O,X,O,X
LSZJTOI,O,X,O,X
LSZJITO,O,X,O,X
LSZJIOT,O,X,O,X
LSZJOTI,O,X,O,X
LSZJOIT,O,X,O,X
LSZOTIJ,O,O,O,X
LSZOTJI,O,O,O,X
LSZOITJ,O,O,O,X
LSZOIJT,O,X,O,X
LSZOJTI,O,X,O,X
LSZOJIT,O,X,O,X
LSOTIJZ,O,O,O,O
LSOTIZJ,O,O,X,O
LSOTJIZ,O,O,O,O
LSOTJZI,O,O,X,O
LSOTZIJ,O,O,X,O
LSOTZJI,O,O,X,O
LSOITJZ,O,O,O,O
LSOITZJ,O,O,X,O
LSOIJTZ,O,X,O,X
LSOIJZT,O,X,O,X
LSOIZTJ,O,O,O,X
LSOIZJT,O,X,O,X
LSOJTIZ,O,X,O,O
LSOJTZI,O,X,X,O
LSOJITZ,O,X,O,O
LSOJIZT,O,X,O,X
LSOJZTI,O,X,O,O
LSOJZIT,O,X,O,X
LSOZTIJ,O,O,O,X
LSOZTJI,O,O,O,X
LSOZITJ,O,O,O,X
LSOZIJT,O,X,O,X
LSOZJTI,O,X,O,X
LSOZJIT,O,X,O,X
LZTIJSO,X,O,X,O
LZTIJOS,X,O,X,O
LZTISJO,X,O,X,X
LZTISOJ,X,O,X,O
LZTIOJS,X,O,X,O
LZTIOSJ,X,O,X,O
LZTJISO,O,O,X,O
LZTJIOS,O,O,X,O
LZTJSIO,O,O,X,O
LZTJSOI,O,O,X,O
LZTJOIS,O,O,X,O
LZTJOSI,O,O,X,O
LZTSIJO,X,O,X,X
LZTSIOJ,X,O,X,O
LZTSJIO,X,O,X,X
LZTSJOI,X,O,X,X
LZTSOIJ,X,O,X,O
LZTSOJI,X,O,X,O
LZTOIJS,X,O,X,O
LZTOISJ,X,O,X,O
LZTOJIS,O,O,X,O
LZTOJSI,O,O,X,O
LZTOSIJ,X,O,X,O
LZTOSJI,X,O,X,O
LZITJSO,X,O,X,O
LZITJOS,X,O,X,O
LZITSJO,X,O,X,X
LZITSOJ,X,O,X,O
LZITOJS,X,O,X,O
LZITOSJ,X,O,X,O
LZIJTSO,O,O,X,X
LZIJTOS,O,O,X,X
LZIJSTO,O,X,O,X
LZIJSOT,O,X,O,X
LZIJOTS,O,O,X,X
LZIJOST,O,X,O,X
LZISTJO,O,O,O,X
LZISTOJ,O,O,O,X
LZISJTO,O,X,O,X
LZISJOT,O,X,O,X
LZISOTJ,O,O,O,X
LZISOJT,O,X,O,X
LZIOTJS,X,O,X,O
LZIOTSJ,X,O,X,O
LZIOJTS,O,O,X,X
LZIOJST,O,X,O,X
LZIOSTJ,O,O,O,X
LZIOSJT,O,X,O,X
LZJTISO,O,O,X,O
LZJTIOS,O,O,X,O
LZJTSIO,O,O,X,O
LZJTSOI,O,O,X,O
LZJTOIS,O,O,X,O
LZJTOSI,O,O,X,O
LZJITSO,O,O,X,X
LZJITOS,O,O,X,X
LZJISTO,O,X,O,X
LZJISOT,O,X,O,X
LZJIOTS,O,O,X,X
LZJIOST,O,X,O,X
LZJSTIO,O,X,O,O
LZJSTOI,O,X,O,O
LZJSITO,O,X,O,X
LZJSIOT,O,X,O,X
LZJSOTI,O,X,O,O
LZJSOIT,O,X,O,X
LZJOTIS,O,O,X,O
LZJOTSI,O,O,X,O
LZJOITS,O,O,X,X
LZJOIST,O,X,O,X
LZJOSTI,O,X,O,O
LZJOSIT,O,X,O,X
LZSTIJO,O,O,O,X
LZSTIOJ,O,O,O,X
LZSTJIO,O,O,O,X
LZSTJOI,O,O,O,X
LZSTOIJ,O,O,O,X
LZSTOJI,O,O,O,X
LZSITJO,O,O,O,X
LZSITOJ,O,O,O,X
LZSIJTO,O,X,O,X
LZSIJOT,O,X,O,X
LZSIOTJ,O,O,O,X
LZSIOJT,O,X,O,X
LZSJTIO,O,X,O,X
LZSJTOI,O,X,O,X
LZSJITO,O,X,O,X
LZSJIOT,O,X,O,X
LZSJOTI,O,X,O,X
LZSJOIT,O,X,O,X
LZSOTIJ,O,O,O,X
LZSOTJI,O,O,O,X
LZSOITJ,O,O,O,X
LZSOIJT,O,X,O,X
LZSOJTI,O,X,O,X
LZSOJIT,O,X,O,X
LZOTIJS,X,O,X,O
LZOTISJ,X,O,X,O
LZOTJIS,O,O,X,O
LZOTJSI,O,O,X,O
LZOTSIJ,X,O,X,O
LZOTSJI,X,O,X,O
LZOITJS,X,O,X,O
LZOITSJ,X,O,X,O
LZOIJTS,O,O,X,X
LZOIJST,O,X,O,X
LZOISTJ,O,O,O,X
LZOISJT,O,X,O,X
LZOJTIS,O,O,X,O
LZOJTSI,O,O,X,O
LZOJITS,O,O,X,X
LZOJIST,O,X,O,X
LZOJSTI,O,X,O,O
LZOJSIT,O,X,O,X
LZOSTIJ,O,O,O,X
LZOSTJI,O,O,O,X
LZOSITJ,O,O,O,X
LZOSIJT,O,X,O,X
LZOSJTI,O,X,O,X
LZOSJIT,O,X,O,X
LOTIJSZ,O,O,X,O
LOTIJZS,O,O,X,O
LOTISJZ,O,O,X,O
LOTISZJ,O,O,X,O
LOTIZJS,X,O,X,O
LOTIZSJ,X,O,X,O
LOTJISZ,O,O,X,O
LOTJIZS,O,O,X,O
LOTJSIZ,O,O,X,O
LOTJSZI,O,O,X,O
LOTJZIS,O,O,X,O
LOTJZSI,O,O,X,O
LOTSIJZ,O,O,X,O
LOTSIZJ,O,O,X,O
LOTSJIZ,O,O,X,O
LOTSJZI,O,O,X,O
LOTSZIJ,O,O,X,O
LOTSZJI,O,O,X,O
LOTZIJS,X,O,X,O
LOTZISJ,X,O,X,O
LOTZJIS,O,O,X,O
LOTZJSI,O,O,X,O
LOTZSIJ,X,O,X,O
LOTZSJI,X,O,X,O
LOITJSZ,O,O,X,O
LOITJZS,O,O,X,O
LOITSJZ,O,O,X,O
LOITSZJ,O,O,X,O
LOITZJS,X,O,X,O
LOITZSJ,X,O,X,O
LOIJTSZ,O,O,X,O
LOIJTZS,O,O,X,O
LOIJSTZ,O,X,O,O
LOIJSZT,O,X,O,X
LOIJZTS,O,O,X,X
LOIJZST,O,X,O,X
LOISTJZ,O,O,O,O
LOISTZJ,O,O,X,O
LOISJTZ,O,X,O,X
LOISJZT,O,X,O,X
LOISZTJ,O,O,O,X
LOISZJT,O,X,O,X
LOIZTJS,X,O,X,O
LOIZTSJ,X,O,X,O
LOIZJTS,O,O,X,X
LOIZJST,O,X,O,X
LOIZSTJ,O,O,O,X
LOIZSJT,O,X,O,X
LOJTISZ,O,O,X,O
LOJTIZS,O,O,X,O
LOJTSIZ,O,O,X,O
LOJTSZI,O,O,X,O
LOJTZIS,O,O,X,O
LOJTZSI,O,O,X,O
LOJITSZ,O,O,X,O
LOJITZS,O,O,X,O
LOJISTZ,O,X,O,O
LOJISZT,O,X,O,X
LOJIZTS,O,O,X,X
LOJIZST,O,X,O,X
LOJSTIZ,O,X,O,O
LOJSTZI,O,X,X,O
LOJSITZ,O,X,O,O
LOJSIZT,O,X,O,X
LOJSZTI,O,X,O,O
LOJSZIT,O,X,O,X
LOJZTIS,O,O,X,O
LOJZTSI,O,O,X,O
LOJZITS,O,O,X,X
LOJZIST,O,X,O,X
LOJZSTI,O,X,O,O
LOJZSIT,O,X,O,X
LOSTIJZ,O,O,O,O
LOSTIZJ,O,O,X,O
LOSTJIZ,O,O,O,O
LOSTJZI,O,O,X,O
LOSTZIJ,O,O,X,O
LOSTZJI,O,O,X,O
LOSITJZ,O,O,O,O
LOSITZJ,O,O,X,O
LOSIJTZ,O,X,O,X
LOSIJZT,O,X,O,X
LOSIZTJ,O,O,O,X
LOSIZJT,O,X,O,X
LOSJTIZ,O,X,O,O
LOSJTZI,O,X,X,O
LOSJITZ,O,X,O,O
LOSJIZT,O,X,O,X
LOSJZTI,O,X,O,O
LOSJZIT,O,X,O,X
LOSZTIJ,O,O,O,X
LOSZTJI,O,O,O,X
LOSZITJ,O,O,O,X
LOSZIJT,O,X,O,X
LOSZJTI,O,X,O,X
LOSZJIT,O,X,O,X
LOZTIJS,X,O,X,O
LOZTISJ,X,O,X,O
LOZTJIS,O,O,X,O
LOZTJSI,O,O,X,O
LOZTSIJ,X,O,X,O
LOZTSJI,X,O,X,O
LOZITJS,X,O,X,O
LOZITSJ,X,O,X,O
LOZIJTS,O,O,X,X
LOZIJST,O,X,O,X
LOZISTJ,O,O,O,X
LOZISJT,O,X,O,X
LOZJTIS,O,O,X,O
LOZJTSI,O,O,X,O
LOZJITS,O,O,X,X
LOZJIST,O,X,O,X
LOZJSTI,O,X,O,O
LOZJSIT,O,X,O,X
LOZSTIJ,O,O,O,X
LOZSTJI,O,O,O,X
LOZSITJ,O,O,O,X
LOZSIJT,O,X,O,X
LOZSJTI,O,X,O,X
LOZSJIT,O,X,O,X
JTILSZO,X,O,X,O
JTILSOZ,X,O,X,O
JTILZSO,O,O,X,O
JTILZOS,O,O,X,O
JTILOSZ,X,O,X,O
JTILOZS,O,O,X,O
JTISLZO,X,O,X,O
JTISLOZ,X,O,O,O
JTISZLO,X,X,O,X
JTISZOL,X,O,O,X
JTISOLZ,X,O,O,O
JTISOZL,X,O,O,X
JTIZLSO,O,O,X,X
JTIZLOS,O,O,X,X
JTIZSLO,X,X,O,X
JTIZSOL,X,O,O,X
JTIZOLS,O,O,X,X
JTIZOSL,X,O,O,X
JTIOLSZ,X,O,X,O
JTIOLZS,O,O,X,O
JTIOSLZ,X,O,O,O
JTIOSZL,X,O,O,X
JTIOZLS,O,O,X,X
JTIOZSL,X,O,O,X
JTLISZO,O,O,X,O
JTLISOZ,O,O,X,O
JTLIZSO,O,O,X,O
JTLIZOS,O,O,X,O
JTLIOSZ,O,O,X,O
JTLIOZS,O,O,X,O
JTLSIZO,O,O,X,O
JTLSIOZ,O,O,X,O
JTLSZIO,O,O,X,O
JTLSZOI,O,O,X,O
JTLSOIZ,O,O,X,O
JTLSOZI,O,O,X,O
JTLZISO,O,O,X,O
JTLZIOS,O,O,X,O
JTLZSIO,O,O,X,O
JTLZSOI,O,O,X,O
JTLZOIS,O,O,X,O
JTLZOSI,O,O,X,O
JTLOISZ,O,O,X,O
JTLOIZS,O,O,X,O
JTLOSIZ,O,O,X,O
JTLOSZI,O,O,X,O
JTLOZIS,O,O,X,O
JTLOZSI,O,O,X,O
JTSILZO,X,O,X,O
JTSILOZ,X,O,O,O
JTSIZLO,O,X,O,X
JTSIZOL,O,O,O,X
JTSIOLZ,X,O,O,O
JTSIOZL,O,O,O,X
JTSLIZO,O,O,X,O
JTSLIOZ,O,O,O,O
JTSLZIO,O,O,X,O
JTSLZOI,O,O,X,O
JTSLOIZ,O,O,O,O
JTSLOZI,O,O,X,O
JTSZILO,O,X,O,X
JTSZIOL,O,O,O,X
JTSZLIO,O,X,O,O
JTSZLOI,O,X,O,O
JTSZOIL,O,O,O,X
JTSZOLI,O,X,O,O
JTSOILZ,X,O,O,O
JTSOIZL,O,O,O,X
JTSOLIZ,O,O,O,O
JTSOLZI,O,O,X,O
JTSOZIL,O,O,O,X
JTSOZLI,O,X,O,O
JTZILSO,O,O,X,X
JTZILOS,O,O,X,X
JTZISLO,X,X,O,X
JTZISOL,X,O,O,X
JTZIOLS,O,O,X,X
JTZIOSL,X,O,O,X
JTZLISO,O,O,X,O
JTZLIOS,O,O,X,O
JTZLSIO,O,O,X,O
JTZLSOI,O,O,X,O
JTZLOIS,O,O,X,O
JTZLOSI,O,O,X,O
JTZSILO,X,X,O,X
JTZSIOL,X,O,O,X
JTZSLIO,O,X,O,O
JTZSLOI,O,X,O,O
JTZSOIL,X,O,O,X
JTZSOLI,O,X,O,O
JTZOILS,O,O,X,X
JTZOISL,X,O,O,X
JTZOLIS,O,O,X,O
JTZOLSI,O,O,X,O
JTZOSIL,X,O,O,X
JTZOSLI,O,X,O,O
JTOILSZ,X,O,X,O
JTOILZS,O,O,X,O
JTOISLZ,X,O,O,O
JTOISZL,X,O,O,X
JTOIZLS,O,O,X,X
JTOIZSL,X,O,O,X
JTOLISZ,O,O,X,O
JTOLIZS,O,O,X,O
JTOLSIZ,O,O,X,O
JTOLSZI,O,O,X,O
JTOLZIS,O,O,X,O
JTOLZSI,O,O,X,O
JTOSILZ,X,O,O,O
JTOSIZL,O,O,O,X
JTOSLIZ,O,O,O,O
JTOSLZI,O,O,X,O
JTOSZIL,O,O,O,X
JTOSZLI,O,X,O,O
JTOZILS,O,O,X,X
JTOZISL,X,O,O,X
JTOZLIS,O,O,X,O
JTOZLSI,O,O,X,O
JTOZSIL,X,O,O,X
JTOZSLI,O,X,O,O
JITLSZO,X,O,X,O
JITLSOZ,X,O,X,O
JITLZSO,O,O,X,O
JITLZOS,O,O,X,O
JITLOSZ,X,O,X,O
JITLOZS,O,O,X,O
JITSLZO,X,O,X,O
JITSLOZ,X,O,O,O
JITSZLO,X,X,O,X
JITSZOL,X,O,O,X
JITSOLZ,X,O,O,O
JITSOZL,X,O,O,X
JITZLSO,O,O,X,X
JITZLOS,O,O,X,X
JITZSLO,X,X,O,X
JITZSOL,X,O,O,X
JITZOLS,O,O,X,X
JITZOSL,X,O,O,X
JITOLSZ,X,O,X,O
JITOLZS,O,O,X,O
JITOSLZ,X,O,O,O
JITOSZL,X,O,O,X
JITOZLS,O,O,X,X
JITOZSL,X,O,O,X
JILTSZO,O,O,X,O
JILTSOZ,O,O,X,O
JILTZSO,O,O,X,O
JILTZOS,O,O,X,O
JILTOSZ,O,O,X,O
JILTOZS,O,O,X,O
JILSTZO,O,X,X,O
JILSTOZ,O,X,O,O
JILSZTO,O,X,O,X
JILSZOT,O,X,O,X
JILSOTZ,O,X,O,O
JILSOZT,O,X,O,X
JILZTSO,O,O,X,X
JILZTOS,O,O,X,X
JILZSTO,O,X,O,X
JILZSOT,O,X,O,X
JILZOTS,O,O,X,X
JILZOST,O,X,O,X
JILOTSZ,O,O,X,O
JILOTZS,O,O,X,O
JILOSTZ,O,X,O,O
JILOSZT,O,X,O,X
JILOZTS,O,O,X,X
JILOZST,O,X,O,X
JISTLZO,X,O,X,O
JISTLOZ,X,O,O,O
JISTZLO,O,X,O,X
JISTZOL,O,O,O,X
JISTOLZ,X,O,O,O
JISTOZL,O,O,O,X
JISLTZO,O,X,X,O
JISLTOZ,O,X,O,O
JISLZTO,O,X,O,X
JISLZOT,O,X,O,X
JISLOTZ,O,X,O,O
JISLOZT,O,X,O,X
JISZTLO,O,X,O,X
JISZTOL,O,X,O,X
JISZLTO,O,X,O,X
JISZLOT,O,X,O,X
JISZOTL,O,X,O,X
JISZOLT,O,X,O,X
JISOTLZ,X,O,O,O
JISOTZL,O,O,O,X
JISOLTZ,O,X,O,O
JISOLZT,O,X,O,X
JISOZTL,O,X,O,X
JISOZLT,O,X,O,X
JIZTLSO,O,O,X,X
JIZTLOS,O,O,X,X
JIZTSLO,X,X,O,X
JIZTSOL,X,O,O,X
JIZTOLS,O,O,X,X
JIZTOSL,X,O,O,X
JIZLTSO,O,O,X,X
JIZLTOS,O,O,X,X
JIZLSTO,O,X,O,X
JIZLSOT,O,X,O,X
JIZLOTS,O,O,X,X
JIZLOST,O,X,O,X
JIZSTLO,X,X,O,X
JIZSTOL,X,X,O,X
JIZSLTO,X,X,O,X
JIZSLOT,X,X,O,X
JIZSOTL,X,X,O,X
JIZSOLT,X,X,O,X
JIZOTLS,O,O,X,X
JIZOTSL,X,O,O,X
JIZOLTS,O,O,X,X
JIZOLST,O,X,O,X
JIZOSTL,X,X,O,X
JIZOSLT,X,X,O,X
JIOTLSZ,X,O,X,O
JIOTLZS,O,O,X,O
JIOTSLZ,X,O,O,O
JIOTSZL,X,O,O,X
JIOTZLS,O,O,X,X
JIOTZSL,X,O,O,X
JIOLTSZ,O,O,X,O
JIOLTZS,O,O,X,O
JIOLSTZ,O,X,O,O
JIOLSZT,O,X,O,X
JIOLZTS,O,O,X,X
JIOLZST,O,X,O,X
JIOSTLZ,X,O,O,O
JIOSTZL,O,O,O,X
JIOSLTZ,O,X,O,O
JIOSLZT,O,X,O,X
JIOSZTL,O,X,O,X
JIOSZLT,O,X,O,X
JIOZTLS,O,O,X,X
JIOZTSL,X,O,O,X
JIOZLTS,O,O,X,X
JIOZLST,O,X,O,X
JIOZSTL,X,X,O,X
JIOZSLT,X,X,O,X
JLTISZO,O,O,X,O
JLTISOZ,O,O,X,O
JLTIZSO,O,O,X,O
JLTIZOS,O,O,X,O
JLTIOSZ,O,O,X,O
JLTIOZS,O,O,X,O
JLTSIZO,O,O,X,O
JLTSIOZ,O,O,X,O
JLTSZIO,O,O,X,O
JLTSZOI,O,O,X,O
JLTSOIZ,O,O,X,O
JLTSOZI,O,O,X,O
JLTZISO,O,O,X,O
JLTZIOS,O,O,X,O
JLTZSIO,O,O,X,O
JLTZSOI,O,O,X,O
JLTZOIS,O,O,X,O
JLTZOSI,O,O,X,O
JLTOISZ,O,O,X,O
JLTOIZS,O,O,X,O
JLTOSIZ,O,O,X,O
JLTOSZI,O,O,X,O
JLTOZIS,O,O,X,O
JLTOZSI,O,O,X,O
JLITSZO,O,O,X,O
JLITSOZ,O,O,X,O
JLITZSO,O,O,X,O
JLITZOS,O,O,X,O
JLITOSZ,O,O,X,O
JLITOZS,O,O,X,O
JLISTZO,O,X,X,O
JLISTOZ,O,X,O,O
JLISZTO,O,X,O,X
JLISZOT,O,X,O,X
JLISOTZ,O,X,O,O
JLISOZT,O,X,O,X
JLIZTSO,O,O,X,X
JLIZTOS,O,O,X,X
JLIZSTO,O,X,O,X
JLIZSOT,O,X,O,X
JLIZOTS,O,O,X,X
JLIZOST,O,X,O,X
JLIOTSZ,O,O,X,O
JLIOTZS,O,O,X,O
JLIOSTZ,O,X,O,O
JLIOSZT,O,X,O,X
JLIOZTS,O,O,X,X
JLIOZST,O,X,O,X
JLSTIZO,O,X,X,O
JLSTIOZ,O,X,O,O
JLSTZIO,O,X,X,O
JLSTZOI,O,X,X,O
JLSTOIZ,O,X,O,O
JLSTOZI,O,X,X,O
JLSITZO,O,X,X,O
JLSITOZ,O,X,O,O
JLSIZTO,O,X,O,X
JLSIZOT,O,X,O,X
JLSIOTZ,O,X,O,O
JLSIOZT,O,X,O,X
JLSZTIO,O,X,O,O
JLSZTOI,O,X,O,O
JLSZITO,O,X,O,X
JLSZIOT,O,X,O,X
JLSZOTI,O,X,O,O
JLSZOIT,O,X,O,X
JLSOTIZ,O,X,O,O
JLSOTZI,O,X,X,O
JLSOITZ,O,X,O,O
JLSOIZT,O,X,O,X
JLSOZTI,O,X,O,O
JLSOZIT,O,X,O,X
JLZTISO,O,O,X,O
JLZTIOS,O,O,X,O
JLZTSIO,O,O,X,O
JLZTSOI,O,O,X,O
JLZTOIS,O,O,X,O
JLZTOSI,O,O,X,O
JLZITSO,O,O,X,X
JLZITOS,O,O,X,X
JLZISTO,O,X,O,X
JLZISOT,O,X,O,X
JLZIOTS,O,O,X,X
JLZIOST,O,X,O,X
JLZSTIO,O,X,O,O
JLZSTOI,O,X,O,O
JLZSITO,O,X,O,X
JLZSIOT,O,X,O,X
JLZSOTI,O,X,O,O
JLZSOIT,O,X,O,X
JLZOTIS,O,O,X,O
JLZOTSI,O,O,X,O
JLZOITS,O,O,X,X
JLZOIST,O,X,O,X
JLZOSTI,O,X,O,O
JLZOSIT,O,X,O,X
JLOTISZ,O,O,X,O
JLOTIZS,O,O,X,O
JLOTSIZ,O,O,X,O
JLOTSZI,O,O,X,O
JLOTZIS,O,O,X,O
JLOTZSI,O,O,X,O
JLOITSZ,O,O,X,O
JLOITZS,O,O,X,O
JLOISTZ,O,X,O,O
JLOISZT,O,X,O,X
JLOIZTS,O,O,X,X
JLOIZST,O,X,O,X
JLOSTIZ,O,X,O,O
JLOSTZI,O,X,X,O
JLOSITZ,O,X,O,O
JLOSIZT,O,X,O,X
JLOSZTI,O,X,O,O
JLOSZIT,O,X,O,X
JLOZTIS,O,O,X,O
JLOZTSI,O,O,X,O
JLOZITS,O,O,X,X
JLOZIST,O,X,O,X
JLOZSTI,O,X,O,O
JLOZSIT,O,X,O,X
JSTILZO,X,O,X,O
JSTILOZ,X,O,O,O
JSTIZLO,O,X,O,X
JSTIZOL,O,O,O,X
JSTIOLZ,X,O,O,O
JSTIOZL,O,O,O,X
JSTLIZO,O,O,X,O
JSTLIOZ,O,O,O,O
JSTLZIO,O,O,X,O
JSTLZOI,O,O,X,O
JSTLOIZ,O,O,O,O
JSTLOZI,O,O,X,O
JSTZILO,O,X,O,X
JSTZIOL,O,O,O,X
JSTZLIO,O,X,O,O
JSTZLOI,O,X,O,O
JSTZOIL,O,O,O,X
JSTZOLI,O,X,O,O
JSTOILZ,X,O,O,O
JSTOIZL,O,O,O,X
JSTOLIZ,O,O,O,O
JSTOLZI,O,O,X,O
JSTOZIL,O,O,O,X
JSTOZLI,O,X,O,O
JSITLZO,X,O,X,O
JSITLOZ,X,O,O,O
JSITZLO,O,X,O,X
JSITZOL,O,O,O,X
JSITOLZ,X,O,O,O
JSITOZL,O,O,O,X
JSILTZO,O,X,X,O
JSILTOZ,O,X,O,O
JSILZTO,O,X,O,X
JSILZOT,O,X,O,X
JSILOTZ,O,X,O,O
JSILOZT,O,X,O,X
JSIZTLO,O,X,O,X
JSIZTOL,O,X,O,X
