sequence,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFCgBXhBVnB8pBGr?BTsB,v115@EhC8HeB8HeB8BeC8CeB8Je2EJvhFRgBUiB3lB1rBTp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFzfBfmBlhB8rB+s?BCqB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhF8lBzhBikB+sB3p?BlrB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhFlhBOpB8pBzlBXn?BSxB,v115@EhC8HeB8HeB8BeC8CeB8Jei/IvhFRhBFlBXmB8rB+s?BTpB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFChBVnBupB/rBUl?BTsB,v115@EhC8HeB8HeB8BeC8CeB8JeXAJvhF8lBzhBlpBxrBOp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFfmBlhBUlB6sBup?BzrB
TJIZLSO,O,X,O,X,X,O,X,O,X
TJIZLOS,O,X,O,O,X,O,X,O,X
TJIZSLO,O,X,O,O,X,O,X,O,X
TJIZSOL,O,X,O,O,X,O,X,O,X
TJIZOLS,O,X,X,O,X,O,X,O,X
TJIZOSL,O,X,O,O,X,X,X,O,X
TJIOLSZ,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,O,X,X,O,X,X
TJIOSZL,O,X,X,O,X,X,O,X,X
TJIOZLS,O,X,X,O,X,X,X,O,X
TJIOZSL,O,X,X,O,X,X,O,O,X
TJLISZO,O,X,O,X,X,O,X,X,X
TJLISOZ,X,X,O,X,X,X,X,X,X
TJLIZSO,O,X,O,X,X,O,X,X,X
TJLIZOS,O,X,O,X,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,O,X,X,O,X,X,X
TJLSIZO,O,X,O,O,X,O,X,X,X
TJLSIOZ,X,X,O,O,X,X,X,X,X
TJLSZIO,O,X,O,O,X,O,X,X,X
TJLSZOI,O,X,O,O,X,O,X,X,X
TJLSOIZ,X,X,O,O,X,X,X,X,X
TJLSOZI,X,X,O,O,X,X,X,X,X
TJLZISO,O,X,O,X,X,O,X,X,X
TJLZIOS,O,X,O,O,X,O,X,X,X
TJLZSIO,O,X,O,O,X,O,X,X,X
TJLZSOI,O,X,O,O,X,O,X,X,X
TJLZOIS,O,X,O,O,X,O,X,X,X
TJLZOSI,O,X,O,O,X,O,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,O,X,X,X
TJLOSIZ,X,X,O,O,X,X,X,X,X
TJLOSZI,X,X,O,O,X,X,X,X,X
TJLOZIS,X,X,O,O,X,O,X,X,X
TJLOZSI,X,X,O,O,X,O,X,X,X
TJSILZO,O,O,O,O,X,O,O,X,X
TJSILOZ,X,X,O,O,X,X,O,X,X
TJSIZLO,O,O,O,O,X,X,O,X,X
TJSIZOL,O,O,O,O,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,O,X,X
TJSIOZL,O,O,X,O,X,X,X,X,X
TJSLIZO,O,O,O,O,X,O,O,X,X
TJSLIOZ,X,X,O,O,X,X,O,X,X
TJSLZIO,O,O,O,O,X,O,O,X,X
TJSLZOI,O,X,O,O,X,O,X,X,X
TJSLOIZ,X,X,O,O,X,X,O,X,X
TJSLOZI,X,X,O,O,X,X,X,X,X
TJSZILO,O,O,O,O,X,O,O,O,X
TJSZIOL,O,O,O,O,X,O,X,O,X
TJSZLIO,O,O,O,O,X,O,O,X,X
TJSZLOI,O,X,O,O,X,O,X,X,X
TJSZOIL,O,O,O,O,X,O,X,X,X
TJSZOLI,O,O,O,O,X,O,X,X,X
TJSOILZ,X,O,X,O,X,X,O,X,X
TJSOIZL,O,O,X,O,X,X,X,X,X
TJSOLIZ,X,O,X,O,X,X,O,X,X
TJSOLZI,X,O,X,O,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X
TJZILSO,O,X,O,X,X,O,X,O,X
TJZILOS,O,X,O,O,X,O,X,O,X
TJZISLO,O,X,O,O,X,O,X,O,X
TJZISOL,O,X,O,O,X,O,X,O,X
TJZIOLS,O,X,X,O,X,O,X,O,X
TJZIOSL,O,X,O,O,X,O,X,O,X
TJZLISO,O,X,O,X,X,O,X,X,X
TJZLIOS,O,X,O,O,X,O,X,X,X
TJZLSIO,O,X,O,O,X,O,X,X,X
TJZLSOI,O,X,O,O,X,O,X,X,X
TJZLOIS,O,X,O,O,X,O,X,X,X
TJZLOSI,O,X,O,O,X,O,X,X,X
TJZSILO,O,O,O,O,X,O,X,O,X
TJZSIOL,O,O,O,O,X,O,X,O,X
TJZSLIO,O,O,O,O,X,O,X,X,X
TJZSLOI,O,X,O,O,X,O,X,X,X
TJZSOIL,O,O,O,O,X,O,X,X,X
TJZSOLI,O,O,O,O,X,O,X,X,X
TJZOILS,O,O,X,O,X,O,X,X,X
TJZOISL,O,O,O,O,X,O,X,X,X
TJZOLIS,O,O,X,O,X,O,X,X,X
TJZOLSI,O,O,X,O,X,O,X,X,X
TJZOSIL,O,O,O,O,X,O,X,X,X
TJZOSLI,O,O,O,O,X,O,X,X,X
TJOILSZ,X,X,X,X,X,O,O,X,X
TJOILZS,X,O,X,X,X,O,X,X,X
TJOISLZ,X,O,X,O,X,O,O,X,X
TJOISZL,O,O,X,O,X,X,O,X,X
TJOIZLS,O,O,X,O,X,O,X,X,X
TJOIZSL,O,O,X,O,X,O,O,X,X
TJOLISZ,X,X,X,X,X,O,O,X,X
TJOLIZS,X,O,X,X,X,O,X,X,X
TJOLSIZ,X,O,X,O,X,O,O,X,X
TJOLSZI,X,O,X,O,X,O,O,X,X
TJOLZIS,X,O,X,O,X,O,X,X,X
TJOLZSI,X,O,X,O,X,O,X,X,X
TJOSILZ,X,O,X,O,X,O,O,X,X
TJOSIZL,O,O,X,O,X,X,O,X,X
TJOSLIZ,X,O,X,O,X,O,O,X,X
TJOSLZI,X,O,X,O,X,O,O,X,X
TJOSZIL,O,O,X,O,X,O,O,X,X
TJOSZLI,O,O,X,O,X,O,O,X,X
TJOZILS,O,O,X,O,X,O,X,X,X
TJOZISL,O,O,X,O,X,O,O,X,X
TJOZLIS,O,O,X,O,X,O,X,X,X
TJOZLSI,O,O,X,O,X,O,X,X,X
TJOZSIL,O,O,X,O,X,O,O,X,X
TJOZSLI,O,O,X,O,X,O,O,X,X
TSILJZO,X,O,O,X,X,O,O,X,O
TSILJOZ,X,X,O,X,X,X,O,X,X
TSILZJO,X,O,X,X,X,X,O,X,O
TSILZOJ,X,X,X,X,X,X,X,X,O
TSILOJZ,X,X,O,X,X,X,O,X,X
TSILOZJ,X,X,X,X,X,X,X,X,O
TSIJLZO,X,O,O,X,X,X,O,X,X
TSIJLOZ,X,X,O,X,X,X,O,X,X
TSIJZLO,X,O,O,X,X,X,O,X,X
TSIJZOL,X,O,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,O,X,X
TSIJOZL,X,O,X,X,X,X,X,X,X
TSIZLJO,X,O,X,X,X,X,O,O,O
TSIZLOJ,X,X,X,X,X,X,X,O,O
TSIZJLO,X,O,X,X,X,X,O,O,X
TSIZJOL,X,O,X,X,X,X,X,O,X
TSIZOLJ,X,O,X,X,X,X,X,O,X
TSIZOJL,X,O,X,X,X,X,X,O,X
TSIOLJZ,X,O,X,X,X,X,O,X,X
TSIOLZJ,X,O,X,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,O,X,X
TSIOJZL,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,X,X,X,X,O,X
TSIOZJL,X,O,X,X,X,X,X,O,X
TSLIJZO,X,O,O,O,X,O,O,X,O
TSLIJOZ,X,X,O,X,X,X,O,X,X
TSLIZJO,X,O,X,O,X,X,O,X,O
TSLIZOJ,X,X,X,X,X,X,X,X,O
TSLIOJZ,X,X,O,X,X,X,O,X,X
TSLIOZJ,X,X,X,X,X,X,X,X,O
TSLJIZO,X,O,O,O,X,O,O,X,O
TSLJIOZ,X,X,O,O,X,X,O,X,X
TSLJZIO,X,O,O,O,X,O,O,X,O
TSLJZOI,X,X,O,O,X,O,X,X,X
TSLJOIZ,X,X,O,O,X,X,O,X,X
TSLJOZI,X,X,O,O,X,X,X,X,X
TSLZIJO,X,O,X,O,X,X,O,O,O
TSLZIOJ,X,X,X,X,X,X,X,O,O
TSLZJIO,X,O,X,O,X,X,O,X,O
TSLZJOI,X,X,X,O,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,X,X,O
TSLZOJI,X,O,X,X,X,X,X,X,X
TSLOIJZ,X,O,O,X,X,X,O,X,X
TSLOIZJ,X,O,X,X,X,X,X,X,O
TSLOJIZ,X,O,O,X,X,X,O,X,X
TSLOJZI,X,O,O,X,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X,O
TSLOZJI,X,O,X,X,X,X,X,X,X
TSJILZO,X,O,O,O,X,O,O,X,X
TSJILOZ,X,X,O,O,X,X,O,X,X
TSJIZLO,X,O,O,O,X,X,O,X,X
TSJIZOL,X,O,O,O,X,X,X,X,X
TSJIOLZ,X,X,X,O,X,X,O,X,X
TSJIOZL,X,O,X,O,X,X,X,X,X
TSJLIZO,X,O,O,O,X,O,O,X,X
TSJLIOZ,X,X,O,O,X,X,O,X,X
TSJLZIO,X,O,O,O,X,O,O,X,X
TSJLZOI,X,X,O,O,X,O,X,X,X
TSJLOIZ,X,X,O,O,X,X,O,X,X
TSJLOZI,X,X,O,O,X,X,X,X,X
TSJZILO,X,O,O,O,X,O,O,O,X
TSJZIOL,X,O,O,O,X,O,X,O,X
TSJZLIO,X,O,O,O,X,O,O,X,X
TSJZLOI,X,X,O,O,X,O,X,X,X
TSJZOIL,X,O,O,O,X,O,X,X,X
TSJZOLI,X,O,O,O,X,O,X,X,X
TSJOILZ,X,O,X,O,X,X,O,X,X
TSJOIZL,X,O,X,O,X,X,X,X,X
TSJOLIZ,X,O,X,O,X,X,O,X,X
TSJOLZI,X,O,X,O,X,X,X,X,X
TSJOZIL,X,O,X,O,X,X,X,X,X
TSJOZLI,X,O,X,O,X,X,X,X,X
TSZILJO,X,O,X,X,X,X,O,O,O
TSZILOJ,X,X,X,X,X,X,X,O,O
TSZIJLO,X,O,X,O,X,X,O,O,X
TSZIJOL,X,O,X,O,X,X,X,O,X
TSZIOLJ,X,O,X,X,X,X,X,O,X
TSZIOJL,X,O,X,X,X,X,X,O,X
TSZLIJO,X,O,X,O,X,X,O,O,O
TSZLIOJ,X,X,X,X,X,X,X,O,O
TSZLJIO,X,O,X,O,X,X,O,X,O
TSZLJOI,X,X,X,O,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,X,X,X,O
TSZLOJI,X,O,X,X,X,X,X,X,X
TSZJILO,X,O,X,O,X,X,O,O,X
TSZJIOL,X,O,X,O,X,X,X,O,X
TSZJLIO,X,O,X,O,X,X,O,X,X
TSZJLOI,X,X,X,O,X,X,X,X,X
TSZJOIL,X,O,X,O,X,X,X,X,X
TSZJOLI,X,O,X,O,X,X,X,X,X
TSZOILJ,X,O,X,X,X,X,X,O,X
TSZOIJL,X,O,X,X,X,X,X,O,X
TSZOLIJ,X,O,X,X,X,X,X,X,X
TSZOLJI,X,O,X,X,X,X,X,X,X
TSZOJIL,X,O,X,X,X,X,X,X,X
TSZOJLI,X,O,X,X,X,X,X,X,X
TSOILJZ,X,O,X,X,X,X,O,X,X
TSOILZJ,X,O,X,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,X,O,X,X
TSOIJZL,X,O,X,X,X,X,X,X,X
TSOIZLJ,X,O,X,X,X,X,X,X,X
TSOIZJL,X,O,X,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,O,X,X
TSOLIZJ,X,O,X,X,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,X,O,X,X
TSOLJZI,X,O,X,X,X,X,X,X,X
TSOLZIJ,X,O,X,X,X,X,X,X,X
TSOLZJI,X,O,X,X,X,X,X,X,X
TSOJILZ,X,O,X,X,X,X,O,X,X
TSOJIZL,X,O,X,X,X,X,X,X,X
TSOJLIZ,X,O,X,X,X,X,O,X,X
TSOJLZI,X,O,X,X,X,X,X,X,X
TSOJZIL,X,O,X,X,X,X,X,X,X
TSOJZLI,X,O,X,X,X,X,X,X,X
TSOZILJ,X,O,X,X,X,X,X,O,X
TSOZIJL,X,O,X,X,X,X,X,O,X
TSOZLIJ,X,O,X,X,X,X,X,X,X
TSOZLJI,X,O,X,X,X,X,X,X,X
TSOZJIL,X,O,X,X,X,X,X,X,X
TSOZJLI,X,O,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,O,X,O,X
TZILJOS,O,X,X,X,X,O,X,O,X
TZILSJO,X,X,X,X,O,X,X,O,O
TZILSOJ,X,X,X,X,O,X,X,O,O
TZILOJS,O,X,X,X,O,X,X,O,X
TZILOSJ,O,X,X,X,O,X,X,O,X
TZIJLSO,O,X,X,X,X,X,X,O,X
TZIJLOS,O,X,X,O,X,X,X,O,X
TZIJSLO,O,X,X,X,X,X,X,O,X
TZIJSOL,O,X,X,O,X,X,X,O,X
TZIJOLS,O,X,X,O,X,X,X,O,X
TZIJOSL,O,X,X,O,X,X,X,O,X
TZISLJO,X,O,X,X,X,X,X,O,O
TZISLOJ,X,X,X,X,X,X,X,O,O
TZISJLO,X,O,X,X,X,X,X,O,X
TZISJOL,X,O,X,X,X,X,X,O,X
TZISOLJ,X,O,X,X,X,X,X,O,X
TZISOJL,X,O,X,X,X,X,X,O,X
TZIOLJS,O,X,X,X,O,X,X,O,X
TZIOLSJ,O,X,X,X,O,X,X,O,X
TZIOJLS,O,O,X,X,O,X,X,O,X
