sequence,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBRhBGjB0mBlnBXtB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhBziB+oB3kBlmB0sB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhB+oB3kB0mBlnBzsB,v115@KhA8HeC8EeG8BeA8Je2EJvhFFhBxiBCnBToB3kB0sB,v115@KhA8HeC8EeG8BeA8JeOEJvhF8kBFhB6oBRnBXnBzsB,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBUhBFiBGoBRsBXtB
TJLZSOI,X,O,O,O,O,O
TJLZOIS,X,O,X,O,O,O
TJLZOSI,X,O,X,O,O,O
TJLOISZ,X,O,X,O,X,X
TJLOIZS,X,X,X,O,O,O
TJLOSIZ,X,O,X,O,X,X
TJLOSZI,X,O,X,O,X,O
TJLOZIS,X,X,X,O,O,O
TJLOZSI,X,X,X,O,O,O
TJSILZO,X,O,O,X,X,X
TJSILOZ,X,O,X,X,X,X
TJSIZLO,X,O,O,X,X,X
TJSIZOL,X,O,O,X,X,X
TJSIOLZ,X,O,X,X,X,X
TJSIOZL,X,O,X,X,X,X
TJSLIZO,X,O,O,X,X,X
TJSLIOZ,X,O,X,X,X,X
TJSLZIO,X,O,O,X,X,X
TJSLZOI,X,O,O,O,X,O
TJSLOIZ,X,O,X,O,X,X
TJSLOZI,X,O,O,O,X,O
TJSZILO,X,O,O,X,X,X
TJSZIOL,X,O,O,X,X,X
TJSZLIO,X,O,O,X,X,X
TJSZLOI,X,O,O,O,X,O
TJSZOIL,X,O,O,X,X,X
TJSZOLI,X,O,O,X,X,X
TJSOILZ,X,O,X,X,X,X
TJSOIZL,X,O,X,X,X,X
TJSOLIZ,X,O,X,O,X,X
TJSOLZI,X,O,O,O,X,X
TJSOZIL,X,O,O,X,X,X
TJSOZLI,X,O,O,X,X,X
TJZILSO,X,O,O,X,X,X
TJZILOS,X,O,X,O,O,O
TJZISLO,X,O,O,X,X,X
TJZISOL,X,O,O,X,X,X
TJZIOLS,X,O,X,X,O,X
TJZIOSL,X,O,O,X,O,X
TJZLISO,X,O,O,X,X,X
TJZLIOS,X,O,X,O,O,O
TJZLSIO,X,O,O,X,X,X
TJZLSOI,X,O,O,O,O,O
TJZLOIS,X,O,X,O,O,O
TJZLOSI,X,O,X,O,O,O
TJZSILO,X,O,O,X,X,X
TJZSIOL,X,O,O,X,X,X
TJZSLIO,X,O,O,X,X,X
TJZSLOI,X,O,O,O,O,O
TJZSOIL,X,O,O,X,O,X
TJZSOLI,X,O,O,X,O,X
TJZOILS,X,O,X,O,O,X
TJZOISL,X,O,O,X,O,X
TJZOLIS,X,O,X,O,O,O
TJZOLSI,X,O,X,O,O,O
TJZOSIL,X,O,O,X,O,X
TJZOSLI,X,O,O,X,O,X
TJOILSZ,X,O,X,O,X,X
TJOILZS,X,X,X,O,O,X
TJOISLZ,X,O,X,X,X,X
TJOISZL,X,O,X,X,X,X
TJOIZLS,X,O,X,X,O,X
TJOIZSL,X,O,X,X,O,X
TJOLISZ,X,O,X,O,X,X
TJOLIZS,X,X,X,O,O,O
TJOLSIZ,X,O,X,O,X,X
TJOLSZI,X,O,X,O,X,O
TJOLZIS,X,X,X,O,O,O
TJOLZSI,X,X,X,O,O,O
TJOSILZ,X,O,X,X,X,X
TJOSIZL,X,O,X,X,X,X
TJOSLIZ,X,O,X,O,X,X
TJOSLZI,X,O,O,O,X,X
TJOSZIL,X,O,O,X,X,X
TJOSZLI,X,O,O,X,X,X
TJOZILS,X,O,X,X,O,X
TJOZISL,X,O,O,X,O,X
TJOZLIS,X,O,X,O,O,O
TJOZLSI,X,O,X,O,O,O
TJOZSIL,X,O,O,X,O,X
TJOZSLI,X,O,O,X,O,X
TSILJZO,O,O,O,X,X,X
TSILJOZ,O,O,X,X,X,X
TSILZJO,O,O,O,X,X,X
TSILZOJ,O,O,X,X,X,X
TSILOJZ,O,O,X,X,X,X
TSILOZJ,O,O,X,X,X,X
TSIJLZO,O,O,O,X,X,X
TSIJLOZ,O,O,X,X,X,X
TSIJZLO,O,O,O,X,X,X
TSIJZOL,O,O,O,X,X,X
TSIJOLZ,O,O,X,X,X,X
TSIJOZL,X,O,X,X,X,X
TSIZLJO,O,O,O,X,X,X
TSIZLOJ,O,O,X,X,X,X
TSIZJLO,O,O,O,X,X,X
TSIZJOL,O,O,O,X,X,X
TSIZOLJ,O,O,X,X,X,X
TSIZOJL,O,O,X,X,X,X
TSIOLJZ,O,O,X,X,X,X
TSIOLZJ,O,O,X,X,X,X
TSIOJLZ,O,O,X,X,X,X
TSIOJZL,X,O,X,X,X,X
TSIOZLJ,X,O,X,X,X,X
TSIOZJL,X,O,X,X,X,X
TSLIJZO,O,O,O,X,X,X
TSLIJOZ,O,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X
TSLIZOJ,O,O,X,X,X,X
TSLIOJZ,O,O,X,X,X,X
TSLIOZJ,O,O,X,X,X,X
TSLJIZO,O,O,O,X,X,X
TSLJIOZ,O,O,X,X,X,X
TSLJZIO,O,O,O,X,X,X
TSLJZOI,O,O,O,O,X,X
TSLJOIZ,O,O,X,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,O,O,X,X,X
TSLZIOJ,O,O,X,X,X,X
TSLZJIO,O,O,O,X,X,X
TSLZJOI,O,O,O,O,O,X
TSLZOIJ,O,O,X,O,O,X
TSLZOJI,O,O,X,O,O,X
TSLOIJZ,O,O,X,O,X,X
TSLOIZJ,O,O,X,X,O,X
TSLOJIZ,O,O,X,O,X,X
TSLOJZI,O,O,X,O,X,X
TSLOZIJ,O,O,X,X,O,X
TSLOZJI,O,O,X,X,O,X
TSJILZO,O,O,O,X,X,X
TSJILOZ,O,O,X,X,X,X
TSJIZLO,O,O,O,X,X,X
TSJIZOL,O,O,O,X,X,X
TSJIOLZ,O,O,X,X,X,X
TSJIOZL,X,O,X,X,X,X
TSJLIZO,O,O,O,X,X,X
TSJLIOZ,O,O,X,X,X,X
TSJLZIO,O,O,O,X,X,X
TSJLZOI,O,O,O,O,X,X
TSJLOIZ,O,O,X,O,X,X
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,O,O,X,X,X
TSJZIOL,O,O,O,X,X,X
TSJZLIO,O,O,O,X,X,X
TSJZLOI,O,O,O,O,X,X
TSJZOIL,O,O,O,X,X,X
TSJZOLI,O,O,O,X,X,X
TSJOILZ,O,O,X,X,X,X
TSJOIZL,X,O,X,X,X,X
TSJOLIZ,O,O,X,O,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,O,X,X,X
TSJOZLI,O,O,O,X,X,X
TSZILJO,O,O,O,X,X,X
TSZILOJ,O,O,X,X,X,X
TSZIJLO,O,O,O,X,X,X
TSZIJOL,O,O,O,X,X,X
TSZIOLJ,O,O,X,X,X,X
TSZIOJL,O,O,X,X,X,X
TSZLIJO,O,O,O,X,X,X
TSZLIOJ,O,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X
TSZLJOI,O,O,O,O,O,X
TSZLOIJ,O,O,X,O,O,X
TSZLOJI,O,O,X,O,O,X
TSZJILO,O,O,O,X,X,X
TSZJIOL,O,O,O,X,X,X
TSZJLIO,O,O,O,X,X,X
TSZJLOI,O,O,O,O,O,X
TSZJOIL,O,O,O,X,O,X
TSZJOLI,O,O,O,X,O,X
TSZOILJ,O,O,X,X,O,X
TSZOIJL,O,O,X,X,O,X
TSZOLIJ,O,O,X,X,O,X
TSZOLJI,O,O,X,X,O,X
TSZOJIL,O,O,X,X,O,X
TSZOJLI,O,O,X,X,O,X
TSOILJZ,O,O,X,X,X,X
TSOILZJ,O,O,X,X,O,X
TSOIJLZ,O,O,X,X,X,X
TSOIJZL,X,O,X,X,X,X
TSOIZLJ,X,O,X,X,O,X
TSOIZJL,X,O,X,X,O,X
TSOLIJZ,O,O,X,O,X,X
TSOLIZJ,O,O,X,X,O,X
TSOLJIZ,O,O,X,O,X,X
TSOLJZI,O,O,X,O,X,X
TSOLZIJ,O,O,X,X,O,X
TSOLZJI,O,O,X,X,O,X
TSOJILZ,O,O,X,X,X,X
TSOJIZL,X,O,X,X,X,X
TSOJLIZ,O,O,X,O,X,X
TSOJLZI,O,O,X,O,X,X
TSOJZIL,O,O,X,X,X,X
TSOJZLI,O,O,X,X,X,X
TSOZILJ,O,O,X,X,O,X
TSOZIJL,O,O,X,X,O,X
TSOZLIJ,O,O,X,X,O,X
TSOZLJI,O,O,X,X,O,X
TSOZJIL,O,O,X,X,O,X
TSOZJLI,O,O,X,X,O,X
TZILJSO,O,O,X,X,X,O
TZILJOS,O,O,X,O,O,O
TZILSJO,O,O,X,X,X,O
TZILSOJ,O,O,X,X,X,O
TZILOJS,O,X,X,O,O,O
TZILOSJ,O,X,X,O,O,O
TZIJLSO,O,O,O,X,X,O
TZIJLOS,O,O,X,O,O,O
TZIJSLO,O,O,O,X,X,O
TZIJSOL,X,O,O,X,X,X
TZIJOLS,O,O,X,X,O,O
TZIJOSL,X,O,O,X,O,X
TZISLJO,O,O,O,X,X,O
TZISLOJ,O,O,X,X,X,O
TZISJLO,O,O,O,X,X,O
TZISJOL,O,O,O,X,X,X
TZISOLJ,O,O,X,X,X,X
TZISOJL,O,O,X,X,X,X
TZIOLJS,O,X,X,X,O,O
TZIOLSJ,O,X,X,X,O,O
TZIOJLS,O,O,X,X,O,O
TZIOJSL,X,O,X,X,O,X
TZIOSLJ,X,O,X,X,O,X
TZIOSJL,X,O,X,X,O,X
TZLIJSO,O,O,X,X,X,O
TZLIJOS,O,O,X,O,O,O
TZLISJO,O,O,X,X,X,O
TZLISOJ,O,O,X,X,X,O
TZLIOJS,O,X,X,O,O,O
TZLIOSJ,O,X,X,O,O,O
TZLJISO,O,O,X,X,X,O
TZLJIOS,O,O,X,O,O,O
TZLJSIO,O,O,X,X,X,X
TZLJSOI,O,O,X,O,O,O
TZLJOIS,O,O,X,O,O,O
TZLJOSI,O,O,X,O,O,O
TZLSIJO,O,O,X,X,X,O
TZLSIOJ,O,O,X,X,X,O
TZLSJIO,O,O,X,X,X,X
TZLSJOI,O,O,X,O,O,O
TZLSOIJ,O,O,X,O,O,O
TZLSOJI,O,O,X,O,O,O
TZLOIJS,O,X,X,O,O,O
TZLOISJ,O,X,X,O,O,O
TZLOJIS,O,X,X,O,O,O
TZLOJSI,O,X,X,O,O,O
TZLOSIJ,O,X,X,O,O,O
TZLOSJI,O,X,X,O,O,O
TZJILSO,O,O,O,X,X,O
TZJILOS,O,O,X,O,O,O
TZJISLO,O,O,O,X,X,O
TZJISOL,X,O,O,X,X,X
TZJIOLS,O,O,X,X,O,O
TZJIOSL,X,O,O,X,O,X
TZJLISO,O,O,O,X,X,O
TZJLIOS,O,O,X,O,O,O
TZJLSIO,O,O,O,X,X,X
TZJLSOI,O,O,O,O,O,O
TZJLOIS,O,O,X,O,O,O
TZJLOSI,O,O,X,O,O,O
TZJSILO,O,O,O,X,X,X
TZJSIOL,X,O,O,X,X,X
TZJSLIO,O,O,O,X,X,X
TZJSLOI,O,O,O,O,O,O
TZJSOIL,X,O,O,X,O,X
TZJSOLI,X,O,O,X,O,X
TZJOILS,O,O,X,O,O,X
TZJOISL,X,O,O,X,O,X
TZJOLIS,O,O,X,O,O,O
TZJOLSI,O,O,X,O,O,O
TZJOSIL,X,O,O,X,O,X
TZJOSLI,X,O,O,X,O,X
TZSILJO,O,O,O,X,X,O
TZSILOJ,O,O,X,X,X,O
TZSIJLO,O,O,O,X,X,O
TZSIJOL,O,O,O,X,X,X
TZSIOLJ,O,O,X,X,X,X
TZSIOJL,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,O
TZSLIOJ,O,O,X,X,X,O
TZSLJIO,O,O,O,X,X,X
TZSLJOI,O,O,O,O,O,O
TZSLOIJ,O,O,X,O,O,O
TZSLOJI,O,O,X,O,O,O
TZSJILO,O,O,O,X,X,X
TZSJIOL,O,O,O,X,X,X
TZSJLIO,O,O,O,X,X,X
TZSJLOI,O,O,O,O,O,O
TZSJOIL,O,O,O,X,O,X
TZSJOLI,O,O,O,X,O,X
TZSOILJ,O,O,X,X,O,X
TZSOIJL,O,O,X,X,O,X
TZSOLIJ,O,O,X,X,O,X
TZSOLJI,O,O,X,X,O,X
TZSOJIL,O,O,X,X,O,X
TZSOJLI,O,O,X,X,O,X
TZOILJS,O,X,X,O,O,O
TZOILSJ,O,X,X,O,O,O
TZOIJLS,O,O,X,O,O,O
TZOIJSL,X,O,X,X,O,X
TZOISLJ,X,O,X,X,O,X
TZOISJL,X,O,X,X,O,X
TZOLIJS,O,X,X,O,O,O
TZOLISJ,O,X,X,O,O,O
TZOLJIS,O,X,X,O,O,O
TZOLJSI,O,X,X,O,O,O
TZOLSIJ,O,X,X,O,O,O
TZOLSJI,O,X,X,O,O,O
TZOJILS,O,O,X,O,O,X
TZOJISL,X,O,X,X,O,X
TZOJLIS,O,O,X,O,O,O
TZOJLSI,O,O,X,O,O,O
TZOJSIL,X,O,X,X,O,X
TZOJSLI,X,O,X,X,O,X
TZOSILJ,X,O,X,X,O,X
TZOSIJL,X,O,X,X,O,X
TZOSLIJ,X,O,X,X,O,X
TZOSLJI,X,O,X,X,O,X
TZOSJIL,X,O,X,X,O,X
TZOSJLI,X,O,X,X,O,X
TOILJSZ,X,X,X,O,X,X
TOILJZS,X,X,X,O,O,X
TOILSJZ,X,X,X,O,X,X
TOILSZJ,X,X,X,X,O,X
TOILZJS,X,X,X,O,O,X
TOILZSJ,X,X,X,X,O,X
TOIJLSZ,X,O,X,O,X,X
TOIJLZS,X,X,X,O,O,X
TOIJSLZ,X,O,X,X,X,X
TOIJSZL,X,O,X,X,X,X
TOIJZLS,X,O,X,X,O,X
TOIJZSL,X,O,X,X,O,X
TOISLJZ,X,O,X,X,X,X
TOISLZJ,X,O,X,X,O,X
TOISJLZ,X,O,X,X,X,X
TOISJZL,X,O,X,X,X,X
TOISZLJ,X,O,X,X,O,X
TOISZJL,X,O,X,X,O,X
TOIZLJS,X,X,X,X,O,X
TOIZLSJ,X,X,X,X,O,X
TOIZJLS,X,O,X,X,O,X
TOIZJSL,X,O,X,X,O,X
TOIZSLJ,X,O,X,X,O,X
TOIZSJL,X,O,X,X,O,X
TOLIJSZ,X,X,X,O,X,X
TOLIJZS,X,X,X,O,O,X
TOLISJZ,X,X,X,O,X,X
TOLISZJ,X,X,X,X,O,X
TOLIZJS,X,X,X,O,O,X
