sequence,v115@9gA8IeA8IeB8CeB8CeC8CeC8KeCAJvhFmiB5oB/qBF?mB0nBTrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFGhB/nBaoB5?oBlqBUrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFfmBaoB5oBG?nB0qBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhFlgBcmBiiB5?oBznBWwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF0gBaoB5oBG?nBzqBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF6lBThBmiB5?oB0nBVwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFxiB1qB0nB6?tBXrBGrB
TLZJOSI,X,X,O,X,X,X,O
TLZSIJO,O,X,X,O,X,X,O
TLZSIOJ,O,X,X,O,X,X,O
TLZSJIO,O,X,X,O,X,X,O
TLZSJOI,O,X,X,X,X,X,O
TLZSOIJ,O,X,X,O,X,X,O
TLZSOJI,O,X,X,X,X,X,O
TLZOIJS,X,X,O,X,X,X,O
TLZOISJ,X,X,X,X,X,X,O
TLZOJIS,X,X,O,X,X,X,O
TLZOJSI,X,X,O,X,X,X,O
TLZOSIJ,X,X,X,X,X,X,O
TLZOSJI,X,X,X,X,X,X,O
TLOIJSZ,X,O,X,X,O,X,X
TLOIJZS,X,X,O,X,X,X,X
TLOISJZ,X,O,X,X,O,X,X
TLOISZJ,X,O,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,O
TLOIZSJ,X,X,X,X,X,X,O
TLOJISZ,X,O,X,X,O,X,X
TLOJIZS,X,X,O,X,X,X,X
TLOJSIZ,X,O,X,X,O,X,X
TLOJSZI,X,O,X,X,O,X,X
TLOJZIS,X,X,O,X,X,X,O
TLOJZSI,X,X,O,X,X,X,O
TLOSIJZ,X,O,X,X,O,X,X
TLOSIZJ,X,O,X,X,X,X,X
TLOSJIZ,X,O,X,X,O,X,X
TLOSJZI,X,O,X,X,O,X,X
TLOSZIJ,X,O,X,X,X,X,O
TLOSZJI,X,O,X,X,X,X,O
TLOZIJS,X,X,O,X,X,X,O
TLOZISJ,X,X,X,X,X,X,O
TLOZJIS,X,X,O,X,X,X,O
TLOZJSI,X,X,O,X,X,X,O
TLOZSIJ,X,X,X,X,X,X,O
TLOZSJI,X,X,X,X,X,X,O
TJILSZO,X,O,X,X,X,X,X
TJILSOZ,X,O,X,X,O,X,X
TJILZSO,X,X,O,X,X,X,X
TJILZOS,X,X,O,X,X,X,X
TJILOSZ,X,O,X,X,O,X,X
TJILOZS,X,X,O,X,X,X,X
TJISLZO,X,O,X,X,X,X,X
TJISLOZ,X,O,X,X,O,X,X
TJISZLO,X,O,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X
TJISOLZ,X,O,X,X,O,X,X
TJISOZL,X,O,X,X,O,X,X
TJIZLSO,X,X,O,X,X,X,X
TJIZLOS,X,X,O,X,X,X,X
TJIZSLO,X,O,O,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X
TJIZOLS,X,X,O,X,X,X,X
TJIZOSL,X,O,O,X,X,X,X
TJIOLSZ,X,O,X,X,O,X,X
TJIOLZS,X,X,O,X,X,X,X
TJIOSLZ,X,O,X,X,O,X,X
TJIOSZL,X,O,X,X,O,X,X
TJIOZLS,X,X,O,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X
TJLISZO,X,O,X,X,X,X,X
TJLISOZ,X,O,X,X,O,X,X
TJLIZSO,X,X,O,X,X,X,X
TJLIZOS,X,X,O,X,X,X,X
TJLIOSZ,X,O,X,X,O,X,X
TJLIOZS,X,X,O,X,X,X,X
TJLSIZO,X,O,X,X,X,X,X
TJLSIOZ,X,O,X,X,O,X,X
TJLSZIO,X,O,X,X,X,X,X
TJLSZOI,X,O,X,X,X,X,X
TJLSOIZ,X,O,X,X,O,X,X
TJLSOZI,X,O,X,X,O,X,X
TJLZISO,X,X,O,X,X,X,O
TJLZIOS,X,X,O,X,X,X,O
TJLZSIO,X,X,O,X,X,X,O
TJLZSOI,X,X,O,X,X,X,O
TJLZOIS,X,X,O,X,X,X,O
TJLZOSI,X,X,O,X,X,X,O
TJLOISZ,X,O,X,X,O,X,X
TJLOIZS,X,X,O,X,X,X,X
TJLOSIZ,X,O,X,X,O,X,X
TJLOSZI,X,O,X,X,O,X,X
TJLOZIS,X,X,O,X,X,X,O
TJLOZSI,X,X,O,X,X,X,O
TJSILZO,X,O,X,X,X,X,X
TJSILOZ,X,O,X,X,O,X,X
TJSIZLO,X,O,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X
TJSIOLZ,X,O,X,X,O,X,X
TJSIOZL,X,O,X,X,O,X,X
TJSLIZO,X,O,X,X,X,X,X
TJSLIOZ,X,O,X,X,O,X,X
TJSLZIO,X,O,X,X,X,X,X
TJSLZOI,X,O,X,X,X,X,X
TJSLOIZ,X,O,X,X,O,X,X
TJSLOZI,X,O,X,X,O,X,X
TJSZILO,X,O,X,X,X,X,X
TJSZIOL,X,O,X,X,X,X,X
TJSZLIO,X,O,X,X,X,X,X
TJSZLOI,X,O,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,X
TJSZOLI,X,O,X,X,X,X,X
TJSOILZ,X,O,X,X,O,X,X
TJSOIZL,X,O,X,X,O,X,X
TJSOLIZ,X,O,X,X,O,X,X
TJSOLZI,X,O,X,X,O,X,X
TJSOZIL,X,O,X,X,O,X,X
TJSOZLI,X,O,X,X,O,X,X
TJZILSO,X,X,O,X,X,X,X
TJZILOS,X,X,O,X,X,X,X
TJZISLO,X,O,O,X,X,X,X
TJZISOL,X,O,O,X,X,X,X
TJZIOLS,X,X,O,X,X,X,X
TJZIOSL,X,O,O,X,X,X,X
TJZLISO,X,X,O,X,X,X,O
TJZLIOS,X,X,O,X,X,X,O
TJZLSIO,X,X,O,X,X,X,O
TJZLSOI,X,X,O,X,X,X,O
TJZLOIS,X,X,O,X,X,X,O
TJZLOSI,X,X,O,X,X,X,O
TJZSILO,X,O,O,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X
TJZSLIO,X,O,O,X,X,X,X
TJZSLOI,X,O,O,X,X,X,X
TJZSOIL,X,O,O,X,X,X,X
TJZSOLI,X,O,O,X,X,X,X
TJZOILS,X,X,O,X,X,X,X
TJZOISL,X,O,O,X,X,X,X
TJZOLIS,X,X,O,X,X,X,O
TJZOLSI,X,X,O,X,X,X,O
TJZOSIL,X,O,O,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X
TJOILSZ,X,O,X,X,O,X,X
TJOILZS,X,X,O,X,X,X,X
TJOISLZ,X,O,X,X,O,X,X
TJOISZL,X,O,X,X,O,X,X
TJOIZLS,X,X,O,X,X,X,X
TJOIZSL,X,O,O,X,X,X,X
TJOLISZ,X,O,X,X,O,X,X
TJOLIZS,X,X,O,X,X,X,X
TJOLSIZ,X,O,X,X,O,X,X
TJOLSZI,X,O,X,X,O,X,X
TJOLZIS,X,X,O,X,X,X,O
TJOLZSI,X,X,O,X,X,X,O
TJOSILZ,X,O,X,X,O,X,X
TJOSIZL,X,O,X,X,O,X,X
TJOSLIZ,X,O,X,X,O,X,X
TJOSLZI,X,O,X,X,O,X,X
TJOSZIL,X,O,X,X,O,X,X
TJOSZLI,X,O,X,X,O,X,X
TJOZILS,X,X,O,X,X,X,X
TJOZISL,X,O,O,X,X,X,X
TJOZLIS,X,X,O,X,X,X,O
TJOZLSI,X,X,O,X,X,X,O
TJOZSIL,X,O,O,X,X,X,X
TJOZSLI,X,O,O,X,X,X,X
TSILJZO,O,O,X,O,X,O,X
TSILJOZ,X,O,X,X,O,O,X
TSILZJO,O,O,X,O,X,O,X
TSILZOJ,O,O,X,O,X,O,X
TSILOJZ,X,O,X,X,O,O,X
TSILOZJ,O,O,X,X,X,O,X
TSIJLZO,O,O,X,O,X,O,X
TSIJLOZ,X,O,X,X,O,O,X
TSIJZLO,O,O,X,O,X,O,X
TSIJZOL,O,O,X,O,X,O,X
TSIJOLZ,X,O,X,O,O,O,X
TSIJOZL,X,O,X,O,O,O,X
TSIZLJO,O,O,X,O,X,O,X
TSIZLOJ,O,O,X,O,X,O,X
TSIZJLO,O,O,X,O,X,O,X
TSIZJOL,O,O,X,O,X,O,X
TSIZOLJ,O,O,X,O,X,O,X
TSIZOJL,O,O,X,O,X,O,X
TSIOLJZ,X,O,X,O,O,O,X
TSIOLZJ,O,O,X,O,X,O,X
TSIOJLZ,X,O,X,O,O,O,X
TSIOJZL,X,O,X,O,O,O,X
TSIOZLJ,O,O,X,O,X,O,X
TSIOZJL,O,O,X,O,O,O,X
TSLIJZO,O,O,X,O,X,O,X
TSLIJOZ,X,O,X,X,O,O,X
TSLIZJO,O,O,X,O,X,O,X
TSLIZOJ,O,O,X,O,X,O,X
TSLIOJZ,X,O,X,X,O,O,X
TSLIOZJ,O,O,X,X,X,O,X
TSLJIZO,O,O,X,O,X,O,X
TSLJIOZ,X,O,X,X,O,O,X
TSLJZIO,O,O,X,O,X,O,X
TSLJZOI,O,O,X,O,X,O,X
TSLJOIZ,X,O,X,X,O,O,X
TSLJOZI,X,O,X,X,O,O,X
TSLZIJO,O,O,X,O,X,O,O
TSLZIOJ,O,O,X,O,X,O,O
TSLZJIO,O,O,X,O,X,O,O
TSLZJOI,O,O,X,X,X,O,O
TSLZOIJ,O,O,X,O,X,O,O
TSLZOJI,O,O,X,X,X,O,O
TSLOIJZ,X,O,X,X,O,O,X
TSLOIZJ,O,O,X,X,X,O,X
TSLOJIZ,X,O,X,X,O,O,X
TSLOJZI,X,O,X,X,O,O,X
TSLOZIJ,O,O,X,X,X,O,O
TSLOZJI,O,O,X,X,X,O,O
TSJILZO,O,O,X,O,X,O,X
TSJILOZ,X,O,X,X,O,O,X
TSJIZLO,O,O,X,O,X,O,X
TSJIZOL,O,O,X,O,X,O,X
TSJIOLZ,X,O,X,O,O,O,X
TSJIOZL,X,O,X,O,O,O,X
TSJLIZO,O,O,X,O,X,O,X
TSJLIOZ,X,O,X,X,O,O,X
TSJLZIO,O,O,X,O,X,O,X
TSJLZOI,O,O,X,O,X,O,X
TSJLOIZ,X,O,X,X,O,O,X
TSJLOZI,X,O,X,X,O,O,X
TSJZILO,O,O,X,O,X,O,X
TSJZIOL,O,O,X,O,X,O,X
TSJZLIO,O,O,X,O,X,O,X
TSJZLOI,O,O,X,O,X,O,X
TSJZOIL,O,O,X,O,X,O,X
TSJZOLI,O,O,X,O,X,O,X
TSJOILZ,X,O,X,O,O,O,X
TSJOIZL,X,O,X,O,O,O,X
TSJOLIZ,X,O,X,O,O,O,X
TSJOLZI,X,O,X,O,O,O,X
TSJOZIL,X,O,X,O,O,O,X
TSJOZLI,X,O,X,O,O,O,X
TSZILJO,O,O,X,O,X,O,X
TSZILOJ,O,O,X,O,X,O,X
TSZIJLO,O,O,X,O,X,O,X
TSZIJOL,O,O,X,O,X,O,X
TSZIOLJ,O,O,X,O,X,O,X
TSZIOJL,O,O,X,O,X,O,X
TSZLIJO,O,O,X,O,X,O,O
TSZLIOJ,O,O,X,O,X,O,O
TSZLJIO,O,O,X,O,X,O,O
TSZLJOI,O,O,X,X,X,O,O
TSZLOIJ,O,O,X,O,X,O,O
TSZLOJI,O,O,X,O,X,O,O
TSZJILO,O,O,X,O,X,O,X
TSZJIOL,O,O,X,O,X,O,X
TSZJLIO,O,O,X,O,X,O,X
TSZJLOI,O,O,X,X,X,O,X
TSZJOIL,O,O,X,O,X,O,X
TSZJOLI,O,O,X,O,X,O,X
TSZOILJ,O,O,X,O,X,O,X
TSZOIJL,O,O,X,O,X,O,X
TSZOLIJ,O,O,X,O,X,O,O
TSZOLJI,O,O,X,O,X,O,O
TSZOJIL,O,O,X,O,X,O,X
TSZOJLI,O,O,X,O,X,O,X
TSOILJZ,X,O,X,O,O,O,X
TSOILZJ,O,O,X,O,X,O,X
TSOIJLZ,X,O,X,O,O,O,X
TSOIJZL,X,O,X,O,O,O,X
TSOIZLJ,O,O,X,O,X,O,X
TSOIZJL,O,O,X,O,O,O,X
TSOLIJZ,X,O,X,O,O,O,X
TSOLIZJ,O,O,X,O,X,O,X
TSOLJIZ,X,O,X,O,O,O,X
TSOLJZI,X,O,X,O,O,O,X
TSOLZIJ,O,O,X,O,X,O,O
TSOLZJI,O,O,X,O,X,O,O
TSOJILZ,X,O,X,O,O,O,X
TSOJIZL,X,O,X,O,O,O,X
TSOJLIZ,X,O,X,O,O,O,X
TSOJLZI,X,O,X,O,O,O,X
TSOJZIL,X,O,X,O,O,O,X
TSOJZLI,X,O,X,O,O,O,X
TSOZILJ,O,O,X,O,X,O,X
TSOZIJL,O,O,X,O,O,O,X
TSOZLIJ,O,O,X,O,X,O,O
TSOZLJI,O,O,X,O,X,O,O
TSOZJIL,O,O,X,O,O,O,X
TSOZJLI,O,O,X,O,O,O,X
TZILJSO,O,X,O,X,X,X,O
TZILJOS,X,X,O,X,X,X,O
TZILSJO,O,X,X,O,X,X,O
TZILSOJ,O,X,X,O,X,X,O
TZILOJS,X,X,O,X,X,X,O
TZILOSJ,X,X,X,X,X,X,O
TZIJLSO,O,X,O,X,X,X,X
TZIJLOS,X,X,O,X,X,X,X
TZIJSLO,O,O,O,X,X,O,X
TZIJSOL,O,O,O,X,X,O,X
TZIJOLS,X,X,O,X,X,X,X
TZIJOSL,X,O,O,X,X,X,X
TZISLJO,O,O,X,O,X,O,X
TZISLOJ,O,O,X,O,X,O,X
TZISJLO,O,O,O,O,X,O,X
TZISJOL,O,O,O,O,X,O,X
TZISOLJ,O,O,X,O,X,O,X
TZISOJL,O,O,O,O,X,O,X
TZIOLJS,X,X,O,X,X,X,O
TZIOLSJ,X,X,X,O,X,X,O
TZIOJLS,X,X,O,X,X,X,X
TZIOJSL,X,O,O,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,X
TZIOSJL,X,O,O,O,X,X,X
TZLIJSO,O,X,O,X,X,X,O
TZLIJOS,X,X,O,X,X,X,O
TZLISJO,O,X,X,O,X,X,O
TZLISOJ,O,X,X,O,X,X,O
TZLIOJS,X,X,O,X,X,X,O
TZLIOSJ,X,X,X,X,X,X,O
TZLJISO,O,X,O,X,X,X,O
TZLJIOS,X,X,O,X,X,X,O
TZLJSIO,O,X,O,X,X,X,O
TZLJSOI,O,X,O,X,X,X,O
TZLJOIS,X,X,O,X,X,X,O
TZLJOSI,X,X,O,X,X,X,O
TZLSIJO,O,X,X,O,X,X,O
TZLSIOJ,O,X,X,O,X,X,O
TZLSJIO,O,X,X,O,X,X,O
TZLSJOI,O,X,X,X,X,X,O
TZLSOIJ,O,X,X,O,X,X,O
TZLSOJI,O,X,X,X,X,X,O
TZLOIJS,X,X,O,X,X,X,O
TZLOISJ,X,X,X,X,X,X,O
TZLOJIS,X,X,O,X,X,X,O
TZLOJSI,X,X,O,X,X,X,O
TZLOSIJ,X,X,X,X,X,X,O
TZLOSJI,X,X,X,X,X,X,O
TZJILSO,O,X,O,X,X,X,X
TZJILOS,X,X,O,X,X,X,X
TZJISLO,O,O,O,X,X,O,X
TZJISOL,O,O,O,X,X,O,X
TZJIOLS,X,X,O,X,X,X,X
TZJIOSL,X,O,O,X,X,X,X
TZJLISO,O,X,O,X,X,X,O
TZJLIOS,X,X,O,X,X,X,O
TZJLSIO,O,X,O,X,X,X,O
TZJLSOI,O,X,O,X,X,X,O
TZJLOIS,X,X,O,X,X,X,O
TZJLOSI,X,X,O,X,X,X,O
TZJSILO,O,O,O,X,X,O,X
TZJSIOL,O,O,O,X,X,O,X
TZJSLIO,O,O,O,X,X,O,X
TZJSLOI,O,O,O,X,X,O,X
TZJSOIL,O,O,O,X,X,O,X
TZJSOLI,O,O,O,X,X,O,X
TZJOILS,X,X,O,X,X,X,X
TZJOISL,X,O,O,X,X,X,X
TZJOLIS,X,X,O,X,X,X,O
TZJOLSI,X,X,O,X,X,X,O
TZJOSIL,X,O,O,X,X,X,X
TZJOSLI,X,O,O,X,X,X,X
TZSILJO,O,O,X,O,X,O,X
TZSILOJ,O,O,X,O,X,O,X
TZSIJLO,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,X,O,X
TZSIOLJ,O,O,X,O,X,O,X
TZSIOJL,O,O,O,O,X,O,X
TZSLIJO,O,O,X,O,X,O,O
TZSLIOJ,O,O,X,O,X,O,O
TZSLJIO,O,O,X,O,X,O,O
TZSLJOI,O,O,X,X,X,O,O
TZSLOIJ,O,O,X,O,X,O,O
TZSLOJI,O,O,X,O,X,O,O
TZSJILO,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,X,O,X
TZSJLIO,O,O,O,O,X,O,X
TZSJLOI,O,O,O,X,X,O,X
TZSJOIL,O,O,O,O,X,O,X
TZSJOLI,O,O,O,O,X,O,X
TZSOILJ,O,O,X,O,X,O,X
TZSOIJL,O,O,O,O,X,O,X
TZSOLIJ,O,O,X,O,X,O,O
TZSOLJI,O,O,X,O,X,O,O
TZSOJIL,O,O,O,O,X,O,X
TZSOJLI,O,O,O,O,X,O,X
TZOILJS,X,X,O,X,X,X,O
TZOILSJ,X,X,X,O,X,X,O
TZOIJLS,X,X,O,X,X,X,X
TZOIJSL,X,O,O,X,X,X,X
TZOISLJ,X,O,X,O,X,X,X
TZOISJL,X,O,O,O,X,X,X
TZOLIJS,X,X,O,X,X,X,O
TZOLISJ,X,X,X,O,X,X,O
TZOLJIS,X,X,O,X,X,X,O
TZOLJSI,X,X,O,X,X,X,O
TZOLSIJ,X,X,X,O,X,X,O
TZOLSJI,X,X,X,O,X,X,O
TZOJILS,X,X,O,X,X,X,X
TZOJISL,X,O,O,X,X,X,X
TZOJLIS,X,X,O,X,X,X,O
TZOJLSI,X,X,O,X,X,X,O
TZOJSIL,X,O,O,X,X,X,X
TZOJSLI,X,O,O,X,X,X,X
TZOSILJ,X,O,X,O,X,X,X
TZOSIJL,X,O,O,O,X,X,X
TZOSLIJ,X,O,X,O,X,X,O
TZOSLJI,X,O,X,O,X,X,O
TZOSJIL,X,O,O,O,X,X,X
