sequence,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFRhBziBOqB8qBFs?B3rB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFclBmhBziBXmBFs?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFRhBziB0lBlmB2v?BXsB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhF3gBRiB0mBlnBTq?B2wB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFFhBXiB8nBTlBmr?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFzgBFiB8nB2qBfs?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFclBmiBxmBTmB1v?BXsB
TIZJSOL,O,O,X,X,O,O,O
TIZJOLS,O,O,X,O,O,O,X
TIZJOSL,O,O,X,O,O,O,X
TIZSLJO,X,O,X,X,O,O,O
TIZSLOJ,O,O,X,X,O,O,O
TIZSJLO,X,O,X,X,O,O,O
TIZSJOL,X,O,X,X,O,O,O
TIZSOLJ,O,O,X,X,O,O,O
TIZSOJL,X,O,X,X,O,O,O
TIZOLJS,O,O,X,X,O,X,X
TIZOLSJ,O,O,X,O,O,X,X
TIZOJLS,O,O,X,X,O,X,X
TIZOJSL,O,O,X,X,O,X,X
TIZOSLJ,O,O,X,O,O,X,X
TIZOSJL,X,O,X,X,O,X,X
TIOLJSZ,O,O,X,O,O,X,X
TIOLJZS,O,O,X,O,O,X,X
TIOLSJZ,X,O,X,O,X,X,X
TIOLSZJ,X,O,X,O,O,X,X
TIOLZJS,O,O,X,X,O,X,X
TIOLZSJ,O,O,X,O,O,X,X
TIOJLSZ,O,O,X,O,O,X,X
TIOJLZS,O,O,X,O,O,X,X
TIOJSLZ,O,O,X,O,O,X,X
TIOJSZL,X,O,X,O,O,X,X
TIOJZLS,O,O,X,O,O,X,X
TIOJZSL,O,O,X,O,O,X,X
TIOSLJZ,X,O,X,O,X,X,X
TIOSLZJ,X,O,X,O,O,X,X
TIOSJLZ,X,O,X,O,X,X,X
TIOSJZL,X,O,X,O,X,X,X
TIOSZLJ,X,O,X,O,O,X,X
TIOSZJL,X,O,X,X,O,X,X
TIOZLJS,O,O,X,X,O,X,X
TIOZLSJ,O,O,X,O,O,X,X
TIOZJLS,O,O,X,X,O,X,X
TIOZJSL,O,O,X,X,O,X,X
TIOZSLJ,O,O,X,O,O,X,X
TIOZSJL,X,O,X,X,O,X,X
TLIJSZO,X,O,X,X,O,O,X
TLIJSOZ,O,O,X,X,X,O,X
TLIJZSO,O,O,X,O,O,O,X
TLIJZOS,O,O,X,O,O,O,X
TLIJOSZ,O,O,X,O,X,O,X
TLIJOZS,O,O,X,O,O,O,X
TLISJZO,X,O,X,X,X,O,X
TLISJOZ,X,O,X,X,X,O,X
TLISZJO,X,O,X,X,X,O,X
TLISZOJ,X,O,X,X,X,O,X
TLISOJZ,X,O,X,O,X,X,X
TLISOZJ,X,O,X,O,X,X,X
TLIZJSO,X,O,X,X,O,O,X
TLIZJOS,O,O,X,X,O,O,X
TLIZSJO,X,O,X,X,O,O,X
TLIZSOJ,O,O,X,X,O,O,X
TLIZOJS,O,O,X,X,O,X,X
TLIZOSJ,O,O,X,O,O,X,X
TLIOJSZ,O,O,X,O,O,X,X
TLIOJZS,O,O,X,O,O,X,X
TLIOSJZ,X,O,X,O,X,X,X
TLIOSZJ,X,O,X,O,O,X,X
TLIOZJS,O,O,X,X,O,X,X
TLIOZSJ,O,O,X,O,O,X,X
TLJISZO,X,O,X,X,X,X,X
TLJISOZ,O,O,X,X,X,X,X
TLJIZSO,O,O,X,O,O,X,X
TLJIZOS,O,O,X,O,X,X,X
TLJIOSZ,O,O,X,O,X,X,X
TLJIOZS,O,O,X,O,X,X,X
TLJSIZO,X,O,O,X,X,X,O
TLJSIOZ,O,O,O,X,X,X,X
TLJSZIO,O,O,O,O,O,X,O
TLJSZOI,O,O,O,O,O,X,O
TLJSOIZ,O,O,O,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X
TLJZISO,O,X,O,O,O,X,O
TLJZIOS,O,X,O,O,X,X,X
TLJZSIO,O,X,O,O,O,X,O
TLJZSOI,O,X,O,O,O,X,O
TLJZOIS,O,X,O,O,X,X,X
TLJZOSI,O,X,O,O,O,X,O
TLJOISZ,O,O,X,O,X,X,X
TLJOIZS,O,O,X,O,X,X,X
TLJOSIZ,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,X,X,X
TLJOZIS,O,X,O,O,X,X,X
TLJOZSI,O,X,O,O,O,X,X
TLSIJZO,X,O,O,X,X,X,O
TLSIJOZ,X,O,O,X,X,X,X
TLSIZJO,X,O,X,X,X,X,O
TLSIZOJ,X,O,O,X,X,X,O
TLSIOJZ,X,O,O,O,X,X,X
TLSIOZJ,X,O,O,O,X,X,X
TLSJIZO,X,O,O,X,X,X,O
TLSJIOZ,O,O,O,X,X,X,X
TLSJZIO,O,O,O,O,X,X,O
TLSJZOI,O,O,O,O,X,X,O
TLSJOIZ,O,O,O,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X
TLSZIJO,X,O,X,X,X,X,O
TLSZIOJ,O,O,O,X,X,X,O
TLSZJIO,X,O,O,X,X,X,O
TLSZJOI,X,O,O,X,X,X,O
TLSZOIJ,O,O,O,X,X,X,O
TLSZOJI,X,O,O,X,X,X,O
TLSOIJZ,X,O,O,O,X,X,X
TLSOIZJ,X,O,O,O,X,X,X
TLSOJIZ,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,X
TLSOZJI,X,O,O,O,X,X,X
TLZIJSO,X,X,X,X,O,O,O
TLZIJOS,O,X,X,X,O,O,X
TLZISJO,X,X,X,X,O,O,O
TLZISOJ,O,X,X,X,O,O,O
TLZIOJS,O,X,X,X,O,X,X
TLZIOSJ,O,X,X,O,O,X,X
TLZJISO,O,X,X,O,O,X,O
TLZJIOS,O,X,X,O,X,X,X
TLZJSIO,O,X,X,O,O,X,O
TLZJSOI,O,X,X,O,O,X,O
TLZJOIS,O,X,X,O,X,X,X
TLZJOSI,O,X,X,O,O,X,O
TLZSIJO,X,X,X,X,O,X,O
TLZSIOJ,O,X,X,X,O,X,O
TLZSJIO,X,X,X,X,O,X,O
TLZSJOI,X,X,X,X,O,X,O
TLZSOIJ,O,X,X,X,O,X,O
TLZSOJI,X,X,X,X,O,X,O
TLZOIJS,O,X,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X,X
TLZOJIS,O,X,X,O,X,X,X
TLZOJSI,O,X,X,O,X,X,O
TLZOSIJ,O,X,X,O,X,X,O
TLZOSJI,X,X,X,O,X,X,O
TLOIJSZ,O,O,X,O,X,X,X
TLOIJZS,O,O,X,O,X,X,X
TLOISJZ,X,O,X,O,X,X,X
TLOISZJ,X,O,X,O,X,X,X
TLOIZJS,O,O,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X
TLOJISZ,O,O,X,O,X,X,X
TLOJIZS,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,X,X,X
TLOJZIS,O,X,O,O,X,X,X
TLOJZSI,O,X,O,O,X,X,X
TLOSIJZ,X,O,O,O,X,X,X
TLOSIZJ,X,O,O,O,X,X,X
TLOSJIZ,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,X,X,X
TLOSZIJ,O,O,O,O,X,X,X
TLOSZJI,X,O,O,O,X,X,X
TLOZIJS,O,X,X,X,X,X,X
TLOZISJ,O,X,X,O,X,X,X
TLOZJIS,O,X,X,O,X,X,X
TLOZJSI,O,X,X,O,X,X,X
TLOZSIJ,O,X,X,O,X,X,X
TLOZSJI,X,X,X,O,X,X,X
TJILSZO,X,O,X,X,O,X,X
TJILSOZ,O,O,X,X,X,X,X
TJILZSO,O,O,X,O,O,X,X
TJILZOS,O,O,X,O,O,X,X
TJILOSZ,O,O,X,O,X,X,X
TJILOZS,O,O,X,O,O,X,X
TJISLZO,X,O,X,X,O,X,O
TJISLOZ,O,O,X,X,X,X,X
TJISZLO,X,O,X,X,O,X,O
TJISZOL,X,O,X,X,O,X,O
TJISOLZ,O,O,X,O,X,X,X
TJISOZL,X,O,X,O,X,X,O
TJIZLSO,O,O,X,O,O,X,O
TJIZLOS,O,O,X,O,O,X,X
TJIZSLO,O,O,X,O,O,X,O
TJIZSOL,O,O,X,O,O,X,O
TJIZOLS,O,O,X,O,O,X,X
TJIZOSL,O,O,X,O,O,X,X
TJIOLSZ,O,O,X,O,O,X,X
TJIOLZS,O,O,X,O,O,X,X
TJIOSLZ,O,O,X,O,O,X,X
TJIOSZL,X,O,X,O,O,X,X
TJIOZLS,O,O,X,O,O,X,X
TJIOZSL,O,O,X,O,O,X,X
TJLISZO,X,O,X,X,O,X,X
TJLISOZ,O,O,X,X,X,X,X
TJLIZSO,O,O,X,O,O,X,X
TJLIZOS,O,O,X,O,O,X,X
TJLIOSZ,O,O,X,O,X,X,X
TJLIOZS,O,O,X,O,O,X,X
TJLSIZO,X,O,O,X,X,X,O
TJLSIOZ,O,O,O,X,X,X,X
TJLSZIO,O,O,O,O,O,X,O
TJLSZOI,O,O,O,O,O,X,O
TJLSOIZ,O,O,O,X,X,X,X
TJLSOZI,O,O,O,X,X,X,X
TJLZISO,O,X,O,O,O,X,O
TJLZIOS,O,X,O,O,O,X,X
TJLZSIO,O,X,O,O,O,X,O
TJLZSOI,O,X,O,O,O,X,O
TJLZOIS,O,X,O,O,X,X,X
TJLZOSI,O,X,O,O,O,X,O
TJLOISZ,O,O,X,O,X,X,X
TJLOIZS,O,O,X,O,X,X,X
TJLOSIZ,O,O,O,O,X,X,X
TJLOSZI,O,O,O,O,X,X,X
TJLOZIS,O,X,O,O,X,X,X
TJLOZSI,O,X,O,O,O,X,X
TJSILZO,X,O,O,X,O,X,O
TJSILOZ,O,O,O,X,X,X,X
TJSIZLO,X,O,O,X,O,X,O
TJSIZOL,X,O,O,X,O,X,O
TJSIOLZ,O,O,O,O,X,X,X
TJSIOZL,X,O,O,O,X,X,O
TJSLIZO,X,O,O,X,X,X,O
TJSLIOZ,O,O,O,X,X,X,X
TJSLZIO,O,O,O,O,O,X,O
TJSLZOI,O,O,O,O,O,X,O
TJSLOIZ,O,O,O,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X
TJSZILO,O,O,O,O,O,X,O
TJSZIOL,O,O,O,O,O,X,O
TJSZLIO,O,O,O,O,O,X,O
TJSZLOI,O,O,O,O,O,X,O
TJSZOIL,O,O,O,O,O,X,O
TJSZOLI,O,O,O,O,O,X,O
TJSOILZ,O,O,O,O,X,X,X
TJSOIZL,X,O,O,O,X,X,O
TJSOLIZ,O,O,O,O,X,X,X
TJSOLZI,O,O,O,O,X,X,X
TJSOZIL,O,O,O,O,X,X,O
TJSOZLI,O,O,O,O,X,X,O
TJZILSO,O,O,O,O,O,X,O
TJZILOS,O,O,O,O,O,X,X
TJZISLO,O,O,O,O,O,X,O
TJZISOL,O,O,O,O,O,X,O
TJZIOLS,O,O,O,O,O,X,X
TJZIOSL,O,O,O,O,O,X,X
TJZLISO,O,X,O,O,O,X,O
TJZLIOS,O,X,O,O,O,X,X
TJZLSIO,O,X,O,O,O,X,O
TJZLSOI,O,X,O,O,O,X,O
TJZLOIS,O,X,O,O,X,X,X
TJZLOSI,O,X,O,O,O,X,O
TJZSILO,O,O,O,O,O,X,O
TJZSIOL,O,O,O,O,O,X,O
TJZSLIO,O,O,O,O,O,X,O
TJZSLOI,O,O,O,O,O,X,O
TJZSOIL,O,O,O,O,O,X,O
TJZSOLI,O,O,O,O,O,X,O
TJZOILS,O,O,O,O,O,X,X
TJZOISL,O,O,O,O,O,X,X
TJZOLIS,O,X,O,O,X,X,X
TJZOLSI,O,X,O,O,O,X,O
TJZOSIL,O,O,O,O,O,X,O
TJZOSLI,O,O,O,O,O,X,O
TJOILSZ,O,O,X,O,X,X,X
TJOILZS,O,O,X,O,O,X,X
TJOISLZ,O,O,X,O,X,X,X
TJOISZL,X,O,X,O,X,X,X
TJOIZLS,O,O,X,O,O,X,X
TJOIZSL,O,O,X,O,O,X,X
TJOLISZ,O,O,X,O,X,X,X
TJOLIZS,O,O,X,O,X,X,X
TJOLSIZ,O,O,O,O,X,X,X
TJOLSZI,O,O,O,O,X,X,X
TJOLZIS,O,X,O,O,X,X,X
TJOLZSI,O,X,O,O,O,X,X
TJOSILZ,O,O,O,O,X,X,X
TJOSIZL,X,O,O,O,X,X,O
TJOSLIZ,O,O,O,O,X,X,X
TJOSLZI,O,O,O,O,X,X,X
TJOSZIL,O,O,O,O,X,X,O
TJOSZLI,O,O,O,O,X,X,O
TJOZILS,O,O,O,O,O,X,X
TJOZISL,O,O,O,O,O,X,X
TJOZLIS,O,X,O,O,X,X,X
TJOZLSI,O,X,O,O,O,X,O
TJOZSIL,O,O,O,O,O,X,O
TJOZSLI,O,O,O,O,O,X,O
TSILJZO,X,O,O,X,X,O,O
TSILJOZ,X,O,O,X,X,O,X
TSILZJO,X,O,X,X,X,O,O
TSILZOJ,X,O,O,X,X,O,O
TSILOJZ,X,O,O,O,X,X,X
TSILOZJ,X,O,O,O,X,X,X
TSIJLZO,X,O,O,X,X,O,O
TSIJLOZ,X,O,O,X,X,O,X
TSIJZLO,X,O,O,X,X,O,O
TSIJZOL,X,O,O,X,X,O,O
TSIJOLZ,X,O,O,O,X,O,X
TSIJOZL,X,O,O,O,X,O,O
TSIZLJO,X,O,X,X,X,O,O
TSIZLOJ,X,O,O,X,X,O,O
TSIZJLO,X,O,X,X,X,O,O
TSIZJOL,X,O,X,X,X,O,O
TSIZOLJ,X,O,O,X,X,O,O
TSIZOJL,X,O,X,X,X,O,O
TSIOLJZ,X,O,O,O,X,X,X
TSIOLZJ,X,O,O,O,X,X,X
TSIOJLZ,X,O,O,O,X,X,X
TSIOJZL,X,O,O,X,X,X,O
TSIOZLJ,X,O,O,O,X,X,O
TSIOZJL,X,O,X,X,X,X,O
TSLIJZO,X,O,O,X,X,X,O
TSLIJOZ,X,O,O,X,X,X,X
TSLIZJO,X,O,X,X,X,X,O
TSLIZOJ,X,O,O,X,X,X,O
TSLIOJZ,X,O,O,O,X,X,X
TSLIOZJ,X,O,O,O,X,X,X
TSLJIZO,X,O,O,X,X,X,O
TSLJIOZ,O,O,O,X,X,X,X
TSLJZIO,O,O,O,O,X,X,O
TSLJZOI,O,O,O,O,X,X,O
TSLJOIZ,O,O,O,X,X,X,X
TSLJOZI,O,O,O,X,X,X,X
TSLZIJO,X,O,X,X,X,X,O
TSLZIOJ,O,O,O,X,X,X,O
TSLZJIO,X,O,O,X,X,X,O
TSLZJOI,X,O,O,X,X,X,O
TSLZOIJ,O,O,O,X,X,X,O
TSLZOJI,X,O,O,X,X,X,O
TSLOIJZ,X,O,O,O,X,X,X
TSLOIZJ,X,O,O,O,X,X,X
TSLOJIZ,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,X,X,X
TSLOZIJ,O,O,O,O,X,X,X
TSLOZJI,X,O,O,O,X,X,X
TSJILZO,X,O,O,X,X,X,O
TSJILOZ,O,O,O,X,X,X,X
TSJIZLO,X,O,O,X,X,X,O
TSJIZOL,X,O,O,X,X,X,O
TSJIOLZ,O,O,O,O,X,X,X
TSJIOZL,X,O,O,O,X,X,O
TSJLIZO,X,O,O,X,X,X,O
TSJLIOZ,O,O,O,X,X,X,X
TSJLZIO,O,O,O,O,X,X,O
TSJLZOI,O,O,O,O,X,X,O
TSJLOIZ,O,O,O,X,X,X,X
TSJLOZI,O,O,O,X,X,X,X
TSJZILO,O,O,O,O,X,X,O
TSJZIOL,O,O,O,O,X,X,O
TSJZLIO,O,O,O,O,X,X,O
TSJZLOI,O,O,O,O,X,X,O
TSJZOIL,O,O,O,O,X,X,O
TSJZOLI,O,O,O,O,X,X,O
TSJOILZ,O,O,O,O,X,X,X
TSJOIZL,X,O,O,O,X,X,O
TSJOLIZ,O,O,O,O,X,X,X
TSJOLZI,O,O,O,O,X,X,X
TSJOZIL,O,O,O,O,X,X,O
TSJOZLI,O,O,O,O,X,X,O
TSZILJO,X,O,X,X,X,O,O
TSZILOJ,O,O,O,X,X,O,O
TSZIJLO,X,O,X,X,X,O,O
TSZIJOL,X,O,X,X,X,O,O
TSZIOLJ,O,O,O,X,X,O,O
TSZIOJL,X,O,X,X,X,O,O
TSZLIJO,X,O,X,X,X,O,O
TSZLIOJ,O,O,O,X,X,O,O
TSZLJIO,X,O,O,X,X,X,O
TSZLJOI,X,O,O,X,X,X,O
TSZLOIJ,O,O,O,X,X,X,O
TSZLOJI,X,O,O,X,X,X,O
TSZJILO,O,O,O,X,X,O,O
TSZJIOL,O,O,O,X,X,O,O
TSZJLIO,O,O,O,X,X,X,O
TSZJLOI,O,O,O,X,X,X,O
TSZJOIL,O,O,O,X,X,X,O
TSZJOLI,O,O,O,X,X,X,O
TSZOILJ,O,O,O,X,X,O,O
TSZOIJL,X,O,X,X,X,O,O
TSZOLIJ,O,O,O,X,X,X,O
TSZOLJI,X,O,O,X,X,X,O
TSZOJIL,O,O,O,X,X,X,O
TSZOJLI,O,O,O,X,X,X,O
TSOILJZ,X,O,O,O,X,X,X
TSOILZJ,X,O,O,O,X,X,X
TSOIJLZ,X,O,O,O,X,X,X
TSOIJZL,X,O,O,O,X,X,O
TSOIZLJ,X,O,O,O,X,X,O
TSOIZJL,X,O,X,X,X,X,O
TSOLIJZ,X,O,O,O,X,X,X
TSOLIZJ,X,O,O,O,X,X,X
TSOLJIZ,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,X,X,X
TSOLZJI,X,O,O,O,X,X,X
TSOJILZ,O,O,O,O,X,X,X
TSOJIZL,X,O,O,O,X,X,O
TSOJLIZ,O,O,O,O,X,X,X
TSOJLZI,O,O,O,O,X,X,X
TSOJZIL,O,O,O,O,X,X,O
TSOJZLI,O,O,O,O,X,X,O
TSOZILJ,O,O,O,O,X,X,O
TSOZIJL,X,O,X,X,X,X,O
TSOZLIJ,O,O,O,O,X,X,O
TSOZLJI,X,O,O,O,X,X,O
TSOZJIL,O,O,O,O,X,X,O
TSOZJLI,O,O,O,O,X,X,O
TZILJSO,X,O,X,X,O,O,O
TZILJOS,O,O,X,X,O,O,X
TZILSJO,X,O,X,X,O,O,O
TZILSOJ,O,O,X,X,O,O,O
TZILOJS,O,O,X,X,O,X,X
TZILOSJ,O,O,X,O,O,X,X
TZIJLSO,O,O,X,X,O,O,O
TZIJLOS,O,O,X,X,O,O,X
TZIJSLO,O,O,X,X,O,O,O
TZIJSOL,O,O,X,X,O,O,O
TZIJOLS,O,O,X,O,O,O,X
TZIJOSL,O,O,X,O,O,O,X
TZISLJO,X,O,X,X,O,O,O
TZISLOJ,O,O,X,X,O,O,O
TZISJLO,X,O,X,X,O,O,O
TZISJOL,X,O,X,X,O,O,O
TZISOLJ,O,O,X,X,O,O,O
TZISOJL,X,O,X,X,O,O,O
TZIOLJS,O,O,X,X,O,X,X
TZIOLSJ,O,O,X,O,O,X,X
TZIOJLS,O,O,X,X,O,X,X
TZIOJSL,O,O,X,X,O,X,X
TZIOSLJ,O,O,X,O,O,X,X
TZIOSJL,X,O,X,X,O,X,X
TZLIJSO,X,X,X,X,O,O,O
TZLIJOS,O,X,X,X,O,O,X
TZLISJO,X,X,X,X,O,O,O
TZLISOJ,O,X,X,X,O,O,O
TZLIOJS,O,X,X,X,O,X,X
TZLIOSJ,O,X,X,O,O,X,X
TZLJISO,O,X,X,O,O,X,O
TZLJIOS,O,X,X,O,X,X,X
TZLJSIO,O,X,X,O,O,X,O
TZLJSOI,O,X,X,O,O,X,O
TZLJOIS,O,X,X,O,X,X,X
TZLJOSI,O,X,X,O,O,X,O
TZLSIJO,X,X,X,X,O,O,O
TZLSIOJ,O,X,X,X,O,O,O
TZLSJIO,X,X,X,X,O,X,O
TZLSJOI,X,X,X,X,O,X,O
TZLSOIJ,O,X,X,X,O,X,O
TZLSOJI,X,X,X,X,O,X,O
TZLOIJS,O,X,X,X,X,X,X
TZLOISJ,O,X,X,O,X,X,X
TZLOJIS,O,X,X,O,X,X,X
TZLOJSI,O,X,X,O,X,X,O
TZLOSIJ,O,X,X,O,X,X,O
TZLOSJI,X,X,X,O,X,X,O
TZJILSO,O,O,X,O,O,X,O
TZJILOS,O,O,X,O,O,X,X
TZJISLO,O,O,X,O,O,X,O
TZJISOL,O,O,X,O,O,X,O
TZJIOLS,O,O,X,O,O,X,X
TZJIOSL,O,O,X,O,O,X,X
TZJLISO,O,X,X,O,O,X,O
TZJLIOS,O,X,X,O,O,X,X
TZJLSIO,O,X,X,O,O,X,O
TZJLSOI,O,X,X,O,O,X,O
TZJLOIS,O,X,X,O,X,X,X
TZJLOSI,O,X,X,O,O,X,O
TZJSILO,O,O,X,O,O,O,O
TZJSIOL,O,O,X,O,O,O,O
TZJSLIO,O,O,X,O,O,X,O
TZJSLOI,O,O,X,O,O,X,O
TZJSOIL,O,O,X,O,O,X,O
TZJSOLI,O,O,X,O,O,X,O
TZJOILS,O,O,X,O,O,X,X
TZJOISL,O,O,X,O,O,X,X
TZJOLIS,O,X,X,O,X,X,X
TZJOLSI,O,X,X,O,O,X,O
TZJOSIL,O,O,X,O,O,X,O
TZJOSLI,O,O,X,O,O,X,O
TZSILJO,X,O,X,X,O,O,O
TZSILOJ,O,O,X,X,O,O,O
TZSIJLO,X,O,X,X,O,O,O
TZSIJOL,X,O,X,X,O,O,O
TZSIOLJ,O,O,X,X,O,O,O
TZSIOJL,X,O,X,X,O,O,O
TZSLIJO,X,O,X,X,O,O,O
TZSLIOJ,O,O,X,X,O,O,O
TZSLJIO,X,O,X,X,O,X,O
TZSLJOI,X,O,X,X,O,X,O
TZSLOIJ,O,O,X,X,O,X,O
TZSLOJI,X,O,X,X,O,X,O
TZSJILO,O,O,X,X,O,O,O
TZSJIOL,O,O,X,X,O,O,O
TZSJLIO,O,O,X,X,O,X,O
TZSJLOI,O,O,X,X,O,X,O
TZSJOIL,O,O,X,X,O,X,O
TZSJOLI,O,O,X,X,O,X,O
TZSOILJ,O,O,X,X,O,O,O
TZSOIJL,X,O,X,X,X,O,O
TZSOLIJ,O,O,X,X,O,X,O
TZSOLJI,X,O,X,X,O,X,O
TZSOJIL,O,O,X,X,X,X,O
TZSOJLI,O,O,X,X,X,X,O
TZOILJS,O,O,X,X,X,X,X
TZOILSJ,O,O,X,O,X,X,X
TZOIJLS,O,O,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X
TZOISLJ,O,O,X,O,X,X,X
TZOISJL,X,O,X,X,X,X,X
TZOLIJS,O,X,X,X,X,X,X
TZOLISJ,O,X,X,O,X,X,X
TZOLJIS,O,X,X,O,X,X,X
TZOLJSI,O,X,X,O,X,X,O
TZOLSIJ,O,X,X,O,X,X,O
TZOLSJI,X,X,X,O,X,X,O
TZOJILS,O,O,X,O,X,X,X
TZOJISL,O,O,X,O,X,X,X
TZOJLIS,O,X,X,O,X,X,X
TZOJLSI,O,X,X,O,X,X,O
TZOJSIL,O,O,X,O,X,X,O
TZOJSLI,O,O,X,O,X,X,O
TZOSILJ,O,O,X,O,X,O,O
TZOSIJL,X,O,X,X,X,O,O
TZOSLIJ,O,O,X,O,X,X,O
TZOSLJI,X,O,X,O,X,X,O
TZOSJIL,O,O,X,O,X,X,O
TZOSJLI,O,O,X,O,X,X,O
TOILJSZ,O,O,X,O,X,X,X
TOILJZS,O,O,X,O,X,X,X
