sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
TSIJZOL,O,X,O
TSIJOLZ,O,X,O
TSIJOZL,O,X,O
TSIZLJO,X,O,X
TSIZLOJ,O,X,X
TSIZJLO,X,O,X
TSIZJOL,O,X,O
TSIZOLJ,O,X,X
TSIZOJL,O,X,O
TSIOLJZ,O,X,O
TSIOLZJ,O,X,X
TSIOJLZ,O,X,O
TSIOJZL,O,X,O
TSIOZLJ,O,X,X
TSIOZJL,O,X,O
TSLIJZO,X,O,X
TSLIJOZ,X,O,O
TSLIZJO,X,O,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,O
TSLIOZJ,O,X,X
TSLJIZO,X,O,X
TSLJIOZ,X,O,X
TSLJZIO,X,O,X
TSLJZOI,X,O,X
TSLJOIZ,X,O,X
TSLJOZI,X,O,X
TSLZIJO,X,O,X
TSLZIOJ,O,X,X
TSLZJIO,X,O,X
TSLZJOI,X,O,X
TSLZOIJ,O,X,X
TSLZOJI,O,O,X
TSLOIJZ,O,X,X
TSLOIZJ,O,X,X
TSLOJIZ,O,O,X
TSLOJZI,O,O,X
TSLOZIJ,O,X,X
TSLOZJI,O,O,X
TSJILZO,X,O,X
TSJILOZ,X,O,O
TSJIZLO,X,O,X
TSJIZOL,O,X,O
TSJIOLZ,O,X,O
TSJIOZL,O,X,O
TSJLIZO,X,O,X
TSJLIOZ,X,O,X
TSJLZIO,X,O,X
TSJLZOI,X,O,X
TSJLOIZ,X,O,X
TSJLOZI,X,O,X
TSJZILO,X,O,X
TSJZIOL,O,X,X
TSJZLIO,X,O,X
TSJZLOI,X,O,X
TSJZOIL,O,X,X
TSJZOLI,O,X,X
TSJOILZ,O,X,X
TSJOIZL,O,X,X
TSJOLIZ,O,X,X
TSJOLZI,O,X,X
TSJOZIL,O,X,X
TSJOZLI,O,X,X
TSZILJO,X,O,X
TSZILOJ,O,X,X
TSZIJLO,X,O,X
TSZIJOL,O,X,O
TSZIOLJ,O,X,X
TSZIOJL,O,X,O
TSZLIJO,X,O,X
TSZLIOJ,O,X,X
TSZLJIO,X,O,X
TSZLJOI,X,O,X
TSZLOIJ,O,X,X
TSZLOJI,O,O,X
TSZJILO,X,O,X
TSZJIOL,O,X,X
TSZJLIO,X,O,X
TSZJLOI,X,O,X
TSZJOIL,O,X,X
TSZJOLI,O,X,X
TSZOILJ,O,X,X
TSZOIJL,O,X,X
TSZOLIJ,O,X,X
TSZOLJI,O,X,X
TSZOJIL,O,X,X
TSZOJLI,O,X,X
TSOILJZ,O,X,O
TSOILZJ,O,X,X
TSOIJLZ,O,X,O
TSOIJZL,O,X,O
TSOIZLJ,O,X,X
TSOIZJL,O,X,O
TSOLIJZ,O,X,X
TSOLIZJ,O,X,X
TSOLJIZ,O,X,X
TSOLJZI,O,X,X
TSOLZIJ,O,X,X
TSOLZJI,O,X,X
TSOJILZ,O,X,X
TSOJIZL,O,X,X
TSOJLIZ,O,X,X
TSOJLZI,O,X,X
